Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling,Supplier VAT Registration Number
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Audit Policy Division,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Audit Regulations,-5,823824822
28/10/2010,2651164,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Eastern Sub-Region - Ops Central,-5.15,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,-10,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,LGH&CS management,-10,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,-10,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,-10,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,London operational staff,-10,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,-10,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Research,-10,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Information Management,-10,823824822
14/10/2010,2650778,Hitachi Capital Vehicle Solutions Ltd,Car Lease Costs - Recharges & Extensions,AP&P Directorate Management,-100.69,823824822
14/10/2010,2650791,Hitachi Capital Vehicle Solutions Ltd,Car Lease Costs - Recharges & Extensions,Governance and Counter Fraud Practice,-149.06,823824822
14/10/2010,2650791,Hitachi Capital Vehicle Solutions Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,-154.96,823824822
14/10/2010,2650778,Hitachi Capital Vehicle Solutions Ltd,Car Lease Costs - Recharges & Extensions,AP&P Directorate Management,-684.57,823824822
14/10/2010,2650791,Hitachi Capital Vehicle Solutions Ltd,Car Lease Costs - Recharges & Extensions,Governance and Counter Fraud Practice,-1388.42,823824822
12/10/2010,2650751,Hodgson Elkington & Co,Fixtures & Fittings (Revenue),Asset Management & Sustainability,18292.87,555494021
19/10/2010,GPCOCT11,ILX Group,Staff Training,HR Training and Development,556.95,
21/10/2010,2651084,Imago at Loughborough University,Staff Training,HR Training and Development,6705.77,558362124
07/10/2010,2650626,ING Lease (UK) Ltd,Estates Winding Up Costs,Asset Management & Sustainability,2523.46,577613314
19/10/2010,2651035,ING Lease (UK) Ltd,Office Equipment Rental,Millbank - Facilities,823.68,577613314
05/10/2010,2650605,ING Lease (UK) Ltd,Office Equipment Rental,Regional Costs - Ops Northern,750.88,577613314
19/10/2010,2650968,ING Lease (UK) Ltd,Office Equipment Rental,Head of Operations - South Central - Ops Southern,468.39,577613314
19/10/2010,2651035,ING Lease (UK) Ltd,Office Equipment Repairs & Maintenance,Millbank - Facilities,29.79,577613314
26/10/2010,GPCOCT12,Institute of Chartered Accountants,Other Supplies & Services Expenses,HR Training and Development,609.83,
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,8011.08,862309916
05/10/2010,2650547,Integral Ltd,PPM Management Fee,Asset Management & Sustainability,7415.34,862309916
19/10/2010,2651042,Integral Ltd,PPM Management Fee,Asset Management & Sustainability,7415.34,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,3741.47,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,3741.47,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,3631.16,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,2598.62,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,2598.62,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,2431.52,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1817.03,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1817.03,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,1555.53,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1314.02,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1314.02,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1244.37,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1244.37,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1229.16,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,1229.16,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,1160.94,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,1160.94,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,1003.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,1003.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,1003.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,1003.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,1003.18,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,941.23,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,939.39,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,933.24,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,929.49,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,929.49,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,929.49,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,929.49,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,919.39,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,919.39,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,828.78,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,828.78,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,814.27,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,792.55,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,792.55,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,714.03,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,704.11,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,620.06,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,620.06,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,559.9,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,559.9,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,555.75,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,555.75,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,544.53,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,544.53,862309916
07/10/2010,2650692,Integral Ltd,Unplanned Maintenance Work,Millbank - Facilities,518.06,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,480.76,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,460.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,460.18,862309916
05/10/2010,2650565,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,435.4,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,383.51,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,383.51,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,372.29,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,369.82,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,369.82,862309916
05/10/2010,2650545,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,360.06,862309916
05/10/2010,2650545,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,360.06,862309916
19/10/2010,2651041,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,360.06,862309916
19/10/2010,2651041,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,360.06,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,354.01,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,353.18,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,353.18,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,339.76,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,329.01,862309916
05/10/2010,2650545,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,320.71,862309916
19/10/2010,2651041,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,320.71,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,302.54,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,302.54,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,299.49,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,299.49,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,289.63,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,276.95,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,276.95,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,275,862309916
05/10/2010,2650545,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,270,862309916
19/10/2010,2651041,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,270,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,257.03,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,257.03,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,256.79,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,256.79,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,254.49,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,254.49,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,253.32,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,237.77,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,237.77,862309916
05/10/2010,2650545,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,229.57,862309916
19/10/2010,2651041,Integral Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,229.57,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,227,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,225.12,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,214.79,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,208.81,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,208.81,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,205.79,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,205.79,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,205.41,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,204,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,199.09,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,199.09,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,195.87,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,192.49,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,192.49,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,190.59,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,190.59,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,185.25,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,185.25,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,179.7,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,179.7,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,178.06,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,178.06,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,172.89,862309916
05/10/2010,2650550,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,172.75,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,168.59,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,166.67,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,166.67,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,156.65,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,156.65,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,151.88,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,151.88,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,149.09,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,149.09,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,137.14,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,137.14,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,127.73,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,127.73,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,108.91,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,108.91,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,96.93,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,96.93,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,92.03,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,92.03,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,83.04,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,83.04,862309916
05/10/2010,2650548,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,80.67,862309916
19/10/2010,2651038,Integral Ltd,Planned Preventative Building Maintenance (PPM),Asset Management & Sustainability,80.67,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,75.18,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,74.98,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,64.34,862309916
05/10/2010,2650549,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,52,862309916
19/10/2010,2651040,Integral Ltd,Reactive Building Maintenance,Asset Management & Sustainability,52,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,50.52,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,45.24,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,45.24,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,35.64,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
05/10/2010,2650546,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651039,Integral Ltd,Security Guarding/Keyholding,Asset Management & Sustainability,26.18,862309916
19/10/2010,2651043,Integral Ltd,Cleaning & Hygiene,Asset Management & Sustainability,18.6,862309916
19/10/2010,2651020,IPL Information Processing Limited,Contractor Costs,Business Change (Projects & Change),11035.2,601293183
19/10/2010,2651023,IPL Information Processing Limited,Contractor Costs,Business Change (Projects & Change),9405,601293183
19/10/2010,2651019,IPL Information Processing Limited,Contractor Costs,Business Change (Projects & Change),9363.2,601293183
19/10/2010,2651021,IPL Information Processing Limited,Contractor Costs,Business Change (Projects & Change),5624,601293183
12/10/2010,2650768,Ipsos MORI,Consultants (Non Time Sheet User),Health - NEU,10050,443932151
12/10/2010,2650765,Iron Mountain (UK) Ltd,Archiving and CD Scanning,Core IT,731.48,607937516
05/10/2010,2650604,IT Works Recruitment LTD,Contractor Costs,Assistant MD,2750,833840721
12/10/2010,2650754,IT Works Recruitment LTD,Contractor Costs,Assistant MD,2750,833840721
25/10/2010,1024448,J Smaill,Contractor Costs,Audit Regulations,"10,036.83",
07/10/2010,2650719,Jodi Berg,Consultants (Non Time Sheet User),Complaints Unit,2500,751775019
21/10/2010,2651036,John Wiley & Sons Ltd,Leased Property Rent Invoices,Asset Management & Sustainability,6253,376766987
21/10/2010,2651036,John Wiley & Sons Ltd,Business Rates,Asset Management & Sustainability,1708.57,376766987
21/10/2010,2651036,John Wiley & Sons Ltd,Service Charges,Asset Management & Sustainability,1518.73,376766987
05/10/2010,2650592,Kaplan Financial Ltd - Bristol,Student Training,HR Training and Development,2519.13,719008837
05/10/2010,2650592,Kaplan Financial Ltd - Bristol,Student Training,HR Training and Development,561,719008837
05/10/2010,2650600,Keith Dixon,Consultants (Non Time Sheet User),Governance and Counter Fraud Practice,2250,
05/10/2010,2650601,Keith Dixon,Consultants (Non Time Sheet User),Governance and Counter Fraud Practice,1125,
26/10/2010,2651183,KPMG LLP,Contractor Costs,London operational staff,41125,791788859
26/10/2010,2651209,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,26085,791788859
26/10/2010,2651148,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,25027.5,791788859
14/10/2010,2650880,KPMG LLP,Contractor Costs,North East and Humberside,20210,791788859
26/10/2010,2651108,KPMG LLP,Contractor Costs,Head of North West Management - Ops Northern,17037.5,791788859
26/10/2010,2651199,KPMG LLP,Contractor Costs,East Midlands Sub-Region - Ops Central,4347.5,791788859
26/10/2010,2650952,KPMG LLP,Contractor Costs,Head of North West Management - Ops Northern,870,791788859
26/10/2010,2651128,KPMG LLP,Contractor Costs,North East and Humberside,-415.95,791788859
26/10/2010,2651127,KPMG LLP,Contractor Costs,Head of North West Management - Ops Northern,-467.65,791788859
26/10/2010,2651131,KPMG LLP,Contractor Costs,East Midlands Sub-Region - Ops Central,-472.35,791788859
26/10/2010,2651130,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,-808.9,791788859
26/10/2010,2651184,KPMG LLP,Contractor Costs,London operational staff,-979.95,791788859
26/10/2010,2651129,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,-1225.9,791788859
26/10/2010,2651209,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,-2212.5,791788859
26/10/2010,2651185,KPMG LLP,Contractor Costs,London operational staff,-2350,791788859
12/10/2010,2650561,Lance Edynbry Partnership,Staff Training,HR Training and Development,1068,620795438
05/10/2010,2650637,Law Society,Professional Subscriptions,Legal Directorate,438,239214763
05/10/2010,2650637,Law Society,Professional Subscriptions,Legal Directorate,438,239214763
05/10/2010,2650637,Law Society,Professional Subscriptions,Legal Directorate,438,239214763
05/10/2010,2650637,Law Society,Professional Subscriptions,Legal Directorate,438,239214763
05/10/2010,2650637,Law Society,Professional Subscriptions,Legal Directorate,438,239214763
05/10/2010,2650637,Law Society,Professional Subscriptions,Legal Directorate,438,239214763
05/10/2010,2650478,Leeming Pilkington Ltd,Food & Bererages Charges,Millbank - Facilities,4135.01,788086865
05/10/2010,2650479,Leeming Pilkington Ltd,Food & Bererages Charges,Millbank - Facilities,556.57,788086865,
14/10/2010,2650865,Leith's At The Centre,Sundry Debtors,Audit Policy Division,1218.05,466477701,Eurorai
26/10/2010,2651000,Lex Autolease Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,551.6,244155576,
28/10/2010,2651013,LexisNexis Butterworths,Online Information Sources,Information Management,1789,730859520,
26/10/2010,2650951,London Borough of Ealing,Contractor Costs,Research,12469.45,226670070,
28/10/2010,GPCOCT16,Manchester Metropolitan University,Staff Training,HR Training and Development,998.75,,
19/10/2010,2650962,Marco Longhi Ltd,Contractor Costs,Local Government,450,978062484,
