Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount,Plain English Description
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,REIGATE & BANSTEAD BOROUGH COUNCIL,4412427,43891.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,NOTTINGHAM CITY COUNCIL,4412268,43128.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,HUNTINGDONSHIRE DISTRICT COUNCIL,4412209,43128.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,27/06/2012,Rates and Ground Rents,HOPS Payroll Charge,CB RICHARD ELLIS LTD,4486379,43076.40,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,DONCASTER MET DIST COUNCIL,4412373,42365.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,FENLAND DISTRICT COUNCIL,4412217,40838.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,4412357,40456.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,PETERBOROUGH CITY COUNCIL,4412348,40075.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,LIVERPOOL CITY COUNCIL,4416984,39693.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,LONDON BOROUGH OF ISLINGTON,4412398,38837.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,LIVERPOOL CITY COUNCIL,4416989,37021.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,LANCASTER CITY COUNCIL,4412340,36449.17,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,SALFORD CITY COUNCIL,4412218,36449.17,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,DACORUM BOROUGH COUNCIL,4412367,36067.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,CITY OF WAKEFIELD,4412222,35876.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,LONDON BOROUGH OF HOUNSLOW,4412411,35650.83,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,WANDSWORTH BOROUGH COUNCIL,4412215,35451.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,BROMSGROVE DISTRICT COUNCIL,4412386,34540.83,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,SPELTHORNE BOROUGH COUNCIL,4412324,34540.83,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,BIRMINGHAM CITY COUNCIL,4425947,34159.17,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,4412354,33968.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,CHELMSFORD BOROUGH COUNCIL,4412321,33586.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,STOCKTON-ON-TEES BOROUGH COUNCIL,4412326,32823.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,BRECKLAND DISTRICT COUNCIL,4412317,32632.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,DONCASTER MBC,4412377,31487.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,KINGSTON-UPON T/A HULL CITY COUNCIL,4412420,30724.17,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,SWALE BOROUGH COUNCIL,4412410,30342.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,SURREY HEATH BOROUGH COUNCIL,4412339,30342.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,RUTLAND DISTRICT COUNCIL,4412281,30342.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,NEWARK & SHERWOOD DISTRICT COUNCIL,4412254,29770.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,EAST STAFFORDSHIRE BOROUGH COUNCIL,4412368,29388.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,WYCHAVON DISTRICT COUNCIL,4412252,28815.83,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,MEDWAY COUNCIL,4412207,28625.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,DURHAM COUNTY COUNCIL,4412387,26144.17,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,20/06/2012,Rates and Ground Rents,MOJ Shared Services NOMS Delivery,CYNCOED PROPERTY (CARDIFF) LTD,4393072,26000.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,WIGAN COUNCIL,4412205,25953.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,WARRINGTON BOROUGH COUNCIL,4412266,25762.50,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,BRIDGEND COUNTY BOROUGH COUNCIL,4412225,25425.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,22/06/2012,Miscellaneous,Secretariat,KINGS FUND,4512160,60000.00,Payment relating to prison awards programme
MOJ,NOMS,26/06/2012,Secondments,Hindley,WIGAN COUNCIL,4472797,146627.62,Payments to outside bodies for staff seconded to NOMS
MOJ,NOMS,14/06/2012,Prison Shop Cost of Sales,Director of Finance Office,EXEL EUROPE1 LTD,4500826,619535.50,Prison shop purchases where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,27/06/2012,Prison Shop Cost of Sales,Director of Finance Office,EXEL EUROPE1 LTD,4518030,567637.73,Prison shop purchases where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,20/06/2012,Prison Shop Cost of Sales,Director of Finance Office,EXEL EUROPE1 LTD,4507398,564629.98,Prison shop purchases where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,13/06/2012,Prison Shop Cost of Sales,Director of Finance Office,EXEL EUROPE1 LTD,4494847,554855.15,Prison shop purchases where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,20/06/2012,Contracted-out Prison Shop,Director of Finance Office,EXEL EUROPE1 LTD,4509178,1276973.00,Prison shops supplied by an external provider where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,20/06/2012,Contracted-out Prison Shop,ROM - North East,DHL EXPRESS (UK) LIMITED,4509176,268432.50,Prison shops supplied by an external provider where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,27/06/2012,Contracted-out Prison Shop,Director of Finance Office,EXEL EUROPE1 LTD,4512739,-88080.86,Prison shops supplied by an external provider where items are paid for by prisoners from their own funds at no cost to the taxpayer
MOJ,NOMS,21/06/2012,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),SERCO LTD,4503878,3568630.50,Prisoner escort services supplied by an external provider
MOJ,NOMS,15/06/2012,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),GEO AMEY PECS LTD,4497907,2946949.75,Prisoner escort services supplied by an external provider
MOJ,NOMS,15/06/2012,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),GEO AMEY PECS LTD,4498983,2431316.06,Prisoner escort services supplied by an external provider
MOJ,NOMS,15/06/2012,Contracted-out Escorts,Prisoner Escort & Custody Service (PECS),GEO AMEY PECS LTD,4497908,2397221.51,Prisoner escort services supplied by an external provider
MOJ,NOMS,14/06/2012,Victims of Crime Deductions suspense account,Control Accounts,MINISTRY OF JUSTICE,SSCMISC3818,59615.22,Prisoners' pay deductions transferred to the Victims Fund
MOJ,NOMS,18/06/2012,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,4496020,3603303.60,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Forest Bank,AGECROFT PRISON MANAGEMENT LTD,4492745,3056306.01,Prisons and detention centres operated by an external provider
MOJ,NOMS,13/06/2012,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4495557,2972032.00,Prisons and detention centres operated by an external provider
MOJ,NOMS,15/06/2012,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,4491772,2506487.03,Prisons and detention centres operated by an external provider
MOJ,NOMS,15/06/2012,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,4494881,2468797.09,Prisons and detention centres operated by an external provider
MOJ,NOMS,20/06/2012,Contracted-out operation of prisons and detention centres,Wolds,G4S CARE & JUSTICE SERVICES LTD,4506450,733108.10,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Ashfield,PUCKLECHURCH CUSTODIAL SERVICES LTD,4491770,2302760.87,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,4491774,2282314.12,Prisons and detention centres operated by an external provider
MOJ,NOMS,01/06/2012,Contracted-out operation of prisons and detention centres,Oakwood,G4S CARE & JUSTICE SERVICES LTD,4488471,1809698.52,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Thameside,BWP PROJECT SERVICES LTD,4492232,1756150.17,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4494146,1583134.12,Prisons and detention centres operated by an external provider
MOJ,NOMS,28/06/2012,Contracted-out operation of prisons and detention centres,Doncaster,SERCO LTD,4504540,1529082.32,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494484,1430064.41,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494482,1270672.95,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4495576,1217930.36,Prisons and detention centres operated by an external provider
MOJ,NOMS,22/06/2012,Contracted-out operation of prisons and detention centres,G4S Birmingham,G4S CARE & JUSTICE SERVICES LTD,4472873,2317559.91,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,4491771,613914.17,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,4495686,459719.46,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4495558,338708.48,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4495559,336803.84,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4495577,103232.17,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,4494655,91604.38,Prisons and detention centres operated by an external provider
MOJ,NOMS,14/06/2012,Contracted-out operation of prisons and detention centres,G4S Birmingham,G4S CARE & JUSTICE SERVICES LTD,4492492,2320786.04,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,4490744,68812.87,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,4490745,61287.40,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,4494813,57750.84,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494834,55710.72,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,4491773,43171.84,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494817,42065.76,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,4490748,41721.12,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494483,39703.13,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494809,39552.00,Prisons and detention centres operated by an external provider
MOJ,NOMS,07/06/2012,Contracted-out operation of prisons and detention centres,Forest Bank,AGECROFT PRISON MANAGEMENT LTD,4492495,38958.27,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4494145,38034.75,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4495560,33648.97,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,4494637,33576.76,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,4496014,31827.44,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494806,28051.73,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494810,27623.33,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,4494654,-33189.74,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4478711,-69596.33,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4478712,-78223.54,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,4496019,-88170.47,Prisons and detention centres operated by an external provider
MOJ,NOMS,12/06/2012,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,4470277,-88170.47,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4482339,-100851.30,Prisons and detention centres operated by an external provider
MOJ,NOMS,08/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4482338,-100851.30,Prisons and detention centres operated by an external provider
MOJ,NOMS,11/06/2012,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,4494818,-104213.01,Prisons and detention centres operated by an external provider
MOJ,NOMS,26/06/2012,WIP - Professional Fees,Estates Capacity,VINCI CONSTRUCTION UK LTD,4506120,407400.00,Professional fees in respect of construction work-in-progress
MOJ,NOMS,22/06/2012,WIP - Professional Fees,Estates Capacity,URS INFRASTRUCTURE & ENVIRONMENT UK LTD,4514053,86780.64,Professional fees in respect of construction work-in-progress
MOJ,NOMS,29/06/2012,WIP - Professional Fees,Estates Capacity,AEDAS ARCHITECTS LTD,4521420,49293.80,Professional fees in respect of construction work-in-progress
MOJ,NOMS,15/06/2012,WIP - Professional Fees,Estates Capacity,ATKINS LTD,4328715,46099.45,Professional fees in respect of construction work-in-progress
MOJ,NOMS,13/06/2012,WIP - Professional Fees,Estates Capacity,ATKINS LTD,4416707,45377.62,Professional fees in respect of construction work-in-progress
MOJ,NOMS,15/06/2012,WIP - Professional Fees,Estates Capacity,ATKINS LTD,4291340,37797.46,Professional fees in respect of construction work-in-progress
MOJ,NOMS,25/06/2012,WIP - Professional Fees,Estates Capacity,AEDAS ARCHITECTS LTD,4510695,33619.77,Professional fees in respect of construction work-in-progress
MOJ,NOMS,28/06/2012,Contracted-out Medical services,Whitemoor,CAMBRIDGESHIRE & PETERBOROUGH MENTAL HEALTH PARTNERSHIP,4519813,147320.84,Provision of medical services in prison; amount is claimed back from the local Primary Care Trust
MOJ,NOMS,08/06/2012,Contracted-out Probation Trusts,London Probation Trust,LONDON PROBATION TRUST,4493678,9000000.00,Provision of probation services
MOJ,NOMS,14/06/2012,Contracted-out Probation Trusts,Staffordshire & West Midlands Probation Trust,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,4496164,4300000.00,Provision of probation services
MOJ,NOMS,06/06/2012,Contracted-out Probation Trusts,Wales Probation Trust,WALES PROBATION TRUST,4479705,3750000.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,West Yorkshire Probation Trust,WEST YORKSHIRE PROBATION TRUST,4519436,3000000.00,Provision of probation services
MOJ,NOMS,29/06/2012,Contracted-out Probation Trusts,Northumbria Probation Trust,NORTHUMBRIA PROBATION TRUST,4516692,2700000.00,Provision of probation services
MOJ,NOMS,18/06/2012,Contracted-out Probation Trusts,Merseyside Probation Trust,MERSEYSIDE PROBATION TRUST,4504597,2500000.00,Provision of probation services
MOJ,NOMS,07/06/2012,Contracted-out Probation Trusts,Leicestershire Probation Trust,LEICESTERSHIRE&RUTLAND PROBATION TRUST,4489488,2290033.34,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Essex Probation Trust,ESSEX PROBATION TRUST,4519215,2250000.00,Provision of probation services
MOJ,NOMS,29/06/2012,Contracted-out Probation Trusts,South Yorkshire Probation Trust,SOUTH YORKSHIRE PROBATION TRUST,4521451,2103000.00,Provision of probation services
MOJ,NOMS,12/06/2012,Contracted-out Probation Trusts,Surrey & Sussex Probation Trust,SURREY & SUSSEX PROBATION TRUST,4494558,2100000.00,Provision of probation services
MOJ,NOMS,13/06/2012,Contracted-out Probation Trusts,Kent Probation Trust,KENT PROBATION TRUST,4500638,2000000.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Devon and Cornwall Probation Trust,DEVON AND CORNWALL PROBATION TRUST,4513906,1919589.83,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Thames Valley Probation Trust,THAMES VALLEY PROBATION TRUST,4506426,1886926.83,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Lancashire Probation Trust,LANCASHIRE PROBATION TRUST,4511974,1666666.67,Provision of probation services
MOJ,NOMS,06/06/2012,Contracted-out Probation Trusts,South Yorkshire Probation Trust,SOUTH YORKSHIRE PROBATION TRUST,4489402,1588000.00,Provision of probation services
MOJ,NOMS,14/06/2012,Contracted-out Probation Trusts,Hertfordshire Probation Trust,HERTFORDSHIRE PROBATION TRUST,4499831,1500000.00,Provision of probation services
MOJ,NOMS,08/06/2012,Contracted-out Probation Trusts,Avon and Somerset Probation Trust,AVON AND SOMERSET PROBATION TRUST,4491329,1400000.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Hampshire Probation Trust,HAMPSHIRE PROBATION TRUST,4508559,1300000.00,Provision of probation services
MOJ,NOMS,29/06/2012,Contracted-out Probation Trusts,Cambridgeshire Probation Trust,CAMBRIDGESHIRE & PETERBOROUGH PROBATION TRUST,4519477,1250000.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Nottinghamshire Probation Trust,NOTTINGHAMSHIRE PROBATION TRUST,4519132,1200000.00,Provision of probation services
MOJ,NOMS,12/06/2012,Contracted-out Probation Trusts,Humberside Probation Trust,HUMBERSIDE PROBATION TRUST,4494555,1137611.14,Provision of probation services
MOJ,NOMS,08/06/2012,Contracted-out Probation Trusts,West Mercia Probation Trust,WEST MERCIA PROBATION TRUST,4491434,1118225.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Cheshire Probation Trust,CHESHIRE PROBATION TRUST,4499833,1000000.00,Provision of probation services
MOJ,NOMS,13/06/2012,Contracted-out Probation Trusts,Bedfordshire Probation Trust,BEDFORDSHIRE PROBATION TRUST,4499381,731814.00,Provision of probation services
MOJ,NOMS,06/06/2012,Contracted-out Probation Trusts,Lincolnshire Probation Trust,LINCOLNSHIRE PROBATION TRUST,4489139,727940.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Northamptonshire Probation Trust,NORTHAMPTONSHIRE PROBATION TRUST,4508916,709150.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,York and North Yorkshire Probation Trust,YORK AND NORTH YORKSHIRE PROBATION TRUST,4519435,700000.00,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Dorset Probation Trust,DORSET PROBATION TRUST,4511956,695700.00,Provision of probation services
MOJ,NOMS,19/06/2012,Contracted-out Probation Trusts,Cumbria Probation Trust,CUMBRIA PROBATION TRUST,4505548,665000.00,Provision of probation services
MOJ,NOMS,06/06/2012,Contracted-out Probation Trusts,Cambridgeshire Probation Trust,CAMBRIDGESHIRE & PETERBOROUGH PROBATION TRUST,4489176,625000.00,Provision of probation services
MOJ,NOMS,11/06/2012,Contracted-out Probation Trusts,Gloucestershire Probation Trust,GLOUCESTERSHIRE PROBATION TRUST,4494448,600000.00,Provision of probation services
MOJ,NOMS,12/06/2012,Contracted-out Probation Trusts,Wiltshire Probation Trust,WILTSHIRE PROBATION TRUST,4496304,572676.58,Provision of probation services
MOJ,NOMS,29/06/2012,Contracted-out Probation Trusts,Warwickshire Probation Trust,WARWICKSHIRE PROBATION TRUST,4521084,520000.00,Provision of probation services
MOJ,NOMS,20/06/2012,Contracted-out Probation Trusts,Hampshire Probation Trust,HAMPSHIRE PROBATION TRUST,4508559,500000.00,Provision of probation services
MOJ,NOMS,01/06/2012,Contracted-out Probation Trusts,Warwickshire Probation Trust,WARWICKSHIRE PROBATION TRUST,4487251,475000.00,Provision of probation services
MOJ,NOMS,22/06/2012,Contracted-out Probation Trusts,Lancashire Probation Trust,LANCASHIRE PROBATION TRUST,4511974,333333.33,Provision of probation services
MOJ,NOMS,19/06/2012,Contracted-out Probation Trusts,Thames Valley Probation Trust,THAMES VALLEY PROBATION TRUST,4506426,166666.67,Provision of probation services
MOJ,NOMS,01/06/2012,Contracted-out Probation Boards,Bristol,AVON AND SOMERSET PROBATION TRUST,4404836,79852.44,Provision of probation services
MOJ,NOMS,08/06/2012,Contracted-out Probation Trusts,Business and Service Development Group,MINISTRY OF JUSTICE,4437983,45308.46,Provision of probation services
MOJ,NOMS,12/06/2012,Contracted-out Probation Trusts,Wandsworth,LONDON PROBATION TRUST,4496684,44215.56,Provision of probation services
MOJ,NOMS,19/06/2012,Contracted-out Probation Trusts,Highpoint,NORFOLK AND SUFFOLK PROBATION TRUST,4506776,43706.34,Provision of probation services
MOJ,NOMS,21/06/2012,Contracted-out Probation Trusts,Isle of Wight,HAMPSHIRE PROBATION TRUST,4510774,38889.88,Provision of probation services
MOJ,NOMS,13/06/2012,Contracted-out Probation Trusts,Nottingham,NOTTINGHAMSHIRE PROBATION TRUST,4501883,37308.21,Provision of probation services
MOJ,NOMS,14/06/2012,Contracted-out Probation Trusts,Whatton,NOTTINGHAMSHIRE PROBATION TRUST,4501934,36286.08,Provision of probation services
MOJ,NOMS,19/06/2012,Contracted-out Probation Trusts,Durham,DURHAM TEES VALLEY PROBATION TRUST,4505858,35298.95,Provision of probation services
MOJ,NOMS,20/06/2012,Contracted-out Probation Trusts,Isle of Wight,HAMPSHIRE PROBATION TRUST,4509179,35146.02,Provision of probation services
MOJ,NOMS,29/06/2012,Contracted-out Probation Trusts,Hull,HUMBERSIDE PROBATION TRUST,4500217,33799.14,Provision of probation services
MOJ,NOMS,19/06/2012,Contracted-out Probation Trusts,Bure,NORFOLK AND SUFFOLK PROBATION TRUST,4506774,33755.86,Provision of probation services
MOJ,NOMS,22/06/2012,Contracted-out Probation Trusts,Hull,HUMBERSIDE PROBATION TRUST,4459491,33726.73,Provision of probation services
MOJ,NOMS,22/06/2012,Contracted-out Probation Trusts,Hull,HUMBERSIDE PROBATION TRUST,4440516,33564.69,Provision of probation services
MOJ,NOMS,27/06/2012,Contracted-out Probation Trusts,Acklington,NORTHUMBRIA PROBATION TRUST,4516669,33513.48,Provision of probation services
MOJ,NOMS,28/06/2012,Contracted-out Probation Trusts,Wellingborough,NORTHAMPTONSHIRE PROBATION TRUST,4520985,32189.70,Provision of probation services
MOJ,NOMS,08/06/2012,Contracted-out Probation Trusts,Preston,LANCASHIRE PROBATION TRUST,4491082,31822.12,Provision of probation services
MOJ,NOMS,12/06/2012,Contracted-out Probation Trusts,Wormwood Scrubs,LONDON PROBATION TRUST,4500502,31412.50,Provision of probation services
MOJ,NOMS,27/06/2012,Contracted-out Probation Trusts,Glen Parva,LEICESTERSHIRE&RUTLAND PROBATION TRUST,4518015,29859.04,Provision of probation services
MOJ,NOMS,11/06/2012,Contracted-out Probation Trusts,Bullingdon,THAMES VALLEY PROBATION TRUST,4494522,29702.23,Provision of probation services
