Contract ID,Project ID,Project Name,Central Government Department,Responsible Government Body,Latest Business Case Assumed Contract Start Date,Latest Forecast Date for Contract Start,Current Approved Contract End/Expiry Date,"If existing, Original Contract Date","If existing, Latest Contract Revision Date",Prime ICT Supplier Name,Prime ICT Supplier Capability Type,Other Supplier Name 1,Other Supplier Capability Type 1,Other Supplier Name 2,Other Supplier Capability Type 2,Other Supplier Name 3,Other Supplier Capability Type 3,Other Supplier Name 4,Other Supplier Capability Type 4,Date of Current Business case,Status of Current Business case,Prime ICT Supplier - Whole Life Costs - CDEL (£'000),Prime ICT Supplier - Whole Life Costs - RDEL(£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - CDEL (£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - RDEL (£'000),Prime ICT Supplier - In Year 10/11 - CDEL (£'000),Prime ICT Supplier - In Year 10/11 - RDEL (£'000),Prime ICT Supplier - SR Period 11/12 - CDEL (£'000),Prime ICT Supplier - SR Period 11/12 - RDEL (£'000),Prime ICT Supplier - SR Period 12/13 - CDEL (£'000),Prime ICT Supplier - SR Period 12/13 - RDEL (£'000),Prime ICT Supplier - SR Period 13/14 - CDEL (£'000),Prime ICT Supplier - SR Period 13/14 - RDEL (£'000),Prime ICT Supplier - SR Period 14/15 - CDEL (£'000),Prime ICT Supplier - SR Period 14/15 - RDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs CDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs RDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - CDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - RDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - CDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - RDEL (£'000),Workstation / User devices - Included?,Workstation / User devices - % of Total spend,"COTS Corporate Applications (HR, Finance etc) - Included?","COTS Corporate Applications (HR, Finance etc) - % of Total",Business Applications Included?,Business Applications Included - % of Total,Networks - Included?,Networks - % of Total spend,Data Centres - Included?,Data Centres - % of Total spend,Email  - Included?,Email  - % of Total spend,"Operating System Platform (Windows, Linux etc) - Included?","Operating System Platform (Windows, Linux etc) - % of Total",Service Desks - Included?,Service Desks - % of Total spend,Contact Centres / Customer Relationship Management - Included?,Contact Centres / Customer Relationship Management - % of total,Telecommunications - Included?,Telecommunications - % of Total spend,Online Services  - Included?,Online Services  - % of Total spend,Other - % of Total spend,Date of SRO's last assessment,OGC review stage,Coalition Programme for Government
C045,P045,e-Channels Enhancements,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,,,,,,Software AG,Online Services,Steria,Business Applications (i.e. Operational applications),Accenture,Business Applications (i.e. Operational applications),IBM,Infrastructure,,,40269,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Yes,100,,Not Applicable,"Environment, Food and Rural Affairs"
C046,P046,AXIS Project 1:Support to Corporate Management and Reporting,Department for International Development,DFID -Department for International Development,,40451,30-Sep-12,,,To be determined,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,705,0,0,0,451,0,241,0,13,0,0,0,0,0,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,31,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,40364,,International Development
C047,P047,AXIS Project 2: Process and Operational Enhancement,Department for International Development,DFID -Department for International Development,40481,30-Oct-10,30-Sep-12,,,Unit 4 Agresso Business World,"COTS Corporate Applications (HR, Finance etc.)",To be determined,Not Stated,Portcullis,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,436,,16,,197,,191,,32,,,,,,267,,8,,200,,,59,,,,,,,Not Stated,,Yes,23,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,05-Jul-10,,International Development
C048,P048,AXIS Project 3: System Upgrades,Department for International Development,DFID -Department for International Development,40452,40452,30-Jun-12,,,Unit 4 Agresso Business World,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,194,23,,,39,23,139,,16,,,,,,,,,,,,,,,,,,,,Not Stated,,Yes,29,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,40364,,International Development
C049,P049,Palace Street Network Upgrade Project,Department for International Development,DFID -Department for International Development,,,18-Aug-10,40390,40408,Capita,Networks,NCC,Network tecnical consultancy,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40352,,1653,272,1436,,217,,,,,,,68,,68,506,,388,,118,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 3 Investment Decisions,International Development
C050,P050,Server Rationalisation,Department for International Development,DFID -Department for International Development,,,01-Feb-11,,,Aspen Solutions Ltd,Not Stated,Opin Systems,Project Management; Assurance,To be determined,DR hosting provision,void2d,Comms lines for DR triangulation.,Not Stated,Not Stated,,,1488,,1228,,260,,,,,,,,,,392,,15,,377,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,85,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,10,Not Stated,,5,,,International Development
C051,P051,"Adaptive CCTV Initial Deployement (running), & Adaptive CCTV national rollout  (to be let) ",Department for Transport,DFT - Highways Agency,40513,40513,01-Oct-10,,,CCL,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,30,,100,,2600,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Yes,75,Yes,25,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Transport
C052,P052,Certificate of Professional Competence Release 2 (CPC2),Department for Transport,DFT - DFT Central,,,31-Oct-10,,,In house,Business Applications (i.e. Operational applications),Fujitsu,Not Stated,IBM,Not Stated,Equanet,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,No,,Yes,79,Yes,10,No,,No,,No,,Yes,10,No,,No,,No,,,,Gateway 3 Investment Decisions,Europe
C053,P053,Continuous Insurance Enforcement (CIE2) Project,Department for Transport,DFT - DFT Central,,,40847,,,IBM,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,3000,4619,,2581,3000,1255,0,783,,,,,,,0,0,,,,,,,,,,,,,No,,No,,Yes,95,Yes,2,No,,No,,No,,Yes,1,No,,Yes,2,No,,,,Gateway 3 Investment Decisions,Transport
C054,P054,Convergence Programme (inclusive of the Mosaic Project),Department for Transport,DFT - Highways Agency,40725,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0,Yes,25,Yes,40,No,0,Yes,10,No,0,No,0,No,0,No,0,Yes,5,No,0,20,40365,,Transport
C055,P055,Corporate GSI Connection Project,Department for Transport,DFT - Maritime and Coastguard Agency,,,40633,,,AMTEC (SystemsUp Ltd),Professional Services,Insight,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40375,,1137,0,544,0,592,0,0,0,0,0,0,0,0,0,1048,0,943,0,105,0,0,0,0,0,0,0,0,0,Yes,20,Yes,20,No,,Yes,20,No,,Yes,20,Yes,20,No,,No,,No,,No,,,40323,,National Security
C056,P056,Datacentre Stabilisation Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,30-Sep-10,,,IBM,Networks,IBM,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,3078,,,,1323,,390,,1365,,,,,,3,,,,3,,,,,,,,,No,,No,,Yes,,Yes,10,Yes,90,No,,Yes,,No,,No,,No,,No,,,,,Transport
C057,P057,Desktop Upgrade Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,31-Mar-11,,,IBM,Workstation / User devices,IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,,,,1633,,811,,647,,176,,,,,,,,175,,55,,101,,20,,,,,,,Yes,32,Yes,5,Yes,22,Yes,15,Yes,5,Yes,2,Yes,8,No,,Yes,11,No,,No,,,,,Transport
C058,P058,DfT HQ Managed Telephony Services,Department for Transport,DFT - DFT Central,,40787,30-Sep-11,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,2500,,,,,,250,,500,,500,,500,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,100,Not Stated,,,,,Transport
C059,P059,Driver Licence Renewal Web Channel (DLR Web),Department for Transport,DFT - Driver Vehicle Licensing Agency,,,10-Apr-11,,,IBM,Online Services ,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Stated,,Not Stated,,Yes,50,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,50,,,Gateway 1 Business Justification,Transport
C060,P060,Driver Licensing Online (DLO) Enhancements & Capacity Review Project  2 (DECR 2),Department for Transport,DFT - DFT Central,,,01-Sep-10,,,IBM,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,01-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,80,Not Stated,,Not Stated,,Yes,5,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 3 Investment Decisions,Transport
C061,P061,DWP CISx Project,Department for Transport,DFT - DFT Central,,,30-Dec-10,,,IBM,Business Applications (i.e. Operational applications),DWP,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,40,Yes,10,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,35,,,Gateway 3 Investment Decisions,Transport
C062,P062,Environment Provisioning Service Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,31-Dec-11,,,IBM,Business Applications (i.e. Operational applications),IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,Not Stated,Not Stated,,,,1376,,,,596,,390,,390,,,,,,61,,,,61,,,,,,,,,No,,No,,Yes,30,Yes,10,Yes,30,No,,Yes,30,No,,No,,No,,No,,,,,Transport
C063,P063,EnvIS Development of Automated Data Processing and Ongoing Service Support,Department for Transport,DFT - Highways Agency,,,40999,,,Atos Origin,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,348,,43,,176,,80,,48,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,32,No,,No,,No,,No,,Yes,40,Yes,28,No,,No,,,,Not Applicable,"Environment, Food and Rural Affairs"
C064,P064,European Union 3rd Directive,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,,,,IBM,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,40364,Gateway 1 Business Justification,Europe
C065,P065,Field Technology Project,Department for Transport,DFT - DFT Central,,,40858,,,CACI,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,Not Stated,,Yes,90,Not Stated,,Not Stated,,Not Stated,,Yes,2,Not Stated,,Not Stated,,Yes,2,Not Stated,,,,,National Security
C066,P066,Geotechnical and Drainage Information Management Programme,Department for Transport,DFT - Highways Agency,,,31-Mar-12,,,Mott MacDonald Ltd,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,738,2491,0,0,440,725,268,664,15,546,15,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,No,,Yes,80,No,,Yes,10,No,,No,,Yes,10,No,,No,,No,,,,Gateway 5 Operations review and benefits realisations,Transport
C067,P067,Highways Agency Integrated Asset Management Information System Framework,Department for Transport,DFT - Highways Agency,40513,40530,41974,,,To be determined,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Transport
C068,P068,Highways Agency Pavement Management System (HAPMS),Department for Transport,DFT - Highways Agency,40391,40391,,,,Atos Origin,Business Applications (i.e. Operational applications),Pitney Bowes Business Insight,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,381,0,0,0,371,0,10,0,0,0,0,0,0,0,250,0,0,0,245,0,5,0,0,0,0,0,0,0,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Not Applicable,Transport
C069,P069,Highways Agency Traffic Information System (HATRIS),Department for Transport,DFT - Highways Agency,,,40969,,,Capita,Data Centres,TRL,Other,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,90,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,10,,,Transport
C070,P070,Highways Agency Weather Information Service (HAWIS),Department for Transport,DFT - Highways Agency,40452,40664,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,1635,,0,,675,,240,,240,,240,,240,,,,,,,,,,,,,,,No,,No,,Yes,9,No,,Yes,1,No,,Yes,1,Yes,1,Yes,1,No,,No,,,,,Transport
C071,P071,Payment Card Data Security - PCDS,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,,,,IBM,Business Applications (i.e. Operational applications),Atos Origin,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,2100,2700,0,2100,2100,600,0,0,0,0,0,0,0,0,0,1315,0,190,0,225,0,100,0,100,0,100,0,100,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Banking
C072,P072,Radio Equipment Replacement (RER) Project,Department for Transport,DFT - Maritime and Coastguard Agency,,,40908,,,void1v,Telecommunications,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,4949,5730,3796,0,1073,710,80,710,0,710,0,710,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,No,,Yes,60,Yes,20,No,,No,,No,,No,,No,,Yes,20,No,,,40323,,Transport
C073,P073,Rail Passenger Counts Database,Department for Transport,DFT - DFT Central,40680,40680,,,,To be determined,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40354,,,3000,,,,,,3300,,300,,300,,300,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,75,Yes,10,Not Stated,,Not Stated,,Yes,5,Not Stated,,Not Stated,,Not Stated,,Yes,10,,40346,Gateway 2 Delivery Strategy,Transport
C074,P074,Security Sub-Portfolio ,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,40663,,,IBM,Workstation / User devices,IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,,,,2000,,709,,566,,363,,363,,,,,,147,,74,,20,,27,,27,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Transport
C075,P075,Service Improvements Sub-Portfolio ,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,30-Apr-11,,,IBM,Workstation / User devices,IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,,,,3308,,2362,,166,,195,,585,,,,,,154,,154,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Transport
C076,P076,Storage Migration Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,01-Jul-12,,40354,IBM,Business Applications (i.e. Operational applications),IBM,Not Stated,IBM,Not Stated,IBM,Not Stated,Not Stated,Not Stated,,,,521,,291,,229,,,,,,,,,,5,,,,5,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Transport
C077,P077,Technical Vulnerability Reduction (TVR) Project,Department for Transport,DFT - DFT Central,40330,,31-Dec-10,,,IBM,Business Applications (i.e. Operational applications),IBM,Not Stated,Maxima,Not Stated,IBM,Not Stated,IBM,Other,,,390,3965,195,2843,195,1122,,,,,,,,,,243,,147,,96,,,,,,,,,No,,No,,Yes,20,Yes,50,Yes,10,No,,No,,No,,No,,No,,No,,20,,Gateway 2 Delivery Strategy,Transport
C078,P078,Technology Performance Management Services - TPMS,Department for Transport,DFT - Highways Agency,,40634,31-Mar-11,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,4000,2400,0,0,0,0,1000,600,1000,600,1000,600,1000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Stated,,Not Stated,,Not Stated,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,40366,,Transport
C079,P079,Technology Refresh sub-portfolio,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,01-Jul-12,,40354,IBM,"Operating System Platform (Windows, Linux etc.)",IBM,Other,IBM,Not Stated,IBM,Not Stated,Not Stated,Not Stated,,,,8245,,4285,,1475,,1338,,1147,,,,,,178,,99,,29,,27,,23,,,,,No,,No,,Yes,5,Yes,10,No,,No,,Yes,70,No,,No,,No,,No,,15,,,Transport
C080,P080,Test Environments 3 (TE3) Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,40847,,,IBM,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,443,,740,,,,,,,,,,,,,,,,,,,,,,,No,0,No,0,Yes,13,Yes,26,No,0,No,0,Yes,10,No,0,No,0,No,0,No,0,18,,Not Applicable,Transport
C081,P081,TI2011+ (Traffic Information 2011+),Department for Transport,DFT - Highways Agency,40603,40603,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,23,40324,Gateway 2 Delivery Strategy,Transport
C082,P082,Weblogic 7up Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,40634,,,IBM,"On Line Services, System Refresh and Business Applications",Other,Other,Other,Other,Other,Other,Other,Other,40364,Full Business Case stage,,,1600,1066,895,4846,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,5,,5,,15,,,Gateway 2 Delivery Strategy,Transport
C083,P083,Out of Salford Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,39092,,41091,39092,40354,IBM,Business Applications (i.e. Operational applications),IBM,Networks,IBM,Data Centres,IBM,"Operating System Platform (Windows, Linux etc.)",,,,,,2838,,1110,,1727,,,,,,,,,,28,,11,,17,,,,,,,,,,,,,Yes,10,Yes,10,Yes,60,,,Yes,20,,,,,,,,,,,Not Applicable,Transport
C084,P084,8 UP Project,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,,,,IBM,Business Applications (i.e. Operational applications),Fujitsu,Business Applications (i.e. Operational applications),Oracle,Business Applications (i.e. Operational applications),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,40,,,,,,,Yes,10,,,,,,,Yes,50,,,Not Applicable,Transport
C085,P085,TPMS Management and Maintenance Service for the Traffic Management Systems for the Traffic Officer Service,Department for Transport,DFT - Highways Agency,38687,,40633,40333,40333,Scott Wilson,System Management,,,,,,,,,40330,Strategic Outline Case stage,,,,,600,900,,,,,,,,,,,,,600,900,,,,,,,,,Yes,10,,,,,,,,,,,Yes,10,,,,,,,,,80,,Not Applicable,Transport
C086,P086,Future Links to Insurance Industry for Driver Enquiries,Department for Transport,DFT - Driver Vehicle Licensing Agency,,,,,,IBM,Business Applications (i.e. Operational applications),Fujitsu,Business Applications (i.e. Operational applications),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,25,Yes,25,,,,,Yes,25,Yes,25,,,,,,,,,Not Applicable,Transport
C087,P087,Traffic Manager Command & Control and Communication Service,Department for Transport,DFT - Highways Agency,40111,,41936,40111,,Computacenter (UK) Ltd,System/Sub-system Maintenance,SunGard Public Sector Systems,System/Sub-system Maintenance,,,,,,,39903,Full Business Case stage,4408,10246,2101,1746,622,1846,528,1846,449,1881,382,1916,324,935,,,,,,,,,,,,,,,Yes,10,,,,,,,Yes,5,,,Yes,10,Yes,5,,,Yes,5,,,65,,Not Applicable,Transport
C088,P088,HM Coastguard Telecommunications Infrastructure Contract,Department for Transport,DFT - Maritime and Coastguard Agency,,40634,42460,38443,40057,BT,Telecommunications,,,,,,,,,,Estimate,,8000,,6160,,1184,,1600,,1600,,1600,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,100,,,,,Not Applicable,Transport
C089,P089,Abolition of Contracting Out for Defined Contributions schemes,Department for Work and Pensions,DWP - Strategy Information and Pensions Client Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40359,Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C090,P090,Active Operations Management,Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C091,P091,Audit Trail Analysis System 2 project,Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,N/A,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Outline Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C092a,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,,40396,,,Atos Origin,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40359,,,273,,,,273,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092b,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,,40378,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,256,,,,256,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092c,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,,40389,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,302,,,,302,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092d,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,40436,,,,BT,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092e,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,15-Sep-10,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092f,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,40436,,,,Atos Origin,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40359,,,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
