QMCO - Cancelled Operations - Q3 2012-13,,,,,,,,,,
,,,,,,,,,,
Basis,Year,Period Name,SHA Code,SHA Name,Org Code,Org Name,Total theatres,Day case theatres,Cancelled operations,Breaches of standard
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,19,5,62,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,15,1,155,12
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,17,3,28,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RWJ,STOCKPORT NHS FOUNDATION TRUST,17,4,103,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,23,5,146,3
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,14,1,130,2
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,18,4,83,0
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,52,4,241,24
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,21,5,96,4
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,25,9,105,12
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,31,3,87,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,30,10,100,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,16,5,82,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,27,4,111,4
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,27,1,94,0
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,23,2,39,6
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,27,0,118,2
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,19,6,276,18
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,5,5,30,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,40,7,177,10
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,32,10,298,9
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,23,5,77,4
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,0,0,0,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,1,1,5,0
