Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"1,076.83"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,820.83
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"2,402.75"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"3,629.25"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"37,462.10"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"1,416.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"18,829.23"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,COLVILLE CARE LTD,13189509,"29,345.99"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,EARL MOUNTBATTEN HOSPICE,13189545,"618,242.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DOWER HOUSE SURGERY,13234435,"1,435.78"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13234435,"9,637.32"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13234435,342.72
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13234435,"51,470.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13234442,-756
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,13234442,"-63,186.65"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,13234443,"137,643.78"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,13234443,756
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13234443,"4,379.76"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13234443,"20,709.01"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,13241175,"46,209.63"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ENGLAND,13241404,"135,147.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ENGLAND,13241404,"59,460.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,LANGFORD CLINIC LTD,13269640,"35,712.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,TICCS,13281909,"51,535.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,ISLE OF WIGHT NHS TRUST,13281994,"311,520.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Accruals <1Yr-NHS Period End Accrual,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,13282018,"164,880.00"
