RFI ,Summary,Status,Outcome,Refusal Reason(s)
7269,"Documents from 1/10/2014 on treatment of water from shale gas and onshore oil and gas operations and re-injection. Internal & external SCS & Ministerial meetings/telecons: DECC,EA, HSE, Cuadrilla, UKOOG, IGas, Third Energy, Total, Centrica.",Closed,Information Not Held,
7268,in electronic format 1. A copy of the LPCSS Survey for the last 4 years 2. Any guidance information provided to local authorities to complete the above 3. Data from the survey for the previous 4 years including the relevant local authority names,Closed,Closed - Advice and assistance case,
7267,"Since 1 January 2012, what staff have made applications under the business appointment rules to work for external organisations. The jobs they took up and the jobs they had performed while in the Defra.",In Progress,,
7266,number of times immigration official etc visit Dept to investigate allegations of suspected illegal immigrantsworking there,Closed,All Information Provided,
7265,David Cameron and Liz Truss have repeatedly gone on record as stating Bovine TB will cost £1 Billion over the next 10 years. Bearing in mind that RFI6864 clarified the amounts paid in compensation are less than £30 Million a year and falling I would like,In Progress,,
7264,"1. In 2014 (calendar year), how much did the department spend on public relations? This should include (but not be limited to): salaries for communications and press office staff, advertising, marketing, publicity, and payments to third parties for commun",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7263,The number of staff made redundant within six months of returning from maternity leave in each year since 2010,Closed,Information Not Held,
7262,"Numbers of dogs on the index, details on breed type, how many dogs are in the process of being exempted, how many CDO's issued but the exemption hasn't been fully completed, how many exempted dogs are registered with a different registered owner to keeper",Closed,All Information Provided,
7261,"How many contracts have been undertaken with Google or its subsidiaries between 2010 and 2015, the purpose of each contract and the value of each contract.",Closed,Information Not Held,
7260,Minutes of meetings/phone conferences of the Lead Ammunition Group,Closed,Information Not Held,
7259,"Defra hospitality register for the environment and rural group. The name of official receiving the hospitality, date hospitality took place, nature and source of the hospitality, and the purpose of the hospitality for the period since 1 January 2011.",Closed,Information Partially Provided,"S21 - Information accessible by other means, S40 - Personal information"
7258,"Costs/budget of UK Salmonella National Control Programme 2000-2013 at any publicly funded organization (Ministries, government Agencies / Institutions, etc)excluding costs to the farms, food industry and/or consumers.",Closed,All Information Provided,
7257,"Position at Defra and the company, company seconded to and from, duration, including start and end date, Defra policy team worked at before the secondment and currently working at on secondment, position of official they report to at company and Defra.",Closed,All Information Provided,
7256,"I would very much appreciate if you could supply me with a list of all of the legislation relating to National Parks, National Park Authorities and in particular the New Forest including the Verderers and Agisters and all other bodies that have a statutor",Closed,No Information Provided,S21 - Information accessible by other means
7255,The requester is asking for minutes of minutes of the military underwater sound stakeholders forum for the period 2009 to present that Defra co-chaired.,Closed,Information Available Elsewhere,
7254,"Details of ICT contract(s) for Server Hardware Maintenance, Server Virtualisation License and Maintenance and Storage Area Network Maintenance/Support",Closed,All Information Provided,
7253,Fixed telecoms contracts,Closed,Information Not Held,
7251,1/ Could you tell me how many marksmen were authorised for the 2014 badger cull in Somerset 2/ Were the marksmen authorised for free shooting and cage trapped animals or did they require separate authorisation and training 3/ If marksmen had separate au,Closed,Information Not Held,
7250,Contract information with regards to Defra’s telephone system maintenance contract,Closed,All Information Provided,
7249,Secondees from external organisations since 1 August 2013. Full name job title organisation/body seconded from group/directorate/branch work in description of area of responsibility position of official they report to dates they started/ended if,Closed,Information Partially Provided,S40 - Personal information
7248,Number of travelling circus animal licences issued or renewed between March 1 2012 and Feb 9 2015 and the number issued or renewed between April 16 2013 and Feb 9 2015,Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7247,Information on how many ABPs were imported into the UK in 2014 from other EU states and countries outside the EU,Closed,All Information Provided,
7246,"On the basis of the above justification for refusal, and the assurance the data would be published 'later this year' (2014), can you please confirm: a) Has the baseline historic data been published as part of a peer-reviewed research paper on the metho",Closed,No Information Provided,S22 - Information intended for future publication
7244,"Request for information held on the number of stray dogs for each local authority, by year since 2005",Closed,Information Not Held,
7242,To disclose any research done by Defra revealing the impact that solar farms have on food production in the UK.,Closed,Information Not Held,
7241,"UK government's definition of:sustainable development, sustainability, mainstreaming sustainable development, a presumption towards sustainable development, sustainable finance,",Closed,All Information Provided,
7240,For 1/1-31/12/14 in Defra’s Procurement Department. No of: non-perm staff employed non-perm staff left perm staff recruited staff are related to each other Recruitment Policy used to recruit and promote perm staff Details of overtime or additi,Closed,All Information Provided,
7239,Number of sick days taken during 2014 and number of employees on the last working day of 2014. Dates of all sick days taken Total departmental cost of sickness absence Who took the sick days or how many times each person took a sick day. Reasons given,Closed,Information Partially Provided,"S40 - Personal information, S12(1) - cost of compliance exceeds appropriate limit"
7238,1. How many employees have been suspended for national security reasons 2. How many employees have been dismissed without suspension for national security reasons 2. For each suspended employee please provide the outcome and length fo suspension to date,Closed,All Information Provided,
7237,Details of IT training in Defra,Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7236,"Results of any study into farm livestock deaths, including a breakdown of disease, injury and predation statistics.",Closed,No Information Provided,S21 - Information accessible by other means
7235,Details of occasions when air quality pollution has been 'high' or above in the UK for the most recent two years available,Closed,All Information Provided,
7234,"Within the recently released 'Badger Cull Risk Register' it states: ""Negative and adverse publicity concerning the free shooting and trapping of non target species"". 1). Could you let me know of any cases where non-target animals were trapped? 2). W","Closed, Under Appeal",Information Not Held,
7233,"Within the recently release Risk Register on the pilot culls it states that one high risk is ""An increase in herd breakdowns in cull or areas surrounding a cull"". Yet in answer to a previous FOI (TB Statistics in Cull Pilot Areas To Department for Env",Closed,Closed - Advice and assistance case,
7232,"How many requests have you received under s35 of the Planning Act 2008 for a water, waste water or waste project outside the thresholds in the Act to use the Planning Act 2008 for authorisation? Of such requests, how many were successful, unsuccessful or",Closed,Information Not Held,
7228,"Please can you tell me how many of the culled badgers in each of the two years, 2013 and 2014, that received a post mortem, showed any signs of illness or ill health including outward signs of tb infection as per this statement ""However during the post mo",Closed,Information Not Held,
7227,On the 23rd of January the Broads Authority resolved to rebrand the Authority as the Broads National Park. I should be grateful if you could supply me with copies of all communications between yourselves and the Broads Authority in relation to the rebra,Closed,Information Partially Provided,"S35 - Formulation of Government policy, S42 - Legal professional privilege, S40 - Personal information"
7226,"Re crop protection and allied matters - mtg details inc date, attendees, subjects of discussion &, where poss, minutes, for all meetings involving but not ltd to the NFU and Defra since 2010 or whichever earliest date you’re able to supply information",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7225,Following RFI6629 - additional questions asked and information requested on Rhydymwyn,Closed,Information Partially Provided,S1(3) - Public authority reasonably requires further information to identify request
7224,"In 2014 No. of Defra civil servants seconded to private sector (inc charities), ranks & names of hosts. No. of private sector (inc charities) secondees to Defra, hosts’ names, job titles, branch/group/directorate in which placed, who paid the salary.",Closed,All Information Provided,
7223,"1, The total number of UK dairy farms to receive funding / grants under the Farming & Forestry Improvement Scheme (FFIS) Round 1, 2, The recipients of each of these funds / grants, the amounts awarded to each recipient, and the grants' purpose",Closed,Information Not Held,
7222,"1, The total number of UK dairy farms to receive funding / grants under the Farming & Forestry Improvement Scheme (FFIS) Round 2, 2, The recipients of each of these funds / grants, the amounts awarded to each recipient, and the grants' purpose",Closed,Information Not Held,
7221,"1, The total number of UK dairy farms to receive funding / grants under the Farming & Forestry Improvement Scheme (FFIS) Round 3, 2, The recipients of each of these funds / grants, the amounts awarded to each recipient, and the grants' purpose",Closed,Information Not Held,
7220,Costs for the visit to China by the Secretary of States Elizabeth Truss,Closed,All Information Provided,
7218,"Copies of directions from Elizabeth Truss to Defra staff, on the subject of ‘priorities’",Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7217,"Please instead provide line by line expenditure on advertisements showing cost, payment date and supplier for the last three full financial years",In Progress,,
7216,s.74 of the Act exempts Crown Land (including the Duchies of Cornwall and Lancaster) from the effects of the act outright. They are entitled to refuse you consent to do enforce almost any of your powers under the Act. Are you aware of any instances si,Closed,Information Not Held,
7213,"Please provide me with a copy of the ""Pest Reference List"" dataset which is described here: http://data.gov.uk/dataset/pest-reference-list",Closed,All Information Provided,
7212,"Under a Freedom of Information request, can you please advise the following: What guidance (if any) was given to the regulator regarding the technical assessment of SWOBS? Who within the regulatory authority would normally carry out such an assessment",In Progress,,
7211,'' to view the KPMG report (and any associated documents) that was commissioned as part of the 2012/ 2013 Triennial Review of Natural England and the Environment Agency. '' CCU reference number is 58/15.,Closed,No Information Provided,S35 - Formulation of Government policy
7210,"Please can you supply me with a list of addresses of land with planning permission and their owners within flood risk areas in the UK, also a list of all properties and addresses which are in flood risk areas in the UK",Closed,Information Not Held,S39 - Government information
7209,NUMBERS OF PEOPLE WORKING IN WATER-RELATED AREAS AND IN FLOOD RISK MANAGEMENT - follow on from clarification of RFI 7173,Closed,All Information Provided,
7208,"The number of complaints your department received in 2010/11, 2011/12, 2012/13, 2013/14 and 2014/15 so far",Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7207,"1. Do you provide milk for departmental staff and Ministers? 2. Do you provide milk for visitors to the department? 3. Can I please have the cost of milk for departmental staff and Ministers in 2010/11, 2011/12, 2012/13, 2013/14 and 2014/15 so far",Closed,Information Not Held,
7206,Please let me know how much this survey cost in its totality.,Closed,All Information Provided,
7205,"Query on ""Crown Land"" Is it correct, to the best of your knowledge, that you would have no power to overrule the Duchy’s refusal to comply in any of the above cases, and their decision would be absolute? Are you aware of any policy announced by the Du",Closed,All Information Provided,
7204,Copies of directions from Lord Henley to Defra staff on the subject of priorities,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7203,Copies of directions from Owen Paterson to DEFRA staffon the subject of priorities,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7202,Copies of directions from Dan Rogerson to DEFRA staff on the subject of priorities,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7201,A list of requests for meetings with Dan Rogerson on the subject of resources and/or supply chain,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7200,A list of requests for meetings with Elizabeth Truss on the subject of resources and /or supply chain,Closed,No Information Provided,S13(1) - Fee limit
7199,Would like a review of the exsisting FOI request which is a list of requests for meetings with Owen Patersonon the subject of resources and/or supply chain.,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7198,Briefings recieved by Elizabeth Truss from her Chief Scientific Advisor from July 2014 until the date on the FOI,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7197,Briefings Owen Paterson recieved from his Chief Scientific Advisor during October 2013 untill July 2014.,"Closed, Under Appeal",No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7196,"How many days Lizz Truss, Dan Rogerson, and George Eustice were in their Central London departmental offices week commencing 8th December, 15th December, 12th January and 19th January.",Closed,All Information Provided,
7195,Information relating to the solvency of the BMHS.,Closed,Information Not Held,
7194,"1) How many Cattle were compulsorily slaughtered as TB Reactors in England in 2011, 2012 & 2013? a) How many of these TB Reactors were inspected for clinical symptoms, visible lesions or otherwise, of TB at post-mortem in 2011, 2012 & 2013? b) How",Closed,Information Partially Provided,S21 - Information accessible by other means
7193,"1. How many staff were employed by your department who had spent criminal convictions in 2010/11, 2011/12, 2012/13, 2013/14 and 2014/15 so far? 2. How many staff were employed by your department who had unspent criminal convictions in 2010/11, 2011/1",Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7192,"Has Defra conducted any studies on the effects of Crystalline Silica on British livestock animals, namely cows, sheep or pigs. I am looking for any related studies on I am looking for any related studies on farm livestock.",Closed,Information Not Held,
7191,"Please provide the total annual cost of providing advice to farmers in the badger cull zone as per the statement seen here http://mrcvs.co.uk/en/news-story.php?id=12799 ""Over the next two years, the Animal and Plant Health Agency (APHA) will offer the ser",Closed,Transferred Out to another public authority,
7190,"Dear Sir / Madam, Please split out known costs from the £850,000 (see Ref 1) total cost for monitoring cull effectiveness in the first year of the pilot badger culls in Somerset and Gloucestershire. Reference 1 states the following. [START OF EXT",Closed,Information Not Held,
7189,"1. How many staff who had previously left or been dismissed from the department were re-employed by the department in 2010/11, 2011/12, 2012/13, 2013/14 and 2014/15 so far? 2. How many staff who had previously left or been dismissed were working on b",Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7188,"Organisational chart for the Policy Delivery Group: all departments reporting ultimately to the Director General, Peter Unwin",In Progress,,
7187,"Rural Enterprise Scheme application and supporting documentation submitted to Defra July 2002 by Graham Stuart Crocker of Crocker Enterprises Limited, trading as Quill Productions",Closed,Information Not Held,
7186,"Inspection reports and associated paperwork, licence applications, licences and other related correspondence,details of wild animal species for Peter Jolly's Cirus and Circus Mondao. Correspondence about licences for big cats owned by Thomas Chipperfield",Closed,Information Partially Provided,"S43 - Commercial interests, S38 - Health & safety, S40 - Personal information"
7185,1. All correspondence and minutes or records of meetings and phone calls between Defra & First Milk since August 2012. 2. All correspondence and minutes or records of meetings and phone calls between Defra & Sir James Paice since August 2012.,Closed,Closed - Advice and assistance case,
7184,"Meetings involving, but not limited to, Defra officials & NFU reps, including Meeting minutes and List of meeting attendees since May 2010 or, if that exceeds permissible limits under FoI/EIR, up to the present from the earliest permissible date",Closed,Closed - Advice and assistance case,
7183,information on christmas cards ministers have sent through,Closed,Information Partially Provided,S40 - Personal information
7181,"Number of dangerous dogs on the register by region and type (and type per region) Number of animals licenced under the Dangerous Wild Animals Act 1976 by family and LA, including number of Felidae broken down per species per LA",Closed,All Information Provided,
7180,The applicant would like to know: Details of any and all meetings between Defra personnel and Chinese representatives where export of pig meat and/or pig offal to china was discussed. To include names of Defra personnel involved and minutes of such meeti,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7179,(a) all the EU directives your Department transposed into UK law in 2014 and (b) which regulations your Department introduced as a result of EU legislation in 2014.,Closed,Information Partially Provided,S21 - Information accessible by other means
7178,"1. How many penalty charge notices were paid for by your department in 2010/11, 2011/12, 2012/13, 2013/14 and 2014/15 so far? 2. What were the total cash values of these penalty charge notices in each of these years? 3. What was the most expensive",Closed,,
7177,In an earlier FOI request ( see below) you said that you would not release the records of meetings with BVA on 2014 Badger Cull because you needed to have a private space in which to formulate policy. Now that you have announced (minor) amendments to the,Closed,No Information Provided,12 (4)(e) - Disclosure of internal communications
7176,Copies of correspondence between elected representatives and officials at Defra and officials at The United Kingdom Permanent Representation to the European Union (UKRep) concerning the UK’s position regarding the “Raw Materials Initiative”.Since January,Closed,Information Not Held,
7175,"In addition to my request for a review, but included here for the sake of simplicity and efficiency, I would like to submit an amended request under the Act for: Copies of correspondence between elected representatives and officials at Defra and official",Closed,No Information Provided,S35 - Formulation of Government policy
7174,Request for details of any key logging software used in Defra,Closed,All Information Provided,
7173,1.How many people work in water-related areas (Water Directorate & ACC)? 2. How many people work specifically in flood risk management work? 3. Extent to which there is an overlap or not in numbers working in area 1 and 2.,Closed,Closed - Advice and assistance case,
7170,• How many notifications / import lots have there been? – from each country and region ? • How many plants of each species have been imported ? • Which Port of entry did the consignments come in through?,Closed,All Information Provided,
7169,visit and meetings made by either SoS and other ministers to food banks or regarding food banks.,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7168,Requestor would like to know the number of 1 star or lower rated restaurants nationwide and conversely 5 star rated ones in 2014 and the 3 previous years. Same request for Lincoln area specifically also.,Closed,Information Not Held,
7167,know how many Equine Passports Issuers have been audited and how much has been spent in total on this audit,Closed,All Information Provided,
7165,"1. Can you please provide me with the annual figures for the number of staff you have disciplined for data breaches in 2010/11, 2011/12, 2012/13, 2013/14 and 2014/15 so far? 2. Can you also please provide me with the annual figures for the number",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7164,Today I received a notification that Defra have issued a Response to EIRs request for information about the badger culls. Please can you advise as to whom Defra are replying to? Please can you advise why you will not disclose all the information?,Closed,No Information Provided,Reg 12(3) personal data
7163,"Following an article in the Western Morning News, dated January 9th 2015 (http://www.westernmorningnews.co.uk/Environment-Secretary-Liz-Truss-says-climate/story-25829663-detail/story.html) Wherein the following claims are made: • ‘…Environment Secreta",Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7162,"50 road links/modelled locations within the UK highest modelled annual mean conc. of nitrogen dioxide for latest avavilale calendar year and any/all fture modelled years up to/including 2035.Specify year, annual mean and grid for each link/location",Closed,Information Partially Provided,12 (4)(c) - Request is formulated too generally
7161,"1) How much your office/department spent on interpreters/translators in 2013/14? 2) Of that, how much was spent specifically on sign language interpreters?",Closed,All Information Provided,
7160,Number of raptors that have been released and licenses given and impact they have on human health,Closed,Information Not Held,
7159,"Please provide me with a list of all the flights which your department paid for Amanda Craig during her tenure as special adviser to the Secretary of State between September 2012 and July 2014. If possible, please provide me with the dates, cost, desti",Closed,Information Partially Provided,S40 - Personal information
7158,"The amount of money Defra has allocated each LA. for Animal Health & Welfare work in the financial years 2012/2013,2013/2014 and 2014/2015.",Closed,Information Not Held,
7157,Please disclose under the FOI Act: Please release the report findings of this study that began in April 2013 and also had a second phase which took place in August 2013. IT was carried out by the Animal Health and Veterinary Laboratories Agency (AHVLA).,Closed,No Information Provided,12 (4)(d) - Unfinished documents/incomplete data
7156,"I would like to request information on any money you have spent on senior civil servants' rent/mortgage and other bills related to their homes (for example, but not exclusively, internet, phone, water, electricity, gas, insurance, TV subscription etc) - f",Closed,Information Not Held,
7155,"1. How much the Department paid out in redundancy payments in a) 2012 b) 2013 c) 2014 2. What is the biggest single redundancy payment made in the past three years? 3. For this payment, what was the position which was made redundant? (eg Chief Ex",Closed,All Information Provided,
7154,• How many people are employed by DEFRA to work in Greater London on zero-hours contracts. Please break this figure down by (a) occupation and (b) pay grade. • How many workers are employed by DEFRA to work in Greater London on an employment contract w,Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7153,"Detialed structure of procurement and contract management and finance functions, including those individuals responsible for their given area and reporting line management",Closed,Information Partially Provided,S40 - Personal information
7150,copy of FOI response RFI 7028 UK energy from waste facilities with an R1 scoring under Waste Framework Directive in alternative format,Closed,Information Available Elsewhere,
7149,"1. The cost of the advert/article/paid placement. 2. If it was an advert, the type of advert - for example a billboard, newspaper advert, an advert on a website, or a television advert. If it was an advertorial article or a paid placement of content plea",Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7148,"1.%oflegislation whether Acts, SIs,guidelines affected by EU law. 2.No.of Acts originating from EU and 3.domestic origin 4.Expenditure of implementing Directives, Regs, or domestic Acts to comply with EU law.5.Such Acts to include regs on the environment",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7147,Please tell me the total cost of the badger cull until the end of 2014.,Closed,Information Partially Provided,12 (4)(d) - Unfinished documents/incomplete data
7146,"The water and sewerage connection activities which DEFRA tabled for consideration within the standards of DCLG’s ‘Better Connected’ document, but not advanced because they could not be agreed during the drafting.",Closed,No Information Provided,12 (4)(a) - Information not held
7145,The start and end dates and values of the following frameworks / contracts: * 21119 - Procurement of services for Waste Data Flow Administration and Management * 20162 - The provision of a fully managed service for the delivery of tuberculin testing,Closed,All Information Provided,
7144,UK fish imports,Closed,All Information Provided,
7143,"Annual cost to local authorities in England for removing tethered horses from public land, by individual LA or England total",Closed,Information Not Held,
7142,"Disclosure of all notes from meeting, corresponadence, emails and records of phonecalls and the subjetc matter between Gavin Barwell MP and Defra Ministers since 06th May 2010.",Closed,Information Not Held,
7141,"Direct emails put to Defra from individual stakeholders, meaning member organisations of the LAG, and the subsequent responses from Defra, regarding the Lead Ammunition Group from June 2012 onwards",Closed,Information Partially Provided,S40 - Personal information
7140,"Requester is asking for copies of all correspondence between Defra and the Smith Commission, which examined further powers to be devolved to the Scottish Parliament. This should include emails, letters,formal briefing notes between Govt Reps and Ministers",Closed,Information Not Held,
7139,Number of cases of non-compliance with animal welfare legislation that AHVLA referred to the Defra Investigation Service (DIS) for investigation and number of cases of non-compliance with animal welfare legislation which DEFRA referred to the CPS in 2013,Closed,All Information Provided,
7138,"• The number of civil servants from your department seconded to work in the private sector, their ranks and the names of their private sector 'host' companies. • The number of private sector 'secondees' to your department, the names of the companies fr",Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7137,"How much does the department (and each of executive agencies and non-departmental public bodies) spend on publishing staff magazines/e-magazines. What the readership is of each of these. What is the departments internal comms budget, inc. staff costs.",Closed,Closed - Advice and assistance case,
7135,Could you tell me how many Agri wages claims were processed/dealt with between January 2013 and October 2014 and how many officers were used to process these claims. Could you also tell me if these claims were brought to conclusion with less than full a,Closed,All Information Provided,
