"Figure 6.1: Key telecoms indicators, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband ,3.3,4.8,4.8,3.5,24.3,2.9,8.7,1.8,3,1.9,0.7,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,
Total,27.4,32.6,37.2,25.6,183.8,18.1,73,13.3,21.4,8.7,3.9,2.4,5.9,30,16.4,10.3,60.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Total service revenue excludes revenue from narrowband internet and corporate data services and broadband revenues for BRA, RUS, IND and CHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.19: Telecoms service retail revenues, by sector, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,,
,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,
Fixed,11,9.2,12.4,9.7,18,12.7,11.3,8.3,75.6,61.8,7.4,6.4,26.9,19.4,5.2,4.2,7,5.5,3.4,2.3,1.9,1.3,1.2,1,2.2,1.3,12.2,14.1,3.4,5.2,4.2,2.6,19.3,12.6,
Mobile,11.9,14.9,14.1,18.1,20.7,19.7,12.4,13.7,65.4,97.6,4.9,8.8,48.8,44.9,4.5,7.3,9.1,12.9,4.4,4.5,1.4,1.9,1.2,1.2,3,4,6.6,15.9,3.6,11.2,2.1,7.7,26.1,48.1,
Fixed broadband,1.4,3.3,1.5,4.8,2.2,4.8,1.4,3.5,10,24.3,1.6,2.9,4,8.7,0.3,1.8,1.4,3,1,1.9,0.4,0.7,0.1,0.2,0.1,0.6,,,,,,,,,
,24.3,27.4,28.1,32.6,40.9,37.2,25.1,25.6,151,183.8,13.8,18.1,79.7,73,10.1,13.3,17.6,21.4,8.8,8.7,3.7,3.9,2.5,2.4,5.4,5.9,18.8,30,7,16.4,6.3,10.3,45.4,60.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Total service revenue excludes revenue from narrowband internet and corporate data services and broadband revenues for BRA, RUS, IND and CHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.20: Data revenue as a proportion of total telecoms revenues, 2004 and 2009 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2004,14.90%,10.90%,14.00%,14.90%,9.20%,14.90%,20.20%,9.60%,15.90%,19.10%,15.90%,12.20%,9.30%,,,,,,,,,,,,,,,,,,,,,,
2009,28.30%,27.00%,26.00%,29.40%,27.70%,28.90%,37.70%,32.70%,27.00%,35.20%,30.40%,24.90%,26.30%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Analysis excludes the BRIC countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.21: Fixed broadband and mobile data revenues, 2004 to 2009 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS,11.4,13.3,15.8,19.2,23.3,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-SMS mobile data,18.2,21.2,26.2,32.7,40.3,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mobile data,29.6,34.5,42,51.9,63.6,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband,25.4,33.3,42.3,49.8,55.4,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Analysis excludes the BRIC countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.22: Mobile as a proportion of total telecoms revenues, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2004,49.20%,50.20%,50.70%,49.50%,43.30%,35.10%,61.30%,44.90%,51.90%,50.00%,37.40%,49.60%,56.60%,,,,,,,,,,,,,,,,,,,,,,
2009,54.40%,55.50%,52.90%,53.60%,53.10%,48.70%,61.50%,54.90%,60.40%,51.20%,48.10%,50.50%,67.90%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Analysis excludes the BRIC countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.23: Mobile as a proportion of total voice connections, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,63%,57%,57%,68%,50%,44%,55%,61%,65%,63%,61%,66%,65%,63%,66%,52%,55%,,,,,,,,,,,,,,,,,,
2009,71%,72%,70%,80%,67%,56%,69%,71%,73%,77%,70%,73%,82%,81%,82%,93%,70%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.24: Fixed-line voice retail revenues, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,75.6,72.8,68.7,67.9,65.4,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,26.9,26.1,25.2,23.4,21.2,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,18,17.4,16.3,15,14,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,12.4,12,11.4,10.9,10.5,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,11,10.2,10,9.8,9.6,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,11.3,10.5,9.7,9.5,8.9,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,7.4,7.2,6.9,6.7,6.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,5.2,5,4.8,4.5,4.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,12.2,13.1,12.9,13.1,14,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,19.3,19.7,19.4,17.8,16.1,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,7,7.1,6.6,6.3,6.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,3.4,3.7,4.4,5,5.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,4.2,4.2,3.8,3.4,2.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,3.4,3.3,2.9,2.5,2.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,1.9,1.8,1.6,1.5,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2.2,2,2,1.7,1.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,1.2,1.1,1.1,1.1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.25: Average monthly revenue per fixed line, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,25.6,30.7,27.4,31.8,35,31.1,31.9,37.2,28.1,28.6,24.3,50.2,14.6,25.7,7.3,7.9,6.3,,,,,,,,,,,,,,,,,,
2009,22.6,32.5,21.6,30.9,35.3,28,30.9,32.8,22.8,30,20.4,40.2,10.3,28.3,9.6,5.7,3.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.26: Fixed-line voice call volumes, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,CHN,,,,,,,,,,,,,,,,,,,,
2004,163.4,105.1,194,99,"1,136.30",60.6,160.5,107.3,70.6,,33.4,9.7,28.1,,,,,,,,,,,,,,,,,,,,,,
2009,133,109.2,159,81.3,614.2,70,87.1,54.3,67.9,22.9,22,8.2,15.9,217.8,165.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for USA and CAN exclude local and VoIP calls and include incoming mobile calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.27: Monthly outbound minutes per fixed line, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,763.7,716.8,656,608.1,505.4,422.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,259.7,266.1,273.9,295.3,334.3,364.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,525.2,484.9,450.9,414,383.2,350.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,380.8,378.5,361.2,354.6,337.6,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,254.6,291,313,313.4,303.9,307.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,279.5,274.3,281.1,276.6,288.2,301.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,296.6,277,267.1,260.5,262.4,269.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,190.7,165.6,152.1,142,138.5,139.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,534.6,492.6,454.7,440.3,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,432.3,431.8,405.1,393.9,382.1,350.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,412.8,410.5,419.8,381.1,367.1,342.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,,,282.2,271.5,279,293.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,281.8,291.3,291.1,287.8,282.9,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,186.1,198.7,204.3,203.2,154.5,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,,,,41.1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for USA and CAN exclude local and VoIP calls and include incoming mobile calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.28: Incumbent share of fixed voice call volumes, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,,
2004,55.50%,67.10%,48.00%,69.30%,65.60%,67.00%,70.00%,65.00%,53.40%,76.00%,86.70%,,,,,,,,,,,,,,,,,,,,,,,,
2009,40.40%,55.00%,34.00%,55.40%,,69.10%,60.80%,55.00%,50.00%,57.50%,62.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.29 Fixed exchange lines, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,35.4,33.5,54.7,29.1,177.7,19.1,69.6,11.6,20.9,9.5,6.4,2,12.6,39.6,39,44.9,256.1,,,,,,,,,,,,,,,,,,
2009,33.5,23.9,47.3,21.7,141.7,18.7,49.7,10.3,19.9,6.1,5.2,2,9.9,41.5,45.4,37.1,314,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.30 Mobile revenues, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,11.9,14.1,20.7,12.4,65.4,4.9,48.8,4.5,9.1,4.4,1.4,1.2,3,6.6,3.6,2.1,26.1,,,,,,,,,,,,,,,,,,
2009,14.9,18.1,19.7,13.7,97.6,8.8,44.9,7.3,12.9,4.5,1.9,1.2,4,15.9,11.2,7.7,48.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include revenues from incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.31: Average monthly revenue per mobile connection, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,49.3,46.1,44.5,42.3,36.8,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,30.2,29.8,30.3,31.9,32.6,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,32.9,31.6,30.3,30.2,29.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,27.2,27.7,26.8,26.2,26.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,22.1,22.2,22.6,22.7,24.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,17.6,17.3,17.1,17.4,17.1,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,25.4,22.9,21,18.3,16.3,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,17.3,16.5,14.7,13.2,12.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,19.9,21.6,21.8,22.6,21.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,27.8,26.4,24.5,23.6,22.3,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,24.9,21.9,20.8,19.2,18.9,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,12.3,12,11.9,13,12.9,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,8.4,9.3,9,9.5,8.8,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,12.5,10.5,9.2,8.3,8,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,6.8,7.2,7,6.8,6.2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,4,3.8,3.8,4.5,5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,3.6,3.6,3,2.6,2.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include revenues from incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.32: Data as a proportion of total mobile service revenue, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,19.00%,10.80%,17.00%,18.80%,6.00%,10.50%,24.80%,13.80%,14.90%,15.00%,12.00%,19.60%,12.10%,4.20%,5.00%,3.50%,15.00%,,,,,,,,,,,,,,,,,,
2009,30.00%,22.10%,24.80%,29.20%,27.20%,26.60%,41.90%,35.00%,21.50%,25.70%,24.20%,30.30%,23.00%,12.30%,11.10%,11.10%,30.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include revenues from incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.33: Average monthly mobile voice and data revenue per connection, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,,
,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,
Voice,14.3,11.1,24.3,19.7,21.1,11.5,14.1,9,31,21.2,27,23.8,37,20.1,19,16.2,16.9,15.7,21.1,13.3,10.8,10,22.3,13.3,11,5.8,8,7.2,3.8,4.2,3.4,1.3,5.8,4,
Data,3.4,4.7,2.9,5.6,4.3,3.8,3.3,3.7,2,7.9,3.2,8.6,12.2,14.5,3.1,8.7,3,4.3,3.7,4.6,1.5,3.2,5.5,5.8,1.5,1.7,0.4,1,0.2,0.5,0.1,0.2,1,1.7,
,17.6,15.8,27.2,25.2,25.4,15.2,17.3,12.8,32.9,29.1,30.2,32.5,49.3,34.6,22.1,25,19.9,20,24.9,17.9,12.3,13.2,27.8,19.1,12.5,7.6,8.4,8.2,4,4.7,3.6,1.5,6.8,5.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.34: Average monthly SMS and non-SMS data revenue per mobile connection, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,,,,,,,,,
,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,,,,,,,,,
SMS,3,2.9,2.6,3.6,3.9,2.5,2.4,2.3,0.9,2.6,0.3,2.1,0,0,2.6,4.7,2.7,2.2,3.7,2.5,1.4,1.7,5.5,5.8,1.4,1.5,,,,,,,,,
Non-SMS data,0.3,1.9,0.4,1.9,0.4,1.3,0.9,1.4,1,5.3,2.9,6.5,12.2,14.5,0.4,4,0.3,2.1,0,2.1,0.1,1.5,0,0,0.1,0.3,,,,,,,,,
Total data,3.4,4.7,2.9,5.6,4.3,3.8,3.3,3.7,2,7.9,3.2,8.6,12.2,14.5,3.1,8.7,3,4.3,3.7,4.6,1.5,3.2,5.5,5.8,1.5,1.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
