Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190677,419.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190677,524.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000190678,478.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000190678,38701.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,GOLDCREST CHEMICALS LIMIT,0000190685,837.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,TRAINING AND EDUCATION,ENVIRONMENT,PROF SER LRNG&DEV-STAFF TRNING,HEAT PUMP CONFERENCE FEE,0000190719,20.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH ENERGY LIMITED,0000190726,2081.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH ENERGY LIMITED,0000190727,29300.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH ENERGY LIMITED,0000190728,4155.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,O2 (UK) LIMITED,0000190730,20.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,O2 (UK) LIMITED,0000190731,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,O2 (UK) LIMITED,0000190732,14.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000190733,58.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000190734,58.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,NABARRO LLP,0000190738,367.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190764,724.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190765,675.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190766,541.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190767,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190768,24.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190769,290.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190770,762.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190771,320.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190772,4660.09
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190773,2276.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190774,563.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190775,517.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190776,594.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190777,465.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190778,1273.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190779,768.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190780,660.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190781,746.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190782,364.43
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190783,76.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,WYG ENV PLANNING TRANSPOR,0000190805,141.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,WYG ENV PLANNING TRANSPOR,0000190806,1751.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,WYG ENV PLANNING TRANSPOR,0000190807,2352.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,WYG ENV PLANNING TRANSPOR,0000190808,1406.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,PREMIER WASTE RECYCLING L,0000190809,78.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,PREMIER WASTE RECYCLING L,0000190810,22.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190815,441.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,ANDERSON STRATHERN,0000190844,1185.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000190846,58.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000190847,19.63
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000190849,19.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,2991.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,12191.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,9472.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,4134.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,28867.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,765.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,6055.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,67.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,2617.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,9659.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,15649.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,745.54
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,2594.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,47.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000190850,47.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,EDF ENERGY,0000190850,4553.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190888,346.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,DLA PIPER UK LLP,0000190915,1420.89
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BARNSLEY METROPOLITAN BOR,0000190919,9160.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190953,513.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190954,531.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190955,351.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190956,81.02
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190957,779.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190958,614.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190959,531.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190960,12.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190961,23.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190962,309.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190963,810.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190964,317.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190965,1747.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190966,2375.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190967,13752.61
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190968,699.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190969,434.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190970,375.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190971,463.74
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190972,1254.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000190973,765.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/05/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,UNIVAR LIMITED,0000190996,6384.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,GOLDCREST CHEMICALS LIMIT,0000190997,837.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,GOLDCREST CHEMICALS LIMIT,0000190998,837.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,WYG ENV PLANNING TRANSPOR,0000190999,1989.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/05/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000191003,1136.09
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000191004,196.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/05/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000191005,2842.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000191006,4412.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000191007,3064.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,NORTHUMBRIAN WATER LIMITE,0000191012,2959.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,TILHILL  FORESTRY LIMITED,0000191015,166.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/05/2012,RENTS PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,DOUGLAS & ANGUS ESTATES,0000191016,2393.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,NORTHUMBRIAN WATER LIMITE,0000191017,73.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,LOWTHER FORESTRY GROUP LI,0000191019,345.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/05/2012,RENTS PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,LAMBTON ESTATES NO 2 ACCT,0000191020,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,RENTS PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,CROWN ESTATE,0000191021,690.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,VINCI CONSTRUCTION UK LTD,0000191023,10541.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,CAULMERT LIMITED,0000191024,1480.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,234.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,259.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,117.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,239.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,239.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,239.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,1122.54
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,1256.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,179.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,179.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000191026,538.50
