Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
North West,155,Congleton,2001,chemistry,4.7,52.8,49.6,24.6,0.5,0,132.1,3.5,40,37.5,18.6,0.4,0,43.5,56.1,0.4,0,
North West,155,Congleton,2001,phosphate,0,20.3,20.6,37.8,31.1,22.3,132.1,0,15.4,15.6,28.6,23.5,16.8,,,,,69
North West,155,Congleton,2001,nitrate,0,39.2,30.6,17.1,24.3,21,132.1,0,29.7,23.1,12.9,18.4,15.9,,,,,34.3
North West,155,Congleton,2002,biology,0,0,34.8,31.2,17.7,3.7,87.4,0,0,39.8,35.6,20.3,4.3,0,75.5,20.3,4.3,
North West,155,Congleton,2002,phosphate,0,20.3,3.4,53,33.1,22.3,132.1,0,15.4,2.6,40.1,25,16.8,,,,,82
North West,155,Congleton,2002,nitrate,0,41.5,32,17.5,20.1,21,132.1,0,31.4,24.2,13.2,15.2,15.9,,,,,31.1
North West,155,Congleton,2002,chemistry,4.7,49.1,48.8,29.1,0.5,0,132.1,3.5,37.1,36.9,22,0.4,0,40.7,58.9,0.4,0,
North West,155,Congleton,2003,phosphate,0,20.3,30.2,28.7,30.6,22.3,132.1,0,15.4,22.9,21.7,23.2,16.8,,,,,61.7
North West,155,Congleton,2003,nitrate,15.4,26.1,31.6,14.2,24.5,20.3,132.1,11.7,19.7,23.9,10.7,18.5,15.4,,,,,33.9
North West,155,Congleton,2003,chemistry,6.1,57.6,41.9,26.1,0.5,0,132.1,4.6,43.6,31.7,19.7,0.4,0,48.2,51.4,0.4,0,
North West,155,Congleton,2003,biology,0,3.3,27.8,42.2,17.1,3.7,94.1,0,3.5,29.6,44.8,18.2,4,3.5,74.4,18.2,4,
North West,155,Congleton,2004,phosphate,0,20.3,26.5,32.4,30.6,22.3,132.1,0,15.4,20,24.6,23.2,16.8,,,,,64.6
North West,155,Congleton,2004,biology,0,7.9,27,46.7,12.5,0,94.1,0,8.4,28.7,49.6,13.3,0,8.4,78.3,13.3,0,
North West,155,Congleton,2004,chemistry,0,51.3,56,7.6,17.2,0,132.1,0,38.9,42.4,5.8,13,0,38.9,48.1,13,0,
North West,155,Congleton,2004,nitrate,0,39.2,32,16.1,24.5,20.3,132.1,0,29.7,24.2,12.2,18.5,15.4,,,,,33.9
North West,155,Congleton,2005,chemistry,0,66,38.9,6.4,19.6,1.3,132.1,0,50,29.4,4.8,14.8,1,50,34.2,14.8,1,
North West,155,Congleton,2005,nitrate,15.4,23.7,33.2,24.5,14.9,20.3,132.1,11.7,18,25.2,18.5,11.3,15.4,,,,,26.7
North West,155,Congleton,2005,phosphate,0,35.8,14.8,28.6,34.3,18.6,132.1,0,27.1,11.2,21.7,26,14.1,,,,,61.7
North West,155,Congleton,2005,biology,0,11.7,23.2,45.4,12.5,1.3,94.1,0,12.4,24.7,48.3,13.3,1.3,12.4,73,13.3,1.3,
North West,155,Congleton,2006,chemistry,4.7,56.4,46.2,3.7,19.9,1.3,132.1,3.5,42.7,35,2.8,15,1,46.3,37.8,15,1,
North West,155,Congleton,2006,biology,0,11.7,31.4,43.3,2.7,5,94.1,0,12.4,33.4,46,2.9,5.3,12.4,79.4,2.9,5.3,
North West,155,Congleton,2006,nitrate,11.2,28,33.1,18.7,18.9,22.3,132.1,8.5,21.2,25.1,14.1,14.3,16.9,,,,,31.1
North West,155,Congleton,2006,phosphate,0,35,15.6,28.6,34.3,18.6,132.1,0,26.5,11.8,21.7,26,14.1,,,,,61.7
North West,156,Copeland,1990,phosphate,132.6,23.1,4.7,13,0,1.3,174.7,75.9,13.2,2.7,7.4,0,0.8,,,,,8.2
North West,156,Copeland,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,156,Copeland,1990,chemistry,88.9,34.1,11.2,1.9,0,0,136.1,65.3,25.1,8.2,1.4,0,0,90.4,9.6,0,0,
North West,156,Copeland,1990,biology,27,129.3,49.8,3.2,1.5,0,210.9,12.8,61.3,23.6,1.5,0.7,0,74.2,25.1,0.7,0,
North West,156,Copeland,1993,chemistry,179.5,45.3,25.7,11.1,1.6,0,263.2,68.2,17.2,9.8,4.2,0.6,0,85.4,14,0.6,0,
North West,156,Copeland,1994,chemistry,157.2,88.6,11.1,4.2,2.2,0,263.2,59.7,33.7,4.2,1.6,0.8,0,93.4,5.8,0.8,0,
North West,156,Copeland,1995,phosphate,106.3,132.2,8.3,11.2,5.3,0,263.2,40.4,50.2,3.1,4.2,2,0,,,,,6.2
North West,156,Copeland,1995,nitrate,167.9,57.8,33.1,2.9,1.6,0,263.2,63.8,22,12.6,1.1,0.6,0,,,,,0.6
North West,156,Copeland,1995,biology,59,154.7,25.4,9.1,1.7,0,250,23.6,61.9,10.2,3.7,0.7,0,85.5,13.8,0.7,0,
North West,156,Copeland,1995,chemistry,118.9,124.5,16.3,3.5,0,0,263.2,45.2,47.3,6.2,1.3,0,0,92.5,7.5,0,0,
North West,156,Copeland,1996,chemistry,118.9,114.2,23.7,6.4,0,0,263.2,45.2,43.4,9,2.4,0,0,88.6,11.4,0,0,
North West,156,Copeland,1997,chemistry,180.4,52.2,25.4,5.3,0,0,263.2,68.5,19.8,9.7,2,0,0,88.3,11.7,0,0,
North West,156,Copeland,1998,chemistry,202,26,31.7,3.5,0,0,263.2,76.7,9.9,12.1,1.3,0,0,86.6,13.4,0,0,
North West,156,Copeland,1999,chemistry,206.7,41,14.9,0.6,0,0,263.2,78.5,15.6,5.7,0.2,0,0,94.1,5.9,0,0,
North West,156,Copeland,2000,phosphate,168.5,65.4,15.8,10.6,2.9,0,263.2,64,24.8,6,4,1.1,0,,,,,5.1
North West,156,Copeland,2000,nitrate,168.5,55.1,26.8,11.1,1.6,0,263.2,64,20.9,10.2,4.2,0.6,0,,,,,0.6
North West,156,Copeland,2000,chemistry,162.9,79.4,17.9,3,0,0,263.2,61.9,30.2,6.8,1.1,0,0,92.1,7.9,0,0,
North West,156,Copeland,2000,biology,13.3,166.7,32.2,25.5,20.5,5,263.2,5,63.3,12.2,9.7,7.8,1.9,68.4,21.9,7.8,1.9,
North West,156,Copeland,2001,chemistry,154.8,89.1,18.2,0,1.1,0,263.2,58.8,33.9,6.9,0,0.4,0,92.7,6.9,0.4,0,
North West,156,Copeland,2001,nitrate,195.8,32.6,22.1,11.1,1.6,0,263.2,74.4,12.4,8.4,4.2,0.6,0,,,,,0.6
North West,156,Copeland,2001,phosphate,172.1,61.3,18.7,8.3,2.9,0,263.2,65.4,23.3,7.1,3.1,1.1,0,,,,,4.2
North West,156,Copeland,2002,phosphate,175.2,62.2,19.4,3.4,2.9,0,263.2,66.6,23.6,7.4,1.3,1.1,0,,,,,2.4
North West,156,Copeland,2002,chemistry,161,81.4,16.3,3.4,1.1,0,263.2,61.2,30.9,6.2,1.3,0.4,0,92.1,7.5,0.4,0,
North West,156,Copeland,2002,nitrate,195.8,32.6,22.1,11.1,1.6,0,263.2,74.4,12.4,8.4,4.2,0.6,0,,,,,0.6
North West,156,Copeland,2002,biology,43.5,145.2,29.4,19.6,20.5,5,263.2,16.5,55.2,11.2,7.5,7.8,1.9,71.7,18.6,7.8,1.9,
North West,156,Copeland,2003,biology,46.1,144,61.9,2.6,3.4,5,263.2,17.5,54.7,23.5,1,1.3,1.9,72.2,24.5,1.3,1.9,
North West,156,Copeland,2003,chemistry,192.7,53.7,8.5,0.6,7.7,0,263.2,73.2,20.4,3.2,0.2,2.9,0,93.6,3.4,2.9,0,
North West,156,Copeland,2003,nitrate,194.3,34.1,29.8,3.4,1.6,0,263.2,73.8,13,11.3,1.3,0.6,0,,,,,0.6
North West,156,Copeland,2003,phosphate,182.1,66,1.1,12.7,1.3,0,263.2,69.2,25.1,0.4,4.8,0.5,0,,,,,5.3
North West,156,Copeland,2004,biology,54.2,147.9,56.1,1.6,3.4,0,263.2,20.6,56.2,21.3,0.6,1.3,0,76.8,21.9,1.3,0,
North West,156,Copeland,2004,chemistry,217.3,33.7,0,4.5,7.7,0,263.2,82.6,12.8,0,1.7,2.9,0,95.4,1.7,2.9,0,
North West,156,Copeland,2004,phosphate,174.4,66.2,1.6,12.1,8.8,0,263.2,66.3,25.1,0.6,4.6,3.4,0,,,,,8
North West,156,Copeland,2004,nitrate,179.6,48.8,29.8,3.4,1.6,0,263.2,68.2,18.5,11.3,1.3,0.6,0,,,,,0.6
North West,156,Copeland,2005,phosphate,181.5,52.4,6.5,6.4,15.2,1.3,263.2,68.9,19.9,2.5,2.4,5.8,0.5,,,,,8.7
North West,156,Copeland,2005,nitrate,168.5,59.9,29.8,3.4,1.6,0,263.2,64,22.8,11.3,1.3,0.6,0,,,,,0.6
North West,156,Copeland,2005,chemistry,218.6,31.1,1.3,4.5,7.7,0,263.2,83.1,11.8,0.5,1.7,2.9,0,94.9,2.2,2.9,0,
North West,156,Copeland,2005,biology,31.7,171.8,54.7,1.6,3.4,0,263.2,12,65.3,20.8,0.6,1.3,0,77.3,21.4,1.3,0,
North West,156,Copeland,2006,chemistry,229.2,12.9,4.1,12.2,1.3,0,259.7,88.3,5,1.6,4.7,0.5,0,93.2,6.3,0.5,0,
North West,156,Copeland,2006,nitrate,159.8,65.1,22.1,11.1,1.6,0,259.7,61.5,25.1,8.5,4.3,0.6,0,,,,,0.6
North West,156,Copeland,2006,biology,44.5,169.3,44.4,1.6,3.4,0,263.2,16.9,64.3,16.9,0.6,1.3,0,81.2,17.5,1.3,0,
North West,156,Copeland,2006,phosphate,187.2,52.5,0,2.2,16.5,1.3,259.7,72.1,20.2,0,0.8,6.4,0.5,,,,,7.7
North West,157,Crewe and Nantwich,1990,biology,0,0,2.6,42.9,62,17.3,124.8,0,0,2.1,34.3,49.7,13.8,0,36.4,49.7,13.8,
North West,157,Crewe and Nantwich,1990,phosphate,0,0,0,15.5,71.3,37.2,124,0,0,0,12.5,57.5,30,,,,,100
North West,157,Crewe and Nantwich,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,157,Crewe and Nantwich,1990,chemistry,0,0,38.6,14.4,55.7,0,108.7,0,0,35.5,13.3,51.3,0,0,48.7,51.3,0,
North West,157,Crewe and Nantwich,1993,chemistry,0,35.9,82,53.2,21.1,2.7,194.9,0,18.4,42.1,27.3,10.8,1.4,18.4,69.4,10.8,1.4,
North West,157,Crewe and Nantwich,1994,chemistry,0,40,57.4,68.3,24.8,4.5,194.9,0,20.5,29.4,35,12.7,2.3,20.5,64.5,12.7,2.3,
North West,157,Crewe and Nantwich,1995,chemistry,0,65.3,70.8,38.3,18.8,1.8,194.9,0,33.5,36.3,19.6,9.6,0.9,33.5,56,9.6,0.9,
North West,157,Crewe and Nantwich,1995,nitrate,0,16.1,13.9,34.1,28.3,102.5,194.9,0,8.3,7.1,17.5,14.5,52.6,,,,,67.1
North West,157,Crewe and Nantwich,1995,phosphate,0,0.8,17.9,10.8,136.9,28.5,194.9,0,0.4,9.2,5.5,70.2,14.6,,,,,90.4
North West,157,Crewe and Nantwich,1995,biology,0,3.5,84.7,30.2,28.2,0,146.6,0,2.4,57.8,20.6,19.3,0,2.4,78.4,19.3,0,
North West,157,Crewe and Nantwich,1996,chemistry,0,41.6,92.6,37.1,18,5.6,194.9,0,21.3,47.5,19,9.2,2.9,21.3,66.6,9.2,2.9,
North West,157,Crewe and Nantwich,1997,chemistry,0,92.4,49.3,41.4,8,3.8,194.9,0,47.4,25.3,21.2,4.1,2,47.4,46.5,4.1,2,
North West,157,Crewe and Nantwich,1998,chemistry,15.5,49.9,74.1,37.3,14.1,3.8,194.9,8,25.6,38.1,19.2,7.2,2,33.6,57.2,7.2,2,
North West,157,Crewe and Nantwich,1999,chemistry,15.5,41.8,97.9,23.8,13.8,2.1,194.9,8,21.4,50.2,12.2,7.1,1.1,29.4,62.5,7.1,1.1,
North West,157,Crewe and Nantwich,2000,biology,3.5,8.5,34.5,53.2,36.9,4.5,141.1,2.5,6,24.4,37.7,26.2,3.2,8.5,62.1,26.2,3.2,
North West,157,Crewe and Nantwich,2000,chemistry,15.5,47.1,99.6,16.8,11.2,4.5,194.9,8,24.2,51.1,8.6,5.8,2.3,32.2,59.7,5.8,2.3,
North West,157,Crewe and Nantwich,2000,nitrate,0,0,28.3,24.9,45,96.7,194.9,0,0,14.5,12.8,23.1,49.6,,,,,72.7
North West,157,Crewe and Nantwich,2000,phosphate,0,0,18.7,5.4,136.5,34.4,194.9,0,0,9.6,2.8,70,17.6,,,,,90.4
North West,157,Crewe and Nantwich,2001,chemistry,15.5,48.1,80.3,35.6,9.8,5.5,194.9,8,24.7,41.2,18.3,5,2.8,32.6,59.5,5,2.8,
North West,157,Crewe and Nantwich,2001,nitrate,0,15.5,14.5,34.1,105.9,24.9,194.9,0,8,7.4,17.5,54.3,12.8,,,,,67.1
North West,157,Crewe and Nantwich,2001,phosphate,0,0,16.3,7.7,146.5,24.3,194.9,0,0,8.4,4,75.2,12.5,,,,,91.6
North West,157,Crewe and Nantwich,2002,biology,3.5,34.1,33.1,27.9,40.5,2,141.1,2.5,24.2,23.5,19.8,28.7,1.4,26.6,43.3,28.7,1.4,
North West,157,Crewe and Nantwich,2002,phosphate,0,0,16.3,7.7,146.5,24.3,194.9,0,0,8.4,4,75.2,12.5,,,,,91.6
North West,157,Crewe and Nantwich,2002,chemistry,15.5,54.5,69.6,31.4,18.3,5.5,194.9,8,28,35.7,16.1,9.4,2.8,35.9,51.8,9.4,2.8,
North West,157,Crewe and Nantwich,2002,nitrate,0,16.1,13.9,34.1,85.7,45.1,194.9,0,8.3,7.1,17.5,44,23.1,,,,,67.1
North West,157,Crewe and Nantwich,2003,biology,3.5,34.9,45.5,40.9,19.8,2,146.6,2.4,23.8,31.1,27.9,13.5,1.4,26.2,59,13.5,1.4,
North West,157,Crewe and Nantwich,2003,chemistry,15.5,51.1,95.4,12.5,17.8,2.5,194.9,8,26.2,48.9,6.4,9.2,1.3,34.2,55.4,9.2,1.3,
North West,157,Crewe and Nantwich,2003,nitrate,0,16.1,13.9,55.7,50.7,58.4,194.9,0,8.3,7.1,28.6,26,30,,,,,56
North West,157,Crewe and Nantwich,2003,phosphate,0,0,16.3,15.9,136.7,26,194.9,0,0,8.4,8.1,70.1,13.4,,,,,91.6
North West,157,Crewe and Nantwich,2004,chemistry,0,67.4,97.2,11.6,18.2,0.5,194.9,0,34.6,49.9,5.9,9.3,0.2,34.6,55.8,9.3,0.2,
North West,157,Crewe and Nantwich,2004,nitrate,0,16.1,13.9,42.9,64.6,57.4,194.9,0,8.3,7.1,22,33.1,29.4,,,,,62.6
North West,157,Crewe and Nantwich,2004,biology,3.5,35.1,47.7,39.1,21.3,0,146.6,2.4,24,32.5,26.6,14.5,0,26.3,59.2,14.5,0,
North West,157,Crewe and Nantwich,2004,phosphate,0,0,16.3,15.9,136.7,26,194.9,0,0,8.4,8.1,70.1,13.4,,,,,91.6
North West,157,Crewe and Nantwich,2005,biology,8.9,29.7,52.6,37.7,17.7,0,146.6,6,20.3,35.8,25.7,12.1,0,26.3,61.6,12.1,0,
North West,157,Crewe and Nantwich,2005,chemistry,0,70.9,91.7,13.6,18.2,0.5,194.9,0,36.4,47,7,9.3,0.2,36.4,54,9.3,0.2,
North West,157,Crewe and Nantwich,2005,nitrate,0,16.1,7,49.8,62.4,59.6,194.9,0,8.3,3.6,25.6,32,30.6,,,,,62.6
North West,157,Crewe and Nantwich,2005,phosphate,0,0,18,14.1,136.7,26,194.9,0,0,9.3,7.3,70.1,13.4,,,,,90.7
North West,157,Crewe and Nantwich,2006,biology,9.7,39.2,52.3,28.4,17.1,0,146.6,6.6,26.7,35.7,19.4,11.7,0,33.3,55,11.7,0,
North West,157,Crewe and Nantwich,2006,phosphate,0,15.5,2.5,19.1,134.4,23.3,194.9,0,8,1.3,9.8,69,12,,,,,90.7
North West,157,Crewe and Nantwich,2006,chemistry,0,101.7,60.9,13.6,18.7,0,194.9,0,52.2,31.3,7,9.6,0,52.2,38.2,9.6,0,
North West,157,Crewe and Nantwich,2006,nitrate,0,16.1,3.8,53,39.8,82.1,194.9,0,8.3,2,27.2,20.4,42.1,,,,,62.6
North West,158,Eden,1990,biology,96.6,461.2,115.1,23.7,13.1,5.7,715.5,13.5,64.5,16.1,3.3,1.8,0.8,78,19.4,1.8,0.8,
North West,158,Eden,1990,chemistry,139.2,169.3,6.3,0,1,0,315.8,44.1,53.6,2,0,0.3,0,97.7,2,0.3,0,
North West,158,Eden,1990,nitrate,0,10.6,0,0,0,0,10.6,0,100,0,0,0,0,,,,,0
North West,158,Eden,1990,phosphate,78.3,139.9,55.3,17.4,1,0,291.8,26.8,47.9,18.9,6,0.3,0,,,,,6.3
North West,158,Eden,1993,chemistry,358.1,292.5,46.5,11.7,7.2,2.3,718.4,49.8,40.7,6.5,1.6,1,0.3,90.6,8.1,1,0.3,
North West,158,Eden,1994,chemistry,308.5,318,93.7,11.7,9.9,2.3,744.2,41.5,42.7,12.6,1.6,1.3,0.3,84.2,14.2,1.3,0.3,
North West,158,Eden,1995,biology,239.5,413,78.5,4.4,6.6,3.4,745.2,32.1,55.4,10.5,0.6,0.9,0.5,87.5,11.1,0.9,0.5,
North West,158,Eden,1995,chemistry,394.7,279.1,60.3,5.5,7.1,2.3,749.1,52.7,37.3,8.1,0.7,1,0.3,90,8.8,1,0.3,
North West,158,Eden,1995,nitrate,343.1,256.7,91.6,45.3,16.3,2.3,755.4,45.4,34,12.1,6,2.2,0.3,,,,,2.5
North West,158,Eden,1995,phosphate,264.5,340.7,74.8,32.6,10.6,0,723.2,36.6,47.1,10.3,4.5,1.5,0,,,,,6
North West,158,Eden,1996,chemistry,396.8,321.6,24.6,19.6,0,2.3,765,51.9,42,3.2,2.6,0,0.3,93.9,5.8,0,0.3,
North West,158,Eden,1997,chemistry,529.1,193.5,9.8,25.7,4.5,2.3,765,69.2,25.3,1.3,3.4,0.6,0.3,94.5,4.6,0.6,0.3,
North West,158,Eden,1998,chemistry,529.8,196.6,8.6,26.7,3.3,0,765,69.3,25.7,1.1,3.5,0.4,0,94.9,4.6,0.4,0,
North West,158,Eden,1999,chemistry,524.6,207.8,2.6,27.7,2.3,0,765,68.6,27.2,0.3,3.6,0.3,0,95.7,4,0.3,0,
North West,158,Eden,2000,biology,229.3,336.1,163.5,1,13.4,0,743.3,30.9,45.2,22,0.1,1.8,0,76.1,22.1,1.8,0,
North West,158,Eden,2000,chemistry,625.2,112.8,23.7,1,2.3,0,765,81.7,14.7,3.1,0.1,0.3,0,96.5,3.2,0.3,0,
North West,158,Eden,2000,nitrate,329,229.8,142.2,48.2,1.7,14,765,43,30,18.6,6.3,0.2,1.8,,,,,2.1
North West,158,Eden,2000,phosphate,358.8,274.6,95.4,26.6,9.5,0,765,46.9,35.9,12.5,3.5,1.2,0,,,,,4.7
North West,158,Eden,2001,chemistry,700.1,46.6,15.9,0,2.3,0,765,91.5,6.1,2.1,0,0.3,0,97.6,2.1,0.3,0,
North West,158,Eden,2001,nitrate,330.3,243.2,127.5,48.2,7,8.7,765,43.2,31.8,16.7,6.3,0.9,1.1,,,,,2.1
North West,158,Eden,2001,phosphate,355.4,297,76.5,26.6,9.5,0,765,46.5,38.8,10,3.5,1.2,0,,,,,4.7
North West,158,Eden,2002,biology,263.9,323.5,141.6,4.4,9.9,0,743.3,35.5,43.5,19.1,0.6,1.3,0,79,19.6,1.3,0,
North West,158,Eden,2002,chemistry,669.5,65.9,27.3,0,2.3,0,765,87.5,8.6,3.6,0,0.3,0,96.1,3.6,0.3,0,
North West,158,Eden,2002,nitrate,345.2,252.1,108.3,45.4,11.7,2.3,765,45.1,33,14.2,5.9,1.5,0.3,,,,,1.8
North West,158,Eden,2002,phosphate,328,319.1,81.8,26.6,9.5,0,765,42.9,41.7,10.7,3.5,1.2,0,,,,,4.7
North West,158,Eden,2003,biology,286.8,365.4,68.2,16.8,2.3,0,739.5,38.8,49.4,9.2,2.3,0.3,0,88.2,11.5,0.3,0,
North West,158,Eden,2003,phosphate,399,243.3,79.1,26.6,9.5,0,757.6,52.7,32.1,10.4,3.5,1.3,0,,,,,4.8
North West,158,Eden,2003,chemistry,548.6,198.1,12.5,3.4,2.3,0,765,71.7,25.9,1.6,0.4,0.3,0,97.6,2.1,0.3,0,
North West,158,Eden,2003,nitrate,349.7,247.6,91.9,60,13.4,2.3,765,45.7,32.4,12,7.8,1.8,0.3,,,,,2.1
North West,158,Eden,2004,biology,263.6,372,90.9,16.8,2.3,0,745.6,35.3,49.9,12.2,2.3,0.3,0,85.2,14.4,0.3,0,
North West,158,Eden,2004,chemistry,642.6,92.8,24.8,2.4,2.3,0,765,84,12.1,3.2,0.3,0.3,0,96.1,3.6,0.3,0,
North West,158,Eden,2004,nitrate,362.2,220.2,108.9,57.8,13.4,2.3,765,47.4,28.8,14.2,7.6,1.8,0.3,,,,,2.1
North West,158,Eden,2004,phosphate,406.8,209.4,80.1,26.6,42,0,765,53.2,27.4,10.5,3.5,5.5,0,,,,,9
North West,158,Eden,2005,biology,274.4,372,81.8,14,2.8,2.3,747.3,36.7,49.8,10.9,1.9,0.4,0.3,86.5,12.8,0.4,0.3,
North West,158,Eden,2005,chemistry,634.4,118.6,9.6,0,2.3,0,765,82.9,15.5,1.3,0,0.3,0,98.4,1.3,0.3,0,
North West,158,Eden,2005,nitrate,373.2,209.2,114.3,52.4,13.4,2.3,765,48.8,27.4,14.9,6.9,1.8,0.3,,,,,2.1
North West,158,Eden,2005,phosphate,366,236.4,82.5,24.4,55.7,0,765,47.8,30.9,10.8,3.2,7.3,0,,,,,10.5
North West,158,Eden,2006,phosphate,414.1,182,88.8,24.4,55.7,0,765,54.1,23.8,11.6,3.2,7.3,0,,,,,10.5
North West,158,Eden,2006,nitrate,333.7,254.9,108.1,50.5,15.4,2.3,765,43.6,33.3,14.1,6.6,2,0.3,,,,,2.3
North West,158,Eden,2006,chemistry,638.3,104,14.2,6.2,2.3,0,765,83.4,13.6,1.9,0.8,0.3,0,97,2.7,0.3,0,
North West,158,Eden,2006,biology,279.3,374.1,77.8,10.9,2.8,2.3,747.3,37.4,50.1,10.4,1.5,0.4,0.3,87.4,11.9,0.4,0.3,
North West,159,Ellesmere Port & Neston,1990,chemistry,0,0,0,5,3.6,0,8.6,0,0,0,58,42,0,0,58,42,0,
North West,159,Ellesmere Port & Neston,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,159,Ellesmere Port & Neston,1990,phosphate,0,0,0,0,9.7,0,9.7,0,0,0,0,100,0,,,,,100
North West,159,Ellesmere Port & Neston,1990,biology,0,0,0,0,0.8,5,5.8,0,0,0,0,13.3,86.7,0,0,13.3,86.7,
North West,159,Ellesmere Port & Neston,1993,chemistry,0,0,0.8,2.8,6.4,1.9,12,0,0,6.4,23.8,53.7,16.1,0,30.2,53.7,16.1,
North West,159,Ellesmere Port & Neston,1994,chemistry,0,0,1.1,8.6,0.3,1.9,12,0,0,9.3,72,2.6,16.1,0,81.2,2.6,16.1,
North West,159,Ellesmere Port & Neston,1995,biology,0,0,0.8,1.1,5,0,6.8,0,0,11.2,15.8,73,0,0,27,73,0,
North West,159,Ellesmere Port & Neston,1995,chemistry,0,0,0,9,1.1,1.9,12,0,0,0,74.8,9,16.1,0,74.8,9,16.1,
North West,159,Ellesmere Port & Neston,1995,nitrate,0,0,9.3,0,1.9,0.8,12,0,0,77.8,0.1,15.7,6.4,,,,,22.1
North West,159,Ellesmere Port & Neston,1995,phosphate,0,0,0,0,10.9,1.1,12,0,0,0,0,91,9,,,,,100
North West,159,Ellesmere Port & Neston,1996,chemistry,0,5,1.4,2.8,1.5,1.2,12,0,41.8,11.8,23.8,12.9,9.7,41.8,35.6,12.9,9.7,
North West,159,Ellesmere Port & Neston,1997,chemistry,0,0,6.4,2.8,1.5,1.2,12,0,0,53.6,23.8,12.9,9.7,0,77.4,12.9,9.7,
North West,159,Ellesmere Port & Neston,1998,chemistry,0,5.8,1.4,2.8,0.8,1.2,12,0,48.2,11.8,23.8,6.5,9.7,48.2,35.6,6.5,9.7,
North West,159,Ellesmere Port & Neston,1999,chemistry,0,0.3,6.9,0,3.6,1.2,12,0,2.5,57.5,0,30.3,9.7,2.5,57.5,30.3,9.7,
North West,159,Ellesmere Port & Neston,2000,biology,0,0,0.8,0,6.1,0,6.8,0,0,11.2,0.1,88.6,0,0,11.4,88.6,0,
North West,159,Ellesmere Port & Neston,2000,chemistry,0,0.3,1.9,5,3.6,1.2,12,0,2.5,15.7,41.8,30.3,9.7,2.5,57.5,30.3,9.7,
North West,159,Ellesmere Port & Neston,2000,nitrate,0,0,8.1,0,2.3,1.5,12,0,0,68.1,0,19.1,12.8,,,,,31.9
North West,159,Ellesmere Port & Neston,2000,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.5,6.5,,,,,100
North West,159,Ellesmere Port & Neston,2001,chemistry,0,0.3,1.9,7.8,0.8,1.2,12,0,2.5,15.7,65.6,6.5,9.7,2.5,81.2,6.5,9.7,
North West,159,Ellesmere Port & Neston,2001,nitrate,0,0,8.1,0,3,0.8,12,0,0,68.1,0.1,25.4,6.4,,,,,31.8
North West,159,Ellesmere Port & Neston,2001,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.5,6.5,,,,,100
North West,159,Ellesmere Port & Neston,2002,biology,0,0,0.8,0,6.1,0,6.8,0,0,11.2,0.1,88.6,0,0,11.4,88.6,0,
North West,159,Ellesmere Port & Neston,2002,chemistry,0,0.3,1.9,2.8,6.9,0,12,0,2.5,15.7,23.8,58,0,2.5,39.5,58,0,
North West,159,Ellesmere Port & Neston,2002,nitrate,0,0,8.1,0,3,0.8,12,0,0,68.1,0.1,25.4,6.4,,,,,31.8
North West,159,Ellesmere Port & Neston,2002,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.5,6.5,,,,,100
North West,159,Ellesmere Port & Neston,2003,nitrate,0,0,7.8,0.3,1.9,1.9,12,0,0,65.6,2.6,15.7,16.1,,,,,31.8
North West,159,Ellesmere Port & Neston,2003,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.5,6.5,,,,,100
North West,159,Ellesmere Port & Neston,2003,biology,0,0,0.8,0,0.8,0,1.5,0,0,49.7,0.6,49.6,0,0,50.4,49.6,0,
North West,159,Ellesmere Port & Neston,2003,chemistry,0,0.3,1.9,5,3.6,1.2,12,0,2.5,15.7,41.8,30.3,9.7,2.5,57.5,30.3,9.7,
North West,159,Ellesmere Port & Neston,2004,chemistry,0,0.3,0.8,4,5.8,1.2,12,0,2.5,6.4,33.1,48.3,9.7,2.5,39.5,48.3,9.7,
North West,159,Ellesmere Port & Neston,2004,nitrate,0,0,7.8,0.3,1.9,1.9,12,0,0,65.6,2.6,15.7,16.1,,,,,31.8
North West,159,Ellesmere Port & Neston,2004,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.5,6.5,,,,,100
North West,159,Ellesmere Port & Neston,2004,biology,0,0,0.8,0,0.8,0,1.5,0,0,49.7,0.6,49.6,0,0,50.4,49.6,0,
North West,159,Ellesmere Port & Neston,2005,chemistry,0,0.3,0.8,4,5.8,1.2,12,0,2.5,6.4,33.1,48.3,9.7,2.5,39.5,48.3,9.7,
North West,159,Ellesmere Port & Neston,2005,nitrate,0,0,7.8,0.3,1.9,1.9,12,0,0,65.6,2.5,15.8,16.1,,,,,31.9
North West,159,Ellesmere Port & Neston,2005,biology,0,0,0.8,0,6.1,0,6.8,0,0,11.2,0.1,88.6,0,0,11.4,88.6,0,
North West,159,Ellesmere Port & Neston,2005,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.5,6.5,,,,,100
North West,159,Ellesmere Port & Neston,2006,biology,0,0.8,0,0.8,5.3,0,6.8,0,11.2,0.1,11.2,77.5,0,11.2,11.3,77.5,0,
