Newcastle City Council Invoices over £500 paid in October 2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,AMBER HOUSE RESIDENTIAL HOME,5686303,Revenue,1MG20,Ind Res Care Elderly         M,3312.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,ASHFIELD COURT,5670844,Revenue,1MG20,Ind Res Care Elderly         M,10447.56,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,ASPINDEN WOOD CENTRE,5686277,Revenue,1MM20,Ind Res Care MH              M,2760.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,26 October 2012,AT HOME IN THE COMMUNITY LTD,5690807,Revenue,1MK50,Ind Supported Living LD      M,10117.69,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,11 October 2012,AT HOME IN THE COMMUNITY LTD,5674904,Revenue,1MK50,Ind Supported Living LD      M,10226.97,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,04 October 2012,AT HOME IN THE COMMUNITY LTD,5666686,Revenue,1MK50,Ind Supported Living LD      M,11736.35,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,26 October 2012,AT HOME IN THE COMMUNITY LTD,5690807,Revenue,1MK54,Dom Care Own Tenancy LD      M,1448.57,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,11 October 2012,AT HOME IN THE COMMUNITY LTD,5674904,Revenue,1MK54,Dom Care Own Tenancy LD      M,1448.57,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,04 October 2012,AT HOME IN THE COMMUNITY LTD,5666686,Revenue,1MK54,Dom Care Own Tenancy LD      M,1448.57,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,26 October 2012,AT HOME IN THE COMMUNITY LTD,5690807,Revenue,1MK55,Dom Care Family/Carer LD     M,1108.28,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,11 October 2012,AT HOME IN THE COMMUNITY LTD,5674904,Revenue,1MK55,Dom Care Family/Carer LD     M,1108.28,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,04 October 2012,AT HOME IN THE COMMUNITY LTD,5666686,Revenue,1MK55,Dom Care Family/Carer LD     M,1108.28,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,26 October 2012,AT HOME IN THE COMMUNITY LTD,5690807,Revenue,1MM50,Ind Home - Spot Pur MH       M,1514.24,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,11 October 2012,AT HOME IN THE COMMUNITY LTD,5674904,Revenue,1MM50,Ind Home - Spot Pur MH       M,1514.24,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,04 October 2012,AT HOME IN THE COMMUNITY LTD,5666686,Revenue,1MM50,Ind Home - Spot Pur MH       M,1514.24,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,AUTISM INITIATIVES,5686290,Revenue,1MK20,Ind Res Care LD              M,6107.52,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,AUTISM INITIATIVES,5693157,Revenue,1MK50,Ind Supported Living LD      M,18077.36,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,AUTISM INITIATIVES,5663826,Revenue,1MK50,Ind Supported Living LD      M,18077.36,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,AUTISM NORTH - EASTCLIFFE,5686246,Revenue,1MK50,Ind Supported Living LD      M,9528.20,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,AUTISM NORTH SEAHAM VIEW,5686257,Revenue,1MK50,Ind Supported Living LD      M,9484.52,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,AVENUE COMMUNITY NH LTD,5670874,Revenue,1MM10,Ind Nursing Care MH          M,1669.29,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,AVENUE COMMUNITY NH LTD,5670874,Revenue,3WH77,Free Nursing Care Com Care   M,434.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,AZURE,5693156,Revenue,1MK50,Ind Supported Living LD      M,35059.02,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,AZURE,5663825,Revenue,1MK50,Ind Supported Living LD      M,37252.50,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BAILIFFGATE,5686208,Revenue,1MK20,Ind Res Care LD              M,2138.72,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BALMORAL COURT,5670828,Revenue,1MG10,Ind Nursing Care Elderly     M,31060.09,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BALMORAL COURT,5670828,Revenue,1MG20,Ind Res Care Elderly         M,7676.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BALMORAL COURT,5670828,Revenue,3WH71,Free Nursing Care Self FunderM,3043.60,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BALMORAL COURT,5670828,Revenue,3WH77,Free Nursing Care Com Care   M,13223.12,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BALMORAL COURT,5670828,Revenue,3WH78,Fre Nursing Care Out Of Area M,1739.20,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BALMORAL COURT,5670828,Revenue,3WH93,Continuing Care              M,2386.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BARCHESTER HEALTHCARE,5686254,Revenue,1MK20,Ind Res Care LD              M,21166.12,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BARCHESTER HEALTHCARE,5686254,Revenue,3WH93,Continuing Care              M,5974.12,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BEACHVILLE CARE HOME,5686206,Revenue,1MG20,Ind Res Care Elderly         M,1864.56,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BEACON FARM CARE CENTRE,5686287,Revenue,1MG10,Ind Nursing Care Elderly     M,1883.68,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BEACON FARM CARE CENTRE,5686287,Revenue,1MG20,Ind Res Care Elderly         M,1822.88,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670834,Revenue,1MG10,Ind Nursing Care Elderly     M,17356.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670834,Revenue,1MG20,Ind Res Care Elderly         M,15283.28,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670834,Revenue,3WH71,Free Nursing Care Self FunderM,1304.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670910,Revenue,3WH71,Free Nursing Care Self FunderM,1304.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670834,Revenue,3WH77,Free Nursing Care Com Care   M,5110.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670834,Revenue,3WH78,Fre Nursing Care Out Of Area M,2608.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BELLE VUE HOUSE,5670910,Revenue,3WH78,Fre Nursing Care Out Of Area M,2772.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670825,Revenue,1MG10,Ind Nursing Care Elderly     M,26432.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670825,Revenue,1MG20,Ind Res Care Elderly         M,3420.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670907,Revenue,3WH71,Free Nursing Care Self FunderM,869.60,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670825,Revenue,3WH77,Free Nursing Care Com Care   M,6522.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670907,Revenue,3WH78,Fre Nursing Care Out Of Area M,434.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670825,Revenue,3WH78,Fre Nursing Care Out Of Area M,931.71,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BEWICK LODGE,5670825,Revenue,3WH93,Continuing Care              M,6324.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BIRCHDALE CARE HOME,5686200,Revenue,1MG20,Ind Res Care Elderly         M,3464.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BISHOPSGATE LODGE CARE HOME,5686278,Revenue,1MG10,Ind Nursing Care Elderly     M,1721.56,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BOWLAND LODGE,5670846,Revenue,1MG20,Ind Res Care Elderly         M,37092.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BOWLAND LODGE,5670846,Revenue,1MH20,Ind Res Care PD              M,8801.14,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BOWLAND LODGE,5670846,Revenue,1MM20,Ind Res Care MH              M,5341.43,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRACKENBRAE,5686227,Revenue,1MK20,Ind Res Care LD              M,1560.28,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,1MG10,Ind Nursing Care Elderly     M,20152.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,1MG20,Ind Res Care Elderly         M,9549.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,1MH10,Ind Nursing Care PD          M,3632.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,1MK10,Ind Nursing Care LD          M,1844.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,1MM20,Ind Res Care MH              M,1816.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,3WH77,Free Nursing Care Com Care   M,5872.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686311,Revenue,3WH78,Fre Nursing Care Out Of Area M,1304.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRAMPTON COURT,5686175,Revenue,3WH93,Continuing Care              M,9246.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670867,Revenue,1MG10,Ind Nursing Care Elderly     M,25200.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670868,Revenue,1MG20,Ind Res Care Elderly         M,6900.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670867,Revenue,1MG20,Ind Res Care Elderly         M,21933.21,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670916,Revenue,3WH71,Free Nursing Care Self FunderM,139.76,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670867,Revenue,3WH77,Free Nursing Care Com Care   M,7018.91,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670916,Revenue,3WH78,Fre Nursing Care Out Of Area M,434.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670867,Revenue,3WH78,Fre Nursing Care Out Of Area M,3975.31,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRIARDENE MH,5670867,Revenue,3WH93,Continuing Care              M,11174.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRIDGE VIEW CARE HOME,5686219,Revenue,1MG10,Ind Nursing Care Elderly     M,1842.60,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BRIDGE VIEW CARE HOME,5686219,Revenue,1MG20,Ind Res Care Elderly         M,1842.60,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BROCKWELL COURT,5686237,Revenue,1MG20,Ind Res Care Elderly         M,2106.84,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRUNSWICK HOUSE,5670886,Revenue,1MG10,Ind Nursing Care Elderly     M,13036.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRUNSWICK HOUSE,5670886,Revenue,1MG20,Ind Res Care Elderly         M,3800.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRUNSWICK HOUSE,5670917,Revenue,3WH71,Free Nursing Care Self FunderM,2375.87,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRUNSWICK HOUSE,5670886,Revenue,3WH77,Free Nursing Care Com Care   M,3478.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRUNSWICK HOUSE,5670886,Revenue,3WH78,Fre Nursing Care Out Of Area M,869.60,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09 October 2012,BRUNSWICK HOUSE,5670886,Revenue,3WH93,Continuing Care              M,3200.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BURLAM ROAD,5686195,Revenue,1MH10,Ind Nursing Care PD          M,2062.32,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686192,Revenue,1MG10,Ind Nursing Care Elderly     M,23852.31,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686192,Revenue,1MG20,Ind Res Care Elderly         M,15540.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686192,Revenue,1MH10,Ind Nursing Care PD          M,3607.43,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686192,Revenue,1MH20,Ind Res Care PD              M,1308.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686192,Revenue,3WH77,Free Nursing Care Com Care   M,7376.07,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686314,Revenue,3WH78,Fre Nursing Care Out Of Area M,434.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,BYKER HALL,5686192,Revenue,3WH93,Continuing Care              M,9660.60,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CAMBORNE LODGE,5686244,Revenue,1MK20,Ind Res Care LD              M,2639.64,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CARE PONTELAND,5686177,Revenue,1MK20,Ind Res Care LD              M,1632.43,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE SOLUTIONS LTD,5693142,Revenue,1MH50,Ind Home Spot Pur PD         M,1429.12,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE SOLUTIONS LTD,5663809,Revenue,1MH50,Ind Home Spot Pur PD         M,1429.12,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE SOLUTIONS LTD,5663809,Revenue,1MK50,Ind Supported Living LD      M,149728.32,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE SOLUTIONS LTD,5693142,Revenue,1MK50,Ind Supported Living LD      M,150557.72,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE SOLUTIONS LTD,5693186,Revenue,1MK54,Dom Care Own Tenancy LD      M,14206.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE SOLUTIONS LTD,5663785,Revenue,1MK54,Dom Care Own Tenancy LD      M,14206.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE SOLUTIONS LTD,5663785,Revenue,1MK55,Dom Care Family/Carer LD     M,14462.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE SOLUTIONS LTD,5693186,Revenue,1MK55,Dom Care Family/Carer LD     M,15057.20,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MG51,Ind Home Per Care Elderly    M,48684.88,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MG51,Ind Home Per Care Elderly    M,50258.29,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MG52,Ind Home Dom Supp Elderly    M,1986.45,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MG52,Ind Home Dom Supp Elderly    M,2160.87,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MH51,Ind Home Per Care PD         M,6609.39,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MH51,Ind Home Per Care PD         M,7002.70,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MH52,Ind Home Dom Supp PD         M,610.47,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MH52,Ind Home Dom Supp PD         M,620.16,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MK51,Ind Home-Per Care LD         M,468.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MK51,Ind Home-Per Care LD         M,468.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MK52,Ind Home-Dom Supp LD         M,155.04,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MK52,Ind Home-Dom Supp LD         M,155.04,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693184,Revenue,1MK54,Dom Care Own Tenancy LD      M,2418.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663783,Revenue,1MK54,Dom Care Own Tenancy LD      M,2604.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693184,Revenue,1MK55,Dom Care Family/Carer LD     M,1049.40,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663783,Revenue,1MK55,Dom Care Family/Carer LD     M,1206.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MM51,Ind Home-Per Care MH         M,1283.34,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MM51,Ind Home-Per Care MH         M,1300.92,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARE UK HOMECARE,5663771,Revenue,1MM52,Ind Home-Dom Supp MH         M,271.32,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARE UK HOMECARE,5693172,Revenue,1MM52,Ind Home-Dom Supp MH         M,319.77,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARELINE HOMECARE LTD,5693175,Revenue,1MG51,Ind Home Per Care Elderly    M,138009.42,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARELINE HOMECARE LTD,5663774,Revenue,1MG51,Ind Home Per Care Elderly    M,145582.91,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARELINE HOMECARE LTD,5663774,Revenue,1MH51,Ind Home Per Care PD         M,24594.42,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARELINE HOMECARE LTD,5693175,Revenue,1MH51,Ind Home Per Care PD         M,24843.26,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARELINE HOMECARE LTD,5693175,Revenue,1MK51,Ind Home-Per Care LD         M,4421.62,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARELINE HOMECARE LTD,5663774,Revenue,1MK51,Ind Home-Per Care LD         M,4529.78,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARELINE HOMECARE LTD,5693192,Revenue,1MK55,Dom Care Family/Carer LD     M,668.04,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARELINE HOMECARE LTD,5663792,Revenue,1MK55,Dom Care Family/Carer LD     M,668.04,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARELINE HOMECARE LTD,5663774,Revenue,1MM51,Ind Home-Per Care MH         M,2947.58,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARELINE HOMECARE LTD,5693175,Revenue,1MM51,Ind Home-Per Care MH         M,3092.72,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CARELINE HOMECARE LTD,5663774,Revenue,3WH96,Continuing Care-Dom Payments M,9507.85,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CARELINE HOMECARE LTD,5693175,Revenue,3WH96,Continuing Care-Dom Payments M,12057.80,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CARELINE LIFESTYLES LTD,5686233,Revenue,1MG20,Ind Res Care Elderly         M,7333.29,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CARELINE LIFESTYLES LTD,5686233,Revenue,1MK20,Ind Res Care LD              M,5000.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CARELINE LIFESTYLES LTD,5686233,Revenue,1MK50,Ind Supported Living LD      M,2100.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CARELINE LIFESTYLES LTD,5686233,Revenue,1MM10,Ind Nursing Care MH          M,5580.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23 October 2012,CARELINE LIFESTYLES LTD,5686233,Revenue,3WH93,Continuing Care              M,12572.00,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CAREWATCH (NEWCASTLE UPON TYNE),5693185,Revenue,1MG50,Ind Home Spot Pur Elderly    M,486.76,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CAREWATCH (NEWCASTLE UPON TYNE),5663784,Revenue,1MG50,Ind Home Spot Pur Elderly    M,560.34,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02 October 2012,CAREWATCH (NEWCASTLE UPON TYNE),5663772,Revenue,1MG51,Ind Home Per Care Elderly    M,26739.18,,,,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30 October 2012,CAREWATCH (NEWCASTLE UPON TYNE),5693173,Revenue,1MG51,Ind Home Per Care Elderly    M,26952.01,,,,,,,,,,,,,,,
