Table 1.1,,,,,,,,,,,,,,,,,
"A2. How many employees does your business currently employ across all sites, excluding owners and partners?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,121,39,52,30,38,4,34,37,8,45,39,82,68,53,6,30,85
Weighted Bases,98,73,21,4,14,3,30,43,7,50,21,76,52,46,9,31,58
Increase,42%,41%,43%,60%,59%,50%,32%,40%,61%,43%,46%,41%,42%,42%,63%,48%,36%
Decrease,2%,2%,2%,9%,2%,0%,1%,4%,0%,3%,1%,3%,4%,*%,2%,1%,3%
Stay the same,55%,57%,51%,31%,39%,50%,64%,56%,39%,53%,51%,56%,53%,56%,36%,50%,60%
Don't know,1%,0%,4%,0%,0%,0%,3%,0%,0%,0%,2%,1%,0%,2%,0%,0%,1%
Table 1.23,,,,,,,,,,,,,,,,,
A24. Do you have any plans to start exporting or licensing your products or services outside the UK in the next 12 months?,,,,,,,,,,,,,,,,,
"Base: Where do not sell goods, services or licence products outside the UK",,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,387,180,143,64,43,41,102,98,103,201,92,295,172,215,27,75,282
Weighted Bases,410,350,53,8,47,59,133,111,61,171,56,355,158,253,35,94,276
Yes,3%,3%,2%,5%,1%,*%,2%,9%,0%,6%,3%,3%,5%,3%,6%,5%,2%
No,96%,96%,96%,95%,98%,100%,98%,91%,99%,93%,97%,96%,95%,97%,94%,94%,97%
Don't know,*%,*%,2%,0%,1%,0%,*%,0%,1%,*%,0%,*%,1%,*%,0%,1%,*%
Table 1.24,,,,,,,,,,,,,,,,,
A24A. What are the barriers that prevent your business exporting?,,,,,,,,,,,,,,,,,
"Base: Where do not sell goods, services or licence products outside the UK and have no plans to",,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,371,172,138,61,41,40,98,90,102,192,88,283,163,208,24,72,272
Weighted Bases,395,337,51,8,46,59,130,100,60,160,54,341,149,246,32,89,268
Do not have a product/service that can be exported,67%,66%,74%,71%,46%,55%,80%,60%,79%,67%,61%,68%,68%,67%,65%,59%,70%
Not part of business plan,17%,18%,16%,16%,22%,29%,15%,21%,1%,14%,23%,16%,12%,21%,16%,17%,17%
Have sufficient business in the UK already/prefer to be local,14%,14%,17%,12%,15%,25%,8%,20%,6%,15%,3%,16%,10%,17%,0%,12%,16%
Lack of finance to enable exporting,6%,7%,3%,6%,27%,8%,*%,2%,6%,4%,7%,6%,5%,7%,4%,9%,5%
Put off by cashflow/exchange rate/payment risks,4%,4%,5%,2%,0%,6%,4%,3%,7%,4%,4%,4%,6%,3%,15%,2%,4%
Difficulty finding overseas customers,2%,2%,0%,6%,0%,3%,*%,5%,*%,3%,1%,2%,*%,2%,0%,2%,2%
Red tape / regulations,2%,2%,0%,0%,4%,0%,0%,2%,3%,3%,0%,2%,1%,2%,0%,1%,2%
Little knowledge of how to export,2%,1%,2%,5%,0%,*%,*%,5%,*%,4%,2%,1%,1%,2%,4%,3%,1%
Taxes/duties,1%,1%,0%,2%,3%,0%,*%,2%,0%,1%,*%,1%,1%,1%,0%,1%,1%
Other,5%,5%,3%,5%,6%,8%,3%,2%,9%,4%,6%,4%,7%,3%,0%,10%,4%
Don't know,1%,*%,2%,0%,2%,0%,0%,0%,3%,1%,1%,*%,*%,1%,0%,1%,*%
Table 2.1,,,,,,,,,,,,,,,,,
"B1. In the last 6 months, have you made any changes to your long term planned investment levels as a direct result of recent economic conditions. Have you...?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Significantly reduced or delayed investment plans (-2),13%,12%,16%,10%,14%,21%,10%,12%,13%,12%,20%,12%,16%,11%,27%,11%,12%
Slightly reduced or delayed investment plans (-1),14%,14%,11%,8%,17%,17%,15%,11%,10%,11%,9%,14%,14%,13%,7%,18%,13%
Not changed your long term investment plans (0),66%,67%,61%,66%,57%,57%,72%,68%,64%,67%,61%,67%,62%,69%,63%,66%,66%
Slightly increased or brought forward investment plans (1),5%,4%,7%,12%,7%,5%,1%,5%,11%,7%,3%,5%,4%,6%,3%,3%,6%
Significantly increased or brought forward investment plans (2),3%,3%,4%,4%,4%,0%,3%,4%,2%,4%,6%,2%,5%,1%,0%,2%,3%
Refused,*%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,*%,0%,*%,0%,0%,*%
Summary: Reduced or delayed,26%,26%,27%,19%,31%,38%,25%,23%,23%,23%,30%,26%,30%,24%,34%,28%,25%
Summary: Increased or brought forward,8%,7%,11%,16%,11%,5%,4%,10%,13%,10%,9%,7%,9%,7%,3%,5%,9%
Base for stats,508,422,73,12,60,62,164,154,68,221,77,431,209,298,43,125,334
Mean,-0.29,-0.29,-0.28,-0.1,-0.3,-0.54,-0.29,-0.21,-0.23,-0.21,-0.35,-0.28,-0.32,-0.26,-0.57,-0.32,-0.24
Standard error,0.04,0.06,0.07,0.09,0.11,0.13,0.07,0.08,0.08,0.06,0.09,0.04,0.06,0.05,0.16,0.08,0.05
Table 2.2,,,,,,,,,,,,,,,,,
"B2B. In the last 6 months, have you made any changes to your plans for growing your business? Have you...?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Significantly reduced growth plans (-2),8%,9%,7%,5%,10%,14%,5%,10%,6%,9%,15%,7%,11%,6%,7%,10%,8%
Slightly reduced growth plans (-1),12%,13%,10%,11%,12%,11%,13%,14%,10%,13%,8%,13%,15%,11%,13%,14%,12%
Not changed growth plans (0),57%,57%,59%,54%,43%,56%,66%,51%,65%,55%,45%,60%,48%,64%,67%,46%,60%
Slightly increased growth plans (1),17%,17%,18%,23%,28%,13%,12%,20%,16%,19%,21%,16%,18%,17%,10%,23%,16%
Significantly increased growth plans (2),5%,4%,6%,6%,6%,5%,4%,5%,3%,5%,12%,3%,8%,2%,3%,7%,4%
Refused,*%,0%,0%,1%,0%,0%,*%,0%,0%,0%,*%,0%,*%,0%,0%,0%,*%
Summary: Reduced,21%,22%,16%,16%,23%,25%,18%,24%,16%,22%,23%,21%,26%,17%,20%,24%,20%
Summary: Increased,22%,21%,24%,29%,35%,19%,16%,25%,19%,23%,32%,20%,26%,19%,12%,30%,20%
Base for stats,508,422,74,12,60,62,163,154,68,221,77,431,209,299,43,125,334
Mean,-0.03,-0.06,0.07,0.14,0.07,-0.15,-0.04,-0.04,*,-0.03,0.07,-0.05,-0.04,-0.03,-0.12,0.02,-0.04
Standard error,0.04,0.06,0.06,0.09,0.12,0.15,0.07,0.08,0.08,0.06,0.1,0.04,0.07,0.05,0.14,0.1,0.05
Table 2.3,,,,,,,,,,,,,,,,,
"B3. In the last 6 months, has your level of exports changed as a direct result of recent economic conditions. Have your exports...?",,,,,,,,,,,,,,,,,
"Base: Where sell goods, services or licence products outside the UK",,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,121,39,52,30,38,4,34,37,8,45,39,82,68,53,6,30,85
Weighted Bases,98,73,21,4,14,3,30,43,7,50,21,76,52,46,9,31,58
Significantly reduced (-2),6%,7%,5%,0%,20%,0%,2%,6%,0%,5%,0%,8%,10%,2%,0%,10%,5%
Slightly reduced (-1),8%,7%,14%,5%,7%,46%,14%,2%,1%,2%,3%,9%,8%,8%,17%,1%,10%
Not changed (0),68%,69%,63%,68%,63%,50%,75%,65%,72%,66%,77%,65%,67%,69%,56%,60%,74%
Slightly increased (1),12%,11%,15%,17%,10%,0%,7%,16%,27%,17%,13%,12%,11%,14%,0%,20%,10%
Significantly increased (2),6%,6%,3%,7%,1%,4%,2%,11%,0%,9%,7%,5%,5%,6%,27%,9%,*%
Refused,*%,0%,0%,3%,0%,0%,0%,*%,0%,*%,1%,0%,0%,*%,0%,0%,*%
Summary: Reduced,14%,13%,19%,5%,27%,46%,16%,8%,1%,7%,3%,17%,17%,10%,17%,11%,15%
Summary: Increased,18%,17%,18%,24%,11%,4%,9%,26%,27%,26%,19%,18%,16%,21%,27%,29%,11%
Base for stats,97,73,21,4,14,3,30,43,7,50,21,76,52,46,9,31,58
Mean,0.03,0.04,-0.02,0.26,-0.34,-0.38,-0.08,0.22,0.25,0.23,0.22,-0.02,-0.07,0.14,0.36,0.18,-0.09
Standard error,0.08,0.13,0.11,0.14,0.16,0.42,0.11,0.15,0.18,0.13,0.1,0.1,0.11,0.1,0.46,0.18,0.07
Table 2.4,,,,,,,,,,,,,,,,,
"B6. I am going to read you a list of possible difficulties and I would like you to tell me which, if any, represent obstacles to the success of your business.",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
The economy,71%,71%,74%,76%,66%,92%,69%,64%,80%,69%,78%,70%,69%,74%,67%,68%,73%
"Taxation, VAT, PAYE, National Insurance, business rates",53%,53%,52%,44%,52%,66%,58%,48%,38%,45%,66%,50%,57%,50%,48%,53%,53%
Competition in the market,51%,51%,52%,52%,43%,63%,57%,45%,49%,46%,58%,50%,46%,55%,36%,49%,54%
Regulations,45%,44%,49%,52%,55%,57%,42%,43%,38%,42%,40%,46%,46%,45%,22%,36%,52%
Cash flow,43%,44%,39%,41%,41%,57%,42%,45%,30%,40%,69%,39%,46%,41%,43%,43%,43%
Obtaining finance,32%,33%,27%,32%,23%,23%,32%,38%,38%,38%,65%,26%,42%,25%,44%,31%,32%
Lack of financial understanding,21%,23%,11%,13%,7%,22%,25%,22%,23%,22%,34%,19%,22%,20%,36%,19%,20%
Recruiting staff,20%,18%,25%,41%,24%,21%,17%,20%,23%,21%,21%,20%,23%,18%,20%,26%,17%
Shortage of skills generally,19%,18%,25%,26%,26%,18%,15%,23%,13%,20%,27%,17%,24%,15%,9%,22%,19%
Transport issues,18%,18%,20%,23%,31%,35%,18%,12%,6%,10%,27%,17%,21%,16%,12%,20%,19%
Keeping up with new technology,18%,19%,12%,11%,10%,9%,31%,13%,15%,14%,22%,17%,21%,16%,11%,18%,20%
Availability / cost of suitable premises,16%,17%,10%,17%,20%,22%,13%,18%,10%,15%,25%,14%,17%,16%,23%,18%,14%
Lack of broadband access,14%,14%,14%,19%,31%,8%,11%,16%,6%,13%,21%,13%,17%,12%,1%,18%,15%
Shortage of managerial skills/expertise,13%,13%,12%,24%,9%,11%,10%,20%,13%,18%,16%,13%,16%,12%,8%,18%,12%
Keeping staff,12%,10%,19%,17%,4%,19%,10%,13%,13%,13%,11%,12%,10%,12%,3%,14%,11%
Pensions,10%,9%,14%,21%,15%,17%,7%,11%,8%,10%,13%,10%,12%,9%,0%,9%,12%
Crime,10%,10%,8%,11%,6%,16%,13%,7%,9%,8%,14%,9%,12%,9%,6%,6%,12%
Government / Government policy,2%,2%,3%,4%,0%,0%,*%,5%,5%,5%,2%,2%,3%,2%,0%,*%,3%
Public sector cuts,1%,1%,*%,7%,0%,0%,2%,1%,1%,1%,*%,1%,2%,1%,5%,2%,*%
Any other obstacles or difficulties,6%,6%,5%,6%,4%,9%,4%,8%,8%,8%,8%,6%,6%,7%,8%,5%,6%
None of these,4%,4%,3%,4%,1%,1%,3%,5%,10%,7%,0%,5%,5%,3%,8%,4%,3%
Table 2.5,,,,,,,,,,,,,,,,,
"B7. Overall, which is the biggest obstacle to the success of your business?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
The economy,33%,34%,32%,29%,25%,66%,25%,30%,39%,33%,23%,35%,30%,36%,44%,39%,29%
"Taxation, VAT, PAYE, National Insurance, business rates",10%,10%,8%,1%,13%,14%,10%,6%,9%,7%,18%,8%,11%,8%,3%,7%,11%
Regulations,9%,9%,7%,9%,4%,5%,14%,8%,8%,8%,4%,10%,8%,10%,0%,6%,12%
Cash flow,8%,7%,9%,10%,7%,6%,8%,9%,4%,7%,12%,7%,6%,9%,4%,8%,8%
Competition in the market,6%,5%,10%,14%,10%,1%,9%,4%,4%,4%,2%,6%,6%,5%,1%,1%,8%
Obtaining finance,6%,6%,6%,7%,2%,1%,9%,6%,3%,5%,20%,3%,8%,4%,14%,9%,3%
Recruiting staff,4%,4%,6%,6%,4%,*%,4%,6%,1%,5%,2%,4%,4%,4%,3%,10%,2%
Lack of broadband access,3%,4%,1%,1%,9%,0%,2%,5%,0%,3%,*%,4%,1%,4%,0%,2%,4%
Transport issues,3%,3%,1%,0%,13%,3%,1%,2%,1%,2%,2%,3%,3%,3%,0%,3%,3%
Availability / cost of suitable premises,1%,1%,1%,0%,0%,0%,*%,4%,0%,3%,0%,1%,2%,1%,3%,2%,1%
Keeping staff,1%,1%,1%,1%,0%,0%,*%,1%,*%,1%,0%,1%,0%,1%,0%,1%,1%
Shortage of managerial skills/expertise,1%,1%,1%,0%,*%,0%,0%,1%,*%,1%,3%,*%,1%,0%,0%,2%,*%
Crime,*%,1%,0%,1%,0%,0%,0%,2%,0%,1%,*%,1%,1%,0%,0%,0%,1%
Keeping up with new technology,*%,*%,0%,0%,0%,0%,0%,0%,3%,1%,0%,*%,0%,1%,0%,0%,1%
Shortage of skills generally,*%,0%,2%,4%,1%,0%,0%,1%,0%,1%,1%,*%,*%,*%,*%,1%,*%
Lack of financial understanding,*%,0%,1%,0%,1%,0%,0%,*%,0%,*%,*%,*%,*%,0%,0%,0%,*%
Pensions,*%,0%,*%,0%,0%,0%,0%,0%,*%,*%,0%,*%,*%,0%,0%,*%,0%
Other,9%,9%,9%,11%,10%,1%,10%,9%,12%,10%,11%,8%,10%,8%,15%,5%,10%
None of these,4%,4%,3%,4%,1%,1%,3%,5%,10%,7%,0%,5%,5%,3%,8%,4%,3%
Don't know,2%,3%,1%,1%,1%,0%,4%,2%,3%,2%,2%,2%,3%,2%,4%,1%,3%
Table 2.6,,,,,,,,,,,,,,,,,
B7A. You said that the economy is the main barrier to the success of your business. Is this the case for any of the following reasons...?,,,,,,,,,,,,,,,,,
Base: Where economy is biggest barrier to success,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,157,74,56,27,21,24,43,32,37,69,30,127,65,92,12,29,114
Weighted Bases,169,142,24,4,15,41,41,46,26,72,18,151,62,107,19,49,97
Uncertainty about the future,79%,80%,74%,70%,75%,87%,68%,83%,78%,81%,87%,78%,76%,81%,51%,89%,80%
Lack of demand from customers,78%,79%,75%,81%,75%,83%,81%,74%,76%,75%,70%,79%,81%,76%,67%,79%,79%
Increased running costs,72%,74%,63%,62%,68%,71%,85%,67%,64%,66%,74%,72%,83%,66%,79%,83%,65%
Increased competition,48%,50%,32%,49%,50%,40%,56%,51%,40%,47%,40%,49%,54%,44%,37%,55%,45%
Not the right time to invest in the business,35%,38%,20%,23%,52%,33%,40%,28%,36%,31%,34%,35%,40%,33%,26%,38%,37%
Lack of public sector funding,9%,8%,10%,4%,3%,7%,8%,5%,21%,11%,0%,10%,4%,11%,12%,3%,11%
Other,5%,5%,5%,0%,0%,13%,2%,5%,1%,4%,0%,6%,4%,6%,0%,0%,9%
Table 2.7,,,,,,,,,,,,,,,,,
"B8. You mentioned earlier that cash flow is an obstacle to the success of your business. Which, if any, of the following do you consider to be causes of this cash flow difficulty?",,,,,,,,,,,,,,,,,
Base: Where cashflow is an obstacle to success,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,222,101,81,40,29,26,64,64,39,103,79,143,114,108,17,44,160
Weighted Bases,219,186,28,5,25,36,69,69,20,89,53,166,96,123,19,54,144
Income tends to fluctuate while outgoings are steady,76%,77%,70%,63%,87%,75%,78%,70%,78%,72%,71%,78%,72%,79%,82%,79%,74%
Late payment from other businesses to whom you sell,70%,72%,60%,58%,74%,89%,48%,85%,53%,78%,73%,69%,67%,72%,73%,70%,69%
Late payment from individual customers to whom you sell,68%,69%,62%,58%,71%,90%,46%,82%,53%,75%,55%,72%,66%,69%,64%,61%,71%
Timing of tax payments,51%,52%,44%,34%,51%,36%,49%,62%,44%,58%,63%,47%,47%,54%,42%,60%,48%
Individual customers expect you to offer credit,49%,50%,49%,39%,51%,58%,46%,54%,30%,48%,50%,49%,48%,51%,58%,45%,49%
High levels of working capital required by business,39%,37%,48%,69%,65%,32%,40%,35%,26%,33%,44%,37%,38%,39%,59%,41%,35%
Early payment required by your suppliers,35%,35%,32%,34%,46%,34%,40%,34%,9%,28%,35%,35%,35%,35%,37%,29%,36%
High levels of investment required by business,28%,26%,33%,53%,55%,22%,34%,19%,16%,18%,35%,26%,33%,24%,43%,27%,25%
Outgoings tend to fluctuate but income is steady,26%,27%,21%,30%,24%,30%,28%,19%,44%,24%,28%,26%,29%,24%,27%,23%,27%
Difficult/expensive to get credit from your suppliers,24%,24%,19%,20%,12%,22%,34%,24%,5%,20%,27%,23%,23%,24%,15%,23%,25%
Other reasons,7%,7%,8%,7%,4%,5%,10%,7%,5%,6%,7%,7%,15%,1%,20%,8%,5%
Table 2.8,,,,,,,,,,,,,,,,,
B9. And which is the main cause of this cash flow difficulty?,,,,,,,,,,,,,,,,,
Base: Where cashflow is an obstacle to success,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,222,101,81,40,29,26,64,64,39,103,79,143,114,108,17,44,160
Weighted Bases,219,186,28,5,25,36,69,69,20,89,53,166,96,123,19,54,144
Late payment from other businesses to whom you sell,36%,37%,26%,29%,44%,62%,19%,38%,28%,36%,35%,36%,35%,37%,21%,34%,37%
Income tends to fluctuate while outgoings are steady,20%,20%,17%,17%,20%,10%,31%,14%,19%,15%,17%,21%,15%,24%,24%,19%,20%
Late payment from individual customers to whom you sell,12%,11%,26%,7%,2%,22%,2%,22%,12%,19%,8%,14%,8%,16%,15%,15%,11%
Timing of tax payments,7%,8%,4%,7%,5%,0%,15%,4%,10%,5%,10%,6%,5%,9%,0%,4%,9%
Outgoings tend to fluctuate but income is steady,4%,5%,1%,0%,0%,0%,0%,7%,24%,11%,6%,4%,5%,4%,12%,9%,2%
High levels of working capital required by business,3%,2%,7%,16%,11%,1%,4%,1%,1%,1%,5%,3%,5%,1%,3%,7%,2%
Early payment required by your suppliers,3%,3%,2%,0%,1%,0%,8%,0%,0%,0%,3%,3%,6%,0%,9%,0%,3%
Individual customers expect you to offer credit,2%,2%,2%,5%,13%,0%,3%,0%,0%,0%,*%,3%,2%,3%,0%,0%,4%
High levels of investment required by business,2%,1%,4%,6%,1%,0%,1%,3%,1%,3%,4%,1%,3%,*%,4%,3%,1%
Difficult/expensive to get credit from your suppliers,*%,0%,1%,2%,0%,0%,1%,0%,0%,0%,1%,0%,*%,0%,0%,0%,*%
Other,7%,6%,10%,10%,2%,5%,13%,4%,5%,4%,8%,7%,11%,4%,12%,6%,7%
Don't know,4%,4%,0%,0%,0%,0%,2%,9%,0%,7%,3%,4%,4%,3%,0%,3%,4%
Table 3.1,,,,,,,,,,,,,,,,,
"C1. In the last twelve months, have you sought external advice or information on matters affecting your business?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,41%,40%,45%,55%,48%,39%,40%,41%,40%,41%,63%,37%,100%,0%,46%,47%,39%
No,58%,59%,55%,45%,52%,61%,60%,57%,60%,58%,37%,62%,0%,99%,54%,53%,60%
Don't know,*%,1%,0%,0%,0%,0%,0%,1%,0%,1%,0%,1%,0%,1%,0%,0%,1%
Table 3.2,,,,,,,,,,,,,,,,,
"C2. Was the information or advice that you sought from the public or private sector, or both?",,,,,,,,,,,,,,,,,
Base: Where have sought business information or advice,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,AGE OF BUSINESS,,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,0-3 years,4-10 years,10+ years,
Unweighted Bases,240,94,93,53,41,24,59,64,52,116,86,154,240,16,53,171,
Weighted Bases,209,169,33,7,29,25,65,64,27,91,49,161,209,20,59,130
Public sector,3%,1%,8%,8%,8%,1%,1%,0%,9%,3%,3%,2%,3%,0%,3%,3%
Private sector,65%,66%,65%,59%,54%,82%,69%,66%,52%,62%,59%,68%,65%,76%,50%,71%
Both,31%,32%,27%,33%,38%,17%,31%,34%,32%,33%,38%,29%,31%,24%,47%,25%
Other,1%,1%,0%,0%,0%,0%,0%,0%,7%,2%,0%,1%,1%,0%,0%,1%
Table 3.3,,,,,,,,,,,,,,,,
C3. From who or where did you seek information or advice?,,,,,,,,,,,,,,,,
Base: Where have sought business information or advice,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,0-3 years,4-10 years,10+ years
Unweighted Bases,240,94,93,53,41,24,59,64,52,116,86,154,240,16,53,171
Weighted Bases,209,169,33,7,29,25,65,64,27,91,49,161,209,20,59,130
Accountant,47%,50%,33%,47%,23%,41%,50%,60%,43%,55%,48%,47%,47%,56%,36%,51%
"Professional body (e.g. accounting, marketing, personnel consultants)",19%,16%,35%,23%,31%,3%,19%,19%,20%,19%,23%,18%,19%,0%,28%,18%
Bank,16%,15%,19%,30%,20%,20%,15%,13%,17%,14%,26%,13%,16%,4%,16%,17%
Consultant,12%,10%,18%,15%,10%,26%,7%,9%,20%,12%,11%,12%,12%,19%,11%,11%
Solicitor/lawyer,9%,8%,12%,27%,3%,2%,3%,20%,14%,18%,12%,9%,9%,0%,10%,11%
Business representation organisation,9%,10%,5%,4%,12%,0%,16%,4%,11%,6%,2%,11%,9%,5%,9%,10%
Business networking organisation,7%,9%,1%,2%,13%,0%,11%,5%,4%,5%,10%,6%,7%,8%,9%,6%
Federation of Small Businesses (FSB),5%,5%,6%,0%,3%,2%,11%,4%,1%,3%,4%,6%,5%,0%,9%,5%
Friends / family,4%,5%,2%,2%,10%,14%,1%,*%,7%,2%,5%,4%,4%,7%,4%,4%
Gov.uk website,3%,2%,6%,4%,1%,0%,1%,6%,3%,5%,2%,3%,3%,0%,2%,3%
Local authority,2%,1%,7%,8%,1%,0%,1%,4%,6%,5%,6%,1%,2%,2%,4%,2%
Local Enterprise Partnership (LEP),1%,2%,1%,2%,7%,0%,*%,0%,3%,1%,1%,1%,1%,0%,4%,*%
Businesslink.gov.uk website,1%,2%,0%,0%,10%,0%,0%,0%,0%,0%,0%,2%,1%,0%,0%,2%
Business Link helpline,1%,2%,0%,0%,10%,0%,0%,0%,0%,0%,0%,2%,1%,0%,0%,2%
HMRC website,1%,*%,2%,0%,0%,0%,1%,0%,3%,1%,1%,*%,1%,0%,2%,0%
Chambers of Commerce,*%,0%,0%,2%,0%,1%,0%,0%,0%,0%,*%,0%,*%,0%,0%,*%
Other,12%,12%,12%,15%,8%,7%,19%,13%,2%,9%,10%,12%,12%,34%,14%,8%
Don't know,1%,1%,0%,2%,0%,6%,0%,0%,*%,*%,3%,*%,1%,7%,0%,*%
Table 3.4,,,,,,,,,,,,,,,,
C4. What did you seek information or advice about in the last year?,,,,,,,,,,,,,,,,
Base: Where have sought business information or advice,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,0-3 years,4-10 years,10+ years
Unweighted Bases,240,94,93,53,41,24,59,64,52,116,86,154,240,16,53,171
Weighted Bases,209,169,33,7,29,25,65,64,27,91,49,161,209,20,59,130
Financial advice/info for the general running of the business,36%,37%,32%,38%,31%,53%,45%,28%,24%,26%,43%,34%,36%,41%,28%,39%
Business plan/strategy,23%,25%,18%,18%,13%,22%,32%,16%,30%,20%,24%,23%,23%,45%,17%,23%
Business growth,22%,24%,12%,9%,26%,9%,29%,20%,17%,19%,14%,24%,22%,35%,23%,19%
Tax/national insurance law and payments,14%,15%,7%,13%,7%,4%,12%,22%,13%,20%,19%,12%,14%,4%,19%,13%
