Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Admin & Clerical Agency Staff,Corporate Services Other,ODGERS INTERIM,0001530253,"33,792.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Rates,Estates and Facilities,OLDHAM M B,0001536113,"123,743.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Bury PCT,Integrated & Community Service,PENNINE CARE NHS TRUST,0001534171,"16,787.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Bury PCT,Integrated & Community Service,PENNINE CARE NHS TRUST,0001534171,"17,700.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Oldham Pharmacy,Oldham Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001538215,"19,346.53",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Oldham Pharmacy,Oldham Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001542360,"24,162.91",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Rochdale Pharmacy,Rochdale Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001542360,31.87,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Bury Pharmacy,Bury Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001538215,"6,098.35",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Bury Pharmacy,Bury Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001542360,"1,101.48",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001538215,"8,031.58",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001542360,"4,662.74",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Licences,Estates and Facilities,PHONOGRAPHIC PERFORMANCE LTD,0001538910,"12,593.88",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Licences,Estates and Facilities,PHONOGRAPHIC PERFORMANCE LTD,0001538910,"6,296.94",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Licences,Estates and Facilities,PHONOGRAPHIC PERFORMANCE LTD,0001538910,"6,296.95",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001542403,"19,822.64",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001542403,"95,148.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001540008,"47,059.07",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001540008,"9,803.97",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Rates,Estates and Facilities,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0001536100,"33,771.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001535198,"40,863.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001536935,"26,194.50",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001537938,"26,194.50",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Bld Contract Pennine Acute,Capital,ROOFMASTER ROCHDALE,0001538891,"10,020.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Bld Contract Pennine Acute,Capital,ROOFMASTER ROCHDALE,0001538891,"25,050.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Smart Licences,Corporate Services Other,SMART,0001522468,"41,428.32",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Steam,Estates and Facilities,SRCL LTD,0001533911,"27,863.36",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,UNISON,UNISON,UNISON,0001541844,"71,934.38",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001541354,"47,127.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001539752,"50,819.58",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Computer Hardware & Software,Capital,VISION PHARMACEUTICALS LTD,0001482340,"37,753.00",
