#,Phrase,Number of Searches,Other pages,NoResult pages,Results pages,Specific-product pages
1299,driving licences,23,0,0,0.97,0.03
1300,widows benefit,23,0,0,1.00,0.00
1301,tractor,23,0,0,1.00,0.00
1302,road fund licence,23,0,0,1.00,0.00
1303,new driving test,23,0,0,1.00,0.00
1304,boots,23,0,0,0.91,0.00
1305,clothing grant,23,0,0,0.94,0.00
1306,l plates,23,0,0,1.00,0.00
1307,home responsibilities protection,23,0,0,0.92,0.08
1308,help with mortgage payments,23,0,0,1.00,0.00
1309,customer services,23,0,0,0.97,0.00
1310,advertising a job,23,0,0,1.00,0.00
1311,the right to confidentiality,23,0,0,1.00,0.00
1312,driving abroad,23,0,0,1.00,0.00
1313,christmas jobs,23,0,0,0.97,0.00
1314,freedom pass,23,0,0,0.96,0.00
1315,reversing,23,0,0,1.00,0.00
1316,change adress,23,0,0,0.89,0.00
1317,redundancy payment,23,0,0,1.00,0.00
1318,pss2,23,0,-1,0.00,0.00
1319,test fees,23,0,0,0.96,0.04
1320,student tax,23,0,0,1.00,0.00
1321,hmo,23,0,0,1.00,0.00
1322,statutory maternity leave,23,0,0,1.00,0.00
1323,change bank details,23,0,0,1.00,0.00
1324,income support contact number,23,0,0,1.00,0.00
1325,community care grant form,23,0,0,0.93,0.07
1326,get involved in community,23,0,0,0.96,0.00
1327,medical,23,0,0,0.99,0.00
1328,current year income assessment form,23,0,0,1.00,0.00
1329,lunch breaks,23,0,0,0.92,0.04
1330,mature student,23,0,0,0.96,0.00
1331,redundant,23,0,0,0.97,0.00
1332,jobs in glasgow,23,0,0,0.90,0.03
1333,numbers,23,0,0,1.00,0.00
1334,agency workers,23,0,0,1.00,0.00
1335,tacho card,22,0,0,1.00,0.00
1336,how much is a theory test,22,0,0,0.96,0.04
1337,lost birth certificate,22,0,0,1.00,0.00
1338,plymouth,22,0,0,1.00,0.00
1339,charity,22,0,0,0.96,0.00
1340,mortgage rescue scheme,22,0,0,0.96,0.04
1341,council tax benefits,22,0,0,1.00,0.00
1342,sainsburys,22,0,0,1.00,0.00
1343,means tested benefits,22,0,0,0.90,0.00
1344,claim,22,0,0,0.91,0.00
1345,motorcycle test,22,0,0,1.00,0.00
1346,eu10b,22,0,-1,0.00,0.00
1347,change my address,22,0,0,1.00,0.00
1348,home schooling,22,0,0,1.00,0.00
1349,new passport,22,0,0,0.96,0.04
1350,mental health act,22,0,0,0.98,0.00
1351,factory,22,0,0,0.96,0.00
1352,industrial injury,22,0,0,0.97,0.00
1353,insulation grants,22,0,0,1.00,0.00
1354,sia,22,0,0,0.96,0.00
1355,cost of practical driving test,22,0,0,0.96,0.00
1356,jobs available,22,0,0,0.97,0.00
1357,sf500,22,0,0,1.00,0.00
1358,ccg,22,0,0,0.86,0.09
1359,change theory test date,22,0,0,1.00,0.00
1360,bristol,22,0,0,1.00,0.00
1361,student declaration form,22,0,0,1.00,0.00
1362,tenants rights,22,0,0,1.00,0.00
1363,v85,22,0,0,1.00,0.00
1364,lost theory test certificate,22,0,0,1.00,0.00
1365,crises loan,22,0,0,0.96,0.04
1366,riddor,22,0,0,1.00,0.00
1367,all,22,0,0,1.00,0.00
1368,braking distance,22,0,0,0.97,0.00
1369,self-employment,22,0,0,0.97,0.00
1370,dsa1,22,0,0,1.00,0.00
1371,funerals,22,0,0,0.94,0.00
1372,dla404,22,0,0,1.00,0.00
1373,maternity leave letter,22,0,0,1.00,0.00
1374,sole trader,22,0,0,0.96,0.04
1375,transport,22,0,0,1.00,0.00
1376,jobseekers direct,22,0,0,1.00,0.00
1377,income,22,0,0,1.00,0.00
1378,CHANGE PRACTICAL TEST,22,0,0,1.00,0.00
1379,employer direct,22,0,0,0.96,0.00
1380,car,22,0,0,1.00,0.00
1381,discrimination at work,22,0,0,0.93,0.03
1382,overtaking,22,0,0,1.00,0.00
1383,work trials,22,0,0,0.96,0.00
1384,next steps,22,0,0,0.87,0.00
1385,hgv theory test,22,0,0,1.00,0.00
1386,p85,22,0,0,0.95,0.00
1387,hardship payments,22,0,0,0.99,0.00
1388,christmas bonus,22,0,0,1.00,0.00
1389,renewing driving licence,22,0,0,0.94,0.03
1390,decree absolute,22,0,0,1.00,0.00
1391,traffic lights,22,0,0,0.89,0.00
1392,p50,22,0,0,1.00,0.00
1393,short time working,22,0,0,0.98,0.00
1394,job profile,22,0,0,0.92,0.04
1395,hardship allowance,22,0,0,0.99,0.00
1396,tax credit helpline,22,0,0,0.96,0.00
1397,cat c,22,0,0,0.96,0.00
1398,driving test fees,22,0,0,1.00,0.00
1399,probationary period,22,0,0,1.00,0.00
1400,national speed limit,22,0,0,1.00,0.00
1401,pgt1,22,0,-1,0.00,0.00
1402,international,22,0,0,0.93,0.04
1403,tenancy agreement,22,0,0,0.96,0.00
1404,warehouse jobs,22,0,0,1.00,0.00
1405,universal credit,22,0,0,1.00,0.00
1406,teacher,22,0,0,0.92,0.04
1407,help line,21,0,0,0.94,0.00
1408,scooter,21,0,0,0.96,0.00
1409,apply online,21,0,0,1.00,0.00
1410,student finance log in,21,0,0,1.00,0.00
1411,voluntary,21,0,0,0.96,0.00
1412,additional state pension,21,0,0,0.94,0.00
1413,minimum pay,21,0,0,1.00,0.00
1414,contract,21,0,0,0.96,0.04
1415,domestic,21,0,0,0.96,0.00
1416,school leaving age,21,0,0,1.00,0.00
1417,gift aid,21,0,0,1.00,0.00
1418,online declaration,21,0,0,0.96,0.00
1419,northampton,21,0,0,0.96,0.00
1420,hgv licence,21,0,0,0.95,0.03
1421,registration document,21,0,0,1.00,0.00
1422,nurseries,21,0,0,1.00,0.00
1423,birth/adoption certificate form,21,0,0,0.95,0.00
1424,school admissions,21,0,0,0.97,0.03
1425,healthy start vouchers,21,0,0,1.00,0.00
1426,motorcycle licence,21,0,0,1.00,0.00
1427,digital tacho,21,0,0,1.00,0.00
1428,rpi,21,0,0,1.00,0.00
1429,aa,21,0,0,1.00,0.00
1430,driving test booking,21,0,0,1.00,0.00
1431,pa2,21,0,0,0.96,0.00
1432,free courses,21,0,0,0.91,0.00
1433,postgraduate,21,0,0,0.96,0.04
1434,benefit entitlement,21,0,0,1.00,0.00
1435,food,21,0,0,0.93,0.00
1436,moving abroad,21,0,0,0.92,0.04
1437,bugeting loans,21,0,0,1.00,0.00
1438,copy of birth certificate,21,0,0,0.96,0.04
1439,booking test,21,0,0,0.95,0.00
1440,c01 form,21,0,0,0.95,0.05
1441,autism,21,0,0,1.00,0.00
1442,self-employed,21,0,0,1.00,0.00
1443,education act,21,0,0,1.00,0.00
1444,maintance grant,21,0,0,0.97,0.00
1445,mat b1,21,0,0,1.00,0.00
1446,disabilty,21,0,-1,0.00,0.00
1447,working conditions,21,0,0,1.00,0.00
1448,scrapping,21,0,0,0.97,0.03
1449,inheritance,21,0,0,1.00,0.00
1450,licensing,21,0,0,0.92,0.04
1451,scrap,21,0,0,0.96,0.00
1452,driver health,21,0,0,0.96,0.04
1453,internship,21,0,0,1.00,0.00
1454,student finance form,21,0,0,0.97,0.03
1455,citizens advice,21,0,0,0.97,0.03
1456,claim forms,21,0,0,1.00,0.00
1457,expired passport,21,0,0,0.92,0.00
1458,ls01 form,21,0,0,0.97,0.00
1459,CHANGE OF NAME,21,0,0,1.00,0.00
1460,smp calculator,21,0,0,0.96,0.00
1461,widows,21,0,0,1.00,0.00
1462,downloads,21,0,0,0.95,0.00
1463,driver cpc,21,0,0,0.96,0.04
1464,replacement provisional,21,0,0,0.96,0.04
1465,retirement pension,21,0,0,0.96,0.00
1466,consultation,21,0,0,0.95,0.00
1467,british passport,21,0,0,0.94,0.00
1468,health & safety,21,0,0,1.00,0.00
1469,job serch,21,0,0,0.96,0.00
1470,crime statistics,21,0,0,0.90,0.06
1471,parliament,21,0,0,1.00,0.00
1472,career development loans,21,0,0,0.96,0.00
1473,primary school,21,0,0,1.00,0.00
1474,landlord,21,0,0,1.00,0.00
1475,birth,21,0,0,1.00,0.00
1476,FREE SCHOOL MEALS,21,0,0,0.96,0.04
1477,contact telephone number,20,0,0,0.96,0.00
1478,p11d,20,0,0,0.96,0.00
1479,adi test,20,0,0,1.00,0.00
1480,addresses,20,0,0,0.91,0.00
1481,passport validity,20,0,0,1.00,0.00
1482,form pff1,20,0,0,1.00,0.00
1483,refund,20,0,0,0.94,0.00
1484,home,20,0,0,0.88,0.00
1485,plastering,20,0,0,1.00,0.00
1486,driver jobs,20,0,0,0.97,0.00
1487,small claims court,20,0,0,1.00,0.00
1488,c v,20,0,0,1.00,0.00
1489,warehouse operative,20,0,0,1.00,0.00
1490,newport,20,0,0,1.00,0.00
1491,personal allowances,20,0,0,1.00,0.00
1492,lost paper licence,20,0,0,0.95,0.05
1493,dvla office,20,0,0,1.00,0.00
1494,Schools,20,0,0,0.96,0.04
1495,dvla number,20,0,0,1.00,0.00
1496,support allowance,20,0,0,1.00,0.00
1497,climate change,20,0,0,1.00,0.00
1498,carers premium,20,0,0,1.00,0.00
1499,trade unions,20,0,0,0.96,0.00
1500,paper licence,20,0,0,1.00,0.00
1501,getting married,20,0,0,0.97,0.03
1502,debt advice,20,0,0,0.96,0.00
1503,jsa online,20,0,0,1.00,0.00
1504,stakeholder pension,20,0,0,0.95,0.00
1505,married couples pension,20,0,0,0.97,0.00
1506,congestion charge,20,0,0,1.00,0.00
1507,joiners,20,0,0,1.00,0.00
1508,attendance allowence,20,0,0,1.00,0.00
1509,pa3,20,0,0,1.00,0.00
1510,disciplinary procedures,20,0,0,0.95,0.00
1511,voluntary contributions,20,0,0,0.96,0.04
1512,enterprise allowance,20,0,0,0.97,0.03
1513,pdf,20,0,0,0.96,0.04
1514,income tax bands,20,0,0,1.00,0.00
1515,college,20,0,0,0.96,0.04
1516,catering jobs,20,0,0,1.00,0.00
1517,working family tax credits,20,0,0,0.96,0.00
1518,shared ownership,20,0,0,0.96,0.00
1519,disabled badge,20,0,0,1.00,0.00
1520,tax credits helpline,20,0,0,1.00,0.00
1521,jobcentreplus application form,20,0,0,1.00,0.00
1522,electoral role,20,0,0,0.97,0.00
1523,tax fraud,20,0,0,1.00,0.00
1524,probation,20,0,0,0.95,0.05
1525,allowance,20,0,0,1.00,0.00
1526,social funds,20,0,0,1.00,0.00
1527,healthy eating,20,0,0,1.00,0.00
1528,royal mail,20,0,0,0.96,0.00
1529,theory test price,20,0,0,0.92,0.00
1530,job centre plus address,20,0,0,1.00,0.00
1531,surestart grant,20,0,0,0.96,0.00
1532,hgv jobs,20,0,0,0.96,0.04
1533,parental responsibility,20,0,0,1.00,0.00
1534,bradford,20,0,0,1.00,0.00
1535,book practical,20,0,0,1.00,0.00
1536,free road tax,20,0,0,1.00,0.00
1537,rp1,20,0,0,1.00,0.00
1538,loan request form,20,0,0,0.91,0.09
1539,marriages,20,0,0,1.00,0.00
1540,change name on driving licence,20,0,0,1.00,0.00
1541,check test,20,0,0,0.96,0.00
1542,disability act,20,0,0,1.00,0.00
1543,student finance application form,20,0,0,0.95,0.00
1544,living abroad,20,0,0,0.98,0.02
1545,benefit checker,20,0,0,1.00,0.00
1546,mortgage payments,20,0,0,0.96,0.00
1547,regional passport office,20,0,0,0.96,0.04
1548,government,20,0,0,0.96,0.00
1549,self employed benefits,20,0,0,1.00,0.00
1550,acts,19,0,0,0.97,0.00
1551,sp30,19,0,0,1.00,0.00
1552,defer state pension,19,0,0,0.92,0.04
1553,tax evasion,19,0,0,0.97,0.00
1554,speed limit,19,0,0,0.96,0.04
1555,wolverhampton,19,0,0,1.00,0.00
1556,disabled parking,19,0,0,0.96,0.00
1557,gro,19,0,0,0.91,0.05
1558,co2 emissions,19,0,0,1.00,0.00
1559,the pension service,19,0,0,1.00,0.00
1560,adult education,19,0,0,0.85,0.05
1561,music,19,0,0,0.96,0.00
1562,psf1,19,0,-1,0.05,0.00
1563,v55/4,19,0,0,1.00,0.00
1564,jobcenterplus,19,0,-1,0.00,0.00
1565,smp1 form,19,0,0,1.00,0.00
1566,d100,19,0,0,1.00,0.00
1567,education grants,19,0,0,0.96,0.00
1568,cost of practical test,19,0,0,1.00,0.00
1569,bus driver,19,0,0,1.00,0.00
1570,highways,19,0,0,1.00,0.00
1571,freedom of information,19,0,0,0.96,0.00
1572,motorbike theory test,19,0,0,1.00,0.00
1573,jobs in hull,19,0,0,0.91,0.03
1574,statutory paternity pay,19,0,0,0.96,0.04
1575,sc3,19,0,0,0.95,0.05
1576,eu student,19,0,0,0.95,0.00
1577,cleaning in offices and schools,19,0,0,1.00,0.00
1578,replacement driving license,19,0,0,0.95,0.00
1579,change of bank details,19,0,0,1.00,0.00
1580,deceased,19,0,0,0.96,0.00
1581,married couples allowance,19,0,0,1.00,0.00
1582,speeding points,19,0,0,0.96,0.04
1583,employers rights,19,0,0,1.00,0.00
1584,social security,19,0,0,0.96,0.00
1585,student finance login,19,0,0,1.00,0.00
1586,contact job centre,19,0,0,0.88,0.04
1587,cancel driving test,19,0,0,0.91,0.04
1588,check driving test,19,0,0,1.00,0.00
1589,mental capacity act,19,0,0,0.86,0.10
1590,computer safety,19,0,0,0.92,0.08
1591,find job,19,0,0,1.00,0.00
1592,hours of work,19,0,0,1.00,0.00
1593,pension tracing service,19,0,0,0.96,0.00
1594,homelessness,19,0,0,1.00,0.00
1595,job application forms,19,0,0,1.00,0.00
1596,work breaks,19,0,0,0.95,0.05
1597,todays jobs,19,0,0,0.95,0.00
1598,debt management,19,0,0,1.00,0.00
1599,replacement v5,19,0,0,1.00,0.00
1600,gsa1,19,0,-1,0.00,0.00
1601,national insurance numbers,19,0,0,1.00,0.00
1602,vc5,19,0,-1,0.00,0.00
1603,alias id,19,0,0,1.00,0.00
1604,redundacy,19,0,-1,0.00,0.00
1605,temporary contracts,19,0,0,0.92,0.00
1606,kitchen porter southampton,19,0,0,1.00,0.00
1607,electrical,19,0,0,1.00,0.00
1608,Winter fuel,19,0,0,1.00,0.00
1609,european union,19,0,0,0.95,0.00
1610,d l a,19,0,0,0.84,0.00
1611,extended retest,19,0,0,1.00,0.00
1612,elderly,19,0,0,0.97,0.00
1613,laws,19,0,0,0.96,0.00
1614,sf200,19,0,0,0.95,0.00
1615,work from home,19,0,0,1.00,0.00
1616,Chef,19,0,0,0.95,0.00
1617,teaching assistant jobs,19,0,0,1.00,0.00
1618,graduated retirement benefit,19,0,0,1.00,0.00
1619,how much is child benefit,19,0,0,0.86,0.00
1620,child minding,19,0,0,1.00,0.00
1621,school term dates,19,0,0,1.00,0.00
1622,jsa rates,18,0,0,0.91,0.04
1623,lost provisional license,18,0,0,1.00,0.00
1624,capital gains,18,0,0,0.95,0.00
1625,making a claim,18,0,0,1.00,0.00
1626,verbal warning,18,0,0,0.95,0.00
1627,renewing passport,18,0,0,1.00,0.00
1628,heating grants,18,0,0,1.00,0.00
1629,double glazing,18,0,0,1.00,0.00
1630,living allowance,18,0,0,1.00,0.00
1631,facebook,18,0,0,0.84,0.00
1632,Winter Fuel Payments,18,0,0,1.00,0.00
1633,attendance allowance form,18,0,0,0.96,0.00
1634,student support number,18,0,0,1.00,0.00
1635,events,18,0,0,0.96,0.04
1636,resignation,18,0,0,1.00,0.00
1637,help,18,0,0,0.95,0.00
1638,free dental treatment,18,0,0,0.95,0.05
1639,form pn1,18,0,0,1.00,0.00
1640,speeding fine,18,0,0,1.00,0.00
1641,free eye test,18,0,0,0.95,0.00
1642,contact income support,18,0,0,1.00,0.00
1643,jobs in carmarthen,18,0,0,0.86,0.00
1644,school dinners,18,0,0,1.00,0.00
1645,prescription charges,18,0,0,1.00,0.00
1646,drivers licence,18,0,0,0.95,0.00
1647,fixed penalty,18,0,0,0.97,0.03
1648,senco,18,0,0,1.00,0.00
1649,community care,18,0,0,1.00,0.00
1650,regional passport offices,18,0,0,0.97,0.00
1651,nearest dvla office,18,0,0,1.00,0.00
1652,population,18,0,0,0.92,0.04
1653,sen,18,0,0,0.96,0.00
1654,student finance declaration form,18,0,0,0.95,0.05
1655,loans and grants,18,0,0,1.00,0.00
1656,change,18,0,0,0.96,0.00
1657,TELEPHONE NUMBER,18,0,0,1.00,0.00
1658,is8,18,0,0,1.00,0.00
1659,allowances,18,0,0,1.00,0.00
1660,nic,18,0,0,1.00,0.00
1661,duplicate tax disc,18,0,0,1.00,0.00
1662,hardship payment,18,0,0,1.00,0.00
1663,towing a car,18,0,0,1.00,0.00
1664,cardiff,18,0,0,1.00,0.00
1665,tenders,18,0,0,1.00,0.00
1666,v33,18,0,0,0.95,0.05
1667,welder,18,0,0,1.00,0.00
1668,replace driving licence,18,0,0,1.00,0.00
1669,all jobs in deeside,18,0,0,1.00,0.00
1670,parent learning allowance,18,0,0,1.00,0.00
1671,work club,18,0,0,0.96,0.00
1672,route planner,18,0,0,0.95,0.05
1673,morgage interest help,18,0,0,0.95,0.05
1674,milton keynes,18,0,0,1.00,0.00
1675,full time,18,0,0,0.90,0.05
1676,hms,18,0,0,0.89,0.11
1677,itt,18,0,0,1.00,0.00
1678,change address on passport,18,0,0,1.00,0.00
1679,discrimination act,18,0,0,1.00,0.00
1680,c,18,0,0,1.00,0.00
1681,security jobs in london,18,0,0,0.93,0.02
1682,care jobs,18,0,0,0.91,0.00
1683,applying for national insurance number,18,0,0,1.00,0.00
1684,beauty,18,0,0,1.00,0.00
1685,weather,18,0,0,1.00,0.00
1686,security officer job,18,0,0,1.00,0.00
1687,british citizen,18,0,0,0.84,0.05
1688,student finances,18,0,0,0.95,0.00
1689,help with rent,18,0,0,1.00,0.00
1690,state pension rates,18,0,0,1.00,0.00
1691,housing allowance,18,0,0,1.00,0.00
1692,relocation,18,0,0,1.00,0.00
1693,redunancy,18,0,-1,0.00,0.00
1694,rental income,18,0,0,1.00,0.00
1695,claiming state pension,18,0,0,1.00,0.00
1696,sunderland,18,0,0,0.95,0.05
1697,foster care,18,0,0,1.00,0.00
1698,social loans,18,0,0,1.00,0.00
1699,auctions,18,0,0,0.93,0.00
1700,pre school,18,0,0,1.00,0.00
1701,aberdeen,18,0,0,1.00,0.00
1702,replacement,18,0,0,1.00,0.00
1703,crisis loan contact number,18,0,0,0.96,0.00
1704,cancel theory test,18,0,0,0.94,0.00
1705,hereford,18,0,0,0.95,0.00
1706,untaxed vehicles,18,0,0,1.00,0.00
1707,apprentaships,18,0,-1,0.00,0.00
1708,council jobs,18,0,0,1.00,0.00
1709,access to learning fund,18,0,0,1.00,0.00
1710,cleaner jobs,18,0,0,1.00,0.00
1711,council tax band,18,0,0,0.89,0.11
1712,accident at work,18,0,0,0.97,0.00
1713,luton,18,0,0,1.00,0.00
1714,statuary sick pay,18,0,0,0.95,0.00
1715,building control,18,0,0,0.92,0.00
1716,pension credit calculator,18,0,0,1.00,0.00
1717,dla forms,18,0,0,0.90,0.05
1718,admin jobs,18,0,0,1.00,0.00
1719,adif,18,0,-1,0.00,0.00
1720,get britain working,18,0,0,0.96,0.00
1721,budgeting loan forms,18,0,0,0.95,0.00
1722,cover letters,18,0,0,0.95,0.00
1723,self employed credit,18,0,0,1.00,0.00
1724,budgetting loan,18,0,0,0.96,0.00
1725,child tax credit form,18,0,0,0.96,0.00
1726,vehicle details,18,0,0,0.96,0.04
1727,tax exempt,18,0,0,1.00,0.00
1728,additional paternity leave,18,0,0,1.00,0.00
1729,independant driving,18,0,0,0.94,0.00
1730,b+e,18,0,0,1.00,0.00
1731,undertaking,17,0,0,1.00,0.00
1732,benfits,17,0,-1,0.00,0.00
1733,waste disposal,17,0,0,1.00,0.00
1734,waste,17,0,0,1.00,0.00
1735,unpaid leave,17,0,0,1.00,0.00
1736,do it online,17,0,0,0.93,0.00
1737,separation,17,0,0,0.97,0.03
1738,european parliament,17,0,0,0.79,0.08
1739,maternity letter,17,0,0,0.92,0.04
1740,crime,17,0,0,0.95,0.00
1741,old age pension,17,0,0,0.95,0.05
1742,shop,17,0,0,1.00,0.00
1743,hc5,17,0,0,0.89,0.11
1744,kit days,17,0,0,1.00,0.00
1745,replace license,17,0,0,1.00,0.00
1746,procurement,17,0,0,0.95,0.05
1747,digicard,17,0,-1,0.00,0.06
1748,curriculum vitae,17,0,0,1.00,0.00
1749,nhs bursary,17,0,0,0.94,0.06
1750,second job,17,0,0,0.96,0.00
1751,international driving permit,17,0,0,0.85,0.07
1752,rule 130,17,0,0,1.00,0.00
1753,prison,17,0,0,0.94,0.00
1754,number plate retention,17,0,0,0.95,0.05
1755,bd8,17,0,0,1.00,0.00
1756,complain,17,0,0,0.92,0.00
1757,emergency tax,17,0,0,1.00,0.00
1758,ved,17,0,0,1.00,0.00
1759,cv's,17,0,0,1.00,0.00
1760,court,17,0,0,0.95,0.00
1761,provisonal,17,0,-1,0.06,0.00
1762,childrens act,17,0,0,0.96,0.04
1763,information technology policy,17,0,0,1.00,0.00
1764,50 plus,17,0,0,0.96,0.04
1765,help with funeral costs,17,0,0,0.94,0.06
1766,kids,17,0,0,0.84,0.00
1767,pa1,17,0,0,1.00,0.00
1768,how much is state pension,17,0,0,1.00,0.00
1769,hpi,17,0,0,1.00,0.00
1770,legislations,17,0,0,0.95,0.00
1771,gifts,17,0,0,1.00,0.00
1772,widow,17,0,0,0.96,0.04
1773,jobs#,17,0,0,1.00,0.00
1774,all jobs in burnley,17,0,0,0.90,0.00
1775,ccg1 form,17,0,0,0.94,0.00
1776,student finance telephone number,17,0,0,0.95,0.00
1777,sex,17,0,0,1.00,0.00
1778,download application form,17,0,0,0.97,0.00
1779,council tax benifit,17,0,0,1.00,0.00
1780,v5 form,17,0,0,1.00,0.00
1781,trade union,17,0,0,0.90,0.00
1782,solar power,17,0,0,0.95,0.00
1783,cctv,17,0,0,0.91,0.05
1784,carbon footprint,17,0,0,1.00,0.00
1785,contracting out,17,0,0,1.00,0.00
1786,work related activity group,17,0,0,0.96,0.04
1787,digital tachograph cards,17,0,0,0.97,0.00
1788,motorbike test,17,0,0,1.00,0.00
1789,braking distances,17,0,0,1.00,0.00
1790,incapacity allowance,17,0,0,1.00,0.00
1791,d740,17,0,0,1.00,0.00
1792,widow's pension,17,0,0,1.00,0.00
1793,caretaker,17,0,0,1.00,0.00
1794,practice test,17,0,0,1.00,0.00
1795,nursing,17,0,0,1.00,0.00
1796,risk assessment,17,0,0,0.96,0.00
1797,maintenance loan form,17,0,0,0.96,0.04
1798,fireworks,17,0,0,0.95,0.05
1799,cares allowance,17,0,0,0.91,0.09
1800,laid off,17,0,0,0.94,0.00
1801,covering letters,17,0,0,1.00,0.00
1802,find my nearest,17,0,0,0.91,0.00
1803,taxi test,17,0,0,1.00,0.00
1804,healthy eating grant,17,0,0,1.00,0.00
1805,inflation,17,0,0,1.00,0.00
1806,handyman,17,0,0,1.00,0.00
1807,long term care,17,0,0,1.00,0.00
1808,disabled facilities grant,17,0,0,0.89,0.05
1809,claiming income support,17,0,0,1.00,0.00
1810,first aid,17,0,0,0.95,0.00
1811,counterpart driving licence,17,0,0,1.00,0.00
1812,disabled children,17,0,0,1.00,0.00
1813,esa50,17,0,-1,0.00,0.00
1814,night work,17,0,0,0.95,0.00
1815,free glasses,17,0,0,0.95,0.00
1816,hazard,17,0,0,1.00,0.00
1817,electoral register,17,0,0,0.90,0.05
1818,retail assistant,17,0,0,1.00,0.00
1819,make a claim,17,0,0,0.97,0.00
1820,courts,17,0,0,0.96,0.00
1821,domestic violence,17,0,0,0.80,0.00
1822,death register,17,0,0,1.00,0.00
1823,job descriptions,17,0,0,1.00,0.00
1824,registrar,17,0,0,0.91,0.00
1825,debt relief order,17,0,0,0.88,0.00
1826,s2p,17,0,0,1.00,0.00
1827,ccj,17,0,0,0.95,0.05
1828,tuition fee,17,0,0,0.96,0.00
1829,lost logbook,17,0,0,1.00,0.00
1830,sustainable development,17,0,0,1.00,0.00
1831,sexual harassment,17,0,0,1.00,0.00
1832,young people,17,0,0,0.95,0.00
1833,blackpool,17,0,0,1.00,0.00
1834,book,17,0,0,0.96,0.00
1835,course funding,17,0,0,1.00,0.00
1836,ofsted reports,17,0,0,1.00,0.00
1837,counter part,17,0,0,0.86,0.05
1838,driving practical test,17,0,0,0.96,0.00
1839,deferred pension,17,0,0,0.94,0.06
1840,map,17,0,0,1.00,0.00
1841,housing benefit form,17,0,0,0.95,0.05
1842,theroy,17,0,-1,0.00,0.00
1843,employment and support allowence,17,0,0,0.96,0.00
1844,drivingjobs  inm12 m13 m18,17,0,0,0.91,0.00
1845,gl24 form,17,0,0,1.00,0.00
1846,practical test centres,17,0,0,1.00,0.00
1847,carpentry,17,0,0,1.00,0.00
1848,track,17,0,0,0.89,0.00
1849,invalidity benefit,16,0,0,1.00,0.00
1850,apply for ni,16,0,0,1.00,0.00
1851,beverley jobcentre,16,0,0,0.98,0.00
1852,graduate,16,0,0,0.95,0.05
1853,casual worker,16,0,0,0.86,0.00
1854,skills,16,0,0,0.96,0.00
1855,working tax credit calculator,16,0,0,1.00,0.00
1856,mp,16,0,0,1.00,0.00
1857,changing your name,16,0,0,1.00,0.00
1858,dev_011325.doc,16,0,-1,0.00,0.00
1859,tachograph card,16,0,0,0.96,0.00
1860,learn direct,16,0,0,1.00,0.00
1861,pratical test,16,0,0,1.00,0.00
1862,job centre number,16,0,0,1.00,0.00
1863,grandparents,16,0,0,1.00,0.00
1864,reading,16,0,0,1.00,0.00
1865,volunteer work,16,0,0,1.00,0.00
1866,learning to drive,16,0,0,1.00,0.00
1867,big society,16,0,0,1.00,0.00
1868,building regs,16,0,0,0.94,0.00
1869,adf,16,0,-1,0.00,0.00
1870,www.direct.gov.uk/studentfinance,16,0,-1,0.00,0.00
1871,accountant,16,0,0,0.92,0.08
1872,book a practical test,16,0,0,0.94,0.00
1873,painting and decorating,16,0,-1,0.06,0.00
1874,contact address,16,0,0,1.00,0.00
1875,d47p,16,0,0,0.95,0.05
1876,d750,16,0,0,1.00,0.00
1877,equal opportunities act,16,0,0,0.91,0.09
1878,interest,16,0,0,1.00,0.00
1879,widowed parents allowance,16,0,0,0.94,0.06
1880,tribunal,16,0,0,0.95,0.00
1881,manual handling,16,0,0,1.00,0.00
1882,iht206,16,0,0,0.95,0.05
1883,br20,16,0,0,1.00,0.00
1884,job centre plus application form,16,0,0,1.00,0.00
1885,lost national insurance card,16,0,0,1.00,0.00
1886,provisional liscence,16,0,0,1.00,0.00
1887,laptop,16,0,0,1.00,0.00
1888,children act,16,0,0,1.00,0.00
1889,driving lisence,16,0,0,1.00,0.00
1890,disability working allowance,16,0,0,0.95,0.00
1891,childbenefit,16,0,-1,0.12,0.00
1892,money,16,0,0,0.95,0.00
1893,price,16,0,0,1.00,0.00
1894,carers allowance rates,16,0,0,0.95,0.05
1895,dvla contacts,16,0,0,0.89,0.11
1896,mimimum wage,16,0,0,1.00,0.00
1897,equality bill,16,0,0,1.00,0.00
1898,wage,16,0,0,1.00,0.00
1899,consumer,16,0,0,1.00,0.00
1900,decorating grant,16,0,0,1.00,0.00
1901,maternity calendar,16,0,0,1.00,0.00
1902,minimun wage,16,0,0,1.00,0.00
1903,pension centre,16,0,0,1.00,0.00
1904,road safety,16,0,0,1.00,0.00
1905,magistrates,16,0,0,0.97,0.00
1906,what benefits am i entitled to,16,0,0,1.00,0.00
1907,vic 1,16,0,0,1.00,0.00
1908,trailers,16,0,0,0.94,0.06
1909,benifit,16,0,-1,0.25,0.00
1910,going abroad,16,0,0,0.92,0.00
1911,right to work,16,0,0,0.98,0.00
1912,online theory test,16,0,0,1.00,0.00
1913,lord young,16,0,0,1.00,0.00
1914,passport interview,16,0,0,0.94,0.00
1915,winter heating allowance,16,0,0,1.00,0.00
1916,buxton,16,0,-1,0.00,0.00
1917,family credit,16,0,0,1.00,0.00
1918,sf300,16,0,0,1.00,0.00
1919,care worker,16,0,0,1.00,0.00
1920,coventry,16,0,0,1.00,0.00
1921,becoming a childminder,16,0,0,1.00,0.00
