Scheme Reference,Ward,Recipient of ward funding,Scheme details ,Ward Priority met,Date passed to Ward Committee for decision,Date funding approved by Ward Committee,Final amount approved,Status
GU-17-08,Guildhall,Spark: York,"Grant to create the Spark:York community sensory garden. The garden will be the centrepiece of Spark:York. It is being created in partnership with Edible York, York Orchard Trust, The Prince's Trust and York Inspirational Kids. There will be a mentor scheme with tutors, who will be teaching the most vunerable young people in the ward gardening and growing skills. ",The garden will add an additional green space within the Guildhall Ward. It will provide an additional space for activities for children and families. It will be a safe space and welcoming space for all the community to enjoy.  This meets the ward priority: Reducing the number of people suffering from loneliness,09/08/2017,09/08/2017,10000,Funding released to the group
GU-17-09,Guildhall,FOGGEY (Friends of Guildhall Group and Edible York),"FOGGEY (Friends of Guildhall Group and Edible York) picks fruit, mainly apples and pears, and will then either use it to make juice at community events, or distribute them to people who would not otherwise have access to fruit. The grant is to purchase bags to hold the fruit. ",This meets  two ward prioirites: better maintenance of parks and green spaces. Fewer people suffering from loneliness.,13/09/2017,13/09/2017,100,Funding released to group
GU-17-10 ,Guildhall,Briars House Wellbeing Centre,"Briars House Wellbeing Centre caters for support groups including mental health support, Arts Barge Art Therapy for adopted children and other community groups. The grant is for storage cuboards for groups to use.",This meet the ward priorities: Fewer people suffering from loneliness and for people to embrace diversity in their communities.,13/09/2017,13/09/2017,2480,Funding released to group
GU-17-11,Guildhall,Door 84 ,"Door 84 is a community centre in the based in the Groves. The community centre caters for many groups including SNAPPY, Groves Residents Association, Lollipop (Childrens death chairty and many Youth Services. The grant is for repair work of Door 84's building. ",This meet the ward priorities: Fewer people suffering from loneliness and for people to embrace diversity in their communities.,13/09/2017,13/09/2017,9000,Funding released to group
GU-17-12,Guildhall,York Nurturing Community ,"Community Hub and Cafe based at Spark: York. To create a space that caters for all, which operates on a pay as you feel basis. Cooking hot and cold healthy foods.",This meets the ward priority: Reducing the number of people suffering from loneliness,09/08/2017,09/08/2017,10000,Funding released to the group
GU-17-15 ,Guildhall,Red Tower ,"Funding has been covered for part of the capital cost to refurb and fit out the Red Tower in 2016/17, making the building more serviceable and comfrotable for users. This includes a WC, Kithcen, Lighting and heating. Red Tower have secured additonal funding to complete the project with Yorventure. Part of the agreement of Yorventure grant was the 10% of the grant has to be paid by a third party. This ward will apy this 10% which will secure the YorVenture grant and allow works to be complete.",This meets the ward priority: Reducing the number of people suffering from loneliness,08/11/2017,08/11/2018,4986,Funding released to group
GU-17-17,Guildhall,CYC,"To reduce speeding on Clarence Street and Haxby Road., by extending the current Islands and making them larger and safer for residents.  Approximate cost of £10,000 per island. The ward will fund 2 of them.","Safety amongst residents will be better and reduce any potential accidents, especially in winter conditions. ",13/12/2017,13/12/2017,20000,Funding agreed 
GU-17-18,Guildhall,CYC ,To fill 10 salt bins that are not directly owned by City of York Council. £55 per refill.,"Safety amongst residents will be better and reduce any potential accidents, especially in winter conditions. ",27/02/2018,27/02/2018,550,Complete 
HE-16-09,Heworth,Tang Hall Community Centre,Grant towards the refurmbishment to a Changing Places toilet,"1) A Safer, cleaner environment, 2) A healthy and vibrant community, 3) Developing and supporting a prosperous community ",03/07/2017,03/07/2017,30000,Funding released to group
HE-16-14,Heworth ,Bell Farm Community Association ,Funding for 1) reinstatement of the stage at Bellfarm social hall 2) build a storage area and a small office 3)re-surface and restore to original use the small childrens outside space at the hall 4) continue to run Bellfarm Homework and Community Club for a further year ,"2) A healthy and vibrant community, 2) Developing and supporting a prosperous community ",03/07/2017,03/07/2017,21930,Funding released to  group
HE-17-02,Heworth ,Glen Mosaic Community Garden ,Funding for equipment and supplies to continue maintaining and developing the garden ,"1)A healthy & vibrant community, 2) Developing and supporting a prosperous community ",03/07/2017,03/07/2017,515,Funding released to group
HE-17-06,Heworth ,Tang Hall Big Local ,Funding towards the cost of the activitites at Tang Hall Community Centre during the Tang Hall Family Festival on 23.7.17,1) A healthy & vibrant community 2) Developing and supporting a prosperous community ,03/07/2017,03/07/2017,1000,Funding released to group 
HE-17-13,Heworth ,Friends of Helen Cadbury ,Funding towards a memorial area in Glen Gardens ,"A Safer, cleaner environment; A healthy & vibrant community ",11/09/2017,08/01/2017,4000,Funding released to group 
HE-17-14,Heworth ,Friends of Glen Gardens ,Funding to convert a disused gents toilet in the pavillion into a storeroom ,"1) A Safer, cleaner environment, 2) A healthy and vibrant community, 3) Developing and supporting a prosperous community ",22/12/2017,12/01/2018,1500,Funding released to group
HE-17-18,Heworth ,,"Design, print and distribute a Heworth Community newsletter ","A healthy and vibrant community, Developing and supporting a prosperous community ",11/09/2017,11/09/2017,1450,Complete
HE-17-19,Heworth ,Home Start York,"Funding to recruit and train volunteers from the Heworth ward community, to provide one to one support for families with children under the age of 6 living in the ward","A healthy and vibrant community, Developing and supporting a prosperous community ",22/12/2017,22/01/2018,1500,Funding released to group
HE-17-20,Heworth ,Big Futures Foundation ,Funding towards providing a schools counselling service for disadvantaged children at Tang Hall Primary School and Haxby Road Primary School ,"A healthy and vibrant community, Developing and supporting a prosperous community ",22/12/2017,22/01/2018,4460,Funding released to group
HE-17-21,Heworth ,York Flourish ,Funding towards running a weekly Meet & Eat lunch club at Tang Hall Community Centre,"A healthy and vibrant community, Developing and supporting a prosperous community ",25/01/2018,26/02/2018,6424,Funding released to group 
HE-17-22,Heworth ,Tang Hall Community Centre,Funding towards the purchase and installation of a defibrillator at the centre ,"A healthy and vibrant community, Developing and supporting a prosperous community ",09/02/2018,09/02/2018,825,Funding released to group
HE-17-23,Heworth ,Bell Farm Social Hall Management Committee ,Funding for a new door mat in the reception area and fit a new window in an external wall,"1) A Safer, cleaner environment, 2) Developing and supporting a prosperous community ",14/02/2018,15/02/2018,3000,Funding released to group
HE-17-26,Heworth ,Healthwatch at York CVS ,Funding to run a community consultation focused on the changes being made to health and care services as a result of the Burnholme site development ,A healthy and vibrant community;  Developing and supporting a prosperous community ,23/02/2018,26/02/2018,6000,Funding released to group
HE-17-27,Heworth ,Glen Allotments Plot 46 Special Needs Children ,"Funding for: Purchasing stone to repair car park, new signs on the gate to protect the children, repairs to the shed and a sign to stop flytipping",A healthy and vibrant community ,23/02/2018,26/02/2018,730,Funding released to group
HE-17-29,Heworth ,Citizens Advice York ,"Funding to extend the weekly advice and budgeting sessions in the ward offer a range of debt, benefits and general advice from Bell Farm Social Hall ",Developing and supporting a prosperous community  ,08/03/2018,09/03/2018,3000,Funding released to  group 
HeW-17-01,Heworth Without,Heworth Rugby League Club,A grant towards costs of  the Heworth Rugby League Club changing room refurbishment including resurfacing the floor and fixing showers.,Community provision,28/02/2017,26/04/2017,3000,Funding released
HeW-17-02,Heworth Without,New Visuality,Grant for a series of art sessions (10 sessions over 10 weeks) with senior residents from the ward,"Community provision , reducing social isolation",22/03/2017,21/04/2017,2490,Funding released
HeW-17-03,Heworth Without,Heworth Cricket Club,A grant towards refurbishment of the changing room and creation of an en-suite shower facilities for girls/ladies football teams.,Community provision,04/04/2017,21/04/2017,2000,Funding released
HeW-17-05,Heworth Without,The Hut,"A grant towards replacement of floor and purchase of new materials incl. PS3, Televisions, footballs, basketballs, PS3 games and craft materials",Community provision,10/05/2017,06/06/2017,2880,released to the group
HeW-17-06,Heworth Without,Christ Church Senior Friends,A grant towards outings by coach or car to local places of interest in York area.,"Community provision , reducing social isolation",10/05/2017,06/06/2017,485,released to the group
HeW-17-07,Heworth Without,CYC Public Realm Team,Payment from the ward budget to maintain the current level of grounds maintenance service.,Improvements to the streets and landscapes,10/05/2017,06/06/2017,2334,Funding Agreed
HnE-17-05,Huntington & New Earswick,Activ8Learning,"To run the provision man cave which will offer weekly craft & still workshops to elderly isolated residents in Huntington, funding to run 30 x 4 hour weekly sessions, materials, room hire, tutors and marketing ",Increase community safety and cohesion,10/05/2017,20/07/2017,5800,Funding Agreed
HnE-17-06,Huntington & New Earswick,The Toolbox Project,To run holiday provisions for young people living within Huntington and New Earswick ward,Increased opportunities for young people,09/05/2017,20/07/2017,1800,Funding Agreed
HnE-17-08,Huntington & New Earswick,York CVS ,"To offer the ward a social prescribing scheme to combat loneliness and isolation, ",Increase community safety and cohesion,10/05/2017,20/07/2017,3645,Funding Agreed
HnE-17-09,Huntington & New Earswick,Friends of New Earswick School (FONES),Twards the costs of running their annual summer fair,Increased opportunities for young people,18/05/2017,05/07/2017,500,Funding Agreed
HnE-17-10,Huntington & New Earswick,Park Run ,"Towards the cost of establishing a park Run within the ward the grant will cover set up costs (laptop, hi viz clothing, timing equipment, course markers)",Increased opportunities for young people,19/09/2017,27/07/2017,2000,Funding Agreed
HNE-17-18,Huntington & New Earswick,Wilberforce Trust,"Towards Volunteer expenses, training, DBS checks and costings towards the volunteer hub situated within the ward",Increase community safety and cohesion,28/02/2017,20/07/2017,1500,Approved
HNE-17-21,Huntington & New Earswick,York CVS ,"Ready for anything programme in response to the 2015 floods in event of future floods or other major incidents. Towards resources, story sacks volunteer and coordinator expense & support supervision and evaluation costs",Increase community safety and cohesion,21/03/2017,20/07/2017,3645,Funding Agreed
HO-16-19,Holgate,Holgate Allotments Association,Bringing allotment holders and the community together by creating a community garden,"supporting & encouraging efforts of local people; supporting & encouraging strong, safe, communities",17/03/2017,17/03/2017,3500,Funding Agreed
HO-17-01,Holgate,Chill in the community,Extend Kitchen facilities to enable more community group usage,"reducing social isolation, ",14/06/2017,14/06/2017,4158,Funding Agreed
HO-17-02,Holgate,Railway Institute Bowls Club,Funding for an exterior cabinet for a defibrillator and an open training session,"supporting & encouraging efforts of local people; supporting & encouraging strong, safe, communities",02/06/2017,02/06/2017,714,Funding Agreed
HO-17-03,Holgate,Friends of West Bank Park,Funding to plan and deliver the west bank park summer fair,"supporting & encouraging efforts of local people; supporting & encouraging strong, safe, communities",14/06/2017,14/06/2017,898,Funding Agreed
HO-17-04,Holgate,Poppleton Road out of school club,Funding towards delivering a summer programme of sports and activities,"supporting & encouraging efforts of local people; supporting & encouraging strong, safe, communities",14/06/2017,14/06/2017,1500,Funding Agreed
HO-17-05,Holgate,New Lane Sports Club,Contribution towards the improvements to the road from the main site access to the clubhouse,"supporting & encouraging efforts of local people; supporting & encouraging strong, safe, communities",16/06/2017,19/06/2017,5506,Funding Agreed
HO-17-09,Holgate,The PCC of the Parish of St Paul's Holgate,"Provide a monthly club for the over 60's, with lunch and entertainment",Reducing social isolation,28/07/2017,31/07/2017,600,Paid
HO-17-10,Holgate,York RI New Lane Community Sports Club,Hold a Christmas concert with music and refreshments at York RI sports club on Hamilton Drive. Funding will allow tickets to pensioners to be free of charge,"1: supporting and encouraging the efforts of local people and groups to continue to improve Holgate and provide activities for all ages. 2: work with communities to reduce social isolation, 3: support and encourage strong, safe and friendly communities",01/11/2017,01/11/2017,300,Paid
HO-17-11,Holgate,Friends of West Bank Park,For Friends of West Bank Park to pay a security firm for locking of the park gates overnight for a year,"•supporting and encouraging the efforts of local people and groups to continue to improve Holgate and provide activities for people of all ages
•supporting and encouraging strong, safe and friendly communities
",16/11/2017,16/11/2017,2000,Paid
HR-16-07,Hull Road ,Tang Hall Community Centre,Grant towards updating the toilet and shower block facilities in the centre (match funding with Heworth ward),1) Promote a friendly & welcoming community 2) encouraging volunteering & community involvement 3) Supporting residents to prosper and access the services they need ,13/07/2017,13/07/2017,15000,Funding released to group 
HR-17-03,Hull Road ,TCV,Funding to support the Tang Hall Festival ,1) Promote a friendly & welcoming community 2) encouraging volunteering & community involvement ,27/06/2017,27/06/2017,2500,Funding released to group
HR-17-04,Hull Road ,CYC Public Realm Team,Contribution to the Hull Road Park Café project - 6 months portacabin hire up to March 2018,1) Promote a friendly & welcoming community 2) encouraging volunteering & community involvement 3) Supporting residents to prosper and access the services they need ,27/06/2017,27/06/2017,8500,Funding released  
HR-17-10,Hull Road ,CYC,"3 salt bins to replace the ones removed in 2011on Newland Park Drive, Olympian Court and Melrosegate outside the WMC",Highways ,13/11/2017,13/11/2017,1215,Complete
HR-17-11,Hull Road ,Citizens Advice York ,Funding to run weekly full day advice sessions in the ward ,Supporting residents to prosper and access the services they need ,20/12/2017,08/02/2018,19970,Funding released 
HR-17-14,Hull Road ,,"Design, print and distribute a Hull Road ward newsletter ","1) Promote a friendly and welcoming commuity, 2) Encouraging volunteering and community involvement, 3) Supporting residents to prosper and access the services they need ",05/01/2018,05/01/2018,1100,Complete
HR-17-16,Hull Road ,,Commission Eboracum Security to lock and unlock Hull Road park gates in March and April ,1) Promote a friendly and welcoming community ,22/02/2018,,1700,Complete
HR-17-17,Hull Road ,Badger Hill Residents Community Group  ,"Funding towards the cost of website licensing, printing of annual newsletter and AGM room hire",1) Promote a friendly and welcoming community 2) Encouraging volunteering and community involvement ,08/03/2018,20/03/2018,304.15,Funding released to  group 
HW-17-01,Haxby and Wigginton,Haxby and Wigginton Youth and Community Association ,"A detached youth work service on Ethel Ward which will see additional detached activity taking place in the ward 24 weeks of year.Activity will be delivered alongside Haxby Library mobile service, supporting young people in accessing more community services. ","Social isolation is often a direct outcome for young people who choose to not engage with external provisions outside school. This isolation from organised activity and social opportunities can lead to boredom and delinquency. By providing additional services that does not require young people to access a formal provision of activity, directly addresses social isolation and delinquent behaviour as a result. ",09/05/2017,09/05/2017,1758.9,Funding Agreed
HW-17-02,Haxby and Wigginton,Wigginton Grasshoppers FC,Lay a land drain to improve drainage of the playing pitches. ,Enhancing the environment & green spaces,09/05/2017,01/06/2017,2500,Funding Agreed
HW-17-03,Haxby and Wigginton,Haxby and Wigginton Methodist Church,To install a disabled lifting platform to allow those with mobility issues access to upstairs rooms.,Addresses social isolation and loneliness issues. Helps create an environment where everyone can enjoy time and activities together.,09/05/2017,01/06/2017,2000,Funding Agreed
HW-17-04,Haxby and Wigginton,The Wonder Years Preschool and Extended school ,"Towards carrying out weekly Forest School Sessions for children attending all sessions. Funding would go towards health and safety equipment, Fire and cooking, tools and bags and storage equipment, along with dens and shelters to get the sessions established ",Enhancing the environment & green spaces,29/06/2017,29/06/2017,1205,Funding Agreed
HW-17-05,Haxby and Wigginton,Haxby Playgroup,Towards repairing and revamping the outdoor play area at Haxby Playgroup for the continued learning and opportunities for the children ,Addresses social isolation and loneliness issues. Helps create an environment where everyone can enjoy time and activities together,13/07/2017,13/07/2017,2500,Funding Agreed
HW-17-07,Haxby and Wigginton,York City Football Club Foundation ,Towards providing holiday provision to young people  within the ward and to also continue for a further academic year sessions currently running weekly at  Joseph Rowntree School.,Addresses social isolation and loneliness issues. Helps create an environment where everyone can enjoy time and activities together,13/07/2017,13/07/2017,3502,Funding Agreed
HW-17-09,Haxby and Wigginton,Haxby and Wigginton Youth and Community Association ,Towards the cost of establishing a youth council within the ward,Addresses social isolation and loneliness issues. Helps create an environment where everyone can enjoy time and activities together,08/08/2017,20/09/2017,2233,Funding Agreed
HW-17-10,Haxby and Wigginton,York CVS ,"To offer the ward a social prescribing scheme to combat loneliness and isolation, ",Increase community safety and cohesion,01/08/2017,25/08/2017,4697,Funding Agreed
MK-17-01,Micklegate,CVS,"To offer the ward a social prescribing scheme to combat loneliness and isolation, ",Increase community safety and cohesion,01/08/2017,25/08/2017,4697,Funding Agreed
MK-17-02,Micklegate,York Blind and Partially Sighted Society,"To promote their services more widely within the Micklegate Ward and hopefully identify some of those 2,000 people living with sight loss but not in receipt of services.","•a community where all generations are supported, looked after and included
•a safe and resilient community
",03/05/2017,03/05/2017,2000,Funding Agreed
MK-17-03,Micklegate,Highways,New salt bin outside St Clement's Church,"•a safe and resilient community
•a clean and green community
",10/09/2017,10/09/2017,350,Paid
MK-17-06,Micklegate,York CVS,"Flood resilience packs for the community: preparedness kits, emergency plans, volunteer training, etc.","•a community where all generations are supported, looked after and included
•a safe and resilient community
",05/07/2017,05/07/2017,3645,Funding Agreed
MK-17-08,Micklegate,Ward,Bishopthorpe Road sculpture planning permission,A neighbourhood shaped by the community,14/06/2017,14/06/2017,195,Paid
Mk-17-09,Micklegate,CYC,New children's equipment for Scarcroft Green playground. Led by City of York Council's Public Realm team.,"•a neighbourhood shaped by the community
•a community where all generations are supported, looked after and included
",31/03/2017,31/03/2017,10000,Funding agreed
mk-17-10,Micklegate,CYC,Railings Rowntree Park,•a clean and green community,31/03/2017,31/03/2017,4000,Paid
Mk-17-12,Micklegate,CYC,New children's equipment for Rowntree Park playground. Led by City of York Council's Public Realm team.,"•a neighbourhood shaped by the community
•a community where all generations are supported, looked after and included
",31/03/2017,31/03/2017,20000,Funding agreed
Mk-17-13,Micklegate,CYC,"Scarcroft Green improvements (not play area). This will consist of new benches, improved pathways, markings, signage, green space, etc.  Led by City of York Council's Public Realm team.",•a neighbourhood shaped by the community •a clean and green community,31/03/2017,31/03/2017,10000,Funding agreed
MK-17-16,Micklegate,CYC,Payment for the Micklegate Business Initiative to close the road for a free Christmas street event-The Micklegate Mingle.,"•a community where all generations are supported, looked after and included
•a safe and resilient community
",15/11/2017,15/11/2017,460,Paid
OD-16-15 / 15a,Osbaldwick & Derwent,CYC Highways,"Dropped kerbs in Dunnington, Intake Lane",highways,30/11/2016,09/12/2016,2000,ongoing
OD-16-19,Osbaldwick & Derwent,Osbaldwick Sports Club,"A grant to pay for a replacement grass cutter to maintain the club's field. Funding to cover full cost of purchase is coming from three sources, so the Football Association, the Ward Committee and the Club. ",More community and youth opportunities,08/02/2017,16/03/2017,7500,Funding released
OD-17-01,Osbaldwick & Derwent,CYC Highways,"To dig out the verge on Thirkleby Way at Junction with Farndale Avenue and replace it with concrete and cobbles, protecting footpath by installing two cast iron bollards",A safer community,18/04/2017,20/04/2017,1000,Commisioned to highways
OD-17-02,Osbaldwick & Derwent,CYC Highways,"To dig out and replace the verge outside no’s 1 and 3 Thirkleby Way, YO10 3PU with concrete and cobbles protecting verge + install two cast iron bollards protecting the footpath. ",A safer community,18/04/2017,20/04/2017,250,Commisioned to highways
OD-17-03,Osbaldwick & Derwent,CYC Highways,"To remove the verge and replace with Tarmac, although some kerbs may need resetting due to vehicles overrun - Tranby and Farndale Avenues junction",A safer community,18/04/2017,20/04/2017,4000,Commisioned to highways
OD-17-04,Osbaldwick & Derwent,St Nicholas Churchyard Grass Cutters,to purchase a new grass cutter and burushcutter for the group of volunteers to use to maintain the churchyard,,18/04/2017,20/04/2017,485,Funding released
OD-17-05,Osbaldwick & Derwent,CYC Highways,To replace the strip of grass verge alongside the footpath at the Kexby inbound bus stop with concrete/cobbles to a width of 2’ with a pin kerb at the back. This is to tidy up the area and reduce future maintenance. 2’ should suffice as the Laurel hedge will prevent any verge growth.,A safer community,18/04/2017,20/04/2017,3500,Commisioned to highways
OD-17-06,Osbaldwick & Derwent,Murton Parish Council,A grant towards replacement of the existing street sign on Smary Lane with a granite through with sign affixed to it and replacement of the finger signpost on the village green with  a more appropriate rural sign.,A cleaner environemnt for all villages,18/04/2017,20/04/2017,1350,Funding released
OD-17-07,Osbaldwick & Derwent,Murton Parish Council,"A grant towards works around to the village pond, so dredging the beck flowing into the pond to reduce flooding, hedging work, tidying surrounds and restocking plants. ",A cleaner environemnt for all villages,18/04/2017,20/04/2017,600,Funding Agreed
OD-17-08,Osbaldwick & Derwent,CYC Highways,"Removal of the 12"" wide grass verges on Bracken Hill, Osbaldwick and replacement with concrete/cobbles. Verges are being damaged/overrun by cars.",highways,24/04/2017,24/04/2017,4300,Commisioned to highways
OD-17-09,Osbaldwick & Derwent,CYC Public Realm Team,Payment from the ward budget to maintain the current level of grounds maintenance service.,cleaner and greener environment,18/04/2017,20/04/2017,1891,Funding Agreed
OD-17-13,Osbaldwick & Derwent,CYC,"To solve parking problem on a CYC grass verge. The grass verge is constantly being damaged by cars. 
Proposal is to place a seat in this area with the addition of a couple of bollards/stones to protect the verge. This will be a pleasant place to sit for elderly, dog walkers etc. and not far from the bus stop over the road.
",A cleaner environment for all villages ,18/04/2017,20/04/2017,1000,With Highways
OD-17-14,Osbaldwick & Derwent,CYC ,"To create a four or five car parking bay on York Street, Dunnington, outside the Newsagents and opposite the bus stop. - this is now just a feasibility study  to start with",Safer communities across the ward,18/04/2017,20/04/2017,1000,with Highways
OD-17-15,Osbaldwick & Derwent,Dunnington in Bloom (Dunnington PC),Grant to Dunnington in Bloom To fund the purchase of 2 lawnmowers,A cleaner environment for all villages ,08/08/2017,09/08/2017,958.4,PAID
OD-17-16,Osbaldwick & Derwent,cyc,Pay for 10 embellishment kits for street lighting (part of a larger CYC capital scheme),A safer community,11/08/2017,11/08/2017,4500,COMPLETE
RC-16-11,Rawcliffe & Clifton Without,Highways,To install additional street lighting on Malton Way . (17 Malton Way approx) and ongoing costs,Highways,21/02/2017,21/02/2017,350,Funding Agreed
RC-17-10,Rawcliffe & Clifton Without,Clifton Moor Tiddlers ,Towards new play equipment and storage and refreshments at Clifton Moor tiddler Group ,Social Inclusion to combat loneliness & Isolation,14/03/2017,14/03/2017,250,Approved
RCW-17-02,Rawcliffe & Clifton Without,Rawcliffe Parish Council,A grant towards rennovations at Rawcliffe Rec to improve facilities offer a community cafe and additional meeting rooms,"social inclusion to combat loneliness & isolation, improving community spaces, supporting young people",20/06/2017,20/06/2017,20000,Approved
RCW-17-03,Rawcliffe & Clifton Without,Clifton Elderberries,A grant to go towards the cost of offering coach trips 3-4 times a year to elderly residents within the ward ,Social Inclusion to combat loneliness & Isolation,20/06/2017,20/06/2017,350,Approved
RCW-17-07,Rawcliffe & Clifton Without,Young at Heart ,Towards providing funds to subsidise the cost of two coach trips for the older generation who attend Young at Heart ,Social Inclusion to combat ,20/06/2017,27/06/2017,500,Funding Agreed
RCW-17-08,Rawcliffe & Clifton Without,Clifton Sea Scouts,Towards improving toilet facilities & creating a disabled toilet whilst adding projector and investing in tablets for the group,"Supporting young people, Impoving community spaces",20/06/2017,27/06/2017,6400,Funding Agreed
RCW-17-10,Rawcliffe & Clifton Without,Clifton Moor Community Church ,Towards the running costs of the Mosaic Pop up cafe. A community based group that meet for three days during the school holidays to run a variet of activities for the whole community,Supporting young peole,25/07/2017,27/07/2017,250,Funding Agreed
RCW-17-12,Rawcliffe & Clifton Without,Clifton Explore Library,"Towards the cost of purchasing, publising and refreshments equipment to launch a boccia session at the library",Social Inclusion to combat loneliness & Isolation,17/08/2017,29/08/2017,250,Approved
RCW-17-13,Rawcliffe & Clifton Without,York City Football Club Foundation ,To offer a free football holiday coaching course for young people within the Rawcliffe and Clifton without ward over the February half term,Supporting young people,30/06/2017,03/10/2017,1686,approved
RCW-17-15,Rawcliffe & Clifton Without,Accessible Arts ,To support the creative community project providing creative sessions using digital technology for older people and those living with demnetia in the Rawcliffe and Clifton Without ward,Social Inclusion to combat loneliness & Isolation,19/12/2017,23/01/2018,1000,pending
RCW-17-16,Rawcliffe & Clifton Without,Environment Community officers,"To produce ""no feeding the ducks"" signs at Rawcliffe Lake ",Improving community spaces,10/03/2017,11/01/2018,600,pending
RW-17-01,Rural West York,CYC Highways,To clean the Rufforth Gates on the Wetherby road driving into Rufforth vilage,Improve the Environment,10/08/2017,10/08/2017,400,Paid 
RW-17-02,Rural West York,Little St Mary's Pre-school Playgroup,Towards maintenance work and repairs to outdoor play area,To improve the lives of children and young people,28/03/2017,28/03/2017,700,Paid
RW-17-05,Rural West York,Rufforth Pre School ,To replace a pair of Trapezoid tables for the children attending their sessions,To improve the lives of children and young people,11/05/2017,11/05/2017,234,Paid
RW-17-06,Rural West York,Poppleton youth action group,support towards the groups running costs,To improve the lives of children and young people,23/05/2017,23/05/2017,2500,Paid
RW-17-07,Rural West York,Upper Poppelton Parish Council,Repair the village Maypole,Improve the Environment ,11/07/2017,11/07/2017,1000,Paid
RW-17-08,Rural West York,Poppleton Play,Improve Poppleton playground. Consult with young people to add new equipment and repair the existing environment,Priority met: To improve the lives of children and young people                                                                       Priority met: Improving the physical environment of the ward ,16/08/2017,16/08/2017,5000,Paid
RW-17-10,Rural West York,Askham Richard Parish Council,"Askham Richard Parish Council to purchase a defibrillator, cabinet and training to install in Askham Richard.",Priority met: Supporting projects and initiatives which help residents fell part of their community and improves wellbeing ,01/09/2017,01/09/2017,1412.4,Paid
ST-17-01,Strensall ,Strensall Library,Fund two events to reduce child and adult loneliness,Tackle Loneliness and Isolation,23/02/2017,24/03/2017,200,released to the group
ST-17-02,Strensall ,Earswick Parish Council,purchase  acoustic tiles for the Village Hall,Reduce social isolation,28/04/2017,01/06/2017,3180.96,released to group
ST-17-04,Strensall ,York City Foundation,Grant to York City Foundation to deliver youth provision in the Strensall ward at idfentified areas,Improve the help and wellbeing of wards residents,26/06/2017,12/07/2017,4550,released to the group
ST-17-05,Strensall ,York City Foundation,"A pot of money for any youth provision activity costs or extra engagement sessions throughout the year to compliment the youth provision work strensall are funding through the York City Foundation, TO BE ACCESSED WHEN NEEDED",Improves the health and weelbeing of wards residents and provides community provision for young people,18/07/2017,18/07/2017,5000,ongoing 
ST-17-06,Strensall ,Strensall Parish Council,Grant for a strimmer to support Parish Council to toidy up green area.,Improving the local enviroment and promoting a feeling of wellbeing. ,10/08/2017,10/08/2017,537.5,released to the group
ST-17-07,Strensall ,Strensall Parish Council,Purchase of bluebells and native species of spring bulbs for Strensall Woodland and open green spaces,Improving the local enviroment and promoting a feeling of wellbeing. ,10/08/2017,10/08/2017,500,released to the group
ST-17-10,Strensall ,Earswick Parish Council,Match funded the Parish Council to purchase outdoor gym equipment (for 12 year plus),Improving the local enviroment and promoting a feeling of wellbeing & to improve physical enviroment,06/10/2017,06/10/2017,4900,released to the group
ST-17-11,Strensall ,Stockton on the Forest Parish Council,Grant to install a new bench for visitors and residents to enjoy. ,To improve physical enviroment,26/10/2017,26/10/2017,362.5,relased to the group
ST-17-14,Strensall ,York City Football Club Foundation ,Grant to provide a weekly youth club in Strensall. Every Friday evening from Dec 2017 to March 2018. Including consultation and delivery.,To improve the health and wellbeing of ward residents and provides community provision for young people.,22/11/2017,22/11/2017,5150,released to the group
ST-17-17,Strensall ,St Mary's Church Setting up a Community Cafe in Strensall ‘Spearhead Community Cafe’. ,Grant to set up a Community Cafe. Targeting residents who are lonely and isolated. ,Improves the health and weelbeing of wards residents.,11/03/2017,11/03/2017,420,released to the group
ST-17-18,Strensall ,York City Football Club Foundation ,Grant to provide a weekly youth club in Strensall. Every Friday evening. March 2018 to May 2018,To improve the health and wellbeing of ward residents and provides community provision for young people.,15/03/2018,15/03/2018,3000,released to the group
WE-15-14,Westfield,CYC,Front street pavement improvements,highways,01/01/2016,28/03/2016,7181,Funding Agreed
WE-16-07,Westfield,CYC,Support for Sportsfields (scheme number 6 on the 2016-17 ward ballot) – to install one goal post at Foxwood Park. ,Improve activities for young people,14/03/2017,14/03/2017,479,completed
WE-16-12,Westfield,CYC,Hawshead Close footpath repairs. , Improve the local environment and take pride in Westfield,01/02/2017,14/03/2017,420,completed
WE-16-14,Westfield,CYC,A feasibility study  to assess if both entranceways to the alleyway between Askham Grove and Tennent Road can be converted to disabled/pushchair friendly and the steps be replaced with sloped paving., Improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,500,ongoing
WE-16-17,Westfield,CYC,"Trees work fund to be used for maintenance, trimming and replacement of trees on Council land", Improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,10926,work being commissioned
WE-16-17b,Westfield,CYC,"£2926 from the 2017-18 budget to top up the trees work fund to be used for maintenance, trimming and replacement of trees on Council land", Improve the local environment and take pride in Westfield,27/07/2017,25/08/2017,2926,Funding Agreed
WE-16-19,Westfield,CYC,Fund a skip for hard plastic items from  11am-1pm on Saturday 1st April 2017, Improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,610,completed
