Period: Nov 2014,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Types,Detailed Expenses Type,Expense Code,Narrative,Payment Date,Transaction Number,Order ID,Amount,Capital/Revenue,Supplier Name,Supplier ID,Customer ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Rental / Hire,,28/11/2014,10408955,10059981,8.75,R,Torfaen County Borough Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,14/11/2014,10406418,10055712,173.70,R,Gloveman Supplies Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,04/11/2014,10403143,0,51.95,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,28/11/2014,10408626,0,44.23,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,28/11/2014,10408626,0,94.67,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,28/11/2014,10408625,0,45.65,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,04/11/2014,10403106,0,33.48,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,11/11/2014,10405256,10055701,140.90,R,Douglas Willis Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,11/11/2014,10405257,10055713,474.77,R,Michael I Holdsworth Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,11/11/2014,10405224,10055700,3.93,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,11/11/2014,10404625,0,"1,297.79",R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,14/11/2014,10406417,10055703,31.55,R,Co-operative Group Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,14/11/2014,10405258,10055713,3.49,R,Michael I Holdsworth Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,18/11/2014,10406420,10055701,126.72,R,Douglas Willis Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,04/11/2014,10403106,0,"1,300.16",R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,04/11/2014,10403106,0,10.65,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,14/11/2014,10405776,10055886,159.44,R,Apetito Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,18/11/2014,10406672,10055911,163.51,R,3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,11/11/2014,10404921,10055854,239.57,R,Michael I Holdsworth Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,07/11/2014,10404308,10055888,33.52,R,Castell Howell Foods Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Furniture Purchases / Replacement,,11/11/2014,10405262,10060613,370.00,R,Binding Stores Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Printing, Stationery and General Office Expenses",Photocopying.,,14/11/2014,10406374,10060742,355.23,R,The Danwood Group Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Printing, Stationery and General Office Expenses",Stationery,,11/11/2014,10404625,0,14.53,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Printing, Stationery and General Office Expenses",Stationery,,28/11/2014,10408626,0,14.06,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,28/11/2014,10408610,0,141.67,R,Independent Children Services (South Wales) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,28/11/2014,10408610,0,141.66,R,Independent Children Services (South Wales) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,25/11/2014,10407795,10060796,240.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,14/11/2014,10405877,10060730,80.00,R,Able Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,14/11/2014,10405878,10060731,204.00,R,Touch Trust Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Other,Social Care and Health,Supplies & Services,Services,Legal Costs,,07/11/2014,10403988,0,135.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resources & Performance,Finance (SHS),Social Care and Health,Supplies & Services,Communications and Computing,Hardware Rental/ Maintenance.,,21/11/2014,10406637,10060526,9.63,R,SRS Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,Communications and Computing,Postages,,25/11/2014,10408008,10060859,5.00,R,Nisbets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,Services,Training Charges,,25/11/2014,10407228,0,93.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,Services,Assistance To Clients,,11/11/2014,10404625,0,62.29,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioning,Supporting People,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,14/11/2014,10404518,10055974,"20,732.00",R,Reach (Supported Living),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioning,Supporting People,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,14/11/2014,10404504,10055984,25.00,R,Henry Burton Almshouses Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioning,Commissioning Strategy,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,11/11/2014,10405125,0,"8,392.08",R,Drive Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioning,Support For Users & Carers,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,11/11/2014,10405062,10055536,"5,100.50",R,The Alzheimers Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,18/11/2014,10406886,0,88.89,R,Four Seasons Healthcare (SEDBURY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Conveyance Of Clients,,28/11/2014,10408610,0,22.68,R,Independent Children Services (South Wales) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Conveyance Of Clients,,28/11/2014,10409116,0,40.00,R,K. Watkins Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Learning Disability Team,Social Care and Health,Third Party Payments,Third Party,Other Non Residential Care.,,14/11/2014,10406197,0,95.90,R,Action on Hearing Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Other Non Residential Care.,,07/11/2014,10404212,0,"4,644.48",R,CPI Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Night Sitting Service.,,25/11/2014,10408492,0,111.96,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,103.24,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,144.88,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-144.88,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-117.24,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,604.80,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,322.08,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,583.20,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,583.20,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408472,0,842.01,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408474,0,"2,096.70",R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408479,0,592.98,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408379,0,"1,399.38",R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408400,0,121.99,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408188,0,323.44,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408043,0,733.71,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408050,0,121.44,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408042,0,30.36,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408059,0,890.57,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408097,0,101.22,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408487,0,667.32,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408066,0,968.99,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406114,0,"1,042.95",R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406144,0,474.30,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406125,0,676.00,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,18/11/2014,10406901,0,330.80,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,32.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,516.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,3.60,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,3.60,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,21/11/2014,10407495,0,120.00,R,Reach (Supported Living),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-452.80,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-394.88,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-463.60,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,"1,375.12",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,611.60,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,762.72,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,"5,476.44",R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,276.36,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,250.44,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,"1,672.00",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,26/11/2014,307394,0,"4,406.80",R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,183.88,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,183.88,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,"1,670.00",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,276.28,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405629,0,97.66,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405638,0,401.45,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405639,0,549.98,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405539,0,724.74,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405547,0,205.60,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406092,0,504.90,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-267.72,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,"-1,289.12",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-183.88,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,"-1,656.44",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,"-1,182.08",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,10409101,0,"1,724.80",R,JSJ Supported Living Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,10409018,0,488.40,R,Autumn Leaves Homecare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,160.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,120.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,119.24,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,"1,246.80",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,"2,862.00",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408146,0,501.57,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408172,0,133.47,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408401,0,385.95,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408407,0,39.84,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408182,0,452.87,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408432,0,478.01,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408434,0,96.41,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408461,0,562.73,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408221,0,19.92,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408435,0,49.80,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408099,0,762.80,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
