A separate key is published alongside the data to expand on column headings A1 through to G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOBS,KEY,SURVEY,SECTOR,LAW,COUNTRY,SIZE,A1,A2,A3,A4,A6,A8_1,A8_2,A8_3,A8_4,A8_5,A8_6,A8_7,B1,B1A,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8A,B2A,B3,B4,B3B4,C1_1,C1_2,C1_3,C1_4A,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,D1,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2A,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D3,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E2,E3,F1,F1A_1,F1A_2,F1A_3,F1A_4,F1A_5,F1A_6,F1A_7,F1A_8,F1A_9,F1A_10,F1B,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_LAW,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G4,WEIGHT
5977,b005147,NAO SURVEY,Retail/Distribution,Company,England,Micro (1-9 employees),1 to 4,6 - 20 years,Take on staff,Take on staff,Other,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,None / Do not employ any staff,Don't know,Disagree,Strongly Disagree,Disagree,Disagree,N/A,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Agree,Not very informed,Not,Not,Not,Not,External accountant,External insurance company,External lawyer,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Not,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Become much more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Health and Safety,Not,Not,Health and Safety,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly dissatisfied,No,1.01731583
4340,b005155,NAO SURVEY,Retail/Distribution,Employment,England,Micro (1-9 employees),1 to 4,More than 20 years,Stay the same,Reduce staff,Level of tax,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,None / Do not employ any staff,No time at all,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Don't know,Tend to agree,Yes, ,Yes,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not at all informed,Local Council Inspectors,Not,Not,Direct contact with Government departments,Not,Not,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not, , , , , , , , , , ,Never tried to contact the Local Council,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stayed the same,Increase a little,Yes,Not,Not,Not,Not,A trade or business association,Not,Not,Not,Not,Not,Yes,Not,Not,Fire Safety,Health and Safety,Not,Not,Health and Safety,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,1.01731583
5729,b005169,NAO SURVEY,Retail/Distribution,Company,England,Micro (1-9 employees),5 to 9,6 - 20 years,Take on staff,Take on staff,Level of tax,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,None / Do not employ any staff,No time at all,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Tend to agree,Yes, ,Yes,Agree,Strongly Agree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,Agree,Agree,Not very informed,Not,Not,Government departments' websites,Not,External accountant,External insurance company,Not,Not,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,N/A,Stayed the same,Stayed the same,N/A,N/A,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Increase a little,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.01731583
1119,b005183,NAO SURVEY,Retail/Distribution,Employment,Scotland,Micro (1-9 employees),5 to 9,More than 20 years,Stay the same,Stay the same,Don't know,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,None / Do not employ any staff,1-2 days,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly agree,No,too much regulation,Too much regulation,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fairly informed,Not,Not,Not,Not,Not,Not,Not,External specialist consultant,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a lot,No, , , , , , , , , , ,No, , , , , , , , , , , , , , , , ,1.01731583
11439,b005203,NAO SURVEY,Retail/Distribution,Health and Safety,England,Micro (1-9 employees),1 to 4,1 - 3 years,Stay the same,Stay the same,Access to finance,Don't know,N/A,Strongly Agree,N/A,N/A,N/A,Disagree,None / Do not employ any staff,No time at all,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,No,too much regulation,Too much regulation,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Fairly informed,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,None of these,Not, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.01731583
6429,b005205,NAO SURVEY,Retail/Distribution,Health and Safety,England,Medium (50-249 employees),100 - 249,More than 20 years,Stay the same,Stay the same,Access to finance,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,2 to 4,More than 20 days,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Tend to disagree,Yes, ,Yes,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Fairly informed,Local Council Inspectors,Not,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,External lawyer,External specialist consultant,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Not,Not,Want independent advice,Not,Not,Not,Not,Very straightforward,Stayed the same,Stayed the same,More time consuming,Stayed the same,More time consuming,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a little,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.03572884
10526,b005207,NAO SURVEY,Retail/Distribution,Company,England,Small (10-49 employees),10 to 19,Less than a year,Take on staff,Stay the same,Attracting and retaining customers,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,2 to 4,3-4 days,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Yes, ,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Fairly informed,Not,The Businesslink website,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,25+,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Become much more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Not,Not,Not,Fire Safety,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,Fairly satisfied,Very Satisfied,Yes,0.101726242
5334,b005209,NAO SURVEY,Retail/Distribution,Company,England,Micro (1-9 employees),None,6 - 20 years,Reduce staff,Take on staff,Access to finance,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,None / Do not employ any staff,Don't know,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Yes, ,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very informed,Not,Not,Government departments' websites,Not,External accountant,External insurance company,External lawyer,Not,Not,Not,Not,Not,Don't know,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Not,Not,Not,Not,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Less time consuming,Stayed the same,Stayed the same,More time consuming,More time consuming,Become slightly more time consuming,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.01731583
1684,b005226,NAO SURVEY,Retail/Distribution,Employment,Wales,Small (10-49 employees),10 to 19,More than 20 years,Stay the same,Stay the same,Complying with regulation,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,None / Do not employ any staff,1-2 days,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Tend to agree,No,too much regulation,Too much regulation,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Fairly informed,Local Council Inspectors,The Businesslink website,Government departments' websites,Not,External accountant,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Not,Need for assurance,Want independent advice,Not,Not,Not,Not,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Don't know,No, , , , , , , , , , ,Don't know,Food Safety,Not,Fire Safety,Health and Safety,Not,Not,Food Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,No,0.101726242
7029,b005246,NAO SURVEY,Retail/Distribution,Planning,England,Small (10-49 employees),20 - 49,6 - 20 years,Reduce staff,Reduce staff,Level of tax,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,1-2 days,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly agree,No,too much regulation,Too much regulation,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not very informed,Not,The Businesslink website,Government departments' websites,Not,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Become much more time consuming,Increase a lot,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Health and Safety,Not,Not,Health and Safety,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very Dissatisfied,Very Dissatisfied,No,0.101726242
5604,b005269,NAO SURVEY,Retail/Distribution,Health and Safety,England,Micro (1-9 employees),5 to 9,More than 20 years,Reduce staff,Take on staff,Staff recruitment and/ or retention,Agree,Don't know,Agree,Agree,Agree,N/A,Disagree,1,Less than half a day,Agree,Disagree,Disagree,Disagree,Disagree,Don't know,Agree,Don't know,Tend to agree,No,too much regulation,Too much regulation,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fairly informed,Not,Not,Government departments' websites,Not,External accountant,Not,Not,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Lack of clarity in legal requirement,Not,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Increase a little,No, , , , , , , , , , ,Don't know,Not,Not,Fire Safety,Not,Not,Not,Fire Safety,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,1.01731583
5771,b005345,NAO SURVEY,Retail/Distribution,Company,England,Micro (1-9 employees),5 to 9,More than 20 years,Stay the same,Stay the same,Attracting and retaining customers,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,None / Do not employ any staff,10-20 days,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Tend to agree,No,too much regulation,Too much regulation,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Fairly informed,Local Council Inspectors,Not,Not,Not,External accountant,External insurance company,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Not very straightforward,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Become much more time consuming,Increase a little,Yes,Not,Not,A Government department,Not,Not,Not,Not,Not,Not,Not,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.01731583
1811,b005346,NAO SURVEY,Retail/Distribution,Health and Safety,England,Micro (1-9 employees),5 to 9,More than 20 years,Stay the same,Stay the same,Attracting and retaining customers,Disagree,Agree,Agree,Agree,Agree,Don't know,Agree,2 to 4,1-2 days,Disagree,Disagree,Disagree,Don't know,Disagree,Strongly Disagree,Agree,Don't know,Tend to agree,No,too much regulation,Too much regulation,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Very informed,Not,Not,Government departments' websites,Not,Not,Not,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a little,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.01731583
6586,b005352,NAO SURVEY,Retail/Distribution,Company,England,Small (10-49 employees),20 - 49,6 - 20 years,Stay the same,Stay the same,Complying with regulation,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,2 to 4,1-2 days,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fairly informed,Not,The Businesslink website,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,Stayed the same,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Health and Safety,Not,Not,Health and Safety,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Very Dissatisfied,Yes,0.101726242
9229,b005375,NAO SURVEY,Retail/Distribution,Company,England,Small (10-49 employees),10 to 19,More than 20 years,Stay the same,Stay the same,Attracting and retaining customers,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,1,Half a day to a day,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Fairly informed,Not,Not,Not,Not,Not,Not,Not,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Become much more time consuming,Increase a lot,Yes,Not,Not,A Government department,Not,Not,Not,Not,Not,Not,Not,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.101726242
7121,b005387,NAO SURVEY,Retail/Distribution,Company,England,Small (10-49 employees),20 - 49,1 - 3 years,Reduce staff,Reduce staff,Attracting and retaining customers,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,2 to 4,1-2 days,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Tend to agree,No,too much regulation,Too much regulation,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Fairly informed,Not,The Businesslink website,Government departments' websites,Not,External accountant,External insurance company,External lawyer,Not,Not,Not,Not,Not,5 to 8,Not,Not,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Not,Not,Not,Not, ,Stayed the same,Less time consuming,Less time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Become slightly more time consuming,Decrease a little,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,Yes,0.101726242
11125,b005398,NAO SURVEY,Retail/Distribution,Planning,England,Small (10-49 employees),10 to 19,1 - 3 years,Stay the same,Take on staff,Access to finance,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,None / Do not employ any staff,Half a day to a day,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither agree nor disagree,Yes, ,Yes,Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Not very informed,Not,The Businesslink website,Not,Not,Not,Not,Not,External specialist consultant,Not,Not,Not,Not,17 - 24,Not enough time/ lack of internal resource,Not,Not,Not,Not,Not,Not,Not,Not, ,More time consuming,More time consuming,Stayed the same,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Become slightly more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Not,Not,Not,Fire Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,0.101726242
1083,b005401,NAO SURVEY,Retail/Distribution,Employment,Northern Ireland,Small (10-49 employees),20 - 49,More than 20 years,Reduce staff,Stay the same,Attracting and retaining customers,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,1,Half a day to a day,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Tend to agree,No,too much regulation,Too much regulation,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Very informed,Not,Not,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,9 to 16,Not,Not,Not,Not,Not,Not,To get the most specialist/up-to-date advice,Not,Not, ,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,N/A,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Become slightly more time consuming,Stay the same,No, , , , , , , , , , ,No, , , , , , , , , , , , , , , , ,0.101726242
7456,b005417,NAO SURVEY,Retail/Distribution,Planning,Scotland,Small (10-49 employees),10 to 19,More than 20 years,Reduce staff,Stay the same,Complying with regulation,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,2 to 4,5-10 days,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fairly informed,Not,The Businesslink website,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,5 to 8,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Not,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Increase a lot,Yes,Not,Not,A Government department,A regulator,Not,Not,Not,Not,Not,Not,No, , , , , , , , , , , , , , , , ,0.101726242
5148,b005422,NAO SURVEY,Retail/Distribution,Planning,England,Micro (1-9 employees),5 to 9,More than 20 years,Stay the same,Stay the same,Complying with regulation,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,None / Do not employ any staff,No time at all,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Yes, ,Yes,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,N/A,N/A,Agree,Disagree,Fairly informed,Not,Not,Not,Not,Not,Not,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not, , , , , , , , , , , ,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,More time consuming,N/A,More time consuming,More time consuming,More time consuming,Become much more time consuming,Increase a little,Yes,Not,Not,A Government department,Not,Not,Not,Not,Not,Not,Not,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.01731583
1460,b005427,NAO SURVEY,Retail/Distribution,Employment,Scotland,Micro (1-9 employees),5 to 9,More than 20 years,Reduce staff,Stay the same,Complying with regulation,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,None / Do not employ any staff,No time at all,Don't know,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Don't know,Tend to disagree,No,too much regulation,Too much regulation,Agree,Agree,Agree,N/A,Agree,N/A,Agree,Agree,Agree,Agree,Agree,Not very informed,Not,Not,Not,Not,External accountant,External insurance company,Not,Not,Not,Not,Not,Not,Don't know,Not,Not,Not,Not,Not,Not,Not,Not,Don't know, ,Stayed the same,Stayed the same,Don't know,N/A,Stayed the same,N/A,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,No, , , , , , , , , , , , , , , , ,1.01731583
5716,b005434,NAO SURVEY,Retail/Distribution,Employment,England,Small (10-49 employees),10 to 19,More than 20 years,Stay the same,Take on staff,Complying with regulation,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,None / Do not employ any staff,No time at all,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Tend to agree,Yes, ,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fairly informed,Not,Not,Government departments' websites,Not,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , , ,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.101726242
10047,b005437,NAO SURVEY,Retail/Distribution,Company,England,Small (10-49 employees),10 to 19,1 - 3 years,Take on staff,Stay the same,Complying with regulation,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,None / Do not employ any staff,1-2 days,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not at all informed,Local Council Inspectors,Not,Not,Direct contact with Government departments,External accountant,Not,External lawyer,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Fairly straightforward,More time consuming,More time consuming,More time consuming,Stayed the same,More time consuming,N/A,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Stayed the same,Decrease a little,No, , , , , , , , , , ,No,Not,Not,Not,Health and Safety,Not,Not,Health and Safety,Very Satisfied,Very Satisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,0.101726242
