Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2015110135,04/11/2015,TRAVEL AGENCIES,GEO,Travel Agencies,588.02,C-T-S LTD
FCOGPC2015110144,04/11/2015,TRAVEL AGENCIES,GEO,Travel Agencies,688.2,C-T-S LTD
FCOGPC2015110149,04/11/2015,TRAVEL AGENCIES,GEO,Travel Agencies,760.54,C-T-S LTD
FCOGPC2015110160,04/11/2015,TRAVEL AGENCIES,TUR,Travel Agencies,894.37,ETIKS TURIZM
FCOGPC2015110183,04/11/2015,TRAVEL AGENCIES,USA,Travel Agencies,"1,261.44",HOTELS.COM
FCOGPC2015110184,04/11/2015,TRAVEL AGENCIES,USA,Travel Agencies,"1,261.44",HOTELS.COM
FCOGPC2015110116,04/11/2015,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",HRV,Utilities and Non Automotive Fuel,502.21,FINA 30101 ZAGREB
FCOGPC2015110118,04/11/2015,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",LCA,Utilities and Non Automotive Fuel,509.37,ST LUCIA ELECTRICITY S
FCOGPC2015110128,04/11/2015,VARIETY STORES,ISR,General Retail and Wholesale,562.24,OFER SHARIM OTOMATIM L
FCOGPC2015110151,04/11/2015,WOMEN'S ACCESSORY AND SPECIALTY STORES,IND,General Retail and Wholesale,790.2,IQBAL TAILORS
FCOGPC2015110213,05/11/2015,ADVERTISING SERVICES,IND,Print and advertising,609.68,SHARAD ADVERTISING PVT
FCOGPC2015110242,05/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",USA,"Vehicles, servicing and spares","1,144.66",ROSENTHAL JAGUAR/LAND
FCOGPC2015110227,05/11/2015,"AUTOMOTIVE PARTS, ACCESSORIES STORES",AUS,"Vehicles, servicing and spares",870.64,MELBOURNE CITY HOLDEN
FCOGPC2015110229,05/11/2015,BOOK STORES,SAU,Books and Periodicals,903.25,JARIR BOOK STORE
FCOGPC2015110250,05/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,"1,272.96",PERSONAL STRENGTHS (UK
FCOGPC2015110256,05/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,"1,428",UBIQUS UK LIMITED
FCOGPC2015110221,05/11/2015,CATERERS,USA,Catering and Catering Supplies,736.6,PAYPAL AELASSOCIAT
FCOGPC2015110216,05/11/2015,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",COL,Leisure Activities,669.9,CORPORACION METROPOLIT
FCOGPC2015110200,05/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",KOR,Computer Equipment & Services,533.26,COMPUTER STORE 
FCOGPC2015110209,05/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",BGD,Computer Equipment & Services,578.45,LOTUS STATIONERY AND C
FCOGPC2015110224,05/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",BRA,Computer Equipment & Services,790.14,IMPRAMAIS
FCOGPC2015110226,05/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",BGD,Computer Equipment & Services,868,LOTUS STATIONERY AND C
FCOGPC2015110238,05/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",KOR,Computer Equipment & Services,"1,021.28",COMPUTER STORE 154
FCOGPC2015110243,05/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",KOR,Computer Equipment & Services,"1,153.79",COMPUTER STORE 154
FCOGPC2015110230,05/11/2015,CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,TUR,Building Materials,932.47,SAHIN TICARET VE NAKLI
FCOGPC2015110237,05/11/2015,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS",BRB,Mail and Courier Services,"1,006.67",CORLEC FORWARDING
FCOGPC2015110244,05/11/2015,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS",BRB,Mail and Courier Services,"1,174.14",DHL BARBADOS LTD
FCOGPC2015110251,05/11/2015,DEPARTMENT STORES,PAK,General Retail and Wholesale,"1,320.32",METRO HABIB CASH & C
FCOGPC2015110211,05/11/2015,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",CAN,Personal Services,601.25,LENIK INC
FCOGPC2015110205,05/11/2015,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,BRA,Mail Order / Direct Selling,552.81,IMPRIMA
FCOGPC2015110233,05/11/2015,DUTY FREE STORES STORES AND STANDS,DNK,General Retail and Wholesale,964.26,PETER JUSTESEN COMPANY
FCOGPC2015110219,05/11/2015,"EATING PLACES, RESTAURANTS",BRB,Restuarants and Bars,728.14,COUNTRY HOUSE CATERERS
FCOGPC2015110254,05/11/2015,"EATING PLACES, RESTAURANTS",USA,Restuarants and Bars,"1,353.78",CINEPOLIS COCONUT GROV
FCOGPC2015110245,05/11/2015,ELECTRONIC SALES,PAK,General Retail and Wholesale,"1,215.06",A TO Z COLLECTION
FCOGPC2015110198,05/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",JOR,General Retail and Wholesale,505.78,IKEA
FCOGPC2015110231,05/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",JOR,General Retail and Wholesale,953.57,IKEA
FCOGPC2015110246,05/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",JAM,General Retail and Wholesale,"1,218.01",SINGER JAMAICA LIMITED
FCOGPC2015110255,05/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",COL,General Retail and Wholesale,"1,415.87",MUEBLES Y ACCESORIOS
FCOGPC2015110258,05/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GRC,General Retail and Wholesale,"2,168.78",DIATAKSIS INTERIORS
FCOGPC2015110203,05/11/2015,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,BHR,Statutory Bodies,538.89,EWA - DEPOSIT TRANSACT
FCOGPC2015110206,05/11/2015,"GROCERY STORES, SUPERMARKETS",USA,General Retail and Wholesale,555.5,MORTON WILLIAMS GRY
FCOGPC2015110212,05/11/2015,"GROCERY STORES, SUPERMARKETS",ZAF,General Retail and Wholesale,607.92,PNP CRAIGHALL PAR
FCOGPC2015110234,05/11/2015,"GROCERY STORES, SUPERMARKETS",ZAF,General Retail and Wholesale,964.95,PNP CRAIGHALL PAR
FCOGPC2015110240,05/11/2015,HARDWARE STORES,PAK,General Retail and Wholesale,"1,088.59",QURESHI HARDWARE
FCOGPC2015110210,05/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,595.2,ACCOMODATION PROVIDER
FCOGPC2015110220,05/11/2015,HOTELS/MOTELS/RESORTS ,ZAF,Hotels,731.32,ACCOMODATION PROVIDER
FCOGPC2015110223,05/11/2015,HOTELS/MOTELS/RESORTS ,HND,Hotels,787.06,ACCOMODATION PROVIDER
FCOGPC2015110225,05/11/2015,HOTELS/MOTELS/RESORTS ,ZAF,Hotels,832.97,ACCOMODATION PROVIDER
FCOGPC2015110228,05/11/2015,HOTELS/MOTELS/RESORTS ,ARE,Hotels,891.16,ACCOMODATION PROVIDER
FCOGPC2015110232,05/11/2015,HOTELS/MOTELS/RESORTS ,TUN,Hotels,958.57,ACCOMODATION PROVIDER
FCOGPC2015110239,05/11/2015,HOTELS/MOTELS/RESORTS ,TUN,Hotels,"1,027.04",ACCOMODATION PROVIDER
FCOGPC2015110241,05/11/2015,HOTELS/MOTELS/RESORTS ,KHM,Hotels,"1,136.60",ACCOMODATION PROVIDER
FCOGPC2015110214,05/11/2015,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,618.43,PC RICHARD AND SON 
FCOGPC2015110218,05/11/2015,MEDICAL AND DENTAL LABORATORIES,USA,Medical Supplies and Services,705.87,MEDTECH ASSOCIATION IN
FCOGPC2015110204,05/11/2015,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",GRC,Catering and Catering Supplies,545.13,ATFLYA EPE
FCOGPC2015110202,05/11/2015,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,FIN,General Retail and Wholesale,536.61,MARICKEN SHOPS OY
FCOGPC2015110247,05/11/2015,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,RUS,General Retail and Wholesale,"1,237.77",SIMPO
FCOGPC2015110248,05/11/2015,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,RUS,General Retail and Wholesale,"1,237.77",SIMPO
FCOGPC2015110249,05/11/2015,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,RUS,General Retail and Wholesale,"1,237.77",SIMPO
FCOGPC2015110207,05/11/2015,OFFICE PHOTOGRAPHIC PHOTOCOPY & MICROFILM EQUIPMT.,GBR,"Office Stationery, equipment and supplies",564.3,THE COLOR COMPANY
FCOGPC2015110201,05/11/2015,"PACKAGE STORES, BEER, WINE, LIQUOR",BRB,General Retail and Wholesale,535.25,STANSFELD SCOTT & CO L
FCOGPC2015110217,05/11/2015,"PACKAGE STORES, BEER, WINE, LIQUOR",AUS,General Retail and Wholesale,688.1,JIM MURPHY MARKET
FCOGPC2015110235,05/11/2015,"PACKAGE STORES, BEER, WINE, LIQUOR",IRL,General Retail and Wholesale,981.23,O BRIENS WINES STILLOR
FCOGPC2015110199,05/11/2015,"QUICK COPY,REPRODUCTION AND BLUEPRINTING SERVICES",USA,"Office Stationery, equipment and supplies",525.93,FEDEXOFFICE 
FCOGPC2015110236,05/11/2015,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,ISR,Training and Educational,"1,003.98",BERLITZ ISRAEL LTD
FCOGPC2015110222,05/11/2015,SHOE STORES,KWT,General Retail and Wholesale,748.1,AL- JAWAREH CO.OLD SHO
FCOGPC2015110215,05/11/2015,TRAVEL AGENCIES,IND,Travel Agencies,623.28,DNATA
FCOGPC2015110252,05/11/2015,TRAVEL AGENCIES,BRA,Travel Agencies,"1,329.97",W M TOURS
FCOGPC2015110208,05/11/2015,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",VEN,Utilities and Non Automotive Fuel,576.14,CORPORACION DIGITEL CA
FCOGPC2015110253,05/11/2015,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",VEN,Utilities and Non Automotive Fuel,"1,340.61",CORPORACION DIGITEL CA
FCOGPC2015110257,05/11/2015,VARIETY STORES,SRB,General Retail and Wholesale,"1,508.61",NINE DOO
FCOGPC2015110262,06/11/2015,ADVERTISING SERVICES,PAK,Print and advertising,533.2,PANGRAPHICS PVT LTD
FCOGPC2015110263,06/11/2015,ADVERTISING SERVICES,IRL,Print and advertising,533.71,WWW.JOBS.IE
FCOGPC2015110278,06/11/2015,"ASSOCIATIONS-CIVIC, SOCIAL, AND FRATERNAL",USA,Leisure Activities,813.09,BABC NORTHERN CALIF
FCOGPC2015110287,06/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",CAN,"Vehicles, servicing and spares","1,001.21",STERLING FORD SALES
FCOGPC2015110309,06/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",FRA,"Vehicles, servicing and spares","2,990.27",NEUBAUER LAND ROVER
FCOGPC2015110269,06/11/2015,AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED,BRB,Auto rental,680.98,COCONUT CAR RENTALS LT
FCOGPC2015110296,06/11/2015,BICYCLE SHOPS-SALES AND SERVICE,IDN,General Retail and Wholesale,"1,284.59",MEGA TAMA SEPEDA-HO
FCOGPC2015110307,06/11/2015,BUS LINES,GBR,Travel - Air/Rail/Road,"1,708.59",THE KINGS FERRY
FCOGPC2015110285,06/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,NOR,Miscellaneous Industrial/Commercial Supplies,966.71,FINN JOBB AS
FCOGPC2015110261,06/11/2015,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",COL,Leisure Activities,529.8,CASA DE ESPA A
FCOGPC2015110275,06/11/2015,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",USA,Print and advertising,770.47,PATRICK MCMULLAN COMPA
FCOGPC2015110306,06/11/2015,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",GBR,Professional Services,"1,562.40",G3 SYSTEMS LTD
FCOGPC2015110280,06/11/2015,"EATING PLACES, RESTAURANTS",MEX,Restuarants and Bars,830.79,CAPULETO HIGHPARK
FCOGPC2015110289,06/11/2015,"EATING PLACES, RESTAURANTS",USA,Restuarants and Bars,"1,016.35",PERRYS STEAK HOUSE & G
FCOGPC2015110260,06/11/2015,ELECTRONIC SALES,PAK,General Retail and Wholesale,509.06,SIEMENS
FCOGPC2015110274,06/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",ARE,General Retail and Wholesale,760.38,I D DESIGN 113789028
FCOGPC2015110276,06/11/2015,"GROCERY STORES, SUPERMARKETS",RUS,General Retail and Wholesale,780.54,METRO CASH&CARRY 1013
FCOGPC2015110267,06/11/2015,HOTELS/MOTELS/RESORTS ,USA,Hotels,616.21,ACCOMODATION PROVIDER
FCOGPC2015110273,06/11/2015,HOTELS/MOTELS/RESORTS ,TTO,Hotels,751.57,ACCOMODATION PROVIDER
FCOGPC2015110277,06/11/2015,HOTELS/MOTELS/RESORTS ,PAN,Hotels,788.19,ACCOMODATION PROVIDER
FCOGPC2015110286,06/11/2015,HOTELS/MOTELS/RESORTS ,IDN,Hotels,997.74,ACCOMODATION PROVIDER
FCOGPC2015110288,06/11/2015,HOTELS/MOTELS/RESORTS ,PHL,Hotels,"1,014.22",ACCOMODATION PROVIDER
FCOGPC2015110291,06/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,117.80",ACCOMODATION PROVIDER
FCOGPC2015110292,06/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,117.80",ACCOMODATION PROVIDER
FCOGPC2015110294,06/11/2015,HOTELS/MOTELS/RESORTS ,RUS,Hotels,"1,243",ACCOMODATION PROVIDER
FCOGPC2015110295,06/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,284",ACCOMODATION PROVIDER
FCOGPC2015110298,06/11/2015,HOTELS/MOTELS/RESORTS ,MEX,Hotels,"1,300.85",ACCOMODATION PROVIDER
FCOGPC2015110300,06/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,321.92",ACCOMODATION PROVIDER
FCOGPC2015110301,06/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,343.52",ACCOMODATION PROVIDER
FCOGPC2015110310,06/11/2015,HOTELS/MOTELS/RESORTS ,RUS,Hotels,"4,354.91",ACCOMODATION PROVIDER
FCOGPC2015110305,06/11/2015,HOUSEHOLD APPLIANCE STORES,KEN,General Retail and Wholesale,"1,561.33",HOT POINT APPLI
FCOGPC2015110293,06/11/2015,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",SGP,Financial Services,"1,147.04",WINNER INSURANCE
FCOGPC2015110303,06/11/2015,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GBR,General Retail and Wholesale,"1,495.95",POLIMIL LIMITED
FCOGPC2015110281,06/11/2015,MOTION PICTURE THEATERS,IDN,Leisure Activities,873.02,EPICENTRUM XXI
FCOGPC2015110259,06/11/2015,PHOTOGRAPHIC STUDIOS,ITA,Print and advertising,509.02,TIPOGRAFIA  338
FCOGPC2015110266,06/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,584.83,PAYPAL FRPAYPAL FRPAY
FCOGPC2015110268,06/11/2015,"SCHOOLS, TRADE AND VOCATIONAL",GBR,Training and Educational,646.8,WWW.THEKNOWLEDGEACADEM
FCOGPC2015110283,06/11/2015,STENOGRAPHIC AND SECRETARIAL SUPPORT SERVICES,FRA,General Retail and Wholesale,907.02,COPY TOP
FCOGPC2015110284,06/11/2015,STENOGRAPHIC AND SECRETARIAL SUPPORT SERVICES,FRA,General Retail and Wholesale,907.02,COPY TOP
FCOGPC2015110265,06/11/2015,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,IND,Telecommunication Services,581.66,COMMUNICATION WORLD
FCOGPC2015110297,06/11/2015,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",BRA,Leisure Activities,"1,298.91",SAGA
FCOGPC2015110299,06/11/2015,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",BRA,Leisure Activities,"1,316.51",SAGA
FCOGPC2015110272,06/11/2015,TOURIST ATTRACTIONS AND EXHIBITS,USA,Leisure Activities,745,GTS CHARTER
FCOGPC2015110279,06/11/2015,TOURIST ATTRACTIONS AND EXHIBITS,USA,Leisure Activities,821.21,GTS CHARTER
FCOGPC2015110264,06/11/2015,TRAVEL,USA,Airline,580.21,AIRLINE
FCOGPC2015110271,06/11/2015,TRAVEL,ATG,Airline,687.81,AIRLINE
FCOGPC2015110302,06/11/2015,TRAVEL,PAN,Airline,"1,443.70",AIRLINE
FCOGPC2015110304,06/11/2015,TRAVEL,PAN,Airline,"1,507.97",AIRLINE
FCOGPC2015110308,06/11/2015,TRAVEL,JPN,Airline,"2,103",AIRLINE
FCOGPC2015110270,06/11/2015,TRAVEL AGENCIES,IND,Travel Agencies,685.12,DNATA
FCOGPC2015110290,06/11/2015,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",DNK,Utilities and Non Automotive Fuel,"1,057.57",HTH KOEBENHAVN
FCOGPC2015110282,06/11/2015,WHOLESALE CLUBS,NGA,General Retail and Wholesale,884.34,2214LA178468035
FCOGPC2015110318,07/11/2015,BOOK STORES,IND,Books and Periodicals,817.94,SUPER ENTERPRISES
FCOGPC2015110319,07/11/2015,"CANDY, NUT, CONFECTIONERY STORES",LBN,Catering and Catering Supplies,907.61,CHOCOLATINE
FCOGPC2015110315,07/11/2015,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",USA,Personal Services,601.97,ADT SECURITY 018414959
FCOGPC2015110317,07/11/2015,"EATING PLACES, RESTAURANTS",LCA,Restuarants and Bars,625.09,DELIRIUS LIMITED
FCOGPC2015110320,07/11/2015,"EATING PLACES, RESTAURANTS",IDN,Restuarants and Bars,"1,217.89","EPICENTRUM XXI,BAR CAF"
FCOGPC2015110311,07/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,518.4,ACCOMODATION PROVIDER
FCOGPC2015110312,07/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,518.4,ACCOMODATION PROVIDER
FCOGPC2015110313,07/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,518.4,ACCOMODATION PROVIDER
FCOGPC2015110314,07/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,518.4,ACCOMODATION PROVIDER
FCOGPC2015110321,07/11/2015,HOTELS/MOTELS/RESORTS ,USA,Hotels,"1,355.14",ACCOMODATION PROVIDER
FCOGPC2015110316,07/11/2015,TRAVEL AGENCIES,USA,Travel Agencies,603.35,EXPEDIA 
FCOGPC2015110325,08/11/2015,AUTOMOTIVE SERVICE SHOPS,ARE,"Vehicles, servicing and spares",905.51,PREMIER CAR CARE 90599
FCOGPC2015110327,08/11/2015,AUTOMOTIVE SERVICE SHOPS,ARE,"Vehicles, servicing and spares","1,123.69",PREMIER CAR CARE 90599
FCOGPC2015110328,08/11/2015,AUTOMOTIVE SERVICE SHOPS,ARE,"Vehicles, servicing and spares","1,123.69",PREMIER CAR CARE 90599
FCOGPC2015110323,08/11/2015,COMPUTER NETWORK/INFORMATION SERVICES,AZE,Computer Equipment & Services,683.78,WWW.HESAB.AZ/AZEUROTEL
FCOGPC2015110324,08/11/2015,"EATING PLACES, RESTAURANTS",FJI,Restuarants and Bars,703.32,NANDOS
FCOGPC2015110326,08/11/2015,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",BHR,Building Services,"1,031.12",COIL TECH
FCOGPC2015110329,08/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,739.45",ACCOMODATION PROVIDER
FCOGPC2015110322,08/11/2015,VARIETY STORES,CMR,General Retail and Wholesale,504.5,SONECO
FCOGPC2015110357,09/11/2015,ADVERTISING SERVICES,NZL,Print and advertising,889.58,SOUTH CITY FORMS
FCOGPC2015110368,09/11/2015,ADVERTISING SERVICES,ZAF,Print and advertising,"1,123.60",AVUSA MEDIA 1
FCOGPC2015110366,09/11/2015,AGRICULTURAL COOPERATIVES,FRA,Estate and garden Services,"1,118.51",CHAMP POL ROGER VAD
FCOGPC2015110370,09/11/2015,AGRICULTURAL COOPERATIVES,FRA,Estate and garden Services,"1,376.41",CHAMP POL ROGER VAD
FCOGPC2015110332,09/11/2015,AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED,TTO,Auto rental,531.78,ECONO CAR RENTALS LT
FCOGPC2015110360,09/11/2015,BOOK STORES,LBN,Books and Periodicals,960.08,PRINT ZONE
FCOGPC2015110344,09/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,NZL,Miscellaneous Industrial/Commercial Supplies,650.89,SP CONFERENCE MANAGEME
FCOGPC2015110345,09/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,651.6,UBIQUS UK LIMITED
FCOGPC2015110348,09/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,696,UBIQUS UK LIMITED
FCOGPC2015110350,09/11/2015,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",JAM,Leisure Activities,796.33,CAYMANAS GOLF & COUNTR
FCOGPC2015110354,09/11/2015,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",BRB,Leisure Activities,855.15,KENDAL SPORTING CLAYS
FCOGPC2015110363,09/11/2015,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",BRB,Leisure Activities,"1,028.58",KENDAL SPORTING CLAYS
FCOGPC2015110359,09/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",MAR,Computer Equipment & Services,921.03,TILILA SERVICES
FCOGPC2015110367,09/11/2015,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",ARE,Professional Services,"1,121.29",BRITISH BUSINESS GROUP
FCOGPC2015110355,09/11/2015,COSMETIC STORES,ISR,General Retail and Wholesale,885.3,SANO
FCOGPC2015110361,09/11/2015,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS",ISR,Mail and Courier Services,963.83,ROTERO HOVALA
FCOGPC2015110340,09/11/2015,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,IRL,Mail Order / Direct Selling,612.33,LINKEDIN-228 7519284
FCOGPC2015110364,09/11/2015,ELECTRICAL CONTRACTORS,BHR,Building Services,"1,082.52",ALFANAR ELECTRICAL
FCOGPC2015110362,09/11/2015,ELECTRONIC SALES,BGD,General Retail and Wholesale,980.57,GREEN HOUSE ENTERPRISE
FCOGPC2015110356,09/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",PAK,General Retail and Wholesale,887.6,ARIF BROS
FCOGPC2015110334,09/11/2015,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",GBR,Miscellaneous Industrial/Commercial Supplies,547.59,MACHINE MART WEB
FCOGPC2015110341,09/11/2015,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Statutory Bodies,623.75,FCO SERVICES
FCOGPC2015110342,09/11/2015,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,ISR,Statutory Bodies,624.58,IMPORT TAXEX FOREIGN T
FCOGPC2015110330,09/11/2015,HOTELS/MOTELS/RESORTS ,BRN,Hotels,514.73,ACCOMODATION PROVIDER
FCOGPC2015110349,09/11/2015,HOTELS/MOTELS/RESORTS ,ARG,Hotels,780.11,ACCOMODATION PROVIDER
FCOGPC2015110353,09/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,834,ACCOMODATION PROVIDER
FCOGPC2015110371,09/11/2015,HOTELS/MOTELS/RESORTS ,CHN,Hotels,"1,472.29",ACCOMODATION PROVIDER
FCOGPC2015110372,09/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"1,495.80",ACCOMODATION PROVIDER
FCOGPC2015110373,09/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"2,826",ACCOMODATION PROVIDER
FCOGPC2015110346,09/11/2015,HOUSEHOLD APPLIANCE STORES,LTU,General Retail and Wholesale,653.27,DOMUS LUMINA
FCOGPC2015110343,09/11/2015,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",GBR,Catering and Catering Supplies,639.9,WWW.SIMPLEXHEALTH.CO.U
FCOGPC2015110358,09/11/2015,MISCELLANEOUS AND SPECIALTY RETAIL STORES,USA,General Retail and Wholesale,892.4,WORLDS BEST BANNERS
FCOGPC2015110369,09/11/2015,MISCELLANEOUS AND SPECIALTY RETAIL STORES,LKA,General Retail and Wholesale,"1,197.84",LUXURIA COLOMBO
FCOGPC2015110331,09/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Professional Services,530.95,SQ PACIFIC PROTECTION
FCOGPC2015110365,09/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,CAN,Professional Services,"1,112.36",SQ LAVISH LIQUID CATE
FCOGPC2015110352,09/11/2015,"QUICK COPY,REPRODUCTION AND BLUEPRINTING SERVICES",CRI,"Office Stationery, equipment and supplies",833.64,GRAFICA TOTAL
FCOGPC2015110333,09/11/2015,TRAVEL,BEL,Airline,542.56,AIRLINE
FCOGPC2015110335,09/11/2015,TRAVEL,BEL,Airline,557.04,AIRLINE
FCOGPC2015110336,09/11/2015,TRAVEL,BEL,Airline,573.57,AIRLINE
FCOGPC2015110337,09/11/2015,TRAVEL,BEL,Airline,573.57,AIRLINE
FCOGPC2015110338,09/11/2015,TRAVEL,BEL,Airline,592.6,AIRLINE
FCOGPC2015110351,09/11/2015,TRAVEL,MEX,Airline,828.81,AIRLINE
FCOGPC2015110347,09/11/2015,TRAVEL AGENCIES,IND,Travel Agencies,691.44,DNATA
FCOGPC2015110339,09/11/2015,WHOLESALE CLUBS,USA,General Retail and Wholesale,600.61,BJ WHOLESALE #0097
FCOGPC2015110376,10/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",ZMB,"Vehicles, servicing and spares",519.03,ALLIANCE MOTORS
FCOGPC2015110387,10/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",ZAF,"Vehicles, servicing and spares",697.19,PRO SMALL DENT & SCRAT
FCOGPC2015110382,10/11/2015,AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED,GBR,Auto rental,603.93,INTX CARS (UK) LTD
