Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Control Accounts,9396,Grounds Maintenance,26/04/2018,0000214023,786.80,Control Accounts,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Variations,26/04/2018,0000214023,3418.36,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,26/04/2018,0000214023,540.18,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Grounds Maintenance Variance,26/04/2018,0000214023,486.74,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance,26/04/2018,0000214023,2000.00,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Anciliary Costs,26/04/2018,0000214023,610.48,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Routine Playground Inspections,26/04/2018,0000214023,1920.13,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Garden Waste Collection,26/04/2018,0000214024,14152.54,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Anciliary Costs,26/04/2018,0000214024,351.75,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Anciliary Costs,26/04/2018,0000214024,505.99,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,26/04/2018,0000214024,46623.09,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,26/04/2018,0000214024,86049.07,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2535,Operating Costs Grant,26/04/2018,0000214026,219540.00,Revenue,Rushmoor Citizens Advice Bureau,01780
Rushmoor Borough Council,Information Technology,3305,Refreshments at Meetings,26/04/2018,0000214039,274.75,Revenue,Coffee Select Ltd,12667
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,26/04/2018,0000214041,300.00,Revenue,2Nd Aldershot Scout Group,14562
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,26/04/2018,0000214042,300.00,Revenue,2Nd Aldershot Scout Group,14562
Rushmoor Borough Council,Community,2518,Refreshment Purchases,26/04/2018,0000214044,250.14,Revenue,Consort Frozen Foods Ltd,00260
Rushmoor Borough Council,Information Technology,7500,Digital Strategy Infrastucture,26/04/2018,0000214047,1881.90,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,26/04/2018,0000214047,3434.02,Revenue,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,26/04/2018,0000214049,2040.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Community,2518,Agency Sales,12/04/2018,0080010301,2296.00,Revenue,Surrey County Council,12225
Rushmoor Borough Council,Community,2518,Agency Sales,12/04/2018,0080010303,10306.70,Revenue,Cody Musical Theatre Company,00317
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010307,390.04,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010308,688.68,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010309,942.85,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010310,346.50,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010311,3000.00,Capital,Wilds Construction Ltd,14643
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,12/04/2018,0080010318,300.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,12/04/2018,0080010319,700.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,12/04/2018,0080010321,765.00,Control Accounts,B A Developments,10756
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,12/04/2018,0080010322,765.00,Control Accounts,B A Developments,10756
Rushmoor Borough Council,Community,2513,Direct Grants,12/04/2018,0080010323,600.00,Revenue,Mustard Seed Autism Trust,12567
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,12/04/2018,0080010327,765.00,Control Accounts,William B Preston,14661
Rushmoor Borough Council,Community,2513,Direct Grants,12/04/2018,0080010334,760.62,Revenue,Home Start,06348
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,12/04/2018,0080010335,765.00,Control Accounts,B A Developments,10756
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010341,1478.00,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,12/04/2018,0080010343,8367.39,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,10/04/2018,0080010345,1200.00,Revenue,Beacons Estate Agents,14408
Rushmoor Borough Council,Environmental Health and Housing,6400,Housing Renewal Grants,19/04/2018,0080010351,2166.84,Capital,Luxuria Property Ltd,14458
Rushmoor Borough Council,Community,2513,Direct Grants,19/04/2018,0080010363,1000.00,Revenue,Creating Futures,13290
Rushmoor Borough Council,Strategy and Communiations,1415,Apprenticeship Levy,19/04/2018,0080010366,2726.00,Revenue,Hm Revenue & Customs,00489
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,19/04/2018,0080010367,827.28,Revenue,Society Of St James,13585
Rushmoor Borough Council,Community,2538,Court Fees,26/04/2018,0080010374,11000.00,Revenue,The Court Service,05684
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/04/2018,0080010378,4179.66,Capital,Wilds Construction Ltd,14643
Rushmoor Borough Council,Community,2518,Heating Contribution - HCC,26/04/2018,0080010379,17245.86,Revenue,Hampshire Constabulary,13997
Rushmoor Borough Council,Community,2537,Car Park Refunds,26/04/2018,0080010380,12720.65,Revenue,Shaftesbury Investments Ltd,13992
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/04/2018,0080010385,2446.80,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Community,2518,Heating Contribution - HCC,26/04/2018,0080010387,6341.89,Revenue,Hampshire Constabulary,13997
Rushmoor Borough Council,Environmental Health and Housing,2402,Non Statutory Homeless Rent Deposit,26/04/2018,0080010390,400.00,Revenue,Mr Mark Raggett,06505
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,26/04/2018,0080010394,3207.60,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Personnel & Payroll,1415,Health Care,04/04/2018,100,1457.57,Revenue,National Deposit,DD1
Rushmoor Borough Council,Community,2518,Access/Cardnet,19/04/2018,91,327.18,Revenue,Virtual Leasing,DD2
Rushmoor Borough Council,All Services,9347,Staff Rail Travel,23/04/2018,117,970.9,Revenue,Rail Settlement Plan,DD3
Rushmoor Borough Council,Financial Services,3805,Access/Cardnet,26/04/2018,57,691.58,Revenue,Capita,DD4
Rushmoor Borough Council,Financial Services,3805,Access/Cardnet,04/04/2018,68,421.02,Revenue,Capita,DD5
Rushmoor Borough Council,Financial Services,3805,Access/Cardnet,26/04/2018,71,387.01,Revenue,Capita,DD6
Rushmoor Borough Council,Financial Services,3805,Access/Cardnet,04/04/2018,81,277.36,Revenue,Capita,DD7
Rushmoor Borough Council,Democratic Services,1327,Telephones,23/04/2018,115,334.86,Revenue,Hullabaloo,DD8
Rushmoor Borough Council,Community,2518,Databox Maintenance,17/04/2018,85,1256.72,Revenue,Spektrix,DD9
Rushmoor Borough Council,Financial Services,3403,Bank Charges,09/04/2018,21334,748.14,Revenue,Lloyds Bank,DD10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
