Country,Institution Type,Number of Unique Institutions,Number of Unique Programmes
Sri Lanka,English Language School,1,2
Sri Lanka,FE institution,4,3
Sri Lanka,"Government Organisation (national, regional, local)",1,1
Sri Lanka,HE institution,68,6
Sri Lanka,NGO/Community Organisation,5,1
Sri Lanka,Other,16,4
Sri Lanka,"School (nursery, early years, primary, secondary)",106,8
Sri Lanka,Youth organisation,3,1
Sudan,Arts organisation/Artist,18,3
Sudan,Creative industries,2,1
Sudan,English Language School,2,1
Sudan,FE institution,1,1
Sudan,"Government Organisation (national, regional, local)",4,3
Sudan,HE institution,19,5
Sudan,NGO/Community Organisation,10,2
Sudan,Other,7,6
Sudan,"School (nursery, early years, primary, secondary)",22,1
Swaziland,HE institution,11,3
Swaziland,"School (nursery, early years, primary, secondary)",5,2
Sweden,Arts organisation/Artist,2,2
Sweden,FE institution,5,3
Sweden,"Government Organisation (national, regional, local)",6,4
Sweden,HE institution,90,4
Sweden,NGO/Community Organisation,17,6
Sweden,Other,19,5
Sweden,"School (nursery, early years, primary, secondary)",130,8
Sweden,Youth organisation,4,2
Switzerland,Arts organisation/Artist,7,1
Switzerland,Creative industries,2,1
Switzerland,FE institution,1,1
Switzerland,"Government Organisation (national, regional, local)",1,1
Switzerland,HE institution,14,4
Switzerland,NGO/Community Organisation,10,3
Switzerland,Other,17,3
Switzerland,Politician,1,1
Switzerland,"School (nursery, early years, primary, secondary)",22,3
Switzerland,Youth organisation,1,1
Syria,Arts organisation/Artist,3,1
Syria,Creative industries,2,2
Syria,FE institution,2,2
Syria,"Government Organisation (national, regional, local)",1,1
Syria,HE institution,22,2
Syria,NGO/Community Organisation,2,2
Syria,Other,1,1
Syria,"School (nursery, early years, primary, secondary)",11,3
Taiwan,Arts organisation/Artist,1,1
Taiwan,English Language School,2,2
Taiwan,FE institution,3,1
Taiwan,"Government Organisation (national, regional, local)",2,2
Taiwan,HE institution,69,3
Taiwan,Independent Boarding School,1,1
Taiwan,Other,6,2
Taiwan,"School (nursery, early years, primary, secondary)",51,2
Tajikistan,HE institution,8,2
Tajikistan,"School (nursery, early years, primary, secondary)",1,1
Tanzania,Creative industries,2,1
Tanzania,FE institution,3,2
Tanzania,"Government Organisation (national, regional, local)",1,1
Tanzania,HE institution,36,6
Tanzania,NGO/Community Organisation,6,2
Tanzania,Other,9,3
Tanzania,"School (nursery, early years, primary, secondary)",50,5
Tanzania,Youth organisation,1,1
Thailand,Creative industries,8,2
Thailand,English Language School,19,2
Thailand,FE institution,8,2
Thailand,"Government Organisation (national, regional, local)",5,3
Thailand,HE institution,83,6
Thailand,Independent Boarding School,10,2
Thailand,NGO/Community Organisation,2,2
Thailand,Other,4,3
Thailand,"School (nursery, early years, primary, secondary)",60,7
Tonga,HE institution,3,2
Trinidad and Tobago,"Government Organisation (national, regional, local)",1,1
Trinidad and Tobago,HE institution,10,2
Trinidad and Tobago,Other,3,1
Trinidad and Tobago,"School (nursery, early years, primary, secondary)",59,3
Tunisia,Arts organisation/Artist,4,2
Tunisia,English Language School,1,1
Tunisia,FE institution,3,1
Tunisia,"Government Organisation (national, regional, local)",1,1
Tunisia,HE institution,16,2
Tunisia,Other,6,4
Tunisia,"School (nursery, early years, primary, secondary)",18,2
Turkey,Arts organisation/Artist,9,4
Turkey,Creative industries,3,3
Turkey,English Language School,1,1
Turkey,FE institution,14,7
Turkey,"Government Organisation (national, regional, local)",4,3
Turkey,HE institution,79,6
Turkey,NGO/Community Organisation,19,4
Turkey,Other,14,6
Turkey,"School (nursery, early years, primary, secondary)",334,10
Turkey,Youth organisation,1,1
Turkmenistan,HE institution,5,1
Uganda,Arts organisation/Artist,1,1
Uganda,Creative industries,1,1
Uganda,FE institution,3,2
Uganda,HE institution,48,7
Uganda,NGO/Community Organisation,2,1
Uganda,Other,12,3
Uganda,"School (nursery, early years, primary, secondary)",97,5
Ukraine,Arts organisation/Artist,2,1
Ukraine,Creative industries,3,3
Ukraine,FE institution,4,1
Ukraine,"Government Organisation (national, regional, local)",4,3
Ukraine,HE institution,17,3
Ukraine,NGO/Community Organisation,11,3
Ukraine,Other,17,5
Ukraine,"School (nursery, early years, primary, secondary)",15,4
Ukraine,Youth organisation,1,1
United Arab Emirates,Arts organisation/Artist,16,2
United Arab Emirates,English Language School,1,1
United Arab Emirates,FE institution,8,3
United Arab Emirates,"Government Organisation (national, regional, local)",1,1
United Arab Emirates,HE institution,49,7
United Arab Emirates,Independent Boarding School,1,1
United Arab Emirates,NGO/Community Organisation,1,1
United Arab Emirates,Other,3,3
United Arab Emirates,"School (nursery, early years, primary, secondary)",8,2
United States,Arts organisation/Artist,22,6
United States,Creative industries,3,3
United States,FE institution,18,5
United States,"Government Organisation (national, regional, local)",17,5
United States,HE institution,93,8
United States,NGO/Community Organisation,15,2
United States,Other,28,9
United States,Politician,1,1
United States,"School (nursery, early years, primary, secondary)",121,6
United States,Youth organisation,2,2
Uruguay,HE institution,3,2
Uzbekistan,FE institution,4,1
Uzbekistan,HE institution,10,4
Uzbekistan,Other,4,1
Uzbekistan,"School (nursery, early years, primary, secondary)",2,2
Venezuela,"Government Organisation (national, regional, local)",1,1
Venezuela,HE institution,5,1
Venezuela,NGO/Community Organisation,1,1
Venezuela,Other,1,1
Venezuela,"School (nursery, early years, primary, secondary)",23,1
Vietnam,Arts organisation/Artist,1,1
Vietnam,Creative industries,2,2
Vietnam,English Language School,1,1
Vietnam,FE institution,15,3
Vietnam,"Government Organisation (national, regional, local)",2,1
Vietnam,HE institution,59,7
Vietnam,Independent Boarding School,2,1
Vietnam,NGO/Community Organisation,2,2
Vietnam,Other,8,7
Vietnam,"School (nursery, early years, primary, secondary)",40,4
Yemen,Arts organisation/Artist,3,2
Yemen,FE institution,1,1
Yemen,"Government Organisation (national, regional, local)",3,1
Yemen,HE institution,12,3
Yemen,NGO/Community Organisation,8,2
Yemen,Other,1,1
Yemen,"School (nursery, early years, primary, secondary)",17,3
Yemen,Youth organisation,4,1
Zambia,FE institution,2,2
Zambia,HE institution,30,7
Zambia,Other,4,1
Zambia,"School (nursery, early years, primary, secondary)",63,5
Zimbabwe,Arts organisation/Artist,12,4
Zimbabwe,Creative industries,3,2
Zimbabwe,FE institution,1,1
Zimbabwe,"Government Organisation (national, regional, local)",1,1
Zimbabwe,HE institution,14,2
Zimbabwe,Independent Boarding School,1,1
Zimbabwe,Other,2,2
Zimbabwe,"School (nursery, early years, primary, secondary)",22,3
