OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Parish
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR026,,"Police station/ Magistrates Court, Parliament Street Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2140855,51.745439&level=17",OSGB36,385316,205216,0.41,owned by a public authority,,not permissioned,,,"https://www.stroud.gov.uk/media/355587/appendix-2.pdf#search=""STR018""|https://www.stroud.gov.uk/media/208653/ndp-64-web-version.pdf",,30,This site could be developed for a mix of housing and other town centre uses including medium to high density housing comprising  mainly townhouses and apartments and the suggested yield is around 30 - 45 units,"Retailand/or public service office uses on the ground floor with residential, hotel and/or office uses on upper floors",,30,45,,,"Main constraints: Stroud Town Centre Neighbourhood Plan Opportunitiy Site Policy ZP6, Conservation Area, demolition of existing building. Site investigation required.
Summary: The site is identified in the Stroud Town Centre Neighbourhood Development Plan as suitable for redevelopment for a mix of uses including retail and/or public service office uses on the ground floor with residential, hotel and/or office uses on upper floors. The current uses are likely to vacate the site in the short to medium term and there is a reasonable prospect that the site will be available in the future  and that development as envisaged will be delivered on the site within 15 years.
",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR027,,"Market Tavern, Cornhill Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2157294,51.743917&level=17",OSGB36,385203,205046,0.11,not owned by a public authority,yes,not permissioned,,,"https://www.stroud.gov.uk/media/355587/appendix-2.pdf#search=""STR017""|https://www.stroud.gov.uk/media/208653/ndp-64-web-version.pdf",,15,"This site could be developed for a mix of ground floor retail and commercial and/ or housing uses. If for housing only on upper floors, this could include high density housing comprising town houses and apartments and the suggested yield is up to 15 units.",Retail uses on the ground floor with residential and/or commercial uses on upper floors,,,,,,"Main constraints: Stroud Town Centre Neighbourhood Plan zonal policy ZP1b, Conservation Area.
Summary: The site is considered to be deliverable for a range of uses including housing within five years.The site is identified in the Stroud Town Centre Neighbourhood Development Plan as suitable for redevelopment for a mix of uses including retail on the ground floor with residential and/or commercial uses on upper floors. The site is available now and there is a reasonable prospect that development as envisaged will be delivered on the site within 15 years. ",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR028,,"Lower Wharf Industrial Estate, Wallbridge Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.223841,51.744072&level=17",OSGB36,384643,205065,0.64,not owned by a public authority,,not permissioned,,,https://www.stroud.gov.uk/media/1455/stroud-district-local-plan_november-2015_low-res_for-web.pdf#page=139|https://www.stroud.gov.uk/media/355587/appendix-2.pdf#page=115|https://www.stroud.gov.uk/media/208653/ndp-64-web-version.pdf,,12,"This site could be redeveloped for a mix of housing and other  uses including employment, tourism and leisure uses. Only the frontage land with Bath Road and land adjacent to the canal would be suitable for residential uses due to the floodplain. A relatively high density flatted development could be delivered, around 75-100 dph and the suggested yield is 12-17 units.
","Offices, light industrial, tourism, community and wider  ""employment"" uses (Local Plan paras 2.52-2.53)",,12,17,,,"Main constraints: Regenerating existing employment sites Local Plan Delivery Policy EI2 (ER9), Stroud Town Centre Neighbourhood Plan opportunity site ZP2b; Industrial Heritage Conservation Area; flood risk. Site investigation required.
Summary: The site is identified in the Stroud Town Centre Neighbourhood Development Plan as suitable for mixed uses, including potentially residential uses. The western part of the site is safeguarded for the potential recreation of the canal basin alongside with tourist and leisure uses. There is no evidence that the site is available now but there is a reasonable prospect that any suitable land will be available at a point in the future and that development as envisaged will be delivered on the site within 15 years.",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR029,,"Railway Land/ car parks, Cheapside Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2181039,51.743741&level=17",OSGB36,385038,205027,1.89,owned by a public authority,,not permissioned,,,"https://www.stroud.gov.uk/media/355587/appendix-2.pdf#search=""STR014""|https://www.stroud.gov.uk/media/208653/ndp-64-web-version.pdf",,75,"This site could be developed for a mix of housing, station and town centre uses. This could include high density housing comprising town houses and apartments and the suggested yield is up to 75 units.","Offices, retail and other town centre uses",,,,,,"Main constraints: Stroud Town Centre Neighbourhood Plan railway zone policy ZP3; Stroud Station and Industrial Heritage Conservation Areas; listed building, station operational land and car parks. Site investigation required.
Summary: The site is identified in the Stroud Town Centre Neighbourhood Development Plan as part of a wider area suitable for redevelopment comprising station enhancement, public space and other town centre uses including the development of the car parks on the south side of the railway for mixed uses, including residential uses. The site is not being promoted currently but there is a reasonable prospect that the site will be available at a point in the future for redevelopment and that development as envisaged will be delivered on the site within 15 years.",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR030,,"Merrywalks Arches , Merrywalks Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2202697,51.745347&level=17",OSGB36,384889,205206,0.2,not owned by a public authority,,not permissioned,,,"https://www.stroud.gov.uk/media/355587/appendix-2.pdf#search=""STR015""|https://www.stroud.gov.uk/media/208653/ndp-64-web-version.pdf",,25,"This site could be developed for a mix of commercial and housing uses. If for housing only, this could include high density housing comprising town houses and apartments and the suggested yield is 25 units.","Offices, retail and other town centre uses",,,,,,"Main constraints: Stroud Town Centre Neighbourhood Plan railway arches development site policy ZP4a; Industrial Heritage Conservation Area; flood risk. Site investigation required.
Summary: The site is identified in the Stroud Town Centre Neighbourhood Development Plan as suitable for reuse/ redevelopment for mixed use commercial and residential development. The site has been subject to relatively recent planning permissions for restaurant and public house uses and so although there is no evidence that the site is currently being actively promoted, there is a reasonable prospect that the site will be available  in the future for redevelopment and that development as envisaged will be delivered on the site within 15 years. ",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR031,,"Lodgemore/Fromehall Mills, Lodgemore Lane Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2265181,51.743591&level=17",OSGB36,384458,205012,1.4,not owned by a public authority,,not permissioned,,,https://www.stroud.gov.uk/media/1455/stroud-district-local-plan_november-2015_low-res_for-web.pdf#page=139|https://www.stroud.gov.uk/media/355587/appendix-2.pdf#page=113,,40,"Taking account of the heritage and landscape character of the site and its surroundings, this site could be subject to adaptive-reuse of the existing historic buildings for employment in improved premises and residential with sensitive conversion to apartments.","Offices, light industrial, community and wider  ""employment"" uses (Local Plan paras 2.52-2.53)",,,,,,"Main constraints: Regenerating existing employment sites Local Plan Delivery Policy EI2 (ER9), Industrial Heritage Conservation Area; listed buildings, flood risk and access. There are existing businesses on site and the site is not being actively promoted at the current time. Site investigation required.
Summary: The site is allocated in the Local Plan for mixed use regeneration and is considered suitable for employment and housing uses.The impact on the listed buildings and the integrity of the industrial complex would be likely to preclude any re-development of this site, other than adaptive-re-use of the existing historic buildings. There is no evidence that any of this area is available currently but there is a reasonable prospect that any suitable land will be available at a point in the future for development and that development as envisaged will be delivered on the site within 15 years.",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR032,,"Land to the rear of Avocet Business Park, Dudbridge Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2309178,51.742962&level=17",OSGB36,384153,204943,5.05,not owned by a public authority,,not permissioned,,,https://www.stroud.gov.uk/media/1455/stroud-district-local-plan_november-2015_low-res_for-web.pdf#page=139|https://www.stroud.gov.uk/media/355587/appendix-2.pdf#page=111,,50,Part of this site could be redeveloped for a mix of housing and employment uses including conversion of mill buildings. This could include medium to high density housing comprising town houses and apartments and the suggested yield is 50 -60 units.,"Offices, light industrial, community and wider  ""employment"" uses (Local Plan paras 2.52-2.53)",,50,60,,,"Main constraints: Regenerating existing employment sites Local Plan Delivery Policy EI2 (ER9), Industrial Heritage Conservation Area; listed buildings, protected outdoor playspace,  flood risk and access. Site investigation required.
Summary: Parts of this site are allocated in the Local Plan for mixed use, regeneration and considered suitable for housing and employment uses. Scope for redevelopment consisting principally of re-use of existing historic buildings and additional infill to the west of Chestnut Lane. The impact on the setting of the listed buildings and the character of the canal corridor would be likely to preclude development on substantial parts of the site and to constrain it to the previously developed land. There is no evidence that any of this area is available currently but there is a reasonable prospect that any suitable land will be available at a point in the future for development and development as envisaged will be delivered on the site within 15 years.",18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR033,,"Rooksmoor Mills, Bath Road Woodchester Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2307776,51.726823&level=17",OSGB36,384157,203148,1.09,mixed ownership,,pending decision,,,"http://www.stroud.gov.uk/pl.asp?S.13/1893/FUL
",,54,"Hybrid application for  full planning permission for construction of 54 residential units and outline planning permission for 1,300sqm of commercial floorspace ","1,300sqm of commercial floorspace (uses within Classes B1, B2, B8)",,,,,,"Main constraints: Industrial Heritage Conservation Area, flood risk, key wildlife site
Summary: The site is the subject of a Development Control Committee resolution, on 21/11/2017, to grant planning permission subject to a s106 agreement, relating to affordable housing overage and contributions, and to publicising the application as a departure from the development plan and as major development affecting the conservation area and setting of listed buildings. The majority of the site comprises brownfield land within settlement development limits, accommodating 46no dwellings, with 8no dwellings proposed on greenfield land outside but adjoining settlement development limits and proposed employment development on brownfield land part within and part outside settlement development limits.

",18/12/2017,18/12/2017,WOODCHESTER
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR034,,"Newport Towers Hotel  , Newport  Berkeley","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.4358339,51.675809&level=17",OSGB36,369937,197566,1.42,not owned by a public authority,yes,permissioned,outline planning permission,29/03/2017,http://www.stroud.gov.uk/pl.asp?S.15/1655/OUT,,39,Mixed use development including up to 39no dwellings and a community shop ,Community shop (use class A1),,,,,,,18/12/2017,18/12/2017,ALKINGTON
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR035,,"Land at Friday Street, Arlingham","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.4227797,51.797309&level=17",OSGB36,370935,211049,0.23,not owned by a public authority,,permissioned,full planning permission,16/05/2005,http://www.stroud.gov.uk/pl.asp?S.04/1795/FUL,,7,Erection of 5no detached and 2no semi-detached dwellings,,,,,,,,18/12/2017,18/12/2017,ARLINGHAM
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR036,,"Land at Wynstones Drive  , Brookthorpe","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2370033,51.806993&level=17",OSGB36,383736,212069,1.59,not owned by a public authority,yes,permissioned,other,28/09/2017,http://www.stroud.gov.uk/pl.asp?S.16/2202/OUT,,10,Hybrid planning application comprising demolition of 5 detached bungalows and 4 flats and erection of 19 residential dwellings (including detailed proposals for 1no detached and 2no semi-detached dwellings (Phase 1),,,,,,,,18/12/2017,18/12/2017,BROOKTHORPE WITH WHADDON
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR037,,"91 Westward Road  , Stroud  ","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2425586,51.742246&level=17",OSGB36,383348,204869,0.07,not owned by a public authority,yes,permissioned,full planning permission,14/01/2015,http://www.stroud.gov.uk/pl.asp?S.14/2176/FUL,,8,Erection of single building incorporating 3no one-bedroom and 7no two-bedroom flats,,,8,10,,,,18/12/2017,18/12/2017,CAINSCROSS
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR038,,"Tricorn House , Westward Road  Ebley Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2400728,51.74324&level=17",OSGB36,383523,204972,0.08,not owned by a public authority,yes,permissioned,other,07/07/2016,http://www.stroud.gov.uk/pl.asp?S.16/0956/P3O,,44,Notification for prior approval for a proposed change of use of existing office building into 44 individual residential units,,,,,,,,18/12/2017,18/12/2017,CAINSCROSS
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR039,,"Land adjacent to Kantara  , Dudbridge Road","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2387072,51.74246&level=17",OSGB36,383605,204895,0.11,not owned by a public authority,,permissioned,full planning permission,01/09/2015,http://www.stroud.gov.uk/pl.asp?S.12/1729/FUL,,6,Erection of 3no pairs of semi-detached dwellings,,,,,,,,18/12/2017,18/12/2017,CAINSCROSS
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR040,,"18 Woodmancote , Dursley","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.3506621,51.678855&level=17",OSGB36,375856,197860,0.22,not owned by a public authority,yes,permissioned,outline planning permission,21/09/2016,http://www.stroud.gov.uk/pl.asp?S.16/1232/OUT,,10,"Demolition of existing commercial buildings and erection of ten detached, semi-detached and terraced dwellings",,,,,,,,18/12/2017,18/12/2017,DURSLEY
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR041,,"Land at the Starting Gate , Elmgrove Road East  Hardwicke","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.28377,51.814927&level=17",OSGB36,380541,212961,0.1,not owned by a public authority,yes,permissioned,full planning permission,22/09/2017,http://www.stroud.gov.uk/pl.asp?S.17/1121/FUL,,10,Erection of residential apartment block comprising 10no flats,,,,,,,,18/12/2017,18/12/2017,HARDWICKE
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR042,,"Purton Cottage , Bristol Road  Hardwicke","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2841418,51.81177&level=17",OSGB36,380503,212640,0.38,not owned by a public authority,,permissioned,full planning permission,21/07/2015,http://www.stroud.gov.uk/pl.asp?S.15/0937/FUL,,5,Erection of 4no detached dwellings and 1no live/work unit including office space,45sqm B1 Office space,,,,,,,18/12/2017,18/12/2017,HARDWICKE
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR043,,"Land at The Priory  , Priory Fields  Horsley","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2362379,51.680031&level=17",OSGB36,383766,197948,0.03,not owned by a public authority,,permissioned,full planning permission,13/11/2008,http://www.stroud.gov.uk/pl.asp?S.11/2255/VAR,,5,Erection of 5 dwellings,,,,,,,,18/12/2017,18/12/2017,HORSLEY
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR044,,"Stanley Mills , Ryeford  Kings Stanley  ","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2729149,51.737396&level=17",OSGB36,381180,204267,4.85,not owned by a public authority,yes,permissioned,full planning permission,19/12/2011,http://www.stroud.gov.uk/pl.asp?S.10/0880/FUL,,146,"Conversion of Grade I, Grade II and curtilage listed buildings to provide 65no. residential dwellings (comprising a mixture of houses and apartments)and 81 new build dwellings","Conversion of Grade I, Grade II and curtilage listed buildings to include 1233 sq.m. (GIA) of flexible commercial/ community floorspace (use A1/A2/A3/B1/D1) within the ground floor of the Main Building (building number 1) and Boiler House (building number 8).
Erection of a new factory (B2) building of 2376 sq.m.
",,,,,,,18/12/2017,18/12/2017,KINGS STANLEY
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR045,,"Wimberley Mill  , Knapp Lane  Brimscombe","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.1783145,51.717258&level=17",OSGB36,387435,202014,4.61,not owned by a public authority,yes,permissioned,outline planning permission,17/08/2016,http://www.stroud.gov.uk/pl.asp?S.13/2668/OUT,,104,"Demolition and clearance of the existing buildings and hardstanding, residential development of up to 104 dwellings",,,,,,,,18/12/2017,18/12/2017,MINCHINHAMPTON
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR046,,"Dark Mills  , Toadsmoor Lane  Brimscombe","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.1828285,51.716702&level=17",OSGB36,387434,202031,1.48,not owned by a public authority,yes,permissioned,reserved matters approval,11/10/2005,http://www.stroud.gov.uk/pl.asp?S.05/1393/REM,,36,Erection of 36 houses and flats for people of 50 years of age and over,,,,,,,,18/12/2017,18/12/2017,MINCHINHAMPTON
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR047,,"Land east of 16 Lawnside  , Forest Green Nailsworth","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2305385,51.696919&level=17",OSGB36,384164,199837,0.21,owned by a public authority,yes,permissioned,full planning permission,27/10/2016,https://www.stroud.gov.uk/environment/planning-and-building-control/planning-strategy/neighbourhood-planning/other-neighbourhood-planning-tools/community-right-to-build-orders/emerging-community-right-to-build-orders-in-the-district/nailsworth,,10,10no affordable one and two bedroomed homes,,,,,,,,18/12/2017,18/12/2017,NAILSWORTH
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR048,,"Locks Mill , Brewery Lane Nailsworth","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2209677,51.692513&level=17",OSGB36,384823.1071,199329.9776,1.18,not owned by a public authority,yes,permissioned,full planning permission,12/07/1994,http://www.stroud.gov.uk/pl.asp?S.14/2347/FUL,,11,"Part implemented planning permission. 11 units outstanding including change of use of mill building to 2nodwellings, demolition of ancillary buildings and erection of 2no dwellings, 7no new build dwellings.",,,,,,,,18/12/2017,18/12/2017,NAILSWORTH
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR049,,"Kites'Nest  , 106 Bath Road  Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2330675,51.73571&level=17",OSGB36,384008,204111,0.11,not owned by a public authority,yes,permissioned,full planning permission,17/08/2017,http://www.stroud.gov.uk/pl.asp?S.17/0503/FUL,,10,Redevelopment of public house site for 10no dwelling units comprising 7no new dwellings and conversion of former public house into 3no flats ,,,,,,,,18/12/2017,18/12/2017,RODBOROUGH
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR050,,"Police Station  , Dudbridge Hill  Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2318677,51.73895&level=17",OSGB36,384087,204491,0.17,not owned by a public authority,yes,permissioned,full planning permission,29/11/2011,http://www.stroud.gov.uk/pl.asp?S.11/0846/FUL,,13,"Erection of 13 dwellings comprising 6no three-bed and 7no two-bed units in a mix of terraces, back to back flats and a flat over garage",,,,,,,,18/12/2017,18/12/2017,RODBOROUGH
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR051,,"Land at Dudbridge Hill  , Dudbridge Stroud  ","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2373048,51.740171&level=17",OSGB36,383698,204591,1.43,not owned by a public authority,yes,permissioned,reserved matters approval,25/04/2017,http://www.stroud.gov.uk/pl.asp?S.16/2055/REM,,39,"39 no dwellings comprising 12no affordable and 27no market two, three and four-bed units.",,,,,,,,18/12/2017,18/12/2017,RODBOROUGH
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR052,,"Land Adjoining Stroud Rugby Club  , Dudbridge Hill  Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2315222,51.739364&level=17",OSGB36,384097,204536,0.51,not owned by a public authority,yes,permissioned,full planning permission,22/12/2015,http://www.stroud.gov.uk/pl.asp?S.14/1856/FUL,,14,14no dwellings comprising 3no four-bed and 6no three-bed houses and a block of flats containing 1no three-bed and 4no two-bed flats.,,,,,,,,18/12/2017,18/12/2017,RODBOROUGH
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR053,,"Land at Station Road  Bristol Road  , Stonehouse  ","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2921142,51.748112&level=17",OSGB36,379927,205529,1.05,not owned by a public authority,yes,permissioned,reserved matters approval,24/11/2016,http://www.stroud.gov.uk/pl.asp?S.16/0922/REM,,49,Residential development for 49 units comprising 27no houses and 22no flats,,,,,,,,18/12/2017,18/12/2017,STONEHOUSE
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR054,,"Thompson First Ltd  Butterow Hill  Bowbridge  Stroud, ","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2065717,51.736686&level=17",OSGB36,385800,204284,0.49,not owned by a public authority,,permissioned,reserved matters approval,27/11/2008,http://www.stroud.gov.uk/pl.asp?S.08/1606/REM,,24,"Erection of 24no detached, semi-detached and terraced dwellings",,,,,,,,18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR055,,"106 Stratford Road  , Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.236816,51.749154&level=17",OSGB36,383734,205629,0.12,not owned by a public authority,yes,permissioned,reserved matters approval,05/04/2016,http://www.stroud.gov.uk/pl.asp?S.13/1833/FUL,,11,7no two-bed houses and 4no one-bed flats,,,,,,,,18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR056,,"Land at Bath Place  , Cheapside Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2201042,51.74407&level=17",OSGB36,384898,205067,0.36,mixed ownership,yes,permissioned,full planning permission,17/02/2017,http://www.stroud.gov.uk/pl.asp?S.15/1589/FUL,,37,37no dwellings comprising 33no one and two-bedroom flats and 4no three-bed houses,114sqm retail units A1 Use,,,,,,,18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR057,,"118 Cainscross Road  , Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2323771,51.74509&level=17",OSGB36,384053,205183,0.07,not owned by a public authority,,permissioned,full planning permission,30/03/2017,http://www.stroud.gov.uk/pl.asp?S.17/0220/FUL,,9,Conversion of 2.5 storey listed building into 9no flats,,,,,,,,18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR058,,"20 High Street  , Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2160975,51.745166&level=17",OSGB36,385180,205186,0.01,not owned by a public authority,,permissioned,full planning permission,10/11/2016,http://www.stroud.gov.uk/pl.asp?S.16/0800/FUL,,5,"Change of use of first, second and third floor accommodation from office to form 5no residential units",,,,,,,,18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR059,,"Units 1 To 9  , 1 London Road Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2167885,51.744292&level=17",OSGB36,385127,205087,0.03,not owned by a public authority,,permissioned,full planning permission,16/12/2014,http://www.stroud.gov.uk/pl.asp?S.14/1368/FUL,,5,Second floor extension to form 5no one-bed flats,,,,,,,,18/12/2017,18/12/2017,STROUD
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR060,,"Lewiston Mill  , Toadsmoor Road  Brimscombe","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.1816931,51.718718&level=17",OSGB36,387565,202255,0.76,not owned by a public authority,yes,permissioned,full planning permission,30/10/2015,http://www.stroud.gov.uk/pl.asp?S.15/1385/FUL|http://www.stroud.gov.uk/pl.asp?S.15/2365/FUL|http://www.stroud.gov.uk/pl.asp?S.15/1578/FUL,,29,Part demolition and part conversion of existing building including 21no apartments and 10no townhouses,2no live work units,,29,31,,,,18/12/2017,18/12/2017,BRIMSCOMBE & THRUPP
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR061,,"STB Engineering Ltd  , Toadsmoor Road  Brimscombe  Stroud  ","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.1809915,51.720652&level=17",OSGB36,387576,202437,0.37,not owned by a public authority,yes,permissioned,full planning permission,30/06/2017,http://www.stroud.gov.uk/pl.asp?S.13/2377/FUL,,11,"Demolition of existing buildings, erection of 11no terraced and semi-detached dwellings and an office block
",340sqm B1 Office Use,,,,,,,18/12/2017,18/12/2017,BRIMSCOMBE & THRUPP
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR062,,"Gussage Mills , Toadsmoor Road  Brimscombe  Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.1803724,51.721489&level=17",OSGB36,387620,202536,0.24,not owned by a public authority,,permissioned,full planning permission,13/10/2009,http://www.stroud.gov.uk/pl.asp?S.09/0732/FUL,,9,Partial change of use and replacement of existing buildings to create nine dwellings including home office/ workshop facilities,323sqm home office/ workshop facilities,,,,,,,18/12/2017,18/12/2017,BRIMSCOMBE & THRUPP
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR063,,"Woodchester Mill , Selsley Road Woodchester","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2290576,51.724533&level=17",OSGB36,384275,202835,0.63,not owned by a public authority,yes,permissioned,full planning permission,22/07/2016,http://www.stroud.gov.uk/pl.asp?S.15/1237/FUL|http://www.stroud.gov.uk/pl.asp?S.15/1236/FUL,,5," Demolition of redundant industrial buildings, erection of 6 no dwellings and conversion of stone building to 4no dwellings",,,5,10,,,,18/12/2017,18/12/2017,WOODCHESTER
http://opendatacommunities.org/id/district-council/stroud,Stroud District Council,BR064,,"5  6  7 And 8 Southbank  , Woodchester  Stroud","https://stroud.maps.arcgis.com/apps/webappviewer/index.html?id=8d2cd204b79c4852b8d4365e24d16013&center=-2.2335019,51.721674&level=17",OSGB36,383960,202592,0.12,owned by a public authority,yes,permissioned,full planning permission,13/02/2014,http://www.stroud.gov.uk/pl.asp?S.13/2391/FUL,,5,2no semi-detachedhouses and a terrace of 3no houses,,,,,,,,18/12/2017,18/12/2017,WOODCHESTER
