Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Number
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,DERBY FT EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,1105271,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,DONCASTER & BASSETLAW FT - SCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,173245,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,EMSCG RESERVES,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,-8337,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,GREAT ORMOND STREET,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,3366,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,GUY'S AND ST THOMAS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,24686,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,HAEMOPHILA DATABASE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,488,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,HAMMERSMITH HOSPS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,3657,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,HOSPITAL TRAVEL,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,665,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,HULL + EAST YORKSHIRE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,3624,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,INVESTMENTS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,47146,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,KING'S HEALTHCARE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,4747,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,MOORFIELDS EYE HOSPITAL,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,5650,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,NATIONAL DEFINITION SETS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,319,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,NEONATAL NETWORK,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,10513,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,NOTT FT EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,1730028,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,NW LONDON TRENTCOM,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,652,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,OXFORD RADCLIFFE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,11966,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,PAPWORTH,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,7340,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,PICU NETWORK,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,198,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,PPH,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,34432,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,ROYAL BROMPTON,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,11095,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,ROYAL NATIONAL ORTHOPAEDI,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,6747,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,ROYAL ORTHOPAEDIC,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,15758,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SCARBOROUGH + NORTH EAST,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,5346,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SCH CAMHS TIER 4,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,65909,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SCH EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,242962,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SCH EXTRA CONTRACT (BMT'S & BLOODS),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,25285,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SHERWOOD FT EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,89860,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SOUTH BIRM MENTAL HEALTH,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,429,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SOUTH LONDON + MAUDSLEY,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,15,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SPEC COM - AICDS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,133307,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SPECIALIST FERTILITY,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,39811,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,SPECIALIST RUNNING COSTS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,36076,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,ST GEORGE HC,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,1998,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,STH EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,2166052,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,UNITED LINCS EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,927,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,UNIV OF LEIC EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,261782,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,UNIVERSITY COLLEGE LONDON,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,21682,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,WALTON CENTRE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,6087,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,LOW SECURE EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570115,325853,17322798
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,M.H. PERINATAL COUNTY EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570133,95934.68,17322806
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,MH Eating Disorder - County - North Derbyshire CCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570134,25672.36,17322807
Department of Health,Derbyshire County PCT,01/11/2012,Hcare Srv Rec NHS Trust,NCAS,LEICESTERSHIRE PARTNERSHIP NHS TRUST,11498941,26251.68,16506
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LIME GROVE MEDICAL CENTRE,CONTRACT PAYMENT,66149,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LIMES MEDICAL CENTRE,CONTRACT PAYMENT,72875.16,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,IAPT - LINCOLNSHIRE PARTNERSHIP TRUST,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,11570138,50376.94,2000010192
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,Lincolnshire Partnership FT (IAPT) - North CCG,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,11570138,109957.06,2000010192
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LITTLEWICK MEDICAL PRACTICE,CONTRACT PAYMENT,28816.28,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LITTLEWICK MEDICAL PRACTICE,CONTRACT PAYMENT,255862.08,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LIVINGS & PARTNERS,CONTRACT PAYMENT,72422.91,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LOCKHART ISHERWOOD & PTNERS,CONTRACT PAYMENT,37367.08,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,LOCKHART ISHERWOOD & PTNERS,CONTRACT PAYMENT,67869.29,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,OPTHALMIC SERVICES,LONG EATON EYECARE LTD,CONTRACT PAYMENT,273448.08,
Department of Health,Derbyshire County PCT,22/11/2012,Rent,PARK HILL COSTS,M LAKE P DOWSON BWSIPP LTD,11547731,39874.59,23079
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MACLEOD MACLEOD & PARTNERS,CONTRACT PAYMENT,53844.32,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MACLEOD MACLEOD & PARTNERS,CONTRACT PAYMENT,132804.97,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MANN AND PTRS,CONTRACT PAYMENT,88496.97,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MARKUS & PARTNERS,CONTRACT PAYMENT,54020.85,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MCMURRAY & LLOYD,CONTRACT PAYMENT,43236.76,
Department of Health,Derbyshire County PCT,01/11/2012,Commissioning Other Contr,CAB,MID DERBYSHIRE CITIZEN ADVICE BUREAU,11493440,71088,CAB201213Q3MIDDERBYS
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MILLER PURNELL & BAILEY,CONTRACT PAYMENT,30954.37,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MOIR MEDICAL CENTRE,CONTRACT PAYMENT,122584.3,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,MOSS VALLEY MEDICAL,CONTRACT PAYMENT,70165.23,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,NATT & MILLER,CONTRACT PAYMENT,46494.4,
Department of Health,Derbyshire County PCT,15/11/2012,Commissioning M Health,DORA,NEDCASH,11570089,29584.44,00001WC
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,NICHOLSON & PARTNERS,CONTRACT PAYMENT,72832.22,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,NOBLE WALKER FOSKETT & PTS,CONTRACT PAYMENT,69396.89,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,NCAS,NORFOLK & NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11547680,29693.55,GF60007050
Department of Health,Derbyshire County PCT,05/11/2012,Commissioning Other Contr,CAB,NORTH EAST DERBYSHIRE CITIZENS ADVICE BUREAU,11493444,49832,CB201213Q3NE
Department of Health,Derbyshire County PCT,15/11/2012,ContinCare Provn Uti NC,CARE,NOT PUBLISHED - DATA PROTECTION,11579269,106942.31,101886-14-NOV-2012
Department of Health,Derbyshire County PCT,01/11/2012,Healthcare Srv Rec PCTs,NOTTM ISTC,NOTTINGHAM CITY PCT,11516784,389811,12722159
Department of Health,Derbyshire County PCT,01/11/2012,Hcare Srv Rec NHS Trust,NUH COSTS OUTSIDE OF CONTRACT,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,11456311,88363.84,2000040562
Department of Health,Derbyshire County PCT,01/11/2012,Hcare Srv Rec NHS Trust,NOTTM UNIV HOSPS,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,11487382,249972,2000040678
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,NOTTM UNIV HOSPS,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,11570114,3003637,2000041024
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,OOH'S,NOTTINGHAMSHIRE COUNTY TEACHING PCT,11557994,34011.55,13192353
Department of Health,Derbyshire County PCT,01/11/2012,Hcare Srv Rec NHS Trust,Bassetlaw Comm Services-North Derbyshire CCG,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,11487372,61055.5,1000023220
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,Notts Healthcare Trust - Erewash CCG,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,11557932,69411.61,1000023422
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,Notts Healthcare Trust - Hardwick CCG,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,11557932,50493.21,1000023422
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,Notts Healthcare Trust - North Derbyshire CCG,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,11557932,7680.87,1000023422
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,Notts Healthcare Trust Southern Derbyshire CCG,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,11557932,61598.32,1000023422
Department of Health,Derbyshire County PCT,15/11/2012,Commissioning Gen/Acute,Nuffield Derby,NUFFIELD HEALTH,11498955,99031.83,6805112012
Department of Health,Derbyshire County PCT,01/11/2012,Commissioning Gen/Acute,Nuffield Derby,NUFFIELD HEALTH,11516828,35573.51,REC30092012
Department of Health,Derbyshire County PCT,08/11/2012,Commissioning Gen/Acute,OLDER PEOPLE LEVEL 3,ONE-OFF SUPPLIER,11542875,45553.24,101862-02-NOV-2012
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,PALMER & GARDNER,CONTRACT PAYMENT,53434.77,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,PARK & PARTNERS,CONTRACT PAYMENT,36171.59,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,PARK VIEW CENTRE LIMITED,CONTRACT PAYMENT,39367.23,
Department of Health,Derbyshire County PCT,19/11/2012,Commissioning Gen/Acute,PTS-NORTH DERBYSHIRE CCG,PATIENT FIRST (SHROPSHIRE) LTD,11579208,363207.37,14158
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,Pennine Mental Health FT - North Derbyshire CCG,PENNINE CARE NHS FOUNDATION TRUST,11557961,77617,48002084
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,PICKWORTH & PARTNERS,CONTRACT PAYMENT,42296.85,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,PICKWORTH & PARTNERS,CONTRACT PAYMENT,77561.39,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,PRICE & PARTNERS,CONTRACT PAYMENT,76309.24,
Department of Health,Derbyshire County PCT,26/11/2012,Commissioning Gen/Acute,PATIENT CHOICE-RAMSEY-NORTH DERNYSHIRE CCG,RAMSAY HEALTH CARE UK,11552809,79216.63,DERBYSHIRECOUNTYSACNOVEMBER82
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,RAPOPORT & PARTNERS,CONTRACT PAYMENT,73977.53,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,RIDDELL & PARTNERS,CONTRACT PAYMENT,117695.35,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,ROTHERHAM DISTRICT HOSPIT,ROTHERHAM NHS FOUNDATION TRUST,11531317,63950.2,6031376
Department of Health,Derbyshire County PCT,01/11/2012,Hlthcre-Foundation Trsts,NCAS,ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,11526548,31746.8,34219
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SALFORD ROYAL,SALFORD ROYAL NHS FOUNDATION TRUST,11547765,81689,1000134987
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SCOTT & PARTNERS,CONTRACT PAYMENT,154139.06,
Department of Health,Derbyshire County PCT,01/11/2012,Hlthcre-Foundation Trsts,SHEFFIELD CHILDRENS,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,11456251,34354.89,2100145578
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SHEFFIELD CHILDRENS,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,11547732,342511.54,2100146699
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SHEFFIELD CHILDRENS,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,11570137,-91711,2200009722
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BALANCE SHEET,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,11578833,2220375,PPNOVSLA
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SHERWOOD FOREST HOSPITALS,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11547677,1680539,115654
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SHERWOOD FOREST HOSPITALS,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11570069,240229,115665
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SHIRES HEALTH CARE,CONTRACT PAYMENT,166571.59,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SHORT PEARSON COLLIER & PTRS,CONTRACT PAYMENT,85195.96,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SINGH & KELMAN,CONTRACT PAYMENT,43725.69,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SKIDMORE & PARTNERS,CONTRACT PAYMENT,106192.58,
Department of Health,Derbyshire County PCT,19/11/2012,Private Sector Rental Rev,LIFT - Swadlincote,SOUTHERN DERBYSHIRE LIFT PROJECT CO (NO 1) LTD,11579215,62588.15,D2103
Department of Health,Derbyshire County PCT,19/11/2012,Private Sector Rental Rev,LIFT - Long Eaton,SOUTHERN DERBYSHIRE LIFT PROJECT CO (NO 1) LTD,11579216,160287.98,D2102
Department of Health,Derbyshire County PCT,19/11/2012,Private Sector Rental Rev,LIFT - Alfreton,SOUTHERN DERBYSHIRE LIFT PROJECT CO (NO 1) LTD,11579218,84449.29,D2097
Department of Health,Derbyshire County PCT,19/11/2012,Private Sector Rental Rev,LIFT - Ashbourne,SOUTHERN DERBYSHIRE LIFT PROJECT CO (NO 2) LTD,11579209,207436.27,D1073
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,OPTHALMIC SERVICES,SPECSAVERS - CHESTERFIELD,CONTRACT PAYMENT,50156.82,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,OPTHALMIC SERVICES,SPECSAVERS - ILKESTON,CONTRACT PAYMENT,45670.08,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,OPTHALMIC SERVICES,SPECSAVERS - NORMANTON,CONTRACT PAYMENT,27311.34,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SPENCER & PARTNERS,CONTRACT PAYMENT,74365.45,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,SPENCER & PARTNERS,CONTRACT PAYMENT,82658.14,
Department of Health,Derbyshire County PCT,29/11/2012,Commissioning M Health,MH LOW SECURE-CITY,ST ANDREWS HEALTHCARE,11570105,29884.2,50072265
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,STAREY & PARTNERS,CONTRACT PAYMENT,89575.28,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BALANCE SHEET,STOCKPORT NHS FOUNDATION TRUST,11578837,1758248,PPNOVPREPAYMENTSLA
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,STOCKPORT,STOCKPORT NHS FOUNDATION TRUST,11574984,124182.88,40036737
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,NCAS,SURREY&SUSSEX HEALTHCARE NHS TRUST,11547690,33554.01,11929779
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,TAYLOR & PARTNERS,CONTRACT PAYMENT,70188.1,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THE ARTHUR MEDICAL CENTRE,CONTRACT PAYMENT,25287.21,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THE ARTHUR MEDICAL CENTRE,CONTRACT PAYMENT,61131.96,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THE EVELYN MEDICAL CENTRE,CONTRACT PAYMENT,50429.58,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THE EVELYN MEDICAL CENTRE,CONTRACT PAYMENT,67885.98,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THE VILLAGE SURGERY,CONTRACT PAYMENT,83342.29,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THE WHITTINGTON MEDICAL CENTRE,CONTRACT PAYMENT,35663.59,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THESURGERY AT WHEATBRIDGE,CONTRACT PAYMENT,123572.65,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THORNBROOK SURGERY,CONTRACT PAYMENT,94940.5,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THURSTAN & PTS,CONTRACT PAYMENT,36578.14,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,THURSTAN & PTS,CONTRACT PAYMENT,269847.78,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,TURNER & BULL,CONTRACT PAYMENT,34973.55,
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,UNITED LINCOLN HOSPITALS,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,11547678,27880.52,155487
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BALANCE SHEET,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,11578834,98531,PPNOV12PREPAYMENTSLA
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,UNIV HOSP NORTH STAFFS,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,11570154,64554,440303
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SOUTH MANCHESTER,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,11425088,-72688,211966
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,SOUTH MANCHESTER,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,11558007,204166.11,297335
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,UNIVERSITY LEICESTER HOS,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,11557992,91187,L0095770
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,VICKERS & PARTNERS,CONTRACT PAYMENT,78556.31,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,OPTHALMIC SERVICES,VISION PLUS,CONTRACT PAYMENT,84183.11,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,WELBECK DRIVE SURGERY,CONTRACT PAYMENT,30546.93,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,WHITEMOOR MEDICAL CENTRE,CONTRACT PAYMENT,169335.92,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,WILLIAMS MCCARTHY & PARTNERS,CONTRACT PAYMENT,97489.83,
