Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Childcare Provision,Fresh Start Independence Project,Childrens & Educational Services,Care Payments,04/08/2016,"4,600.00"
Childcare Provision,Fresh Start Independence Project,Childrens & Educational Services,Care Payments,31/08/2016,"12,800.00"
Childcare Provision,Fresh Start Independence Project,Childrens & Educational Services,Care Payments,31/08/2016,"4,600.00"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,01/08/2016,"-3,862.56"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,01/08/2016,"11,804.00"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,22/08/2016,"-1,134.00"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,22/08/2016,"4,690.29"
Social Care Services,Fullwood Care,Childrens & Educational Services,Care Payments,04/08/2016,"8,400.00"
Social Care Services,Fullwood Care,Childrens & Educational Services,Care Payments,31/08/2016,"8,400.00"
Furniture and Furnishings,FURNITURE STATION (Furniture),Housing (General Fund) Services,Furniture and Equipment,16/08/2016,"1,270.00"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,16/08/2016,"65,081.58"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,22/08/2016,"65,081.58"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,16/08/2016,"-65,081.58"
Design Services,FutureGov Ltd,Central Support Costs,Information and Communications Technology,26/08/2016,"4,999.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Furniture and Equipment,23/08/2016,"2,970.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Furniture and Equipment,23/08/2016,"3,675.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Furniture and Equipment,01/08/2016,"2,750.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Publicity and Promotion,15/08/2016,"3,675.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Furniture and Equipment,15/08/2016,"2,970.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Publicity and Promotion,15/08/2016,"-3,675.00"
Digital / Media Services,Fuzzy Duck Creative Ltd,Capital Expenditure,Furniture and Equipment,15/08/2016,"-2,970.00"
Furniture and Furnishings,G & S SMIRTHWAITE LTD,Childrens & Educational Services,Furniture and Equipment,18/08/2016,490
Furniture and Furnishings,G & S SMIRTHWAITE LTD,Childrens & Educational Services,Furniture and Equipment,18/08/2016,115
Furniture and Furnishings,G & S SMIRTHWAITE LTD,Childrens & Educational Services,Furniture and Equipment,18/08/2016,77
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,15/08/2016,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,15/08/2016,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,24/08/2016,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,31/08/2016,"2,300.00"
Social Care Services,GADDUM CENTRE,Adult Social Care,Professional Fees,02/08/2016,"1,000.00"
Insurance Services,Gallagher Bassett (Imprest),Central Support Costs,Insurance,01/08/2016,"30,000.00"
Insurance Services,Gallagher Bassett (Imprest),Central Support Costs,Insurance,22/08/2016,"50,000.00"
Insurance Services,Gallagher Bassett (Imprest),Central Support Costs,Insurance,22/08/2016,"30,000.00"
Insurance Services,Gallagher Bassett (Imprest),Central Support Costs,Insurance,18/08/2016,"30,000.00"
Surveyor,Gardiner & Theobald LLP,Capital Expenditure,Professional Fees,01/08/2016,"1,395.00"
Transport and Travel,GARY BEARDSELL - Taxis,Childrens & Educational Services,Leasing /Transport Hire,16/08/2016,"1,534.40"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,02/08/2016,"7,193.47"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Supplies and services,17/08/2016,"1,981.25"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Supplies and services,16/08/2016,"1,981.25"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,08/08/2016,"3,602.44"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,03/08/2016,"131,001.53"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,02/08/2016,"5,024.06"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,02/08/2016,"3,127.62"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,09/08/2016,"6,875.39"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Professional Fees,02/08/2016,"16,706.90"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,03/08/2016,"67,519.72"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,16/08/2016,"1,500.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,16/08/2016,"2,101.88"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,08/08/2016,"-3,602.44"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,08/08/2016,"3,602.44"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,12/08/2016,"62,898.32"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,18/08/2016,"3,061.88"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,12/08/2016,"74,731.17"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Supplies and services,16/08/2016,"-1,981.25"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Grounds Maintenance,25/08/2016,927.3
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Grounds Maintenance,25/08/2016,288.8
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Grounds Maintenance,25/08/2016,180
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Grounds Maintenance,25/08/2016,"2,554.00"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Grounds Maintenance,25/08/2016,"1,737.90"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Grounds Maintenance,25/08/2016,544
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,31/08/2016,"47,546.71"
Health Advice / Awareness,GEORGE HOUSE TRUST,Public Health,Service Contract Payments,02/08/2016,"1,185.75"
Health Advice / Awareness,GEORGE HOUSE TRUST,Public Health,Service Contract Payments,02/08/2016,"1,185.75"
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,03/08/2016,593.4
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,03/08/2016,641
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,03/08/2016,"1,557.40"
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,03/08/2016,934.2
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,22/08/2016,518.4
Professional / Consultancy Services,Gill Frame,Adult Social Care,Fees and Charges,15/08/2016,"1,000.00"
Professional / Consultancy Services,Gill Frame,Childrens & Educational Services,Fees and Charges,26/08/2016,"1,000.00"
Professional / Consultancy Services,Gill Frame,Adult Social Care,Fees and Charges,15/08/2016,"1,000.00"
Other Public Sector Organisation,GMP (Precept Payments Only),"Agency, Third Party and System",Third party payments - Levies,19/08/2016,"1,188,887.00"
Finance / Accountancy Services,Grant Thornton UK LLP,Corporate & Democratic Core,Professional Fees,11/08/2016,"31,532.00"
Manufacturer,GREAT BRITISH LIGHTING,Capital Expenditure,Furniture and Equipment,18/08/2016,991.9
Professional / Trade Body,Greater Manchester Chamber of Comme,Planning Services,Publicity and Promotion,23/08/2016,"4,000.00"
Other Public Sector Organisation,Greater Manchester Combined Authori,Highways & Transport Services,Third party payments - Levies,11/08/2016,"1,986,542.90"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,24/08/2016,"2,526.89"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,30/08/2016,"22,645.92"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,18/08/2016,"28,325.86"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Capital Expenditure - Works,25/08/2016,500
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,24/08/2016,"-2,526.89"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,24/08/2016,"2,526.89"
Other Public Sector Organisation,GREATER MANCHESTER FIRE & CIVIL DEF,"Agency, Third Party and System",Third party payments - Levies,19/08/2016,"444,269.00"
Other Public Sector Organisation,GREATER MANCHESTER FIRE & CIVIL DEF,"Agency, Third Party and System",Third party payments - Levies,19/08/2016,"79,636.00"
Local Authority,Greater Manchester Pension Fund,Central Support Costs,Other payments ,31/08/2016,"2,006,510.38"
Local Authority,Greater Manchester Pension Fund,Non Distributed Costs,Other payments ,31/08/2016,"66,000.00"
Courts / Justice / Police,GREATER MANCHESTER POLICE,Childrens & Educational Services,Fees and Charges,10/08/2016,"1,158.80"
Grounds Maintenance,Greater Manchester TreeStation Ltd,Cultural & Related Services,Supplies and services,22/08/2016,530
Other Public Sector Organisation,GREATER MANCHESTER WASTE DISPOSAL A,Environmental & Regulatory Services,Third party payments - Levies,19/08/2016,"1,557,800.00"
Construction / Building Services,GROUNDWORK & LEISURE SERVICES LTD,Cultural & Related Services,Grounds Maintenance,26/08/2016,"7,177.50"
Construction / Building Services,GROUNDWORK & LEISURE SERVICES LTD,Cultural & Related Services,Grounds Maintenance,03/08/2016,"8,168.00"
Construction / Building Services,GROUNDWORK LANDSCAPES LTD,Cultural & Related Services,Grounds Maintenance,24/08/2016,"1,685.25"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,"-1,553.80"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,-615.72
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,-757.2
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,"2,028.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,"5,272.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,854
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,01/08/2016,"2,918.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"-1,085.14"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,-552
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,-138
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,-447.43
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"2,601.14"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"10,038.29"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"5,174.29"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"1,060.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"4,200.85"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,22/08/2016,"2,200.00"
Design Services,GT Create Limited,Planning Services,Office Expenses,03/08/2016,"2,400.00"
Construction / Building Services,GTM ELECTRICAL SERVICES,Capital Expenditure,Capital Expenditure - Works,09/08/2016,"17,638.00"
Construction / Building Services,GTM ELECTRICAL SERVICES,Capital Expenditure,Capital Expenditure - Works,09/08/2016,"16,475.00"
Digital / Media Services,GV MULTI-MEDIA,Capital Expenditure,Furniture and Equipment,23/08/2016,"1,604.00"
Digital / Media Services,GV MULTI-MEDIA,Capital Expenditure,Furniture and Equipment,23/08/2016,51
Surveyor,GVA GRIMLEY LLP,Capital Expenditure,Supplies and services,24/08/2016,"4,390.50"
Equipment Supplies,H COOPER GLASS ENGRAVERS,Childrens & Educational Services,Furniture and Equipment,30/08/2016,"1,350.00"
Office Equipment,H JENKINSON & CO LTD,Capital Expenditure,Furniture and Equipment,17/08/2016,"3,040.00"
Office Equipment,H JENKINSON & CO LTD,Capital Expenditure,Furniture and Equipment,22/08/2016,"8,033.20"
Theatre / Concerts,Halle Concerts Society,Childrens & Educational Services,Publicity and Promotion,01/08/2016,"12,000.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,01/08/2016,"-5,812.16"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,01/08/2016,"8,120.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,01/08/2016,"3,680.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,22/08/2016,540
ICT Consultancy / Support,Hands Free Computing,Childrens & Educational Services,Fees and Charges,03/08/2016,"1,120.00"
ICT Consultancy / Support,Hands Free Computing,Childrens & Educational Services,Fees and Charges,11/08/2016,"1,120.00"
ICT Consultancy / Support,Hands Free Computing,Childrens & Educational Services,Fees and Charges,04/08/2016,800
Childcare Provision,HAPPY DAY NURSERY,Childrens & Educational Services,Expenses and Allowances,03/08/2016,672.7
Childcare Provision,HAPPY DAY NURSERY,Childrens & Educational Services,Care Payments,03/08/2016,829.22
Childcare Provision,HAPPY DAY NURSERY,Childrens & Educational Services,Care Payments,03/08/2016,829.22
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,03/08/2016,95.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,03/08/2016,656.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,03/08/2016,95.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,03/08/2016,652.8
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,17/08/2016,95.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,17/08/2016,639.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,17/08/2016,95.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,17/08/2016,666.4
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,17/08/2016,956.16
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,31/08/2016,95.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,31/08/2016,632.4
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,31/08/2016,95.2
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,31/08/2016,673.2
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-1,770.28"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-9,163.40"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-3,155.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-1,530.32"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"3,992.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"31,648.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"12,544.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"9,060.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"2,212.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-4,154.76"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-1,549.28"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-2,949.52"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"-1,923.60"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,-941.12
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"12,272.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"3,536.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"1,888.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"5,376.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,896
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"12,548.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"3,784.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"1,864.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,01/08/2016,"3,584.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,-485.71
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,-671.43
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,-364.28
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,"2,987.14"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,"1,932.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,"6,858.57"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,"3,664.72"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,"2,048.14"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,828.14
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,-267.14
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,22/08/2016,"2,569.43"
Social Care Services,Harrogate Skills 4 Living Centre Lt,Adult Social Care,Care Payments,22/08/2016,"4,912.14"
Social Care Services,Hayes Cottage Nursing Home Ltd,Adult Social Care,Care Payments,01/08/2016,-505.2
Social Care Services,Hayes Cottage Nursing Home Ltd,Adult Social Care,Care Payments,01/08/2016,"2,070.48"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,202.86
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,131.68
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,70.45
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,144.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,181.12
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,361.04
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,101.43
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,72.85
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,131.68
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,670.24
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,72.45
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,169.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,714.41
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,572.98
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,517.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,176.66
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,517.07
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,740.67
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,838.48
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,967.05
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,930.55
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,603.65
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,911.52
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,786.70"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,006.76"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,887.26
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Highways & Transport Services,Agency Staff,05/08/2016,"1,609.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,"1,023.07"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,060.49"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,250.00"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,490.35"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,05/08/2016,754.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,495.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,"1,034.16"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,887.26
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,802.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,507.70"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,878.6
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,309.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,006.76"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,716.1
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,05/08/2016,"1,340.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,876.05
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,12
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,18.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,05/08/2016,19.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,6.8
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,46.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,29.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,10
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,23.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,05/08/2016,27.5
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,05/08/2016,31
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,12/08/2016,946.48
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,950.01
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Planning Services,Agency Staff,12/08/2016,227.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,754.5
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,286.01"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,740.67
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,428.90"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,243.22"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,571.80"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,747.58"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,"1,266.68"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,12/08/2016,634.11
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,603.65
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,836.55
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,897.93
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,930.54
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,890.32
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,967.75
