Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FAIRBROTHERS LTD,2000018649,6932,FAIRBROTHERS LTD,WA2 9UY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FIRST HAMPSHIRE & DORSET LTD,2000018654,301259.38,FIRST PROVINCIAL,SO14 0JW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FIRST LEICESTER BUSES LTD,2000018655,273871.76,First Leicester,LE4 0DA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FIRST NORTHAMPTON LTD,2000018656,65791.39,First Northampton,LE4 0DA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FRANK POPPLETON & CO,2000018658,4204.75,FRANK POPPLETON & CO,WF8 4PJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FROME MINIBUSES LTD,2000018659,14931.24,FROME MINIBUSES LTD,BA11 4RP
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,G & J HOLMES (COACHES) LTD,2000018660,15371.73,G & J HOLMES COACHES LTD,S45 9LY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,GRAYSCROFT BUS SERVICE LTD,2000018663,6219.09,GRAYSCROFT BUS SERVICE LTD,LN12 2AF
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,THE GREEN TRANSPORT COMPANY LIMITED,2000018664,18055.32,THE GREEN TRANSPORT COMPANY LTD,B18 5ST
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HARROGATE DISTRICT COM TRANSPORT,2000018667,6228.84,HARROGATE DISTRICT COMMUNITY TRANSPORT LTD.,HG3 2BX
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,H HULLEY & SONS LTD,2000018668,27118.66,H HULLEY & SONS LTD T/A HULLEYS OF BASLOW,DE45 1RP
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HOLLAND COACHES,2000018669,935.22,HOLLANDS COACHES,DY11 7RA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HOWARD JAMES SNAITH - DIESEL,2000018670,35104.43,MR HOWARD JAMES SNAITH - DIESEL,NE19 1HB
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HUNTER BROTHERS (TANTOBIE) LTD,2000018671,1663.86,Hunter Bros (Tantobie) Ltd,DH9 9TG
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HUTCHINSONS,2000018672,6238.34,Hutchinsons,YO61 3EF
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HUYTON TRAVEL LTD,2000018673,99447.11,Huyton Travel Ltd,L36 6AN
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,J R T,2000018674,1159.69,JRT,HD2 2XU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JACKIES COACHES,2000018675,1582.15,JACKIES COACHES,GL2 7NG
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JIM STONES COACHES,2000018676,16091.84,Jim Stones Coaches,WA3 5LH
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JOHN HOBAN TRAVEL LTD,2000018677,966.04,JOHN HOBAN TRAVEL LTD,CA14 3TT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JOHNSONS HENLEY,2000018678,74297.41,Johnsons Coach & Bus Travel,B95 5QS
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JUDDS TRAVEL LTD,2000018680,3319.52,JUDDS TRAVEL LTD,PE13 4ED
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,K & H DOYLE COACHES LTD,2000018681,22067.09,K & H DOYLE (DIESEL),DE55 7RQ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,KB COACHES,2000018682,3224.02,K B Coaches,GL10 3AJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,KEN MILLER BUSES,2000018683,2439.65,KEN MILLER BUSES,WS14 0LP
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,KINGSLEY COACHES LTD,2000018684,17458.46,KINGSLEY COACHES LTD,DH3 2SA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,KONECTBUS LTD,2000018686,106780.75,KONECTBUS LTD,NR19 1SY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,LAINTON COACHES LTD,2000018687,1253.3,Lainton Coaches Ltd,M18 8EF
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,LEVEN VALLEY COACHES,2000018688,20824.3,Leven Valley Coaches,TS9 6PD
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,LITTLE TRANSPORT LTD,2000018690,10431.84,LITTLE TRANSPORT LTD,DE7 4AZ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,LONGRIDGE COACHES,2000018691,3013.97,LONGRIDGE COACHES,PR3 3ZA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,LOWES COACHES,2000018692,1033.08,LOWES COACHES,NG15 6FW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,MACPHERSON COACHES LTD,2000018693,1344.07,MACPHERSON COACHES LTD,DE12 7PL
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,MARCHANTS COACHES,2000018694,10974.03,MARCHANT'S COACHES LTD,GL50 3LB
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,MARK BLAND TRAVEL LTD,2000018695,3414.81,MARK BLAND TRAVEL,PE9 4JN
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,MARSHALLS SUTTON ON TRENT,2000018696,27125.74,Marshalls of Sutton on Trent Ltd,NG23 6PF
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,MERVYNS COACHES,2000018697,643.76,Mervyns Coaches,SO21 3BW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,MULLANY'S COACHES (UK) LTD,2000018700,17998.91,MULLANY'S COACHES (UK) LIMITED,WD25 0GB
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,N B M HIRE LTD,2000018701,2941.09,NBM HIRE LTD,CA11 7JW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,NSL SERVICES LTD,2000018702,12544.01,NSL SERVICES LTD,W5 1YY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,NIBSBUSES LTD,2000018703,28216.51,Nibsbuses Ltd,SS11 8BZ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,PC COACHES OF LINCOLN LTD,2000018705,36799.2,P C COACHES OF LINCOLN LTD,LN3 4NL
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,POWELLS BUS CO LTD,2000018706,28984.49,POWELLS BUS CO LTD,S66 8HN
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,R KIME & CO,2000018707,35055.65,R KIME & CO,LE4 9HR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RAMBLER COACHES LTD,2000018708,4598.5,RAMBLER COACHES LTD,TN37 7PZ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RAPID TRAVEL,2000018709,662.48,RAPID TRAVEL LTD,WN8 8LA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,REAYS COACHES LTD,2000018710,41761.16,REAYS COACHES LTD,CA7 9NE
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RED ROSE TRAVEL LTD,2000018711,60399.15,RED ROSE TRAVEL LTD,HP17 8TT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,REDLINE TRAVEL,2000018712,32470.42,REDLINE TRAVEL LTD,PR4 5QJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RICHARDSON TRAVEL LTD,2000018715,5164.66,RICHARDSON TRAVEL LTD,GU29 9NB
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RIDLERS LTD,2000018716,2303.74,RIDLERS LTD,TA22 9EJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RIGBYS EXECUTIVE COACHES LTD,2000018717,1532.69,RIGBY'S EXECUTIVE COACHES LTD,BB5 6BJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,ROBERTS TOURS LTD,2000018718,49608.23,ROBERTS TOURS LTD,LE67 2FX
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,RON W DEW & SON LTD,2000018719,2117.42,DEWS COACHES,PE28 3DN
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,ROTHBURY MOTORS LTD,2000018720,510.49,ROTHBURY MOTORS LTD,NE66 2HT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SAFFORDS COACHES LTD,2000018722,3998.48,SAFFORDS COACHES LTD,SG19 3DP
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SANDERS COACHES LIMITED,2000018723,105728.09,SANDERS COACHES LTD,NR25 6ER
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SCARLET BAND BUS AND COACH LTD,2000018724,33943.1,Scarlet Band Motor Services,DL17 9LA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SHARPES OF NOTTINGHAM,2000018726,5013.75,SHARPE'S OF NOTTINGHAM LTD,NG12 3BE
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SILVERLINE LANDFLIGHT LTD,2000018728,9356.21,SILVERLINE LANDFLIGHT LTD,B91 2JY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SOMERBUS LTD,2000018731,4090.54,SOMERBUS LTD,BS39 7YR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SOUTH GLOS BUS & COACH CO,2000018732,17602.36,SOUTH GLOUCESTERSHIRE BUS & COACH CO,BS34 6QD
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STACEYS COACHES LTD,2000018733,1514.34,STACEY'S COACHES LTD,CA2 5RS
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STAGECOACH BUSWAYS,2000018734,1028644.12,Stagecoach Busways,SK3 0DU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STAGECOACH IN HARTLEPOOL AND HULL,2000018735,71748.63,STAGECOACH HARTLEPOOL,SK3 0DU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STAGECOACH IN HARTLEPOOL AND HULL,2000018735,356305,Stagecoach In Hull,SK3 0DU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STAGECOACH IN HARTLEPOOL AND HULL,2000018735,207641.3,Stagecoach Transit,SK3 0DU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STEPHENSONS OF EASINGWOLD LTD,2000018739,74728.9,STEPHENSONS OF EASINGWOLD LTD,YO61 1SR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SWANAGE TAXIS LTD,2000018740,1170.21,SWANAGE TAXIS LTD,BH19 3EB
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SWANS TRAVEL,2000018741,2153.98,SWANS TRAVEL LTD,OL9 9LE
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SWIFT TAXIS & PRIVATE HIRE LTD,2000018742,3628.29,SWIFT TAXIS & PRIVATE HIRE LTD,NR31 0LT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,TEAMDECK T/A K LINE,2000018745,43757.67,TEAMDECK LTD t/a K LINE,LE4 9HR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,THORNES INDEPENDENT LTD,2000018747,3163.59,THORNES INDEPENDENT LTD,YO8 6QG
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,TLC TRAVEL LTD,2000018748,33781.63,TLC TRAVEL LTD,BD4 7EZ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,TRAVEL WRIGHT LTD,2000018752,15671.79,Travel Wright Ltd,NG24 2AG
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,TRAVELSURE,2000018753,20606.38,TRAVELSURE,NE70 7DT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,TYNE VALLEY COACHES LTD,2000018754,3252.25,Tyne Valley Coaches Ltd,NE46 4QT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,VICEROY OF ESSEX LTD,2000018757,3182.51,VICEROY OF ESSEX LTD,CB10 1BU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,WALDEN TRAVEL LTD,2000018758,4159.74,WALDEN TRAVEL LTD,CB11 3BJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,WHITES COACHES,2000018760,9780.24,WHITES COACHES LTD,OX10 7NG
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,WILFREDA LUXURY COACHES,2000018761,9952.03,Wilfreda Luxury Coaches Ltd,DN6 7AY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,Z & S INTERNATIONAL SERVICES,2000018762,33069.34,Z & S INTERNATIONAL SERVICES,HP19 3DY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SOUTH YORKSHIRE RIDER LTD,2000018763,13055.41,SOUTH YORKSHIRE RIDER LTD,S75 1HT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HELMS COACHES LTD,2000018764,32909.78,HELMS COACHES LTD,L20 9LY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,ELITE MINIBUS,2000018765,1760.75,ELITE MINIBUS,FY3 7NA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,TELLINGS GOLDEN MILLER COACHES,2000018766,41121.43,Tellings Golden Miller Coaches,TW6 2DW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,LANDMARK COACHES LTD,2000018767,1141.94,Landmark Coaches Ltd,SG15 6RF
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HUDDERSFIELD BUS COMPANY,2000018768,113473.06,Huddersfield Bus Company,LE4 9HR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,STANWAYS COACHES,2000018769,566.11,Stanways Coaches,ST7 3QT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,BLACK VELVET TRAVEL LTD,2000018771,17234.5,Black Velvet Travel Ltd,SO50 5L
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,NORTH SOMERSET COACHES,2000018772,3002.89,North Somerset Coaches,BS48 1JN
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,CENTREBUS HOLDINGS LTD,2000018773,38881.66,Centrebus Holdings Ltd,LE4 9HR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,CONNECT TRANSPORT LTD,2000018774,3332.62,CONNECT TRANSPORT LTD,NE34 0NT
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,HATCH GREEN COACHES,2000018775,507.89,HATCH GREEN COACHES,TA3 6TN
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,BUSKING LTD,2000018776,3476.58,BUS KING LTD T/A PHOENIX BUSES,Y025 8LG
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,THE GREEN BUS COMPANY LIMITED,2000018777,35419.16,THE GREEN BUS COMPANY LTD,B18 5ST
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,,2000018778,1005.52,Nottingham Minibuses & Coaches,
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JJ TRAVEL AND TRANSPORT LTD,2000018780,685.31,JJ Travel and Transport Ltd,WA3 6PW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,CT PLUS (YORKSHIRE) C.I.C HULL,2000018781,10822.7,CT PLUS (YORKSHIRE) CIC - HULL,E8 4RH
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,SEVERNSIDE TRANSPORT,2000018782,4300.26,SEVERNSIDE TRANSPORT LIMITED,BS34 5JR
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,GILLS TRAVEL,2000018783,3884.84,Gills Travel,NG9 3PX
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FREEDOM TRAVEL NORTH LTD,2000018784,2823.74,Smiths of Marple,SK23 0PJ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,WORCESTERSHIRE COUNTY COUNCIL,2000018785,19671.26,Worcestershire County Council,WR5 2XF
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,WIDNES COMMERCIAL MOTORS LTD,2000018788,2546.14,Widnes Commercial Motors Ltd,WA8 8XW
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,FIRST COACHES,2000018791,11990,First Coaches (Luton Service),LE4 0DA
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,ARROW PASSENGER &,2000018792,1010.83,Arrow Passenger & Freight Services,CM9 4LQ
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,CENTRAL TAXI'S OF GATESHEAD LTD,2000018793,8525.53,Central Taxis of Gateshead Ltd,NE10 9LU
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JACKETT'S COACHES,2000018794,5910.8,Jackett's Coaches,PL18 9AL
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,GO RIDE COMMUNITY,2000018796,7790.38,Go Ride Community Interest Company,OX14 3UY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,JOHN CHERRY T/A,2000018797,8037.51,Aintree Coachline,LE20 9LY
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,BZEE BUS & TRAVEL COMPANY LTD,2000018799,7478.32,Bzee Bus & Travel Co Ltd,ME20 7SP
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,AQUARIUS TRAVEL,2000019604,638.85,AQUARIUS TRAVEL,TR14 7JD
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,ARRIVA SURREY & WEST SUSSEX,2000019605,43070.46,ARRIVA SURREY & WEST SUSSEX LTD,LU4 8DS
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,AXE VALLEY MINI TRAVEL,2000019607,4043.76,Axe Valley Mini Travel,EX12 2NA
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,SILVERDALE TOURS LTD,2000019609,4813.87,SILVERDALE TOURS LTD,NG2 4EU
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,BATTERSBY SILVER GREY COACHES,2000019614,6657.83,Battersby Silver Grey Coaches,LA3 3PE
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,R&R COACHES LIMITED,2000019616,755.54,R & R COACHES LIMITED,BA12 9HQ
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,BRADSHAW COACHES,2000019620,753.89,Bradshaw Coaches Ltd,M28 3LX
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,CARADOC COACHES LTD,2000019623,4522.94,CARADOC COACHES LTD,SY6 7DY
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,STAGECOACH IN THE FENS,2000019625,67278.89,Stagecoach in the Fens,CB4 0DN
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,D & G COACH & BUS LTD,2000019637,4930.63,D & G COACH & BUS LTD,ST4 8QE
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,FARGO COACHES,2000019647,2057.86,FARGO COACHES,RG12 2NB
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,FELIX TAXIS,2000019648,746.68,Felix Taxis,CO10 9AD
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,FIRST SOUTH YORKSHIRE LTD,2000019649,507549.84,FIRST SOUTH YORKSHIRE LTD,LS10 1PL
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,FARESAVER,2000019650,78924.91,FARESAVER BUSES,SN14 6QA
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,HANSONS (WORDSLEY) LTD,2000019658,1763.23,HANSONS (WORDSLEY) LTD,DY9 8RD
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,HOLMESWOOD COACHES,2000019661,24976.95,HOLMESWOOD COACHES LTD,L40 1UB
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,MARCHWOOD MOTORWAYS,2000019678,49617.34,MARCHWOOD MOTORWAYS SOUTHAMPTON LTD,BH15 2PR
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,MARETTS,2000019679,1713.96,Maretts Chariots,NR11 8RA
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,ARRIVA THAMESIDE,2000019684,39264.68,ARRIVA THAMESIDE,LU4 8DS
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,NIPPY BUS LTD,2000019687,20487.87,NIPPY BUS LTD,TA12 6HB
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,PREMIERESHOW LTD,2000019697,2400.06,Rothwells Super Travel,OL10 4LY
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,R HANDLEY & SONS LTD,2000019698,514.7,R HANDLEY & SONS LTD,DL8 4PJ
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,RED KITE COMMERCIAL SERVICES,2000019700,556.74,RED KITE COMMERICAL SERVICES,LU7 9PU
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,RED ROSE TRAVEL LTD,2000019701,24584.43,RED ROSE TRAVEL LTD,HP17 8TT
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,REGS COACHES LTD,2000019702,2124.54,Reg's Coaches Ltd,AL6 9TY
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,STEPHENSONS COACHES LTD,2000019717,6749.43,Stephensons Coaches,SS4 1BS
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,SUMMERCOURT TRAVEL LTD,2000019719,9330.24,SUMMERCOURT TRAVEL,TR8 5DR
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,SWANBROOK TRANSPORT LTD,2000019721,6962.21,Swanbrook Transport Ltd,GL51 0TE
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,TALLYHO COACHES,2000019722,5160.85,TALLY HO! COACHES LTD,TQ7 1ES
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,THAMESDOWN TRANSPORT LTD,2000019724,63561.39,THAMESDOWN TRANSPORT LTD,SN2 2DJ
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,R S TYRER LIMITED,2000019739,6942.77,R S TYRER LIMITED,PR6 9LQ
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,GB COACHES,2000019742,11275.4,G.B. COACHES,M34 5BD
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,CITY TRAVEL YORKSHIRE LTD,2000019743,3621.8,CITY TRAVEL YORKSHIRE LTD,BD13 5DX
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,D K TRAVEL,2000019745,544.54,D K Travel,OL14 5BN
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,FOURWAYS COACHES,2000019748,3301.3,Fourways Coaches,CM1 3QL
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,VIKING COACHES,2000019757,2391.64,Viking Coaches,OL10 2QE
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,NUTTALLS COACHES,2000019758,2110.81,Nuttalls Coaches Ltd,WA2 8JJ
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,TAYLORS COACH TRAVEL LTD,2000019759,734.91,Taylors Coach Travel Ltd,BA22 8HZ
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,ROUTEMASTER BUSES,2000019766,1393.58,Routemaster Buses,CW2 6UE
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,2 WAY TRANSPORT,2000019769,19583.78,2 Way Transport Ltd,DN15 0DG
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,ROJAY SERVICES T/A WIGAN COACHWAYS,2000019770,8087.85,Rojay Services T/A Wigan Coachways,WN6 7TP
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,BZEE BUS & TRAVEL COMPANY LTD,2000019772,9018.58,Bzee Bus & Travel Co Ltd,ME20 7SP
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,GALLEON TRAVEL 2009 LTD,2000019776,2169.28,Galleon Travel 2009 Ltd,EN9 2DH
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,LOGIC TRANSPORT,2000019779,19581.22,Logic Transport,EN9 2DH
Department For Transport,Department for Transport,27.12.2012,Subsidies Private Se,Local,T & T COACHES LTD,2000019780,1509.09,T & T Coaches Ltd,EX36 3EH
Department For Transport,Department for Transport,13.12.2012,Subsidies Private Se,Local,ABELLIO LONDON LTD,2000018751,1071291.36,Abellio London Ltd,SE5 0TF
Department For Transport,Department for Transport,21.12.2012,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000019441,29317,#,EC1V 0AX
Department For Transport,Department for Transport,21.12.2012,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000019441,209075,#,EC1V 0AX
Department For Transport,Department for Transport,21.12.2012,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000019441,19512,#,EC1V 0AX
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,BATH & NE SOMERSET DC,2000018118,3245114,Quarter 2 LA Major Schemes Grant Payment 12/13,BA1 5AW
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000018119,4599845.2,Quarter 2 LA Major Schemes Grant Payment 12/13,EX2 4QJ
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,DONCASTER MBC,2000018146,793140.43,Quarter 2 LA Major Schemes Grant Payment 12/13,DN1 1ER
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,DORSET COUNTY COUNCIL,2000018120,511238.81,Quarter 2 LA Major Schemes Grant Payment 12/13,DT1 1XJ
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,DUDLEY MBC,2000018147,14562,Quarter 2 LA Major Schemes Grant Payment 12/13,DY1 1HF
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000018148,1658010.69,Quarter 2 LA Major Schemes Grant Payment 12/13,HU17 9BA
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,HALTON BC,2000018121,1634111.86,Quarter 2 LA Major Schemes Grant Payment 12/13,WA8 6NB
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,LEEDS CITY COUNCIL,2000018149,1226233,Quarter 2 LA Major Schemes Grant Payment 12/13,LS2 8JR
Department For Transport,Department for Transport,05.12.2012,Cap Grt Loc Auth,Local,LIVERPOOL CITY COUNCIL,2000018150,645980.63,Quarter 2 LA Major Schemes Grant Payment 12/13,L2 2DH
