Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.28: Basket 5: Comparative ‘best offer’ tariffs including multi-play tariffs
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,,France,,,Germany,,,Italy,,,Spain,,,USA,,,,,,,,,,,,,,,,,,,
,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,2009,2010,,,,,,,,,,,,,,,,,,
Fixed voice,0,0,,0,0,,0,0,,0,0,,0,0,,22.09,19.83,,,,,,,,,,,,,,,,,,
Mobile,44.75,41.1,,76.34,79.66,,103.77,88.18,,59.89,49.51,,99.68,74.83,,83.5,93.98,,,,,,,,,,,,,,,,,,
Broadband,0,0,,0,0,,0,0,,0,0,,0,0,,21.91,27.28,,,,,,,,,,,,,,,,,,
TV,0,0,,16.02,27.21,,40.55,44.95,,40.41,34.04,,61.34,0,,40.34,42.62,,,,,,,,,,,,,,,,,,
Voice & Broadband,0,0,,29.45,28.62,,19.67,22.9,,30.93,29.53,,30.55,0,,0,0,,,,,,,,,,,,,,,,,,
Tripleplay,69.42,67.44,,0,0,,0,0,,0,0,,0,51.95,,0,0,,,,,,,,,,,,,,,,,,
TV licence,11.88,12.13,,7.14,7.24,,13.72,13.49,,6.67,6.58,,0,0,,0,0,,,,,,,,,,,,,,,,,,
Total,126.04,120.66,,129.56,148.09,,183.4,179.9,,138.5,120.85,,191.57,126.78,,167.84,184.12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Lowest tariff available for each service type from any of the three largest operators by market share in each country including multi-play offers July 2009 and July 2010; PPP adjusted. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.29: Comparative ‘weighted average’ pricing of single services for all countries
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basket 1,,,,,,,Basket 2,,,,,,,Basket 3,,,,,,,Basket 4,,,,,,,Basket 5,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,
Fixed,18.88,17.81,19.08,19.69,21.28,17.98,,20.98,24.24,24.4,24.79,24.42,22.81,,0,0,0,0,0,0,,22.08,28.86,26.51,28.06,26.17,25.85,,21.57,20.12,20.56,19.47,26.62,20.14,
Mobile,0,0,0,0,0,0,,8.94,9.53,7.06,6.84,13.66,21.72,,35.36,80.63,94.88,64.03,93.19,74.39,,65.67,94.83,120.65,86.33,128.5,165.85,,49.46,89.57,106.76,72,100.33,116.07,
Broadband,0,0,0,0,0,0,,13.57,13.76,25.77,26.61,29.56,24.75,,12.42,20.32,17.26,7.24,34.42,20.87,,13.57,13.76,29.52,26.61,35.15,27.47,,13.57,13.76,37.03,30.09,35.15,31.42,
TV,0,0,0,0,0,0,,0,0,0,0,0,0,,16.05,12.56,14.7,11.58,10.42,22.6,,16.05,12.56,14.7,11.58,10.42,22.6,,48.98,38.09,53.25,35.23,50.95,66.1,
Total,18.88,17.81,19.08,19.69,21.28,17.98,,43.5,47.53,57.24,58.23,67.63,69.28,,63.83,113.51,126.84,82.85,138.03,117.86,,117.36,150.01,191.39,152.58,200.24,241.77,,133.58,161.55,217.6,156.8,213.05,233.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; Note ‘single-service’ broadband in Spain and Germany includes the best value ‘voice and broadband’ tariff as single-service broadband was not available from the largest operators; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.30: Comparative ‘best offer’ pricing of single services for all countries
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basket 1,,,,,,,Basket 2,,,,,,,Basket 3,,,,,,,Basket 4,,,,,,,Basket 5,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,
Fixed,17.5,17.02,18.2,15.24,16.76,16.04,,19.39,18.43,23.04,17.47,20.17,21.08,,0,0,0,0,0,0,,20.46,19.44,23.75,18.61,21.41,22.98,,20,18.66,19.53,17.43,20.02,19.83,
Mobile,,,,,,,,5.53,8.51,6.05,4.03,11.1,17.68,,30.8,66.62,76.68,60.46,71.54,61.46,,55.52,79.96,104.39,64.97,94.7,140.03,,41.1,79.66,88.18,49.51,74.83,93.98,
Broadband,,,,,,,,12.07,11.89,22.5,15.66,27.69,22.43,,11.25,19.74,13.76,6.52,27.55,20.87,,12.07,11.89,22.5,15.66,34.41,27.04,,12.07,11.89,22.5,17.83,34.41,27.28,
TV,0,0,0,0,0,0,,0,0,0,0,0,0,,11.5,8.72,13.43,7.24,10.42,19.06,,9.17,8.13,13.02,7.24,10.42,19.06,,48.5,27.21,44.95,34.04,48.95,42.62,
Total,17.5,17.02,18.2,15.24,16.76,16.04,,36.99,38.84,51.59,37.17,58.97,61.19,,53.55,95.08,103.87,74.22,109.51,101.39,,97.22,119.42,163.67,106.48,160.94,209.12,,121.67,137.42,175.17,118.81,178.21,183.71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted  average of best-value tariff from each of the three largest operators by market share in each country; July 2009; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 2.31: Comparative cost of lowest price services including multi-play for all countries
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price per month (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basket 1,,,,,,,Basket 2,,,,,,,Basket 3,,,,,,,Basket 4,,,,,,,Basket 5,,,,,,
,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,,UK,FRA,GER,ITA,SPA,USA,
Fixed voice,17.5,17.02,18.2,15.24,16.76,16.04,,0,0,0,0,0,21.08,,0,0,0,0,0,0,,0,0,0,0,0,22.98,,0,0,0,0,0,19.83,
Mobile,0,0,0,0,0,0,,5.53,8.51,6.05,4.03,11.1,17.68,,30.8,66.62,76.68,60.46,71.54,61.46,,55.52,79.96,104.39,64.97,94.7,140.03,,41.1,79.66,88.18,49.51,74.83,93.98,
Broadband,0,0,0,0,0,0,,0,0,0,0,0,22.43,,11.25,19.74,13.76,6.52,27.55,20.87,,0,0,0,0,0,27.04,,0,0,0,0,0,27.28,
Pay-TV,0,0,0,0,0,0,,0,0,0,0,0,0,,11.5,8.72,13.43,7.24,10.42,19.06,,0,0,0,13.82,0,19.06,,0,27.21,44.95,34.04,0,42.62,
Voice & Broadband,,,,,,,,23.24,28.48,18.07,29.55,33.81,0,,,,,,,,,0,0,0,31.14,0,0,,0,28.62,22.9,29.53,0,0,
Tripleplay,,,,,,,,0,0,0,0,0,0,,,,,,,,,37.35,25.99,32.44,0,28.01,0,,67.44,0,0,0,51.95,0,
Total,17.5,17.02,18.2,15.24,16.76,16.04,,28.76,36.99,24.13,33.58,44.91,61.19,,53.55,95.08,103.87,74.22,109.51,101.39,,92.87,105.94,136.83,109.92,122.71,209.12,,108.54,135.49,156.03,113.08,126.78,183.71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Lowest tariff available for each service type from any of the three largest operators by market share in each country including multi-play offers July 2007; PPP adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.1 TV industry metrics 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
TV revenue (£bn),10.5,10,11.2,7.9,81.5,3.5,24.9,3.6,4,2.3,1.4,0.9,2.1,8,2.8,4,8.7,,,,,,,,,,,,,,,,,,
"Change (%, YOY)",0.2,2.4,-0.4,-2.9,-1,-0.2,-4.6,0.1,-9.4,-0.8,-3,-2.1,5.7,12,-12.2,14.1,7.6,,,,,,,,,,,,,,,,,,
Revenue per cap (£),169,160,137,135,265,104,196,168,86,136,150,190,53,40,20,3,7,,,,,,,,,,,,,,,,,,
Largest TV platform  (% of homes),DTT,DTT,ACab ,DTT,DCab ,DCab ,ACab ,ATT,DTT,ACab ,ACab ,DSat ,DSat ,ATT,ATT,ACab ,ATT,,,,,,,,,,,,,,,,,,
,41%,32%,40%,36%,38%,38%,27%,39%,62%,43%,45%,46%,49%,55%,44%,61%,40%,,,,,,,,,,,,,,,,,,
TV viewing per head (mins/day),225,205,212,238,280,217,n/a,183,226,184,165,185,240,,228,138,158,,,,,,,,,,,,,,,,,,
DTV take-up (%),91,81,48,71,83,69,69,61,91,57,55,66,57,38,26,23,25,,,,,,,,,,,,,,,,,,
Pay TV take-up (%),51,56,65,25,90,92,58,31,28,99,97,76,84,14,49,78,47,,,,,,,,,,,,,,,,,,
DSO date,2012,2011,2008,2012,2009,2011,2011,2013,2010,2006,2007,2012,2013,2016,2015,2013,2015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom / Mediametrie, Eurodata TV Worldwide (www.mediametrie.com). Figures have been converted to GBP using IMF 2009 average exchange rates. Note: Prices as of end 2009. ¹The Japanese licence fee costs £102 in terrestrial households or £175 to receive a larger number of channels via satellite.²Refers to average TV viewing per head, per day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.2 Global TV revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year ,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),176,189,204,210,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook. IDATE / industry data / Ofcom for US and UK revenues. Notes: Net TV advertising revenues for Russia have been calculated by discounting 15% of TV advertising spending to remove agency fees and production costs. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.3 TV industry revenues, by source",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscriptions,72,81,91,97,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public funds ,17,18,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advertising ,86,90,95,95,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook. IDATE / industry data / Ofcom for US and UK revenues. Notes: Net TV advertising revenues for Russia have been calculated by discounting 15% of TV advertising spending to remove agency fees and production costs. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Analogue and digital television houesholds, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Digital,91%,81%,48%,71%,83%,69%,69%,61%,91%,57%,55%,66%,57%,38%,26%,23%,25%,,,,,,,,,,,,,,,,,,
Analogue,9%,19%,52%,29%,17%,31%,31%,39%,9%,43%,45%,34%,43%,62%,74%,77%,75%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change,3%,8%,10%,8%,5%,7%,4%,9%,17%,10%,3%,7%,11%,5%,7%,7%,10%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Percentage point change in the proportion of DTV homes, 2008 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN ,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2008,3.4,8.9,5.1,7.9,6.4,8.7,6.4,6,18.3,6.6,3.9,3.9,15.2,3,7.4,6.8,6,,,,,,,,,,,,,,,,,,
2009,5.2,8.5,10.3,8,4.8,7.3,4.1,8.9,17,10.3,2.7,7.1,10.9,5.4,6.8,6.7,9.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 year change,8.6,17.4,15.4,15.9,11.3,16,10.5,14.9,35.3,17,6.6,11,26.2,8.5,14.2,13.5,15.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pay DTT households, 2007-2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,ITA,ESP,NED,SWE,Total,Change,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.5,0.7,2.1,0,0.3,0.5,4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,0.8,1,2.9,0,0.3,0.5,5.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1,1.4,4.1,0.2,0.4,0.4,7.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migration to DTT and IPTV, 2008 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN ,JPN,AUS,NED,SWE,IRL,POL,BRA,RUS,IND ,CHN,ESP,,,,,,,,,,,,,,,,,,
IPTV,0.1,4.3,1.4,0.4,1.8,0.9,1,0.6,1.2,1.3,0.3,0.4,0,0.3,0,0.5,0.5,,,,,,,,,,,,,,,,,,
DTT,3,2.1,3,6.1,0.2,0.2,0.5,7.6,0.9,-1.2,0,0.6,1.9,0.6,0,2.9,16.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TV reception devices connected to the main set in the home, 2008-2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK 2008,UK 2009,,FRA 2008,FRA 2009,,GER 2008,GER 2009,,ITA 2008,ITA 2009,,USA 2008,USA 2009,,JAP 2008,JAP 2009,,ESP 2008,ESP 2009,,,,,,,,,,,,,,,
Analogue terrestrial,12%,7%,,18%,11%,,0%,0%,,34%,27%,,1%,0%,,5%,4%,,20%,5%,,,,,,,,,,,,,,,
Digital terrestrial,38%,41%,,30%,32%,,4%,7%,,30%,36%,,10%,10%,,19%,20%,,45%,62%,,,,,,,,,,,,,,,
Analogue satellite,0%,0%,,3%,2%,,16%,12%,,3%,3%,,0%,0%,,1%,1%,,3%,2%,,,,,,,,,,,,,,,
Digital satellite,36%,37%,,21%,23%,,21%,22%,,30%,32%,,30%,31%,,26%,25%,,17%,16%,,,,,,,,,,,,,,,
Analogue cable,1%,0%,,8%,7%,,47%,40%,,0%,0%,,21%,17%,,29%,27%,,3%,2%,,,,,,,,,,,,,,,
Digital cable,13%,14%,,7%,7%,,11%,15%,,0%,0%,,36%,38%,,19%,22%,,7%,8%,,,,,,,,,,,,,,,
IPTV,0%,0%,,14%,18%,,1%,3%,,2%,3%,,3%,4%,,1%,2%,,5%,5%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.11 Technology developments in pay and free-to-air TV

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device/ Feature,Function,Services,Free TV,Pay TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital video recorder (DVR) ,•Record TV digitally,"•Sky+ (pay, UK)","•Horizontal – retail rather than operator led – DVR markets developed in many countries, mostly on DTT and satellite","•Widespread across many platforms, high capacity devices available, some with ‘virtual’ VoD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,•Live pause function,•Tivo (retail and pay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,•In some cases learn viewer preferences,"•MySky (pay, Italy) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video on demand (VoD) ,•Offer programming ‘on demand’,"•Comcast on Demand (pay, US)",•Limited roll-out by FTA platforms due to complexity,"•Large libraries of VoD available (17,000 items on Comcast)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,•Provides alternative to linear TV,"•Ono’s VideoClub (pay, Spain)",•Most use open (‘over the top’) internet ,"•Many content genres, available for free, subscription or PPV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDTV,•TV channels five times picture quality of standard definition digital TV ,"•DirecTV HD (pay, US)",•Many FTA channels are launching HD not always available on FTA platforms but within pay packages ,•HDTV is now a key product for pay to differentiate from FTA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•Sky PerfecTV! HD (pay, Japan)",,•Platforms use HD as a marketing tool (DirecTV has 160 channels). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•TNT HD (free, France)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DTV,•TV with effect of three-dimensional perspective,"•Free (pay, France)",•Most 3DTV channels are available in pay bouquets ,•3D is one of the next technical developments in TV viewing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,•Requires new TV set. ,"•Sky 3D (pay, UK) ","•Given the infancy of 3DTV, few FTA broadcasters have launched services","•Pay providers are launching HD channels, focusing on sports, movies and factual shows ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•J:Com (pay, Japan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•Canal + 3D (pay, Spain ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online TV and video,•Deliver  on-demand content to PCs and other devices,"•Hulu (free/pay, USA)","•Online catch-up  TV allows FTA  channels to broaden reach, attract new viewers",•Could be seen as a threat to pay TV (cancelled subscriptions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,•Ad-funded models but some premium ,"•BBC iPlayer (free, UK)",•Also can generate additional revenue and mitigate piracy ,"•Some operators using online TV as a ‘value-add’, offering portability of content ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•Foxtel Download (pay, Australia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•SVTPlay (free, Sweden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT / Hybrid services,•Deliver VoD and other applications  over open internet  (‘over the top’) to TV,"•Viasat+ HD (pay, Scandinavia)",•FTA is playing a major role in development of OTT services to PCs and retail devices such as STBs and TVs (YouView and HbbTV) to offer VoD ,•Pay operators have been slower to launch OTT (as IPTV and cable have VoD) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,•OTT video also on games consoles   ,"•HbbTV devices (free, Germany, others)",,•Some satellite platforms see OTT as way of  offering VoD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"•Canal+ Le Cube, (pay, France) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, companies. Note: Services are examples, not an exhaustive list.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.12 Number of HD channels on offer, by platform and country, 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take-up (%),UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVR,32%,19%,20%,23%,39%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD-ready TV,59%,46%,39%,48%,57%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoD,20%,27%,6%,11%,36%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online TV  ,24%,19%,10%,15%,22%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, October 2010, for all adults 18 – 64. Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.13 Pay TV take-up versus pay TV ARPU, 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country ,ARPU (£),Pay TV (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,344,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,350,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,151,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,431,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,480,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,314,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAP,314,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,557,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,294,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,131,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,162,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,369,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,123,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,422,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,22,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,27,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,20,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.14 Viewing concentration – share of top, and top five, channels, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
