CollectionTitle,Department,New,Review,Ref,Frequency,Authority group,Data topics,Collection type,Link to return,Link to example of published data
Housing Benefit (HB) & Council Tax Benefit (CTB) subsidy estimates and claims,DWP,0,0,150-00,four times a year,Single tier & lower tier,1,0,0,0
Discretionary Housing Payment (DHP) estimates and claims,DWP,0,0,151-00,three times a year,Single tier & lower tier,1,0,0,0
Whole of Government Accounts (WGA),HMT(DCLG),0,0,183-00,annual,All local authorities,2,aggregate/summary,http://www.communities.gov.uk/localgovernment/localgovernmentfinance/governmentaccounts/,0
Alcohol and Late Night Refreshment Licensing,HO,0,Y,163-00,not decided,Single tier & lower tier,1,0,0,http://www.culture.gov.uk/publications/7456.aspx
Weights and measures enforcement (section 70),BIS/NMO,0,0,001-00,annual,Upper tier & single tier,2,aggregate/sumary,http://www.nmo.bis.gov.uk/fileuploads/Enforcement_/S70_return_form_final_v2.xls,http://www.nmo.bis.gov.uk/content.aspx?SC_ID=537
Individualised Learner Record (ILR),BIS/SFA,0,Y,186-00,other,Other,1,client based,http://www.theia.org.uk/ilr/,http://www.thedataservice.org.uk/statistics/statisticalfirstrelease/sfr_current/
Skills Funding Claims and Use of Funds,BIS/SFA,0,Y,187-00,four times a year,Other,1,0,0,0
National Fraud Initiative (NFI),DCLG/AC,0,0,170-00,every 2 years,All local authorities,1,0,0,0
Fraud and Corruption Survey,DCLG/AC,0,0,242-00,annual,All local authorities,9,0,0,http://www.audit-commission.gov.uk/pressoffice/pressreleases/Pages/scaleoffraudandcorruption.aspx
National land use database of previously-developed brownfield land (NLUD-PDL),DCLG/HCA,0,0,063-00,annual,Single tier & lower tier,4,case based,http://www.homesandcommunities.co.uk/nlud.htm,http://www.homesandcommunities.co.uk/nlud-pdl-results-and-analysis.htm
Public rights of way,DCLG/OS,0,0,158-00,as required,Upper tier & single tier,1,0,0,0
Parish council boundaries,DCLG/OS,0,0,177-00,as required,All local authorities,1,0,0,0
CORE (Continuous Recording) of lettings by local authorities,DCLG/TSA,0,0,065-00,continuous,Single tier & lower tier,2,case based,https://core.tenantservicesauthority.org/LearnAboutCoreMain.aspx,https://core.tenantservicesauthority.org/AnalyseCOREdataMain.aspx
Gambling Licensing Authority Returns,DCMS/GC,0,0,207-00,quarterly and annual,Single tier & lower tier,1,aggregate/summary,http://www.gamblingcommission.gov.uk/licensing_authorities/information_for_licensing_auth/la_returns.aspx,http://www.gamblingcommission.gov.uk/pdf/Licensing%20authority%20statistics%20April%202009%20-%20March%202010.pdf
Small Society Lottery,DCMS/GC,0,0,208-00,continuous,Single tier & lower tier,1,case based,0,0
Gambling Temporary Use Notices,DCMS/GC,0,0,209-00,continuous,Single tier & lower tier,1,case based,0,0
Club Machine Permits & Club Gaming Permits,DCMS/GC,0,0,210-00,continuous,Single tier & lower tier,1,case based,0,0
Gambling Premises data,DCMS/GC,0,0,211-00,continuous,Single tier & lower tier,1,case based,0,0
Flood risk management capacity,DEFRA/EA,Y,0,244-00,annual,All local authorities,1,0,0,0
Strategic Overview of Flood and Coastal Erosion risk,DEFRA/EA,Y,0,245-00,annual,Upper tier & single tier,2,0,0,0
Reporting on EU flood risk regulations,DEFRA/EA,0,0,246-00,every 6 years,Upper tier & single tier,1,0,0,0
Newly Qualified Teachers - Induction Returns,DfE/GTC,0,0,200-00,termly (3/year),Upper tier & single tier,1,0,0,0
Fee Collection – Salary Deduction Process,DfE/GTC,0,0,201-00,annual,Upper tier & single tier,1,0,0,0
Adoption data set and adoption self assessment,DfE/Ofsted,0,0,217-00,annual,Upper tier & single tier,1,0,0,0
Children’s Services Assessment (commissioned services).,DfE/Ofsted,0,Y,218-00,annual,Upper tier & single tier,1,0,0,0
Childcare inspection data,DfE/Ofsted,0,0,219-00,as required,Upper tier & single tier,1,0,0,0
Residential family centres’ data,DfE/Ofsted,0,0,220-00,every 3 years,Upper tier & single tier,1,0,0,0
Safeguarding & Looked After Children data,DfE/Ofsted,0,0,221-00,as required,Upper tier & single tier,1,0,0,0
Foster care data set and self assessment,DfE/Ofsted,0,0,222-00,annual,Upper tier & single tier,1,0,0,0
Point of inspection placing authorities’ questionnaire,DfE/Ofsted,0,Y,223-00,as required,Upper tier & single tier,1,0,0,0
Local Authority Data Collection of Linked and Federated Provision,DfE/Ofsted,0,0,224-00,termly (3/year),Upper tier & single tier,1,0,0,0
Local Authority Adult and Community Learning provision.,DfE/Ofsted,0,0,225-00,as required,Upper tier & single tier,1,0,0,0
Pre-inspection data for private fostering services,DfE/Ofsted,0,Y,226-00,as required,Upper tier & single tier,1,0,0,0
AfterCare survey of those who have left care in the past year,DfE/Ofsted,0,0,236-00,as required,Upper tier & single tier,1,0,0,0
Care4Me survey,DfE/Ofsted,0,0,237-00,as required,Upper tier & single tier,1,0,0,0
"Staff questionnaire, maintained day, boarding and residential special schools",DfE/Ofsted,0,0,238-00,as required,Upper tier & single tier,1,0,0,0
Children’s centre self-evaluation form,DfE/Ofsted,0,0,239-00,as required,Upper tier & single tier,1,0,0,0
Post inspection survey,DfE/Ofsted,0,0,240-00,as required,Upper tier & single tier,1,0,0,0
Schools capital outturn,DfE/PfS,0,0,203-00,annual,Upper tier & single tier,1,0,0,0
Young Apprenticeships (YA) (TO CEASE DURING 2011/12),DfE/YPLA,0,Y,204-00,termly (3/year),Upper tier & single tier,1,0,0,0
Information to support calculations of the minimum funding guarantee to Academies ,DfE/YPLA,0,0,206-00,as required,Upper tier & single tier,1,0,0,0
16-19 Bursary Fund,DfE/YPLA,Y,0,234-00,annual,Upper tier & single tier,1,0,0,0
Standard bus permits,DfT/TC,0,0,124-00,monthly,Single tier & lower tier,1,0,0,0
PTE/ITA Rail data,DfT/ORR,0,0,181-00,annual,Other,2,0,0,http://www.rail-reg.gov.uk/server/show/nav.1529
Health protection Part 2A Order notifications,DH/HPA,0,0,143-00,as required,Single tier & lower tier,1,0,http://www.dh.gov.uk/prod_consum_dh/groups/dh_digitalassets/@dh/@en/@ps/documents/digitalasset/dh_114589.pdf,0
Notification of Infectious Diseases (NOIDs),DH/HPA,0,0,233-00,as required,Single tier & lower tier,1,0,http://www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/NotificationsOfInfectiousDiseases/ReportingProcedures/,http://www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/NotificationsOfInfectiousDiseases/NOIDSReportsAndTables/
Circus database,DWP/HSE,0,0,152-00,continuous,All local authorities,1,case based,0,0
LPG pipework inspection,DWP/HSE,0,0,153-00,continuous,All local authorities,1,case based,0,0
Health & Safety Enforcement Data (LAE1),DWP/HSE,0,Y,154-00,annual,All local authorities,3,aggregate/summary,0,http://www.hse.gov.uk/statistics/enforce/index.htm
Health & Safety Prosecutions database,DWP/HSE,0,Y,155-00,continuous,All local authorities,3,case based,0,http://www.hse.gov.uk/statistics/enforce/index.htm
Billing Authority Report (BAR),HMRC/VOA,0,0,241-00,as required,Single tier & lower tier,1,0,0,0
Registrar General's annual return,HO/IPS-GRO,0,0,235-00,annual,Upper tier & single tier,1,0,0,0
Youth Justice Management Information System (YJMIS),MoJ/YJB,0,0,180-00,quarterly,Upper tier & single tier,1,case based,https://www.yjmis.info/,http://www.justice.gov.uk/publications/youth-justice-statistics.htm
Food Hygiene (LAEMS),FSA,0,0,190-00,annual,Single tier & lower tier,59,aggregate/summary,http://www.food.gov.uk/enforcement/auditandmonitoring/laems/,http://www.food.gov.uk/enforcement/auditandmonitoring/mondatabyyear/ocd200809/
Food Standards (LAEMS),FSA,0,0,191-00,annual,Upper tier & single tier,55,aggregate/summary,http://www.food.gov.uk/enforcement/auditandmonitoring/laems/,http://www.food.gov.uk/enforcement/auditandmonitoring/mondatabyyear/ocd200809/
Imported Food (LAEMS),FSA,0,0,192-00,annual,Single tier & lower tier,18,aggregate/summary,http://www.food.gov.uk/enforcement/auditandmonitoring/laems/,0
Central Lists of Feed Business Establishments,FSA,0,0,193-00,every 6 months,Upper tier & single tier,1,client based,0,http://www.food.gov.uk/enforcement/sectorrules/feedapprove/
Approved Food Premises,FSA,0,0,194-00,as required,All local authorities,1,client based,0,http://www.food.gov.uk/enforcement/sectorrules/approvedestabsuk/
Imported Food Safeguard Measures,FSA,0,0,195-00,quarterly,Other,2,case based,http://www.food.gov.uk/foodindustry/imports/banned_restricted/restricted_foodstuffs,0
Animal Feed Data returns,FSA,0,0,196-00,annual,Upper tier & single tier,16,aggregate/summary,http://www.food.gov.uk/foodindustry/farmingfood/animalfeed/animfeedenforce/,0
Food Hygiene Rating Scheme (FHRS),FSA,0,0,197-00,monthly,All local authorities,4,0,http://www.food.gov.uk/enforcement/enfcomm/fhrssteeringgroup/hygieneratingsguidance/,http://www.food.gov.uk/ratings
Electoral Statistics,ONS,0,0,215-00,annual,All local authorities,1,0,0,http://www.statistics.gov.uk/statbase/Product.asp?vlnk=319&More=N
Quarterly Public Sector Employment Survey - local authority data collection,ONS,0,0,054-00,quarterly,All local authorities,2,0,0,http://www.lga.gov.uk/lga/core/page.do?pageId=1955843
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

,,,,,,,638,,,
