IMCR-4.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key radio metrics: 2012,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom, Pricewaterhouse Coopers. All figures are nominal.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN 
Listening to the radio,29,31,27,30,22,18,18,32,23,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Audio activities on a tablet computer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All respondents with a tablet,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents with a tablet, UK=329, FRA=203, GER=180, ITA=286, USA=239, JPN=171, AUS=316, ESP=324, CHN=476. Q.15d Which, if any, of the following audio activities do you use each of your devices for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,
Listening to music I own,36,32,32,34,27,36,30,31,61,,,,,,,,
Downloading audio,21,19,19,25,21,19,22,18,59,,,,,,,,
Listening to streaming audio,21,20,21,29,26,20,22,18,48,,,,,,,,
Listening to the radio,24,23,21,24,15,14,13,17,23,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Proportion of adults who use radio as their main source of news, by type",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All respondents with a tablet,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents, UK=1000, FRA=1007, GER=1010, ITA=1010, USA=1004, JPN=1005, AUS=1007, ESP=1020, CHN=1007. Q.11 Which, if any, is your main source for the following information?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column1,News about your region/ locality,,,,,,,,,,,,,,,,
CHN,10%,,,,,,,,,,,,,,,,
ESP,12%,,,,,,,,,,,,,,,,
AUS,12%,,,,,,,,,,,,,,,,
JPN,4%,,,,,,,,,,,,,,,,
USA,6%,,,,,,,,,,,,,,,,
ITA,10%,,,,,,,,,,,,,,,,
GER,20%,,,,,,,,,,,,,,,,
FRA,11%,,,,,,,,,,,,,,,,
UK,9%,,,,,,,,,,,,,,,,
,News about your country,,,,,,,,,,,,,,,,
CHN,5%,,,,,,,,,,,,,,,,
ESP,9%,,,,,,,,,,,,,,,,
AUS,7%,,,,,,,,,,,,,,,,
JPN,3%,,,,,,,,,,,,,,,,
USA,4%,,,,,,,,,,,,,,,,
ITA,9%,,,,,,,,,,,,,,,,
GER,10%,,,,,,,,,,,,,,,,
FRA,10%,,,,,,,,,,,,,,,,
UK,7%,,,,,,,,,,,,,,,,
 ,News about the world,,,,,,,,,,,,,,,,
CHN,3%,,,,,,,,,,,,,,,,
ESP,8%,,,,,,,,,,,,,,,,
AUS,6%,,,,,,,,,,,,,,,,
JPN,1%,,,,,,,,,,,,,,,,
USA,5%,,,,,,,,,,,,,,,,
ITA,7%,,,,,,,,,,,,,,,,
GER,9%,,,,,,,,,,,,,,,,
FRA,9%,,,,,,,,,,,,,,,,
UK,6%,,,,,,,,,,,,,,,,
