Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100110687,123.85,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100110687,61.40,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100110687,166.79,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100110687,149.23,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100110687,113.60,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Information Technology,REDFERN TRAVEL LIMITED,2100110687,85.80,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,-139.68,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,-139.67,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,36.91,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,139.68,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,139.67,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,103.88,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,103.88,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,72.34,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,72.35,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,24.93,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100110687,24.94,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,128.73,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,217.53,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,266.32,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,74.09,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,26.75,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,110.19,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,109.22,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,123.85,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,34.86,
Communities & Local Government,VTS,26/10/2015,Travel and Subs,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,217.86,
Communities & Local Government,VTS,26/10/2015,Training,Training & Development,REDFERN TRAVEL LIMITED,2100110687,24.80,
Communities & Local Government,VTS,26/10/2015,Training,Training & Development,REDFERN TRAVEL LIMITED,2100110687,24.80,
Communities & Local Government,VTS,26/10/2015,Training,Training & Development,REDFERN TRAVEL LIMITED,2100110687,104.34,
Communities & Local Government,VTS,26/10/2015,Training,Training & Development,REDFERN TRAVEL LIMITED,2100110687,76.04,
Communities & Local Government,VTS,26/10/2015,Training,Training & Development,REDFERN TRAVEL LIMITED,2100110687,149.23,
Communities & Local Government,VTS,26/10/2015,Board Mem Exp NDPB,Board Cost,REDFERN TRAVEL LIMITED,2100110687,106.82,
Communities & Local Government,VTS,26/10/2015,Board Mem Exp NDPB,Board Cost,REDFERN TRAVEL LIMITED,2100110687,59.27,
Communities & Local Government,VTS,26/10/2015,Board Mem Exp NDPB,Board Cost,REDFERN TRAVEL LIMITED,2100110687,90.94,
Communities & Local Government,VTS,26/10/2015,VTE T&S,VTE,REDFERN TRAVEL LIMITED,2100110687,67.26,
Communities & Local Government,VTS,26/10/2015,VTE T&S,VTE,REDFERN TRAVEL LIMITED,2100110687,67.26,
Communities & Local Government,VTS,26/10/2015,Members Training,VTE,REDFERN TRAVEL LIMITED,2100110687,67.26,
Communities & Local Government,VTS,26/10/2015,VTE T&S,VTE,REDFERN TRAVEL LIMITED,2100110687,36.37,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,187.06,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,187.06,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,91.89,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,91.89,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,91.89,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,104.72,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,125.84,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,95.97,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,1.40,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,90.94,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,72.13,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,72.13,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,104.72,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,104.72,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Operational,REDFERN TRAVEL LIMITED,2100110687,208.03,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,77.15,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,77.15,
Communities & Local Government,VTS,26/10/2015,Staff Accom,Chief Executive's Resource,REDFERN TRAVEL LIMITED,2100110687,205.92,
Communities & Local Government,VTS,27/10/2015,Agency Staff,Human Resources,REED SPECIALIST RECRUITMENT LTD,2100110691,545.10,
Communities & Local Government,VTS,27/10/2015,Agency Staff,Human Resources,REED SPECIALIST RECRUITMENT LTD,2100110692,601.98,
Communities & Local Government,VTS,27/10/2015,Agency Staff,Human Resources,VENN GROUP,2100110693,964.80,
Communities & Local Government,VTS,27/10/2015,Agency Staff,Human Resources,VENN GROUP,2100110694,"1,170.00",
Communities & Local Government,VTS,27/10/2015,Misc Support,Information Technology,ICEX LTD,2100110715,270.00,
Communities & Local Government,VTS,27/10/2015,Communication Telecom Costs,Information Technology,BT PAYMENT SERVICES LTD,2100110726,"2,162.00",
Communities & Local Government,VTS,27/10/2015,Welfare,Human Resources,MEDICAL & OCCUPATIONAL HEALTH SERVI,2100110729,390.00,
Communities & Local Government,VTS,27/10/2015,Welfare,Human Resources,MEDICAL & OCCUPATIONAL HEALTH SERVI,2100110729,390.00,
Communities & Local Government,VTS,27/10/2015,Welfare,Human Resources,MEDICAL & OCCUPATIONAL HEALTH SERVI,2100110729,390.00,
Communities & Local Government,VTS,27/10/2015,Domestic Services,Estates ,SERVICEMASTER,2100110730,871.01,
Communities & Local Government,VTS,27/10/2015,Variable Maintenance < £15k,Estates,COFELY LTD,2100110731,"1,571.80",
Communities & Local Government,VTS,27/10/2015,Communication Telecom Costs,Information Technology,BT PAYMENT SERVICES LTD,2100110732,"1,815.17",
Communities & Local Government,VTS,28/10/2015,Communication Telecom Costs,Information Technology,BT PAYMENT SERVICES LTD,2100110739,"5,538.45",
