Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,D-U-N-S Number,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,211229406,5000238087,Local Council Tax Support for Police Commissioners,TA1 4DY,"1,134,138.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BABERGH DC,,,,232618405,5000237811,Council Tax Freeze,IP7 6SJ,"4,940.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BARKING & DAGENHAM LB (HSG),,,,217142293,5000237812,Council Tax Freeze,RM10 7BY,"54,036.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BARNET LBC,,,,211049507,5000237908,Council Tax Freeze,NW4 4BG,"160,368.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BARNSLEY MBC,,,,211178595,5000237909,Council Tax Freeze,S70 2AQ,"85,376.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BASILDON BOROUGH COUNCIL,,,,,5000237910,Council Tax Freeze,SS14 0DF,"16,164.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BASINGSTOKE & DEANE BC,,,,228328506,5000237911,Council Tax Freeze,RG21 2AJ,"6,906.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BASSETLAW DC (HSG),,,,,5000237813,Council Tax Freeze,S80 2AH,"5,562.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BATH & NE SOMERSET DC (HSG),,,,214502499,5000237814,Council Tax Freeze,BA1 5AW,"79,022.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BEDFORD UNITARY AUTHORITY,,,,225682160,5000238081,Council Tax Freeze,MK40 1SJ,"74,916.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BEDFORDSHIRE POLICE AUTHORITY,,,,210335070,5000238088,Council Tax Freeze for Police and Crime Commission,MK43 9AX,"75,094.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BEDFORDSHIRE POLICE AUTHORITY,,,,210335070,5000238089,Local Council Tax Support for Police Commissioners,MK43 9AX,"387,392.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BEXLEY LB (HSG),,,,,5000237815,Council Tax Freeze,DA8 1TL,"95,872.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BIRMINGHAM CITY CNCL,,,,213780559,5000237912,Council Tax Freeze,B2 2AJ,"334,618.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BLABY DC (HSG),,,,,5000237816,Council Tax Freeze,LE9 5EP,"4,435.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BLACKBURN WITH DARWEN BC,,,,,5000237913,Council Tax Freeze,BB1 7DY,"49,160.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BLACKPOOL BC,,,,,5000237914,Council Tax Freeze,FY1 1NA,"59,757.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BOLSOVER DC,,,,235516523,5000237915,Council Tax Freeze,S44 6NF,"3,606.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BOSTON BC,,,,236417713,5000237817,Council Tax Freeze,PE21 8QR,"3,342.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BOURNEMOUTH DC,,,,,5000237916,Council Tax Freeze,BH2 6EB,"79,982.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BRACKNELL FOREST DC,,,,236184867,5000237917,Council Tax Freeze,RG12 1AQ,"49,776.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BRAINTREE DC,,,,226941730,5000237818,Council Tax Freeze,CM7 6HB,"8,826.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BRENT LB (HSG),,,,,5000237819,Council Tax Freeze,HA9 9HD,"99,421.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BRENTWOOD BC,,,,227473188,5000237918,Council Tax Freeze,CM15 8AY,"5,670.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BROADLAND DC,,Large,,219737785,5000237820,Council Tax Freeze,NR7 0DU,"5,336.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BROXBOURNE BC,,Public Bodies,,239931918,5000237919,Council Tax Freeze,EN8 9XG,"4,245.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BROXTOWE BC,,,,239877640,5000237920,Council Tax Freeze,NG9 1AB,"5,930.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BUCKINGHAMSHIRE CC,,,,293750923,5000237921,Council Tax Freeze,HP20 1UD,"232,198.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,423679463,5000238063,Council Tax Freeze,HP20 1BD,"17,730.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CAMBRIDGESHIRE POLICE AUTHORITY,,,,,5000238090,Local Council Tax Support for Police Commissioners,P18 8NP,"480,698.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CAMBRIDGESHIRE POLICE AUTHORITY,,,,,5000238091,Council Tax Freeze for Police and Crime Commission,P18 8NP,"117,250.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CAMDEN LB,,,,211651836,5000237922,Council Tax Freeze,WC1H 8NG,"102,147.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CARLISLE CITY CNCL,,,,227471059,5000237821,Council Tax Freeze,CA3 8QG,"6,846.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CENTRAL BEDFORDSHIRE COUNCIL,,,,232624882,5000238079,Council Tax Freeze,SG17 5TQ,"131,021.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CHARNWOOD BC,,,,,5000237923,Council Tax Freeze,LE11 2TU,"7,019.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CHELTENHAM BC,,,,,5000237924,Council Tax Freeze,GL50 1PW,"7,858.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CHERWELL DC,,,,,5000237822,Council Tax Freeze,OX15 4AA,"6,303.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE EAST COUNCIL,,,,,5000238080,Council Tax Freeze,SK10 1DP,"180,515.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CHORLEY BOROUGH COUNCIL,,,,236415576,5000237925,Council Tax Freeze,PR7 1DP,"6,596.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CITY OF LONDON (HSG),,,,217471460,5000237823,Local Council Tax Support for Police Commissioners,EC2P 2EJ,"7,925.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CITY OF LONDON (HSG),,,,217471460,5000237824,Council Tax Freeze,EC2P 2EJ,"5,001.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CITY OF SUNDERLAND (HSG),,,,215599312,5000237825,Council Tax Freeze,SR2 7DN,"97,908.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,COLCHESTER BC,,,,,5000237926,Council Tax Freeze,CO3 3WG,"10,692.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CORBY BC,,,,,5000237826,Council Tax Freeze,NN17 1GD,"3,338.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CORNWALL UNITARY AUTHORITY,,,,211334404,5000238083,Council Tax Freeze,TR1 3AY,"251,331.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,COTSWOLD DC,,,,232462085,5000237827,Council Tax Freeze,GL7 1PX,"5,462.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,COUNTY DURHAM & DARLINGTON,,,,424872851,5000238072,Council Tax Freeze,DH1 5UE,"17,428.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,COVENTRY CITY CNCL,,,,210384802,5000237927,Council Tax Freeze,CV1 2QL,"120,753.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CRAVEN DC (HSG),,,,,5000237828,Council Tax Freeze,BD23 1PS,"3,425.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CRAWLEY BC,,,,211222500,5000237829,Council Tax Freeze,RH10 1UZ,"6,990.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,CUMBRIA COUNTY CNCL,,,,211316542,5000237928,Council Tax Freeze,CA3 8NA,"209,923.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DARTFORD BC,,,,225694942,5000237830,Council Tax Freeze,DA1 1DR,"5,783.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE COUNTYCOUNCIL,,,,232152967,5000237929,Council Tax Freeze,DE4 3AH,"281,204.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE DALES DC,,,,,5000237831,Council Tax Freeze,DE4 3NN,"5,673.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE FIRE AUTHORITY,,,,424872935,5000238073,Council Tax Freeze,DE55 1RH,"22,379.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DEVON & CORNWALL POLICE AUTHORITY,,,,,5000238092,Council Tax Freeze for Police and Crime Commission,EX2 5YT,"239,225.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DEVON & CORNWALL POLICE AUTHORITY,,,,,5000238093,Local Council Tax Support for Police Commissioners,EX2 5YT,"1,302,718.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DEVON COUNTY CNCL,,,,213754018,5000237930,Council Tax Freeze,EX2 4QJ,"330,149.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DONCASTER MBC,,,,,5000237931,Council Tax Freeze,DN1 3QA,"96,909.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DORSET COUNTY CNCL,,,,225431279,5000237932,Council Tax Freeze,DT1 1XJ,"203,847.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DUDLEY MBC,,,,,5000237933,Council Tax Freeze,DY1 1HF,"113,608.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DURHAM POLICE AUTHORITY,,,,224004882,5000238094,Council Tax Freeze for Police and Crime Commission,DH1 5TT,"72,798.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DURHAM POLICE AUTHORITY,,,,224004882,5000238095,Local Council Tax Support for Police Commissioners,DH1 5TT,"536,487.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,DURHAM UNITARY AUTHORITY,,,,224004882,5000238084,Council Tax Freeze,DH1 5UE,"202,931.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EALING LB,,,,,5000237934,Council Tax Freeze,W5 2HL,"126,478.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST DEVON DC,,,,,5000237832,Council Tax Freeze,EX10 8HL,"7,086.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST HERTFORDSHIRE DC,,,,236176954,5000237833,Council Tax Freeze,SG13 8EQ,"9,330.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST NORTHAMPTONSHIRE COUNCIL,,,,227475290,5000237834,Council Tax Freeze,NN14 4LZ,"3,837.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST RIDING OF YORKS (HSG),,,,423159987,5000237835,Council Tax Freeze,HU17 9BA,"144,830.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST STAFFORDSHIRE BC,,,,226778033,5000237836,Council Tax Freeze,DE14 2EB,"6,884.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX COUNTY CNCL,,,,,5000237935,Council Tax Freeze,BN7 1SF,"243,507.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,,5000238075,Council Tax Freeze,BN21 1EU,"24,993.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EASTBOURNE BC,,,,229896428,5000237936,Council Tax Freeze,BN21 4TW,"8,120.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EASTLEIGH BOROUGH COUNCIL,,,,232669911,5000237937,Council Tax Freeze,SO5 9YN,"6,009.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ENFIELD LB,,,,,5000237938,Council Tax Freeze,EN1 3XF,"120,360.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EPPING FOREST DC,,,,775876360,5000237939,Council Tax Freeze,CM16 4BZ,"8,208.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,EREWASH BC,,,,211209762,5000237940,Council Tax Freeze,DE7 5RP,"6,040.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ESSEX COUNTY CNCL,,,,233572986,5000237941,Council Tax Freeze,CM1 1JZ,"582,275.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,424873099,5000238064,Council Tax Freeze,CM8 3HB,"43,259.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ESSEX POLICE AUTHORITY,,,,232247825,5000238096,Local Council Tax Support for Police Commissioners,CM2 6DA,"1,095,708.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ESSEX POLICE AUTHORITY,,,,232247825,5000238097,Council Tax Freeze for Police and Crime Commission,CM2 6DA,"213,298.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,FAREHAM BC,,,,228474144,5000237837,Council Tax Freeze,PO16 7PU,"6,100.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,FOREST HEATH DISTRICT COUNCIL,,,,236678116,5000237838,Council Tax Freeze,IP28 7EY,"2,489.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,FOREST OF DEAN DC,,,,211278890,5000237839,Council Tax Freeze,GL16 8HG,"4,839.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,FYLDE BC,,,,227479912,5000237942,Council Tax Freeze,FY8 1LW,"5,663.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GATESHEAD MBC,,,,216116041,5000237943,Council Tax Freeze,NE8 1HH,"85,708.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTER CITY CNCL,,,,230841392,5000237944,Council Tax Freeze,GL1 2EQ,"7,252.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY CNCL,,,,211272067,5000237945,Council Tax Freeze,GL1 2TG,"246,182.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GOSPORT BOROUGH COUNCIL,,,,239825078,5000237946,Council Tax Freeze,PO12 1ED,"5,624.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GREAT YARMOUTH BC,,,,292697372,5000237947,Council Tax Freeze,NR30 2QG,"4,642.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY,,,,,5000238141,Local Council Tax Support for Police Commissioners,SE10 1AJ,"11,929,192.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY,,,,,5000238142,Council Tax Freeze,SE10 1AJ,"944,771.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,GREENWICH LB,,,,,5000237948,Council Tax Freeze,SE18 6BU,"80,764.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAMBLETON DC (HSG),,,,503481319,5000237840,Council Tax Freeze,DL6 2UU,"3,266.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAMMERSMITH & FULHAM LB,,,,216929489,5000237950,Council Tax Freeze,W6 9JU,"62,574.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE COUNTY COUNCIL,,,,211325832,5000237951,Council Tax Freeze,SO23 8UB,"535,812.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,,5000238074,Council Tax Freeze,SO23 8UB,"39,506.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE POLICE AUTHORITY,,,,211325832,5000238098,Local Council Tax Support for Police Commissioners,SO23 8UB,"1,039,073.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE POLICE AUTHORITY,,,,211325832,5000238099,Council Tax Freeze for Police and Crime Commission,SO23 8UB,"251,994.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HARBOROUGH DC (HSG),,,,212935774,5000237841,Council Tax Freeze,LE16 7AG,"5,607.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HARINGEY LB,,,,217471767,5000237952,Council Tax Freeze,N22 4TR,"100,997.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HARROGATE BC,,,,236660031,5000237842,Council Tax Freeze,HG1 2SG,"13,854.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HART DC,,,,229723895,5000237953,Council Tax Freeze,GU13 8AE,"5,874.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HARTLEPOOL BOROUGH COUNCIL,,,,424291797,5000237954,Council Tax Freeze,TS24 7BT,"40,811.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HASTINGS BC,,,,,5000237955,Council Tax Freeze,TN34 3WN,"7,012.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAVANT BC,,,,211047543,5000237956,Council Tax Freeze,PO9 2AX,"8,323.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HAVERING LB,,,,211209770,5000237957,Council Tax Freeze,RM1 3BB,"109,761.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE & RESCUE,,Large,,236425484,5000238069,Council Tax Freeze,WR5 1JR,"20,964.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE COUNTY CNCL,,,,210659897,5000237958,Council Tax Freeze,SG13 8DQ,"505,857.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE POLICE AUTHORITY,,,,,5000238100,Local Council Tax Support for Police Commissioners,AL8 6XF,"652,230.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE POLICE AUTHORITY,,,,,5000238101,Council Tax Freeze for Police and Crime Commission,AL8 6XF,"166,030.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE POLICE AUTHORITY,,,,,5000238102,Council Tax Freeze,AL8 6XF,"66,834.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HERTSMERE BC,,,,237549253,5000237959,Council Tax Freeze,WD6 1WA,"6,526.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HIGH PEAK BC,,,,239967771,5000237843,Council Tax Freeze,SK17 6EL,"5,666.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HILLINGDON LB,,,,211198585,5000237960,Council Tax Freeze,UB8 1UW,"111,894.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HINCKLEY & BOSWORTH BC,,,,211176144,5000237844,Council Tax Freeze,LE10 1BZ,"4,228.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HORSHAM DC,,,,229776588,5000237845,Council Tax Freeze,RH12 1RL,"8,181.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HOUNSLOW LB,,Public Bodies,,210388999,5000237961,Council Tax Freeze,TW3 4DN,"97,363.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,229832563,5000238065,Council Tax Freeze,HU4 7BB,"22,523.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE POLICE,,,,232100073,5000238103,Council Tax Freeze,HU5 5SF,"50,039.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE POLICE,,,,232100073,5000238104,Council Tax Freeze for Police and Crime Commission,HU5 5SF,"119,945.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE POLICE,,,,232100073,5000238105,Local Council Tax Support for Police Commissioners,HU5 5SF,"831,434.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,HYNDBURN BC,,,,,5000237962,Council Tax Freeze,BB5 1EZ,"5,342.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT CNCL,,,,236431730,5000237963,Council Tax Freeze,PO30 1UD,"72,478.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ISLES OF SCILLY COUNCIL,,,,214146040,5000237964,Council Tax Freeze,TR21 0LW,"1,391.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,ISLINGTON LB,,,,225716729,5000237965,Council Tax Freeze,N1 1XR,"86,416.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,423679414,5000238066,Council Tax Freeze,ME15 6XB,"43,443.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,KENT COUNTY CNCL,,,,211334420,5000237967,Council Tax Freeze,ME14 1XQ,"577,588.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,KETTERING BC,,,,211271796,5000237968,Council Tax Freeze,NN15 7QX,"6,310.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,KINGS LYNN & WEST NORFOLK BC,,,,236417671,5000237846,Council Tax Freeze,PE30 1EX,"6,496.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,KNOWSLEY MBC,,,,,5000237969,Council Tax Freeze,L36 9YZ,"52,215.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,230398732,5000238071,Council Tax Freeze,PR2 3LH,"29,967.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COUNTY CNCL,,,,233136584,5000237971,Council Tax Freeze,PR1 8RD,"428,097.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE POLICE AUTHORITY,,,,,5000238106,Local Council Tax Support for Police Commissioners,PR1 0LD,"1,107,699.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE POLICE AUTHORITY,,,,,5000238107,Council Tax Freeze for Police and Crime Commission,PR1 0LD,"171,410.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,LEEDS CITY CNCL,,Micro,,,5000237972,Council Tax Freeze,LS1 1JF,"276,572.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,LEICESTERSHIRE COUNTY CNCL,,,,423679836,5000237973,Council Tax Freeze,LE3 8RB,"242,736.00",Yes
