Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department For Transport,Highways Agency,06/06/2014,RM - Utilities,NETWORK DELIVERY & DEVELOPMENT,BRITISH GAS TRADING LIMITED,630400,697.78,"Bill Number 340149009, dated 3 June 2014",CF10 5BT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,630390,143845.07,PO1 Final payment + PLIF,S1 2BQ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD247372,1250,00001249/xxxxx,B3 3AL
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD247373,5038.64,00011751xxxxx,B3 3AL
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD247376,48171.11,00003598/xxxxx,B3 3AL
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,630371,21041.06,"Invoice number B1845400/022/LA, date 04/06/14. Amount #25249.27, excluding VAT #21041.06",G2 7HX
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,630362,16784.79,#,WV1 9NZ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,PERSONA ASSOCIATES LTD,630398,552,"Website rental for May-07, June-07, May-11, June 11, for 4 weeks each. Amount #576, excluding VAT #480",RH12 1QJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,SOUTHERN GAS NETWORKS (CIS) DIVERT/CONNECT,630366,10557,PAYMENT FOR FEASIBILITY STUDY FOR PIPELINE DIVERSION,BR5 2TN
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR NORTHAMPTONSHIRE,630368,35772.86,#,CW7 9FW
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR WEST MIDLANDS,630401,2435.29,Invoice for A45/A46 Tollbar. Monthly payment of annual cost of A45 enforcement.,B4 6NQ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,630364,511.96,"M1 J25-28, URS invoice 5915821, Professional Services for Period Ending 30 May 2014",RG21 7PP
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,630387,9104.94,Development March 14,RG21 7PP
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,630388,50863.02,Design Support May 14,RG21 7PP
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,630389,36892.1,Site Assurance March 14,RG21 7PP
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD240589,1439,HAL00001005//25000019872014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246993,1854,HAL00012233//25000019642014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247138,1153,HAL00011713/xxxxx/25000019362014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247139,1047,HAL00009526/xxxxx/25000019382014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247141,3945,HAL00011571//25000019732014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247282,1131,HAL00004818/xxxxx /25000019492014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247283,1179,HAL00004815/xxxxx /25000019462014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247374,1697.67,HAL55555544//25000009172014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247375,1085,HAL00006825/xxxxx/25000019332014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247377,1548,HAL00011785/xxxxx/25000019552014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247378,3124,HAL00006804//25000019302014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247379,1265,HAL00011699/xxxxx/25000019852014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247380,1503,HAL00011381/xxxxx/25000019702014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD247381,1777,HAL00011609/xxxxxJ/25000019412014,GL4 7RT
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,630374,1362.58,Apps and Certs Receipt - APC69488,MK41 7LW
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),616958,-9131.11,Apps and Certs Receipt - APC58956,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626243,-1191.36,Apps and Certs Receipt - APC66686,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628284,-14296.59,Apps and Certs Receipt - APC68162,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,15753.17,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,1528.5,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,3831.74,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,306.69,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,64744.2,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,3226.74,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630357,15553.9,Apps and Certs Receipt - APC69868,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630357,193.89,Apps and Certs Receipt - APC69868,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630357,15422.12,Apps and Certs Receipt - APC69868,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630357,3833.73,Apps and Certs Receipt - APC69868,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,630395,38332.13,Inv No 14009455 dated 6/6/14. M62 J30 to 32 PPS. Atkins costs May 2014,BS32 4SY
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BAM NUTTALL LIMITED,630365,161798.5,Apps and Certs Receipt - APC70544,GU15 3XW
Department For Transport,Highways Agency,06/06/2014,TA Cost AUC - Programme,TRAFFIC MANAGEMENT DIRECTORATE,AMEY HIGHWAYS LIMITED,630374,2878.9,Apps and Certs Receipt - APC69488,MK41 7LW
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,630373,5825.45,Apps and Certs Receipt - APC69488,MK41 7LW
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,630374,179691.89,Apps and Certs Receipt - APC69488,MK41 7LW
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),616960,-1568.1,Apps and Certs Receipt - APC58925,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623751,-45280.71,Apps and Certs Receipt - APC64670,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626243,-17508.12,Apps and Certs Receipt - APC66686,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628284,-26699.71,Apps and Certs Receipt - APC68162,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,734551.62,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630357,161717.71,Apps and Certs Receipt - APC69868,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,630248,-491578.59,Apps and Certs Receipt - APC70155,M2 5JB
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,630407,2715.23,"M3 J2-4a, Mouchel CDMC Service Drainage Renewal - March 2014 Invoice,  Invoice 5000033797, PO 1110.2",L3 1ES
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY HIGHWAYS LIMITED,630372,3385.05,Apps and Certs Receipt - APC69303,MK41 7LW
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623751,-18351.74,Apps and Certs Receipt - APC64670,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626243,-22720.18,Apps and Certs Receipt - APC66686,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628284,-1529.1,Apps and Certs Receipt - APC68162,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630356,246.78,Apps and Certs Receipt - APC69869,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630357,47163.57,Apps and Certs Receipt - APC69868,DL1 1TJ
Department For Transport,Highways Agency,06/06/2014,Third Party claims costs,FINANCE & BUSINESS SERVICES,TREASURY SOLICITOR,PWI/179473872,3000,Z1327771/JOO/A4 xxxxx N A43,GL1 2AZ
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929293,27821.37,EAST MAY 2014,SN5 6PS
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929294,21036.32,NORTH EAST MAY 2014,SN5 6PS
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929295,27240.81,NORTH WEST MAY 2014,SN5 6PS
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929296,34303.95,SOUTH EAST MAY 2014,SN5 6PS
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929297,18925.82,SOUTH WEST MAY 2014,SN5 6PS
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929299,24214.12,WEST MIDS MAY 2014,SN5 6PS
Department For Transport,Highways Agency,06/06/2014,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2002929300,9129.04,EAST MIDS MAY 2014,SN5 6PS
Department For Transport,Highways Agency,09/06/2014,"Admin building refurbishment, maintenance, repairs, inspections and advice",FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,629922,-350,AMEY Comp / Reactive work May 14,OX4 4DQ
Department For Transport,Highways Agency,09/06/2014,"Admin building refurbishment, maintenance, repairs, inspections and advice",FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,629922,-870.45,AMEY Comp / Reactive work May 14,OX4 4DQ
Department For Transport,Highways Agency,09/06/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,630443,94678.99,Application 3 - Application for works Performed up to 31/05/14,CV34 5AH
Department For Transport,Highways Agency,09/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,630450,3236.11,"AECOM works for May 14, 523830",AL1 9WQ
Department For Transport,Highways Agency,09/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,630451,4921.39,"AECOM works for May 14, 523824",AL1 9WQ
Department For Transport,Highways Agency,09/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,630452,2515.86,"AECOM works for May 14, 523833",AL1 9WQ
Department For Transport,Highways Agency,09/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,630453,10239.38,"AECOM works for May 14, 523827",AL1 9WQ
Department For Transport,Highways Agency,09/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,THE POLICE AND CRIME COMMISSIONER FOR WEST MIDLANDS,630434,6663.64,Payment for invoice no April 2014,B4 6NQ
Department For Transport,Highways Agency,09/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,THE POLICE AND CRIME COMMISSIONER FOR WEST MIDLANDS,630435,6663.64,Payment for May 2014,B4 6NQ
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,625881,-8595.23,Tandem Activities for March 2014,BS32 4SY
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,630437,22829.92,#,BS32 4SY
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,630438,27790.04,#,BS32 4SY
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,630491,31939.66,TechSpecs NMCS2 May 2014,BS32 4SY
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,630428,27836.18,IET270 Dartford Tunnel Control Room Project Single final payment #27836.18,BB1 2PR
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,630483,4696646.94,June 2014 BSC,GU14 7BF
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,630458,4130.45,M25 DBFO - PAYMECH IMPACTS FROM M3 MM PACKAGE ORDER P-014,GL1 2NS
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,630461,42735.16,#,GL1 2NS
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,630463,2175.74,#,GL1 2NS
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,630464,19329.51,#,GL1 2NS
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,630465,21686.14,#,GL1 2NS
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PARSONS BRINCKERHOFF LIMITED,630447,11542.23,cc2120 Spatial Planning professional Fees 3 May 14,NE4 7YQ
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PARSONS BRINCKERHOFF LIMITED,630449,10880.34,cc2120 Spatial Planning professional Fees 23 May 14,NE4 7YQ
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,630489,1298.12,Payment for invoice no 90156800,AL2 2DQ
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,630490,3907.9,Payment for invoice no 90156803,AL2 2DQ
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PSI PRODUCTION GMBH,630457,16000,CHARM PCP Lot 1: 1051-2013-0036 HighwayAgency PCP-CHARM-Lot_1,10178
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,630475,1889.76,Payment for invoice no 5915284,RG21 7PP
Department For Transport,Highways Agency,09/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,630460,6974.4,Work done in May (#6974.40),GL1 2NS
Department For Transport,Highways Agency,09/06/2014,Digital Communications,NETWORK SERVICES DIRECTORATE,CENTERPRISE INTERNATIONAL LIMITED,630445,2685.03,Web hosting 24/03 to 24/04,RG24 8GQ
Department For Transport,Highways Agency,09/06/2014,ICT Consultancy Costs,FINANCE & BUSINESS SERVICES,LOCKHEED MARTIN,629859,1200,HA AMS - Service Design: Services Delivered in May 2014,PA4 9LH
Department For Transport,Highways Agency,09/06/2014,Landlord service charges - admin L&B,FINANCE & BUSINESS SERVICES,THE POLICE AND CRIME COMMISSIONER FOR KENT,630477,4000,Coldharbour service charge Quarter 2 inv 1800029838,ME15 9BZ
Department For Transport,Highways Agency,09/06/2014,Lands Costs,NETWORK DELIVERY & DEVELOPMENT,VALUATION OFFICE AGENCY,LOMD247393,1301,HAL99999211//25000019992014,GL4 7RT
Department For Transport,Highways Agency,09/06/2014,Medical services payments,TRAFFIC MANAGEMENT DIRECTORATE,HEALTH MANAGEMENT LTD,630500,1209.6,xxxxx 113608 REFFERAL AND ADVICE/REPORT FEE #1209.60,BN8 5NN
Department For Transport,Highways Agency,09/06/2014,Medical services payments,TRAFFIC MANAGEMENT DIRECTORATE,HEALTH MANAGEMENT LTD,630501,10924.3,"xxxxx 113630 CASE WORK #10,924.30",BN8 5NN
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,NETWORKERS INTERNATIONAL PLC,630425,1351.39,"xxxxx week end 1st June 14 - Invoice 411084524 - 1,126.16 - 4 day week",BR1 1HP
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,BADENOCH & CLARK,630430,1445.28,xxxxx w/e 06/06/2014 5 days worked @ #240.88 daily,W1T 5AE
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,REED SPECIALIST RECRUITMENT LIMITED,630429,2400,xxxxx w/e 06/06/2014 5 days worked @ #400 daily,SW20 0BA
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,MAJOR PROJECTS,HALES GROUP LIMITED,630488,768,Inv No 00386841 Services for xxxxx w/e 30/05/14 32 hours @20per hour,PE10 9NE
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,MAJOR PROJECTS,NETWORKERS INTERNATIONAL PLC,630468,803.57,"xxxxx- 411084521, PE-01/06/2014",BR1 1HP
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,MAJOR PROJECTS,VENN GROUP LIMITED,630422,-11510.57,xxxxx w/e 25/5/14 37.5 hours@17.23 per hour,WC2R 0AA
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,MAJOR PROJECTS,VENN GROUP LIMITED,630462,620.28,xxxxx w/e 1/6/14 30hours@17.23 per hour,WC2R 0AA
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,BROOK STREET (UK)  LTD,630423,603.52,w/e 06/06/14 xxxxx,AL1 4ZX
Department For Transport,Highways Agency,09/06/2014,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,EXPERIS LIMITED,630448,2006.4,xxxxx w/e 08 June worked 5 days @ #334.40,EC1R 3DR
Department For Transport,Highways Agency,09/06/2014,Other external training costs,FINANCE & BUSINESS SERVICES,CAPITA GROUP,630431,792.68,X40941,DL1 9HN
Department For Transport,Highways Agency,09/06/2014,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,630466,14238.33,TM for Surrey police tests,RG24 8WZ
Department For Transport,Highways Agency,09/06/2014,Prepaid expenses - programme,FINANCE & BUSINESS SERVICES,ST MODWEN CORPORATE SERVICES LIMITED,630427,2461.2,NTOC Service charge in advance 24 Jun 14 to 28 Sep 14 inv 487345,B32 1AF
Department For Transport,Highways Agency,09/06/2014,Printing and Reprographics Operating Costs,FINANCE & BUSINESS SERVICES,RICOH UK LIMITED,630432,742.92,NTOC Ricoh MFD Feb to April 14 inv 87878790,NN4 7YB
Department For Transport,Highways Agency,09/06/2014,Rental charges - Admin Buildings,FINANCE & BUSINESS SERVICES,THE POLICE AND CRIME COMMISSIONER FOR KENT,630478,7500,Coldharbour rent quarter 2 14/15 inv 1800029837,ME15 9BZ
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,630436,6242.5,NTOC Space planning survey inv 90364937,OX4 4DQ
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,630485,9096.9,xxxxx Invoice 13047744- PE 31/05/14,BS32 4SY
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,630440,95002.5,IN PAYMENT OF CERT #127,CR7 7XA
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,630455,397690.61,"Balfour Beatty (Task Order 2), Time Charge Order March Application for Payment",CR7 7XA
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,630456,99738.69,"Balfour Beatty (Deep Drainage and Site Clearance), Works Package Order March Application for Payment",CR7 7XA
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,BMJV,630433,2058633.65,BMJV Cert-May 14,GU15 3XW
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,CONNECT PLUS (M25) LTD,630444,16380.43,"M25/1538, M25/1378 & M25/1449 A13 Average Speed Cameras",EN6 3NP
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,630471,5921.88,May 14 fees,GU2 7AR
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,630426,4303.21,Invoice Number:1768700 Date:4/06/2014 Without VAT:3741.92 With VAT:4490.30,G2 7HX
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,630446,9996.08,error correction - Combined March/April Invoice Date 16/05/2014 Amount Without VAT:8692.24 With VAT:#10430.69,G2 7HX
Department For Transport,Highways Agency,09/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,630470,11034.76,"xxxxx invoice- LA281866, PE 01/06/2014",ST1 5UB
