5. Internet and web-based content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,
Internet and web-based content: key international statistics ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN 
,2011,329,427,755.7741935,,,,,,,,,,,,,
,2012,302,385,686.4516129,,,,,,,,,,,,,
ITA,2010,188,226,413.6774194,,,,,,,,,,,,,
,2011,200,215,414.5806452,,,,,,,,,,,,,
,2012,208,219,426.5483871,,,,,,,,,,,,,
USA,2010,323,482,805.4516129,,,,,,,,,,,,,
,2011,357,435,791.4516129,,,,,,,,,,,,,
,2012,323,403,726.4193548,,,,,,,,,,,,,
JPN,2011,292,404,695.9354839,,,,,,,,,,,,,
,2012,292,380,672.4516129,,,,,,,,,,,,,
AUS,2010,311,576,886.7419355,,,,,,,,,,,,,
,2011,345,555,900.516129,,,,,,,,,,,,,
,2012,394,598,992.4193548,,,,,,,,,,,,,
ESP,2010,237,303,539.9032258,,,,,,,,,,,,,
,2011,255,288,543.0645161,,,,,,,,,,,,,
,2012,233,282,514.8387097,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012, home and work panels, applications included.",,,,,,,,,,,,,,,,,
Note: Data series labels show proportions of total minutes for each year. Data from 2010 from Japan is unavailable. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.19,,,,,,,,,,,,,,,,,
"Top ten website brands, by country ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA- ,,JPN,,AUS ,ESP,,,
1,Google,-,Google,- ,Google,- ,Google,- ,Google,- ,Yahoo!,- ,Google ,Google,- ,,
2,Facebook,- ,Facebook,- ,Facebook,- ,Facebook,- ,Facebook,- ,Google,- ,Facebook ,Facebook ,1,,
3,MSN/WindowsLive/Bing ,- ,MSN/WindowsLive/Bing ,- ,YouTube,- ,YouTube,- ,Yahoo!,- ,FC2,- ,MSN/WindowsLive/Bing ,MSN/WindowsLive/Bing ,-1,,
4,YouTube ,2,YouTube ,1,Microsoft,- ,MSN/WindowsLive/Bing ,- ,MSN/WindowsLive/Bing ,- ,YouTube,- ,YouTube ,YouTube,- ,,
5,BBC ,-1,Microsoft ,-1,Amazon ,1,Virgilio ,- ,YouTube,- ,Rakuten ,- ,Microsoft ,Microsoft,- ,,
6,Yahoo! ,-1,Orange,- ,eBay ,-1,Microsoft ,2,Microsoft,- ,Wikipedia,- ,Yahoo! ,Blogger ,1,,
7,Amazon,- ,Wikipedia,- ,Wikipedia ,1,Yahoo! ,-1,AOL Media Network,- ,Ameba ,2,Wikipedia ,Yahoo! ,-1,,
8,eBay,- ,Leboncoin.fr ,N ,MSN/WindowsLive/Bing ,-1,Libero ,-1,Amazon ,N ,Microsoft,- ,eBay ,Wikipedia,- ,,
9,Microsoft,- ,Yahoo! ,-1,T-Online,- ,Wikipedia,- ,Ask Search Network ,1,Livedoor ,1,Apple ,Elmundo.es ,1,,
10,Wikipedia,- ,Free ,-1,gutefrage.net ,N ,Blogger,- ,Wikipedia ,-2,Goo ,-3,Blogger ,Wordpress ,N,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012.",,,,,,,,,,,,,,,,,
"Note: Coloured font indicate brand appears more than once. Includes all internet applications. ?+? or ?-? and a number denotes change in rank since 2011 ICMR publication, ?-? only denotes no change, and ?N? denotes a new entrant to the top 10. Australia rankings available for 2012 only. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.20,,,,,,,,,,,,,,,,,
"Active reach of search engine brands, by country ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Active Reach (%) ,,,,,,,,,,,,,,,,,
Column1,Google,Yahoo!,MSN/WindowsLive/Bing,,,,,,,,,,,,,,
UK,85,48,61,,,,,,,,,,,,,,
FRA,87,34,61,,,,,,,,,,,,,,
GER,82,22,36,,,,,,,,,,,,,,
ITA,87,40,45,,,,,,,,,,,,,,
USA,78,62,57,,,,,,,,,,,,,,
JPN,61,85,36,,,,,,,,,,,,,,
AUS,87,50,67,,,,,,,,,,,,,,
ESP,90,44,67,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, Search Brands per Country, August 2012,  home and work panel, including applications.  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.21,,,,,,,,,,,,,,,,,
Most searched-for terms on Google between August 2011 and August 2012 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country ,1ST ,2ND ,3RD ,Largest increase ,,,,,,,,,,,,,
UK,facebook ,bbc ,youtube ,tubidy ,,,,,,,,,,,,,
FRA,facebook ,youtube ,bon coin,bref ,,,,,,,,,,,,,
GER,facebook ,youtube ,berlin ,kinox.to ,,,,,,,,,,,,,
ITA,facebook ,youtube ,mail ,belen ,,,,,,,,,,,,,
USA,facebook ,you,google ,pinterest ,,,,,,,,,,,,,
CAN,facebook ,youtube ,google ,tumblr ,,,,,,,,,,,,,
JPN,??ÿ1 ,yahoo ,??ÿ2 ,???????ÿ3 ,,,,,,,,,,,,,
AUS,facebook ,youtube ,google ,one direction ,,,,,,,,,,,,,
ESP,facebook ,hotmail ,tuenti ,bankia ,,,,,,,,,,,,,
NED,facebook ,youtube ,marktplaats ,www.hotmail.com ,,,,,,,,,,,,,
SWE,facebook ,youtube ,stockholm ,minecraft,,,,,,,,,,,,,
IRL,facebook ,ireland ,youtube ,fb ,,,,,,,,,,,,,
POL,facebook ,nk ,gry ,tablica.pl ,,,,,,,,,,,,,
BRA,facebook ,jogos ,orkut ,bbb12 ,,,,,,,,,,,,,
RUS,?????????????4 ,?????????????5 ,????????6 ,?????ÿ7 ,,,,,,,,,,,,,
IND,facebook ,download,video ,sunny leone ,,,,,,,,,,,,,
CHN,?ÿ8 ,qq ,?? 9 ,2012,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Google Insights Search Tool, August 2011 to August 2012.",,,,,,,,,,,,,,,,,
Notes: 1. animation 2. image 3. facebook 4. download 5. classmates (odnoklassniki.ru) 6. vkontakte 7. avito  8. Of 9. Game ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.22,,,,,,,,,,,,,,,,,
"Active reach of Facebook, Twitter and Google+ on laptop and desktop computers ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Active reach (%) ,,,,,,,,,,,,,,,,,
 ,Facebook,Twitter,Google +,,,,,,,,,,,,,,
UK,67.18,16.87,9.04,,,,,,,,,,,,,,
FRA,68.21,8.56,8.52,,,,,,,,,,,,,,
GER,58.77,5.17,8.34,,,,,,,,,,,,,,
ITA,71.46,7.69,8.19,,,,,,,,,,,,,,
USA,68.99,15,10.46,,,,,,,,,,,,,,
JAP,27.92,22.94,NA,,,,,,,,,,,,,,
AUS,68.33,13.34,13.7,,,,,,,,,,,,,,
ESP,68.15,17.7,11.58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012, home and work panel, including applications",,,,,,,,,,,,,,,,,
Note: Data unavailable for Google+ in Japan. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.23,,,,,,,,,,,,,,,,,
Use of home internet connection to visit social networking sites ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Use of the internet to visit social network sites (%) ,,,,,,,,,,,,,,,,,
Country,2008,2010,2011,2012,,,,,,,,,,,,,
UK,50,62,59,63,,,,,,,,,,,,,
FRA,27,58,57,59,,,,,,,,,,,,,
GER,34,54,60,59,,,,,,,,,,,,,
ITA,32,66,69,69,,,,,,,,,,,,,
USA,40,64,66,66,,,,,,,,,,,,,
JPN,33,33,40,49,,,,,,,,,,,,,
AUS,,,64,66,,,,,,,,,,,,,
ESP,,,,75,,,,,,,,,,,,,
CHN,,,,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Ofcom consumer research October 2012. ,,,,,,,,,,,,,,,,,
"Base: All respondents, ages 18-64 (UK=945, FRA=778, GER=839, ITA=890, USA=788, JPN=792, AUS=793, ESP=911, CHN=965)",,,,,,,,,,,,,,,,,
"Q8: Which, if any, of the following activities do you use your home internet connection for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.24,,,,,,,,,,,,,,,,,
"Use of home internet connection to visit social networking sites, by age ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Use of internet for social networking (%) ,,,,,,,,,,,,,,,,,
Country,18-24,25-34,35-44,45-54,55+,,,,,,,,,,,,
UK,71,68,63,54,50,,,,,,,,,,,,
FRA,82,72,51,41,35,,,,,,,,,,,,
GER,79,66,56,45,39,,,,,,,,,,,,
ITA,72,73,67,65,48,,,,,,,,,,,,
USA,74,69,71,56,51,,,,,,,,,,,,
JPN,53,51,48,46,29,,,,,,,,,,,,
AUS,70,73,66,58,37,,,,,,,,,,,,
ESP,76,77,76,68,66,,,,,,,,,,,,
CHN,54,54,53,65,53,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Ofcom consumer research October 2012.  ,,,,,,,,,,,,,,,,,
"Base: All respondents ages 18+ (UK=1065, FRA=1016, GER=1024, ITA=1015, USA=1010, JPN=1004, AUS=1007, ESP=1001, CHN=1010)",,,,,,,,,,,,,,,,,
"Q8: Which, if any, of the following activities do you use your home internet connection for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.25,,,,,,,,,,,,,,,,,
Use of mobile phones to visit social networking sites ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mobile owners accessing social networking sites (%) ,,,,,,,,,,,,,,,,,
Country,2011,2012,,,,,,,,,,,,,,,
UK,29,40,,,,,,,,,,,,,,,
FRA,25,27,,,,,,,,,,,,,,,
GER,23,26,,,,,,,,,,,,,,,
ITA,26,32,,,,,,,,,,,,,,,
USA,26,40,,,,,,,,,,,,,,,
JPN,21,35,,,,,,,,,,,,,,,
AUS,29,40,,,,,,,,,,,,,,,
ESP,,43,,,,,,,,,,,,,,,
CHN,,37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Ofcom consumer research October 2012 ,,,,,,,,,,,,,,,,,
"Base: All respondents aged 18-64 who own a smartphone and/or a mobile phone (UK=837, FRA=733, GER=790, ITA=869, USA=684, JPN=531, AUS=759, ESP=883, CHN=899).",,,,,,,,,,,,,,,,,
"Q10. Which, if any, of the following activities do you use your mobile phone for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.26,,,,,,,,,,,,,,,,,
"Use of mobile phones to visit social networking sites, by age ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mobile owners accessing social networking sites (%) ,,,,,,,,,,,,,,,,,
Country,18-24,25-34,35-44,45-54,55+,,,,,,,,,,,,
UK,62,51,37,25,10,,,,,,,,,,,,
FRA,51,36,20,10,6,,,,,,,,,,,,
GER,51,33,26,10,5,,,,,,,,,,,,
ITA,43,39,32,19,10,,,,,,,,,,,,
USA,56,50,45,20,9,,,,,,,,,,,,
JPN,49,41,33,21,4,,,,,,,,,,,,
AUS,59,52,39,18,6,,,,,,,,,,,,
ESP,55,55,36,29,15,,,,,,,,,,,,
CHN,44,39,29,30,33,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Ofcom consumer research October 2012,,,,,,,,,,,,,,,,,
"Base: All respondents ages 18+, who own a smartphone and/or a mobile phone (UK=1011, FRA=951, GER=967, ITA=994, USA=857, JPN=628, AUS=919, ESP=969, CHN=945).",,,,,,,,,,,,,,,,,
"Q10. Which, if any, of the following activities do you use your mobile phone for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.27,,,,,,,,,,,,,,,,,
Active reach of online video websites on laptop and desktop computers ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Active reach (%),,,,,,,,,,,,,,,,,
Country,2011,2012,,,,,,,,,,,,,,,
UK,62.76,62.94,,,,,,,,,,,,,,,
FRA,62.42,67.84,,,,,,,,,,,,,,,
GER,51.28,56.4,,,,,,,,,,,,,,,
ITA,59.32,62.42,,,,,,,,,,,,,,,
USA,65.05,64.55,,,,,,,,,,,,,,,
JPN,61.98,60.14,,,,,,,,,,,,,,,
AUS,58.59,65.44,,,,,,,,,,,,,,,
ESP,64.43,67.02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012 and August 2011, home and work panel, applications included ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.28,,,,,,,,,,,,,,,,,
Top three online video websites among laptop and desktop users ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Site,Active Reach,,,,,,,,,,,,,,,
ESP,Rojadirecta,3.93%,,,,,,,,,,,,,,,
,Series Yonkis,6.27%,,,,,,,,,,,,,,,
,YouTube,62.70%,,,,,,,,,,,,,,,
AUS,Vimeo,4.53%,,,,,,,,,,,,,,,
,Dailymotion,4.74%,,,,,,,,,,,,,,,
,YouTube,60.05%,,,,,,,,,,,,,,,
JPN,FC2 Videos,10.80%,,,,,,,,,,,,,,,
,niwango ,18.17%,,,,,,,,,,,,,,,
,YouTube,50.59%,,,,,,,,,,,,,,,
USA,Hulu,4.99%,,,,,,,,,,,,,,,
,Netflix,9.92%,,,,,,,,,,,,,,,
,YouTube,56.32%,,,,,,,,,,,,,,,
ITA,Rai TV,4.70%,,,,,,,,,,,,,,,
,Coming Soon TV,4.89%,,,,,,,,,,,,,,,
,YouTube,57.46%,,,,,,,,,,,,,,,
GER,Movie2k.to,7.29%,,,,,,,,,,,,,,,
,MyVideo,8.72%,,,,,,,,,,,,,,,
,YouTube,49.60%,,,,,,,,,,,,,,,
FRA,WAT,12.77%,,,,,,,,,,,,,,,
,Dailymotion,20.12%,,,,,,,,,,,,,,,
,YouTube,58.13%,,,,,,,,,,,,,,,
UK,LOVEFiLM.com,6.15%,,,,,,,,,,,,,,,
,BBC iPlayer,15.07%,,,,,,,,,,,,,,,
,YouTube,55.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012, home and work panel, applications included ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.29,,,,,,,,,,,,,,,,,
Value of B2C e-commerce per head 2007-12 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Value per head (œ) ,,,,,,,,,,,,,,,,,
Country,2007,2008,2009,2010,2011,,,,,,,,,,,,
UK,742,771,779,950,"1,083",,,,,,,,,,,,
FRA,210,268,333,411,497,,,,,,,,,,,,
GER,205,253,285,319,377,,,,,,,,,,,,
ITA,70,83,83,97,115,,,,,,,,,,,,
USA,443,455,494,567,620,,,,,,,,,,,,
CAN,229,251,246,318,350,,,,,,,,,,,,
JPN,225,272,349,456,527,,,,,,,,,,,,
AUS,411,406,468,667,842,,,,,,,,,,,,
ESP,112,97,107,136,169,,,,,,,,,,,,
NED,260,308,358,423,462,,,,,,,,,,,,
SWE,384,463,578,668,747,,,,,,,,,,,,
IRL,291,419,401,552,683,,,,,,,,,,,,
POL,30,45,44,59,76,,,,,,,,,,,,
BRA,16,26,42,56,66,,,,,,,,,,,,
RUS,15,25,26,37,49,,,,,,,,,,,,
IND,1,2,2,4,5,,,,,,,,,,,,
CHN,1,0,2,8,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: IMRG B2C Global e-Commerce Overview 2011 Update 01, June 2011; IMRG B2C Global e-Commerce Overview 2012, May 2012",,,,,,,,,,,,,,,,,
Notes: Values converted from Euros to British Sterling (œ1 = ?1.1536). Population figures  from US Census Bureau (end of year estimates from mid-year values)  ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.30,,,,,,,,,,,,,,,,,
Smartphone users accessing online shopping websites ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Smartphone users (%)  ,,,,,,,,,,,,,,,,,
Country,2011,2012,,,,,,,,,,,,,,,
UK,18.4,23.1,,,,,,,,,,,,,,,
FRA,7.6,10.2,,,,,,,,,,,,,,,
GER,16.3,22.6,,,,,,,,,,,,,,,
ITA,9.4,13.6,,,,,,,,,,,,,,,
ESP,5.7,9.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, 3 month average ending May 2011 vs May 2012  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.31,,,,,,,,,,,,,,,,,
Frequency of purchasing digital content online ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internet users (%) ,,,,,,,,,,,,,,,,,
 Country,I regularly pay for  content online,I sometimes pay for content online,I rarely pay for content online,I never pay for any content online,Don't know, NET: Ever pay, NET: Rarely/ never pay, NET: Regularly/ sometime,,,,,,,,,
UK,9,16,17,56,3,41,73,24,,,,,,,,,
FRA,3,8,17,69,3,28,86,11,,,,,,,,,
GER,6,8,18,60,7,33,78,15,,,,,,,,,
ITA,6,13,18,55,7,38,73,20,,,,,,,,,
USA,11,14,20,50,5,45,70,25,,,,,,,,,
JPN,5,9,27,57,1,41,84,14,,,,,,,,,
AUS,8,15,19,52,6,43,71,23,,,,,,,,,
ESP,10,9,18,59,4,37,77,19,,,,,,,,,
CHN,18,34,29,16,2,82,45,53,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Ofcom consumer research September 2012. ,,,,,,,,,,,,,,,,,
"Base: All respondents, UK=1065, FRA=1016, GER=1024, ITA=1015, USA=1010, JPN=1004, AUS=1007, ESP=1001, CHN=1010.",,,,,,,,,,,,,,,,,
"Q14. Which of the following best describes your behaviour with regards to paying for digital content online? Examples of digital content would be newspapers, TV programmes, films, e-books, music tracks, smartphone apps.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.32,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.32,,,,,,,,,,,,,,,,,
The internet as a primary source of news ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of respondents claiming internet was their primary source of world/national/local news (%) ,,,,,,,,,,,,,,,,,
Country,World,National,Local,,,,,,,,,,,,,,
UK,36,38,32,,,,,,,,,,,,,,
FRA,28,26,26,,,,,,,,,,,,,,
GER,26,27,26,,,,,,,,,,,,,,
ITA,57,49,47,,,,,,,,,,,,,,
USA,39,40,30,,,,,,,,,,,,,,
JPN,40,39,30,,,,,,,,,,,,,,
AUS,32,31,24,,,,,,,,,,,,,,
ESP,39,41,42,,,,,,,,,,,,,,
CHN,71,74,55,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Ofcom consumer research October 2011. ,,,,,,,,,,,,,,,,,
"Base: UK=1065, FRA=1016, GER=1024, ITA=1015, USA=1010, JPN=1004, AUS=1007, ESP=1001, CHN=1010. Responses are cumulative figures for internet on computer/mobile phone/smartphone/tablet",,,,,,,,,,,,,,,,,
"Q11. Which, if any, is your main source for the following information? News about the world; news about your country; news about your region/locality. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.33,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.33,,,,,,,,,,,,,,,,,
Frequency of accessing news websites/apps among smartphone owners ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Smartphone users (%)  ,,,,,,,,,,,,,,,,,
Country,Almost every day,At least once each week,Once to three times throughout the month,Ever in month,,,,,,,,,,,,,
UK,15.8,15.5,15.5,46.8,,,,,,,,,,,,,
FRA,11.3,11.1,14.1,36.6,,,,,,,,,,,,,
GER,10.4,10.8,13.8,35,,,,,,,,,,,,,
ITA,10.2,9.4,11.2,30.9,,,,,,,,,,,,,
ESP,10.3,9.7,12.2,32.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, 3 Month Average Ending January 2012",,,,,,,,,,,,,,,,,
Base: Smartphone users aged13+ ,,,,,,,,,,,,,,,,,
