YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,3202,3000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,3047190,3047190,Gadus Morhua,Gadus Morhua,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,18146,17000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-13,2017,Q4,12,13,3047190,3047190,Gadus Morhua,Gadus Morhua,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,22750,21553.92,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,3047190,3047190,Gadus Morhua,Gadus Morhua,-
2017,Q4,11,27,CN,GB,"Southampton, P",GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,2345,1500.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-04,2017,Q4,12,4,230910,230910,-,,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,25700,14196,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,3074399,3074399,Todarodes Spp,Todarodes Spp,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,21000,14745,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-01,2017,Q4,12,1,3074399,3074399,Todarodes Spp,Todarodes Spp,-
2017,Q4,11,27,IN,GB,"Southampton, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,19000,15200,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-08,2017,Q4,12,8,3061792,3061792,Penaeus (Litopenaeus) Vannamei,Penaeus (Litopenaeus) Vannamei,Chloramphenicol
2017,Q4,11,27,IN,GB,"Southampton, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,19000,15200,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-08,2017,Q4,12,8,3061792,3061792,Penaeus (Litopenaeus) Vannamei,Penaeus (Litopenaeus) Vannamei,Nitrofurans
2017,Q4,11,27,IN,GB,"Southampton, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,19000,15200,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-08,2017,Q4,12,8,3061792,3061792,Penaeus (Litopenaeus) Vannamei,Penaeus (Litopenaeus) Vannamei,Tetracyclines
2017,Q4,11,27,CN,GB,"Southampton, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,19000,15396.48,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-18,2017,Q4,12,18,1905,1905,-,,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3032500,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Cirrhinus Cirrhosus,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3032500,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Labeo Rohita,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3035990,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Pampus Argenteus,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3038910,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Lates Calcarifer,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3038910,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Sperata Seenghala,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3038910,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Systomus Sarana,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3038910,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Tenualosa Ilisha,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,MM,GB,"Southampton, P",GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,24211,22996,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,3038910,03032500|03032500|03035990|03038910|03038910|03038910|03038910|03038910,Wallago Attu,Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Pampus Argenteus|Sperata Seenghala|Systomus Sarana|Tenualosa Ilisha|Wallago Attu,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,1281.06,1211.1,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-03,2017,Q4,12,3,20890,020890|020890|020890,Cervus - Rucervus Spp,Cervus - Rucervus Spp|Cervus - Rucervus Spp|Cervus - Rucervus Spp,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19475.3,18315.96,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-03,2017,Q4,12,3,2042230,02042230|02042230|02042250|02042290|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19475.3,18315.96,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-03,2017,Q4,12,3,2042250,02042230|02042230|02042250|02042290|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19475.3,18315.96,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-03,2017,Q4,12,3,2042290,02042230|02042230|02042250|02042290|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19475.3,18315.96,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-03,2017,Q4,12,3,2042300,02042230|02042230|02042250|02042290|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13420.92,12661.52,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,2042250,02042250|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13420.92,12661.52,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,2042300,02042250|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13346.94,12598.14,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,2042250,2042250,Ovis Aries,Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13071.46,12326.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,2042250,02042250|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13071.46,12326.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,2042300,02042250|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,27,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13568.4,12840.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,2042250,2042250,Ovis Aries,Ovis Aries,-
2017,Q4,11,27,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10676.88,7560,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910|230910|230910,Aves,Aves|Otra|Pesca|Ungulates,-
2017,Q4,11,27,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10676.88,7560,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910|230910|230910,Otra,Aves|Otra|Pesca|Ungulates,-
2017,Q4,11,27,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10676.88,7560,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910|230910|230910,Pesca,Aves|Otra|Pesca|Ungulates,-
2017,Q4,11,27,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10676.88,7560,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910|230910|230910,Ungulates,Aves|Otra|Pesca|Ungulates,-
2017,Q4,11,27,TH,GB,"Southampton, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,22220,20000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-11,2017,Q4,12,11,160232,160232,Aves,Aves,-
2017,Q4,11,27,NZ,GB,Heathrow,GB,GB,NZ,New Zealand,GB,CVEDP,No,Technical Use,5.92,4.38,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-12-06,2017,Q4,12,6,402,402,Bos Taurus,Bos Taurus,-
2017,Q4,11,27,NZ,GB,Heathrow,GB,GB,NZ,New Zealand,GB,CVEDP,No,Technical Use,5.92,4.38,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,3. Non Approved Establishment,2017-12-06,2017,Q4,12,6,402,402,Bos Taurus,Bos Taurus,-
2017,Q4,11,27,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,17687.66,17427.72,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,2069099,2069099,Ovis Aries,Ovis Aries,-
2017,Q4,11,27,CN,GB,"Southampton, P",GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6729.2,4789.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910,Ungulates,Ungulates,-
2017,Q4,11,27,IL,GB,"Felixstowe, P",GB,GB,IL,Israel,GB,CVEDP,No,Human Consumption,9800.5,9065.38,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-07,2017,Q4,12,7,160100,160100|160231|160231|160232,Aves,Aves|Aves|Aves|Aves,-
2017,Q4,11,27,IL,GB,"Felixstowe, P",GB,GB,IL,Israel,GB,CVEDP,No,Human Consumption,9800.5,9065.38,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-07,2017,Q4,12,7,160231,160100|160231|160231|160232,Aves,Aves|Aves|Aves|Aves,-
2017,Q4,11,27,IL,GB,"Felixstowe, P",GB,GB,IL,Israel,GB,CVEDP,No,Human Consumption,9800.5,9065.38,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-07,2017,Q4,12,7,160232,160100|160231|160231|160232,Aves,Aves|Aves|Aves|Aves,-
2017,Q4,11,27,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,3768.75,2814,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-28,2017,Q4,12,28,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,27,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,3768.75,2814,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-28,2017,Q4,12,28,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,27,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,18760,17165,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,16041428,16041428,Katsuwonus (Euthynnus) Pelamis,Katsuwonus (Euthynnus) Pelamis,-
2017,Q4,11,27,VN,GB,"Felixstowe, P",GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,17221.5,12160.8,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-01,2017,Q4,12,1,16052900,16052900,Litopenaeus Vannamei,Litopenaeus Vannamei,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,23270,17184,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,3032300,3032300,Oreochromis Spp,Oreochromis Spp,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,23500,17800,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,3032300,3032300,Oreochromis Spp,Oreochromis Spp,-
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Aerobic microorganisms 30?C
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Enterobacteriaceae
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Eschericia coli
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Listeria monocytogenes
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Listeria spp (excl L. monocytogenes)
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Salmonella spp.
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,15900,15000,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,29329900,29329900|29329900,/,/|/,Staphylococcus aureus
2017,Q4,11,27,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,13960,12340,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-13,2017,Q4,12,13,3074950,03074950|03074950,Nototodarus Sloanii,Nototodarus Sloanii|Nototodarus Sloanii,-
2017,Q4,11,28,US,GB,"Southampton, P",GB,GB,US,United States,GB,CVEDP,No,Human Consumption,18840,14620.32,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-09,2017,Q4,12,9,16041100,16041100,Onchorhynchus Gorbusha,Onchorhynchus Gorbusha,-
2017,Q4,11,28,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12870.5,12300.72,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-05,2017,Q4,12,5,2044250,02044250|02044250,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,11,28,VN,GB,"Grimsby-Immingham, P",GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,26400,22000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,3046200,3046200,Pangasius Hypophthalmus,Pangasius Hypophthalmus,-
2017,Q4,11,28,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,4950,4500,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,51199,51199,Invertebrata,Invertebrata,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,24245.12,23507.28,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-17,2017,Q4,12,17,2044230,02044230|02044230|02044250|02044310|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,24245.12,23507.28,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-17,2017,Q4,12,17,2044250,02044230|02044230|02044250|02044310|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,24245.12,23507.28,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-17,2017,Q4,12,17,2044310,02044230|02044230|02044250|02044310|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,24245.12,23507.28,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-17,2017,Q4,12,17,2069099,02044230|02044230|02044250|02044310|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,24270.38,22974.14,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-16,2017,Q4,12,16,2042250,02042250|02042250,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19591,18514.86,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-16,2017,Q4,12,16,2042250,02042250|02042250,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,23691.18,22378.34,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-17,2017,Q4,12,17,2042250,02042250|02042250,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,11,28,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,23465.7,22160.62,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-16,2017,Q4,12,16,2042250,02042250|02042250,Ovis Aries,Ovis Aries|Ovis Aries,-
