UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090001,09/01/2017," GLASS, PAINT, WALLPAPER STORES ",BRA,Building Materials,508.02,FLAVIO NASCIMENTO SANT
FCOGPC2017090002,09/01/2017," ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES ",IND,Professional Services,511.47,CONCEPTS
FCOGPC2017090003,09/01/2017," FUEL DEALERS-COAL, FUEL OIL, LIQ PETROLEUM, WOOD ",BRB,Utilities and Non Automotive Fuel,521.92,SOL BARBADOS LTD
FCOGPC2017090004,09/01/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,GBR,Professional Services,540,PETERS & MAY LTD
FCOGPC2017090005,09/01/2017, TRAVEL ,GBR,Airline,551.87,AIRLINE
FCOGPC2017090006,09/01/2017, TRAVEL ,BGR,Airline,562.45,AIRLINE
FCOGPC2017090007,09/01/2017, TRAVEL ,MNG,Airline,572.91,AIRLINE
FCOGPC2017090008,09/01/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,581.79,WILTS ELECTRICAL
FCOGPC2017090009,09/01/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",HRV,Utilities and Non Automotive Fuel,618.84,FINA 30101 ZAGREB
FCOGPC2017090010,09/01/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,627.21,DIGITAL XPRESS PRINTIN
FCOGPC2017090011,09/01/2017, TRAVEL ,GBR,Airline,686.4,AIRLINE
FCOGPC2017090012,09/01/2017, BOOK STORES ,GBR,Books and Periodicals,702.68,STATIONERY OFFICE BOOK
FCOGPC2017090013,09/01/2017, MONEY TRANSFER-MERCHANT ,POL,Cash,715.71,POCZTA POLSKA
FCOGPC2017090014,09/01/2017, AUTOMOBILE PARKING LOTS AND GARAGES ,USA,General Retail and Wholesale,717.92,06222 - ONE BROADWAY U
FCOGPC2017090015,09/01/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",BRB,Personal Services,728.24,G4S SECURE SOLUTIONS
FCOGPC2017090016,09/01/2017, MONEY TRANSFER-MERCHANT ,POL,Cash,753.45,POCZTA POLSKA
FCOGPC2017090017,09/01/2017, AUTOMOTIVE BODY REPAIR SHOPS ,USA,"Vehicles, servicing and spares",758.28,EARL SCHEIB
FCOGPC2017090018,09/01/2017, MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES ,ZAF,Miscellaneous Industrial/Commercial Supplies,761.73,CLAREMONT HOME APPLI
FCOGPC2017090019,09/01/2017, MOTOR VEHICLE SUPPLIES AND NEW PARTS ,NGA,"Vehicles, servicing and spares",821.85,THONNIE CHUKWU MOTORS
FCOGPC2017090020,09/01/2017, HARDWARE STORES ,FIN,General Retail and Wholesale,822.28,PARASLUKKO SECU
FCOGPC2017090021,09/01/2017, HOTELS/MOTELS/RESORTS  ,TCA,Hotels,832.79,ACCOMODATION PROVIDER
FCOGPC2017090022,09/01/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",ZAF,Building Services,866.23,GHIZA PLUMBERS (PTY) L
FCOGPC2017090023,09/01/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,881.28,WWW.CREATEFOOD.CO.UK
FCOGPC2017090024,09/01/2017, COMPUTER SOFTWARE STORES ,JAM,Computer Equipment & Services,899,THE PC SHOP
FCOGPC2017090025,09/01/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,CHN,General Retail and Wholesale,908.29,BEI JING YUN HU SHANG
FCOGPC2017090026,09/01/2017, COMPUTER SOFTWARE STORES ,GRC,Computer Equipment & Services,913.79,PLAISIO COMPUTERS
FCOGPC2017090027,09/01/2017, AUTOMOTIVE BODY REPAIR SHOPS ,CYP,"Vehicles, servicing and spares",918.56,SAVVAS MATTHEOU SHOP
FCOGPC2017090028,09/01/2017, FLORISTS ,GBR,Estate and garden Services,936,JANE WADHAM FLORAL DES
FCOGPC2017090029,09/01/2017," ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES ",ITA,Clubs/Associations/Organisations,949.22,LIPU LEGA ITALIANA 625
FCOGPC2017090030,09/01/2017, MONEY TRANSFER-MERCHANT ,GBR,Cash,"1,001.74",TRANSFERWISE
FCOGPC2017090031,09/01/2017," EATING PLACES, RESTAURANTS ",SWE,Restuarants and Bars,"1,001.95",AVEQIA STOCKHOLM
FCOGPC2017090032,09/01/2017," GIFT, CARD, NOVELTY AND SOUVENIR SHOPS ",IND,General Retail and Wholesale,"1,029.12",HARYALI
FCOGPC2017090033,09/01/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,064.00",ACCOMODATION PROVIDER
FCOGPC2017090034,09/01/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,MOZ,Professional Services,"1,086.15",MALEIANE IMPORT E EXPO
FCOGPC2017090035,09/01/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",IRL,General Retail and Wholesale,"1,089.71",MICHAEL MURPHY HOME FU
FCOGPC2017090036,09/01/2017, HARDWARE STORES ,FIN,General Retail and Wholesale,"1,096.49",PARASLUKKO SECU
FCOGPC2017090037,09/01/2017, COMPUTER SOFTWARE STORES ,JAM,Computer Equipment & Services,"1,179.49",THE PC SHOP
FCOGPC2017090038,09/01/2017, TENT AND AWNING SHOPS ,GRC,General Retail and Wholesale,"1,188.80",TENTAGON
FCOGPC2017090039,09/01/2017, LIMOUSINES AND TAXICABS ,FRA,Travel - Air/Rail/Road,"1,318.36",GIVERNY CONSULT
FCOGPC2017090040,09/01/2017, COMPUTER SOFTWARE STORES ,JAM,Computer Equipment & Services,"1,406.04",THE PC SHOP
FCOGPC2017090041,09/01/2017," EATING PLACES, RESTAURANTS ",SWE,Restuarants and Bars,"1,440.30",AVEQIA STOCKHOLM
FCOGPC2017090042,09/01/2017, DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH. ,BRA,General Retail and Wholesale,"2,960.57",PAYPAL PAULA
FCOGPC2017090043,09/01/2017, LIMOUSINES AND TAXICABS ,JPN,Travel - Air/Rail/Road,"3,508.64",NIHONKOTSUUAKASAKAEIGY
FCOGPC2017090044,09/01/2017, LIMOUSINES AND TAXICABS ,JPN,Travel - Air/Rail/Road,"3,709.75",NIHONKOTSUUAKASAKAEIGY
FCOGPC2017090045,09/02/2017, CARPENTRY CONTRACTORS ,GRC,Building Services,522.01,MANOLAS DIMITRIOS
FCOGPC2017090046,09/02/2017, MISCELLANEOUS PUBLISHING AND PRINTING ,AUS,Print and advertising,548.96,FAIRFAX MEDIA GRP78
FCOGPC2017090047,09/02/2017, HOTELS/MOTELS/RESORTS  ,NZL,Hotels,549.17,ACCOMODATION PROVIDER
FCOGPC2017090048,09/02/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",GBR,Computer Equipment & Services,617.39,WWW.MISCO.CO.UK
FCOGPC2017090049,09/02/2017, TRAVEL AGENCIES ,GBR,Travel Agencies,627.8,OPODO LTD
FCOGPC2017090050,09/03/2017, MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS ,USA,General Retail and Wholesale,516.56,BED BATH & BEYOND #20
FCOGPC2017090051,09/04/2017, COMPUTER SOFTWARE STORES ,GBR,Computer Equipment & Services,500,WRAP
FCOGPC2017090052,09/04/2017, AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED ,JPN,Auto rental,512.03,TOYOTARENTARISUNAGOYAM
FCOGPC2017090053,09/04/2017, COMPUTER NETWORK/INFORMATION SERVICES ,IRL,Computer Equipment & Services,514.51,DROPBOX NKLRV75N13X9
FCOGPC2017090054,09/04/2017, COMPUTER SOFTWARE STORES ,ZAF,Computer Equipment & Services,514.83,CARTRIDGE HYPER
FCOGPC2017090055,09/04/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",GBR,Personal Services,542.5,SERVEST SECURITY SERVI
FCOGPC2017090056,09/04/2017, LANDSCAPING AND HORTICULTURAL SERVICES ,ZAF,Estate and garden Services,580.01,LEN'S GARDEN SERVICE
FCOGPC2017090057,09/04/2017, AUTOMOTIVE SERVICE SHOPS ,IND,"Vehicles, servicing and spares",600.79,AMP MOTORS PVT LTD
FCOGPC2017090058,09/04/2017, DEPARTMENT STORES ,CMR,General Retail and Wholesale,607.75,ETS NTI ELECTRICITE
FCOGPC2017090059,09/04/2017, CATERERS ,DEU,Catering and Catering Supplies,620.02,SUMUP   CHEF 2 RENT
FCOGPC2017090060,09/04/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",GRC,General Retail and Wholesale,687.33,IKEA KIFISOU
FCOGPC2017090061,09/04/2017, AUTOMOTIVE SERVICE SHOPS ,IND,"Vehicles, servicing and spares",693.55,AMP MOTORS PVT LTD
FCOGPC2017090062,09/04/2017, HOUSEHOLD APPLIANCE STORES ,GRC,General Retail and Wholesale,696.51,FOTELLIS SECURITY
FCOGPC2017090063,09/04/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",BIH,General Retail and Wholesale,698.74,JYSK D.O.O. SARAJEVO J
FCOGPC2017090064,09/04/2017, CATERERS ,GBR,Catering and Catering Supplies,723,ALISON PRICE AND COMPA
FCOGPC2017090065,09/04/2017," BUILDING MATERIALS, LUMBER STORES ",JAM,Building Materials,808.76,DESIGN OPTIONS LIMITED
FCOGPC2017090066,09/04/2017," COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS ",ISR,Mail and Courier Services,836.01,ROTERO HOVALA
FCOGPC2017090067,09/04/2017, HOTELS/MOTELS/RESORTS  ,TJK,Hotels,837.17,ACCOMODATION PROVIDER
FCOGPC2017090068,09/04/2017, COMPUTER SOFTWARE STORES ,GRC,Computer Equipment & Services,863.22,PLAISIO COMPUTERS
FCOGPC2017090069,09/04/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",ARE,Financial Services,866.68,ROYAL & SUN ALLIANCE I
FCOGPC2017090070,09/04/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",KEN,"Vehicles, servicing and spares",871.82,TOYOTA PARTS U HWAY
FCOGPC2017090071,09/04/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,CZE,Professional Services,890.83,CHANNEL CROSSINGS
FCOGPC2017090072,09/04/2017," FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES ",GBR,General Retail and Wholesale,904.2,COLEFAX & FOWLER L
FCOGPC2017090073,09/04/2017, POSTAL SERVICES-GOVERNMENT ONLY ,FIN,Mail and Courier Services,942.45,POSTI  OY
FCOGPC2017090074,09/04/2017," COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS ",ISR,Mail and Courier Services,992.76,ROTERO HOVALA
FCOGPC2017090075,09/04/2017, TRAVEL AGENCIES ,GHA,Travel Agencies,"1,043.69",TRAVEL PLACES LIMITED
FCOGPC2017090076,09/04/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",BWA,Utilities and Non Automotive Fuel,"1,045.82",SKIP HIRE
FCOGPC2017090077,09/04/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,076.30",ACCOMODATION PROVIDER
FCOGPC2017090078,09/04/2017, DOLLAR RENT A CAR ,PER,Auto rental,"1,077.71",DOLLAR RENT A CAR
FCOGPC2017090079,09/04/2017, OFFICE AND COMMERCIAL FURNITURE ,GBR,"Office Stationery, equipment and supplies","1,111.80",WWW.ERONOMICS.CO.
FCOGPC2017090080,09/04/2017, OFFICE AND COMMERCIAL FURNITURE ,GBR,"Office Stationery, equipment and supplies","1,111.80",WWW.ERONOMICS.CO.
FCOGPC2017090081,09/04/2017, DEPARTMENT STORES ,GBR,General Retail and Wholesale,"1,170.00",WWW.JOHNLEWIS.COM
FCOGPC2017090082,09/04/2017, DEPARTMENT STORES ,GBR,General Retail and Wholesale,"1,218.75",WWW.JOHNLEWIS.COM
FCOGPC2017090083,09/04/2017, MISCELLANEOUS GENERAL MERCHANDISE ,MEX,General Retail and Wholesale,"1,237.11",CLIP MX«SERVICIOS GENE
FCOGPC2017090084,09/04/2017," SCHOOLS, BUSINESS AND SECRETARIAL ",GBR,Training and Educational,"1,308.72",PAYPAL  ABAPROCMNT
FCOGPC2017090085,09/04/2017," SCHOOLS, BUSINESS AND SECRETARIAL ",GBR,Training and Educational,"1,340.23",PAYPAL  ABAPROCMNT
FCOGPC2017090086,09/04/2017," SCHOOLS, BUSINESS AND SECRETARIAL ",GBR,Training and Educational,"1,340.23",PAYPAL  ABAPROCMNT
FCOGPC2017090087,09/04/2017, HOTELS/MOTELS/RESORTS  ,IDN,Hotels,"1,344.00",ACCOMODATION PROVIDER
FCOGPC2017090088,09/04/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",LVA,Training and Educational,"1,403.71","TURIBA, STUDIJU INFORM"
FCOGPC2017090089,09/04/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,CZE,Professional Services,"1,436.22",CHANNEL CROSSINGS
FCOGPC2017090090,09/04/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",GBR,Training and Educational,"1,500.00",LSE COMMERCIAL DEBT
FCOGPC2017090091,09/04/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",PAN,Training and Educational,"1,598.88",QUALITY LEADERSHIP UNI
FCOGPC2017090092,09/04/2017, COMPUTER SOFTWARE STORES ,GBR,Computer Equipment & Services,"1,955.00",WILDLIFESERVICESCOUK
FCOGPC2017090093,09/04/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"8,728.70",ACCOMODATION PROVIDER
FCOGPC2017090094,09/05/2017," INSULATION,MASONRY,PLSTER,STONEWRK,TILESET CNTRCTR ",AZE,Building Services,506.64,ISGENDER
FCOGPC2017090095,09/05/2017, TRAVEL ,GBR,Airline,520.87,AIRLINE
FCOGPC2017090096,09/05/2017, DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH. ,BRA,General Retail and Wholesale,532.78,PAYPAL PAULA
FCOGPC2017090097,09/05/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,546.74,LAMB TAVERN
FCOGPC2017090098,09/05/2017, BAKERIES ,PAN,Catering and Catering Supplies,565.78,DELIBOQUITAS'S
FCOGPC2017090099,09/05/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,567.74,BILCOURT T/A SUPERLEC
FCOGPC2017090100,09/05/2017, AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS ,GBR,Building Services,610.49,PIPELAG.COM
FCOGPC2017090101,09/05/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",USA,General Retail and Wholesale,643.33,IKEA HOME SHOPPING
FCOGPC2017090102,09/05/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,NZL,Miscellaneous Industrial/Commercial Supplies,652.01,FORUMPOINT 2 LIMITED
FCOGPC2017090103,09/05/2017," EATING PLACES, RESTAURANTS ",ROM,Restuarants and Bars,652.33,RESTAURANT SNOW
FCOGPC2017090104,09/05/2017, VARIETY STORES ,SRB,General Retail and Wholesale,662.87,BLUE LINE PRODAVNICA 1
FCOGPC2017090105,09/05/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",EGY,General Retail and Wholesale,679.32,IKEA-TERMINAL 17
FCOGPC2017090106,09/05/2017, HOUSEHOLD APPLIANCE STORES ,KEN,General Retail and Wholesale,691.77,HOT POINT APPLI
FCOGPC2017090107,09/05/2017, TRAVEL ,ECU,Airline,698.08,AIRLINE
FCOGPC2017090108,09/05/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",FIN,General Retail and Wholesale,703.49,IKEA ONLINE STORE
FCOGPC2017090109,09/05/2017," COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS ",GBR,Computer Equipment & Services,714,PETROSPOT LIMITED
FCOGPC2017090110,09/05/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,743.54,WILTS ELECTRICAL
FCOGPC2017090111,09/05/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,768,CONTACT PROPERTY
FCOGPC2017090112,09/05/2017," MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS ",AUT,Catering and Catering Supplies,782.98,METRO 1110
FCOGPC2017090113,09/05/2017, AUTOMOTIVE TIRE STORES ,KEN,"Vehicles, servicing and spares",811,SILVERSTONE TYR
FCOGPC2017090114,09/05/2017," COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED ",FRA,Miscellaneous Industrial/Commercial Supplies,817.15,J.M. BRUNEAU
FCOGPC2017090115,09/05/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,849.6,WWW.UBIQUS.CO.UK
FCOGPC2017090116,09/05/2017, MISCELLANEOUS GENERAL MERCHANDISE ,MEX,General Retail and Wholesale,864.49,CLIP MX«SERVICIOS GENE
FCOGPC2017090117,09/05/2017," GROCERY STORES, SUPERMARKETS ",RUS,General Retail and Wholesale,867.51,METRO CASH&CARRY 1013
FCOGPC2017090118,09/05/2017," EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL ",IRL,Miscellaneous Industrial/Commercial Supplies,890.55,EVENT BARS
FCOGPC2017090119,09/05/2017," CLEANING AND MAINTENANCE, JANITORIAL SERVICES ",SRB,Cleaning Services and Supplies,895.63,GREEN MASTER DOO
FCOGPC2017090120,09/05/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,911.54,OPUS RESTAURANT
FCOGPC2017090121,09/05/2017, DEPARTMENT STORES ,ZAF,General Retail and Wholesale,950.18,DION WIRED BLUE ROUT
FCOGPC2017090122,09/05/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,986.12,THE HOME SQUARE
FCOGPC2017090123,09/05/2017, REAL ESTATE AGENTS AND MANAGERS-RENTALS ,USA,Uncategorised,988.2,TMS VANDERBILT APPRAIS
FCOGPC2017090124,09/05/2017, REAL ESTATE AGENTS AND MANAGERS-RENTALS ,USA,Uncategorised,988.2,TMS VANDERBILT APPRAIS
FCOGPC2017090125,09/05/2017," OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES ",GBR,"Office Stationery, equipment and supplies","1,007.10",BANNER GROUP LTD
FCOGPC2017090126,09/05/2017," OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES ",GBR,"Office Stationery, equipment and supplies","1,007.10",BANNER GROUP LTD
FCOGPC2017090127,09/05/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",KEN,"Vehicles, servicing and spares","1,092.81",RMA MOTORS(KENYA)LIMIT
FCOGPC2017090128,09/05/2017," GLASS, PAINT, WALLPAPER STORES ",ZAF,Building Materials,"1,103.75",GLASSHOPPER
FCOGPC2017090129,09/05/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,IRL,Miscellaneous Industrial/Commercial Supplies,"1,104.85",EB  SEARCH INSIDE YOUR
FCOGPC2017090130,09/05/2017, HOUSEHOLD APPLIANCE STORES ,IND,General Retail and Wholesale,"1,152.75",ARVEE SALES
FCOGPC2017090131,09/05/2017, HOTELS/MOTELS/RESORTS  ,PAN,Hotels,"1,178.46",ACCOMODATION PROVIDER
FCOGPC2017090132,09/05/2017," MARINAS, MARINE SERVICE/SUPPLIES ",GRD,General Retail and Wholesale,"1,186.58",CAMPER AND NICHOLSONS
FCOGPC2017090133,09/05/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",BRB,Computer Equipment & Services,"1,208.19",ATLANTIC COMPUTERS
FCOGPC2017090134,09/05/2017," SANITATION, POLISHING & SPECIALITY CLEANING PREP ",JAM,Cleaning Services and Supplies,"1,228.62",C & R ENTERPRISE
FCOGPC2017090135,09/05/2017, ADVERTISING SERVICES ,IRL,Print and advertising,"1,277.36",WWW.JOBS.IE
FCOGPC2017090136,09/05/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,"1,296.00",WWW.UBIQUS.CO.UK
FCOGPC2017090137,09/05/2017, ELECTRICAL CONTRACTORS ,GBR,Building Services,"1,473.40",R&M ELECTRICAL GRO
FCOGPC2017090138,09/05/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,480.00",ACCOMODATION PROVIDER
FCOGPC2017090139,09/05/2017, AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS ,GBR,Building Services,"2,025.00",WWW.COOLTECHAIRCONDITI
FCOGPC2017090140,09/05/2017, AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS ,GBR,Building Services,"2,195.00",WWW.COOLTECHAIRCONDITI
FCOGPC2017090141,09/06/2017, AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS ,IND,Building Services,506.88,UTILITY SERVICES
FCOGPC2017090142,09/06/2017, MISCELLANEOUS GENERAL MERCHANDISE ,ISR,General Retail and Wholesale,523.13,POLAR ELECTRONIC LTD
FCOGPC2017090143,09/06/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",MMR,General Retail and Wholesale,536.35,KAYTUMADI COMPANY LTD;
FCOGPC2017090144,09/06/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,537.6,DINE CONTRACT CATERING
FCOGPC2017090145,09/06/2017, STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP. ,EGY,"Office Stationery, equipment and supplies",545.54,CAIRO OFFICE
FCOGPC2017090146,09/06/2017, ELECTRONIC SALES ,GBR,General Retail and Wholesale,548.79,CURRYS ONLINE
FCOGPC2017090147,09/06/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",USA,Personal Services,549.43,PHOENIX FIRE SYSTEMS
FCOGPC2017090148,09/06/2017," GROCERY STORES, SUPERMARKETS ",CMR,General Retail and Wholesale,551.02,MAHIMA YAOUNDE
FCOGPC2017090149,09/06/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,KOR,Professional Services,551.9,JOO)RAIZIWOOM
FCOGPC2017090150,09/06/2017, STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP. ,KWT,"Office Stationery, equipment and supplies",576.84,AROMA STATIONARY CENTE
FCOGPC2017090151,09/06/2017, HOUSEHOLD APPLIANCE STORES ,GHA,General Retail and Wholesale,626.23,UNA AGENCIES LI
FCOGPC2017090152,09/06/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",GBR,Training and Educational,630,MEDIA TRAINING LTD
FCOGPC2017090153,09/06/2017, MISCELLANEOUS GENERAL MERCHANDISE ,RWA,General Retail and Wholesale,635.37,AZ IMPEX
FCOGPC2017090154,09/06/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",JAM,"Vehicles, servicing and spares",651.6,STEWARTS AUTO SALES LT
FCOGPC2017090155,09/06/2017, BOOK STORES ,IRL,Books and Periodicals,707.46,IIEA.COM
FCOGPC2017090156,09/06/2017," GROCERY STORES, SUPERMARKETS ",FRA,General Retail and Wholesale,738.39,METRO NANTER 16
FCOGPC2017090157,09/06/2017, COMPUTER SOFTWARE STORES ,COL,Computer Equipment & Services,756.31,SANNIC TECNOLOGY
FCOGPC2017090158,09/06/2017, CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED ,MEX,Building Materials,765.14,REFRI ACERO INOX
FCOGPC2017090159,09/06/2017, CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED ,MEX,Building Materials,765.14,REFRI ACERO INOX
FCOGPC2017090160,09/06/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",KOR,Computer Equipment & Services,768.42,KCP-CONFERENCE
FCOGPC2017090161,09/06/2017, MISCELLANEOUS GENERAL MERCHANDISE ,ISR,General Retail and Wholesale,784.71,POLAR ELECTRONIC LTD
FCOGPC2017090162,09/06/2017, HOME SUPPLY WAREHOUSE STORES ,CRI,General Retail and Wholesale,788.22,PERSIANAS CANET
FCOGPC2017090163,09/06/2017, HOME SUPPLY WAREHOUSE STORES ,CRI,General Retail and Wholesale,788.22,PERSIANAS CANET
FCOGPC2017090164,09/06/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,799.96,SUPPLY PLUS LTD
FCOGPC2017090165,09/06/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",EST,Building Services,805.34,VESIMAA OY
FCOGPC2017090166,09/06/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,RWA,Miscellaneous Industrial/Commercial Supplies,819.79,PAN AFRICAN LOGISTICS
FCOGPC2017090167,09/06/2017, AUTOMOTIVE TIRE STORES ,KEN,"Vehicles, servicing and spares",835.49,SILVERSTONE TYR
FCOGPC2017090168,09/06/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",GBR,Financial Services,856.8,MEDIA INSURANCE
FCOGPC2017090169,09/06/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,912.66,PAYU NON 3D GLOBAL
FCOGPC2017090170,09/06/2017, DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH. ,BRA,General Retail and Wholesale,949.62,PAYPAL PAULA
FCOGPC2017090171,09/06/2017, CATERERS ,GBR,Catering and Catering Supplies,995.41,PAYPAL  AELASSOCIAT
FCOGPC2017090172,09/06/2017, SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED ,GBR,Training and Educational,999,PERPETUITY TRAININ
FCOGPC2017090173,09/06/2017, HOTELS/MOTELS/RESORTS  ,MNG,Hotels,"1,010.10",ACCOMODATION PROVIDER
FCOGPC2017090174,09/06/2017, DIRECT MARKETING-CATALOG MERCHANTS ,GBR,Mail Order / Direct Selling,"1,017.94",WWW.NISBETS.COM
FCOGPC2017090175,09/06/2017, TELECOM INCL PREPAID/RECURRING PHONE SVCS ,ZMB,Telecommunication Services,"1,031.18",MTN ZAMBIA MAANU CENTR
FCOGPC2017090176,09/06/2017," GROCERY STORES, SUPERMARKETS ",ISR,General Retail and Wholesale,"1,045.60",AMAD FRIGI
FCOGPC2017090177,09/06/2017," ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES ",ALB,Professional Services,"1,066.02",ARCH  IDEA STUDIO
FCOGPC2017090178,09/06/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",TUR,Computer Equipment & Services,"1,085.42",BISMAK BURO MAKINA
FCOGPC2017090179,09/06/2017," GLASS, PAINT, WALLPAPER STORES ",ZAF,Building Materials,"1,106.12",GLASSHOPPER
FCOGPC2017090180,09/06/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Professional Services,"1,132.96",PAYPAL  SYLVIEGBURT
FCOGPC2017090181,09/06/2017, AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED ,BRB,Auto rental,"1,178.63",COCONUT CAR RENTALS LT
FCOGPC2017090182,09/06/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",GBR,Training and Educational,"1,194.00",LEARNING TREE INTE
