Month of Year,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth
201702,Disclosure certificates,13,2.46,15.38%,12.50%,00:12:55,9.15
201702,Discretionary support,13,1.23,53.85%,18.75%,00:00:45,0.38
201702,Driving licence fee,13,1.46,38.46%,0.00%,00:06:56,1.85
201702,Dvla,13,1.54,7.69%,25.00%,00:05:08,3.31
201702,enhanced,13,1.23,0.00%,31.25%,00:03:24,2
201702,fishing licence,13,1.38,0.00%,11.11%,00:06:14,5.92
201702,Genealogy,13,1.23,0.00%,6.25%,00:05:05,2.77
201702,Job seekers,13,1.46,0.00%,5.26%,00:04:05,2.38
201702,Jsa,13,1.15,0.00%,26.67%,00:02:08,3.77
201702,Loans,13,1.46,7.69%,36.84%,00:02:58,2.08
201702,marriages,13,1.23,0.00%,31.25%,00:03:51,3.46
201702,Mot test,13,1.46,15.38%,10.53%,00:02:46,1.85
201702,rates calculator,13,1,0.00%,0.00%,00:00:52,1.15
201702,Re test,13,1.23,15.38%,56.25%,00:01:54,1.54
201702,Savings credit,13,2.54,69.23%,6.06%,00:03:12,0.31
201702,statutory maternity pay,13,1.46,23.08%,15.79%,00:05:09,2.46
201702,telephone number,13,1.85,15.38%,8.33%,00:03:16,2.85
201702,Ulster covenant,13,1.54,7.69%,15.00%,00:01:22,1.62
201702,Universal credit,13,1.92,15.38%,8.00%,00:03:15,2.77
201702,working tax credits,13,3.08,46.15%,10.00%,00:08:30,3.69
201702,Access NI,12,1,41.67%,8.33%,00:01:16,1.17
201702,address,12,1.42,25.00%,29.41%,00:01:20,2.83
201702,apply for disclosure certificates,12,2,8.33%,8.33%,00:09:26,5.17
201702,Attendance Allowance,12,1.17,0.00%,14.29%,00:05:38,2.58
201702,blue badge scheme,12,1.42,0.00%,5.88%,00:01:10,2.08
201702,bus pass,12,2,8.33%,12.50%,00:05:13,4.33
201702,complaints,12,1.5,0.00%,33.33%,00:04:54,3.42
201702,divorce,12,1.17,8.33%,7.14%,00:04:59,4.83
201702,dvla,12,1.17,41.67%,21.43%,00:03:54,1.08
201702,employment support allowance,12,1.25,8.33%,13.33%,00:09:24,5.17
201702,Enhanced,12,2.17,0.00%,11.54%,00:11:16,4.75
201702,Family history,12,2,8.33%,16.67%,00:04:35,4.42
201702,landlord registration scheme,12,1.25,8.33%,0.00%,00:04:02,4.33
201702,Lisburn,12,1.83,50.00%,18.18%,00:01:51,0.25
201702,Marriage allowance,12,1.67,75.00%,10.00%,00:01:04,0.5
201702,maternity pay,12,1.25,16.67%,6.67%,00:06:56,2.83
201702,Newry,12,1,8.33%,0.00%,00:04:42,2
201702,Probate,12,1.33,8.33%,18.75%,00:03:29,1.5
201702,PRONI,12,1.17,8.33%,7.14%,00:03:10,5.08
201702,Provisional license,12,1.17,8.33%,14.29%,00:01:25,1.42
201702,rates relief,12,1.92,8.33%,30.43%,00:04:15,4
201702,Rates relief,12,1.17,0.00%,21.43%,00:09:19,4.08
201702,affordable warmth scheme,11,1.09,0.00%,33.33%,00:05:55,1.09
201702,alcohol,11,1.27,27.27%,7.14%,00:01:01,0.73
201702,apply for an enhanced check through a registered body,11,1.27,0.00%,0.00%,00:08:54,4.55
201702,Apply for an enhanced check through a registered body,11,1.36,0.00%,13.33%,00:09:28,3.45
201702,Baker,11,1.82,81.82%,5.00%,00:00:26,0.09
201702,blue badge application,11,1.09,0.00%,16.67%,00:07:58,3.36
201702,Budget loans,11,1.45,9.09%,6.25%,00:03:13,3.82
201702,business rates,11,1,9.09%,0.00%,00:02:19,2
201702,career ideas,11,1,0.00%,9.09%,00:00:47,1.18
201702,careers a-z,11,1.64,27.27%,11.11%,00:00:29,1.09
201702,Change of ownership,11,2,27.27%,22.73%,00:02:29,1.73
201702,Death certificate,11,1.91,0.00%,0.00%,00:03:05,3.73
201702,disability living allowance,11,1.27,0.00%,50.00%,00:13:45,4.73
201702,Disclosure,11,1.64,72.73%,22.22%,00:00:36,0.82
201702,Disclosure certificate,11,1.36,9.09%,33.33%,00:04:25,5.91
201702,driving,11,1.18,9.09%,46.15%,00:01:33,1.82
201702,Driving licence fees,11,1.18,9.09%,7.69%,00:01:57,1.82
201702,Dvlni,11,1.45,45.45%,31.25%,00:00:16,0.45
201702,Fishing licence,11,1.09,0.00%,16.67%,00:04:05,4.18
201702,Forms,11,1.82,18.18%,30.00%,00:04:20,1.09
201702,GRONI,11,1.09,9.09%,8.33%,00:07:43,4.09
201702,higher level apprenticeships,11,1,0.00%,9.09%,00:00:19,1
201702,history,11,1.36,54.55%,20.00%,00:00:47,0.27
201702,listed buildings,11,1.09,18.18%,0.00%,00:02:07,1.27
201702,Loan,11,1.45,9.09%,18.75%,00:02:45,2.36
201702,marriage records,11,1.27,45.45%,21.43%,00:02:10,1
201702,motoring,11,1.55,36.36%,11.76%,00:01:49,2.45
201702,Motoring,11,1.45,9.09%,37.50%,00:02:24,1.91
201702,Pensions,11,1.55,9.09%,47.06%,00:03:23,1.73
201702,permitted work,11,1.45,45.45%,25.00%,00:02:04,0.55
201702,provisional licence,11,1.27,9.09%,21.43%,00:01:58,1.27
201702,Psv,11,1.45,9.09%,25.00%,00:01:36,1.18
201702,Register,11,1.73,0.00%,26.32%,00:06:20,3.36
201702,renew driving licence,11,1.09,9.09%,16.67%,00:04:05,3.36
201702,self employment,11,1.82,54.55%,15.00%,00:04:20,3.45
201702,tax credit,11,1.36,9.09%,40.00%,00:03:01,1.64
201702,Tax my car,11,1.18,54.55%,23.08%,00:01:11,0.27
201702,umbrella bodies,11,1.36,0.00%,6.67%,00:01:28,3.73
201702,welfare reform,11,1.27,9.09%,7.14%,00:02:30,2.45
201702,will calendar,11,1,9.09%,0.00%,00:00:35,1
201702,winter fuel payment,11,1.18,0.00%,7.69%,00:03:41,5.55
201702,workhouse records,11,2.18,27.27%,4.17%,00:05:29,7.82
201702,access to work,10,2.1,30.00%,9.52%,00:07:11,2.7
201702,Address change,10,1.2,10.00%,33.33%,00:05:04,1.4
201702,Armagh,10,1.1,0.00%,36.36%,00:01:04,1.9
201702,Basic disclosure,10,1.5,0.00%,13.33%,00:10:00,4.3
201702,Bereavement,10,1.5,20.00%,6.67%,00:04:20,2.6
201702,bereavement benefit,10,2.2,20.00%,9.09%,00:01:33,2.3
201702,bereavement service,10,1.1,10.00%,9.09%,00:13:01,7.4
201702,BLUE BADGE,10,1.1,20.00%,9.09%,00:02:47,2.1
201702,blue badge application form,10,1.4,10.00%,7.14%,00:02:46,2.2
201702,Boiler grant,10,1.1,0.00%,9.09%,00:04:22,2.2
201702,boiler replacement grant,10,1.1,10.00%,0.00%,00:02:50,1.8
201702,Book a driving test,10,1.3,10.00%,0.00%,00:05:51,4.3
201702,Budgeting loans,10,1.1,40.00%,36.36%,00:02:51,1.2
201702,Calculator,10,1.8,40.00%,16.67%,00:00:38,0.9
201702,Change mot appointment,10,1.2,10.00%,0.00%,00:03:46,1.7
201702,change of name,10,1.7,10.00%,5.88%,00:14:45,7
201702,Changing address,10,1.5,20.00%,6.67%,00:04:39,2
201702,Check code,10,1.5,50.00%,13.33%,00:00:35,0.8
201702,check mot,10,1.3,40.00%,0.00%,00:01:21,1.6
201702,Check mot,10,1.6,30.00%,37.50%,00:03:29,1.4
201702,church records,10,1.5,10.00%,26.67%,00:04:17,5.5
201702,compensation,10,1.1,10.00%,27.27%,00:01:07,2
201702,cpc,10,1,10.00%,10.00%,00:04:17,2.5
201702,Crisis loan number,10,1.7,20.00%,23.53%,00:05:21,1.3
201702,Death records,10,1.2,0.00%,8.33%,00:03:51,2.5
201702,DL1 application form,10,1.6,50.00%,18.75%,00:00:57,0.9
201702,Dl2,10,1.5,30.00%,13.33%,00:05:26,3.4
201702,DLM1,10,1.5,20.00%,20.00%,00:06:07,1.5
201702,DVA,10,1.1,10.00%,27.27%,00:01:46,2.5
201702,Enniskillen,10,1.3,10.00%,15.38%,00:01:50,2.4
201702,flexible working,10,1.3,10.00%,23.08%,00:07:59,1.6
201702,gro,10,1.2,0.00%,16.67%,00:05:27,9.5
201702,Hc11,10,1.3,40.00%,0.00%,00:01:21,1.6
201702,health and safety,10,1.3,20.00%,7.69%,00:02:34,2
201702,industrial injuries,10,1,0.00%,10.00%,00:01:17,1.5
201702,landlord reg,10,1.6,0.00%,6.25%,00:00:39,2.4
201702,Licence,10,1.3,20.00%,7.69%,00:01:48,1.2
201702,loans,10,1.4,20.00%,28.57%,00:03:34,1.7
201702,lost driving licence,10,1.2,10.00%,25.00%,00:02:16,1.8
201702,marriage certificates,10,1.3,0.00%,23.08%,00:04:24,3
201702,name change,10,1.1,10.00%,9.09%,00:10:29,3.8
201702,national insurance number,10,1.3,0.00%,15.38%,00:01:58,1.8
201702,osni,10,1.5,10.00%,0.00%,00:03:13,3.5
201702,parking enforcement,10,1.2,10.00%,25.00%,00:03:16,3.2
201702,Parking tickets,10,1.4,0.00%,14.29%,00:04:00,3.1
201702,parkingticket,10,1.2,0.00%,16.67%,00:01:36,1.8
201702,Pay rates,10,1.2,0.00%,8.33%,00:01:13,2.4
201702,Proni,10,1.4,10.00%,14.29%,00:06:08,3
201702,provisional,10,1.5,0.00%,13.33%,00:00:18,0.9
201702,psv,10,1.8,10.00%,16.67%,00:03:17,4.3
201702,RATES,10,1.4,0.00%,0.00%,00:04:17,3.2
201702,re-test,10,1.2,0.00%,41.67%,00:05:52,5.2
201702,renew blue badge,10,1.6,10.00%,0.00%,00:02:07,3
201702,revision books,10,1.4,20.00%,0.00%,00:07:36,1.8
201702,self employed,10,1.3,20.00%,30.77%,00:02:05,1
201702,statutory sick pay,10,1.3,10.00%,7.69%,00:02:39,1.6
201702,taxi drivers manual,10,19.1,60.00%,0.00%,00:34:25,15.6
201702,taxi licence,10,1.3,0.00%,15.38%,00:03:06,3.8
201702,teaching,10,1.2,40.00%,33.33%,00:01:06,1.4
201702,training for success,10,1.3,0.00%,15.38%,00:09:03,7.9
201702,vacancies,10,1.8,50.00%,0.00%,00:00:51,2
201702,will,10,1.4,0.00%,50.00%,00:04:10,3.6
201702,work experience,10,1,0.00%,0.00%,00:06:35,5
201702,Working tax credits,10,2.2,10.00%,0.00%,00:07:31,4.7
201702,basic check,9,2.44,11.11%,4.55%,00:03:24,2.44
201702,Birmingham,9,1,88.89%,0.00%,00:00:05,0.11
201702,boiler replacement scheme,9,1.22,11.11%,18.18%,00:01:53,2
201702,Book now,9,1.11,22.22%,20.00%,00:00:39,1.22
201702,Book theory,9,1.11,22.22%,0.00%,00:04:18,1.56
201702,book theory test,9,1.33,0.00%,0.00%,00:04:46,3.78
201702,budget loan,9,1,0.00%,22.22%,00:01:44,2.89
201702,budgeting loans,9,1.56,22.22%,0.00%,00:05:52,4.11
201702,bus lanes,9,1.22,55.56%,9.09%,00:01:23,2.22
201702,Car,9,1.11,0.00%,70.00%,00:03:01,0.89
201702,Careers allowance,9,1.22,11.11%,18.18%,00:03:43,1.11
201702,Carers Allowance,9,1.22,0.00%,18.18%,00:03:42,2.56
201702,change mot appointment,9,1.11,0.00%,0.00%,00:00:38,1.11
201702,child tax credit,9,1.56,33.33%,28.57%,00:03:00,1.44
201702,Coleraine,9,2.44,22.22%,9.09%,00:02:55,1.44
201702,Contact dva,9,1.22,0.00%,0.00%,00:00:32,2
201702,Death certificates,9,1.44,11.11%,23.08%,00:01:23,1
201702,Dl1 form,9,1.44,11.11%,38.46%,00:01:54,1.44
201702,Dl1r form,9,1.44,55.56%,23.08%,00:00:40,1.22
201702,election,9,1.11,11.11%,20.00%,00:00:42,1
201702,Fee,9,1.11,33.33%,40.00%,00:00:30,0.22
201702,Fish stocking January-June 2017,9,1,0.00%,11.11%,00:00:40,3.33
201702,Fishing license,9,1.11,0.00%,0.00%,00:06:58,3.67
201702,Flexible working,9,1.11,11.11%,0.00%,00:02:16,1.44
201702,Fraud,9,2.11,44.44%,0.00%,00:03:45,1.44
201702,Hc1,9,1.22,33.33%,0.00%,00:01:01,1.11
201702,Hgv,9,1.11,22.22%,30.00%,00:01:41,3
201702,holiday entitlement,9,1.22,11.11%,36.36%,00:02:46,1.67
201702,How much is state pension,9,2,22.22%,0.00%,00:04:03,1.67
201702,Immigration and visa,9,1.33,88.89%,8.33%,00:00:20,0.33
201702,job seekers,9,1.56,11.11%,7.14%,00:03:47,4
201702,Job seekers allowance,9,1.33,11.11%,16.67%,00:02:18,1.11
201702,job trends,9,1.22,33.33%,45.45%,00:02:49,0.89
201702,Land registry,9,1.67,0.00%,20.00%,00:03:44,2.56
201702,legal aid,9,1,22.22%,11.11%,00:02:03,1.67
201702,Lost licence,9,1.11,0.00%,30.00%,00:02:04,1.67
201702,Mot check,9,1.22,22.22%,0.00%,00:00:40,1.22
201702,mot re-test,9,1.78,0.00%,18.75%,00:03:26,4.89
201702,notice of appeal,9,1.78,0.00%,31.25%,00:04:51,2.11
201702,personal independence payment,9,1.44,22.22%,7.69%,00:01:49,2
201702,phone number for budgeting loanorm Armagh,9,1.11,77.78%,20.00%,00:02:47,0
201702,planning,9,1.33,0.00%,25.00%,00:04:27,2.56
201702,postal vote,9,1.33,22.22%,8.33%,00:00:36,1
201702,rate relief,9,1.11,0.00%,30.00%,00:10:34,4.56
201702,records,9,1.22,0.00%,36.36%,00:01:15,1.78
201702,register to vote,9,1.22,0.00%,0.00%,00:01:36,1.78
201702,regulated activity,9,1.44,0.00%,30.77%,00:04:03,5.44
201702,Renew driving license,9,1.22,0.00%,0.00%,00:03:51,3.33
201702,Retest mot,9,1.44,11.11%,15.38%,00:00:59,1
201702,school records,9,2,11.11%,22.22%,00:04:30,3.78
201702,skills in demand,9,1.44,0.00%,23.08%,00:03:50,3.11
201702,ssp,9,1.22,22.22%,36.36%,00:00:34,0.56
201702,State pension online,9,2.56,0.00%,17.39%,00:04:57,2.44
201702,street directories,9,1.22,0.00%,27.27%,00:04:31,1.67
201702,Tax credit,9,1.56,33.33%,7.14%,00:03:56,2.33
201702,test,9,1.11,11.11%,30.00%,00:02:33,3.22
201702,umbrella body,9,1.33,0.00%,25.00%,00:02:15,4.56
201702,V5,9,1.33,11.11%,58.33%,00:01:34,1.11
201702,V5c,9,1.22,44.44%,27.27%,00:01:48,0.44
201702,Work experience,9,1.33,0.00%,8.33%,00:01:30,2.33
201702,1939,8,1.12,25.00%,33.33%,00:02:12,1.25
201702,application form,8,1.75,12.50%,21.43%,00:01:19,2.38
201702,apply for disclosure certificate,8,1.5,0.00%,25.00%,00:05:55,6.25
201702,architect,8,1.25,12.50%,50.00%,00:00:40,1
201702,basic disclosure,8,1.25,0.00%,0.00%,00:07:23,3.62
201702,benefit fraud,8,1.62,25.00%,15.38%,00:05:00,1.12
201702,Book,8,1.12,0.00%,11.11%,00:01:00,2.38
201702,Book test,8,1,12.50%,0.00%,00:00:46,1.75
201702,Bus lane,8,1.25,87.50%,0.00%,00:01:46,1.25
201702,careers quiz,8,1.5,12.50%,16.67%,00:02:20,1.75
201702,child car seats,8,1.25,0.00%,10.00%,00:09:09,4.38
201702,Child tax credit,8,1,62.50%,0.00%,00:00:08,0.5
201702,Child tax credits,8,2.75,50.00%,4.55%,00:02:40,1.25
201702,Church records,8,1.75,12.50%,35.71%,00:04:55,3.75
201702,claim your state pension online,8,1.88,0.00%,6.67%,00:18:44,3.62
201702,CMP,8,1.38,75.00%,18.18%,00:00:12,0.12
201702,Dl1r,8,1.25,50.00%,20.00%,00:01:17,0.38
201702,dl2,8,2.38,12.50%,15.79%,00:02:08,2.25
201702,Driving,8,1.12,0.00%,33.33%,00:02:58,2.25
201702,Dva address,8,1.62,0.00%,15.38%,00:04:39,3.25
201702,education,8,1.12,0.00%,22.22%,00:01:29,2.75
201702,Employment and support allowance,8,1.38,0.00%,27.27%,00:08:55,2.38
201702,Employment support allowance,8,1.5,25.00%,33.33%,00:04:19,1.25
201702,Fish stocking,8,1.75,0.00%,7.14%,00:02:53,2.5
201702,ground rent,8,1.75,37.50%,21.43%,00:01:08,1.38
201702,holidays,8,1.12,12.50%,22.22%,00:00:40,0.88
201702,ins dl1,8,2.12,12.50%,23.53%,00:05:24,2.75
201702,Licence fees,8,2.38,12.50%,5.26%,00:03:50,3.25
201702,Marriages,8,2.38,0.00%,10.53%,00:04:01,4.25
201702,Maternity allowance,8,1.12,0.00%,22.22%,00:06:45,3.25
201702,Mot cancellation,8,1.25,0.00%,0.00%,00:04:43,3.12
201702,mot history,8,1.75,12.50%,7.14%,00:01:33,2.88
201702,Mot history,8,2.12,12.50%,35.29%,00:05:56,4.75
201702,Name change,8,1.25,0.00%,0.00%,00:02:22,2.38
201702,national minimum wage,8,1.25,0.00%,40.00%,00:07:45,1.62
201702,new councils,8,1,12.50%,50.00%,00:02:31,3.88
201702,newry,8,1.75,12.50%,28.57%,00:04:47,1.12
201702,Notice of appeal form,8,1.12,25.00%,11.11%,00:03:07,2.62
201702,Omagh,8,1,25.00%,25.00%,00:02:07,1.12
201702,Opening hours,8,1.5,50.00%,8.33%,00:01:44,1.5
201702,passports,8,1.5,0.00%,0.00%,00:09:44,3.25
201702,Pay a bus lane,8,1.12,12.50%,22.22%,00:01:17,1.25
201702,Personal independence payment,8,1.88,12.50%,20.00%,00:07:01,1.75
201702,Personal Independence Payment,8,1.25,0.00%,10.00%,00:02:56,2.25
201702,Provisional driving licence,8,1.25,0.00%,0.00%,00:01:58,3.12
201702,Public appointments,8,1.75,12.50%,14.29%,00:09:12,1.75
201702,public holidays,8,1.25,12.50%,10.00%,00:01:06,2
201702,R plates,8,1.12,25.00%,33.33%,00:02:52,1
201702,re test,8,1.12,12.50%,22.22%,00:02:14,3.25
201702,Renew driving licence,8,2.5,0.00%,10.00%,00:08:20,3.12
201702,savings credit,8,2.25,62.50%,0.00%,00:00:47,0.5
201702,shared parental leave,8,1,12.50%,25.00%,00:04:01,1.12
201702,sick pay,8,2.12,0.00%,5.88%,00:04:36,1.75
201702,Sick pay,8,1.25,25.00%,20.00%,00:01:12,1.75
201702,State pension top up,8,1.12,12.50%,0.00%,00:03:07,1.12
201702,Strabane,8,1.38,25.00%,36.36%,00:01:45,1
201702,supplementary payments,8,1.75,50.00%,14.29%,00:05:24,0.38
201702,taxi theory test,8,1.25,0.00%,20.00%,00:04:26,2.88
201702,Taxi theory test,8,1.38,0.00%,27.27%,00:11:32,6.25
201702,Test,8,1.5,12.50%,0.00%,00:01:24,2.5
201702,theory mock test,8,1,87.50%,0.00%,00:00:17,0.12
201702,track application,8,2,25.00%,6.25%,00:06:27,2.88
201702,trading standards,8,1.38,12.50%,0.00%,00:00:33,1
201702,Ulster Covenant,8,1.38,0.00%,0.00%,00:01:51,1.38
201702,V62,8,1.75,37.50%,7.14%,00:00:49,1.25
201702,Widows pension,8,1.88,0.00%,26.67%,00:04:13,3.5
201702,1939 census,7,2.86,42.86%,5.00%,00:03:37,2.14
201702,access ni application,7,1.57,28.57%,18.18%,00:02:19,2.29
201702,Access to work,7,1.71,28.57%,0.00%,00:05:11,3.71
201702,Accessni,7,1.71,28.57%,0.00%,00:05:32,2.86
201702,Apply for an enhanced check,7,1.57,0.00%,0.00%,00:00:47,1.57
201702,Apply for enhanced check,7,1.14,14.29%,0.00%,00:03:56,3
201702,apprenticeship,7,1,28.57%,0.00%,00:14:03,13
201702,Apprenticeship,7,2,14.29%,21.43%,00:02:40,2.71
201702,Bangor,7,1.57,57.14%,9.09%,00:00:34,0.86
201702,bank holidays,7,1.29,0.00%,22.22%,00:02:31,1.14
201702,Benefit calculator,7,1.14,42.86%,0.00%,00:01:35,2.14
201702,Blue badge renewal,7,1.14,0.00%,0.00%,00:02:11,2.57
201702,Book not,7,1,14.29%,71.43%,00:00:16,0.43
201702,Booknow,7,1,14.29%,0.00%,00:00:41,2
201702,bus lane,7,1.14,14.29%,0.00%,00:00:54,1.86
201702,Bus pass,7,1.71,0.00%,25.00%,00:02:04,2.71
201702,calculator,7,1.14,14.29%,37.50%,00:00:40,0.43
201702,Cancellation,7,1.29,14.29%,55.56%,00:00:50,0.57
201702,carer's allowance,7,1.57,14.29%,18.18%,00:06:26,8.14
201702,Carers,7,1.57,42.86%,18.18%,00:05:12,4.57
201702,census 1901,7,1.14,0.00%,37.50%,00:05:34,2.29
201702,Change address on driving licence,7,1.57,0.00%,27.27%,00:02:37,1.14
201702,change mot,7,1.14,42.86%,12.50%,00:00:23,0.43
201702,Child care,7,1.29,0.00%,33.33%,00:01:22,2
201702,Child maintenance choices,7,1,71.43%,0.00%,00:00:20,0.86
201702,claim state pension,7,2,0.00%,7.14%,00:10:14,3.43
201702,connect to success,7,1.43,14.29%,10.00%,00:05:01,2.29
201702,consumerline,7,1.43,28.57%,0.00%,00:02:40,2.43
201702,Contact details,7,1.71,42.86%,0.00%,00:04:42,1.43
201702,contact us,7,1.29,28.57%,33.33%,00:04:52,4.86
201702,Copy of birth certificate,7,1.43,14.29%,0.00%,00:00:51,1
201702,Cost,7,1.14,14.29%,37.50%,00:04:17,1.57
201702,Courses,7,2,14.29%,14.29%,00:03:00,5.14
201702,cr20,7,1,0.00%,14.29%,00:00:38,1
201702,Dentist,7,1.14,14.29%,12.50%,00:01:45,1.86
201702,Discretionary payment,7,2,57.14%,7.14%,00:02:48,1.29
201702,distributors,7,1.14,0.00%,0.00%,00:00:40,1.29
201702,DL1R FORM,7,2.29,0.00%,6.25%,00:02:04,2.57
201702,DL2,7,1.29,0.00%,44.44%,00:00:40,1.43
201702,Drivers license,7,1.43,14.29%,20.00%,00:07:35,3.14
201702,driving licence fee,7,1.14,0.00%,25.00%,00:01:27,2
201702,driving license renewal,7,1.57,28.57%,9.09%,00:03:59,2.29
201702,ehic,7,1.57,28.57%,27.27%,00:00:54,1.14
201702,Engineering,7,1.14,42.86%,12.50%,00:00:34,1
201702,enhanced check through a registered body,7,1,0.00%,14.29%,00:06:25,2.29
201702,enhanced disclosure,7,1,14.29%,14.29%,00:04:35,2
201702,family search,7,1.43,0.00%,30.00%,00:04:34,2.57
201702,firearms,7,1.14,0.00%,0.00%,00:00:25,1.14
201702,fishing license,7,1.43,0.00%,10.00%,00:02:22,3.86
201702,flooding,7,1,0.00%,14.29%,00:00:59,1.29
201702,Free playgroup,7,1.14,85.71%,0.00%,00:01:20,0.43
201702,free school meals,7,1.29,0.00%,33.33%,00:05:46,5.57
201702,Funeral,7,1.71,0.00%,0.00%,00:04:52,3
201702,GCSE,7,2,14.29%,7.14%,00:04:02,3.14
201702,go on ni,7,2,0.00%,14.29%,00:09:46,5.57
201702,grant,7,2,28.57%,21.43%,00:02:42,1.43
201702,Groni,7,1.14,0.00%,12.50%,00:01:00,2.43
201702,highway code,7,1.43,14.29%,0.00%,00:05:41,4.86
201702,Housing benefits,7,2.29,0.00%,31.25%,00:01:39,1.29
201702,inspection reports,7,1.14,28.57%,25.00%,00:01:41,1.29
201702,jobseekers,7,1.43,28.57%,10.00%,00:01:43,1.57
201702,Landlord registration,7,1.43,0.00%,20.00%,00:09:22,5.71
201702,landlords,7,1,14.29%,0.00%,00:12:45,1.71
201702,LB04EHF Honda accord TAX,7,1.86,57.14%,23.08%,00:03:02,0.43
201702,Letter of freedom,7,1.71,14.29%,33.33%,00:01:02,1.14
201702,licence,7,1.43,0.00%,10.00%,00:01:21,2.86
201702,license,7,1,14.29%,57.14%,00:02:38,1.86
201702,License,7,1.57,0.00%,45.45%,00:01:45,1.57
201702,London,7,2,14.29%,7.14%,00:01:26,1.86
201702,lone pensioner allowance,7,1.29,0.00%,44.44%,00:05:05,1.71
201702,looking for help about the company in working for,7,2.57,100.00%,0.00%,00:13:21,1.29
201702,lost licence,7,1.14,0.00%,0.00%,00:00:28,1.57
201702,Lost license,7,1.14,28.57%,0.00%,00:02:27,2.71
201702,medical card,7,2,28.57%,21.43%,00:01:16,0.86
201702,minibus,7,1.14,14.29%,25.00%,00:02:54,3.57
201702,Mobility allowance,7,1.71,42.86%,25.00%,00:04:06,1.29
201702,NOA1,7,1.29,28.57%,0.00%,00:00:43,1.29
201702,paternity leave,7,1.14,14.29%,25.00%,00:04:36,1.14
201702,payment,7,1,14.29%,28.57%,00:04:45,3.71
201702,pip mobility,7,1.43,100.00%,0.00%,00:04:53,0
201702,Plumbing,7,2.14,14.29%,0.00%,00:00:32,1.43
201702,police,7,1.14,14.29%,50.00%,00:03:09,3
201702,Practical driving test,7,1.29,0.00%,11.11%,00:08:15,2.43
201702,psv testing,7,1.43,0.00%,60.00%,00:07:32,4.43
201702,Quiz,7,1,0.00%,0.00%,00:02:57,3.71
201702,Rate relief,7,1.43,14.29%,20.00%,00:05:26,3.57
201702,Re test mot,7,1.43,28.57%,40.00%,00:00:54,1.71
201702,registration,7,1,14.29%,71.43%,00:02:27,0.57
201702,rqia,7,1.14,14.29%,0.00%,00:02:23,1.43
201702,septic tanks,7,1.14,0.00%,25.00%,00:11:41,4.14
201702,sign in,7,2,42.86%,7.14%,00:01:36,2.86
201702,smp,7,1.71,0.00%,25.00%,00:02:57,3
201702,SSP,7,1.43,0.00%,40.00%,00:01:21,1.57
201702,state pension top up,7,1,0.00%,0.00%,00:01:19,1.29
201702,stop and search,7,1.57,14.29%,0.00%,00:04:16,2.43
201702,Street light,7,1,0.00%,0.00%,00:00:21,1.43
201702,Street lights,7,1.14,0.00%,12.50%,00:03:30,6.86
201702,tax my car,7,2.43,28.57%,17.65%,00:04:30,0.57
201702,Taxi licence,7,1.86,14.29%,23.08%,00:04:45,1
201702,Taxi license,7,1.43,42.86%,20.00%,00:02:46,1.71
201702,teacher,7,1.14,57.14%,0.00%,00:01:24,0.43
201702,Teacher,7,1,42.86%,0.00%,00:00:25,0.86
201702,V5C,7,1.71,14.29%,25.00%,00:00:56,1.43
201702,view driving licence,7,3.57,57.14%,8.00%,00:11:08,3.86
201702,volunteering,7,2.43,14.29%,17.65%,00:17:41,8.86
201702,Welfare changes,7,1,0.00%,0.00%,00:08:13,2.57
201702,Will,7,1.57,14.29%,45.45%,00:00:31,0.43
201702,work,7,1.43,0.00%,40.00%,00:11:14,7.86
201702,workable,7,1,0.00%,57.14%,00:01:06,1.14
201702,a-z,6,1.33,0.00%,37.50%,00:05:08,3.67
201702,Access I,6,1,16.67%,50.00%,00:02:54,1.67
201702,address change,6,1.5,0.00%,33.33%,00:02:46,4
201702,adoption,6,2,0.00%,33.33%,00:03:01,1.5
201702,apprenticeship frameworks,6,1.33,16.67%,12.50%,00:02:45,11
201702,Balmoral,6,1.5,16.67%,11.11%,00:02:01,1.5
201702,Basic disclosure certificate,6,3.67,16.67%,4.55%,00:03:15,3.17
201702,benefit calculator,6,1.33,50.00%,0.00%,00:01:07,2.83
201702,Benefits calculator,6,1.33,0.00%,12.50%,00:05:08,4
201702,cancel mot test,6,1.17,0.00%,28.57%,00:03:19,4
201702,Car mot,6,1.67,33.33%,10.00%,00:01:36,1.33
201702,Career,6,1.17,0.00%,28.57%,00:00:41,3
201702,careers service,6,1.33,0.00%,12.50%,00:01:08,1.67
201702,carers credit,6,1.33,0.00%,12.50%,00:01:23,2
201702,check code,6,1.17,33.33%,28.57%,00:04:15,3.5
201702,Check licence,6,1.67,33.33%,20.00%,00:01:30,1.17
201702,Child benefits,6,1.33,16.67%,25.00%,00:06:49,1.83
201702,Child maintenance calculator,6,1.67,50.00%,0.00%,00:02:18,1.5
201702,childcare,6,1.5,16.67%,22.22%,00:01:30,2.17
201702,cold weather payment,6,1.33,0.00%,12.50%,00:03:21,5.83
201702,coleraine,6,1.83,0.00%,18.18%,00:02:40,3.17
201702,Community care grants,6,2.33,66.67%,7.14%,00:01:47,2
201702,consultations,6,1.33,16.67%,25.00%,00:01:58,4
201702,contact numbers,6,2.17,16.67%,7.69%,00:01:39,1.67
201702,Cookstown,6,1.83,33.33%,0.00%,00:01:36,4.83
