RFI Identifier,Type,Subject,Summary,Status,Outcome,Refusal Reason(s)
6769,FOI,Cost of Consultancy,"1) For each of the financial years 2010/11, 2011/12, 2012/2013 and 2013/2014, please state the overall amount of money spent on consultants. (2) I would like a breakdown of the 2013/14 figure and I would like the following information. For each consul",Closed,All Information Provided,
6768,EIR,cattle and breakdowns in the pilot zones,requesting info on the number of cattle breakdowns in the pilot areas,Closed,No Information Provided,12 (4)(d) - Unfinished documents/incomplete data
6767,EIR,cattle in the pilot zones,Requesting: 1)TB Cattle Slaughtered in each Pilot Zone in 2012. 2) The number of Cattle in each Pilot Zone in 2012.,Closed,No Information Provided,12 (4)(d) - Unfinished documents/incomplete data
6765,EIR,Landfill bins with lids,"How many councils in England are responsible for the collection of landfill rubbish from residential properties? How many of those councils collect landfill bins with lids on from a) all residential properties in their area, and b) some, but not all, resi",Closed,All Information Provided,
6764,FOI,Visits to the Defra home page on the gov.uk website,How many visits to the DEFRA home page on the gov.uk website have been recorded for each month since 1st January 2014?,Closed,All Information Provided,
6763,FOI,Grant aided repair work to Town Quay,"Request information relating to the grant aided works of repair/extension to the quay walls at Town Quay, Camber Dock, Portsmouth",Closed,Information Not Held,
6762,EIR,UK Climate Impacts Programme,"All briefings to Ministers on the subject of or containing the words 'UK Climate Impacts Programme', 'UKCIP08', or 'UKCP09', between 1st June 2008 and the launch of UKCP09 on 18th June 2009",Closed,Closed - Advice and assistance case,
6761,FOI,SAC,"Mr Alex Pegler requested on behalf of Guide Public Affairs Ltd, how many visits to the Science Advisory Council home page on the gov.uk website have been recorded for each month since 1st January 2014?",Closed,All Information Provided,
6760,FOI,Civil Service People Survey staff engagement scores,"Can you please provide me with the Civil Service People Survey staff engagement scores for each year between 2009 and 2013 inclusive, broken down at: (a) Directorate-General/Group level, and (b) Directorate level. for each such group in the departm",Closed,No Information Provided,"S36 - Effective conduct of public affairs, S40 - Personal information"
6759,EIR,Changes to the T17 Waste Exemption (crushing waste fluorescent tubes).,"I am writing on behalf of Balcan Engineering Ltd to request some information under the Freedom of Information Act 2000, regarding possible changes to the T17 waste exemption (crushing waste fluorescent tubes). It has come to our attention that DEFRA/ E",Closed,Information Partially Provided,"12 (4)(e) - Disclosure of internal communications, Reg 12(3) personal data, 12 (4)(d) - Unfinished documents/incomplete data"
6758,EIR,Inaccuracies in the NAO report into PFI waste incinerators,Information relating to the Hereford and Worcestershire waste contract,Closed,No Information Provided,"12 (4)(d) - Unfinished documents/incomplete data, 12 (4)(a) - Information not held, 12 (4)(e) - Disclosure of internal communications, 12 (5)(e) - Commercial confidentiality"
6757,EIR,Noise from pubs and clubs phase II final report May 2006,Spreadsheet data used in Noise from pubs and clubs (Phase II) Final report May 2006,Closed,All Information Provided,
6756,EIR,Clean Neighbourhoods and Environment Act,Scuedule 3A free distribution of printed matter on designated land,Closed,Information Not Held,
6755,EIR,Bovine TB policies,"- what were decided to be adequate changes amending or tightening the requirements in the Best Practice Guidance or training, thus enabling a decision to be taken that it was not necessary to amend the licence conditions to permit only cage trapping/shoot",Closed,Information Available Elsewhere,
6754,EIR,Methodology for reporting recycling,"calculation methodology- why changed, legal basis, whena nd how was it notified or consulted on, details of questions asked in consultation, details of IAs, which of the Commission methodologies the chnage corresponds with.",Closed,All Information Provided,
6753,FOI,Historic data on pollution,Data on air-borne pollution for the UK from 1960 to be made available on DVD format,Closed,Information Not Held,
6752,FOI,Halal products sold in the UK and funding provided through halal charities,To provide a list of halal products and meat sold in the UK (inc those slaughtered under halal rules which are not fit for human consumption. Provide information on funding through halal charities.,Closed,Information Not Held,
6749,FOI,Corresp between Defra & Duchy of Cornwall re Marine & Coastal Access Act 2009,Correspondence between Defra and the Duchy of Cornwall in the 2-3 year period prior to 1st reading or drafting of amending legislation re section 111 of the Marine and Coastal Access Act 2009.,Closed,Information Not Held,
6748,FOI,Corresp between Defra and the Duchy of Cornwall re the Environment Act 1995,"Correspondence between Defra and the Duchy of Cornwall in the 2-3 year period prior to 1st reading or drafting of amending legislation re Schedule 21, Part I of the Environment Act 1995.",Closed,Information Not Held,
6747,FOI,Corresp between Defra and the Duchy of Cornwall re Land Drainage Act 1991,Correspondence between Defra and the Duchy of Cornwall in the 2-3 year period prior to 1st reading or drafting of amending legislation re section 74 of the Land Drainage Act 1991.,Closed,Information Not Held,
6746,FOI,Corresp between Defra and Duchy of Cornwall re Wildlife & Countryside Act 1981,Correspondence between Defra and the Duchy of Cornwall in the 2-3 year period prior to 1st reading or drafting of amending legislation re sections 66A and 67 of the Wildlife and Countryside Act 1981.,Closed,Information Not Held,
6745,EIR,Requesting information on various directives/plans,"correspondence relating to a. Industrial Emissions Directives, b. Large Combustion Plant Directive, c. BREF and/or d. Transitional National Plans,",Closed,No Information Provided,12 (4)(b) - Manifestly unreasonable
6744,FOI,Meetings between George Eustice MP and Owen Paterson MP,"This request is for information under the Freedom of Information and Environmental Information Regulations Act and relates to any communications or meetings which have taken place between George Eustice MP, his personal staff and his representatives and",Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
6743,FOI,Meetings between George Eustice and Energy companies,"This request is for information under the Environmental Information Regulations Act and relates to any communications or meetings which have taken place between George Eustice MP, his personal staff and his representatives and representatives of a numbe",Closed,Information Not Held,
6742,FOI,FOI disclosure log,Any/all internal guidance/policy for staff relating to the addition/uploading of FOI requests to the department's disclosure log on its website,Closed,Information Available Elsewhere,
6740,FOI,Meeting between Owen Paterson MP and GWPF and its representatives.,"This request is for information under the Freedom of Information Act and under the Environmental Information Regulations Act and relates to any communications or meetings which have taken place between Owen Paterson, his personal staff and his represent",Closed,Information Not Held,
6739,EIR,Beavers,"Please can I be sent copies of all DEFRA correspondence from the last six months (email, letter, memo) which discuss beavers in British waterways directly.",Closed,Information Partially Provided,"Reg 12(3) personal data, 12 (4)(b) - Manifestly unreasonable, 12 (4)(e) - Disclosure of internal communications, 12 (5)(b) - Course of justice, fair trial, conduct of criminal or disciplinary enquiry , 12 (5)(d) - Confidentially of proceedings"
6738,EIR,Beavers,"I am writing under the Freedom of Information Act to request notes of any meetings, or details of any communications between DEFRA and the Zoological Society of London, or the Scottish Beaver Trial or the Royal Zoological Society of Scotland with respect",Closed,Information Partially Provided,"12 (4)(b) - Manifestly unreasonable, 12 (5)(b) - Course of justice, fair trial, conduct of criminal or disciplinary enquiry , 12 (4)(e) - Disclosure of internal communications, 12 (5)(d) - Confidentially of proceedings , 12 (5)(e) - Commercial confidentiality , Reg 12(3) personal data"
6737,FOI,Meetings between George Eustice and GWPF,"This request is for information under the Freedom of Information Act and under the Environmental Information Regulations Act and relates to any communications or meetings which have taken place between George Eustice MP, his personal staff and his repre",Closed,Information Not Held,
6736,EIR,Bovine TB Cull documentation,"Please send me all documentation, and records of advice received, which were considered in Defra's review of controlled/free shooting, including the use of shotguns, prior to the decision to continue with controlled shooting and to advise Natural England",Closed,All Information Provided,
6735,FOI,Correspondence on firearms licensing between DEFRA and Home Office,All correspondence (between 01/07/13 and 15/07/14) between the office of (then) Secretary of State Owen Paterson and the Home Office on the subject of proposals for fees increases for firearms licensing,Closed,No Information Provided,S35 - Formulation of Government policy
6734,EIR,Briels ECJ case,"request to see the UK government submission to Case C521/12, which was the CJEU ruling on compensatory measures, available here: http://curia.europa.eu/juris/document/document.jsf?text=&docid=152343&pageIndex=0&doclang=en&mode=req&dir=&occ=first&part=1&ci",Closed,All Information Provided,
6733,FOI,Search removal requests to Google,"Has Defra submitted search removal requests to Google following EU’s right to be forgotten ruling. If so, confirm: 1) No. of requests; 2) reason for each; 3) URL for each request; 4) If not poss to answer (3), pl give a broad outline of subject.",Closed,Closed - Advice and assistance case,
6731,FOI,ASBO's,Numbers of abandoned horses removed by the use of ASBO's with a. no owner b. an identified owner,Closed,Information Not Held,
6730,FOI,612/14 FOI Request : Decision Letter WS/3471/521/13 April 10 1969,Request for a copy of the Decision Letter WS/3471/521/13 of April 10 1969 relating to a concrete reservoir discharging overflow to a ditch.,Closed,Information Not Held,
6728,EIR,List of EfW projects,"List of EfW projects (under construction, approved and proposed) that it is referring to in Forecasting 2020 waste arisings and treatment capacity report dated October 2013",Closed,Information Partially Provided,12 (4)(e) - Disclosure of internal communications
6727,EIR,Meetings between George Eustice and energy companies,Communications or meetings which have taken place between George Eustice his personal staff and representatives of a number of Energy Companies since 1/1/2012,Closed,Closed - Advice and assistance case,
6725,EIR,Thames Tunnel,Breakdown of the £1.4Bn the SoS permits or requires Thames Water to spend including acquisition of land + other detail,Closed,Information Partially Provided,12 (5)(e) - Commercial confidentiality
6721,EIR,Defra waste spending figure presented to EFRA,Copy of information provided to EFRA,Closed,All Information Provided,
6720,FOI,Ancient Monuments & Duchy of Cornwall,Correspondence with Duchy of Cornwall referring to Section 50 of Ancient Monuments and Archaeological Areas Act 1979.,Closed,Information Not Held,
6719,EIR,Badger gassing,"Farming Minister George Eustice has said, in answer to a parliamentary question on bovine TB and gassing badgers, that ""In October and November 2013 we carried out initial trials of nitrogen-filled foam to analyse its dispersal in an artificial sett-like",Closed,All Information Provided,
6718,FOI,Hardware maintenance and costs,Details of hardware maintenance and costs in Defra,Closed,Information Not Held,
6717,EIR,Meetings and correspondence with Prince Charles on GM crops,Meetings and correspondence with Prince Charles on GM crops 2008-14,Closed,Information Not Held,
6715,FOI,Report on whistleblowing,Request for copy of whistleblowinhg report and reply by Tom Taylor,Closed,No Information Provided,"S30 - Public Authority investigations, S31 - Law enforcement"
6713,EIR,Beavers,"details of communications between Defra, ZSL, or scottish beaver trial or ZSL Scotland re capture, welfare, potential rehoming in England, including Devon or control of disease in beavers+ notes of meetings between defra/advisors from 1 Jan 2012",Closed,No Information Provided,12 (4)(c) - Request is formulated too generally
6712,FOI,Syngenta application to use Thiamexotham on rapeseed crop, ,Closed,All Information Provided,
6711,FOI,Fox predation since the Hunting Act,"On 27th March 2014 you received an FOI request asking you to provide a copy of the report upon which Owen Patterson based the following statement: ""we received an interesting report from a number of Welsh farmers, which presented a reasonable view that th",Closed,All Information Provided,
6709,EIR,neonicotinoids,minutes of meetings Pollinators Expert Advisory Group 4th June 2013 onwards.,Closed,All Information Provided,
6708,FOI,The emergency authorisation of a neonicotinoid,"requesting a copy of the ""application for the emergency authorisation of a neonicotinoid in accordance with EU rules.""",Closed,Transferred Out to another public authority,
6707,FOI,External/3rd party hosting,External/3rd party hosting,Closed,All Information Provided,
6706,FOI,Senior Information Risk Owner,Details of the Senior Information Risk Owner (SIRO) within Defra.,Closed,All Information Provided,
6703,EIR,Cost of cages for badger traps,"To confirm (a) if the cagese were purched by defra in the 2 cull areas (b) were any cages purched be NFU ot the culling companies (c) were any of the cages purched by NFU or the culling companies and then reimbursed by Defra , if so what were the cost?",Closed,All Information Provided,
6700,EIR,Willows Incinerator Project,request disclosure of the DEFRA report,Closed,All Information Provided,
6698,FOI,Breeding of Dogs Act 1973 repeals under the Deregulation Bill,"To provide details of any reported discussion, consultation or other papers relating to the decision to repeal Section 1 of the Breeding of Dogs Act 1973 under the Deregulation Bill",Closed,No Information Provided,S35 - Formulation of Government policy
6695,FOI,"Fixed telephony, broadband and WAN","Request for details of fixed telephony, broadband and WAN services",Closed,All Information Provided,
