Department Family,Entity,Cleared Date,Expense Type,Expense Area,Supplier Name,Reference Number,Line Value Excl Rec VAT,VAT registration number
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,METHODIST HOMES FOR THE AGED,90003265,"42,335.53",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,HEART OF ENGLAND CARE,90003266,"61,380.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,YARDLEY GRANGE CARE SERVICES,90003267,"31,940.56",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,NEVILLE WILLIAMS HOUSE,90003271,"36,446.92",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,MENTAL HEALTH CARE (UK) LTD,90003276,"82,385.94",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,PARKSIDE HEALTHCARE LTD,90003277,"40,557.12",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,OPTIONS FOR CARE LTD - HARRIET TUBMAN,90003278,"94,748.89",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003279,"63,146.38",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,DUKERIES HEALTHCARE LTD,90003280,"30,835.97",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,NEWDAY NURSING HOME,90003281,"35,763.81",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,METHODIST HOMES FOR THE AGED,90003282,"58,085.09",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,ST ANDREW'S HEALTHCARE,90003286,"436,766.22",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,ST GILES NURSING HOME,90003287,"84,467.19",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,BOURNVILLE VILLAGE TRUST,90003288,"53,171.53",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,CAMBIAN HEALTHCARE LIMITED,90003289,"116,414.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,STANLEY HOUSE LTD,90003293,"37,532.18",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,CARE & MANAGEMENT SERVICES LIMITED,90003297,"31,098.57",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,LAKEVIEW,90003298,"56,354.26",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,WYNDLEY GRANGE NURSING HOME,90003305,"28,498.54",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,HUNTERS MOOR RESIDENTIAL SERVICES LTD,90003309,"56,225.14",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,OTTERBURN HEALTH CARE,90003311,"76,419.52",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,CHOICE LIFESTYLES LTD,90003312,"65,100.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,WILLOWBROOK CARE HOME,90003313,"32,031.43",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,ARAN COURT,90003314,"70,803.58",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,90003316,"29,745.08",
Department of Health,Birmingham East and North PCT,18/05/2011,Learning Diffs Resettlement,Commissioning - Hosted Services,JAFFRAY CARE SOCIETY,90003321,"69,029.97",
Department of Health,Birmingham East and North PCT,18/05/2011,Learning Difficulties,Commissioning - Hosted Services,CREST HEALTHCARE LTD,90003323,"26,348.36",
Department of Health,Birmingham East and North PCT,18/05/2011,Learning Difficulties,Commissioning - Hosted Services,FUTURE HOME CARE LTD,90003325,"62,441.79",
Department of Health,Birmingham East and North PCT,18/05/2011,Learning Difficulties,Commissioning - Hosted Services,CARE THROUGH THE MILLENNIUM,90003326,"34,220.41",
Department of Health,Birmingham East and North PCT,25/05/2011,Learning Difficulties,Commissioning - Hosted Services,WIDER OPTIONS (3) LTD,90003329,"46,872.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Learning Difficulties,Commissioning - Hosted Services,FAIRMONT RESIDENTIAL LTD,90003331,"27,101.18",
Department of Health,Birmingham East and North PCT,18/05/2011,Learning Difficulties,Commissioning - Hosted Services,EDGEVIEW NURSING HOME,90003340,"28,788.84",
Department of Health,Birmingham East and North PCT,18/05/2011,OOHDF,Commissioning,BADGER HEALTHCARE LTD,90003343,"28,370.00",
Department of Health,Birmingham East and North PCT,18/05/2011,OOHDF,Commissioning,BADGER HEALTHCARE LTD,90003344,"70,164.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,BPAS (BRITISH PREGNANCY ADVISORY SERVICE,90003349,"180,871.52",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM BROOK ADVISORY CENTRE,90003350,"85,108.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,CALTHORPE CLINIC,90003351,"75,862.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,MARIE CURIE - WARREN PEARL,90003353,"42,117.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,ST GILES HOSPICE,90003354,"43,354.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Mental Illness,Commissioning - Hosted Services,BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATIO,90003360,"41,387.25",
Department of Health,Birmingham East and North PCT,18/05/2011,Mental Illness,Commissioning - Hosted Services,BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATIO,90003361,"48,486.92",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,BPAS (BRITISH PREGNANCY ADVISORY SERVICE,90003394,"91,946.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM BROOK ADVISORY CENTRE,90003395,"85,108.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,CALTHORPE CLINIC,90003396,"75,862.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,MARIE CURIE - WARREN PEARL,90003398,"42,117.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Community Health Services,Commissioning - Hosted Services,ST GILES HOSPICE,90003399,"43,354.00",
Department of Health,Birmingham East and North PCT,18/05/2011,Mental Illness,Commissioning - Hosted Services,BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATIO,90003405,"42,667.25",
Department of Health,Birmingham East and North PCT,18/05/2011,Mental Illness,Commissioning - Hosted Services,BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATIO,90003406,"49,986.58",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,ACORN CARE LTD,90003435,"158,105.33",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,ALPHA HOSPITALS (NW) LTD BURY,90003436,"302,554.56",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,CARE PRINCIPLES LTD,90003438,"306,179.62",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,CARE PRINCIPLES LTD,90003439,"76,428.49",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,CARE PRINCIPLES LTD,90003440,"133,749.85",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,CYGNET HEALTH CARE LTD T/A CYGNET HOSPIT,90003442,"121,726.22",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PINETREE COURT,90003443,"31,803.56",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003444,"31,519.60",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003445,"224,522.72",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003446,"140,622.32",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003447,"276,791.33",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003448,"252,514.32",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003449,"215,667.97",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003451,"79,906.63",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003452,"172,325.07",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003453,"72,694.29",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003454,"583,812.47",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,RAPHAEL HEALTHCARE,90003455,"134,251.15",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,ST ANDREW'S HEALTHCARE,90003456,"2,267,926.35",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90003457,"58,625.54",
Department of Health,Birmingham East and North PCT,23/05/2011,Mental Illness,Commissioning - Hosted Services,ST MARY'S HOSPITALS LIMITED,90003458,"111,260.00",
Department of Health,Birmingham East and North PCT,23/05/2011,CAHMS,Commissioning - Hosted Services,CHEADLE ROYAL HOSPITAL,90003460,"77,586.96",
Department of Health,Birmingham East and North PCT,23/05/2011,CAHMS,Commissioning - Hosted Services,THE HUNTERCOMBE STAFFORD HOSPITAL,90003461,"304,562.15",
Department of Health,Birmingham East and North PCT,23/05/2011,CAHMS,Commissioning - Hosted Services,THE HUNTERCOMBE STAFFORD HOSPITAL,90003462,"87,176.22",
Department of Health,Birmingham East and North PCT,23/05/2011,CAHMS,Commissioning - Hosted Services,NEWBRIDGE CARE SYSTEMS LTD,90003463,"154,907.72",
Department of Health,Birmingham East and North PCT,23/05/2011,CAHMS,Commissioning - Hosted Services,WOODBOURNE PRIORY HOSPITAL,90003464,"213,348.69",
Department of Health,Birmingham East and North PCT,23/05/2011,CAHMS,Commissioning - Hosted Services,ST ANDREW'S HEALTHCARE,90003465,"117,380.18",
