CP No.,Route,Divn.,Location,Channel 1,Channel 2,Easting,Northing,24 Hour AADT (7 day flow),24 Hour AADT (7 day flow) rounded,% HGV (7 day flow),AM mean weekday peak hour (5 day flow),AM mean weekday peak hour (5 day flow) rounded,AM mean weekday peak hour (5 day flow) start time,PM mean weekday peak hour (5 day flow),PM mean weekday peak hour (5 day flow) rounded,PM mean weekday peak hour (5 day flow) start time,24 Hour 7 Day Flow CH. 1,24 Hour 7 Day Flow CH. 2,24 Hour 7 Day Flow CH. 1 (rounded),24 Hour 7 Day Flow CH. 2 (rounded),Percentage Traffic Composition (car / van),Percentage Traffic Composition (med com),Percentage Traffic Composition (rigid),Percentage Traffic Composition (artic),Percentage Traffic Composition (bus / coach),24 Hour 5 Day Flow CH. 1,24 Hour 5 Day Flow CH. 2,24 Hour AADT (5 day flow),24 Hour 5 Day Flow CH. 1 (rounded),24 Hour 5 Day Flow CH. 2 (rounded),24 Hour AADT (5 day flow) rounded,AM peak hour flow weekday channel 1,AM peak hour flow weekday channel 1 (rounded),AM peak hour flow weekday channel 1 start time,PM peak hour flow weekday channel 1,PM peak hour flow weekday channel 1 (rounded),PM peak hour flow weekday channel 1 start time,AM peak hour flow weekday channel 2,AM peak hour flow weekday channel 2 (rounded),AM peak hour flow weekday channel 2 start time,PM peak hour flow weekday channel 2,PM peak hour flow weekday channel 2 (rounded),PM peak hour flow weekday channel 2 start time,2012 24 Hour AADT (7 day flow) rounded,2013 %age incr/decr over 2012 24HrAADT (7 day flow),2013 24 Hour AADT (7 day flow) rounded,2014 %age incr/decr over 2013 24HrAADT (7 day flow),2014 24 Hour AADT (7 day flow) rounded,Comments
207,A8,East,Sandyknowes (Junction 4) – Corr's Corner,To Belfast,From Belfast,330644,383870,"14,770","14,770",7.4,1440,1440,07:00,1510,1510,16:00,7426,7344,7430,7340,89.3,3.3,1.8,4.4,1.2,8395,8218,"16,613",8400,8220,"16,620",436,440,11:00,1044,1040,16:00,"1,017",1020,07:00,466,470,16:00,"14,510",0.21,"14,540",1.58,"14,770",
208,A1,East,"Lisburn Road, Belfast, at King's Hall ",To Belfast,From Belfast,331477,370792,"19,668","19,670",3.5,1673,1670,08:00,1426,1430,17:00,9937,9731,9940,9730,92.9,3.6,1.6,0.3,1.6,10478,10044,"20,522",10480,10040,"20,520",1250,1250,08:00,653,650,13:00,586,590,11:00,932,930,17:00,"20,410",-2.2,"19,960",-1.45,"19,670",
209,A2,East,"Sydneham By-Pass, at George Best Belfast City Airport",To Belfast,From Belfast,337289,375624,"58,055","58,050",-,4811,4810,08:00,5300,5300,16:00,30901,27154,30900,27150,-,-,-,-,-,33840,29571,"63,411",33840,29570,"63,410",2843,2840,08:00,2700,2700,16:00,"1,969",1970,08:00,2721,2720,17:00,-,-,"56,210",3.27,"58,050",
210,A2,East,"Shore Road, Belfast, at Shore Crescent",To Belfast,From Belfast,334144,378825,"14,599","14,600",-,1305,1310,08:00,1256,1260,15:00,6768,7831,6770,7830,-,-,-,-,-,7348,8448,"15,796",7350,8450,"15,800",828,830,08:00,533,530,15:00,580,580,11:00,721,720,17:00,"14,230",-3.51,"13,730",6.34,"14,600",
211,A6,East,"Antrim Road, Belfast, at Zoo",To Belfast,From Belfast,333233,380501,"12,098","12,100",-,1069,1070,08:00,1001,1000,17:00,6328,5770,6330,5770,-,-,-,-,-,6719,6045,"12,764",6720,6050,"12,770",728,730,08:00,451,450,14:00,341,340,08:00,562,560,17:00,"12,050",-4.81,"11,470",5.49,"12,100",Class 1 & 2 figures look back to front
212,A8,East,"North of Corr's Corner, on dual carriageway",To Belfast,From Belfast,330959,385127,"17,467","17,460",-,1637,1640,08:00,1808,1810,17:00,8823,8644,8820,8640,-,-,-,-,-,9807,9686,"19,493",9810,9690,"19,500",1131,1130,08:00,606,610,17:00,506,510,08:00,1203,1200,17:00,"16,950",5.13,"17,820",-2.02,"17,460",
213,A12,East,"Westlink, Belfast, South of Roden Street",To M2,To M1,332421,373465,"92,215","92,220",5.4,7047,7050,08:00,7753,7750,16:00,47368,44847,47370,44850,92.1,2.5,1.3,3.3,0.8,51747,48708,"100,455",51750,48710,"100,460",3393,3390,08:00,4541,4540,16:00,"3,654",3650,08:00,3213,3210,16:00,"87,860",2.39,"89,960",2.51,"92,220",
216,A20,East,"Upper Newtownards Road, Belfast, at Quarry Inn",To Belfast,From Belfast,343728,374032,"23,025","23,020",4.2,2016,2020,08:00,2039,2040,17:00,11571,11454,11570,11450,88.1,7.7,3.5,0.7,0,12458,12342,"24,800",12460,12340,"24,800",1303,1300,08:00,827,830,16:00,713,710,08:00,1252,1250,17:00,"23,160",1.17,"23,430",-1.75,"23,020",
217,A22,East,"Comber Road, Belfast, South East of New Line",To Belfast,To Comber,342520,372789,"11,206","11,210",2.7,1125,1130,08:00,1081,1080,17:00,5740,5466,5740,5470,93.6,3.7,1.6,0.8,0.3,6259,5890,"12,149",6260,5890,"12,150",905,910,08:00,350,350,14:00,278,280,11:00,762,760,17:00,"10,980",1.18,"11,110",0.9,"11,210",
218,A23,East,"Ballygowan Road, Belfast, at Roselawn",To Belfast,To Ballygowan,338808,370247,"11,313","11,310",2.9,1091,1090,08:00,1106,1110,17:00,5672,5641,5670,5640,93,4.1,1.7,0.8,0.4,6186,6138,"12,324",6190,6140,"12,330",839,840,08:00,371,370,13:00,328,330,11:00,790,790,17:00,"11,750",-2.72,"11,430",-1.05,"11,310",
220,A55,East,"Shaws Bridge, Belfast",To Belfast,From Belfast,332258,369408,"30,161","30,170",2.1,2779,2780,08:00,2951,2950,17:00,14165,15996,14170,16000,95.4,2.5,1.5,0.4,0.2,15527,17596,"33,123",15530,17600,"33,130",1797,1800,08:00,1011,1010,17:00,982,0,08:00,1940,1940,17:00,"29,690",-0.51,"29,540",2.13,"30,170",
221,A55,East,"Upper Knockbreda Road, Belfast",To Saintfield Road,To Castlereagh Road,335838,370822,"34,307","34,310",-,3484,3480,08:00,3265,3270,17:00,16237,18070,16240,18070,-,-,-,-,-,17818,19957,"37,775",17820,19960,"37,780",1482,1480,08:00,1548,1550,17:00,"1,802",1800,08:00,1717,1720,17:00,-,-,"35,050",-2.11,"34,310",
222,A55,East,"Parkway, Belfast",To Belmont Road,To Holywood Road,338583,374764,"24,423","24,420",-,1758,1760,08:00,2220,2220,16:00,12020,12403,12020,12400,-,-,-,-,-,13139,13496,"26,635",13140,13500,"26,640",923,920,08:00,1106,1110,16:00,848,850,09:00,1136,1140,17:00,-,-,"22,620",7.96,"24,420",
223,B102,East,"Stewartstown Road, Belfast, at Kells Avenue",To Belfast,From Belfast,328783,370688,"15,928","15,930",-,1005,1010,08:00,1210,1210,17:00,7700,8228,7700,8230,-,-,-,-,-,8051,8618,"16,669",8050,8620,"16,670",566,570,08:00,572,570,14:00,508,510,11:00,687,690,17:00,-,-,"16,040",-0.69,"15,930",
224,B103,East,"Upper Malone Road, Belfast, at Lady Dixon Park",To Belfast,From Belfast,330617,367203,"7,929","7,930",-,844,840,08:00,796,800,17:00,4045,3884,4050,3880,-,-,-,-,-,4439,4180,"8,619",4440,4180,"8,620",629,630,08:00,321,320,17:00,215,220,08:00,475,480,17:00,"7,630",-1.31,"7,530",5.31,"7,930",
226,C/UC,East,"Governors Bridge, Belfast",To Saintfield Road,To Governor's Bridge,333908,371628,"14,057","14,050",-,943,940,08:00,1384,1380,17:00,6524,7533,6520,7530,-,-,-,-,-,7081,8191,"15,272",7080,8190,"15,270",356,360,11:00,762,760,17:00,640,640,08:00,622,620,17:00,"13,900",1.44,"14,100",-0.35,"14,050",
227,M1,East,Stockman's Lane Junction (above roundabout),To Belfast,From Belfast,330710,371218,"64,999","65,000",5.6,4812,4810,07:00,5525,5530,15:00,33472,31527,33470,31530,92.2,2.2,1.2,3.5,0.9,36319,33734,"70,053",36320,33730,"70,050",1803,1800,07:00,3557,3560,15:00,"3,009",3010,07:00,2049,2050,12:00,"62,690",-0.05,"62,660",3.73,"65,000",
230,M1,East,Blacks Road on – slip (Junction 3),One Way Traffic Flow,-,329697,369723,"20,008","20,010",2.4,2108,2110,08:00,1369,1370,13:00,20008,-,20010,-,95.8,1.8,0.9,0.7,0.8,21520,-,"21,520",21520,-,"21,520",2108,2110,08:00,1369,1370,13:00,-,-,-,-,-,-,"19,000",1.95,"19,370",3.3,"20,010",
231,M1,East,Blacks Road off – slip (Junction 3),One Way Traffic Flow,-,329791,369673,"18,196","18,200",2.3,1171,1170,11:00,1735,1740,15:00,18196,-,18200,-,95.8,1.9,0.9,0.8,0.6,19580,-,"19,580",19580,-,"19,580",1171,1170,11:00,1735,1740,16:00,-,-,-,-,-,-,"17,260",1.62,"17,540",3.76,"18,200",
232,B95,East,"Ballyclare Hillhead Road, junction with A57  -  junction with A8",To Ballyclare,From Ballyclare,329621,389986,"8,563","8,560",-,810,810,08:00,786,790,17:00,4434,4129,4430,4130,-,-,-,-,-,4834,4481,"9,315",4830,4480,"9,310",538,540,08:00,304,300,16:00,272,270,08:00,486,490,17:00,"7,990",-0.13,"7,980",7.27,"8,560",
233,A8,East,"Belfast Road, North of Coleman's Corner",To Belfast,From Belfast,331288,390001,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,510",-,-,-,0,No 2013/ 2014 data due to ongoing A8 Road works
234,B101,East,"Pond Park Road, Lisburn",To Lisburn,To International Airport,324772,366974,"7,626","7,630",-,816,820,08:00,851,850,17:00,3837,3789,3840,3790,-,-,-,-,-,4255,4198,"8,453",4260,4200,"8,460",418,420,08:00,398,400,17:00,398,400,08:00,453,450,17:00,"7,440",-2.55,"7,250",5.24,"7,630",
235,A3,East,"Moira Road, Lisburn, West of Lissue Industrial Estate",To Lisburn,To Moira,322801,363099,"12,079","12,080",-,967,970,08:00,1085,1090,16:00,5949,6130,5950,6130,-,-,-,-,-,6562,6724,"13,286",6560,6720,"13,280",613,610,08:00,467,470,13:00,414,410,11:00,650,650,16:00,"11,300",-,-,-,"12,080",Very little 2014 data. 28/11/14 - 31/12/14. 
236,B506,East,"Ravenhill Road, Belfast",To Belfast,From Belfast,335030,372321,"16,264","16,260",5,1075,1080,09:00,1355,1360,16:00,8582,7682,8580,7680,92.3,2.7,3.7,1.3,0,9145,8167,"17,312",9150,8170,"17,320",602,600,07:00,705,710,17:00,545,550,08:00,652,650,16:00,"16,880",-2.49,"16,460",-1.22,"16,260",
237,C704,East,"Cregagh Road, Belfast",To Belfast,From Belfast,335979,372317,"17,302","17,300",-,1522,1520,08:00,1560,1560,16:00,8912,8390,8910,8390,-,-,-,-,-,9792,9211,"19,003",9790,9210,"19,000",638,640,08:00,921,920,17:00,885,890,08:00,672,670,16:00,"17,660",-2.15,"17,280",0.12,"17,300",
290,A12,East,"Westlink, Clifton Street, towards M1",Main Carriageway,On Slip,333512,375123,"38,464","38,470",6.4,3256,3260,08:00,2909,2910,16:00,33459,5005,33460,5010,90.8,2.8,1.4,4,1,36828,5228,"42,056",36830,5230,"42,060",2916,2920,08:00,2608,2610,16:00,350,350,09:00,367,370,15:00,"36,850",2.14,"37,640",2.21,"38,470",
291,A12,East,"Westlink, Clifton Street, towards M2",Main Carriageway,Off Slip,333513,375162,"43,560","43,570",5.7,2976,2980,11:00,3652,3650,15:00,37185,6375,37190,6380,91.5,2.8,1.3,3.6,0.8,41062,6821,"47,883",41060,6820,"47,880",2560,2560,11:00,3039,3040,16:00,418,420,07:00,494,490,15:00,"41,890",1.31,"42,440",2.66,"43,570",
301,A2,North,"Limavady - Londonderry, at Greysteel",To Londonderry,To Limavady,258305,421443,"14,426","14,420",7.2,1469,1470,08:00,1483,1480,17:00,7183,7243,7180,7240,89.3,3.5,6,1.2,0,7758,7839,"15,597",7760,7840,"15,600",595,600,08:00,837,840,17:00,874,870,08:00,646,650,17:00,"13,990",3.15,"14,430",-0.07,"14,420",Approx 8 weeks data for 2014 26/08/14 - 05/09/14 & 26/09/14 - 09/11/14
302,A2,North,"Limavady - Londonderry, at Roe Bridge",To Limavady,To Ballykelly,266711,422932,"9,034","9,590",2,924,920,08:00,881,880,15:00,4902,4693,4900,4690,94.3,3.7,1.2,0.2,0.6,5164,5008,"10,172",5160,5010,"10,170",580,580,08:00,408,410,15:00,344,340,08:00,473,470,15:00,"10,010",-5.59,"9,450",1.48,"9,590",Very little 2014 data available 13/03/14 - 29/03/14
303,B68,North,"Limavady - Dungiven, South of Limavady",To Limavady,To Dungiven,268588,419900,"4,440","4,440",-,303,300,09:00,402,400,17:00,2196,2244,2200,2240,-,-,-,-,-,2345,2390,"4,735",2350,2390,"4,740",177,180,09:00,189,190,17:00,134,130,11:00,215,220,15:00,"4,510",-2.66,"4,390",1.14,"4,440",
304,A37,North,"Limavady - Coleraine, West of B66",To Limavady,To Coleraine,268380,423330,"12,499","12,500",-,1108,1110,08:00,1205,1210,17:00,6539,5960,6540,5960,-,-,-,-,-,6962,6318,"13,280",6960,6320,"13,280",714,710,08:00,568,570,17:00,394,390,08:00,637,640,17:00,-,-,"11,900",5.04,"12,500","Weekly vol report not running, used multi-day vol report. "
305,A2,North,"Limavady - Magilligan, South of B201",To Limavady,To Magilligan,268337,424369,"1,873","1,870",-,147,150,07:00,185,190,16:00,1119,754,1120,750,-,-,-,-,-,1204,794,"1,998",1200,790,"1,990",79,80,11:00,118,120,16:00,69,70,07:00,68,70,15:00,"1,710",-10.53,"1,530",22.22,"1,870",
306,A6,North,"Dungiven - Londonderry, East of B74",To Dungiven,To Londonderry,268217,409441,"14,705","14,710",9.1,1103,1100,08:00,1356,1360,17:00,7338,7367,7340,7370,85.3,5.6,6.2,2.9,0,7795,7735,"15,530",7800,7740,"15,540",568,570,08:00,742,740,17:00,535,540,08:00,626,630,16:00,"14,440",1.04,"14,590",0.82,"14,710",
307,A37,North,"Coleraine - Limavady, at Dunderg",To Coleraine,To Limavady,283371,429646,"10,522","10,520",7.1,969,970,08:00,984,980,17:00,5482,5040,5480,5040,87.9,5,5.7,1.3,0.1,5820,5345,"11,165",5820,5350,"11,170",406,410,08:00,604,600,17:00,563,560,08:00,380,380,17:00,"10,950",-1.92,"10,740",-2.05,"10,520",
308,A29,North,"Coleraine - Limavady, at Fernlester",To Coleraine,To Limavady,283679,430184,"15,901","15,900",-,1230,1230,08:00,1475,1480,17:00,7639,8262,7640,8260,-,-,-,-,-,8006,8640,"16,646",8010,8640,"16,650",745,750,08:00,560,560,16:00,504,500,11:00,915,920,16:00,"16,740",-2.45,"16,330",-2.63,"15,900",
309,A29,North,"Coleraine - Garvagh, South of B66",To Coleraine,To Garvagh,284700,419770,"4,959","4,960",6.5,380,380,08:00,479,480,17:00,2487,2472,2490,2470,88.7,4.8,3.9,2.5,0.1,2591,2561,"5,152",2590,2560,"5,150",248,250,08:00,189,190,12:00,133,130,11:00,299,300,17:00,"5,230",-6.12,"4,910",1.02,"4,960",
310,A26,North,"Coleraine - Ballymoney, South East of Ring Road",To Coleraine,To Belfast,287079,430909,"16,253","16,260",-,1391,1390,08:00,1496,1500,17:00,8078,8175,8080,8180,-,-,-,-,-,8680,8712,"17,392",8680,8710,"17,390",797,800,08:00,674,670,17:00,594,590,08:00,822,820,17:00,-,-,"16,380",-0.73,"16,260",
311,A2,North,"Coleraine - Portstewart, North of  B185",To Coleraine,To Portstewart,284272,434252,"7,491","7,490",-,443,440,11:00,613,610,17:00,3797,3694,3800,3690,-,-,-,-,-,3764,3590,"7,354",3760,3590,"7,350",222,220,11:00,367,370,17:00,238,240,08:00,280,280,15:00,"7,080",8.33,"7,670",-2.35,"7,490",
312,A2,North,"Portrush - Portstewart, at Portrush",To Portrush,To Portstewart,284124,439585,"5,864","5,870",-,354,350,11:00,469,470,15:00,3025,2839,3030,2840,-,-,-,-,-,2715,2553,"5,268",2720,2550,"5,270",192,190,11:00,239,240,17:00,162,160,11:00,230,230,17:00,"6,490",-20.65,"5,150",13.98,"5,870",
313,A29,North,Portrush - Ballysally Roundabout,To Portrush,To Coleraine,285247,435562,"8,849","8,850",-,559,560,08:00,724,720,17:00,4482,4367,4480,4370,-,-,-,-,-,4432,4287,"8,719",4430,4290,"8,720",274,270,11:00,443,440,17:00,357,360,08:00,333,330,15:00,"8,490",-27.33,"6,170",43.44,"8,850",
314,B66,North,"Ballymoney - Limavady, Bann Road, East of B62",To Ballymoney,To Garvagh,294327,424433,"4,561","4,560",-,316,320,08:00,410,410,17:00,2257,2304,2260,2300,-,-,-,-,-,2397,2444,"4,841",2400,2440,"4,840",186,190,08:00,184,180,17:00,140,140,09:00,226,230,17:00,"4,300",4.88,"4,510",1.11,"4,560",
315,B62,North,"Ballymoney - Portrush, North of A26",To Ballymoney,To Portrush,294051,427416,"7,559","7,560",-,515,520,08:00,692,690,17:00,3899,3660,3900,3660,-,-,-,-,-,3946,3607,"7,553",3950,3610,"7,560",273,270,08:00,378,380,17:00,273,270,08:00,320,320,16:00,"7,840",-10.2,"7,040",7.39,"7,560",
316,A26,North,"Ballymoney By-Pass, East of Ballybogey Road",To Belfast,To Coleraine,294448,427008,"16,732","16,730",-,1183,1180,08:00,1521,1520,16:00,8322,8410,8320,8410,-,-,-,-,-,8673,8857,"17,530",8670,8860,"17,530",547,550,08:00,807,810,16:00,636,640,08:00,713,710,16:00,"16,930",-0.59,"16,830",-0.59,"16,730",
317,A26,North,"Ballymoney - Ballymena, South East of Ballymoney",To Belfast,To Ballymoney,298043,424665,"13,846","13,850",-,1071,1070,08:00,1309,1310,17:00,7138,6708,7140,6710,-,-,-,-,-,7332,6998,"14,330",7330,7000,"14,330",576,580,08:00,607,610,17:00,492,490,08:00,698,700,17:00,"13,550",-1.4,"13,360",3.67,"13,850",
318,A44,North,"Ballycastle - Armoy, East of B67",To Ballycastle,To Coleraine,309639,439472,"6,386","6,390",-,461,460,08:00,569,570,17:00,3208,3178,3210,3180,-,-,-,-,-,3291,3304,"6,595",3290,3300,"6,590",238,240,08:00,271,270,16:00,223,220,08:00,325,330,17:00,"6,240",-10.26,"5,600",14.11,"6,390",
319,A2,North,"Cushendall - Cushendun, South of B92",To Cushendall,To Ballycastle,322713,430747,"1,936","1,940",-,129,130,11:00,159,160,16:00,956,980,960,980,91.4,4.7,2.1,0.6,1.2,929,950,"1,879",930,950,"1,880",61,60,08:00,80,80,16:00,72,70,11:00,81,80,14:00,"1,990",3.02,"2,050",-5.37,"1,940",
320,A29,North,"Coleraine Ring Road, at Sandelford Bridge",To Limavady,To Portrush,285153,431499,"28,392","28,390",-,1839,1840,07:00,2602,2600,16:00,15318,13074,15320,13070,-,-,-,-,-,16169,13816,"29,985",16170,13820,"29,990",1047,1050,11:00,1626,1630,16:00,"1,023",1020,07:00,1025,1030,14:00,"29,290",-,-,-,"28,390",
321,A54,North,"Coleraine - Kilrea, South of A29",To Coleraine,To Kilrea,285114,430494,"5,991","5,990",-,436,440,08:00,527,530,16:00,2899,3092,2900,3090,-,-,-,-,-,3050,3226,"6,276",3050,3230,"6,280",273,270,08:00,212,210,13:00,196,200,11:00,321,320,16:00,"6,380",-,-,-,"5,990",
322,A29,North,"Coleraine Ring Road, between A26 - B67",To Limavady,To Portrush,286476,432478,"23,624","23,620",-,1595,1600,08:00,2052,2050,16:00,11510,12114,11510,12110,-,-,-,-,-,11933,12755,"24,688",11930,12760,"24,690",802,800,08:00,1054,1050,16:00,880,880,11:00,999,1000,15:00,"19,900",9.05,"21,700",8.85,"23,620",Data used 12/05/14 - 30/09/14
323,A29,North,"Coleraine Ring Road, between B67 - B17",To Limavady,To Portrush,286582,432856,"19,523","19,520",-,1456,1460,08:00,1718,1720,16:00,9701,9822,9700,9820,-,-,-,-,-,10129,10337,"20,466",10130,10340,"20,470",767,770,08:00,885,890,16:00,697,700,11:00,865,870,17:00,"17,670",-2.49,"17,230",13.29,"19,520",
324,A29,North,"Coleraine Ring Road, between B17 - A29",To Limavady,To Portrush,286082,434049,"12,368","12,370",-,953,950,07:00,1043,1040,15:00,6441,5927,6440,5930,-,-,-,-,-,6446,5983,"12,429",6450,5980,"12,430",559,560,07:00,550,550,15:00,425,430,11:00,511,510,16:00,"10,280",4.77,"10,770",14.86,"12,370",
325,A29,North,"Coleraine Ring Road, between A29 - B185",To Portstewart,To Portrush Road Roundabout,285080,435171,"6,350","6,350",-,503,500,08:00,587,590,16:00,3178,3172,3180,3170,-,-,-,-,-,3425,3348,"6,773",3430,3350,"6,780",237,240,08:00,326,330,16:00,266,270,08:00,261,260,16:00,"6,110",4.09,"6,360",-0.16,"6,350",
326,B185,North,"Coleraine - Portstewart, North of A29",To Coleraine,To Portstewart,283688,437401,"6,090","6,090",2,479,480,08:00,516,520,16:00,3038,3052,3040,3050,92.8,5.2,1.4,0.4,0.2,3123,3120,"6,243",3120,3120,"6,240",327,330,08:00,245,250,14:00,197,200,11:00,303,300,17:00,"6,360",-3.14,"6,160",-1.14,"6,090",
327,A2,North,"Bushmills - Ballycastle, at Bushmills",To Bushmills,From Bushmills,294118,441241,"3,807","3,800",4.9,257,260,11:00,344,340,15:00,1903,1904,1900,1900,90.6,4.5,2.2,0.9,1.8,1757,1760,"3,517",1760,1760,"3,520",103,100,11:00,186,190,16:00,154,150,11:00,167,170,13:00,"3,270",-12.23,"2,870",32.4,"3,800",
328,A44,North,"Ballymena - Ballycastle, North of A26",To Ballycastle,To Ballymena,304557,420087,"3,064","3,070",5.4,246,250,08:00,330,330,17:00,1496,1568,1500,1570,90,4.6,2.6,2.2,0.6,1569,1617,"3,186",1570,1620,"3,190",82,80,11:00,227,230,17:00,181,180,08:00,108,110,16:00,"2,900",6.55,"3,090",-0.65,"3,070",
329,A54,North,"Kilrea - Coleraine, at Kilrea",To Kilrea,To Coleraine,292503,413276,"3,095","3,100",-,236,240,08:00,316,320,17:00,1578,1517,1580,1520,-,-,-,-,-,1678,1631,"3,309",1680,1630,"3,310",109,110,08:00,170,170,17:00,128,130,08:00,146,150,17:00,"3,160",-9.18,"2,870",8.01,"3,100",
330,B64,North,"Garvagh Road, Kilrea, West of New Road",To Kilrea,To Garvagh,292172,412596,"6,782","6,790",4.8,465,470,08:00,660,660,17:00,3397,3385,3400,3390,90.4,4.8,3.2,1.4,0.2,3612,3602,"7,214",3610,3600,"7,210",264,260,08:00,292,290,17:00,208,210,11:00,368,370,17:00,"6,590",-0.46,"6,560",3.51,"6,790",
331,B64,North,"Dungiven - Garvagh, at Dungiven",To Dungiven,To Garvagh,269358,409928,"3,552","3,560",-,274,270,08:00,412,410,17:00,1766,1786,1770,1790,-,-,-,-,-,1897,1930,"3,827",1900,1930,"3,830",148,150,08:00,198,200,17:00,126,130,08:00,215,220,17:00,"3,280",-2.13,"3,210",10.9,"3,560",
332,A2,North,"Limavady - Magilligan, North of B69",To Limavady,To Coleraine,269340,434142,"2,110","2,120",-,141,140,07:00,177,180,15:00,1075,1035,1080,1040,-,-,-,-,-,1032,995,"2,027",1030,1000,"2,030",70,70,11:00,107,110,15:00,92,90,07:00,76,80,16:00,"2,430",-16.05,"2,040",3.92,"2,120",
333,B62,North,"Ballymoney Finvoy Road, South of Bann Road",To Ballymoney,To Rasharkin,295084,424147,"4,914","4,910",3.4,442,440,08:00,460,460,17:00,2423,2491,2420,2490,91.6,5,2.1,1.1,0.2,2585,2655,"5,240",2590,2660,"5,250",261,260,08:00,197,200,17:00,181,180,08:00,263,260,17:00,"4,720",-5.93,"4,440",10.59,"4,910",
336,C/UC,North,"Garvagh, Mettican Road at No 82",To Garvagh,From Garvagh,283729,417809,182,180,6.6,12,10,11:00,15,20,18:00,94,88,90,90,87.9,5.5,5.5,1.1,0,100,95,195,100,100,200,7,7,08:00,9,9,18:00,6,6,11:00,7,7,19:00,170,0,170,5.88,180,
337,C/UC,North,Ballycastle (between B15 and A2),To B67,To B15,310189,440978,"1,436","1,440",3.6,108,110,08:00,136,140,17:00,691,745,690,750,91.2,5.2,2.2,0.6,0.8,722,761,"1,483",720,760,"1,480",50,50,08:00,77,80,17:00,59,60,08:00,70,70,15:00,"1,390",-1.44,"1,370",5.11,"1,440",
338,C/UC,North,Glenshane (off A6),To Maghera,To Dungiven,272682,406657,187,190,1.1,12,10,09:00,18,20,18:00,92,95,90,100,96.8,2.1,0.6,0.5,0,92,96,188,90,100,190,5,5,11:00,9,9,17:00,8,8,08:00,9,9,18:00,180,0,180,5.56,190,6 weeks data March/Apr 2014
339,C/UC,North,Ballymoney (B147  -  B15),To Kirkhills,From Kirkhills,298155,429464,193,190,8.3,13,10,08:00,17,20,17:00,103,90,100,90,85,6.7,7.3,1,0,107,94,201,110,90,200,7,7,11:00,10,10,17:00,6,6,08:00,7,7,14:00,170,0,170,11.76,190,
340,C/UC,North,Glenaan Road (West of Cushendall),To Cushendun,To Loughguile,309128,429256,195,200,9.1,15,20,08:00,17,20,17:00,95,100,100,100,84.8,6.1,7.6,1.5,0,93,98,191,90,100,190,6,6,08:00,9,9,17:00,9,9,08:00,8,8,16:00,280,-,-,-,200,
341,C/UC,North,"Girona Ave, Portrush",To Hopefield Ave,To Ballywillan,286049,439585,"1,362","1,360",-,97,100,08:00,122,120,17:00,664,698,660,700,-,-,-,-,-,676,709,"1,385",680,710,"1,390",59,60,08:00,54,50,16:00,42,40,11:00,71,70,17:00,"1,330",-4.51,"1,270",7.09,"1,360",
342,A2,North,"Dunluce Road, Portrush",To Portrush,From Portrush,288142,440137,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,990",-14.86,"5,100",-,0,
345,A12,East,Westlink at Divis Street (To M2),To M2,On Slip,333214,374401,"43,691","43,690",8.4,2997,3000,07:00,3464,3460,16:00,34249,9442,34250,9440,89,2.6,4.7,3.6,0.1,37196,10339,"47,535",37200,10340,"47,540",2493,2490,07:00,2559,2560,15:00,646,650,08:00,940,940,16:00,"42,060",1.36,"42,630",2.49,"43,690",
346,A12,East,Westlink at Divis Street (To M1),To M1,Off Slip,333226,374401,"35,536","35,530",-,2717,2720,08:00,2719,2720,16:00,29964,5572,29960,5570,-,-,-,-,-,31967,5863,"37,830",31970,5860,"37,830",2250,2250,08:00,2470,2470,16:00,492,490,07:00,329,330,19:00,-,-,"37,920",-6.3,"35,530",
350,A2,North,"Craigavon Bridge, Londonderry (upper deck)",To City Centre,To Duke Street,243808,416030,"23,867","23,870",5,2016,2020,08:00,2025,2030,16:00,12067,11800,12070,11800,93.3,1.7,4.5,0.4,0.1,12908,12639,"25,547",12910,12640,"25,550",1369,1370,08:00,860,860,14:00,757,760,11:00,1171,1170,16:00,-,-,"24,250",-1.57,"23,870",
351,A2,North,Craigavon Bridge  (lower deck),To Londonderry,From Londonderry,416204,243588,"14,016","14,020",-,999,1000,08:00,1286,1290,17:00,7098,6918,7100,6920,-,-,-,-,-,7657,7409,"15,066",7660,7410,"15,070",592,590,08:00,568,570,16:00,409,410,11:00,733,730,17:00,-,-,-,-,"14,020",
353,A515,North,"Foyle Bridge, Londonderry",To Culmore,To Caw,245907,418509,"30,088","30,090",3.3,2715,2720,08:00,2910,2910,16:00,14699,15389,14700,15390,95.2,1.5,3,0.1,0.2,15929,16570,"32,499",15930,16570,"32,500",1404,1400,08:00,1456,1460,17:00,"1,308",1310,08:00,1460,1460,16:00,"31,970",-0.94,"31,670",-4.99,"30,090",Very little 2014 data 01/01/14 - 03/02/14 & 14/02/14 - 24/02/14
354,A2,North,"Strand Road, Londonderry",To City Centre,To Foyle Bridge,243823,418546,"34,415","34,420",2.1,2262,2260,11:00,2790,2790,16:00,16548,17867,16550,17870,95.9,2,1,0.3,0.8,17357,18676,"36,033",17360,18680,"36,040",1384,1380,08:00,1257,1260,13:00,"1,132",1130,11:00,1641,1640,17:00,-,-,-,-,"34,420",
