Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW4,Mersey Care NHS Trust,Q31,5,10,32,35,18,501,1,6,28,35,30,501,2,5,20,35,38,501,1,6,17,56,19,501,1,5,10,56,29,501,1,2,8,54,35,501,0,6,11,48,35,498,2,8,22,49,19,498,2,8,17,55,20,500,5,17,24,39,15,499,3,9,30,45,14,497,7,26,30,29,9,498,3,13,20,50,14,499,12,26,26,30,7,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY,Norfolk and Suffolk NHS Foundation Trust,Q35,5,12,37,33,14,444,2,7,31,32,28,442,2,3,24,37,34,441,3,10,19,53,15,444,3,11,13,51,22,445,1,4,7,52,36,445,3,10,14,44,29,445,4,9,18,54,15,441,3,8,14,59,16,444,8,19,22,38,12,443,5,17,29,38,11,443,5,23,30,28,14,444,6,18,20,48,7,444,19,34,20,22,5,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT,North East London NHS Foundation Trust,Q36,3,8,35,37,17,295,2,5,22,34,37,293,2,2,14,36,46,295,3,7,16,51,23,293,2,7,13,49,29,295,2,2,10,47,39,295,3,10,10,45,32,293,2,10,20,50,18,294,1,7,16,57,18,294,3,18,25,40,14,294,3,12,28,44,13,293,5,26,29,28,12,291,3,18,22,45,12,295,12,28,23,29,8,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD,North Essex Partnership NHS Foundation Trust,Q35,4,8,31,40,17,396,1,6,22,41,30,395,2,3,20,33,42,394,3,9,14,56,19,398,2,7,8,57,26,398,2,3,9,52,35,398,1,8,13,53,25,396,3,10,14,53,20,399,3,7,11,60,19,399,7,17,21,40,15,397,4,13,25,42,16,393,8,29,25,26,12,398,6,19,15,50,10,396,13,25,23,31,7,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLY,North Staffordshire Combined Healthcare NHS Trust,Q34,3,12,36,36,13,371,1,6,26,39,28,371,2,4,25,34,36,370,4,6,18,54,17,373,2,7,11,57,23,373,1,2,8,52,37,371,1,9,13,49,28,372,2,8,16,57,16,372,2,7,15,60,16,373,8,17,27,38,10,373,5,13,33,38,11,371,3,20,32,34,12,372,5,21,20,45,9,372,17,27,28,23,5,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1,Northamptonshire Healthcare NHS Foundation Trust,Q33,3,7,35,37,17,408,1,3,30,36,29,408,1,4,19,36,40,408,2,9,20,53,16,412,2,7,12,55,23,420,1,3,7,56,33,416,2,9,10,51,27,412,2,12,20,51,16,417,3,7,16,57,18,410,7,17,22,40,14,409,5,14,25,42,13,404,6,23,29,30,13,404,7,17,16,51,9,411,17,29,22,25,7,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX4,"Northumberland, Tyne and Wear NHS Foundation Trust",Q30,4,13,33,35,14,369,2,5,26,38,29,367,3,4,24,35,34,367,3,9,17,53,18,367,3,8,12,51,26,367,3,3,9,47,37,369,4,7,11,45,32,368,4,10,18,45,23,366,3,8,13,52,23,366,8,21,20,33,19,367,5,17,23,37,19,365,6,27,27,25,15,365,6,15,20,46,13,365,14,26,25,27,8,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHA,Nottinghamshire Healthcare NHS Trust,Q33,3,9,31,40,17,463,1,3,21,44,31,462,2,3,22,35,38,461,2,7,19,53,19,465,2,5,11,55,27,466,2,1,8,47,41,464,2,7,8,49,34,462,3,11,14,50,22,466,4,6,12,55,23,461,6,13,22,42,17,462,4,13,23,43,17,459,6,28,28,29,9,459,3,13,20,51,13,464,11,29,20,32,8,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNU,Oxford Health NHS Foundation Trust,Q38,3,9,30,42,16,430,1,6,23,43,27,432,1,5,14,37,43,430,2,8,16,57,17,432,2,6,12,54,25,432,0,3,7,53,37,431,3,13,10,51,24,431,1,9,15,60,15,429,1,7,11,63,17,431,6,14,24,44,12,430,3,12,25,50,11,428,6,22,23,33,16,430,6,19,16,52,6,431,18,28,21,29,4,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHX,Oxfordshire Learning Disability NHS Trust,Q38,1,6,29,40,23,337,1,2,20,36,40,337,1,1,25,39,34,337,1,7,17,59,17,339,1,4,6,56,33,339,0,3,6,44,46,340,1,5,8,45,41,340,2,9,16,49,24,336,2,7,12,54,25,338,6,10,25,45,14,338,2,10,24,47,16,338,2,29,31,30,9,332,2,14,16,55,14,338,9,22,24,35,10,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPG,Oxleas NHS Foundation Trust,Q36,2,7,30,39,22,411,1,4,21,35,39,411,0,3,16,35,46,411,2,4,12,54,28,410,1,7,5,50,38,412,1,1,4,45,49,411,3,5,5,49,38,410,1,7,13,50,30,408,1,5,8,53,32,409,4,11,22,39,24,407,1,9,21,47,22,409,4,26,24,32,14,409,2,14,14,52,18,409,9,27,22,36,6,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT2,Pennine Care NHS Foundation Trust,Q31,4,9,36,36,14,370,2,6,23,45,24,369,1,5,17,35,42,369,3,5,11,63,17,367,2,7,4,58,29,368,1,2,6,51,40,369,2,9,9,51,28,370,2,8,16,55,19,367,2,7,11,58,22,369,6,18,21,38,17,369,3,14,23,44,15,367,5,28,21,35,10,369,5,14,15,56,10,370,13,31,23,28,5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXE,"Rotherham, Doncaster and South Humber NHS Foundation Trust",Q32,6,12,35,33,14,438,2,7,25,36,30,438,3,5,23,32,37,435,2,7,18,55,18,439,2,7,8,55,28,440,1,4,7,49,39,441,3,10,10,47,29,439,5,7,19,50,19,437,3,6,13,58,19,438,8,16,23,40,13,438,5,14,28,40,14,436,3,25,28,33,10,437,4,13,21,53,9,436,15,23,25,31,5,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAH,Sheffield Health and Social Care NHS Foundation Trust,Q32,4,11,30,38,17,402,2,7,24,37,31,399,2,4,22,33,39,400,3,6,15,55,21,402,2,7,8,50,33,403,2,3,5,44,46,403,2,7,11,45,35,403,3,8,16,48,24,401,2,5,14,54,24,401,7,15,23,39,16,402,5,10,26,42,16,401,6,25,28,31,10,401,4,16,19,47,15,402,14,27,22,31,7,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH5,Somerset Partnership NHS Foundation Trust,Q39,3,11,34,37,15,463,1,7,27,31,33,462,1,3,15,35,46,463,2,7,16,57,17,464,1,5,11,58,25,464,1,3,5,53,38,465,2,15,12,45,26,462,2,10,21,52,15,463,2,7,15,60,17,463,6,17,25,42,11,463,2,13,31,41,12,460,4,19,26,35,15,462,5,18,21,47,9,460,20,32,20,23,5,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWN,South Essex Partnership University NHS Foundation Trust,Q35,2,10,27,40,21,399,1,6,23,34,37,396,1,3,17,30,49,398,2,11,15,50,22,399,2,8,9,48,33,398,2,2,5,43,49,397,2,9,8,43,38,395,4,10,15,51,20,397,3,7,10,57,23,398,5,17,21,40,18,398,3,13,21,44,18,397,5,25,24,30,16,392,5,17,16,53,8,396,19,26,22,26,8,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5,South London and Maudsley NHS Foundation Trust,Q36,3,11,32,39,15,410,1,9,24,36,30,408,1,6,22,32,38,408,3,8,15,52,23,408,2,5,9,51,33,409,1,2,6,43,48,407,1,8,7,48,36,407,3,8,13,49,26,405,1,6,11,56,26,407,7,12,18,43,20,407,3,9,21,47,20,405,6,26,25,32,11,406,6,19,23,42,9,405,13,29,22,29,6,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRE,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,Q34,4,10,32,38,16,382,2,6,23,40,29,381,2,4,17,34,43,384,3,8,17,55,19,381,3,8,12,53,24,383,2,3,10,48,36,382,3,9,10,50,28,379,3,7,19,52,19,383,3,7,17,53,20,383,7,15,22,42,13,382,6,13,22,47,12,381,4,25,30,29,12,382,5,17,19,49,10,383,16,27,19,30,8,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQY,South West London And St George's Mental Health NHS Trust,Q36,4,10,31,38,18,412,1,6,23,37,32,411,1,3,21,31,44,411,2,7,15,55,21,412,2,9,12,47,30,411,1,4,7,47,41,411,3,8,9,48,32,412,3,7,20,48,23,411,2,6,17,50,24,410,9,12,25,36,18,410,4,10,22,48,17,409,7,22,25,32,15,409,6,15,18,50,10,410,16,26,25,27,6,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXG,South West Yorkshire Partnership NHS Foundation Trust,Q32,5,10,37,36,11,428,2,6,27,40,25,427,3,4,21,37,35,426,4,6,18,58,14,428,2,6,10,53,29,428,2,3,5,50,39,428,3,8,11,46,32,427,4,8,18,54,17,428,2,7,12,56,23,428,9,14,19,42,16,427,6,13,27,41,14,426,4,29,26,29,12,425,4,19,14,49,14,428,16,28,20,29,7,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW1,Southern Health NHS Foundation Trust,Q38,2,11,29,42,17,396,1,5,22,41,31,398,2,4,17,32,46,398,3,7,16,57,17,401,1,6,9,56,28,399,0,3,6,52,40,400,2,10,8,52,28,401,2,6,17,55,20,401,2,5,14,58,20,401,7,19,20,40,15,399,5,12,25,44,14,398,3,25,28,32,13,397,5,18,18,51,8,398,19,32,20,26,3,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXX,Surrey and Borders Partnership NHS Foundation Trust,Q37,3,12,32,34,18,499,2,7,28,33,31,495,2,4,21,31,42,493,1,9,15,58,18,494,1,7,10,55,27,497,1,2,7,49,40,496,3,10,12,45,29,495,3,8,18,52,18,492,3,6,11,57,22,498,6,13,23,43,16,494,5,10,25,46,15,495,5,21,27,31,16,495,5,17,20,48,10,494,19,29,22,25,6,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX2,Sussex Partnership NHS Foundation Trust,Q37,4,14,36,34,11,428,2,7,27,39,25,429,2,4,20,34,41,428,3,10,20,53,14,428,2,10,14,56,17,429,0,3,7,52,38,429,3,16,11,49,20,428,2,9,18,52,19,426,2,11,14,52,21,425,10,22,20,34,14,427,5,16,25,41,13,425,4,19,24,37,16,422,12,29,22,32,4,427,23,37,19,19,2,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNK,Tavistock and Portman NHS Foundation Trust,Q36,3,7,31,43,17,206,1,4,25,42,27,206,1,4,16,36,44,205,3,10,8,59,21,203,2,7,9,57,25,207,0,2,6,56,35,207,2,9,6,57,26,207,1,6,14,48,31,206,2,5,13,51,29,207,5,11,19,41,24,205,3,9,20,46,22,205,4,23,24,30,18,206,4,14,19,51,12,206,9,31,25,27,7,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust",Q30,3,10,30,42,16,513,1,5,22,37,35,515,1,2,18,36,43,515,2,5,16,54,23,515,1,6,8,54,31,515,0,2,6,48,43,514,2,5,7,49,36,514,1,7,13,52,26,512,1,5,9,58,27,512,4,14,20,41,21,512,2,11,25,41,21,512,5,27,25,31,12,511,3,12,14,55,16,511,12,28,20,31,8,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKL,West London Mental Health NHS Trust,Q36,4,12,28,32,24,376,2,6,22,32,39,371,3,4,23,25,44,374,2,6,15,55,22,376,2,6,7,55,30,380,2,4,9,48,37,380,2,7,10,44,36,379,5,12,18,49,16,376,4,10,16,50,20,375,10,16,25,35,14,372,5,14,24,41,16,374,7,22,28,29,13,375,7,15,22,45,11,376,15,27,27,24,7,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1A,Worcestershire Health and Care NHS Trust,Q34,1,9,28,44,18,414,0,5,23,39,32,417,1,1,14,38,45,417,2,6,15,59,18,415,1,5,7,63,24,417,1,1,5,52,41,418,2,7,10,53,28,418,3,7,16,53,21,415,3,4,16,57,21,415,6,11,25,42,15,415,4,9,29,44,14,414,3,24,27,33,12,415,3,15,14,56,10,414,13,26,22,33,5,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMISSIONING ONLY PCTs,--,4,16,33,36,11,723,3,8,32,37,21,724,2,5,27,34,32,724,4,13,22,50,12,724,2,13,16,51,17,724,1,4,9,53,32,724,2,8,11,56,23,723,3,11,13,55,18,722,3,7,12,58,20,723,7,15,21,43,15,723,3,10,18,53,15,721,4,27,29,28,12,720,2,8,17,61,12,721,12,27,24,31,5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N7,Derby City Primary Care Trust,Q33,5,17,32,35,12,84,2,12,30,35,21,84,2,2,39,33,23,84,5,11,31,39,14,84,1,17,20,44,18,84,2,7,14,45,31,84,1,10,12,52,25,84,4,17,13,51,15,84,5,8,15,51,20,84,14,20,21,33,11,84,2,17,18,50,13,84,5,27,42,20,6,84,4,6,21,57,12,84,10,27,30,27,6,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N6,Derbyshire County Primary Care Trust,Q33,3,18,33,32,14,185,3,9,35,30,24,186,3,9,23,25,40,186,4,16,15,52,13,186,1,16,14,50,19,186,1,2,6,54,38,186,1,9,11,55,24,185,4,9,14,55,19,186,4,7,11,60,18,186,6,13,20,47,13,186,3,10,19,53,15,185,6,23,26,32,12,185,1,4,12,69,14,185,13,31,21,29,5,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,NHS Bedfordshire and Luton Cluster,Q35,3,15,32,40,10,183,3,5,28,40,23,183,1,4,22,39,34,183,4,16,19,52,8,183,3,11,15,57,14,183,2,5,9,56,29,183,3,10,9,56,21,183,2,8,13,58,18,182,3,3,12,62,20,183,5,11,21,43,19,182,4,5,18,54,18,182,3,24,25,31,18,182,3,10,16,60,10,182,16,30,19,31,4,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL2,NHS Bournemouth and Poole and NHS Dorset Cluster,Q39,6,13,35,38,9,271,3,6,33,43,15,271,3,6,24,37,30,271,3,8,22,55,12,271,1,9,17,54,19,271,1,3,8,55,32,271,2,5,13,59,21,271,2,9,13,56,20,270,2,7,10,61,20,270,4,15,20,46,15,271,3,10,18,54,16,270,4,32,24,29,10,269,1,10,16,60,13,270,10,21,25,38,7,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMUNITY TRUSTS,--,4,11,33,37,15,"8,327",2,6,26,37,29,"8,302",1,3,18,34,44,"8,314",3,9,18,54,17,"8,323",2,8,10,56,25,"8,338",1,3,6,52,38,"8,345",3,11,10,47,29,"8,332",3,10,19,50,18,"8,323",2,7,14,57,20,"8,329",7,17,22,40,15,"8,319",4,14,25,44,13,"8,308",4,23,26,31,15,"8,272",6,20,19,46,9,"8,306",19,32,21,24,4,"8,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYW,Birmingham Community Healthcare NHS Trust,Q34,5,15,31,35,14,378,4,7,25,39,25,375,3,6,16,32,44,377,6,10,17,52,15,377,4,9,8,56,23,378,3,2,8,47,39,378,6,14,8,44,28,379,6,13,17,46,17,376,5,11,13,53,18,377,13,19,18,37,13,377,7,17,25,38,12,378,6,19,24,30,21,374,12,22,18,42,5,376,31,32,16,18,3,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY2,Bridgewater Community Healthcare NHS Trust,Q31,5,13,32,37,13,435,2,7,25,34,31,433,1,3,18,33,45,436,4,9,19,50,18,436,2,9,10,54,25,436,1,3,7,47,43,436,3,8,12,45,31,435,3,11,22,46,18,435,3,7,14,55,21,435,6,16,22,40,16,436,3,13,26,43,15,435,5,25,24,35,11,434,7,21,23,43,7,436,20,34,20,24,2,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYV,Cambridgeshire Community Services NHS Trust,Q35,2,9,30,43,15,427,1,5,26,39,29,426,1,3,18,34,43,427,2,9,16,55,19,423,1,6,9,56,27,423,2,4,7,48,40,424,4,10,10,46,30,422,4,11,16,49,20,425,4,7,12,53,23,427,8,15,21,40,16,424,6,12,25,42,15,424,5,24,23,32,16,423,6,19,19,48,9,426,16,36,18,26,4,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYX,Central London Community Healthcare NHS Trust,Q36,4,9,36,35,17,371,2,6,27,37,29,367,2,4,16,35,43,370,2,7,14,56,20,372,1,6,10,52,31,373,2,3,5,47,44,372,4,10,8,43,34,372,2,9,13,56,19,372,2,6,12,59,21,372,7,13,25,40,15,371,3,11,26,45,16,373,4,21,30,28,17,368,4,20,20,47,10,371,20,24,23,28,5,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY8,Derbyshire Community Health Services NHS Trust,Q33,3,9,32,39,17,460,1,5,24,36,34,460,1,3,17,32,47,459,1,8,19,52,19,460,1,6,10,59,24,459,0,3,3,56,37,460,2,9,9,48,31,459,1,10,22,48,18,460,1,6,19,54,20,460,3,15,28,37,16,459,2,11,29,42,16,458,3,21,29,34,13,453,3,18,18,51,10,456,14,28,27,25,6,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY4,Hertfordshire Community NHS Trust,Q35,3,13,35,35,15,449,2,7,27,38,26,445,1,4,19,35,41,446,2,11,21,52,14,448,1,7,9,57,25,447,2,2,5,54,36,449,2,14,11,46,27,447,4,13,20,48,16,449,2,7,13,59,18,447,8,18,20,39,14,446,5,16,25,43,11,448,5,22,22,34,18,445,9,22,23,40,6,448,26,39,18,15,2,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY9,Hounslow And Richmond Community Healthcare NHS Trust,Q36,4,11,34,36,15,303,1,6,31,36,26,304,1,4,16,36,43,303,2,10,15,57,17,303,2,10,9,54,25,303,1,3,8,55,34,304,4,10,10,48,28,305,2,10,19,50,19,303,2,4,16,57,20,303,5,14,28,40,13,303,3,10,25,49,12,303,4,21,25,36,14,300,6,19,20,48,8,302,21,34,22,22,3,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYY,Kent Community Health NHS Trust,Q37,4,11,35,33,17,438,2,7,26,37,27,435,2,3,20,31,45,436,4,7,17,58,14,439,2,6,11,59,23,439,1,3,7,57,33,439,5,11,11,47,27,440,2,9,24,50,15,438,2,9,13,58,18,437,7,20,25,35,13,437,4,14,30,41,12,439,3,28,27,28,16,440,6,19,17,50,8,439,17,32,19,28,3,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY6,Leeds Community Healthcare NHS Trust,Q32,5,9,34,39,13,421,1,7,27,40,26,422,2,4,14,36,44,421,1,8,16,56,18,419,1,5,10,56,27,422,1,3,4,49,42,423,3,12,10,45,30,420,2,10,19,48,22,422,2,8,11,56,24,422,6,16,21,41,15,423,4,13,25,42,16,421,4,26,24,32,14,418,5,18,16,50,11,421,18,33,20,25,3,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY5,Lincolnshire Community Health Services NHS Trust,Q33,3,10,33,37,17,454,1,4,26,37,32,452,1,3,16,34,46,453,2,11,17,51,20,454,2,8,11,53,27,453,1,3,6,52,38,454,3,13,12,44,27,453,2,9,21,50,18,452,2,7,16,56,19,454,6,16,24,39,14,452,4,12,29,40,15,451,5,24,22,30,18,450,6,16,17,50,10,449,23,28,21,22,5,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY1,Liverpool Community Health NHS Trust,Q31,6,14,35,34,11,337,1,7,30,33,28,336,3,4,23,34,36,336,4,9,19,53,15,336,2,6,10,56,26,339,2,2,7,54,35,339,2,10,10,46,31,338,3,13,19,54,12,337,3,10,14,58,16,337,5,21,15,46,13,337,3,17,21,48,11,335,4,23,25,33,15,334,4,17,18,50,11,336,19,33,20,23,4,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CQ1,Milton Keynes Community Health Services,Q38,3,6,28,45,19,405,1,4,17,42,36,406,2,3,17,33,45,405,3,7,11,53,25,406,2,7,6,55,30,406,2,2,5,46,45,406,1,8,8,48,36,405,3,7,16,49,24,403,3,5,12,52,28,404,4,12,23,40,21,404,3,9,20,49,19,404,3,27,29,29,12,401,4,14,16,52,14,402,12,28,28,27,5,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
