VALUATION TRIBUNAL SERVICE,,,,,,,,,
Transparency Report ,,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling,,
Communities & Local Government,VTS,06/03/2013,Training,Council Tax Reduction,HOLIDAY INN DONCASTER,2100095150,"1,120.00",,
Communities & Local Government,VTS,25/03/2013,Training,Council Tax Reduction,K INTERNATIONAL PLC,2100095967,"3,011.45",,
Communities & Local Government,VTS,12/03/2013,Training,Council Tax Reduction,LANCASTER LANDMARK HOTEL CO LTD,2100095350,594.00,,
Communities & Local Government,VTS,06/03/2013,Training,Council Tax Reduction,LEICESTER FOOTBALL CLUB,2100095149,834.00,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095484,192.00,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095484,69.02,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095484,35.00,,
Communities & Local Government,VTS,21/03/2013,Training,Council Tax Reduction,Members expenses,2100095862,222.14,,
Communities & Local Government,VTS,21/03/2013,Training,Council Tax Reduction,Members expenses,2100095862,6.90,,
Communities & Local Government,VTS,21/03/2013,Training,Council Tax Reduction,Members expenses,2100095862,10.00,,
Communities & Local Government,VTS,21/03/2013,Training,Council Tax Reduction,Members expenses,2100095862,12.15,,
Communities & Local Government,VTS,19/03/2013,Training,Council Tax Reduction,Members expenses,2100095645,301.02,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095485,2.88,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095485,5.00,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095485,9.20,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095485,5.00,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095485,8.83,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095485,232.00,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,Members expenses,2100095476,100.34,,
Communities & Local Government,VTS,13/03/2013,Training,Council Tax Reduction,Members expenses,2100095358,204.16,,
Communities & Local Government,VTS,13/03/2013,Training,Council Tax Reduction,Members expenses,2100095358,99.00,,
Communities & Local Government,VTS,13/03/2013,Training,Council Tax Reduction,Members expenses,2100095358,13.31,,
Communities & Local Government,VTS,13/03/2013,Training,Council Tax Reduction,Members expenses,2100095358,3.84,,
Communities & Local Government,VTS,19/03/2013,Training,Council Tax Reduction,Members expenses,2100095634,192.56,,
Communities & Local Government,VTS,19/03/2013,Training,Council Tax Reduction,Members expenses,2100095634,12.00,,
Communities & Local Government,VTS,19/03/2013,Training,Council Tax Reduction,Members expenses,2100095634,115.00,,
Communities & Local Government,VTS,18/03/2013,Training,Council Tax Reduction,ORCHARD RESTAURANT (TRC) LTD,2100095489,441.00,,
Communities & Local Government,VTS,20/03/2013,Training,Council Tax Reduction,Members expenses,2100095768,805.00,,
Communities & Local Government,VTS,12/03/2013,Training,Council Tax Reduction,Members expenses,2100095344,640.00,,
Communities & Local Government,VTS,20/03/2013,Printing,Council Tax Reduction,QD - QUARTO DESIGN,2100095708,"1,128.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Council Tax Reduction,UK COMPUTER SUPPLIES LTD,2100095330,"1,788.90",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095337,"3,600.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095339,"3,120.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095824,"3,365.12",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095829,"4,680.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095830,"3,120.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095823,"6,844.76",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095832,"6,300.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095837,"4,980.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095833,"22,680.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095834,"2,700.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095835,"10,920.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095836,840.00,,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095827,"1,860.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095338,"13,440.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Council Tax Reduction,ULTIMA BUSINESS SOLUTIONS,2100095340,"2,700.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Council Tax Reduction,VU CREATIVE LIMITED,2100095335,"1,980.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Information Technology,UK COMPUTER SUPPLIES LTD,2100095331,"1,857.55",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Information Technology,UK COMPUTER SUPPLIES LTD,2100095334,"10,269.67",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Information Technology,ACTIVITY INFORMATION MANAGEMENT LTD,2100095341,"22,800.00",,
Communities & Local Government,VTS,20/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095760,"2,731.20",,
Communities & Local Government,VTS,20/03/2013,Furniture and Fitting,Operational,KINNARPS (UK) LIMITED,2100095775,"5,924.44",,
Communities & Local Government,VTS,20/03/2013,Furniture and Fitting,Operational,KINNARPS (UK) LIMITED,2100095777,303.32,,
Communities & Local Government,VTS,14/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095417,"1,248.00",,
Communities & Local Government,VTS,14/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095420,"2,559.60",,
Communities & Local Government,VTS,14/03/2013,IT SUPPORT,Information Technology,ACTIVITY INFORMATION MANAGEMENT LTD,2100095422,"17,100.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Information Technology,ULTIMA BUSINESS SOLUTIONS,2100095825,"6,750.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Information Technology,ULTIMA BUSINESS SOLUTIONS,2100095821,"11,880.00",,
Communities & Local Government,VTS,14/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095418,900.00,,
Communities & Local Government,VTS,14/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095419,"1,706.40",,
Communities & Local Government,VTS,14/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095421,"4,680.00",,
Communities & Local Government,VTS,20/03/2013,Furniture and Fitting,Operational,KINNARPS (UK) LIMITED,2100095774,"10,744.26",,
Communities & Local Government,VTS,20/03/2013,Furniture and Fitting,Operational,KINNARPS (UK) LIMITED,2100095776,741.05,,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Information Technology,ULTIMA BUSINESS SOLUTIONS,2100095826,"23,400.00",,
Communities & Local Government,VTS,21/03/2013,IT SUPPORT,Information Technology,ULTIMA BUSINESS SOLUTIONS,2100095822,"59,400.00",,
Communities & Local Government,VTS,12/03/2013,IT SUPPORT,Information Technology,UK COMPUTER SUPPLIES LTD,2100095333,"10,269.67",,
Communities & Local Government,VTS,20/03/2013,IT SUPPORT,Information Technology,COMPUTACENTER (UK) LTD,2100095759,"70,800.00",,
Communities & Local Government,VTS,22/03/2013,IT SUPPORT,Information Technology,MISCO,2100095884,757.90,,
Communities & Local Government,VTS,20/03/2013,IT SUPPORT,Information Technology,VALUATION OFFICE AGENCY,2100095738,"82,035.70",,
