Newcastle City Council Invoices over £500 paid in June 2012,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,PEMBROKE REST HOME,5535006,Revenue,1MM20,Ind Res Care MH              M,2840.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,PEMBROKE REST HOME,5535006,Revenue,3WH93,Continuing Care              M,6451.92,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,PERCY HEDLEY CENTRE,5535087,Revenue,1MK20,Ind Res Care LD              M,16338.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,PERCY HOUSE,5535035,Revenue,1MM20,Ind Res Care MH              M,5104.68,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,PHILIP CUSSINS HOUSE,5535115,Revenue,1MG20,Ind Res Care Elderly         M,5088.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,PHILIPS COURT NURSING HOME,5551059,Revenue,1MG10,Ind Nursing Care Elderly     M,1796.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,PHILIPS COURT NURSING HOME,5551059,Revenue,1MG20,Ind Res Care Elderly         M,3508.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,POSITIVE LIFE CHOICES(F),5542519,Revenue,1MK54,Dom Care Own Tenancy LD      M,2556.63,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,POSITIVE LIFE CHOICES(F),5542519,Revenue,1MK55,Dom Care Family/Carer LD     M,2998.65,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,POTENSIAL LTD,5542506,Revenue,1MK55,Dom Care Family/Carer LD     M,1200.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,POTENSIAL LTD,5535053,Revenue,1MK20,Ind Res Care LD              M,4472.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,PRIORY GROUP,5551053,Revenue,1MM20,Ind Res Care MH              M,16280.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,QUALITY INDEPENDENT CARE,5542500,Revenue,1MG51,Ind Home Per Care Elderly    M,17685.48,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,QUALITY INDEPENDENT CARE,5542500,Revenue,1MH51,Ind Home Per Care PD         M,3571.67,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,QUALITY INDEPENDENT CARE,5542500,Revenue,1MK51,Ind Home-Per Care LD         M,1142.70,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,QUALITY INDEPENDENT CARE,5542500,Revenue,1MM51,Ind Home-Per Care MH         M,164.08,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,R & C SHEPERIA,5551058,Revenue,1MK34,Shared Lives - Adult LD      M,1540.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,REAL LIFE OPTIONS,5542511,Revenue,1MK54,Dom Care Own Tenancy LD      M,3558.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,REAL LIFE OPTIONS,5542532,Revenue,1MK50,Ind Supported Living LD      M,17343.57,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,REAL LIFE OPTIONS,5542533,Revenue,1MK50,Ind Supported Living LD      M,8102.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,12 June 2012,REAL LIFE OPTIONS,5542534,Revenue,1MK50,Ind Supported Living LD      M,57475.81,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,RED BRICK HOUSE,5535036,Revenue,1MG10,Ind Nursing Care Elderly     M,1778.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550006,Revenue,1MK40,Direct Payments LD           M,688.12,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550079,Revenue,1MG40,Direct Payments Elderly      M,1155.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550263,Revenue,1MG40,Direct Payments Elderly      M,1000.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550024,Revenue,1MK40,Direct Payments LD           M,783.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549907,Revenue,1MH40,Direct Payments PD           M,3132.84,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549938,Revenue,1MH40,Direct Payments PD           M,1379.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549943,Revenue,1MD66,CWD Care Packages            E,559.72,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550042,Revenue,1MK40,Direct Payments LD           M,840.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550051,Revenue,1MD66,CWD Care Packages            E,2500.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550137,Revenue,1MG40,Direct Payments Elderly      M,1110.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550045,Revenue,1MK40,Direct Payments LD           M,802.16,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550340,Revenue,1MK40,Direct Payments LD           M,616.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550211,Revenue,1MK40,Direct Payments LD           M,4210.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550211,Revenue,3WH96,Continuing Care-Dom Payments M,4210.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550332,Revenue,1MM40,Direct Payments MH           M,600.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550161,Revenue,1MH40,Direct Payments PD           M,531.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550308,Revenue,1MG40,Direct Payments Elderly      M,1344.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550158,Revenue,1MG40,Direct Payments Elderly      M,684.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550046,Revenue,1MK40,Direct Payments LD           M,1198.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550218,Revenue,1MG40,Direct Payments Elderly      M,600.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550134,Revenue,1MK40,Direct Payments LD           M,5218.32,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550304,Revenue,1MG40,Direct Payments Elderly      M,1420.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550344,Revenue,1MG40,Direct Payments Elderly      M,700.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550131,Revenue,1MG40,Direct Payments Elderly      M,642.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550013,Revenue,1MK40,Direct Payments LD           M,3552.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549905,Revenue,1MH40,Direct Payments PD           M,1840.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550276,Revenue,1MH40,Direct Payments PD           M,539.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550000,Revenue,1MK40,Direct Payments LD           M,660.48,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550114,Revenue,1MK40,Direct Payments LD           M,1198.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550149,Revenue,1MK40,Direct Payments LD           M,1183.16,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549906,Revenue,1MH40,Direct Payments PD           M,6832.32,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550155,Revenue,1MK40,Direct Payments LD           M,2661.68,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549949,Revenue,1MH40,Direct Payments PD           M,846.32,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550092,Revenue,1MG40,Direct Payments Elderly      M,1070.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535047,Revenue,1MK34,Shared Lives - Adult LD      M,1540.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549957,Revenue,1MH40,Direct Payments PD           M,1200.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549925,Revenue,1MH40,Direct Payments PD           M,770.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550156,Revenue,1MG40,Direct Payments Elderly      M,898.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550329,Revenue,1MG40,Direct Payments Elderly      M,610.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549941,Revenue,1MD66,CWD Care Packages            E,1409.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535148,Revenue,1MK34,Shared Lives - Adult LD      M,1540.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550355,Revenue,1MK40,Direct Payments LD           M,2135.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550141,Revenue,1MH40,Direct Payments PD           M,2866.84,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535085,Revenue,1MG20,Ind Res Care Elderly         M,3605.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535012,Revenue,1MK34,Shared Lives - Adult LD      M,1540.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550342,Revenue,1MG40,Direct Payments Elderly      M,600.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550037,Revenue,1MG40,Direct Payments Elderly      M,614.04,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549944,Revenue,1MM40,Direct Payments MH           M,734.28,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550012,Revenue,1MD66,CWD Care Packages            E,727.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549934,Revenue,1MH40,Direct Payments PD           M,684.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535027,Revenue,1MG10,Ind Nursing Care Elderly     M,1752.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535143,Revenue,1MG20,Ind Res Care Elderly         M,50361.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550261,Revenue,1MG40,Direct Payments Elderly      M,1198.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550265,Revenue,1MK40,Direct Payments LD           M,513.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549946,Revenue,1MG40,Direct Payments Elderly      M,1806.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550214,Revenue,1MK40,Direct Payments LD           M,1239.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549945,Revenue,1MD66,CWD Care Packages            E,716.72,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550249,Revenue,1MK40,Direct Payments LD           M,564.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549955,Revenue,1MD66,CWD Care Packages            E,1200.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550245,Revenue,1MK40,Direct Payments LD           M,640.92,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550050,Revenue,1MH40,Direct Payments PD           M,2118.16,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550050,Revenue,3WH96,Continuing Care-Dom Payments M,2118.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549953,Revenue,1MD66,CWD Care Packages            E,727.64,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550048,Revenue,1MK40,Direct Payments LD           M,5390.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550312,Revenue,1MK40,Direct Payments LD           M,552.76,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549992,Revenue,1MH40,Direct Payments PD           M,1284.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550346,Revenue,1MG40,Direct Payments Elderly      M,1100.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550100,Revenue,1MK40,Direct Payments LD           M,2610.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550205,Revenue,1MK40,Direct Payments LD           M,539.92,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550062,Revenue,1MG40,Direct Payments Elderly      M,3657.44,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550062,Revenue,3WH96,Continuing Care-Dom Payments M,1835.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550230,Revenue,1MG40,Direct Payments Elderly      M,700.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550328,Revenue,1MG40,Direct Payments Elderly      M,1076.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550106,Revenue,1MG40,Direct Payments Elderly      M,1366.53,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550015,Revenue,1MD66,CWD Care Packages            E,727.16,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550135,Revenue,1MK40,Direct Payments LD           M,1498.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550991,Revenue,1MG20,Ind Res Care Elderly         M,87376.37,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550335,Revenue,1MG40,Direct Payments Elderly      M,1975.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550099,Revenue,1MH40,Direct Payments PD           M,2542.81,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549966,Revenue,1MK40,Direct Payments LD           M,1284.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549983,Revenue,1MK40,Direct Payments LD           M,2128.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549983,Revenue,3WH96,Continuing Care-Dom Payments M,2128.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535068,Revenue,1MG20,Ind Res Care Elderly         M,4600.08,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550101,Revenue,1MM40,Direct Payments MH           M,574.18,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550204,Revenue,1MG40,Direct Payments Elderly      M,1134.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550270,Revenue,1MG40,Direct Payments Elderly      M,796.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550091,Revenue,1MH40,Direct Payments PD           M,804.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550172,Revenue,1MG40,Direct Payments Elderly      M,513.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550078,Revenue,1MK40,Direct Payments LD           M,513.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550022,Revenue,1MK40,Direct Payments LD           M,3197.28,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549939,Revenue,1MH40,Direct Payments PD           M,580.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550252,Revenue,1MH40,Direct Payments PD           M,796.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550343,Revenue,1MG40,Direct Payments Elderly      M,1729.27,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550339,Revenue,1MG40,Direct Payments Elderly      M,925.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550290,Revenue,1MG40,Direct Payments Elderly      M,1012.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550319,Revenue,1MM40,Direct Payments MH           M,700.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550129,Revenue,1MH40,Direct Payments PD           M,3851.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550198,Revenue,1MH40,Direct Payments PD           M,2593.32,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550198,Revenue,3WH96,Continuing Care-Dom Payments M,2593.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549937,Revenue,1MH40,Direct Payments PD           M,2731.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549937,Revenue,3WH96,Continuing Care-Dom Payments M,2731.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550148,Revenue,1MK40,Direct Payments LD           M,2663.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550139,Revenue,1MK40,Direct Payments LD           M,642.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550333,Revenue,1MG40,Direct Payments Elderly      M,1125.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550181,Revenue,1MK40,Direct Payments LD           M,1761.10,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550162,Revenue,1MH40,Direct Payments PD           M,1536.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550317,Revenue,1MG40,Direct Payments Elderly      M,1460.64,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550038,Revenue,1MH40,Direct Payments PD           M,780.84,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550285,Revenue,1MH40,Direct Payments PD           M,723.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550219,Revenue,1MG40,Direct Payments Elderly      M,800.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549977,Revenue,1MH40,Direct Payments PD           M,3458.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549977,Revenue,3WH96,Continuing Care-Dom Payments M,3458.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549933,Revenue,1MH40,Direct Payments PD           M,1650.64,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549933,Revenue,3WH96,Continuing Care-Dom Payments M,1650.64,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549935,Revenue,1MG40,Direct Payments Elderly      M,813.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549917,Revenue,1MH40,Direct Payments PD           M,1498.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550361,Revenue,1MK40,Direct Payments LD           M,1341.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550282,Revenue,1MG40,Direct Payments Elderly      M,1600.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550236,Revenue,1MK40,Direct Payments LD           M,732.44,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549940,Revenue,1MK40,Direct Payments LD           M,6902.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549929,Revenue,1MH40,Direct Payments PD           M,1679.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549929,Revenue,1MK40,Direct Payments LD           M,649.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550043,Revenue,1MK40,Direct Payments LD           M,800.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550194,Revenue,1MH40,Direct Payments PD           M,1094.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550191,Revenue,1MG40,Direct Payments Elderly      M,1797.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550028,Revenue,1MH40,Direct Payments PD           M,1800.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550053,Revenue,1MD66,CWD Care Packages            E,2000.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550306,Revenue,1MK40,Direct Payments LD           M,647.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550277,Revenue,1MG40,Direct Payments Elderly      M,832.48,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550060,Revenue,1MG40,Direct Payments Elderly      M,1754.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550225,Revenue,1MH40,Direct Payments PD           M,1325.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549995,Revenue,1MK40,Direct Payments LD           M,677.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549954,Revenue,1MD66,CWD Care Packages            E,1467.44,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550066,Revenue,1MK40,Direct Payments LD           M,576.48,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550336,Revenue,1MG40,Direct Payments Elderly      M,900.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549975,Revenue,1MK40,Direct Payments LD           M,550.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550185,Revenue,1MK40,Direct Payments LD           M,2390.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550020,Revenue,1MD66,CWD Care Packages            E,1156.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550109,Revenue,1MK40,Direct Payments LD           M,7487.64,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549959,Revenue,1MK40,Direct Payments LD           M,1926.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550040,Revenue,1MK40,Direct Payments LD           M,1217.68,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550327,Revenue,1MG40,Direct Payments Elderly      M,900.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549950,Revenue,1MH40,Direct Payments PD           M,1669.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550087,Revenue,1MK40,Direct Payments LD           M,558.76,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550199,Revenue,1MG40,Direct Payments Elderly      M,642.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550044,Revenue,1MK40,Direct Payments LD           M,1712.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550334,Revenue,1MG40,Direct Payments Elderly      M,600.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 June 2012,Redacted Personal Data,5535005,Revenue,1MK34,Shared Lives - Adult LD      M,3080.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549997,Revenue,1MD66,CWD Care Packages            E,1304.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549924,Revenue,1MK40,Direct Payments LD           M,829.68,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5549924,Revenue,1MK50,Ind Supported Living LD      M,829.68,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550071,Revenue,1MK40,Direct Payments LD           M,1027.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550278,Revenue,1MH40,Direct Payments PD           M,608.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550019,Revenue,1MH40,Direct Payments PD           M,684.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 June 2012,Redacted Personal Data,5550003,Revenue,1MK40,Direct Payments LD           M,5648.84,
