5.T&N,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK telecoms industry key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Narrowband,658,242,118,85,74,29,,,,,,,,,,,,,,,,,,,,,
Broadband,"2,559","2,954","3,126","3,166","3,102","3,361",,,,,,,,,,,,,,,,,,,,,
Total,"13,758","13,574","13,398","12,904","12,572","12,327",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed voice revenues, by type of call",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£m),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Total,"5,383","5,101","4,808","4,553","4,344","3,721",,,,,,,,,,,,,,,,,,,,,
UK geographic,"1,570","1,433","1,363","1,340","1,328","1,156",,,,,,,,,,,,,,,,,,,,,
Mobile,"1,763","1,748","1,675","1,595","1,477","1,243",,,,,,,,,,,,,,,,,,,,,
International,669,637,604,503,474,403,,,,,,,,,,,,,,,,,,,,,
Others,"1,381","1,283","1,165","1,115","1,065",919,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed voice volumes, by type of call",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
UK geographic,107,97,92,89,88,79,,,,,,,,,,,,,,,,,,,,,
Mobile,16,15,13,12,12,10,,,,,,,,,,,,,,,,,,,,,
International,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,
Others,24,31,28,23,21,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
ADSL,9.93,11.87,13.22,13.97,14.97,15.91,,,,,,,,,,,,,,,,,,,,,
Cable,3.06,3.41,3.68,3.84,4.03,4.12,,,,,,,,,,,,,,,,,,,,,
Other broadband,0.03,0.04,0.04,0.05,0.13,0.41,,,,,,,,,,,,,,,,,,,,,
Total broadband,13.01,15.32,16.94,17.86,19.13,20.44,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local loop unbundling connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
BT Retail ADSL,3.1,4.1,4.5,4.9,5.4,6,,,,,,,,,,,,,,,,,,,,,
LLU ADSL,1.3,3.7,5.5,6.4,7.5,7.9,,,,,,,,,,,,,,,,,,,,,
Other non-LLU ADSL,5.5,4,3.2,2.7,2.1,2,,,,,,,,,,,,,,,,,,,,,
Total ADSL,9.9,11.9,13.2,14,15,15.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband market share,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market share (% connections),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
BT Retail,24,27,27,27,28,29,,,,,,,,,,,,,,,,,,,,,
Virgin,24,22,22,22,21,20,,,,,,,,,,,,,,,,,,,,,
TalkTalk,28,26,25,23,21,18,,,,,,,,,,,,,,,,,,,,,
Sky,1,8,12,13,16,18,,,,,,,,,,,,,,,,,,,,,
Orange,9,7,6,5,4,3,,,,,,,,,,,,,,,,,,,,,
O2,0,1,2,3,4,3,,,,,,,,,,,,,,,,,,,,,
Others,15,9,7,6,7,7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections by 'up to' headline speed,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of broadband connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less than 8Mbit/s,8Mbit/s to 10Mbit/s,Over 10Mbit/s,Over 10Mbit/s and less than 30Mbit/s,30Mbit/s and higher,,,,,,,,,,,,,,,,,,,,,,
Nov-08,34%,59%,8%,,,,,,,,,,,,,,,,,,,,,,,,
Apr-09,30%,62%,8%,,,,,,,,,,,,,,,,,,,,,,,,
May-10,8%,68%,,24%,0%,,,,,,,,,,,,,,,,,,,,,,
Nov-10,4%,54%,,41%,1%,,,,,,,,,,,,,,,,,,,,,,
May-11,2%,51%,,45%,2%,,,,,,,,,,,,,,,,,,,,,,
Nov-11,1%,41%,,53%,5%,,,,,,,,,,,,,,,,,,,,,,
May-12,1%,31%,,60%,8%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators. Excludes business connections.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile retail revenue, by voice, messaging and data",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Voice,10.9,11.5,11.5,10.9,10.6,10.5,,,,,,,,,,,,,,,,,,,,,
Messaging,2.4,2.7,2.8,2.6,2.6,2.5,,,,,,,,,,,,,,,,,,,,,
Data,0.6,0.8,1.2,1.5,1.7,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures 5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile retail revenue, by type of call",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£m),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Access and bundled calls ,"5,861","6,595","6,909","6,416","6,415","6,582",,,,,,,,,,,,,,,,,,,,,
Calls to fixed,831,882,776,705,638,563,,,,,,,,,,,,,,,,,,,,,
On-net mobile ,828,728,693,639,607,526,,,,,,,,,,,,,,,,,,,,,
Off-net mobile,"1,948","1,751","1,569","1,460","1,228","1,062",,,,,,,,,,,,,,,,,,,,,
International,339,377,429,399,353,352,,,,,,,,,,,,,,,,,,,,,
Other calls,"1,051","1,132","1,097","1,233","1,355","1,422",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile average revenue per user,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Blended,16.99,17.4,17.15,16.03,15.47,15.43,,,,,,,,,,,,,,,,,,,,,
Prepay,7.24,7.43,7.23,7.12,6.86,6.56,,,,,,,,,,,,,,,,,,,,,
Postpay,34.89,34.58,32.78,28.74,26.24,25.14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators. Blended refers to all subscribers – prepay and postpay.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outgoing mobiles minutes, by type of call",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Total,88,105,115,121,125,124,,,,,,,,,,,,,,,,,,,,,
UK geographic,28,31,31,32,32,31,,,,,,,,,,,,,,,,,,,,,
On-net mobile,26,32,38,42,45,42,,,,,,,,,,,,,,,,,,,,,
Off-net mobile,26,33,36,38,38,41,,,,,,,,,,,,,,,,,,,,,
International,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
Other calls,7,7,7,7,8,8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volume of mobile voice minutes, by pre-pay and post-pay subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Prepay,19,25,28,29,27,21,,,,,,,,,,,,,,,,,,,,,
Postpay,69,80,87,91,98,102,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumes of SMS messages sent,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of messages,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Prepay,26,34,43,52,61,68,,,,,,,,,,,,,,,,,,,,,
Postpay,25,33,42,53,68,83,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of mobile connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions of connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Mobile connections,70,74,77,80,81,82,,,,,,,,,,,,,,,,,,,,,
Internet via mobile handset,,9,8,14,23,33,,,,,,,,,,,,,,,,,,,,,
Mobile broadband,,,3,4,5,5,,,,,,,,,,,,,,,,,,,,,
M2M,,,,,3,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators and Ofcom market research. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: ‘Mobile broadband’ connections and ‘internet via mobile handset’ connections are included in the figure for ‘Mobile connections’. M2M connections are reported separately. ‘Internet via mobile handset’ does not count mobile users who access services such as email or social networking via their mobile device but who do not browse the web. Internet via mobile handset figures are collected in the first quarter of the following year. M2M figures are for September of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of mobile connections, by pre-pay and post-pay",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions of connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Prepay,45,46,46,47,44,41,,,,,,,,,,,,,,,,,,,,,
Postpay,25,27,30,33,37,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-to-machine (M2M) revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,,,,,,,,,,,,,,,,,,,,,,,,,
Total revenue,"1,953","2,417",,,,,,,,,,,,,,,,,,,,,,,,,
MNO expected revenue,73,98,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Machina Research: M2M Global Forecast and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine-to-machine (M2M) connections, by application",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of connected devices,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-visual sources,28,26,,,,,,,,,,,,,,,,,,,,,,,,,
Personal multimedia devices,21,19,,,,,,,,,,,,,,,,,,,,,,,,,
Smart office equipment,14,12,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent building security,11,12,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer network equipment,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing and processing,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Smart metering,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive security and tracking,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic management,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Goods monitoring and payment,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Others,9,12,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Machina Research: M2M Global Forecast and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business fixed voice and fixed broadband connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions of connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
PSTN lines,5.3,5.2,5.1,5.1,5,4.9,,,,,,,,,,,,,,,,,,,,,
ISDN lines,4.6,4.7,4.6,4.2,3.7,3.6,,,,,,,,,,,,,,,,,,,,,
Other lines (includes Centrex),0.9,1,1,0.9,1,0.9,,,,,,,,,,,,,,,,,,,,,
Broadband,1.6,1.5,1.5,1.5,1.6,1.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business mobile handset and mobile broadband connections: December 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions of connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile handset,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile broadband,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of wide-area network connectivity used by businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of businesses that use each type of connection,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cable modem, ADSL and mobile broadband",69,,,,,,,,,,,,,,,,,,,,,,,,,,
ISDN lines,56,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet access via dial-up,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Leased lines,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethernet leased lines,21,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSL,22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom Business Connectivity Services Review,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applications used over businesses' wide area network connections,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of businesses that use each application over their wide area connection(s),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email and internet,96,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote access,83,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apps, info and knowledge",77,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage networking,61,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice - PSTN grade,47,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice over IP,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Video,35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom Business Connectivity Services Review,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Likelihood of switching to superfast broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Quite likely,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Neither,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Quite unlikely,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Very unlikely,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom Business Connectivity Services Review,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business fixed voice volumes and revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billion minutes / £billion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Minutes,45,40,36,32,32,29,,,,,,,,,,,,,,,,,,,,,
Revenues,3.9,3.8,3.6,3.2,2.9,2.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators. Excludes NTS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate data services revenue, by type of connectivity",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Frame relay/ATM,183,141,107,79,58,40,,,,,,,,,,,,,,,,,,,,,
IP VPN,"1,208","1,354","1,355","1,385","1,438","1,466",,,,,,,,,,,,,,,,,,,,,
Ethernet,233,307,350,396,445,493,,,,,,,,,,,,,,,,,,,,,
Digital leased line,555,465,385,313,250,197,,,,,,,,,,,,,,,,,,,,,
Web hosting,809,885,981,"1,092","1,224","1,386",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audio, web and video conferencing revenue",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£millions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,,,,
Audio conferencing,,151,148,,,,,,,,,,,,,,,,,,,,,,,,
Web conferencing,,51,62,,,,,,,,,,,,,,,,,,,,,,,,
Video conferencing,100,106,113,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ovum: Audio and Web Conferencing Services, Volume and Revenue Forecast and Ovum: Enterprise Business Video Forecast",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average household spend on telecoms services,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month (2011 prices),,,,,,,,,,,,,,,,,,,,,,,,,,,
