4.IWBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market: key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market ,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
4-Jul,"24,575,891",10:49:43,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug,"23,631,579",11:18:00,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,"22,879,990",11:06:35,,,,,,,,,,,,,,,,,,,,,,,,
4-Oct,"23,975,497",11:43:54,,,,,,,,,,,,,,,,,,,,,,,,
4-Nov,"24,301,149",11:33:20,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,"23,743,553",10:54:52,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan,"24,087,469",12:10:32,,,,,,,,,,,,,,,,,,,,,,,,
5-Feb,"24,132,871",11:24:35,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,"23,610,011",12:19:37,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr,"23,809,718",11:45:29,,,,,,,,,,,,,,,,,,,,,,,,
5-May,"24,027,368",12:02:12,,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,"24,167,944",11:41:10,,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,"24,538,095",13:06:07,,,,,,,,,,,,,,,,,,,,,,,,
5-Aug,"24,347,506",13:27:27,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,"24,565,274",12:59:59,,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,"25,092,968",13:05:48,,,,,,,,,,,,,,,,,,,,,,,,
5-Nov,"25,352,008",13:36:25,,,,,,,,,,,,,,,,,,,,,,,,
5-Dec,"25,456,784",12:41:09,,,,,,,,,,,,,,,,,,,,,,,,
6-Jan,"25,242,578",13:39:22,,,,,,,,,,,,,,,,,,,,,,,,
6-Feb,"26,340,354",13:29:50,,,,,,,,,,,,,,,,,,,,,,,,
6-Mar,"25,918,895",14:33:55,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr,"25,854,654",13:37:27,,,,,,,,,,,,,,,,,,,,,,,,
6-May,"26,177,261",14:25:56,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,"25,938,180",12:56:03,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,"25,787,119",12:51:16,,,,,,,,,,,,,,,,,,,,,,,,
6-Aug,"26,164,320",13:13:36,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,"25,841,069",13:11:19,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct,"25,452,956",17:52:57,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,"28,687,668",16:21:10,,,,,,,,,,,,,,,,,,,,,,,,
6-Dec,"30,110,760",16:16:02,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan,"28,725,335",17:49:45,,,,,,,,,,,,,,,,,,,,,,,,
7-Feb,"29,759,176",16:20:34,,,,,,,,,,,,,,,,,,,,,,,,
7-Mar,"30,654,829",18:08:29,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr,"30,816,378",17:32:00,,,,,,,,,,,,,,,,,,,,,,,,
7-May,"30,575,250",17:36:34,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,"31,688,884",17:20:30,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,"30,566,954",17:28:44,,,,,,,,,,,,,,,,,,,,,,,,
7-Aug,"30,690,966",17:45:07,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,"31,436,023",18:17:22,,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,"32,452,547",18:42:45,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov,"32,083,248",18:38:47,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec,"32,044,437",15:47:36,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan,"32,833,258",18:01:24,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,"32,244,598",16:37:37,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,"32,049,948",17:36:55,,,,,,,,,,,,,,,,,,,,,,,,
8-Apr,"33,100,842",16:36:23,,,,,,,,,,,,,,,,,,,,,,,,
8-May,"33,416,541",16:07:34,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,"33,585,235",16:39:30,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,"33,956,129",18:30:40,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,"34,272,840",20:22:40,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,"34,769,337",19:13:10,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,"34,424,211",21:45:18,,,,,,,,,,,,,,,,,,,,,,,,
8-Nov,"34,482,196",21:30:59,,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,"34,717,544",21:21:30,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,"36,219,378",23:14:36,,,,,,,,,,,,,,,,,,,,,,,,
9-Feb,"35,575,170",21:55:55,,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,"34,723,685",23:37:48,,,,,,,,,,,,,,,,,,,,,,,,
9-Apr,"36,639,939",22:19:50,,,,,,,,,,,,,,,,,,,,,,,,
9-May,"36,146,609",23:05:49,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,"36,332,547",23:02:06,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,"37,039,989",23:12:03,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,"37,048,609",23:59:39,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,"36,835,836",23:26:11,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,"38,298,376",26:06:48,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov,"38,152,326",28:41:48,,,,,,,,,,,,,,,,,,,,,,,,
9-Dec,"37,109,873",24:05:06,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan,"38,931,106",26:37:44,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,"37,967,086",22:50:25,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,"37,816,961",25:10:23,,,,,,,,,,,,,,,,,,,,,,,,
10-Apr,"38,950,970",22:15:52,,,,,,,,,,,,,,,,,,,,,,,,
10-May,"39,689,055",23:23:09,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,"38,087,914",21:55:07,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,"37,843,636",21:20:33,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,"38,369,098",22:40:04,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,"37,621,366",21:01:40,,,,,,,,,,,,,,,,,,,,,,,,
10-Oct,"38,530,713",21:53:23,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov,"38,571,300",24:18:20,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,"38,003,837",22:39:56,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,"39,288,289",24:28:22,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,"39,022,084",23:14:51,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar,"38,148,579",24:23:27,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr,"38,927,954",21:25:30,,,,,,,,,,,,,,,,,,,,,,,,
11-May,"39,133,491",22:45:12,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,"38,928,047",23:04:13,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,"38,504,600",23:50:44,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug,"37,661,591",25:23:51,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,"38,603,554",23:05:05,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct,"38,765,972",23:45:18,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov,"39,282,658",24:02:11,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec,"38,873,101",22:55:02,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan,"39,400,960",24:36:26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Nielsen UKOM, internet users aged 2+, home and work panels, applications included. Ofcom technology tracker, Q1 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total broadband penetration -  all adults aged 16+ (n=3772),,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The online audience is an individual aged 2+ that has used an internet enabled home or non shared work computer to go online at least once in the month. Online time per person is the average time spent using a web browser or internet enabled application across the online audience. * Due  to a change in methodology figures prior to October 2006 should be treated with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average time spent on the internet on a laptop or desktop, by age and gender ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly hours online per internet user ,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,4.477777778,4.212777778,,,,,,,,,,,,,,,,,,,,,,,,
17-Dec,15.79555556,14.54138889,,,,,,,,,,,,,,,,,,,,,,,,
18 - 24,34.06805556,26.28194444,,,,,,,,,,,,,,,,,,,,,,,,
25 - 34,33.7975,25.64666667,,,,,,,,,,,,,,,,,,,,,,,,
35 - 49,27.46722222,24.24666667,,,,,,,,,,,,,,,,,,,,,,,,
50 - 64,23.71111111,24.31444444,,,,,,,,,,,,,,,,,,,,,,,,
65+,21.78777778,20.51444444,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen, March 2012, Home and Work Panel, applications included ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.29,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.29,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time spent online on a laptop or desktop computer, by region ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Time per person (hrs) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Time per person,,,,,,,,,,,,,,,,,,,,,,,,,
Lancashire,25.9575,,,,,,,,,,,,,,,,,,,,,,,,,
London,25.94,,,,,,,,,,,,,,,,,,,,,,,,,
Wales and the West,25.46444444,,,,,,,,,,,,,,,,,,,,,,,,,
UK,24.20888889,,,,,,,,,,,,,,,,,,,,,,,,,
Midlands,23.90333333,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Scotland,23.72861111,,,,,,,,,,,,,,,,,,,,,,,,,
Southern,23.49916667,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire,23.46888889,,,,,,,,,,,,,,,,,,,,,,,,,
Central Scotland,22.32388889,,,,,,,,,,,,,,,,,,,,,,,,,
South West,21.36305556,,,,,,,,,,,,,,,,,,,,,,,,,
North East,21.24444444,,,,,,,,,,,,,,,,,,,,,,,,,
East of England,21.1475,,,,,,,,,,,,,,,,,,,,,,,,,
Border,20.00944444,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen, home and work panel, applications included. Month of March 2012. Regions based on ISBA regions. Internet users aged 2+",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Online audience and domains visited per person on laptop and desktop computers: 2004 - 2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Month ,Online Audience,Domains Visited per Person,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan,"23,823,254",71,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb,"24,546,372",64,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar,"24,718,653",72,,,,,,,,,,,,,,,,,,,,,,,,
4-Apr,"24,506,602",65,,,,,,,,,,,,,,,,,,,,,,,,
4-May,"24,676,367",64,,,,,,,,,,,,,,,,,,,,,,,,
4-Jun,"24,479,647",64,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,"24,575,891",63,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug,"23,631,579",66,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,"22,879,990",64,,,,,,,,,,,,,,,,,,,,,,,,
4-Oct,"23,975,497",66,,,,,,,,,,,,,,,,,,,,,,,,
4-Nov,"24,301,149",66,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,"23,743,553",63,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan,"24,087,469",71,,,,,,,,,,,,,,,,,,,,,,,,
5-Feb,"24,132,871",67,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,"23,610,011",72,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr,"23,809,718",70,,,,,,,,,,,,,,,,,,,,,,,,
5-May,"24,027,368",73,,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,"24,167,944",73,,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,"24,538,095",81,,,,,,,,,,,,,,,,,,,,,,,,
5-Aug,"24,347,506",80,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,"24,565,274",80,,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,"25,092,968",80,,,,,,,,,,,,,,,,,,,,,,,,
5-Nov,"25,352,008",78,,,,,,,,,,,,,,,,,,,,,,,,
5-Dec,"25,456,784",76,,,,,,,,,,,,,,,,,,,,,,,,
6-Jan,"25,242,578",81,,,,,,,,,,,,,,,,,,,,,,,,
6-Feb,"26,340,354",78,,,,,,,,,,,,,,,,,,,,,,,,
6-Mar,"25,918,895",85,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr,"25,854,654",79,,,,,,,,,,,,,,,,,,,,,,,,
6-May,"26,177,261",84,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,"25,938,180",76,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,"25,787,119",77,,,,,,,,,,,,,,,,,,,,,,,,
6-Aug,"26,164,320",80,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,"25,841,069",77,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct,"25,452,956",84,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,"28,687,668",86,,,,,,,,,,,,,,,,,,,,,,,,
6-Dec,"30,110,760",75,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan,"28,725,335",88,,,,,,,,,,,,,,,,,,,,,,,,
7-Feb,"29,759,176",81,,,,,,,,,,,,,,,,,,,,,,,,
7-Mar,"30,654,829",84,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr,"30,816,378",79,,,,,,,,,,,,,,,,,,,,,,,,
7-May,"30,575,250",79,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,"31,688,884",77,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,"30,566,954",78,,,,,,,,,,,,,,,,,,,,,,,,
7-Aug,"30,690,966",76,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,"31,436,023",74,,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,"32,452,547",79,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov,"32,083,248",80,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec,"32,044,437",72,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan,"32,833,258",78,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,"32,244,598",70,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,"32,049,948",76,,,,,,,,,,,,,,,,,,,,,,,,
8-Apr,"33,100,842",68,,,,,,,,,,,,,,,,,,,,,,,,
8-May,"33,416,541",71,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,"33,585,235",85,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,"33,956,129",80,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,"34,272,840",85,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,"34,769,337",81,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,"34,424,211",84,,,,,,,,,,,,,,,,,,,,,,,,
8-Nov,"34,482,196",82,,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,"34,717,544",80,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,"36,219,378",91,,,,,,,,,,,,,,,,,,,,,,,,
9-Feb,"35,575,170",83,,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,"34,723,685",88,,,,,,,,,,,,,,,,,,,,,,,,
9-Apr,"36,639,939",86,,,,,,,,,,,,,,,,,,,,,,,,
9-May,"36,146,609",88,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,"36,332,547",84,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,"37,039,989",86,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,"37,048,609",88,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,"36,835,836",85,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,"38,298,376",81,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov,"38,152,326",81,,,,,,,,,,,,,,,,,,,,,,,,
9-Dec,"37,109,873",83,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan,"38,931,106",92,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,"37,967,086",86,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,"37,816,961",96,,,,,,,,,,,,,,,,,,,,,,,,
10-Apr,"38,950,970",85,,,,,,,,,,,,,,,,,,,,,,,,
10-May,"39,689,055",92,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,"38,087,914",89,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,"37,843,636",90,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,"38,369,098",95,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,"37,621,366",90,,,,,,,,,,,,,,,,,,,,,,,,
10-Oct,"38,530,713",93,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov,"38,571,300",98,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,"38,003,837",89,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,"39,288,289",97,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,"39,022,084",92,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar,"38,148,579",89,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr,"38,927,954",74,,,,,,,,,,,,,,,,,,,,,,,,
11-May,"39,133,491",81,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,"38,928,047",79,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,"38,504,600",84,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug,"37,661,591",84,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,"38,603,554",76,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct,"38,765,972",80,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov,"39,282,658",81,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec,"38,873,101",74,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan,"39,400,960",82,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Nielsen UKOM, internet users aged 2+, home and work panels, applications included. Ofcom technology tracker, Q1 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The online audience is an individual aged 2+ that has used an internet enabled home or non shared work computer to go online at least once in the month. Due  to a change in methodology figures prior to October 2006 should be treated with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet take up and intentions: 2008 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly hours online per internet user ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,
Internet connection at home,65,70,73,76,79,,,,,,,,,,,,,,,,,,,,,
Likely to get in next 12 months,6,5,5,4,4,,,,,,,,,,,,,,,,,,,,,
Don't know if will get,8,3,4,3,2,,,,,,,,,,,,,,,,,,,,,
Don't intend to get,21,22,17,17,15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
QE2/ QE24 – Do you or does anyone in your household have access to the internet / world wide web at home (via any device)?/ How likely are you to get internet access at home in the next 12 months? ,,,,,,,,,,,,,,,,,,,,,,,,,,
" Base: All adults aged 16+ (5812 aged 16+ in 2008, 6090 aged 16+ in 2009, 9013 aged 16+ in 2010, 3474 aged 16+ in 2011, 3772 aged 16+ in 2012, 483 aged 16-24, 608 aged 25-34, 713 aged 35-44, 582 aged 45-54, 596 aged 55-64, 447 aged 65-74, 341 aged 75+, 822 AB, 1085 C1, 765 C2, 1098 DE), 1804 male, 1968 female).  ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base in January to February 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.32,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internet take-up and intentions,  by demographic group",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,Male,DE,C2,C1,AB,75+,65-74,55-64,45-54,35-44,25-34,16-24,,,,,,,,,,,,,
Internet connection at home,77,81,61,76,85,92,27,64,75,84,90,88,88,,,,,,,,,,,,,
Likely to get in next 12 months,4,3,6,4,4,,2,,2,4,3,6,6,,,,,,,,,,,,,
Don't know if will get,2,2,3,3,1,1,5,2,2,,2,2,2,,,,,,,,,,,,,
Don't intend to get,17,14,30,16,10,6,66,33,20,10,6,4,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
QE2/ QE24 – Do you or does anyone in your household have access to the internet / world wide web at home (via any device)?/ How likely are you to get internet access at home in the next 12 months? ,,,,,,,,,,,,,,,,,,,,,,,,,,
" Base: All adults aged 16+ (5812 aged 16+ in 2008, 6090 aged 16+ in 2009, 9013 aged 16+ in 2010, 3474 aged 16+ in 2011, 3772 aged 16+ in 2012, 483 aged 16-24, 608 aged 25-34, 713 aged 35-44, 582 aged 45-54, 596 aged 55-64, 447 aged 65-74, 341 aged 75+, 822 AB, 1085 C1, 765 C2, 1098 DE), 1804 male, 1968 female).  ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base in January to February 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stated reasons for not intending to get home internet access in the next 12 months: 2005, 2007, 2009, 2010 and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,Cost,No access,Knowledge,Concerns,Access elsewhere,,,,,,,,,,,,,,,,,,,,
2005,82,18,,7,2,2,,,,,,,,,,,,,,,,,,,,
2007,82,21,,15,2,1,,,,,,,,,,,,,,,,,,,,
2009,72,31,23,11,6,2,,,,,,,,,,,,,,,,,,,,
2010,78,35,26,17,6,2,,,,,,,,,,,,,,,,,,,,
2011,78,30,20,14,8,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Reason 2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,66%,16%,7%,4%,4%,1%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN17/ IN18– Can you tell me what your reasons are for not getting internet access at home? (Unprompted responses, multi-coded)/ And what is your main reason for not getting internet access at home? (Unprompted responses, single coded)",,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 16+ who do not intend to get internet access at home (930 in 2005, 743 in 2007, 410 in 2009, 478 in 2010, 328 in 2011). Significance testing shows any change between 2010 and 2011. Percentages may add to more than 100% as respondents can nominate more than one reason. Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base in September to October 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.34,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest in internet functions among non-users: 2009 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,2011,2011,2010,2009,2011,2010,2009,2011,2010,2009,2011,2010,2009,2011,2010,2009,2011,2010,2009,,,,,,
Interested,9,14,10,8,11,12,10,13,12,12,15,13,13,16,12,15,19,14,16,18,,,,,,
Not interested,83,78,82,85,83,81,83,81,81,82,79,81,81,79,80,79,76,79,78,78,,,,,,
Don't know,7,7,8,7,6,8,7,6,7,6,5,6,6,4,8,6,4,7,6,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use e-mail to contact friends and relatives
",,,,,,,,,,,,,,,,,,,,,,,,,,
"Transfer photos from a digital camera or mobile phone to a computer
",,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy things over the internet
",,,,,,,,,,,,,,,,,,,,,,,,,,
"Find out about local services such as cinemas and restaurants
",,,,,,,,,,,,,,,,,,,,,,,,,,
"Find out information from your local government or local council such as health services, recycling, local libraries",,,,,,,,,,,,,,,,,,,,,,,,,,
"Complete government processes online (e.g. register for tax credits, renew driving licence, car tax or passport, complete tax return)",,,,,,,,,,,,,,,,,,,,,,,,,,
Look at information on hobbies or interests,,,,,,,,,,,,,,,,,,,,,,,,,,
"Watch online or download TV programmes or films (e.g. BBC iPlayer, 4OD, ITV player, Sky Player etc)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN10A-M –I’m going to read out some different types of tasks associated with the internet, PCs or laptops, and for each one please say which of the options on the card applies to you. (Prompted responses, single coded)",,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: Adults aged 16+ who do not use the internet at home or elsewhere (542 in 2009, 628 in 2010, 454 in 2011) – significance testing shows any change between 2010 and 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base in September to October 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Claimed use of the internet for selected activities,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
