Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,517958,-4037.23,Apps and Certs Receipt - APC14392,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,523562,-515.76,Apps and Certs Receipt - APC19998,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526676,-11893.45,Apps and Certs Receipt - APC23681,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527852,-3191.9,Apps and Certs Receipt - APC25633,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,531021,-5122.4,Apps and Certs Receipt - APC29823,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,532546,-1039,Apps and Certs Receipt - APC32419,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,534423,-9122.28,Apps and Certs Receipt - APC34056,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,537134,-2485.55,Apps and Certs Receipt - APC36456,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,537889,-5961.57,Apps and Certs Receipt - APC38379,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,540229,-6462,Apps and Certs Receipt - APC40143,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,541990,-1165.52,Apps and Certs Receipt - APC42266,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,541991,-6260.4,Apps and Certs Receipt - APC42266,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600146,-31420.55,Apps and Certs Receipt - APC43613,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600147,-239002.19,Apps and Certs Receipt - APC43613,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600148,-5439.4,Apps and Certs Receipt - APC43613,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602680,-13655.25,Apps and Certs Receipt - APC45472,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602695,-405698.31,Apps and Certs Receipt - APC45472,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602703,-7879.48,Apps and Certs Receipt - APC45472,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603961,30453.29,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603962,6645.89,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603966,1015.99,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603967,3634.37,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603968,10858.35,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603971,9031.4,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603973,2835.8,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603974,6607.32,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603978,6587.45,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603979,5298.86,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603980,964.83,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603983,1728.74,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603985,6573.97,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603986,1591476.03,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603987,907628.49,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603988,158.44,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603989,1582944.47,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,BIRSE CIVILS LTD,603993,460165.2,Apps and Certs Receipt - APC47751,DN18 5BW
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,603994,570717.25,Apps and Certs Receipt - APC47811,WV1 4HY
Department For Transport,Highways Agency,06/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,603987,42765.09,Apps and Certs Receipt - APC47548,M2 5JB
Department For Transport,Highways Agency,06/06/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,603361,6200.88,WM - Vehicle Rental (New 30x Shogun) charges - May 2013,BL9 8RT
Department For Transport,Highways Agency,06/06/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,603362,2066.96,SW - Vehicle Rental (New 30x Shogun) charges - May 2013,BL9 8RT
Department For Transport,Highways Agency,06/06/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,603364,4133.92,NW - Vehicle Rental (New 30x Shogun) charges - May 2013,BL9 8RT
Department For Transport,Highways Agency,07/06/2013,500184 3PP Monitoring Account,NETWORK DELIVERY & DEVELOPMENT,STONEWELL PROPERTY COMPANY LTD,PWI/143145382,24059.19,DEVELOPER REFUND ON S278 M6 WHITTINGHAM LANE NOISE BARRIER,PR3 0PZ
Department For Transport,Highways Agency,07/06/2013,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,604089,1000.21,Apps and Certs Receipt - APC47102,BS32 4SR
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602022,-2369.22,Apps and Certs Receipt - APC45242,M2 5JB
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604023,146.98,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604095,23527.24,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604096,1289.67,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604098,30193.49,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604099,23191.98,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604100,17335.61,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,MAJOR PROJECTS,CAPITA GROUP,604057,4242.25,Inv No WN4010311 Inv Date 30/5/13 HA Doc 422076,DL1 9HN
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,530853,-28531.12,Apps and Certs Receipt - APC28817,OX4 4DQ
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604084,72.18,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604084,4455.08,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,604089,420783.1,Apps and Certs Receipt - APC47102,BS32 4SR
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,519631,-7866.17,Apps and Certs Receipt - APC15717,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,521540,-51.34,Apps and Certs Receipt - APC17448,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,525033,-6558.7,Apps and Certs Receipt - APC21024,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,537693,-1870.14,Apps and Certs Receipt - APC38141,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600221,-4162.68,Apps and Certs Receipt - APC43459,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600221,-3063.06,Apps and Certs Receipt - APC43459,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600221,-0.27,Apps and Certs Receipt - APC43459,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600221,-0.12,Apps and Certs Receipt - APC43459,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,601972,-10204.65,Apps and Certs Receipt - APC45248,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604023,188.81,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604023,4507.03,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604097,73355.24,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,2672,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,12241.35,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,11915.4,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,59279.16,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,6263.33,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,585.82,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,543045,1530.92,HAWCS Change Request: 36,BA1 5LR
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,NETWORK RAIL,604063,755.67,#,SN1 1GW
Department For Transport,Highways Agency,07/06/2013,Contractor Costs,NETWORK SERVICES DIRECTORATE,IHS (GLOBAL) LIMITED,603754,-31.88,"invoice expected for #16,222",RG12 8FB
Department For Transport,Highways Agency,07/06/2013,Landlord service charges - admin L&B,FINANCE & BUSINESS SERVICES,WILLIAM POLLARD & CO LTD T/A POLLARDS,604115,16335.58,"Ash House, Exeter - Quarterly service charge 12/07/2013 to 11/10/2013. Invoice number 584.",EX2 7NU
Department For Transport,Highways Agency,07/06/2013,Lands Costs,MAJOR PROJECTS,EVERSHEDS LLP,LOMD242111,748.9,HAL55555547//91185142,CF10 5BT
Department For Transport,Highways Agency,07/06/2013,Lands Costs,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242324,786.39,HAL00012793/xxxxxxx/25000015802013,SW19 4DT
Department For Transport,Highways Agency,07/06/2013,Media Monitoring,NETWORK SERVICES DIRECTORATE,GORKANA GROUP LIMITED,604090,734.61,618165 - may,EC1Y 8QE
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,EXPERIS LIMITED,604071,2063.4,xxxxxxx - W/E 26th May 2013,EC1R 3DR
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,EXPERIS LIMITED,604072,1650.72,xxxxxxx W/E 2nd June 2013,EC1R 3DR
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,NETWORKERS INTERNATIONAL PLC,604046,645.74,Temporary worker - xxxxxxx - w/e 2/6/2013 for 4 days = #538.12,BR1 1HP
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,604124,1906.8,w/e 07/04/13 - xxxxxxx,B37 7YE
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,604125,1906.8,w/e 31/03/13 - xxxxxxx,B37 7YE
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,604126,2383.5,w/e 24/03/13 - xxxxxxx,B37 7YE
Department For Transport,Highways Agency,07/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,604127,1906.8,w/e 02/06/13 - xxxxxxx,B37 7YE
Department For Transport,Highways Agency,07/06/2013,Other external training costs,FINANCE & BUSINESS SERVICES,ROWAN PARTNERSHIP,604116,2650,Invoice Number : 2130601,NP22 3YF
Department For Transport,Highways Agency,07/06/2013,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROADLINK (A69) LTD,604077,2559.84,INVOICE RL1290 DATED 05 JUNE 2013,NE43 7TN
Department For Transport,Highways Agency,07/06/2013,Prepaid expenses - programme,FINANCE & BUSINESS SERVICES,A & J MUCKLOW (INVESTMENTS) LIMITED,604117,3028.4,"RCC Quinton, 1 Quinton Business Park - Service charge for 24/06/2013 to 28/09/2013. Invoice number 34395.",B63 3JS
Department For Transport,Highways Agency,07/06/2013,Prepaid expenses - programme,FINANCE & BUSINESS SERVICES,A & J MUCKLOW (INVESTMENTS) LIMITED,604118,93125,"RCC Quinton, 1 Quinton Business Park - Quarterly rent from 24/06/2013 to 28/09/2013. Invoice number 34333.",B63 3JS
Department For Transport,Highways Agency,07/06/2013,Prepaid expenses - programme,FINANCE & BUSINESS SERVICES,THE TBF AND KL THOMPSON TRUST,604054,47523.75,"RCC Nottingham, Building B20 Nottingham - Quarterly rent from 24/06/2013 to 28/09/2013. Invoice number 0000032-13.",BT51 5JZ
Department For Transport,Highways Agency,07/06/2013,Press Office,NETWORK SERVICES DIRECTORATE,CABINET OFFICE,604093,300000,250007223 - 2013/14,CF14 3UW
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY OW LIMITED,604087,1923.23,fees for period 02/03/2013 to 12/04/2013 A 69 Haydon Bridge ref CO00206743-0007,OX4 4DQ
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY OW LIMITED,604088,2302.15,period 19/01/2013  to 01/03/2013 ref co00266743-0006 A 69 Hayden Bridge,OX4 4DQ
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,604068,143581.16,Inv No 13006319 dated 16/5/13 M62 J25 to 30 MMS  Atkins costs April 2013,KT18 5BW
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,BT OPENREACH (CIS) DIVERT/CONNECT,604037,1425559.23,re- reciepted as advised by MP finance advance prepayment #1272820.74,S1 1BA
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,BT OPENREACH (CIS) DIVERT/CONNECT,604039,157836.13,re- reciepted as advised by MP finance advance prepayment #140925.12,S1 1BA
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,CABLE AND WIRELESS (CIS) DIVERT/CONNECT,604045,637447.98,re- reciepted as advised by MP finance advance prepayment #590229.61,MK3 5JP
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,543418,-124065.57,Certificate number 57. Date 22/03/13. Amount #110772.83,WV1 4HY
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,604094,2222279.24,"Certificate Number 13, Carillion Construction Ltd - Civil Engineering, PBA A23HANDCROS",WV1 4HY
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,EON ENERGY (NON CIS) CHARGES,604067,85941.9,re receipted with correct VAT Code,NG1 6HD
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD242826,1503.6,HAL00011137/xxxxxxx/91184303,CF10 5BT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD242829,3941.96,HAL00012221//91172029,CF10 5BT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,604001,6319.35,"Invoice Number 19292, May 2013",ME18 5NN
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,604005,8551.66,"Invoice Number 19293, May 2013",ME18 5NN
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,604034,1382.86,Part payment for invoice 19294,ME18 5NN
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,604035,532.3,Part payment of invoice 19294,ME18 5NN
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,LAMBERT SMITH HAMPTON,LOMD242625,2250,HAL88888586//xxxxxxx00153317,CM2 0ND
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,604038,124825.76,PO 1045.1 M1 J28-31 Design April 2013,OL1 9LH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,604041,16521.31,re- reciepted as advised by MP finance advance prepayment #15297.51,WV1 9NZ
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,604042,73956.02,re- reciepted as advised by MP finance advance prepayment #68477.79,WV1 9NZ
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,604043,16888.62,re- reciepted as advised by MP finance advance prepayment #15637.61,WV1 9NZ
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604047,21082.13,reciepted as advised by MP finance advance prepayment #19520.49,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604048,104607.95,reciepted as advised by MP finance advance prepayment #96859.21,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604049,24709.67,reciepted as advised by MP finance advance prepayment #22879.32,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604050,37370.65,reciepted as advised by MP finance advance prepayment #34602.45,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604052,266804.46,reciepted as advised by MP finance advance prepayment #247041.17,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604053,88036.72,reciepted as advised by MP finance advance prepayment #81515.48,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604055,45286.29,reciepted as advised by MP finance advance prepayment #41931.75,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604056,38773.21,reciepted as advised by MP finance advance prepayment #35901.12,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,604058,69076.8,reciepted as advised by MP finance advance prepayment #63960,CV3 9FH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,SWINDON BOROUGH COUNCIL,604128,8960,"Doc number 00422346. Date 03/06/2013. Invoice number 796. Amount #9600.00, excluding VAT #8000.00",SN1 2JH
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242819,1723,HAL00011686/xxxxxxx/25000014802013,SW19 4DT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242821,1222,HAL00011165xxxxxxx/25000014662013,SW19 4DT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242822,1243,HAL00011612/xxxxxxx/25000014792013,SW19 4DT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242823,1413,HAL00008715/xxxxxxx/25000015052013,SW19 4DT
