Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,"Capital/
Revenue",Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Employees,Temporary and Interim Staff,08/12/2015,507167156,549.82,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Employees,Temporary and Interim Staff,08/12/2015,507167198,421.07,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Various,Various,08/12/2015,Various,"54,086.44",Various,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways and Transport Propert,Transformation and Change,Premises,Electricity,08/12/2015,PLY102246,"12,674.02",Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways and Transport Propert,Transformation and Change,Premises,Electricity,08/12/2015,PLY102246,540.02,Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways and Transport Propert,Transformation and Change,Premises,Electricity,08/12/2015,PLY102246,"1,290.83",Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Shared Property,Transformation and Change,Premises,Street Lighting,08/12/2015,PLY102246,968.41,Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Repair & Maintenance Of External Structu,08/12/2015,PLY102246,"1,394.48",Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Premises,Electricity,08/12/2015,PLY102246,703.92,Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Premises,Electricity,08/12/2015,PLY102246,"107,586.03",Revenue,Npower,24454
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,08/12/2015,PLY103555,840.00,Revenue,Pixieland Stoke,24567
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY100578,"3,296.78",Revenue,Portakabin Ltd,24712
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Group Based Short Breaks,08/12/2015,PLY103273,"1,210.00",Revenue,Routeways Centre Ltd,24766
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Group Based Short Breaks,08/12/2015,PLY103311,540.00,Revenue,Routeways Centre Ltd,24766
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Group Based Short Breaks,08/12/2015,PLY103315,800.00,Revenue,Routeways Centre Ltd,24766
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,"2,790.00",Revenue,Routeways Centre Ltd,24766
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Hygiene Services,08/12/2015,PLY103405,"2,836.68",Revenue,PHS Group plc,24803
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Hygiene Services,08/12/2015,PLY103409,"1,157.82",Revenue,PHS Group plc,24803
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Hygiene Services,08/12/2015,PLY103410,"10,440.27",Revenue,PHS Group plc,24803
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Hygiene Services,08/12/2015,PLY103413,"1,157.82",Revenue,PHS Group plc,24803
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Hygiene Services,08/12/2015,Various,492.02,Revenue,PHS Group plc,24803
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Premises,Repair & Maintenance General,08/12/2015,PLY102171,502.16,Revenue,Western Electrical Wholesale,24883
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Supplies and Services,Court Fees,08/12/2015,PLY103237,"2,055.00",Revenue,Legal Practice Imprest Account,24960
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Supplies and Services,Court Fees,08/12/2015,PLY103237,"2,055.00",Revenue,Legal Practice Imprest Account,24960
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Supplies and Services,Court Fees,08/12/2015,PLY103237,"2,055.00",Revenue,Legal Practice Imprest Account,24960
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Supplies and Services,Court Fees,08/12/2015,PLY103237,"2,860.00",Revenue,Legal Practice Imprest Account,24960
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Education Payment,08/12/2015,PLY103592,"2,000.00",Revenue,Little Angels Nursery,25143
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Inclusion Short Breaks,08/12/2015,PLY103289,"1,067.18",Revenue,Scope,25225
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Inclusion Short Breaks,08/12/2015,PLY103378,923.05,Revenue,Scope,25225
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Inclusion Short Breaks,08/12/2015,PLY103347,"1,120.10",Revenue,Scope,25225
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Inclusion Short Breaks,08/12/2015,PLY103352,"1,041.06",Revenue,Scope,25225
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Group Based Short Breaks,08/12/2015,PLY103360,"1,622.30",Revenue,Scope,25225
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Dom Care  Private Contractors,08/12/2015,PLY103377,"1,837.23",Revenue,Scope,25225
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Operator Reimbursement,08/12/2015,PLY103225,"12,273.48",Revenue,Target Travel,25259
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,People Directorate,Capital Expenditure,Private Contractor  Main Contract,08/12/2015,PLY103438,"3,512.50",Capital,Total Hygiene Limited,25649
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,Place Directorate,Supplies and Services,Printing,08/12/2015,PLY102620,418.00,Revenue,Liberty Printers (A R & R F Reddin) Ltd,25734
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,08/12/2015,TM0000059,809.20,Revenue,Vospers Motor House Ltd,25788
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Various,Various,08/12/2015,Various,806.89,Revenue,Vospers Motor House Ltd,25788
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Public Health,Supplies and Services,Cost Of Funeral Services,08/12/2015,PLY102817,"1,695.00",Revenue,Westlakes Funeral Services,26064
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY103537,850.00,Revenue,Gower Consultants Limited,26636
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,Transformation and Change,Supplies and Services,Legal Expenses,08/12/2015,PLY101576,999.42,Revenue,Valuation Office Agency,26855
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Supplies and Services,Various,08/12/2015,Various,464.64,Revenue,Almega Ltd,27133
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Course Expenses,08/12/2015,PLY103607,833.33,Revenue,Noah`s Ark Childcare Centre,27157
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,08/12/2015,PLY103556,672.00,Revenue,Noah`s Ark Childcare Centre,27157
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,08/12/2015,PLY103552,560.00,Revenue,Noah`s Ark Childcare Centre,27157
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,08/12/2015,PLY103553,700.00,Revenue,Noah`s Ark Childcare Centre,27157
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Transformation and Change,Capital Expenditure,Private Contractor  Other,08/12/2015,PLY101623,"19,370.67",Capital,G R Mechanical Services Ltd,30730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Transformation and Change,Capital Expenditure,Private Contractor  Other,08/12/2015,PLY103392,"4,323.78",Capital,G R Mechanical Services Ltd,30730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Playground Repairs,08/12/2015,PLY100293,"2,792.00",Revenue,Sutcliffe Play South West Ltd,30809
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Education Payment,08/12/2015,PLY103591,"2,000.00",Revenue,Roger`s Burrow Nursery/Pixieland,32836
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental and Reg Property,Transformation and Change,Premises,Electricity,08/12/2015,PLY103255,957.37,Revenue,British Gas,35389
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental and Reg Property,Transformation and Change,Premises,Electricity,08/12/2015,PLY103256,956.29,Revenue,British Gas,35389
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental and Reg Property,Transformation and Change,Premises,Electricity,08/12/2015,PLY103260,504.31,Revenue,British Gas,35389
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Hire Of Equipment,08/12/2015,PLY103215,475.00,Revenue,Aussie Marquees,35880
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY103395,"2,012.40",Revenue,Psychology Associates Ltd,38917
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,People Directorate,Capital Expenditure,Private Contractor  Main Contract,08/12/2015,PLY103436,"2,842.00",Capital,Appeel Ltd,40330
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Purchase Of Computer Hardware,08/12/2015,999631759,452.98,Revenue,Taurus Clearer Communication,40964
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Examination Fees Pupils,08/12/2015,999631751,"3,654.90",Revenue,Edexcel,41135
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Customer Services,Transformation and Change,Supplies and Services,Purchase Of Computer Software,08/12/2015,PLY102149,"1,009.71",Revenue,Capita Software Services,42367
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Planning Services,Place Directorate,Supplies and Services,Professional Fees,08/12/2015,PLY101663,882.00,Revenue,Security Management South West Ltd,44971
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,08/12/2015,PLY103388,"6,744.00",Revenue,4 Children,45029
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,Place Directorate,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY102071,892.50,Revenue,G4S Cash Services (UK) Limited,50923
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,Place Directorate,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY102071,"2,947.50",Revenue,G4S Cash Services (UK) Limited,50923
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Transformation and Change,Supplies and Services,General Office Expenses,08/12/2015,PLY103471,"1,400.00",Revenue,The Tower Mint,51017
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Transformation and Change,Supplies and Services,Purchase Of Books/Media,08/12/2015,PLY103489,"3,983.14",Revenue,Bertram Library Services,53964
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Transformation and Change,Capital Expenditure,Consultancy Fees,08/12/2015,PLY102514,850.00,Capital,Jenkins & Potter,64491
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY103309,"2,500.00",Revenue,Mr Michael Bedford,71068
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Supplies and Services,Purchase Of Materials,08/12/2015,TM0000143,529.43,Revenue,Terberg Matec UK Limited,73255
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Transformation and Change,Supplies and Services,Hire Of Equipment,08/12/2015,Various,457.24,Revenue,Cannon,75054
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Private Contractors,08/12/2015,PLY103550,"2,872.59",Revenue,Parsons Brinkerhoff,75244
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Examination Fees Pupils,08/12/2015,999631745,612.00,Revenue,Assessment & Qualifications Alliance (AQA),76892
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,Corporate Items,Third Party Payments,Other Agency & Contracted Services,08/12/2015,PLY103444,"14,899.42",Revenue,Pyramid Schools (Plymouth) Limited,81237
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,Corporate Items,Third Party Payments,Other Agency & Contracted Services,08/12/2015,Various,"1,032.08",Revenue,Pyramid Schools (Plymouth) Limited,81237
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,General Office Expenses,08/12/2015,PLY101914,500.00,Revenue,Clear Advantage,83554
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Education Payment,08/12/2015,PLY103595,"1,333.33",Revenue,Little Tugs RN Creche,86323
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,People Directorate,Capital Expenditure,Private Contractor  Main Contract,08/12/2015,PLY103437,"3,368.50",Capital,Cornwall Council,88606
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Premises,Repair & Maintenance General,08/12/2015,Various,421.40,Revenue,Universal Fire & Security,89895
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Transformation and Change,Premises,Various,08/12/2015,Various,"1,031.13",Revenue,Plymouth Community Homes Services Ltd,94179
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Agency Supply,08/12/2015,999631756,"3,120.00",Revenue,Randstad Education Ltd,95024
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Insurance and Risk,Transformation and Change,Employees,Training,08/12/2015,PLY103222,"8,100.00",Revenue,CIPFA Business Ltd,95574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,"3,060.00",Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,753.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,"1,580.80",Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,"1,495.00",Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,695.50,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,907.40,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,829.50,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,650.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,804.90,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,783.80,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,909.60,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,599.30,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,561.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,682.90,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,953.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,570.70,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,787.10,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,679.20,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,795.40,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,511.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,764.80,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,582.50,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,665.70,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,517.20,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,758.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,584.40,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,948.90,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,542.30,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,510.20,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,541.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,668.80,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,640.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,631.70,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,851.60,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,646.90,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,510.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,505.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,995.10,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,682.80,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,600.00,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,573.60,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,734.50,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,08/12/2015,528132248,861.10,Revenue,Taxi Telephone Services Limited,98466
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Contract Work,08/12/2015,PLY103227,"8,127.00",Revenue,Access Plymouth Limited,99147
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Supplies and Services,Various,08/12/2015,PLY103428,551.47,Revenue,Public Protection Service,100188
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Cleaning Contracts,08/12/2015,PLY103393,"2,500.00",Revenue,Clean Coast Services,101131
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Third Party Payments,Private Contractors,08/12/2015,PLY100675,555.00,Revenue,Glendale Countryside,101509
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,People Directorate,Various,Various,08/12/2015,Various,"1,231.22",Revenue,Everyone Active,102637
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Executive Office,Supplies and Services,Grants To Other Bodies,08/12/2015,PLY103350,650.00,Revenue,About Time,102787
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Residential Care Short Stay Block Contra,08/12/2015,PLY103268,"7,098.00",Revenue,Dame Hannah Rogers Trust,103948
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Residential Care Short Stay Block Contra,08/12/2015,PLY103269,"6,006.00",Revenue,Dame Hannah Rogers Trust,103948
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Residential Care Short Stay Block Contra,08/12/2015,PLY103320,998.00,Revenue,Dame Hannah Rogers Trust,103948
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Residential Care Short Stay Block Contra,08/12/2015,PLY103372,"1,497.00",Revenue,Dame Hannah Rogers Trust,103948
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Supplies and Services,Document Handling,08/12/2015,PLY103381,"5,044.72",Revenue,Print Image Network Limited,104328
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Payment of Tuition Fees,08/12/2015,999631746,"14,283.00",Revenue,Construction Training South West Ltd,104506
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,08/12/2015,PLY103551,504.00,Revenue,Bumblebees Day Nursery (Plymouth) Limited,105397
