Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Eastern Sub-Region - Ops Central,100
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Recruitment - Talent,116
21/07/2010,2648645,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,185.21
21/07/2010,2648645,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Eastern Sub-Region - Ops Central,105
21/07/2010,2648645,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,East Midlands Sub-Region - Ops Central,192.02
21/07/2010,2648645,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,IT Running Costs,146.07
21/07/2010,2648645,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,187.78
15/07/2010,2648655,Holiday Inn Bristol - Filton,Staff Training,HR Training and Development,1191.49
13/07/2010,2647650,Housing Consultancy Services Ltd,Contractor Costs,Housing Admin,1000
13/07/2010,2648444,Hulley & Kirkwood Consulting Engineers,Fixtures & Fittings (Revenue),Estate Management,486
13/07/2010,2648480,Hulley & Kirkwood Consulting Engineers,Property Services Professional Fees,Estate Management,960
21/07/2010,2648388,Improvement & Development Agency,Recruitment,LGH&CS management,1479
01/07/2010,2648070,ING Lease (UK) Ltd,Office Equipment Rental,Business Unit - Ops Northern,637.52
01/07/2010,2648070,ING Lease (UK) Ltd,Office Equipment Repairs & Maintenance,Business Unit - Ops Northern,29.79
15/07/2010,2648633,ING Lease (UK) Ltd,Office Equipment Rental,Millbank - Facilities,823.68
15/07/2010,2648648,ING Lease (UK) Ltd,Office Equipment Rental,Head of Operations - South Central - Ops Southern,468.39
23/07/2010,2648845,ING Lease (UK) Ltd,Office Equipment Rental,Regional Support Costs - Ops Central,936.78
06/07/2010,2648290,Institute of Internal Auditors,Corporate Subscriptions,Directorate Management - MD CS,650
06/07/2010,2648290,Institute of Internal Auditors,Corporate Subscriptions,Directorate Management - MD CS,145
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,681.9
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1585.43
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,14102.32
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,374.36
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,255.35
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,291.74
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,471.26
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,442.03
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,236.95
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,158.85
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,419.89
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,462.67
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,274.99
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1429.39
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,449.53
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,2189.94
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,4267.53
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,3347.5
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1363.27
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,398.64
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,315.96
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,672.95
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1771.89
01/07/2010,2648065,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,3166.83
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,2070.8
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1035.4
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,748.38
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,22010.64
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,617.82
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1632.93
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1203.66
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,747.81
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,3459.87
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,971.28
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,594.39
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,578.22
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1204.95
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,624.84
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,2329.56
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,4804.29
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1118.55
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1181.37
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,835.41
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,1838.85
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Nicholson House,3317.61
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Westward House,4627.2
06/07/2010,2648286,Integral Ltd,Cleaning & Hygiene,Estate Management,603.66
15/07/2010,2648618,Integral Ltd,Reactive Building Maintenance,Estate Management,2847.9
15/07/2010,2648619,Integral Ltd,Reactive Building Maintenance,Estate Management,2661.6
15/07/2010,2648620,Integral Ltd,Reactive Building Maintenance,Estate Management,2030.49
15/07/2010,2648621,Integral Ltd,Reactive Building Maintenance,Nicholson House,1928.32
15/07/2010,2648622,Integral Ltd,Reactive Building Maintenance,Westward House,716.99
15/07/2010,2648622,Integral Ltd,Reactive Building Maintenance,Nicholson House,716.99
15/07/2010,2648623,Integral Ltd,Reactive Building Maintenance,Estate Management,1363.29
15/07/2010,2648624,Integral Ltd,Reactive Building Maintenance,Estate Management,880
15/07/2010,2648625,Integral Ltd,Reactive Building Maintenance,Nicholson House,825.62
15/07/2010,2648626,Integral Ltd,Reactive Building Maintenance,Estate Management,801.68
15/07/2010,2648627,Integral Ltd,Reactive Building Maintenance,Estate Management,715
15/07/2010,2648628,Integral Ltd,Reactive Building Maintenance,Estate Management,490.67
15/07/2010,2648629,Integral Ltd,Reactive Building Maintenance,Westward House,447.57
15/07/2010,2648631,Integral Ltd,Security Guarding/Keyholding,Estate Management,33041.4
15/07/2010,2648653,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,495
15/07/2010,2648654,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,1330.55
23/07/2010,2648716,Integral Ltd,IT Equipment Purchases (Revenue),IT Running Costs,490.33
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1817.03
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,257.03
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,237.77
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,254.49
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,156.65
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,137.14
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,205.79
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,199.09
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,3741.47
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1229.16
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,792.55
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,214.79
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,353.18
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,369.82
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,555.75
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,208.81
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,127.73
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1314.02
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,1244.37
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,253.32
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,151.88
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,256.79
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,225.12
21/07/2010,2648717,Integral Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,80.67
21/07/2010,2648718,Integral Ltd,"Planting, Grounds and Pests",Estate Management,270
21/07/2010,2648718,Integral Ltd,"Planting, Grounds and Pests",Estate Management,360.06
21/07/2010,2648718,Integral Ltd,"Planting, Grounds and Pests",Estate Management,320.71
21/07/2010,2648718,Integral Ltd,"Planting, Grounds and Pests",Estate Management,229.57
21/07/2010,2648718,Integral Ltd,"Planting, Grounds and Pests",Estate Management,360.06
21/07/2010,2648719,Integral Ltd,PPM Management Fee,Estate Management,7415.34
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,149.09
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,166.67
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,92.03
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,108.91
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,190.59
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,178.06
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,192.49
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,1160.94
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,828.78
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,544.53
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,302.54
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,74.98
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,276.95
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,299.49
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,559.9
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,83.04
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,52
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,168.59
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,179.7
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,96.93
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,172.89
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,919.39
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,2598.62
21/07/2010,2648720,Integral Ltd,Reactive Building Maintenance,Estate Management,620.06
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,929.49
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,1003.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,460.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,1003.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,929.49
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,1003.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648721,Integral Ltd,Security Guarding/Keyholding,Estate Management,26.18
21/07/2010,2648733,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,2622.6
21/07/2010,2648781,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,2915.44
21/07/2010,2648782,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,2732.4
23/07/2010,2648805,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,4115.92
28/07/2010,2648879,Integral Ltd,Reactive Building Maintenance,Millbank - Facilities,4253.4
15/07/2010,2648578,IPL Information Processing Limited,Contractor Costs,IT Running Costs,7733
15/07/2010,2648579,IPL Information Processing Limited,Contractor Costs,IT Running Costs,7425
15/07/2010,2648580,IPL Information Processing Limited,Contractor Costs,IT Running Costs,10345.5
15/07/2010,2648581,IPL Information Processing Limited,Contractor Costs,IT Running Costs,7873.6
15/07/2010,2648582,IPL Information Processing Limited,Contractor Costs,IT Running Costs,10533.6
15/07/2010,2648583,IPL Information Processing Limited,Contractor Costs,IT Running Costs,7235.2
15/07/2010,2648584,IPL Information Processing Limited,Contractor Costs,IT Running Costs,8276.4
01/07/2010,2647715,IRIS Software & Services,Software Support & Maintenance,IT Running Costs,26250
01/07/2010,2648093,IRIS Software & Services,Software Support & Maintenance,IT Running Costs,25000
13/07/2010,2648299,Iron Mountain (UK) Ltd,Archiving and CD Scanning,IT Running Costs,725.05
06/07/2010,2648285,IT Works Recruitment LTD,Contractor Costs,IT Running Costs,2475
15/07/2010,2648657,IT Works Recruitment LTD,Contractor Costs,IT Running Costs,2750
27/07/2010,1024027,J Smaill,Contractor Costs,Audit Regulations,"10,187.06"
01/07/2010,2648143,Jeremy Hilton,Contractor Costs,North East and Humberside,1200
28/07/2010,2648362,Jodi Berg,Consultants (Non Time Sheet User),Complaints Unit,2500
13/07/2010,2648446,Kaisen Consulting Ltd,Staff Training,HR Training and Development,40282.5
15/07/2010,2648569,Kaisen Consulting Ltd,Staff Training,HR Training and Development,35151.75
13/07/2010,2648187,Kaplan Financial (London),Student Training,Graduate Trading Account,1700
01/07/2010,2648125,Kaplan Hawksmere Plc,Staff Training,HR Training and Development,184.35
01/07/2010,2648125,Kaplan Hawksmere Plc,Staff Training,HR Training and Development,46654.9
28/07/2010,2648867,Kathryn Larkin-Bramley,Contractor Costs,LGH&CS management,3000
13/07/2010,2648222,KCOM Group PLC,Telecommunication Rental & Maintenance,IT Running Costs,476.35
13/07/2010,2648223,KCOM Group PLC,Telecommunication Rental & Maintenance,IT Running Costs,476.35
01/07/2010,2648160,Keith Dixon,Consultants (Non Time Sheet User),Governance and Counter Fraud Practice,3000
01/07/2010,2648130,Kinnarps (UK) Ltd,Furniture Purchases (Revenue),Estate Management,1836
15/07/2010,2648656,Kinnarps (UK) Ltd,Furniture Purchases (Revenue),Estate Management,570
06/07/2010,2648003,KPMG LLP,Contractor Costs,Health Directorate - Payment by Results,5880
06/07/2010,2648004,KPMG LLP,Contractor Costs,Health Directorate - Payment by Results,1134
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3290
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3760
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3760
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3290
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,1410
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,4700
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,5170
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,4230
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,4935
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,4465
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3995
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3995
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,3055
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,7080
06/07/2010,2648274,KPMG LLP,Contractor Costs,Eastern Sub-Region - Ops Central,4465
15/07/2010,2648635,KPMG LLP,Contractor Costs,Head of North West Management - Ops Northern,705
15/07/2010,2648635,KPMG LLP,Contractor Costs,Head of North West Management - Ops Northern,705
15/07/2010,2648635,KPMG LLP,Contractor Costs,Head of North West Management - Ops Northern,4230
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,940
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,940
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,3290
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,940
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,940
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,940
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,705
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,470
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,1175
15/07/2010,2648636,KPMG LLP,Contractor Costs,London operational staff,940
28/07/2010,2648880,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,2655
28/07/2010,2648880,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,470
28/07/2010,2648880,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,940
28/07/2010,2648880,KPMG LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,737.5
28/07/2010,2648881,KPMG LLP,Contractor Costs,North East and Humberside,3055
23/07/2010,2648765,Lancashire County Council,Landlords Insurance,Estate Management,12.7
23/07/2010,2648765,Lancashire County Council,Leased Property Rent Invoices,Estate Management,1033.33
23/07/2010,2648765,Lancashire County Council,Service Charges,Estate Management,362.86
23/07/2010,2648777,Lance Edynbry Partnership,Staff Training,HR Training and Development,1068
13/07/2010,2648367,Leeming Pilkington Ltd,Food & Beverages Charges,Millbank - Facilities,7291.95
28/07/2010,2648847,Leeming Pilkington Ltd,Office Equipment Rental,Millbank - Facilities,9141.57
15/07/2010,2646425,Lex Autolease Ltd,Car Termination Penalties,HR Service Centre,840.9
15/07/2010,2647690,Lex Autolease Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,551.6
15/07/2010,2647690,Lex Autolease Ltd,Car Lease Costs - Recharges & Extensions,Head of Ops - South West - Ops Southern,329.19
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Health - NEU,1793.07
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Eastern Sub-Region - Ops Central,2482.37
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Audit Policy Division,2661.16
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,2895.27
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,2633.1
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,East Midlands Sub-Region - Ops Central,4832.55
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Housing Central,3731
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Housing Central,3534.2
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,East Midlands Sub-Region - Ops Central,2458.62
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,2346.65
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,3017.03
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,North East and Humberside,3575.96
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,North East and Humberside,3715.07
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,North East and Humberside,3570.35
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Housing Northern,4638.1
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,North East and Humberside,2467.89
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,HR Policy and Advice,2316.64
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Technical Support Team,2688.69
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,Housing Northern,3442.98
08/07/2010,2647855,Lex Autolease Ltd,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,1898.64
15/07/2010,2648596,Lex Autolease Ltd,Car Lease Costs - Recharges & Extensions,Head of Ops - South West - Ops Southern,329.19
15/07/2010,2648596,Lex Autolease Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,197.51
21/07/2010,2648707,Lex Autolease Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,551.6
13/07/2010,2648103,LexisNexis Butterworths,Online Information Sources,Information Management,1789
15/07/2010,2648218,London Fire & Emergency Planning Authority,Contractor Costs,LG Fire Services,25249.48
15/07/2010,2648383,Martyn Griffiths,Contractor Costs,LGH&CS management,3000
08/07/2010,2647515,Mazars LLP,Corporate Subscriptions,HR Service Centre,529
28/07/2010,2648955,Mazars LLP,Contractor Costs,Head of Operations - South East - Ops Southern,34580
01/07/2010,2648051,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,1466.01
01/07/2010,2648052,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1018.98
06/07/2010,2648282,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,1179.36
06/07/2010,2648283,Michael Page UK Ltd,Contractor Costs,Communications - Internal,899.1
13/07/2010,2648476,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,1015.56
13/07/2010,2648477,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1018.98
23/07/2010,2648833,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1153.85
23/07/2010,2648835,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,827.19
28/07/2010,2648932,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,1162.98
28/07/2010,2648933,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1093.91
21/07/2010,2648722,Microsoft Ltd,Software Support & Maintenance,IT Running Costs,19900
28/07/2010,2648939,Mitie Managed Services Ltd,Planned Preventative Building Maintenance (PPM),Estate Management,8292.02
13/07/2010,2648546,MK PCT Solutions for Public Health,Consultants (Non Time Sheet User),Health and Wellbeing,21835
27/07/2010,1024027,Multisystems,Online Information Sources,Information Management,970.94
26/07/2010,1024020,MWB Room Charges,Rent Licences (Not Leased),Estate Management,"9,564.50"
15/07/2010,2648571,Natfire Compliance Ltd,Health & Safety (Non Furniture),HR Health and Safety,650
23/07/2010,2648804,National Association of Pension Funds LTD,Conferences Hosted & Attended,National Fraud Initiative - Ops Central Investment,4600
23/07/2010,2648841,NCC Services Ltd,Consultants (Non Time Sheet User),National Fraud Initiative - Ops Central Investment,950
08/07/2010,2647741,Neopost Ltd,Postage & Delivery Charges,Head of North West Management - Ops Northern,1000
01/07/2010,2648132,NHS Confederation,Staff Training,HR Training and Development,337
01/07/2010,2648132,NHS Confederation,Staff Training,HR Training and Development,337
08/07/2010,2648266,NHS Confederation,Conferences Hosted & Attended,Communications - Events,480
23/07/2010,2648797,NHS Confederation,Staff Training,HR Training and Development,438.1
23/07/2010,2648798,NHS Confederation,Staff Training,HR Training and Development,674
23/07/2010,2648802,NHS Confederation,Staff Training,HR Training and Development,674
23/07/2010,2648836,NHS Information Centre,Other Supplies & Services Expenses,Health Directorate - Payment by Results,1917
23/07/2010,2648838,NHS Information Centre,Data management Services,Health Directorate - Payment by Results,15194.88
28/07/2010,2648962,Nicky Burton,Staff Training,HR Training and Development,517.5
13/07/2010,2648457,Novotel London Waterloo Hotel,Meetings,Audit Approach Division,723.4
23/07/2010,GPCJUL10,Office Depot,Stationery,Millbank - Facilities,542.6
13/07/2010,2648395,Orange Personal Communications Services Ltd,Telecommunication Rental & Maintenance,IT Running Costs,16414.48
13/07/2010,2648395,Orange Personal Communications Services Ltd,Telecommunication Rental & Maintenance,IT Running Costs,335.62
13/07/2010,2648396,Orange Personal Communications Services Ltd,Telecommunication Rental & Maintenance,IT Running Costs,1845.35
15/07/2010,2648510,Parliament News,Newspapers & Magazines,Millbank - Facilities,509.1
05/07/2010,GPCJUL10,Paypal Webcredible,Other Supplies & Services Expenses,HR Training and Development,522.88
06/07/2010,2648360,Penna Plc,Staff Training,HR Training and Development,495
13/07/2010,2648498,Penna Plc,Staff Training,HR Training and Development,495
28/07/2010,2648878,Penna Plc,Staff Training,HR Training and Development,495
28/07/2010,2648977,Penna Plc,Staff Training,HR Training and Development,495
06/07/2010,2648178,Phoenix Beard (service Chgs & electr only),"Heat, Light & Power",Estate Management,513.45
06/07/2010,2648180,Phoenix Beard (service Chgs & electr only),"Heat, Light & Power",Estate Management,445.29
01/07/2010,2643278,PinPoint Facilitation Ltd,Stationery,Organisational Development,830.4
23/07/2010,2648794,Pitney Bowes postage by phone,Postage & Delivery Charges,Millbank - Facilities,500
