Minister,Date,Name of organisation or individual,Purpose of meeting
"Minister of State for Skills working jointly with the Department for Education, Nick Boles MP",Sep-2015,Dr Paul Cappon,To discuss education
"Minister of State for Skills working jointly with the Department for Education, Nick Boles MP",Sep-2015,"Ian Austin MP, Dudley College",To discuss adult skills
"Minister of State for Skills working jointly with the Department for Education, Nick Boles MP",Sep-2015,Unionlearn,To discuss apprenticeships
"Minister of State for Skills working jointly with the Department for Education, Nick Boles MP",Sep-2015,"David Meller, Richard Harrington MP",To discuss apprenticeships
"Minister of State for Skills working jointly with the Department for Education, Nick Boles MP",Sep-2015,Ofsted,To discuss further education
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jul-2015,Association of the British Pharmaceutical Industry ,Introductory meeting
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jul-2015,Novartis,Introductory meeting
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jul-2015,Pfizer,To  discuss pharmaceuticals
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jul-2015,Rare diseases UK,To discuss rare diseases
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jul-2015,Johnson and Johnson,To discuss  pharmaceuticals
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jul-2015,Pepsico,To discuss Agri-Tech
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Sep-2015,Muscular Dystrophy,To discuss muscular dystrophy
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Sep-2015,Baxter,To  discuss pharmaceuticals
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Sep-2015,Apple,To discuss technology
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Sep-2015,Cancer Research,To discuss life sciences in cancer
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Jul-2015,James Dyson Ltd,To discuss intellectual property and patents
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Jul-2015,Google,To discuss copyright research
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Jul-2015,"British Association of Picture Library and Archives, Publishers Association, British Screen Advisory Council, Facebook, British Video Association, 20th Century Fox, Open Rights Group, SKY,  NBC Universal, PRS for Music, Alliance for Intellectual Property, Central, Confederation of British Industry, Tech UK, ",To discuss Europe
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Jul-2015,"Anti Copying in Design, British Institute of Interior Design, Knowledge Transfer Network, Design Business Association, Ravensbourne, University of Hertfordshire, Crafts Council, Nokia",To discuss anti-counterfeiting
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Aug-2015,The Institute of Business Ethics,To discuss corporate governance
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Aug-2015,Communication Workers Union,Introductory Meeting
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Aug-2015,"Transfer Wise, Sage,Cerenza, British Telecom, COADEC, Facebook, Adzuna, Hackpartners, Incubus, Tech City Ventures, Where We Are Pop Up, SAP, Hassle",To discuss EU Single Market (Tech)
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Aug-2015,"Ebay, Screwfix, ASDA, Booksellers, Shop Direct, Boots, ASOS, Amazon",To discuss retail
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Sep-2015,Focus Group,To discuss ethnic minorities on boards
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Sep-2015,"Adobe, ARM, Cisco, Civica, Congnizant, EBay, EMC, Huawei, Just Eat, Match.com, Nominent, Pivotal, Sungard Availability Services, Verint, VMware",To discuss Digital Single Market
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",Sep-2015,"Amnesty International UK, CAFOD, Friends of the Earth, Tradecraft",To discuss OECD National Contact Point
