Newcastle City Council Invoices over £250 paid in February 2013,,,,,,,,,
,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT10,Riversdales Court Ind Est    F,45.84 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT14,Walker Riverside Ind Units   F,23.11 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT15,Chillingham Rd Ind Est       F,68.76 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DV10,Anderson House               F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1FA53,Reg Of Births Deaths & Margs F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1FC40,Cee Central Team             F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1FN01,Lord Mayors Secretariat      F,30.65 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1FP50,TRAINING UNIT                F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1VP22,Community Safety Team        F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CA01,Coin Room                    F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT03,Denmark Street Industrial EstF,22.92 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT07,Hawick Cres Industrial EstateF,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CG30,Accounts Payable             F,12.56 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DV05,Jesmond Road Offices         F,57.30 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DY54,Blackfriars                  F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DQ9L,S&M Trinity Kenton Lodge     F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DR11,1A High Friars               F,22.92 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT02,Ayton St Workshops           F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DV06,Great North Road.            F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT12,Brunswick Park Ind Est Units F,22.92 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DY76,Charlton Bonds               F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1FR07,CBM-Lift Soft Procurement    F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DT11,St Michaels Workshops        F,11.46 
Chief Executives,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DZW1,Mill Lane Managed For TWEDCO F,34.38 
Childrens Services,Utilities                              ,Premises,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E+254,Linhope PRU                  E,22.92 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E462,Dunstanburgh Rd Comm C C P   E,33.38 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E463,Ryehill Community C C P      E,23.48 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E464,Shieldfield Community C C P  E,28.71 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E465,Willow Avenue Community C C PE,20.31 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEB1,C&B CC Central Costs         E,22.92 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EED1,North Moor CC Central Costs  E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEG8,W River Nuns Moor CC         E,80.76 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEJ7,Newburn Childrens Centre     E,31.77 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEK1,Fenham Childrens Centre      E,33.35 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEK3,Ouseburn Childrens Centre    E,9.56 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEK4,Northern Villages C Centre   E,49.83 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEM1,North Fenham Children's CentrE,18.95 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EM10,Youth Offending Team         E,103.47 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EP40,Play Service East            E,74.16 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EP50,Play Service Riverside       E,36.07 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EY10,Youth Management             E,12.82 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MB22,Initial Response Service     E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MC05,Slatyford Lane Childrens UnitE,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MC06,Iona Place Childrens Unit    E,126.42 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MC41,Cheviot View                 E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MR11,Walker Social Work Office    E,36.02 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1ERDC,One Bill Dump Code           E,95.08 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E459,Cruddas PK Early Years CentreE,42.92 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MD71,Family and Parenting Support E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E+254,Linhope PRU                  E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E+217,Learning Development Imp TeamE,38.32 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E+245,SB Visually Impaired Service E,42.83 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E+240,SB Hearing Impaired Service  E,27.09 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1MF02,16+ Team                     E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1EEE9,SSE West Walker Family CentreE,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E+302,Parent Partnership Service   E,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E761,SB ICT Broadband ConnectivityE,11.46 
Childrens Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1E461,Bridgewater Contribution     E,15.34 
City Services,Utilities                              ,Premises,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1XB30,Newcastle Repairs & MaintenanC,52.34 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CC00,CUSTOMER SERVICE MANAGEMENT  C,11.46 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CC24,TELECOMS                     C,11.46 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CC25,TELEPHONE EXCHANGE           C,69.31 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CC53,SHIELDS ROAD INTERIM CSC     C,11.46 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CC57,GOSFORTH LIFT CSC            C,11.46 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CM00,IT MANAGEMENT & ADMIN        C,80.28 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CS10,SYSTEMS & ADMIN SUPPORT      C,35.10 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CC52,DENTON CSC                   C,11.46 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CS00,Benefits Staff               C,"1,229.09 "
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1CT01,TRANSFORMATION MANAGEMENT    C,11.46 
City Services,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1XB30,Newcastle Repairs & MaintenanC,22.92 
Directorate not Found,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1D504,Olympics 2012,22.92 
Environment & Regeneration,Utilities                              ,Premises,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKX1,CIVIC CENTRE DIRECT COSTS    K,23.37 
Environment & Regeneration,Utilities                              ,Premises,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL17,Leis. Comm BldgR&M           K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1D520,Trading Standards            K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DE46,i2- Byker NEC                K,65.17 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DE48,i8 - Lynwood NEC             K,41.30 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DE49,i4- Quayside NEC             K,137.97 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1DE50,i6- Charlotte Square NEC     K,295.87 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KBAA,Building Contracts           K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KE14,Waste Disp Gen Overhead      K,1.70 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KE18,Walbottle Recycling Centre   K,34.69 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KE21,Brunswick Recycling Centre   K,13.24 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KE23,Sandhills                    K,97.50 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KE27,Cems And Crem Overhead       K,134.55 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KELA,Traffic Sig General Oh       K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KELD,Planned Maintenance SunderlanK,34.38 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEND,Fleet Fuel Account           K,45.84 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWB,Newington Road West Depot    K,122.36 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWC,Condercum Road Depot         K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWH,Jesmond Dene Depot           K,78.33 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWL,Leazes Lane Depot            K,62.43 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KF08,GOSFORTH CIVIC               K,66.12 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFHH,Harehills                    K,25.68 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ01,Security O/H                 K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ26,Scotswood Wardens            K,13.34 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ28,New Deal Wardens             K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ31,Security - Manned Guards     K,49.53 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ71,Security Control Room        K,350.20 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ94,Security Services Delegated  K,451.82 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKX1,CIVIC CENTRE DIRECT COSTS    K,37.68 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKY2,Allendale Accomodation       K,45.84 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL0C,Maintenance                  K,23.34 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL1B,City Pool                    K,11.84 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL1C,Outer West Pool              K,46.25 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL1D,East End Pool                K,57.78 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL1E,Elswick Pool                 K,38.26 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL1G,GOSFORTH POOL                K,50.60 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL2B,Eldon Leisure                K,72.90 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL2D,WAD                          K,24.19 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL2F,Scotswood SC                 K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL3A,City Hall                    K,22.92 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL3D,Cityhall Catering            K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL6F,Benwell Nature Park          K,63.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL7B,Newburn Act Centre Outdoor   K,14.63 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KR8E,CW Build Surv Team           K,45.84 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KR8L,CW District Heating          K,79.81 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KSCA,Corporate Charges CXO/Cserv  K,298.80 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KTC1,Liasion                      K,23.89 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KTDC,YHN Technical Team           K,34.38 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1V030,Development Management       K,22.98 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1V070,T&W Conservation Team        K,22.92 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1V080,Private Developers s106      K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1V204,Car Parking Infrastructure   K,627.29 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1VH06,FHU Private Housing Team     K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFT3,Charles Parsons Cate         K,15.34 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ51,Security - C.I.T.            K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL0A,Central                      K,22.92 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL60,Parks                        K,118.53 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL6C,Leazes Park                  K,22.93 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL6M,Ouseburn Park                K,158.29 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1V132,Quayside MSCP Running Costs  K,20.28 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KENG,MOT                          K,58.15 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1V206,Shop Mobility                K,59.04 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL64,Training Unit - Parks        K,40.65 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWA,Newington Road East Depot    K,23.02 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFA5,Monkchester Road Nur         K,15.55 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFB9,Knoplaw 1ST/Milecstl         K,15.96 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KL6H,Tyne Riverside Country Park  K,23.68 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFJ5,Christ Church C Of E         K,12.62 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFG5,Mountfield Jnr/Inf           K,12.88 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFE7,Moorside Community           K,16.93 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKU5,CIVIC CENTRE CONTROL         K,59.20 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFE5,English Martyrs R.C.         K,17.33 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFG9,St John Vianney RC P         K,17.36 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFCL,CONNIE LEWCOCK HOUSE         K,13.59 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFB8,Gosforth Grange 1ST          K,17.51 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFG3,Kingston Park                K,17.84 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFWC,WELFORD DAY CENTRE           K,14.69 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFE3,Bridgewater Centre           K,18.77 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFG7,Our Lady & St Annes          K,18.85 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFC1,Beech Hill                   K,19.79 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KFBL,BYKER LODGE                  K,18.20 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKX3,GREAT NORTH RD DIRECT COSTS  K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KS65,Allendale Rd Training Centre K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KHD8,Heaton Park Depot            K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KB10,CITYBUILD ADMIN O/H          K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KE15,Waste Disp Byker             K,54.34 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWM,Ayton Street Depot           K,22.92 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KEWK,Other Cleansing Depot        K,26.80 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKA1,Avison St Dep-Ancill         K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KSA3,Nhoodsrvs Mobile Working     K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KLR0,FOOTBALL DEVELOPMENT         K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKM2,Chilli Rd Modular            K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KKM7,Paddy Freemans Modul         K,11.46 
Environment & Regeneration,Utilities                              ,Supplies & Services,17/02/2013,AZZURRI COMMUNICATIONS LTD,5796830,Revenue,1KJ23,Cowgate/Montagu Wardens ERDF K,12.10 
