Organisation Name,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000846478,31/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,612.92 "
Rochdale,V000844746,27/10/2014,CARITAS CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"14,333.00 "
Rochdale,V000841015,17/10/2014,CARTWHEEL ARTS,Arts & Leisure Services,CUSTOMERS & CORPORATE SERVICES,HEYWOOD TOWNSHIP FUNDS - PROJECTS,918.00 
Rochdale,V000841202,17/10/2014,CAS FM LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"5,128.18 "
Rochdale,V000841202,17/10/2014,CAS FM LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,SCHOOLS SLA 12/13,"1,075.05 "
Rochdale,V000841202,17/10/2014,CAS FM LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"7,060.64 "
Rochdale,V000832878,01/10/2014,CASTLEMERE COMMUNITY CENTRE,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,CASTLEMERE COMMUNITY CENTRE,"3,275.00 "
Rochdale,V000838045,03/10/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,957.51 "
Rochdale,V000839824,10/10/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,941.06 "
Rochdale,V000841102,17/10/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,715.94 "
Rochdale,V000844466,24/10/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,616.41 "
Rochdale,V000846479,31/10/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,960.93 "
Rochdale,V000837934,03/10/2014,CASTLETON COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"1,000.00 "
Rochdale,V000844799,27/10/2014,CASTLETON COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,770.00 
Rochdale,V000844558,24/10/2014,CASTLETON HEALTH CENTRE,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"2,767.90 "
Rochdale,V000839625,09/10/2014,CATHOLIC BLIND INSTITUTE,Financial Services,EARLY HELP AND SCHOOLS,POST 16 RDALE PUPILS IN COLLEGES/ISP,"13,139.00 "
Rochdale,V000839295,09/10/2014,CATHOLIC CHILDRENS RESCUE SOCIETY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"2,373.80 "
Rochdale,V000841054,17/10/2014,CDEC LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,500.00 
Rochdale,V000844061,21/10/2014,CDEC LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"7,557.00 "
Rochdale,V000838713,06/10/2014,CENTRAL LAW TRAINING LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,650.00 
Rochdale,V000843480,21/10/2014,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"28,571.00 "
Rochdale,V000844319,23/10/2014,CF CORPORATE FINANCE LTD,Financial Services,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,950.66 
Rochdale,V000840668,15/10/2014,CHANCE MEDIA,Facilities & Management Services,ECONOMY AND ENVIRONMENT,CREATIVE EMPL PROGRAMME,"1,727.00 "
Rochdale,V000839607,09/10/2014,CHERISH UK LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"7,714.20 "
Rochdale,V000840594,15/10/2014,CHESHIRE& WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,LEARNING & DEVELOPMENT,"1,042.00 "
Rochdale,V000839847,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,312.90 "
Rochdale,V000839848,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,124.20 "
Rochdale,V000839849,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,124.20 "
Rochdale,V000839850,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,162.90 "
Rochdale,V000839851,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,162.90 "
Rochdale,V000839853,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,081.30 "
Rochdale,V000839854,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,261.30 "
Rochdale,V000839855,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,124.20 "
Rochdale,V000839856,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"2,811.90 "
Rochdale,V000839885,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,338.70 "
Rochdale,V000839887,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,162.90 "
Rochdale,V000839888,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,081.30 "
Rochdale,V000839889,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,124.20 "
Rochdale,V000839890,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"2,914.20 "
Rochdale,V000839891,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,214.20 "
Rochdale,V000839892,10/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"3,424.20 "
Rochdale,V000841130,17/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"1,001.61 "
Rochdale,V000832855,01/10/2014,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YPST SUPPORTING PEOPLE FUNDING,"15,833.33 "
Rochdale,V000845306,27/10/2014,CHILDREN AND FAMILIES ACROSS BORDERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,"5,000.00 "
Rochdale,V000843965,23/10/2014,CHILDSCAPE LIMITED,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,584.00 
Rochdale,V000840293,14/10/2014,CHOICE SUPPORT AND TRANSPORT,Public Transport,EARLY HELP AND SCHOOLS,MIDDLETON APPRENTICESHIP PROJECT,500.00 
Rochdale,V000839672,10/10/2014,CHRISTIANS ENVIRONMENTAL,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,TOP O`TH`WOOD RET WALL HNB960,"1,095.00 "
Rochdale,V000840583,14/10/2014,CHRISTINE FOSTER LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"2,450.00 "
Rochdale,V000841023,17/10/2014,CHRISTINE FOSTER LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"2,450.00 "
Rochdale,V000844383,24/10/2014,CHRISTINE FOSTER LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"1,750.00 "
Rochdale,V000846431,31/10/2014,CHRISTINE FOSTER LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,700.00 
Rochdale,V000836973,29/09/2014,CHRYSTAL CONSULTING,Consultancy,ECONOMY AND ENVIRONMENT,BLUE WASTE PAPER BINS,"4,200.00 "
Rochdale,V000836974,29/09/2014,CHRYSTAL CONSULTING,Consultancy,ECONOMY AND ENVIRONMENT,BLUE WASTE PAPER BINS,"2,200.00 "
Rochdale,V000820896,16/10/2014,CITY OF BRADFORD MET DISTRICT COUNCIL,Public Bodies,ECONOMY AND ENVIRONMENT,SERVICE HEAD  PLAN AND REG,"9,000.00 "
Rochdale,V000839682,10/10/2014,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,Arts & Leisure Services,PROPERTY AND HIGHWAYS,ST LTG MISC XMAS ILLUMINA,"9,600.00 "
Rochdale,V000844529,27/10/2014,CIVICA UK LIMITED,Information Communication Technology,FINANCE SERVICES,CENTRAL FINANCE  SYSTEMS AND ADMIN,"4,000.00 "
Rochdale,V000840037,10/10/2014,CIVICA UK LIMITED,Information Communication Technology,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,"38,480.00 "
Rochdale,V000840058,20/10/2014,CLARENCE HIGH SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"20,140.00 "
Rochdale,V000839867,10/10/2014,CLARITY ASSURANCE LIMITED,Consultancy,PHYSICAL DIS & OLDER PEOPLE,SAFEGUARDING BUSINESS UNIT,"4,550.00 "
Rochdale,V000840827,16/10/2014,CLOVERLEAF CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"1,000.00 "
Rochdale,V000837428,30/09/2014,COLLECTICA LTD,Financial Services,FINANCE SERVICES,DEBT RECOVERY TEAM,648.74 
Rochdale,V000837948,03/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CENTRAL FORUM PHYS DIS,604.00 
Rochdale,V000837433,30/09/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,744.00 
Rochdale,V000837953,03/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,509.20 
Rochdale,V000838049,03/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"10,969.51 "
Rochdale,V000839826,10/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"10,291.90 "
Rochdale,V000841104,17/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"10,846.49 "
Rochdale,V000844471,24/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"11,926.01 "
Rochdale,V000846481,31/10/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"11,879.35 "
Rochdale,V000843960,21/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,655.69 
Rochdale,V000846439,31/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,636.40 
Rochdale,V000838043,03/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,821.70 "
Rochdale,V000839825,10/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,852.15 "
Rochdale,V000841100,17/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,823.73 "
Rochdale,V000844468,24/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"3,111.48 "
Rochdale,V000846477,31/10/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"3,108.02 "
Rochdale,V000837538,01/10/2014,COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,STREET LIGHTING UNITARY CHARGE,"280,545.52 "
Rochdale,V000845286,27/10/2014,COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,STREET LIGHTING UNITARY CHARGE,"297,487.51 "
Rochdale,V000845338,27/10/2014,CONNELL BROTHERS LTD,Environmental Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE DEMOLITIONS,"224,835.84 "
Rochdale,V000837588,16/10/2014,CONNEVANS LIMITED,Healthcare,EARLY HELP AND SCHOOLS,HEARING IMPAIRED SUPPORT,662.85 
Rochdale,V000841061,17/10/2014,CO-OPERATIVE PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,"1,230.53 "
Rochdale,V000839870,10/10/2014,CORE ASSETS CONSULTANCY AND RESOURCING LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,834.00 
Rochdale,V000840193,13/10/2014,CORE ASSETS CONSULTANCY AND RESOURCING LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,834.00 
Rochdale,V000841378,20/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"1,638.32 "
Rochdale,V000840345,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,992.51 
Rochdale,V000840534,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"2,393.48 "
Rochdale,V000840536,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,536.65 
Rochdale,V000840537,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PROPERTY AND HIGHWAYS,LITTLEBOROUGH COMMUNITY CAMPUS,"3,368.74 "
Rochdale,V000840539,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,652.80 
Rochdale,V000841313,20/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,970.48 
Rochdale,V000841261,20/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PROPERTY AND HIGHWAYS,TOPS,766.99 
Rochdale,V000841263,20/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PROPERTY AND HIGHWAYS,TOPS,-861.21 
Rochdale,V000840526,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TOWN HALL,"1,729.35 "
Rochdale,V000840535,14/10/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,784.29 
Rochdale,V000837849,03/10/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,(WFL) WIDER FAMILY LEARNING LSC,720.00 
Rochdale,V000844439,24/10/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CHILDRENS CENTRE MANAGEMENT TEAM,540.00 
Rochdale,V000844440,24/10/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CHILDRENS CENTRE MANAGEMENT TEAM,780.00 
Rochdale,V000844441,24/10/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CHILDRENS CENTRE MANAGEMENT TEAM,"1,035.00 "
Rochdale,V000838691,06/10/2014,COSY TOES PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"1,000.00 "
Rochdale,V000844435,24/10/2014,COURTESY COACHES LTD,Public Transport,CUSTOMERS & CORPORATE SERVICES,CRIME PREVENTION AND COMMUNITY SAFETY,"13,530.00 "
Rochdale,V000838841,07/10/2014,CREATIVE SUPPORT LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,526.24 
Rochdale,V000846448,31/10/2014,CREATIVE SUPPORT LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,526.24 
Rochdale,V000837962,03/10/2014,CREATIVE SUPPORT LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,VULNERABLE ADULTS,939.59 
Rochdale,V000840455,14/10/2014,CRECHE N CO LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SEN DEVELOPMENT & SUPPORT,"1,377.60 "
Rochdale,V000837689,02/10/2014,CREST ENVIRONMENTAL,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ASBESTOS WORKS PROVISIONAL - 14/15 345,"5,600.00 "
Rochdale,V000832840,01/10/2014,CRIMBLE CROFT COMMUNITY CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,HEYWOOD EAST COMMUNITY CENTRE,"8,125.00 "
Rochdale,V000844802,27/10/2014,CRIMBLE CROFT PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,840.00 
Rochdale,V000836783,29/09/2014,CROSSGATES PRIMARY SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"1,045.00 "
Rochdale,V000840964,16/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"13,500.00 "
Rochdale,V000838852,07/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"2,122.37 "
Rochdale,V000837892,03/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"6,714.23 "
Rochdale,V000837893,03/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"6,169.17 "
Rochdale,V000838048,03/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,929.31 "
Rochdale,V000839829,10/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,859.48 "
Rochdale,V000841103,17/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,710.28 "
Rochdale,V000844473,24/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,866.46 "
Rochdale,V000846480,31/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,895.40 "
Rochdale,V000840395,14/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OPERATIONAL MANAGER 1 H & C,760.00 
Rochdale,V000840396,14/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OPERATIONAL MANAGER 1 H & C,919.24 
Rochdale,V000840602,15/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OPERATIONAL MANAGER 1 H & C,767.47 
Rochdale,V000840609,15/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OPERATIONAL MANAGER 1 H & C,640.00 
Rochdale,V000832889,01/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"3,508.75 "
Rochdale,V000837906,03/10/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,YOUNG CARERS SERVICE SLA,"11,965.04 "
Rochdale,V000837608,02/10/2014,CUNDALL,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"1,500.00 "
Rochdale,V000846121,29/10/2014,CUNDALL,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"1,500.00 "
Rochdale,V000844803,27/10/2014,CUTGATE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,910.00 
Rochdale,V000837907,03/10/2014,D AND M DEMOLITION AND RECYCLING LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,32 PRINCE STREET,960.00 
Rochdale,V000840456,14/10/2014,D AND M DEMOLITION AND RECYCLING LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,500.00 
Rochdale,V000845967,29/10/2014,D AND M DEMOLITION AND RECYCLING LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,LANGLEY PROCUREMENT,"3,500.00 "
Rochdale,V000841036,17/10/2014,D AND M DEMOLITION AND RECYCLING LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,"7,900.00 "
Rochdale,V000837536,01/10/2014,D SHAWCROSS LTD                      (S),"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,LITTLEBOROUGH ROOF REPLACEMENT 3RD PHASE,"87,925.82 "
Rochdale,V000839808,10/10/2014,D SHAWCROSS LTD                      (S),"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,ST GABRIEL’S CE ROOF REPLACEMENT 3 PHASE,"21,474.00 "
Rochdale,V000840261,14/10/2014,D W TAYLOR,Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"3,482.00 "
Rochdale,V000844452,24/10/2014,D W TAYLOR,Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"4,047.00 "
Rochdale,V000844453,24/10/2014,D W TAYLOR,Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"2,636.72 "
Rochdale,V000844804,27/10/2014,DAISY CHAINS PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,910.00 
Rochdale,V000846514,31/10/2014,DAISY COMMUNICATIONS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"1,718.47 "
Rochdale,V000846532,31/10/2014,DAISY COMMUNICATIONS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"2,204.26 "
Rochdale,V000846534,31/10/2014,DAISY COMMUNICATIONS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"-1,888.98 "
Rochdale,V000839239,08/10/2014,DAVID HUNTER,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,SAFER COMMUNITIES COMMISSIONING,"4,000.00 "
Rochdale,V000841365,20/10/2014,DB ROCHDALE LTD,Unclassifiable,LEARNING DIS & MENTAL HEALTH,GENERAL,825.00 
Rochdale,V000840586,14/10/2014,DCM SURFACES,Sports & Playground Equipment & Maintenance,ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,"2,050.00 "
Rochdale,V000845995,29/10/2014,DCT CIVIL ENGINEERING LTD (IN ADMINSTRATION),"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,Hollins Lane retaining wall (AC),"3,488.96 "
Rochdale,V000846292,30/10/2014,DCT CIVIL ENGINEERING LTD (IN ADMINSTRATION),"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,RETENTIONS (MODERNISATION 2008-09),"1,425.71 "
Rochdale,V000832866,01/10/2014,DEEPLISH COMMUNITY CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,DEEPLISH COMMUNITY CENTRE,"10,800.00 "
Rochdale,V000837521,01/10/2014,DEFENSIVE DRIVER TRAINING,Human Resources,ECONOMY AND ENVIRONMENT,ENV HEAD OF SERVICE M AND SS,"1,036.25 "
Rochdale,V000837526,02/10/2014,DEFENSIVE DRIVER TRAINING,Human Resources,ECONOMY AND ENVIRONMENT,ENV HEAD OF SERVICE M AND SS,"1,053.75 "
Rochdale,V000837855,03/10/2014,DELL CORPORATION LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"1,581.66 "
Rochdale,V000839099,08/10/2014,DELL CORPORATION LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,749.17 
