YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,120,100,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,03055985,03055985,Stolephorus Spp,Stolephorus Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,854,763,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,03055985,03055985,Trichogaster Spp,Trichogaster Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,60,37.5,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,16055400,16055400,Sepia Spp,Sepia Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,60,37.5,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,16055400,16055400,Sepia Spp,Sepia Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,352,275,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,03074940,03074940,Loligo Spp,Loligo Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,US,GB,Liverpool,GB,GB,US,United States,GB,CVEDP,No,Human Consumption,784.7,679.3,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,00210610,00210610,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BW,GB,London Gateway,GB,GB,BW,South Africa,GB,CVEDP,No,Human Consumption,16163.05,15071.05,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,AT,AT,TH,Thailand,GB,CVEDP,No,Human Consumption,18399.53,16740,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-05,2017,Q2,4,5,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,Felixstowe P,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,21551.04,20160,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-03,2017,Q2,4,3,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,London Gateway,IE,IE,BR,Brazil,GB,CVEDP,No,Human Consumption,21248.64,20160,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-12,2017,Q2,4,12,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,London Gateway,IE,IE,BR,Brazil,GB,CVEDP,No,Human Consumption,21536.64,20160,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-12,2017,Q2,4,12,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,London Gateway,IE,IE,BR,Brazil,GB,CVEDP,No,Human Consumption,21551.04,20160,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,16856.64,16856.64,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,CA,GB,Liverpool,GB,GB,US,Canada,GB,CVEDP,No,Human Consumption,15162,12121,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-18,2017,Q2,4,18,-,16041100,16041100,Onchorhynchus Gorbusha,Onchorhynchus Gorbusha,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,CA,GB,Liverpool,GB,GB,US,Canada,GB,CVEDP,No,Human Consumption,17728,14170,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-18,2017,Q2,4,18,-,16041100,16041100,Oncorhynchus Nerka,Oncorhynchus Nerka,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,US,GB,Belfast,GB,GB,US,United States,GB,CVEDP,No,Technical Use,44,24.1,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,-,-,-,-,2017-04-04,2017,Q2,4,4,-,30029090,30029090,Otra Mammalia,Otra Mammalia,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,22022,20020,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,21879,19890,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,20225.5,18254,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,20160.88,17171.88,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,21980,19760,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,CN,GB,Southampton P,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,5244.52,4708.52,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-18,2017,Q2,4,18,-,00230910,230910|42050090,Ungulates,Artiodactyla - Suidae|Ungulates,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,CN,GB,Southampton P,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,5244.52,4708.52,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-18,2017,Q2,4,18,-,42050090,230910|42050090,Artiodactyla - Suidae,Artiodactyla - Suidae|Ungulates,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,London Gateway,AT,AT,TH,Thailand,GB,CVEDP,No,Human Consumption,18205,16670.1,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-05,2017,Q2,4,5,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Felixstowe P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,5485.26,3706.56,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,16052900,16052900|16052900|16052900|16052900,Penaeus Monodon,Penaeus Monodon|Penaeus Monodon|Penaeus Monodon|Penaeus Monodon,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,13752,12513,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-13,2017,Q2,4,13,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10890,9831,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-20,2017,Q2,4,20,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Manchester,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,45672,29064,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-04,2017,Q2,4,4,-,16041428,16041428,Katsuwonus (Euthynnus) Pelamis,Katsuwonus (Euthynnus) Pelamis,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,700,230.7,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-05,2017,Q2,4,5,-,03044990,03044990,Seriola Lalandi,Seriola Lalandi,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,700,374.94,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-05,2017,Q2,4,5,-,03028990,03028990,Seriola Lalandi,Seriola Lalandi,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,Felixstowe P,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,24800,24000,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-06,2017,Q2,4,6,-,02109939,02109939,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,Tilbury P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13809.14,13333.44,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-06,2017,Q2,4,6,-,02044310,02044310|02044390,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,Tilbury P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13809.14,13333.44,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-06,2017,Q2,4,6,-,02044390,02044310|02044390,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MV,GB,Heathrow,GB,GB,MV,Maldives,GB,CVEDP,No,Human Consumption,1158.42,1000.13,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-04,2017,Q2,4,4,-,03044990,03044990,Thunnus Albacares,Thunnus Albacares,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,Tilbury P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,16093.28,15584.66,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,02044290,02044290|02044290|02044290,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,US,GB,Southampton P,GB,GB,US,United States,GB,CVEDP,No,Animal Feedingstuff,19323,18144,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-10,2017,Q2,4,10,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,21768,16326,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-05,2017,Q2,4,5,-,03048700,03048700,Thunnus Albacares,Thunnus Albacares,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,10806.6,8999.42,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,03048700,03048700,Thunnus Albacares,Thunnus Albacares,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,25232,21012.48,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,03048700,03048700,Thunnus Albacares,Thunnus Albacares,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TW,GB,Felixstowe P,GB,GB,TW,Taiwan,GB,CVEDP,No,Human Consumption,3762.5,2520,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-09,2017,Q2,4,9,-,16042090,16042090,Thunnus Albacares,Thunnus Albacares,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,EC,GB,Felixstowe P,GB,GB,EC,Ecuador,GB,CVEDP,No,Human Consumption,24354,19584,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,16041428,16041428,Katsuwonus (Euthynnus) Pelamis,Katsuwonus (Euthynnus) Pelamis,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,FK,GB,London Gateway,GB,GB,FK,Falkland Islands (Malvinas),GB,CVEDP,No,Human Consumption,24343.97,23501.62,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,02044250,02044250|02044290,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,FK,GB,London Gateway,GB,GB,FK,Falkland Islands (Malvinas),GB,CVEDP,No,Human Consumption,24343.97,23501.62,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,02044290,02044250|02044290,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,FK,GB,London Gateway,GB,GB,FK,Falkland Islands (Malvinas),GB,CVEDP,No,Human Consumption,24363.65,23594.91,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,02044210,02044210|02044230|02044250,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,FK,GB,London Gateway,GB,GB,FK,Falkland Islands (Malvinas),GB,CVEDP,No,Human Consumption,24363.65,23594.91,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,02044230,02044210|02044230|02044250,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,FK,GB,London Gateway,GB,GB,FK,Falkland Islands (Malvinas),GB,CVEDP,No,Human Consumption,24363.65,23594.91,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,02044250,02044210|02044230|02044250,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,Belfast,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,15399.87,15040.9,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,00020230,020230|020230|020230|020230|020230,Bos Taurus,Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,Belfast,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,15447.42,15056.8,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-20,2017,Q2,4,20,-,00020230,020230|020230|020230|020230|020230|020230|020230|020230,Bos Taurus,Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,Belfast,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,15442.93,15067.3,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-26,2017,Q2,4,26,-,00020230,020230|020230,Bos Taurus,Bos Taurus|Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,15228.3,14095.9,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-21,2017,Q2,4,21,-,00020230,020230|020230,Bos Taurus,Bos Taurus|Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,IN,GB,Felixstowe P,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,22350,16000,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-11,2017,Q2,4,11,-,03074338,03074338,Loligo Spp,Loligo Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,CN,GB,Southampton P,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,12780,10487.04,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-10,2017,Q2,4,10,-,00230910,00230910,Otra,Otra,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,IN,GB,Stansted,GB,GB,IN,India,GB,CVEDP,No,Animal Feedingstuff,3,3,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-04,2017,Q2,4,4,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,UY,GB,London Gateway,GB,GB,UY,Uruguay,GB,CVEDP,No,Human Consumption,7379,7028,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-15,2017,Q2,4,15,-,00020230,00020230,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,UY,GB,London Gateway,GB,GB,UY,Uruguay,GB,CVEDP,No,Human Consumption,17817,17055,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-15,2017,Q2,4,15,-,00020230,00020230,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,18262,16988,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,00160232,00160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,24301,23655,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-09,2017,Q2,4,9,-,02109939,02109939,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,CA,GB,Heathrow,GB,GB,CA,Canada,GB,CVEDP,No,Human Consumption,831.3,698.5,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-04,2017,Q2,4,4,-,03063210,03063210,Homarus Spp,Homarus Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,11424,8386.56,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,16052190,16052190,Penaeus Vannamei,Penaeus Vannamei,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,London Gateway,IE,IE,BR,Brazil,IE,CVEDP,No,Human Consumption,25971.86,25005,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,02109939,02109939,Aves,Aves,Ireland,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,London Gateway,IE,IE,BR,Brazil,IE,CVEDP,No,Human Consumption,25971.86,25005,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-08,2017,Q2,4,8,-,02109939,02109939,Aves,Aves,Ireland,-,-,,-,-,-,
2017,Q2,4,3,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Human Consumption,22000,12000,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-07,2017,Q2,4,7,-,16052110,16052110,Penaeus Vannamei,Penaeus Vannamei,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,22940,20420,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,03032400,03032400|03046200|03049390,Pangasius Spp,Pangasius Spp|Pangasius Spp|Pangasius Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,22940,20420,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,03046200,03032400|03046200|03049390,Pangasius Spp,Pangasius Spp|Pangasius Spp|Pangasius Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Southampton P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,22940,20420,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,-,03049390,03032400|03046200|03049390,Pangasius Spp,Pangasius Spp|Pangasius Spp|Pangasius Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Felixstowe P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,19605.5,17350,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-09,2017,Q2,4,9,-,03061500,03061500,Nephrops Norvegicus,Nephrops Norvegicus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,VN,GB,Felixstowe P,GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,300,144,/,/,satisfactory,satisfactory,satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-10,2017,Q2,4,10,Yes,16052900,16052900,Acetes Spp,Acetes Spp,United Kingdom,Random,microbiological,,Satisfactory / Borderline Satisfactory,1,Satisfactory,2017-04-20
2017,Q2,4,3,NZ,GB,Heathrow,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,4348,3792,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-03,2017,Q2,4,3,-,04090000,04090000,Apis Melifera,Apis Melifera,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BR,GB,Felixstowe P,GB,GB,BR,Brazil,GB,CVEDP,No,Technical Use,47100,45000,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Technical Use,-,-,-,2017-04-04,2017,Q2,4,4,-,05079000,05079000,Bovidae,Bovidae,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,BD,GB,Felixstowe P,GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10920,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-09,2017,Q2,4,9,-,03061799,03061799,Macrobrachium Rosenbergii,Macrobrachium Rosenbergii,United Kingdom,-,-,,-,-,-,
