Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"13,784.62 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"4,719.58 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"6,759.50 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"-1,064.31 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,YORK ROAD GROUP PRACTICE,"-64,350.61 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,YORK ROAD GROUP PRACTICE,-18.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,619.39 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,YORK ROAD GROUP PRACTICE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,YORK ROAD GROUP PRACTICE,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,YORK ROAD GROUP PRACTICE,-381.31 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,YORK ROAD GROUP PRACTICE,-473.35 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,WRENBURY SURGERY,"13,200.00 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - DRUGS GENERAL,General Practioner Payments,WRENBURY SURGERY,"33,807.39 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,WRENBURY SURGERY,"9,138.30 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,WRENBURY SURGERY,"30,178.60 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,WRENBURY SURGERY,"-35,251.82 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,WRENBURY SURGERY,"1,569.60 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,WRENBURY SURGERY,"-1,569.60 "
Department of Health,Western Cheshire PCT,22/12/2010,GSUM APR- JUN,General Practioner Payments,WRENBURY SURGERY,250.00 
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,WRENBURY SURGERY,"1,083.91 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,WRENBURY SURGERY,335.75 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,WRENBURY SURGERY,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,WRENBURY SURGERY,"-1,010.65 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,WRENBURY SURGERY,-553.23 
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,WRENBURY SURGERY,"15,201.98 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,WRENBURY SURGERY,"1,356.35 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,WRENBURY SURGERY,"3,562.09 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,WRENBURY SURGERY,"2,564.50 "
Department of Health,Western Cheshire PCT,22/12/2010,DISPENSING QUALITY SERVICES SCHEME,General Practioner Payments,WRENBURY SURGERY,841.60 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,WRENBURY SURGERY,"-16,499.39 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,WRENBURY SURGERY,-3.00 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,WRENBURY SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,WRENBURY SURGERY,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,WRENBURY SURGERY,-126.09 
Department of Health,Western Cheshire PCT,10/12/2010,LOCUM SICKNESS,General Practioner Payments,FARNDON HEALTH CENTRE,"2,936.52 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,"-2,356.67 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,"-1,177.50 "
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,"30,563.00 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,"4,669.07 "
Department of Health,Western Cheshire PCT,10/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,"1,917.67 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,"-1,134.75 "
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,FARNDON HEALTH CENTRE,-3.00 
Department of Health,Western Cheshire PCT,10/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,134.65 
Department of Health,Western Cheshire PCT,10/12/2010,RURAL GP NETWORK,General Practioner Payments,FARNDON HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,10/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,166.75 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (STAT),General Practioner Payments,FARNDON HEALTH CENTRE,-158.05 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (VOL),General Practioner Payments,FARNDON HEALTH CENTRE,-18.02 
Department of Health,Western Cheshire PCT,10/12/2010,ADVANCES,General Practioner Payments,FARNDON HEALTH CENTRE,"-4,872.94 "
Department of Health,Western Cheshire PCT,10/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,FARNDON HEALTH CENTRE,-108.98 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,KELSALL MEDICAL CENTRE,"18,800.00 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - DRUGS GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"22,155.50 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"5,766.71 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"18,732.79 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"-18,597.00 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,986.40 
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,-986.40 
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"1,372.96 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,707.46 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"-3,441.67 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"-1,999.17 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,KELSALL MEDICAL CENTRE,"22,195.90 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,KELSALL MEDICAL CENTRE,"1,296.37 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"5,030.45 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"1,514.83 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,KELSALL MEDICAL CENTRE,"2,504.50 "
Department of Health,Western Cheshire PCT,22/12/2010,DISPENSING QUALITY SERVICES SCHEME,General Practioner Payments,KELSALL MEDICAL CENTRE,242.09 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,KELSALL MEDICAL CENTRE,"-23,550.83 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,KELSALL MEDICAL CENTRE,-6.00 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,KELSALL MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,RURAL GP NETWORK,General Practioner Payments,KELSALL MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,KELSALL MEDICAL CENTRE,-140.50 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,KELSALL MEDICAL CENTRE,-174.58 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"28,200.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,"2,519.07 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,263.79 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,GREAT SUTTON M C,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,GREAT SUTTON M C,"-5,615.85 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,GREAT SUTTON M C,"-3,285.24 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,GREAT SUTTON M C,"30,680.62 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,GREAT SUTTON M C,"4,586.49 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"7,955.96 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,GREAT SUTTON M C,"3,347.41 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"4,906.11 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,GREAT SUTTON M C,-77.55 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"-34,551.31 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,GREAT SUTTON M C,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,GREAT SUTTON M C,430.88 
Department of Health,Western Cheshire PCT,22/12/2010,EP&N GP FORUM,General Practioner Payments,GREAT SUTTON M C,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,GREAT SUTTON M C,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,GREAT SUTTON M C,-205.77 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,GREAT SUTTON M C,-252.21 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"26,600.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,"2,362.32 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,695.46 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,GREAT SUTTON M C,"-4,285.86 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,GREAT SUTTON M C,"-2,561.53 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,GREAT SUTTON M C,"28,890.35 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,GREAT SUTTON M C,"4,332.77 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"7,809.07 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,GREAT SUTTON M C,"3,347.41 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"3,829.87 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"-34,160.82 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,GREAT SUTTON M C,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,GREAT SUTTON M C,377.02 
Department of Health,Western Cheshire PCT,22/12/2010,EP&N GP FORUM,General Practioner Payments,GREAT SUTTON M C,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,GREAT SUTTON M C,-189.82 
Department of Health,Western Cheshire PCT,10/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,633.17 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-3,791.67 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-2,192.19 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,-467.74 
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"46,515.00 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"7,510.75 "
Department of Health,Western Cheshire PCT,10/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"3,374.67 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-1,543.25 "
Department of Health,Western Cheshire PCT,10/12/2010,CHOOSE AND BOOK GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-3,242.78 "
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,TARPORLEY HEALTH CENTRE,-12.00 
Department of Health,Western Cheshire PCT,10/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,215.44 
Department of Health,Western Cheshire PCT,10/12/2010,RURAL GP NETWORK,General Practioner Payments,TARPORLEY HEALTH CENTRE,400.00 
Department of Health,Western Cheshire PCT,10/12/2010,CPD TRAINER,General Practioner Payments,TARPORLEY HEALTH CENTRE,750.00 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,231.89 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,107.65 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,80.17 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (STAT),General Practioner Payments,TARPORLEY HEALTH CENTRE,-182.48 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (VOL),General Practioner Payments,TARPORLEY HEALTH CENTRE,-20.80 
Department of Health,Western Cheshire PCT,10/12/2010,ADVANCES,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-7,506.03 "
Department of Health,Western Cheshire PCT,10/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,TARPORLEY HEALTH CENTRE,-224.53 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"33,200.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,"3,721.44 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,287.80 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,GREAT SUTTON M C,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,GREAT SUTTON M C,"-6,125.78 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,GREAT SUTTON M C,"-3,334.98 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,GREAT SUTTON M C,"37,055.00 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,GREAT SUTTON M C,"4,432.97 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"8,846.20 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,GREAT SUTTON M C,"3,347.41 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"4,785.75 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,GREAT SUTTON M C,-808.70 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"-41,836.10 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,GREAT SUTTON M C,-12.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,GREAT SUTTON M C,430.88 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,GREAT SUTTON M C,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,EP&N GP FORUM,General Practioner Payments,GREAT SUTTON M C,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,GREAT SUTTON M C,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,GREAT SUTTON M C,-244.77 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,GREAT SUTTON M C,-298.00 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,BOUGHTON HEALTH CENTRE,"49,900.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"3,944.22 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,483.66 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"-5,915.02 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"-3,072.94 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,BOUGHTON HEALTH CENTRE,"56,966.64 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,BOUGHTON HEALTH CENTRE,"5,427.49 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"14,127.03 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"6,250.00 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"6,327.77 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,BOUGHTON HEALTH CENTRE,"-63,551.13 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,BOUGHTON HEALTH CENTRE,-18.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,242.37 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,BOUGHTON HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,BOUGHTON HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,BOUGHTON HEALTH CENTRE,-370.21 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,BOUGHTON HEALTH CENTRE,-457.21 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"29,400.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"1,951.04 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,279.80 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"-4,101.91 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"-2,054.45 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"32,677.02 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"4,128.09 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"7,832.85 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"3,229.17 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"5,296.90 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,"-36,831.38 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,-6.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,107.72 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,-211.47 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,HANDBRIDGE MEDICAL CENTRE,-247.61 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,AUDLEM MEDICAL CENTRE,"21,100.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,931.80 
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,424.08 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,571.90 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"-2,347.89 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"-1,231.13 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,AUDLEM MEDICAL CENTRE,"26,380.99 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"6,059.30 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"2,616.67 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"4,185.55 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,-576.94 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,AUDLEM MEDICAL CENTRE,"-26,790.10 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,AUDLEM MEDICAL CENTRE,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,AUDLEM MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,AUDLEM MEDICAL CENTRE,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,AUDLEM MEDICAL CENTRE,-145.15 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,MALPAS SURGERY,"34,600.00 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - DRUGS GENERAL,General Practioner Payments,MALPAS SURGERY,"53,051.11 "
