Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,25/05/2017,0000207667,404.00,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,25/05/2017,0000207668,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,25/05/2017,0000207670,281.50,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2518,Licenses/Performing Rights,25/05/2017,0000207672,1607.87,Revenue,The Performing Right Society Ltd,01021
Rushmoor Borough Council,Information Technology,3307,Temporary Staff,25/05/2017,0000207673,1188.00,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,25/05/2017,0000207674,372.68,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,25/05/2017,0000207680,260.45,Revenue,Chubb Fire & Security Ltd,09577
Rushmoor Borough Council,Strategy and Communiations,1411,Citizen Consultancy,25/05/2017,0000207684,1140.00,Revenue,Ray Linge,14596
Rushmoor Borough Council,Community,2517,Tree Maintenance,25/05/2017,0000207685,297.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Information Technology,3305,Canteen Subsidy,25/05/2017,0000207686,1878.42,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Community,2517,Playground Apparatus,25/05/2017,0000207687,335.00,Revenue,Gb Sport & Leisure Uk Ltd,12334
Rushmoor Borough Council,Information Technology,3306,Equipment Maintenance,25/05/2017,0000207693,445.00,Revenue,Morgana Systems Ltd,09704
Rushmoor Borough Council,Information Technology,7500,Flexible Working Review,25/05/2017,0000207695,368.78,Capital,Misco Computer Products,00628
Rushmoor Borough Council,Planning,2609,Local Plan Preparation,25/05/2017,0000207700,2488.00,Revenue,Stilwell Partnership,12427
Rushmoor Borough Council,Community,6585,Contract Costs,25/05/2017,0000207707,2472.30,Capital,Dcm Surfaces,12041
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,25/05/2017,0000207709,922.92,Revenue,Glasdon Uk Ltd,13236
Rushmoor Borough Council,Legal,1202,Stationery,25/05/2017,0000207714,314.17,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,25/05/2017,0000207721,3588.60,Revenue,British Telecommunications Plc,00177
Rushmoor Borough Council,Community,2549,Materials,25/05/2017,0000207725,320.00,Revenue,Hampshire & Iow Crc Ltd,14561
Rushmoor Borough Council,Information Technology,3306,Photocopiers,25/05/2017,0000207735,338.61,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Environmental Health and Housing,2206,H&S Course,25/05/2017,0000207738,500.00,Revenue,Mike Wilcock Consulting,14189
Rushmoor Borough Council,Information Technology,7500,Flexible Working Review,25/05/2017,0000207746,300.00,Capital,Phoenix Software,00724
Rushmoor Borough Council,Community,2533,Victoria Day,25/05/2017,0000207753,455.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Community,6518,Contract Costs,25/05/2017,0000207756,524.70,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Strategy and Communiations,1415,Apprenticeship Levy,04/05/2017,0080009002,3173.00,Revenue,Hm Revenue & Customs,00489
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,04/05/2017,0080009008,1726.02,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,04/05/2017,0080009010,1625.00,Capital,Liftech Systems Ltd,14344
Rushmoor Borough Council,Environmental Health and Housing,6400,Housing Renewal Grants,04/05/2017,0080009011,1670.00,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,04/05/2017,0080009012,4011.15,Capital,Kincliff Ltd,08941
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,04/05/2017,0080009013,1950.00,Revenue,Newlife Property Services,05803
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,04/05/2017,0080009013,1300.00,Control Accounts,Newlife Property Services,05803
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,04/05/2017,0080009014,1100.00,Control Accounts,Springer And Foster,08880
Rushmoor Borough Council,Community,2551,Ministers Fees,04/05/2017,0080009017,1274.00,Revenue,Rev K Hodges,00803
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,11/05/2017,0080009021,3541.00,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,11/05/2017,0080009022,330.00,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Community,2538,Court Fees,11/05/2017,0080009025,11000.00,Revenue,Hmcts,05684
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,05/05/2017,0080009026,950.00,Control Accounts,Chilli Residential,13416
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,11/05/2017,0080009032,1000.00,Revenue,Helen Woodason,14574
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,03/05/2017,0080009034,1053.38,Revenue,Hannah Shepherd,13408
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,11/05/2017,0080009043,305.00,Revenue,Bridges Estate Agents,14004
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,18/05/2017,0080009044,526.20,Revenue,Janet Mcloughlin,14580
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,18/05/2017,0080009055,8687.05,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,18/05/2017,0080009056,8687.05,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,18/05/2017,0080009057,3083.80,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Strategy and Communiations,1415,Apprenticeship Levy,18/05/2017,0080009065,3016.00,Revenue,Hm Revenue & Customs,00489
Rushmoor Borough Council,Community,2518,Agency Sales,18/05/2017,0080009067,19756.30,Revenue,Cody Musical Theatre Company,00317
Rushmoor Borough Council,Community,2518,Agency Sales,18/05/2017,0080009068,3158.00,Revenue,Cactus Brass,13235
Rushmoor Borough Council,Control Accounts,9350,TAG Grant Trim Trail Surface,18/05/2017,0080009069,7796.00,Control Accounts,Southwood Infant School,06015
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,18/05/2017,0080009070,4181.48,Capital,Top Notch Building Services,09540
Rushmoor Borough Council,Community,6573,Contract Costs,18/05/2017,0080009072,324.30,Capital,South East Water Ltd,11732
Rushmoor Borough Council,Environmental Health and Housing,6400,Housing Renewal Grants,25/05/2017,0080009081,2280.00,Capital,Luxuria Property Ltd,14458
Rushmoor Borough Council,Community,6593,Contract Costs,25/05/2017,0080009082,552.00,Capital,Southern Electric Power Distribution Ltd,14591
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009092,2432.96,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009093,893.75,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009094,3520.80,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,25/05/2017,0080009096,1342.50,Revenue,Chilli Residential,13416
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,25/05/2017,0080009096,895.00,Control Accounts,Chilli Residential,13416
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,25/05/2017,0080009097,700.00,Control Accounts,Aldershot Property,14599
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009098,8165.00,Capital,Simon Hutchings Building And Maintenance,04786
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,25/05/2017,0080009103,895.00,Control Accounts,Bridges Lettings,06657
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009104,3956.00,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009106,2207.28,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009107,2829.69,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/05/2017,0080009109,1064.75,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,26/05/2017,0080009114,1275.00,Revenue,Beacon Estate Agents,14408
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,26/05/2017,0080009114,850.00,Control Accounts,Beacon Estate Agents,14408
Rushmoor Borough Council,Personnel & Payroll,1415,Health Care,04/05/2017,56,1556.22,Revenue,National Deposit,DD1
Rushmoor Borough Council,All Services,9347,Staff Rail Travel,23/05/2017,67,299.90,Holding Accounts,RSP Ltd,DD2
Rushmoor Borough Council,Democratic Services,1327,Telephones,23/05/2017,68,261.36,Revenue,Southern Community,DD3
Rushmoor Borough Council,Community,2518,Databox Maintenance,16/05/2017,257,917.54,Revenue,Spektrix,DD4
Rushmoor Borough Council,Financial Services,3403,Bank Charges,03/05/2017,61,864.48,Revenue,Lloyds Bank,DD5
