Department Family,Entity,Payment Date,Expense Type,Cost Centre Name,Supplier,Transaction No.,Line Amount,Invoice Total
Department of Health,North East SHA,24/12/2010,RENT,NESHA CORPORATE AFFAIRS,DTZ DTL LTD,513762,"32,966.25",
,,,,,,,,
Department of Health,North East SHA,24/12/2010,MISCELLANEOUS EXPENDITURE,NESHA TRANSFORMING COMMUNITY SERVICES,GATESHEAD PCT,6601550,"26,000.00","26,000.00"
,,,,,,,,
Department of Health,North East SHA,24/12/2010,COMPUTER SOFTWARE / LICENSE  FEES,RECRUITMENT,HICOM TECHNOLOGY,6699,"32,810.00","38,551.75"
,,,,,,,,
Department of Health,North East SHA,24/12/2010,CONSULTANT,NESHA RESPIRATORY,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160961,"25,332.00","25,332.00"
,,,,,,,,
Department of Health,North East SHA,24/12/2010,TRAINING EXPENSES,CLINICAL PYSCHOLOGY - SRC,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,519619,"423,863.77","423,863.77"
Department of Health,North East SHA,24/12/2010,TRAINING EXPENSES,CONTINUING PROFESSIONAL  DEVELOPMENT (CPD),NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,519621,"101,000.00","101,000.00"
,,,,,,,,
Department of Health,North East SHA,24/12/2010,TRAINING EXPENSES,FOUNDATION DEGREES - TUITION,TEESNAP  LTD,40000272,"54,172.00","54,172.00"
,,,,,,,,
Department of Health,North East SHA,24/12/2010,TRAINING EXPENSES,BUILDING PUBLIC HEALTH FUTURES GROUP,UNIVERSITY OF SUNDERLAND,3014476,"37,012.00","37,012.00"
,,,,,,,,
Department of Health,North East SHA,30/12/2010,TRAINING EXPENSES,FP - ACTIVITY,NHS EDUCATION FOR SCOTLAND,EI0001536,"4,513.60","30,305.60"
Department of Health,North East SHA,30/12/2010,TRAINING EXPENSES,FP - ACTIVITY,NHS EDUCATION FOR SCOTLAND,EI0001536,"25,792.00",
