Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ENVIRONMENTAL EXPRESSIONS LTD,14460 - 2,4780.09
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ERNST AND YOUNG LLP,GB08100126301 - 2,4516.82
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,SHIELD SECURITY SERVICES (YORKSHIRE) LTD,14150 - 2,8621.65
Department of Health,Hull and East Yorkshire NHS Trust,11-Oct-2010,LEASED EQUIPMENT,BALANCE SHEET,SINGER & FRIEDLANDER,Bank transfer,25850.00
Department of Health,Hull and East Yorkshire NHS Trust,12-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,TOSHIBA MEDICAL SYSTEMS LTD,141004179 - 5,-0.02
Department of Health,Hull and East Yorkshire NHS Trust,12-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,TOSHIBA MEDICAL SYSTEMS LTD,141004179 - 4,0.00
Department of Health,Hull and East Yorkshire NHS Trust,12-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,TOSHIBA MEDICAL SYSTEMS LTD,141004179 - 3,11089.75
Department of Health,Hull and East Yorkshire NHS Trust,12-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,TOSHIBA MEDICAL SYSTEMS LTD,141004179 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,12-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,TOSHIBA MEDICAL SYSTEMS LTD,141004179 - 1,63370.00
Department of Health,Hull and East Yorkshire NHS Trust,14-Oct-2010,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,131010 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,14-Oct-2010,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,131010 - 1,39887.57
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,COMPUTER MAINTENANCE,CANCER AND CLINICAL SUPPORT,ISOFT PLC,SI/004628 - 1,39122.34
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2497 - 2,6010.56
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2497 - 1,34346.05
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2498 - 2,3807.65
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2498 - 1,21757.96
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2502 - 2,6811.51
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2502 - 1,38922.85
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2519 - 2,4548.08
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2519 - 1,25988.97
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2539 - 2,5618.20
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2539 - 1,32103.99
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2449 - 2,4923.82
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2449 - 1,28136.06
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2522 - 2,3951.99
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2522 - 1,22582.82
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE AT HOME LTD,OP/2170176 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE AT HOME LTD,OP/2170176 - 1,63635.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE AT HOME LTD,OP/2169610 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE AT HOME LTD,OP/2169610 - 1,30745.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9770017617 - 2,4307.10
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9770017617 - 1,24612.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9730004247 - 2,5932.50
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9730004247 - 1,33900.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90691242 - 2,5614.28
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90691242 - 1,32081.60
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90702241 - 2,8332.38
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90702241 - 1,47613.59
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,PHOENIX HEALTHCARE DISTRIBUTION LTD,86261419 - 2,6537.27
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,PHOENIX HEALTHCARE DISTRIBUTION LTD,86261419 - 1,37355.80
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ELECTRICITY,FACILITIES,SOUTHERN ELECTRIC,291302936/0030 - 2,14968.96
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ELECTRICITY,FACILITIES,SOUTHERN ELECTRIC,291302936/0030 - 1,89178.36
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,EXTERNAL CONTRACTS : DOMESTICS,FACILITIES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184454 - 1,149899.40
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,EXTERNAL CONTRACTS : DOMESTICS,FACILITIES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184453 - 1,264366.92
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,EXTERNAL CONTRACTS : DOMESTICS,FACILITIES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184459 - 1,61723.39
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,EXTERNAL CONTRACTS : DOMESTICS,FACILITIES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184460 - 1,50631.58
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,FIN ADVICE ON COST SAVINGS,DIRECTORATES,ERNST AND YOUNG LLP,GB10300000346 - 1,31444.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,HEALTHCARE - OTHER NHS BODIES,CANCER AND CLINICAL SUPPORT,NHS BLOOD AND TRANSPLANT,797583 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,HEALTHCARE - OTHER NHS BODIES,CANCER AND CLINICAL SUPPORT,NHS BLOOD AND TRANSPLANT,797583 - 1,254597.60
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,HEALTHCARE - OTHER NHS BODIES,SURGERY 1,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1030791 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,HEALTHCARE - OTHER NHS BODIES,SURGERY 1,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1030791 - 1,30319.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,INSURANCE PREMIUM,BALANCE SHEET,NHSLA,Bank transfer,732936.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 45,-0.02
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 44,863.40
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 43,2.63
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 42,72.32
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 41,288.53
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 40,60.33
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 39,120.66
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 38,180.99
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 37,60.33
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 36,14.28
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 35,120.66
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 34,655.75
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 33,306.02
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 32,61.20
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 31,765.04
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 30,690.73
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 29,1036.09
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 28,5.60
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 27,350.18
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 26,18.37
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 25,247.94
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 24,180.99
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 23,117.55
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 22,4933.70
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 21,15.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 20,413.24
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 19,1648.74
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 18,344.74
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 17,689.48
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 16,1034.22
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 15,344.74
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 14,81.62
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 13,689.48
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 12,3747.12
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 11,1748.66
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 10,349.72
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 9,4371.65
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 8,3947.04
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 7,5920.53
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 6,32.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 5,2001.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 4,104.96
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 3,1416.80
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 2,1034.22
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,ABBOTT LABORATORIES LTD,4273451 - 1,671.73
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MED SURG EQPT GENERAL,CANCER AND CLINICAL SUPPORT,ELEKTA LTD,210100012 - 2,7776.81
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MED SURG EQPT GENERAL,CANCER AND CLINICAL SUPPORT,ELEKTA LTD,210100012 - 1,44438.90
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 37,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 36,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 29,10629.80
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 18,14371.36
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 16,17109.97
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 39,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 38,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 21,14655.12
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 10,13666.28
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 9,15256.75
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 1,UNIVERSITY OF HULL,39264 - 42,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 1,UNIVERSITY OF HULL,39264 - 25,18545.63
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 41,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 40,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 20,18163.21
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 13,12899.23
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 12,11427.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 11,15843.59
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,SURGERY 2,UNIVERSITY OF HULL,39264 - 8,13635.34
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,WOMEN S & CHILDREN S,UNIVERSITY OF HULL,39264 - 43,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,WOMEN S & CHILDREN S,UNIVERSITY OF HULL,39264 - 17,16696.11
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL CONSULTANT,WOMEN S & CHILDREN S,UNIVERSITY OF HULL,39264 - 15,16004.75
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,OTHER,LEEDS TEACHING HOSPITALS NHS TRUST,339915 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,OTHER,LEEDS TEACHING HOSPITALS NHS TRUST,339915 - 1,330000.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 50,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 45,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 19,2515.59
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 6,3287.88
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 4,5689.99
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,WOMEN S & CHILDREN S,UNIVERSITY OF HULL,39264 - 44,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,MEDICAL STAFF RECHARGES,WOMEN S & CHILDREN S,UNIVERSITY OF HULL,39264 - 2,6961.93
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI817596 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI817596 - 1,251407.48
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,UNISON,061010 - 3,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,UNISON,061010 - 1,52542.04
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,OTHER TRAINING INCOME,DIRECTORATES,UNISON,061010 - 4,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,OTHER TRAINING INCOME,DIRECTORATES,UNISON,061010 - 2,-1313.55
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,RATES,DIRECTORATES,KINGSTON UPON HULL CITY COUNCIL,60941241 10/11-OCT-10-10 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,RATES,DIRECTORATES,KINGSTON UPON HULL CITY COUNCIL,60941241 10/11-OCT-10-10 - 1,86887.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 8,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 7,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 6,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 5,32965.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 4,1885.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 3,-34850.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,ROTATIONAL REGISTRARS RECHARGED,CANCER AND CLINICAL SUPPORT,LEEDS TEACHING HOSPITALS NHS TRUST,336432 - 1,34850.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 3,1441.41
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 47,0.00
