Department Family,Entity,NewCldate,Expense Type,,,Supplier,Transaction Number,Amount in Sterling,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054557,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,253.75,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054557,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"4,981.83",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054557,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"6,577.44",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054557,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"9,910.90",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054578,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"6,395.11",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054577,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,239.69,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054577,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,868.60,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054577,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"14,144.77",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054573,Sarstedt,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"2,751.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139143,"25,783.18",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139149,"7,897.64",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139149,"127,679.90",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139149,"24,139.47",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,0000000,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001139694,"26,194.50",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051546,Pressure Relieving Equipment,Corporate Services Other,TALLEY GROUP LIMITED,0001139756,"77,865.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,0000000,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001139890,"26,194.50",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2205530,Bld Contract Pennine Acute,Capital,WHITFIELD & BROWN (DEVELOPMENTS) LTD,0001140219,"194,518.24",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2205530,Bld Contract Pennine Acute,Capital,D H WELTON CO LTD,0001140278,"31,350.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2359038,Miscellaneous Expenditure,Estates and Facilities,UNITED UTILITIES WATER PLC,0001140343,"55,584.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2054580,Reagent,Diagnostics & Clinical Support,S G EQUIPMENT FINANCE LTD,0001140423,"49,937.40",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,0000000,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001140433,"345,246.99",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2203511,Anti Virus Systems Maintenance,Corporate Services Other,BARCLAYS ASSET & SALES FINANCE,0001140488,"40,244.40",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,0000000,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001140903,"380,076.37",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2052000,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001141239,"31,950.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2052000,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001141239,"36,260.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2052000,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001141239,"37,415.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2052000,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001141239,"71,110.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/05/2012,2203521,Server Maintenance,Corporate Services Other,HEWLETT-PACKARD LTD,0001141467,"102,504.62",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/05/2012,0000000,EDENRED LTD (CHILDCARE),EDENRED LTD (CHILDCARE),EDENRED LTD (CHILDCARE),0001141823,"93,306.22",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/05/2012,4350000,Other Income,Corporate Services Other,EDENRED LTD (CHILDCARE),0001141823,"2,239.34",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/05/2012,2205530,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001142271,"12,925.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/05/2012,2205530,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001142271,"23,266.09",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,HOLOGIC UK LTD,0001142422,"28,500.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,HOLOGIC UK LTD,0001142424,"16,200.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,HOLOGIC UK LTD,0001142424,"27,600.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2359031,Licences,Estates and Facilities,OLDHAM ATHLETIC (2004) A.F.C. LTD,0001142535,"36,434.30",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2201010,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001142596,"86,556.49",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2201010,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001142596,"2,176.44",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2201010,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001142598,"25,482.07",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2201010,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001142598,"1,377.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2201010,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001142630,964.95,,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2201010,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001142630,"58,036.14",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2205530,Bld Contract Pennine Acute,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001142957,"113,256.89",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2205530,Bld Contract Pennine Acute,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001142957,"28,032.67",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2205530,Bld Contract Pennine Acute,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001142962,"1,877,467.76",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2205530,Bld Contract Pennine Acute,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001142962,"359,867.23",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2203501,PAS Systems Maintenance,Corporate Services Other,I SOFT LTD,0001143489,"75,882.67",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051509,ICD's,Medicine and Community,BOSTON SCIENTIFIC LTD,0001143683,"14,130.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051509,ICD's,Medicine and Community,BOSTON SCIENTIFIC LTD,0001143683,"75,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051567,Pacemaker - Biventricular,Medicine and Community,BOSTON SCIENTIFIC LTD,0001143683,"4,560.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051509,ICD's,Medicine and Community,BOSTON SCIENTIFIC LTD,0001144430,"27,600.00",,
