UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.3a Which of the following devices do you have in your home? (DVR, HD capable TV, Connected TV, HD TV Service)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVR,33,16,28,30,33,24,27,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD TV set,76,52,62,69,71,35,74,74,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Demand (VOD) TV service,29,13,17,13,38,8,19,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connected TV,42,30,36,41,32,17,39,45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online television and film services used within the last week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.21 When did you last use the following online services to watch TV programmes or films? Answer: Within the last week",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Online TV or Film service,66,50,45,61,57,43,57,61,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free to access broadcaster catch up service,44,29,20,28,22,17,32,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD capable TV,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay TV provider catch up service,29,12,10,22,16,8,13,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-broadcaster subscription VOD service,26,13,16,18,38,9,22,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Download to own/rent TV or film service,15,10,10,23,19,11,16,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular use of selected communications services / media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.6 Which of the following do you regularly do (at least once a week)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch TV ,87,87,91,88,83,85,87,91,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen to the radio,64,70,78,72,60,36,62,71,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read national newspapers,49,33,33,52,21,39,34,56,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read local newspapers,41,45,60,48,48,25,43,50,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send letter / parcel items through the post,32,37,42,24,25,17,22,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use a home fixed line phone,63,68,78,60,43,36,50,70,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use a mobile phone/ smart phone,79,85,86,89,70,79,83,91,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use the internet through fixed broadband,79,84,76,68,64,56,73,76,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use internet access via a mobile handset,30,33,32,51,21,16,33,49,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen to music on a portable media player,32,27,28,44,25,22,29,43,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison of ‘lowest available’ stand-alone pricing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index (UK = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by TeligenNote: Pay-TV excludes the TV licence fee. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed voice,Mobile phone,Fixed broadband,Pay-TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,96,117,172,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,65,163,161,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,81,148,171,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,74,179,270,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,65,215,224,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of consumers buying more than one communications service from the same provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents with more than one service, UK=952, FRA=932, GER=945, ITA=935, USA=829, JPN=831, AUS=907, ESP=928, SWE=924Q.5 Do you receive a package or bundle of two or more of these services from the same supplier?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed phone & fixed broadband,31,22,41,22,13,19,27,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband & pay-TV",24,3,3,1,11,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband, mobile phone & mobile broadband",1,2,1,2,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband, pay-TV & mobile phone",3,6,2,1,1,1,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband & mobile phone ",3,24,8,6,0,5,8,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other combinations,22,32,27,48,43,28,26,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,83,89,81,80,68,55,69,90,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest available pricing for the ‘connected family’ household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price (£/ month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen / OECD Note: Excludes the TV licence fee. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,92.54,77.94,133.78,123.37,131.72,233.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,81.9,94.31,153.31,100.55,122.24,243.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest available comparative pricing for the ‘basic needs’ household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price (£/ month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen / OECD Note: Excludes the TV licence fee. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,30.61,30.21,29.02,28.89,41.39,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,33.12,30.91,29.53,35.36,41.27,45.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comparison of international pricing, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom / TeligenNote: Green circle indicates the lowest pricing across all six countries included in this analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,‘Basic needs’ household,,,‘Late adopters’ household,,,‘Mobile power user’ household,,‘Connected family’ household,,,‘Sophisticated couple’ household,,,,,,,,,,,,,,,,,,,,,,,,
Price  (£ per month),Average stand-alone,Average  bundled,Lowest available,Average stand-alone,Average  bundled,Lowest available,Average stand-alone,Lowest available,Average stand-alone,Average  bundled,Lowest available,Average stand-alone,Average  bundled,Lowest available,,,,,,,,,,,,,,,,,,,,,,
UK,41,39,33,58,43,36,103,87,146,97,82,188,159,154,,,,,,,,,,,,,,,,,,,,,,
FRA,45,35,31,74,40,37,102,74,169,102,94,182,130,114,,,,,,,,,,,,,,,,,,,,,,
GER,46,44,30,81,54,42,155,110,234,168,153,229,176,161,,,,,,,,,,,,,,,,,,,,,,
ITA,49,48,35,86,57,50,111,101,226,112,101,215,153,149,,,,,,,,,,,,,,,,,,,,,,
ESP,50,57,41,104,64,57,155,133,274,154,122,261,206,200,,,,,,,,,,,,,,,,,,,,,,
US,82,84,45,126,112,99,188,160,303,279,243,288,328,248,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average overall rank based on ‘weighted average’ stand-alone and lowest available prices, available across all five households: 2014 and 2015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Country,Average rank 2014, Average rank 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FRA,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UK,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ITA,2.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GER,3.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ESP,4.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,USA,5.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household ownership of connected TV sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.3a Which of the following devices do you have in your home? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Connected TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of AV content watched on a TV connected to the internet either directly (Smart TV) or via another device such as a set-top or a games console ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents who access the internet on a connected TV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents who access the internet on a connected TV, UK=235, FRA=122, GER=176, ITA=185, USA=195, JAP=98*, AUS=191, ESP=194, SWE=213. *Caution: bases under 100. Q.9c What sorts of video content do you watch on each of your devices over the internet? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live TV broadcast over the internet,48,41,43,53,43,32,39,53,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch-up TV,70,54,51,54,50,24,51,63,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video-on-demand or internet streamed films,54,49,49,51,70,25,50,44,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watching video clips (e.g. via YouTube),44,53,43,60,51,33,48,55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of AV content watched on a tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents who access the internet on a tablet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All tablet owners who access the internet on a tablet, UK=398, FRA=335, GER=318, ITA=460, USA=319, JAP=234, AUS=370, ESP=435, SWE=343 Q.9c What sorts of video content do you watch on each of your devices over the internet? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live TV broadcast over the internet,27,25,26,26,19,15,14,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch-up TV,40,25,29,30,21,21,25,24,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video-on-demand or internet streamed films,26,16,26,28,39,26,19,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watching video clips (e.g. via YouTube),55,46,59,63,49,58,53,58,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of AV content watched on connected TVs and tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents who access the internet on a tablet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004  Q.9c What sorts of video content do you watch on each of your devices over the internet? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Live TV broadcast over the internet,Catch-up TV,Video-on-demand or internet streamed films,Watching video clips ,Live TV broadcast over the internet,Catch-up TV,Video-on-demand or internet streamed films,Watching video clips ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(e.g. via YouTube),,,,(e.g. via YouTube),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,On a connected TV,,,,On a tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Proportion of all respondents - %),,,,(Proportion of all respondents - %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,11,16,12,10,11,16,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,5,7,6,6,8,8,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,7,9,8,7,8,9,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,10,10,9,11,12,14,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,8,9,13,9,6,6,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,3,2,2,3,3,5,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,7,10,10,9,5,9,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,10,12,8,11,11,11,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,8,9,11,8,10,11,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of any online services to watch TV or films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.21 When did you last use the following online services to watch TV programmes or films?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,66,15,7,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,50,16,10,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,45,14,13,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,61,16,8,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,57,9,7,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,43,11,7,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,57,12,9,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,61,15,9,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,52,16,11,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of free-to-access broadcaster catch-up TV services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004  Q.21 When did you last use the following online services to watch TV programmes or films?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,44,26,13,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,29,24,15,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,20,16,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,28,24,17,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
