Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Amount
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Drugs - FP10,Medicines Mgmt & Pharmacy Directorate,NHSBSA PRESCRIPTION PRICING DIVISION,PHS1000025274,77136.39
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,NHSLA CNST,Finance Directorate,NHSLA,October Payment,"1,496,380.00"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,NHSLA LTPS,Finance Directorate,NHSLA,October Payment,"52,427.00"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,NHSLA PES,Finance Directorate,NHSLA,October Payment,"7,190.00"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,NOVARTIS PHARMACEUTICALS UK LTD,90707172,53664.6
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,NOVARTIS PHARMACEUTICALS UK LTD,90713816,35776.4
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,NOVARTIS PHARMACEUTICALS UK LTD,90716617,35776.4
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,NOVARTIS PHARMACEUTICALS UK LTD,90720396,35776.4
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Reagent Kits - Other,Pathology Directorate,PERKIN ELMER LAS (UK) LTD,3100648847,5357.99
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Reagent Kits - Other,Pathology Directorate,PERKIN ELMER LAS (UK) LTD,3100648847,30617.09
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Reagent Kits - Other,Pathology Directorate,PHADIA LTD,7331663,3810.51
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Reagent Kits - Other,Pathology Directorate,PHADIA LTD,7331663,21774.31
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,PCR Consumables,Pathology Directorate,ROCHE DIAGNOSTICS LTD,3570948352,5414.18
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,PCR Consumables,Pathology Directorate,ROCHE DIAGNOSTICS LTD,3570948352,30938.19
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ROCHE PRODUCTS LTD,1321278879,34999.49
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ROCHE PRODUCTS LTD,1321281203,99167.06
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ROCHE PRODUCTS LTD,1321284873,43089.6
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ROCHE PRODUCTS LTD,1321285665,99167.06
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ROCHE PRODUCTS LTD,1321290792,54713.29
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ROCHE PRODUCTS LTD,1321291188,48219.36
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Ross Care - Repair Cont,Specialty Medicine Directorate,ROSS CARE CENTRES,56259,41122.67
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Ross Care - Repair Cont,Specialty Medicine Directorate,ROSS CARE CENTRES,56320,41122.67
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Steepers Clinical Service,Specialty Medicine Directorate,RSL STEEPER,PR/I141189,65296.09
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Steepers Facilities Services,Specialty Medicine Directorate,RSL STEEPER,PR/I141189,10400.53
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Steepers Admin Service,Specialty Medicine Directorate,RSL STEEPER,PR/I141189,86606.93
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,SSD Services from B Braun,Pathology Directorate,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106064624,272487.25
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,SSD Services from B Braun,Pathology Directorate,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106064624,11329.2
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Reagent Kits - Bayer,Pathology Directorate,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106066330,198367.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Reagent Kits - Bayer,Pathology Directorate,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106132166,272487.25
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Reagent Kits - Bayer,Pathology Directorate,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106132166,11329.2
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,01/10/2010,Hire of Equipment,Corporate,SINGER FRIEDLAND 8938,2010 Payment,"68,993.78"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S-Others,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",14.7
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S-Others,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",84
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S-Perfusion Tubing Sets,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",18.36
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S-Perfusion Tubing Sets,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",104.91
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",332.94
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",224.68
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",360.15
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",1902.53
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",1283.88
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",2058
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",4917.15
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S Oxygenator & Tubing Combined,Neurosciences & Cardiac Surgery Directorate,SORIN GROUP UK LTD,"157,448",28098
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Electricity,Estates - Capital Investment,SOUTHERN ELECTRIC PLC,491302890/0031,23953.69
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Electricity,Estates - Capital Investment,SOUTHERN ELECTRIC PLC,491302890/0031,4191.9
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Electricity,Estates - Capital Investment,SOUTHERN ELECTRIC PLC,491302890/0032,22418.64
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Electricity,Estates - Capital Investment,SOUTHERN ELECTRIC PLC,491302890/0032,3923.26
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,CAP-Engineering Equip & Mats,Corporate,TOBYJEN LTD,201103,65027.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Gas - Interruptible,Estates - Capital Investment,TOTAL GAS & POWER LTD,61282281/10,6775.34
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Gas - Interruptible,Estates - Capital Investment,TOTAL GAS & POWER LTD,61282281/10,38716.25
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Gas - Interruptible,Estates - Capital Investment,TOTAL GAS & POWER LTD,61399035/10,219319.16
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Computer Hardware,Infomatics Directorate,TRACLINE ( UK ) LTD,31829,4068.75
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Computer Hardware,Infomatics Directorate,TRACLINE ( UK ) LTD,31829,23250
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Consultants - LU Recharge,Trustwide Services-Other,UNIVERSITY OF LEEDS,90147525,647928.91
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Electricity,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,3236.42
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Steam,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,5886.48
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Electricity,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,18493.81
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Steam,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,33637.03
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Contract Compressed Air,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,639.15
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Contract LPHW,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,8341.45
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Water Coolers (drinking),Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,13979.39
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Water Coolers (drinking),Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,2446.39
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Contract LPHW,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,1459.75
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Contract Compressed Air,Estates - Capital Investment,UNIVERSITY OF LEEDS,90147585,111.85
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Reagents - Other,Pathology Directorate,UNIVERSITY OF LEEDS,90147778,27000
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,18/10/2010,PFI Creditor Bexley Wing,Corporate,Wharfedale SPV,September Invoice,"33,291.00"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,18/10/2010,Interest Payable on obligations under PFI contracts,Non Operational-Below the Line,Wharfedale SPV,September Invoice,"66,709.00"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,18/10/2010,Unitary Payment (PFI),Estates - Capital Investment,Wharfedale SPV,September Invoice,"66,295.41"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,18/10/2010,VAT COS: 45 Operation of hospitals,Corporate,Wharfedale SPV,September Invoice,"29,101.70"
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,CAP-Building Contracts,Corporate,WOOD-MITCHELL BUILDING GROUP PLC,IN001608,4288.38
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,CAP-Building Contracts,Corporate,WOOD-MITCHELL BUILDING GROUP PLC,IN001608,24505
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,Subscriptions,Finance Directorate,YORKSHIRE & HUMBER SHA,19593771,50000
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Water & Sewerage,Estates - Capital Investment,YORKSHIRE WATER,800322908/03/09/10,25982.18
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Water & Sewerage,Estates - Capital Investment,YORKSHIRE WATER,800460804/09/09/10,6699.1
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Water & Sewerage,Estates - Capital Investment,YORKSHIRE WATER,800460804/09/09/10,6071.55
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Water & Sewerage,Estates - Capital Investment,YORKSHIRE WATER,800460804/09/09/10,34694.54
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Water & Sewerage,Estates - Capital Investment,YORKSHIRE WATER,800460804/09/09/10,38280.57
