Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,JOHN SMITH & SONS LIMITED,2000023107,4186.6,JOHN SMITH & SONS LTD,YO7 3HE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,KEIGHLEY & DISTRICT TRAVEL LTD,2000023110,163932.13,Keighley and District Travel Ltd,BD21 2JX,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,KENT COACH TOURS LTD,2000023111,3119.88,Kent Coach Tours Ltd,TN23 6JW,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,KINCHBUS LTD,2000023113,77836.48,KINCHBUS LTD,LE11 5QS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,KIRKBY LONSDALE COACH HIRE LTD,2000023114,6872.93,KIRKBY LONSDALE COACH HIRE LTD,LA5 9EU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LANCASHIRE UNITED LTD (TRANSDEV),2000023115,210942.31,Lancashire United Limited(Transdev),BD21 2JX,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LANGSTON & TASKER,2000023116,3045.97,LANGSTON & TASKER,MK18 2PZ,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LIBRA TRAVEL LTD,2000023117,4016.87,LIBRA TRAVEL LTD,BA11 2RG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LINBURG TOURING LTD,2000023118,9836.21,LINBURG TOURING LTD,S9 5JF,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LONGRIDGE COACHES,2000023123,4022.54,LONGRIDGE COACHES,PR3 3ZA,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,M & M COACHES LIMITED,2000023125,11655.04,M & M COACHES LIMITED,BB5 0RW,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,M K METRO LTD,2000022991,1199025.31,Arriva The Shires,LU4 8DS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,M K METRO LTD,2000022991,237826.23,M K METRO LTD,LU4 8DS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MAGHULL COACHES,2000023126,7018.51,MAGHULL COACHES LTD,L20 8AE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MANCHESTER COMMUNITY TRANSPORT LTD,2000023127,11869.8,Manchester Community Transport Ltd,M23 0BX,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MAY GURNEY,2000023200,4816.3,MAY GURNEY FLEET AND PASSENGER SERVICES LIMITED,LN6 3RS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MH ELCOCK AND SON LTD,2000023130,1238.29,M H Elcock & Son Ltd,TF7 5HA,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MIDLAND CLASSIC LTD,2000023132,35009.1,MIDLAND CLASSIC LTD.,DE11 9RE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MIDLAND GENERAL OMNIBUS CO LTD,2000023133,9684.46,MIDLAND GENERAL OMNIBUS CO. LTD.,DE75 7BG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MIDLAND RED (NORTH) LTD,2000023134,750111.27,ARRIVA MIDLANDS NORTH LTD,LE4 8ZN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MIDLAND RED (SOUTH) LTD,2000023135,422674.47,STAGECOACH MIDLAND RED (SOUTH) LTD,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MINIBUS EXECUTIVE TRAVEL,2000023263,1319.95,Minibus Executive Travel Limited,WD24 7GP,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MINSTERLEY MOTORS SERVICES LTD,2000023136,20719.08,MINSTERLEY MOTORS LTD,SY5 0LZ,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,MOVING PEOPLE LTD,2000023219,8489.44,MOVING PEOPLE,BB2 7JA,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,N N CRESSWELL,2000023139,1447.75,N N Cresswell Coach Hire,WR11 4RA,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NATIONAL EXPRESS LTD,2000023140,627012.51,NATIONAL EXPRESS LTD,B5 6DD,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NATIONAL EXPRESS LTD,2000023140,148111.72,NATIONAL EXPRESS LTD (CAMBRIDGE COACH SERVICES),B5 6DD,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NATIONAL EXPRESS LTD,2000023140,104009.67,NATIONAL EXPRESS LTD (AIRLINKS),B5 6DD,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NETWORK COLCHESTER LTD,2000023010,788182.55,TGMGroup Ltd T/A Network Colchester,CM20 1DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NEW ENTERPRISE COACHES,2000023261,8406.32,New Enterprise Coaches Ltd,LU4 8DS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,Newbury and District Ltd,2000023241,22764.15,Newbury and District Ltd,RG19 6HN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NORTHUMBRIA MINI COACHES,2000023270,1396.56,Northumbria Mini Coaches,NE63 0AG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NOTTS & DERBY TRACTION CO LTD,2000023143,31104.11,Notts & Derby Traction Co Ltd,DE75 7BG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,NU-VENTURE COACHES LTD,2000023144,70391.79,NU-VENTURE COACHES LTD,ME20 7JN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,OLYMPIA TRAVEL UK LTD,2000023146,5285.18,OLYMPIA TRAVEL UK LIMITED,WN2 3PH,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,OXFORD BUS CO,2000023147,354649.96,City of Oxford Motor Sevices Ltd,OX4 6GA,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,,2000023149,17160.65,CATTERALL'S COACH & TRAVEL SERVICES,CV33 0EA,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,PEARSONS COACHES,2000023150,2368.51,PEARSONS COACHES,HU11 4RR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,PENNINE MOTOR SERVICES,2000023151,19327.36,PENNINE MOTOR SERVICES,BD23 1TE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,PERRYMANS BUSES,2000023152,42459.84,PERRYMANS BUSES LTD,TD15 1UN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,PLATINUM COACHES,2000023217,1755.07,PLATINUM COACHES,PR26 7QL,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,PLUMLINE COACHES,2000023153,570.37,PLUMLINE COACHES,NE46 4DE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,PONTEFRACT MOTORWAYS,2000023190,2738.25,STRINGERS PONTEFRACT MOTORWAYS,WF8 1PN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,QUANTOCK MOTOR SERVICES LTD,2000023155,5737.64,QUANTOCK MOTOR SERVICES LTD,TA4 3BU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,R BULLOCK & CO TRANSPORT LTD,2000023156,11158.94,RALPH BULLOCK & CO (TRANSPORT) LTD,SK8 2AG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,R DRURY COACHES,2000023157,1130.62,R Drury Coaches,DN14 6LP,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,RED EAGLE ,2000023228,3899.83,Red Eagle,HP22 5EZ,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,REGAL BUSWAYS LTD,2000023162,66937.54,REGAL BUSWAYS LTD,SS3 9WB,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,RELIANCE MOTOR SERVICES,2000023163,18613.06,Reliance Motor Services,YO61 1ES,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,RENOWN TRANSPORT SERVICES LTD,2000023273,29237.52,Renown Transport Service Ltd,TN39 3LG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,RLB TRANSPORT & REPAIRS LIMITED,2000023252,12582.67,RLB Transport & Repairs Ltd,S70 2RP,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,ROBERT BENSON COACH HIRE,2000023166,1631.97,ROBERT BENSON COACH HIRE,CA14 1ES,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,ROSS TRAVEL,2000023167,10478.52,ROSS TRAVEL,WF7 5BL,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,ROSSENDALE TRAVEL LTD,2000023272,11632.98,Rossendale Travel Ltd,BB6 7RP,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,ROYS MINIBUSES LTD,2000023271,1847.65,Roy's Minibuses Ltd,NN9 5LG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SELWYNS TRAVEL,2000023269,7330.81,Selwyns Travel Ltd,SK6 2QN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SHAFTESBURY & DIST MOTOR SERVS LTD,2000023170,1549.63,SHAFTESBURY & DISTRICT MOTOR SERVICES LTD,SP7 0EB,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SHERWOOD TRAVEL,2000023234,1426.21,Sherwood Travel,DN40 1QR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SHOREYS TRAVEL,2000023172,2656.92,SHOREY'S TRAVEL,MK45 2AE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SIMONDS,2000023173,30354.98,Simonds of Botesdale Ltd,IP22 4GX,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SKILLS MOTOR COACHES LTD,2000023230,5389.84,Skills Motor Coaches Ltd,NG6 8LY,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SOLENT BLUE LINE,2000023174,156531.26,Go South Coast - Solent Blue Line,BH15 2PR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SOUTHERN VECTIS,2000023175,222108.52,Southern Vectis Omnibus Co Ltd,PO30 1RD,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SOVEREIGN CARS & COACHES,2000023254,688.79,Sovereign Cars & Coaches,DT7 3RD,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH CAMBUS,2000023177,193239.16,STAGECOACH CAMBUS,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH CAMBUS,2000023177,149239.43,Stagecoach CAMBUS- Bio diesel,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH EAST,2000023204,441648.17,STAGECOACH EAST,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH EAST (BEDFORDSHIRE),2000023240,283696.32,Stagecoach East - Bedfordshire,CB4 0DN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH EAST KENT,2000023178,716034.88,STAGECOACH IN EAST KENT,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH IN CUMBRIA,2000023179,664985.95,STAGECOACH IN CUMBRIA,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH IN EAST SUSSEX,2000023047,143226.11,Stagecoach in East Sussex,CT1 2SY,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH IN HANTS & SURREY,2000023180,184809.26,STAGECOACH - HANTS & SURREY,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH IN PORTMOUTH & S DOWNS,2000023182,448862.91,STAGECOACH IN PORTSMOUTH AND THE SOUTH DOWNS,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH MANCHESTER,2000023183,1483281.77,STAGECOACH MANCHESTER,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH MERSEYSIDE,2000023184,385311.49,STAGECOACH MERSEYSIDE,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH NORTH WEST LTD,2000023164,336065.28,STAGECOACH NORTH WEST LTD,L11 0BB,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH SOUTH EAST,2000023185,306556.14,STAGECOACH SOUTH,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAGECOACH VISCOUNT,2000023186,149120.23,STAGECOACH VISCOUNT,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAR TRAVEL HOLIDAYS LTD,2000023224,2907.69,STAR TRAVEL,WF5 8NF,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STAR TRAVEL SERVICES,2000023188,4287.97,Star Travel Services,HP21 7RR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STEPHENSONS OF EASINGWOLD LTD,2000023189,74728.9,STEPHENSONS OF EASINGWOLD LTD,YO61 1SR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STEVENSONS OF UTTOXETER LTD,2000022987,562838.93,ARRIVA MIDLANDS LTD,LE4 8PH,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,STEVENSONS OF UTTOXETER LTD,2000022987,160029.38,STEVENSONS OF UTTOXETER LTD,LE4 8PH,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SUSSEX COACHES,2000023259,5380.88,Sussex Coaches,RH13 8PB,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,SWINDON & DISTRICT,2000023192,206632.16,SWINDON & DISTRICT,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TATES TRAVEL LTD,2000023196,67322.1,TATES TRAVEL LTD,S75 1HT,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TELFORD & WREKIN DC,2000023197,1154.8,TELFORD & WREKIN COUNCIL T/A INTERGRATED TRANSPORT,TF3 4LF,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TGM STANSTED,2000023049,36494.44,TGM Stansted,CM20 1DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,THE BIG BUS COMPANY,2000023004,4088.02,THE BIG BUS COMPANY LTD,SW1W 0BS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,THE DIAMOND BUS COMPANY LTD,2000023043,289432.01,THE DIAMOND BUS COMPANY LTD,B7 5JJ,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TIGER EUROPEAN (UK) LTD,2000023256,7399.94,Tiger European (UK) Ltd,NG4 2JT,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TOM TAPPIN LTD,2000023198,2948.38,Guide Friday City Sightseeing Oxford,OX1 1HS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TOURIST COACHES,2000023199,7353.44,Go South Coast - Tourist Coaches,BH15 2PR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,TRENT BUSES,2000023202,482678.52,Trent Buses,DE75 7BG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,UK PRIVATE VEHICLE HIRE,2000023225,5527.67,UK Private Vehicle Hire Ltd,BL6 5UE,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,VIP CONTRACTS LTD,2000023253,15766.63,VIP Contracts Ltd,B18 5HS,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,W H FOWLER & SONS COACHES LTD,2000023206,8603.48,W H Fowler & Sons (Coaches) Ltd,PE12 0SD,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WALSALL COMMUNITY TRANSPORT,2000023242,5632.16,Walsall Community Transport,WS3 3DH,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WEST MIDLANDS TRAVEL LTD,2000023208,4345655.82,West Midlands Travel Ltd,B9 4BZ,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WHIPPET COACHES LTD,2000023209,95406.63,Whippet Coaches Ltd,CB24 4UG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WHITE BUS SERVICES,2000023210,7717.57,White Bus Services,SL4 4TF,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WHITE ROSE BUS COMPANY LTD,2000023233,83991.9,White Rose Bus Company Ltd,LE4 9HR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WHITES COACHES,2000023211,8317.67,WHITES COACHES LTD,OX10 7NG,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WHITTAKER'S LTD,2000023231,2141.15,Whittaker's Ltd,PR26 7QL,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WHITTLE COACH & BUS LTD,2000023212,27722.44,WHITTLE COACH & BUS LTD,DY11 7QL,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,WILTS & DORSET BUS CO,2000023213,550181.76,WILTS & DORSET BUS CO,BH15 2PR,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,YORKSHIRE COASTLINER LTD,2000023214,154034.46,Yorkshire Coastliner Ltd,HG2 7NY,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,YORKSHIRE TRACTION CO LTD,2000023215,453501.35,STAGECOACH YORKSHIRE,SK3 0DU,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,C T PLUS CIC,2000023012,172645.71,C T PLUS CIC,E8 4RH,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,DOCKLANDS MINIBUSES LTD,2000023044,228765.53,DOCKLANDS BUSES LTD,SW19 1DN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,FIRST LONDON,2000023057,2617124.98,First London,W2 1TY,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LONDON CENTRAL BUS CO LTD,2000023121,1739930.55,LONDON CENTRAL BUS COMPANY LTD,SW19 1DN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LONDON GENERAL TRANSPORT SERVICES L,2000023122,276786.15,BLUE TRIANGLE BUSES LTD,SW19 1DN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Local,LONDON GENERAL TRANSPORT SERVICES L,2000023122,2483476.51,LONDON GENERAL TRANSPORT SERVICES LTD,SW19 1DN,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Roads,MSRS Freight Grant,2000023294,744656.66,MSRS Freight Grant,,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Roads,MSRS Freight Grant,2000023306,6590.3,MSRS Freight Grant,,
Department for Transport,Department for Transport,14/02/2013,Subsidies Private Se,Roads,MSRS Freight Grant,2000023306,4547.72,MSRS Freight Grant,,
Department for Transport,Department for Transport,14/02/2013,Support Services,DASH,HIGHWAYS AGENCY,2000023313,1589.11,#,B1 1RN,
Department for Transport,Department for Transport,14/02/2013,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000023298,961.09,#,DL3 6XR,
Department for Transport,Department for Transport,14/02/2013,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000023298,3405.27,#,DL3 6XR,
Department for Transport,Department for Transport,14/02/2013,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000023298,3062.89,#,DL3 6XR,
Department for Transport,Department for Transport,14/02/2013,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000023299,164908.71,#,DL3 6EH,
Department for Transport,Department for Transport,14/02/2013,Telephone charges,Rail Accident Investigation Branch,VERIZON BUSINESS,2000023292,290.76,#,RG2 6DA,
Department for Transport,Department for Transport,14/02/2013,Telephone Line Rent,Rail Accident Investigation Branch,VERIZON BUSINESS,2000023292,267.84,#,RG2 6DA,
Department for Transport,Department for Transport,14/02/2013,Traffic Survey & Cou,Roads,SERCO LIMITED,2000023291,11177,#,RG27 9UY,
Department for Transport,Department for Transport,14/02/2013,Training,Group Finance,ELIESHA TRAINING,2000023278,7417.91,#,NE4 7YB,
Department for Transport,Department for Transport,14/02/2013,Travel Expenses UK,Rail Accident Investigation Branch,A1 RUSHMOOR RADIO TAXIS LTD,2000023308,731.4,#,GU11 1SJ,
Department for Transport,Department for Transport,15/02/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000023328,3323.28,#,KT3 4JQ,
Department for Transport,Department for Transport,15/02/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000023331,4036.38,#,BN11 2BW,
Department for Transport,Department for Transport,15/02/2013,Agency Staff Costs,Refran Prog Off,LA INTERNATIONAL COMPUTER,2000023339,11165.62,#,ST1 5UB,
Department for Transport,Department for Transport,15/02/2013,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000023346,7560,#,SW19 3RU,
Department for Transport,Department for Transport,15/02/2013,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000023353,7008.66,#,SW8 5AX,
Department for Transport,Department for Transport,15/02/2013,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000023353,7008.66,#,SW8 5AX,
Department for Transport,Department for Transport,15/02/2013,Electricity,Air Accident Investigation Branch,FLOGAS UK LIMITED,2000023352,5720.16,#,LE7 1PF,
Department for Transport,Department for Transport,15/02/2013,Estate Legal Advisor,Local,ROYAL MAIL,2000023341,787.72,#,PE4 5PG,
Department for Transport,Department for Transport,15/02/2013,Hotel&Accom Costs,Air Accident Investigation Branch,REDFERN TRAVEL LTD,2000023348,4520.46,REDFERN TRAVEL - NOV 12 - AAIB,BD1 3AZ,
Department for Transport,Department for Transport,15/02/2013,Hotel&Accom Costs,Roads,,2000023357,876.3,*Trip from 20.01.13 To  25.01.13 to   Tokyo,,
Department for Transport,Department for Transport,15/02/2013,Legal Consultancy,Group HR,DFT ONE TIME VENDOR,2000023395,12000,Withers LLP,SW1P 4DR,
Department for Transport,Department for Transport,15/02/2013,Legal Consultancy,Refran Prog Off,,2000023349,460,#,,
Department for Transport,Department for Transport,15/02/2013,Legal Consultancy,Refran Prog Off,,2000023350,2706,#,,
Department for Transport,Department for Transport,15/02/2013,Machinery Rental,General Counsel's Office,DANWOOD GROUP LTD,2000023334,445.4,#,LN6 3DG,
Department for Transport,Department for Transport,15/02/2013,Net Pay,Roads,DFT ONE TIME VENDOR,2000023394,2367.62,,,
Department for Transport,Department for Transport,15/02/2013,Net Pay,General Counsel's Office,DFT ONE TIME VENDOR,2000023393,3754.2,JACKWOODING,SW1P 4DR,
Department for Transport,Department for Transport,15/02/2013,Occup Health Scheme,Group HR,HEALTH MANAGEMENT LTD,2000023337,2277,#,BN8 5NN,
Department for Transport,Department for Transport,15/02/2013,Other Travel Costs,Roads,,2000023357,85.44,*Trip from 20.01.13 To  25.01.13 to   Tokyo,,
Department for Transport,Department for Transport,15/02/2013,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000023332,1410,#,SG13 7AX,
Department for Transport,Department for Transport,15/02/2013,Rail Travel,Air Accident Investigation Branch,REDFERN TRAVEL LTD,2000023348,1248.14,REDFERN TRAVEL - NOV 12 - AAIB,BD1 3AZ,
Department for Transport,Department for Transport,15/02/2013,Subsidies Private Se,Roads,MSRS Freight Grant,2000023351,817.47,MSRS Freight Grant,,
Department for Transport,Department for Transport,15/02/2013,Subsidies Private Se,Roads,MSRS Freight Grant,2000023344,10120.8,MSRS Freight Grant,,
Department for Transport,Department for Transport,15/02/2013,Subsidies Private Se,Roads,MSRS Freight Grant,2000023345,187918,MSRS Freight Grant,,
Department for Transport,Department for Transport,15/02/2013,Subsistence Costs,Roads,,2000023357,40,*Trip from 20.01.13 To  25.01.13 to   Tokyo,,
Department for Transport,Department for Transport,15/02/2013,Travel Booking Costs,Air Accident Investigation Branch,REDFERN TRAVEL LTD,2000023348,10231.73,REDFERN TRAVEL - NOV 12 - AAIB,BD1 3AZ,
Department for Transport,Department for Transport,15/02/2013,Travel Expenses UK,Group Finance,RAIL STAFF TRAVEL LTD,2000023347,2712.43,#,WC1N 1BY,
Department for Transport,Department for Transport,18/02/2013,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000023462,896.7,#,B37 7YE,
Department for Transport,Department for Transport,18/02/2013,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000023464,1200000,#,CF10 5BT,
Department for Transport,Department for Transport,18/02/2013,Cars Fuel,Air Accident Investigation Branch,ALLSTAR BUSINESS SOLUTIONS LIMITED,2000023450,853.52,#,SN5 6PS,
Department for Transport,Department for Transport,18/02/2013,Computer equipment,Air Accident Investigation Branch,Probrand Ltd,2000023449,1368.78,PROBRAND NON ETHOS 4 SONICPOINT RADIO,B1 3BP,
Department for Transport,Department for Transport,18/02/2013,CurrGrt Las in AEF/A,Rail,TFL GROUP TREASURY,2000023459,2054018.06,TFL February Grant 2013,SW1H 0TL,
Department for Transport,Department for Transport,18/02/2013,Grt Aid to NDPBs,Rail,RAIL PASSENGER COUNCIL,2000023403,565000,PC Feb Grant 2013,M1 1LQ,
Department for Transport,Department for Transport,18/02/2013,IT Consultancy,Rail,AMOR BUSINESS TECHNOLOGY,2000023467,3600,#,PA4 9LH,
Department for Transport,Department for Transport,18/02/2013,IT Equip Cap Cost,Commercial and Technical Services Research,SPECIALIST COMPUTER CENTRES PLC,2000023461,1309.2,Laptop Memory DIMMs,B11 2LE,
Department for Transport,Department for Transport,18/02/2013,IT Equip Cap Cost,Commercial and Technical Services Research,SPECIALIST COMPUTER CENTRES PLC,2000023461,5754.84,#,B11 2LE,
Department for Transport,Department for Transport,18/02/2013,Legal Consultancy,General Counsel's Office,,2000023465,1560,#,,
Department for Transport,Department for Transport,18/02/2013,Legal Consultancy,General Counsel's Office,,2000023466,2243.98,#,,
Department for Transport,Department for Transport,18/02/2013,Management Consultan,Rail and Road Projects,VIRGIN RAIL PROJECTS LTD,100027967,85532.4,#,B5 4HA,
Department for Transport,Department for Transport,18/02/2013,Management Consultan,Rail and Road Projects,VIRGIN RAIL PROJECTS LTD,100027967,-85532.4,#,B5 4HA,
Department for Transport,Department for Transport,18/02/2013,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000023453,595,#,BN8 5NN,
Department for Transport,Department for Transport,18/02/2013,Prog&ProjMgmt Consul,DASH,RAIL SETTLEMENT PLAN,2000023456,69478.8,#,WC1N 1BY,
Department for Transport,Department for Transport,18/02/2013,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000023452,20000,#,PO14 9HL,
Department for Transport,Department for Transport,18/02/2013,Research,Local,TRANSPORT RESEARCH LABORATORY,2000023457,4340,#,RG40 3GA,
