Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount in Sterling
BIS,Competition Commission,25-Feb-13,IT Consumables,Corporate Services & Secretariat,PURE DATA SOLUTIONS LTD,1044904,-46.8
BIS,Competition Commission,22-Feb-13,IT Consumables,Corporate Services & Secretariat,STONE COMPUTERS LTD,1045019,152.4
BIS,Competition Commission,05-Feb-13,IT Software & Licenses,Corporate Services & Secretariat,RACKSPACE,1044178,498
BIS,Competition Commission,30-Jan-13,IT Support & Maintenance,Corporate Services & Secretariat,IBM UNITED KINGDOM LIMITED,1044067,739.4
BIS,Competition Commission,09-Nov-12,IT Support & Maintenance,Corporate Services & Secretariat,CONVERGENT NETWORK SYSTEMS,1044699,135.7
BIS,Competition Commission,09-Nov-12,IT Support & Maintenance,Corporate Services & Secretariat,CONVERGENT NETWORK SYSTEMS,1044700,544.13
BIS,Competition Commission,09-Nov-12,IT Support & Maintenance,Corporate Services & Secretariat,CONVERGENT NETWORK SYSTEMS,1044701,101.25
BIS,Competition Commission,09-Nov-12,IT Support & Maintenance,Corporate Services & Secretariat,CONVERGENT NETWORK SYSTEMS,1044702,405.06
BIS,Competition Commission,09-Nov-12,IT Support & Maintenance,Corporate Services & Secretariat,CONVERGENT NETWORK SYSTEMS,1044703,129.6
BIS,Competition Commission,09-Nov-12,IT Support & Maintenance,Corporate Services & Secretariat,CONVERGENT NETWORK SYSTEMS,1044704,243
BIS,Competition Commission,18-Feb-13,Reprographics Equipment,Corporate Services & Secretariat,BNP PARIBAS LEASING SOLUTIONS,1044547,1708.56
BIS,Competition Commission,19-Feb-13,Reprographics Equipment,Corporate Services & Secretariat,OMM BUSINESS SOLUTIONS LTD,1044596,259.66
BIS,Competition Commission,19-Feb-13,Reprographics Equipment,Corporate Services & Secretariat,OMM BUSINESS SOLUTIONS LTD,1044705,70.8
BIS,Competition Commission,31-Jan-13,Waste Removal,Corporate Services & Secretariat,IRON MOUNTAIN (UK) LTD,1044321,833.02
BIS,Competition Commission,31-Jan-13,Waste Removal,Corporate Services & Secretariat,IRON MOUNTAIN (UK) LTD,1044322,78
BIS,Competition Commission,31-Jan-13,Waste Removal,Corporate Services & Secretariat,IRON MOUNTAIN (UK) LTD,1044323,78
BIS,Competition Commission,31-Jan-13,Waste Removal,Corporate Services & Secretariat,IRON MOUNTAIN (UK) LTD,1044324,78
BIS,Competition Commission,28-Feb-13,Maintenance,Corporate Services & Secretariat,PREMIER PLANT ENGINEERING LTD,1045180,13818.3
BIS,Competition Commission,31-Jan-13,Stationery And General Supplies,Corporate Services & Secretariat,BANNER BUSINESS SERVICES LIMITED,1044164,437.35
BIS,Competition Commission,31-Jan-13,Stationery And General Supplies,Corporate Services & Secretariat,BANNER BUSINESS SERVICES LIMITED,1044165,350.02
BIS,Competition Commission,31-Jan-13,Stationery And General Supplies,Corporate Services & Secretariat,BANNER BUSINESS SERVICES LIMITED,1044166,97.2
BIS,Competition Commission,31-Jan-13,Stationery And General Supplies,Corporate Services & Secretariat,BANNER BUSINESS SERVICES LIMITED,1044167,12.53
BIS,Competition Commission,31-Jan-13,Stationery And General Supplies,Corporate Services & Secretariat,BANNER BUSINESS SERVICES LIMITED,1044168,482.96
BIS,Competition Commission,31-Jan-13,Stationery And General Supplies,Corporate Services & Secretariat,BANNER BUSINESS SERVICES LIMITED,1044169,482.74
BIS,Competition Commission,25-Feb-13,Stationery And General Supplies,Corporate Services & Secretariat,LINK LOCKS,1044715,74.4
BIS,Competition Commission,25-Jan-13,Telecommunications Charge,Corporate Services & Secretariat,BT TELEPHONE PAYMENT CENTRE,1043926,818.31
BIS,Competition Commission,17-Feb-13,Telecommunications Charge,Corporate Services & Secretariat,BT TELEPHONE PAYMENT CENTRE,1044579,134.28
BIS,Competition Commission,17-Feb-13,Telecommunications Charge,Corporate Services & Secretariat,BT TELEPHONE PAYMENT CENTRE,1044580,90
BIS,Competition Commission,10-Feb-13,Telecommunications Charge,Corporate Services & Secretariat,T-MOBILE (UK) LTD,1044603,3181.44
BIS,Competition Commission,12-Feb-13,Postage Charges,Corporate Services & Secretariat,PITNEY BOWES LIMITED,1044472,1013
BIS,Competition Commission,27-Jan-13,Courier Charges,Professional Groups,CYC LOGISTIC & DISTRIBUTION,1043927,44.1
BIS,Competition Commission,27-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1043928,437.7
BIS,Competition Commission,27-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1043929,32.45
BIS,Competition Commission,27-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1043930,14.51
BIS,Competition Commission,27-Jan-13,Courier Charges,Corporate Services & Secretariat,CYC LOGISTIC & DISTRIBUTION,1044133,36.98
BIS,Competition Commission,27-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044134,172.32
BIS,Competition Commission,31-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044173,48.77
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044377,19.4
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044378,9.68
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044380,61.52
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044381,218.98
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044382,69.74
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044383,11.3
BIS,Competition Commission,31-Jan-13,Courier Charges,Professional Groups,CYC LOGISTIC & DISTRIBUTION,1044387,24.31
BIS,Competition Commission,31-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044388,337.21
BIS,Competition Commission,31-Jan-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044389,25.81
BIS,Competition Commission,31-Jan-13,Courier Charges,Corporate Services & Secretariat,CYC LOGISTIC & DISTRIBUTION,1044390,11.33
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044485,147.94
BIS,Competition Commission,10-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044486,137.86
BIS,Competition Commission,17-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044848,68.74
BIS,Competition Commission,17-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044849,18.39
BIS,Competition Commission,17-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044850,36.99
BIS,Competition Commission,17-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044851,110.95
BIS,Competition Commission,17-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044852,92.5
BIS,Competition Commission,17-Feb-13,Courier Charges,Inquiry Teams,CYC LOGISTIC & DISTRIBUTION,1044853,21.86
BIS,Competition Commission,02-Feb-13,Training,Corporate Services & Secretariat,CHANGE-FX CONSULTING LTD,1043262,1740
BIS,Competition Commission,30-Jan-13,Training,Corporate Services & Secretariat,IIR LIMITED,1044170,1078.8
BIS,Competition Commission,30-Jan-13,Training,Corporate Services & Secretariat,IIR LIMITED,1044171,1078.8
BIS,Competition Commission,31-Jan-13,Training,Corporate Services & Secretariat,WORTH TRAINING LTD,1044176,870
BIS,Competition Commission,31-Jan-13,Training,Corporate Services & Secretariat,YELLOW HAT LTD,1044269,3389.4
BIS,Competition Commission,30-Jan-13,Conferences,Corporate Services & Secretariat,THE HON. SOCIETY OF LINCOLNS INN,1044174,970.5
BIS,Competition Commission,25-Jan-13,Recruitment And Removal,Corporate Services & Secretariat,DISCLOSURE SCOTLAND,1044187,275
BIS,Competition Commission,30-Jan-13,Recruitment And Removal,Corporate Services & Secretariat,LEWISSILKIN,1044737,1301
BIS,Competition Commission,30-Jan-13,Recruitment And Removal,Corporate Services & Secretariat,LEWISSILKIN,1044738,1137
BIS,Competition Commission,31-Jan-13,Accountancy Charges,Corporate Services & Secretariat,LOGICA,1044189,75.6
BIS,Competition Commission,31-Jan-13,Outside Storage,Corporate Services & Secretariat,IRON MOUNTAIN (UK) LTD,1044132,2475.59
BIS,Competition Commission,07-Dec-12,IT Capital Expenditure,Corporate Services & Secretariat,TRUSTOC PLC,1044528,1197.62
BIS,Competition Commission,29-Nov-12,IT Capital Expenditure,Corporate Services & Secretariat,TRUSTOC PLC,1044530,4485.94
BIS,Competition Commission,29-Nov-12,IT Capital Expenditure,Corporate Services & Secretariat,TRUSTOC PLC,1044531,2259.65
BIS,Competition Commission,29-Nov-12,IT Capital Expenditure,Corporate Services & Secretariat,TRUSTOC PLC,1044532,961.54
BIS,Competition Commission,29-Nov-12,IT Capital Expenditure,Corporate Services & Secretariat,TRUSTOC PLC,1044533,736.36
BIS,Competition Commission,28-Feb-13,Capital Expenditure,Corporate Services & Secretariat,PREMIER PLANT ENGINEERING LTD,1046733,24646.98
BIS,Competition Commission,28-Feb-13,Capital Expenditure,Corporate Services & Secretariat,PREMIER PLANT ENGINEERING LTD,1046734,2413.62
BIS,Competition Commission,28-Feb-13,Capital Expenditure,Corporate Services & Secretariat,PREMIER PLANT ENGINEERING LTD,1046735,4628.52
BIS,Competition Commission,28-Feb-13,Capital Expenditure,Corporate Services & Secretariat,PREMIER PLANT ENGINEERING LTD,1046736,16310.88
BIS,Competition Commission,11-Feb-13,Reprographics Equipment,Corporate Services & Secretariat,DANWOOD FINANCE LTD,1044391,2439.91
BIS,Competition Commission,15-Feb-13,IT Software & Licenses,Corporate Services & Secretariat,PURE DATA SOLUTIONS LTD,1044610,3273.6
BIS,Competition Commission,13-Feb-13,IT Support & Maintenance,Corporate Services & Secretariat,SECURITY PARTNERSHIPS,1044620,10417.55
BIS,Competition Commission,13-Feb-13,IT Support & Maintenance,Corporate Services & Secretariat,SECURITY PARTNERSHIPS,1044621,2090.32
BIS,Competition Commission,13-Feb-13,IT Support & Maintenance,Corporate Services & Secretariat,SECURITY PARTNERSHIPS,1044622,8280
BIS,Competition Commission,13-Feb-13,IT Support & Maintenance,Corporate Services & Secretariat,SECURITY PARTNERSHIPS,1044623,5400
BIS,Competition Commission,04-Feb-13,IT Support & Maintenance,Corporate Services & Secretariat,IBM UNITED KINGDOM LIMITED,1044624,37370.21
BIS,Competition Commission,19-Feb-13,Staff Welfare,Corporate Services & Secretariat,NEXUS HEALTHCARE,1044713,2682
BIS,Competition Commission,17-Feb-13,General Maintenance,Corporate Services & Secretariat,SECUREWAIS UK LTD,1045034,1104
