IATI-Number,Project-Number,Project name,Project Description ,Benefiting Country,Country Code,Benefitting Region,Region Code,Input Sector,Input Sector text,Delivery Channel,Delivery channel text,Aid Type,Nature of Submission,Activity Start Date,Commitment Date,Activity End Date,Activity Status,Activity Scope,Climate Change - Adaptation,Climate Change - Mitigation,Climate Change - Biodiversity,Climate Change - Desertification,Gender Equality,Aid to Environment,Good Governance,Trade Development,RMNCH,Document 1 - Type,2015 Q 4,Full Year Actuals
GB-GOV-3-PAP-CNF-001023-1,PAP-CNF-001023-1,Promoting the rule of law in China,This project aims to improve the rule of law by seeking to improve our understanding of the Chinese judicial reform programme and finding opportunities to influence local and national reform initiatives.,China,CN,,,15130,Legal and judicial development,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-CNF-001023-2,PAP-CNF-001023-2,Developing China’s political and economic governance,This project aims to improve the rule of law by providing examples of UK best practice in political and economic governance. ,China,CN,,,15110,Public sector policy and administrative management,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-CNF-001023-3,PAP-CNF-001023-3,Supporting the development of civil society in China,"This project aims to enhance democracy and transparency by  operationalising the China Network Civil Society Strategy, delivering a series of activities under three strands designed to support the development of an improved legislative environment for NGOs, capacity building support to grassroots organisations - particularly in the northwest - and identifying and encouraging the beneficial involvement of civil society in key public policy areas such as environmental and social policy.",China,CN,,,15152,Legislatures and political parties,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-CNF-001023-4,PAP-CNF-001023-4,Supporting provincial socio-economic development in China,This project aims to support economic development by sharing UK best practice and experience with regional policymakers. ,China,CN,,,25010,Business support services and institutions,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-CNF-001023-5,PAP-CNF-001023-5,Improving engagement with local Government in East China,The fund has been allocated to a variety of projects which aim to improve the development of democracy and civil society in East China and deepen our engagement with local government.,China,CN,,,15150,Democratic participation and civil society,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-CNF-001023-6,PAP-CNF-001023-6,Increasing Science and innovation links between the UK and Southern China,"This project aims to support low carbon growth at local level, and to support the growth of civil society through projects that encourage public participation in environmental protection. ",China,CN,,,15150,Democratic participation and civil society,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-CNF-001023-7,PAP-CNF-001023-7,Supporting sustainable development in Chongqing,"This project aims to support low carbon growth at local level, and to support the growth of civil society through projects that encourage public participation in environmental protection. ",China,CN,,,15150,Democratic participation and civil society,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"213,375.00","213,375.00"
GB-GOV-3-PAP-DFI-100000,PAP-DFI-100000,Supporting democracy in Burma,"These projects support democratic reform in Burma. Projects supported under this programme address: raising awareness of human rights including those of LGBT minorities, freedom of expression, improving English language skills for government officials, building the capacity of women MPs, supporting the creation of an independent bar association and funding the deployment of a long-term pre-election observation mission by the Carter Centre.",Myanmar,MM,,,15160,Human rights,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"473,649.00","473,649.00"
GB-GOV-3-PAP-FJS-001005,PAP-FJS-001005,Strengthening Parliamentary journalistic reporting in Fiji,"Building capacity of journalists for fair reporting and engaging with the new Fijian Parliament, following first democratic election since military dictatorship",Fiji,FJ,,,15153,Media and free flow of information,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"26,380.00","26,380.00"
GB-GOV-3-PAP-GEN-000009,PAP-GEN-000009,Visits and events delivering on Foreign Policy Priorities,Tactical projects to deliver on the security and prosperity objectives in Post’s Country Business Plan,Philippines,PH,,,99810,Sectors not specified,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"8,549.00","8,549.00"
GB-GOV-3-PAP-GEN-000010,PAP-GEN-000010,Promote public access to reliable information on infrastructure projects in Thailand ,This project aims to contribute to democratic transparency by providing funding for the International  Secretariat of Construction Sector Transparency Initiative (CoST) to Thailand and to hold a conference for State Enterprises officials and multi stakeholder groups on information disclosure required by CoST standards to support Thailand on establishing  CoST standards in pilot infrastructure projects.  ,Thailand,TH,,,15150,Democratic participation and civil society,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,942.00","10,942.00"
GB-GOV-3-PAP-GEN-000010-1,PAP-GEN-000010-1,Support for peace resolution in South Thailand ,To fund the translation of Belfast Guidelines into Thai language to support the Thai peace dialogue through deeper understanding of UK best practice  ,Thailand,TH,,,15220,"Civilian peace-building, conflict prevention and resolution",51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,942.00","10,942.00"
GB-GOV-3-PAP-GEN-000014,PAP-GEN-000014,Provision of equipment for physiotherapy units in the Democratic Peoples Republic of Korea.,Improve access to physical rehabilitation services for people with disabilities in a remote community in the DPRK.,"Korea, Dem. Rep.",KP,,,12220,Basic health care,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,124,124
GB-GOV-3-PAP-GEN-000018,PAP-GEN-000018,Building capacity in Lao's education system,"This project will provide practical support to the Lao government's efforts to roll out English language teaching to all primary schools in Laos by 2020. Working with the Research Institute of the Ministry of Education and Sports (RIES), the project will train 12 teacher trainers from Bolikhamxay Province on how to use teacher English to grade 4 students in there province, using materials also sponsored by the British Embassy. The training will then be cascaded to other teachers in the province.",Laos,LA,,,11120,Education facilities and training,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-1,PAP-GEN-000018-1,Supporting capacity building in Lao's education sector. ,This project aims to support the development of education by increasing links between National University of Laos and Aston University and to increase the profile of UK education.,Laos,LA,,,11120,Education facilities and training,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-2,PAP-GEN-000018-2,An Introduction to Corporate Social Responsibility (CSR) for Lao businesses.,The project aims to support sustainable development by increasing  awareness of Corporate Social Responsibilities  concept among the local businesses who are new to CSR.  The  Lao corporate culture  does not practice CSR in the western sense.,Laos,LA,,,25010,Business support services and institutions,23000,Developing country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-3,PAP-GEN-000018-3,Support for Lao education sector. ,The project aims to increase collaboration between the UK and Laos in higher education and promote the UK education offer to Lao students by contributing to senior level Lao Ministry of Education attendance at the World Education Forum hosted in London.,Laos,LA,,,15110,Public sector policy and administrative management,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-4,PAP-GEN-000018-4,Improving the Lao response to climate change. ,This project aims to combat climate change by promoting  the UK’s work on Energy and Climate Change in Laos by introducing the 2050 Energy Pathway Calculator as part of Global Climate Change Calculator showcase.  The event  has opened up an opportunity for Laos to learn from the UK 2050 Energy Pathway Calculator that  may be of an interest of Laos to develop its own calculator. It  can be potentially used as a government policy tool  to help the Lao  government  to identify to appropriate energy and climate change policy including Laos’s INDC. ,Laos,LA,,,41010,Environmental policy and administrative management,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-5,PAP-GEN-000018-5,Building the capacity of civil society to engage constructively in the aid effectiveness agenda.,This project aims to support conflict reduction by providing training for a select group oaf Lao civil society actors focussed on working in fragile and difficult political environments. It will provide them with skills on how best to influence and build advocacy work within their areas of work. Lack of capacity and sensitivities about the political environment in Laos have been identified as the key blockages for effective civil society engagement.,Laos,LA,,,15110,Public sector policy and administrative management,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-6,PAP-GEN-000018-6,Promoting the study of English in Laos. ,"This project aims to support economic development by encouraging Lao people to learn English, via improved access to teaching materials. It resulted in a higher profile for the UK's English language offer as well as supporting the Lao government's own policy objective to spread English language learning through use of new technologies.",Laos,LA,,,16061,Culture and recreation,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000018-7,PAP-GEN-000018-7,Supporting the rule of law by combating fraud,This project aims to bolster the rule of law by raising awareness of the risks to personal information on line working with a local NGO to disseminate best practice in managing personal information.,Laos,LA,,,15130,Legal and judicial development,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,526.00","6,526.00"
GB-GOV-3-PAP-GEN-000020,PAP-GEN-000020,Support for conference on preventing Sexual Violence Against Men and Boys in Conflict ,"This project aims to combat sexual violence in conflict by  bringing together members of civil society, government agencies, international and local NGOs, educational establishments, legal experts, medical and social welfare practitioners, activists and survivors. ",Cambodia,KH,,,15130,Legal and judicial development,21033,Transparency International,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"8,117.00","8,117.00"
GB-GOV-3-PAP-GEN-000020-1,PAP-GEN-000020-1,Promoting action to mitigate climate change in Cambodia ,This project aims to combat climate change by providing sustainable resources to vulnerable communities and promoting corporate social responsibility by the garment sector through a tree planting project.  ,Cambodia,KH,,,41010,Environmental policy and administrative management,22000,Donor country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,1,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"8,117.00","8,117.00"
GB-GOV-3-PAP-GEN-000021,PAP-GEN-000021,Building the capacity of key networks and organisations in Malaysia,"This project supports a wide range of priority areas in Malaysia including:  good governance, strengthening civil society and women’s rights though the provision of training support to the Women of the Future Summit; Chevening activities and the provision of UK expertise.",Malaysia,MY,,,15170,Womenâ€™s equality organisations and institutions,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,995.00","10,995.00"
GB-GOV-3-PAP-GEN-000023,PAP-GEN-000023,Capacity building work with Indonesian police.,This project aims to strengthen the rule of law by improving the capacity for forensics work amongst regional police forces.,INDONESIA,ID,,,15130,Legal and judicial development,50000,Other,D02,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"4,586.00","4,586.00"
GB-GOV-3-PAP-IDJ-001007,PAP-IDJ-001007,Administrative Costs of ODA Projects  in Indonesia,"Project facilitation costs covering planning, implementation and resources as part bilateral programmes in Indonesia",INDONESIA,ID,,,91010,Administrative costs,11000,Donor Government,G01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,889.00","2,889.00"
GB-GOV-3-PAP-IDJ-001034,PAP-IDJ-001034,Support to maximise impact of the report of Timor-Leste’s truth commission ,"Strengthening the public impact of the report produced by the Timor Leste Truth Commission, including by ensuring that it reaches a broader international audience in translation.",Timor-Leste,TL,,,15130,Legal and judicial development,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"23,364.00","23,364.00"
GB-GOV-3-PAP-IDJ-001035,PAP-IDJ-001035,Promoting the UN Guiding Principles on Business and Human Rights.,"This project aims to secure stronger commitment from the Indonesian business community and ASEAN Governments toward implementing the United Nations Guiding Principles on Business & Human Rights, in order to ensure the mainstreaming of responsible business conduct in Indonesia and eventually, throughout ASEAN.",INDONESIA,ID,,,15160,Human rights,50000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,868.00","10,868.00"
GB-GOV-3-PAP-IDJ-001036,PAP-IDJ-001036,Building support for gender equality and women's rights among Indonesian Muslims ,This project aims to promote gender equality and women's rights among Indonesian Muslims through support to female clerics (ulema) ,INDONESIA,ID,,,15170,Womenâ€™s equality organisations and institutions,50000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,723,723
GB-GOV-3-PAP-IDJ-001046,PAP-IDJ-001046,Promoting Human Rights in regional cities in Indonesia ,This project aims to promote Human Rights in regional cities in Indonesia through multi stakeholder forums to share experience and ideas.,INDONESIA,ID,,,15160,Human rights,50000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"13,782.00","13,782.00"
GB-GOV-3-PAP-IDJ-001047,PAP-IDJ-001047,Supporting democracy through education,This project aims to support democracy by building critical thought among young voters to participate actively in the Presidential election and in the post election phase,INDONESIA,ID,,,15150,Democratic participation and civil society,50000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"12,007.00","12,007.00"
GB-GOV-3-PAP-IDJ-001097,PAP-IDJ-001097,Supporting human rights and diversity in Aceh,Providing expertise and advice through workshops and seminars in Aceh with officials working on Shariah Law in order to promote tolerance and respect for international human rights obligations including for women and minorities.,Indonesia,ID,,,15160,Human rights,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,002.00","6,002.00"
GB-GOV-3-PAP-IDJ-001106,PAP-IDJ-001106,Supporting the rule of law in South East Asia through building up the capability for law enforcement,The project will deliver training and workshops for law enforcement agencies across South East Asia to build biometric data analysis capability to international standards at the Indonesia-UK-Australia Jakarta Centre for Law Enforcement Cooperation.,Indonesia,ID,,,15210,Security system management and reform,10000,Public Sector Institutions,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"24,622.00","24,622.00"
GB-GOV-3-PAP-LON-000112,PAP-LON-000112,Supporting sustainable economic growth in China,"This project, delivered by the Great Britain and China Centre (GBCC), will deliver better, more sustainable economic growth in China by identifying and promoting key rule of law reforms.",China,CN,,,25010,Business support services and institutions,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"75,000.00","75,000.00"
GB-GOV-3-PAP-LOV-001025,PAP-LOV-001025,Developing understanding of human rights among Lao officials.,"This project aims to support Human Rights by funding a side trip to London for the 7 member Lao delegation to the EU-Laos Human Rights Dialogue, we will expose key members of the Lao government to the UK approach to human rights including prisoner rights, the accountability of our parliamentary system and current priorities for the UK within the international human rights system. The visit will build trust that the UK can be a partner for Laos as it seeks to sign up to further international human rights commitments, and more importantly focus on implementing its existing commitments.",Laos,LA,,,15160,Human rights,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"8,935.00","8,935.00"
GB-GOV-3-PAP-LOV-001100,PAP-LOV-001100,Strengthening Lao government capacity to combat money laundering ,"Support the UN Office on Drugs and Crime to conduct three workshops for institutions of the Lao Judiciary (including judges, prosecutors, police investigators and staff of the Financial Investigation Unit of Laos), on international anti-money-laundering standards and the review of the Lao anti-money-laundering law.",Laos,LA,,,15130,Legal and judicial development,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"13,018.00","13,018.00"
GB-GOV-3-PAP-MAK-001103,PAP-MAK-001103,Sharing UK expertise to build Malaysian capacity on flood mitigation.,This project will bring together state and federal representatives in Kelantan (a poor rural state badly affected by flooding in November 2014) with UK experts from the Met Office and UK water and engineering consultancies with a view to sharing experiences of flood mitigation and crisis response in the UK and providing practical and targeted recommendations. ,Malaysia,MY,,,41050,Flood prevention/control,11000,Donor Government,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"5,383.00","5,383.00"
GB-GOV-3-PAP-MAK-001107,PAP-MAK-001107,Improving the political participation of young people from South East Asia ,"This project aims to bring together key youth stakeholders from across South East Asia to attend a roundtable discussion that will be held in conjunction with the Association of South East Asia Nations (ASEAN) Leadership Forum in April 2015. Participants will discuss their vision for South East Asia countries integration in light of the wide ranging socio-cultural, political and economic disparities that exist between the ASEAN Member States. ",Malaysia,MY,,,15150,Democratic participation and civil society,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"15,080.00","15,080.00"
GB-GOV-3-PAP-MNU-001060,PAP-MNU-001060,Sustainable Urban Planning pilot,"The Sustainable Urban Planning pilot is a capacity building project which will significantly improve Mongolia’s urban planning and public collaboration capacity.  This will increase Mongolia’s ability to deliver sustainable growth and reduce poverty, while also providing opportunities for the UK",Mongolia,MN,,,41040,Site preservation,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,1,1,1,1,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"25,000.00","25,000.00"
GB-GOV-3-PAP-PHM-001074,PAP-PHM-001074,Supporting awareness of disability rights.,This project is part of our paralympic legacy work to raise awareness of persons with disabilities agenda to encourage inclusive development through change in government policy to fulfil our London 2012 aims. ,Philippines,PH,,,15160,Human rights,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,723,723
GB-GOV-3-PAP-PHM-001082,PAP-PHM-001082,Supporting the Mindanao peace process.,Using Northern Ireland peace agreement experience to inform and convince Philippine legislators to pass legislation connected to the Mindanao peace process which HMG has supported since 2008,Philippines,PH,,,15220,"Civilian peace-building, conflict prevention and resolution",20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"8,668.00","8,668.00"
GB-GOV-3-PAP-PHM-001084,PAP-PHM-001084,Supporting the Mindanao peace process in the Philippines,"This project aims to support the implementation of the Mindanao peace process.  British expertise and experience will focus on increasing the strength of democratic institutions, pluralism, and respect for human rights.  The project will also promote British community-led policing and minority rights.  ",Cambodia,KH,,,15220,"Civilian peace-building, conflict prevention and resolution",12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"201,000.00","201,000.00"
GB-GOV-3-PAP-PMM-001108,PAP-PMM-001108,Tackling corruption in Cambodia ,This project aims to tackle corruption by identifying gaps in the knowledge and skills of Cambodian judges and then providing relevant training to bridge these gaps and to improve their application of the law. ,Cambodia,KH,,,15130,Legal and judicial development,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"50,000.00","50,000.00"
GB-GOV-3-PAP-THB-001052,PAP-THB-001052,Support to the Centre for  the Peace Process in Southern Thailand,Supporting the Centre for Humanitarian Dialogue to conduct activities in Southern Thailand to develop space for engagement by stakeholders and encourage a negotiation settlement to the conflict,Thailand,TH,,,15220,"Civilian peace-building, conflict prevention and resolution",21000,International NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"14,441.00","14,441.00"
GB-GOV-3-PAP-THB-001094,PAP-THB-001094,Capacity building programme for volunteer human rights monitors in Thailand,This project aims to strengthen human rights by funding 25 human rights monitors to promote human rights law and principles in Thailand as well as supporting 3 Thai civil society representatives to conduct regional advocacy interventions to improve human rights in SE Asia  ,Thailand,TH,,,15160,Human rights,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"12,425.00","12,425.00"
GB-GOV-3-PAP-THB-001095,PAP-THB-001095,Capacity building for Thai customs authorities ,This project aims to contribute to the rule of law by supporting two Thai customs operatives to the UK for a week to job shadow work at UK international parcel hubs and the freight terminal to learn current profiling techniques in examining postal items being sent to or received from Thailand.  ,Thailand,TH,,,15110,Public sector policy and administrative management,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,411.00","6,411.00"
GB-GOV-3-PAP-THB-001104,PAP-THB-001104,"Wilton Park Conference: Resolving domestic conflict in South East Asia, Jakarta, February 2015",This project aims to aid conflict resolution by funding a Thai participant to attend the Wilton Park Conference to learn about regional conflict and apply the lessons learned/best practice in Southern Thailand.  ,Thailand,TH,,,15220,"Civilian peace-building, conflict prevention and resolution",20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,224,224
GB-GOV-3-PAP-VNH-001008,PAP-VNH-001008,Enhancing capacity of Vietnamese future leaders to deliver reform programmes in areas of UK expertise. Phase 1.,"This project aims to support democracy by sharing UK expertise with participants in the Ho Chi Minh Political Academy's Future Leaders Course on key issues linked to governance, economic management and anti-corruption, in order to promote  sustainable economic development in Vietnam",Vietnam,VN,,,15152,Legislatures and political parties,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"20,240.00","20,240.00"
GB-GOV-3-PAP-VNH-001017,PAP-VNH-001017,Familiarising the leadership of Ho Chi Minh City with the Public Private Partnership (PPP) model for infrastructure investment.,"The project aims to support economic development by providing key decision makers with the specialist knowledge and understanding to implement the PPP model in Vietnam, thereby supporting the transition away from aid funding towards a sustainable infrastructure project financing model. As a secondary benefit, this project will strengthen our bilateral relationship with the HCMC authorities and position the UK as a partner of choice on PPP projects.",Vietnam,VN,,,25010,Business support services and institutions,22000,Donor country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"1,162.00","1,162.00"
GB-GOV-3-PAP-VNH-001018,PAP-VNH-001018,Support for establishment of a Youth Parliament in Vietnam,"This project aims to support democracy by working with the National Assembly to establish a forum for young Vietnamese people, in the form of Vietnam's first Youth Parliament, in which they can make their voices heard and hold the Government to account on issues that affect them ",Vietnam,VN,,,15150,Democratic participation and civil society,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"26,211.00","26,211.00"
GB-GOV-3-PAP-VNH-001026,PAP-VNH-001026,Enhancing Vietnam's civil nuclear regulatory capacity.,"This project aims to support clean energy by the development of an effective nuclear regulatory framework in Vietnam, in line with best international practice, by sharing UK’s experience through secondment of an expert from the UK's Office of Nuclear Regulation to the Vietnam Agency for Radiation and Nuclear Safety (VARANS), in line with the November 2013 UK-Vietnam MoU on civil nuclear energy.  As a secondary benefit, this project will enhance our understanding of Vietnam's civil nuclear build plans, and potential opportunities for UK companies.",Vietnam,VN,,,15110,Public sector policy and administrative management,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"15,472.00","15,472.00"
