Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,PSPES Level 2,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"4,102.66",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,534.56,
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"5,315.14",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"5,855.51",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,411.87",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"4,290.66",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"3,821.41",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,090.36",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,655.73,
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,656.59,
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,956.57",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,285.10",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"3,003.87",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"2,931.15",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"2,259.56",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"2,915.73",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,694.05",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,257.18,
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,213.45",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"3,359.96",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,337.41,
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Strategic Performance Team,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"1,476.59",
Communities & Local Government,DCLG,06/08/2013,Travel and Subsistence Account,Troubled Families,REDFERN TRAVEL LIMITED,,Small,,2100233254,Business Travel,Monthly Consolidated Travel Costs July 13,BD1 3AZ,"4,416.34",
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BIORENEWABLES DEVELOPMENT CENTRE LT,,,,7600005863,,Revenue Grant To Be Paid,YO10 5NY,"88,591.69",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BRADFORD ENTERPRISE AGENCY LIMITED,,Micro,,7600005865,,Revenue Grant To Be Paid,BD1 0AH,"2,320.00",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CASE TRAINING SERVICES LTD,Yes,Small,,7600005846,,Revenue Grant To Be Paid,HU2 8DQ,"2,761.34",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CASE-DA,,Micro,,7600005873,,Revenue Grant To Be Paid,LE1 7EA,"33,241.50",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COMMUNITY FOUNDATION FOR LEEDS,Yes,Micro,,7600005838,,Revenue Grant To Be Paid,LS1 2TE,"2,884.21",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COMMUNITY FOUNDATION FOR LEEDS,Yes,Micro,,7600005839,,Revenue Grant To Be Paid,LS1 2TE,"7,940.87",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,DURHAM COUNTY COUNCIL,,,,7600005860,,Revenue Grant To Be Paid,DL16 6JQ,"16,401.75",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,FOOD &  DRINK FORUM LTD (I-NET),,Small,,2300002035,,Recovery of ERDF Grant,NG5 9RG,"-2,638.65",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GENERATOR,,Micro,,7600005852,,Revenue Grant To Be Paid,NE1 2PQ,"59,760.77",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HUDDERSFIELD UNIVERISTY,,,,7600005858,,Revenue Grant Clawback Offset,HD1 3DH,-119.19,Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HUDDERSFIELD UNIVERISTY,,,,7600005858,,Revenue Grant To Be Paid,HD1 3DH,"7,491.49",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HUDDERSFIELD UNIVERISTY,,,,7600005859,,Revenue Grant Clawback Offset,HD1 3DH,-639.07,Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HUDDERSFIELD UNIVERISTY,,,,7600005859,,Revenue Grant To Be Paid,HD1 3DH,"22,979.10",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,KEY FUND INVESTMENTS LTD,,Small,,7600005848,,Revenue Grant To Be Paid,S9 3TY,"3,286.73",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,KEY FUND INVESTMENTS LTD,,Small,,7600005849,,Revenue Grant To Be Paid,S9 3TY,"3,657.95",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,KIRKLEES COUNCIL,,,,7600005854,,Revenue Grant To Be Paid,HD1 2TG,"18,995.13",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,KIRKLEES COUNCIL,,,,7600005855,,Revenue Grant To Be Paid,HD1 2TG,"4,976.27",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LOUGHBOROUGH UNIVERSITY,,Large,,7600005870,,Revenue Grant To Be Paid,LE11 3TU,"21,863.36",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MEDIAWORKS TRUST,,Small,,7600005874,,Revenue Grant To Be Paid,DE22 3RG,"1,291.38",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM TRENT UNIVERSITY,,Large,,7600005872,,Revenue Grant Clawback Offset,NG1 4FZ,"-5,378.03",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM TRENT UNIVERSITY,,Large,,7600005872,,Revenue Grant To Be Paid,NG1 4FZ,"9,109.36",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM TRENT UNIVERSITY,,Large,,7600005876,,Revenue Grant To Be Paid,NG1 4FZ,"24,960.45",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,7600005875,,Revenue Grant To Be Paid,NG7 2RD,"26,935.74",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,PASTURES DEVELOPMENT COMPANY LTD,,,,7600005871,,Revenue Grant To Be Paid,DN31 1LW,869.68,Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005837,,Revenue Grant Clawback Offset,S1 2SH,"-30,000.00",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005837,,Revenue Grant To Be Paid,S1 2SH,"38,558.58",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005869,,Revenue Grant To Be Paid,S1 2SH,"9,688.90",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD HALLAM UNIVERSITY,,,,7600005840,,Revenue Grant To Be Paid,S1 1WB,"18,884.40",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD HALLAM UNIVERSITY,,,,7600005841,,Revenue Grant To Be Paid,S1 1WB,"9,265.75",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD HALLAM UNIVERSITY,,,,7600005857,,Revenue Grant To Be Paid,S1 1WB,"8,589.98",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD HALLAM UNIVERSITY,,,,7600005864,,Revenue Grant To Be Paid,S1 1WB,"19,394.66",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,STOCKTON BOROUGH COUNCIL,,,,7600005866,,Revenue Grant To Be Paid,TS18 1LD,"1,024.42",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF BRADFORD,,,,7600005862,,Revenue Grant To Be Paid,BD7 1DP,"13,826.92",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,7600005853,,Revenue Grant To Be Paid,S60 5TZ,"23,580.88",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,7600005856,,Revenue Grant To Be Paid,S60 5TZ,"35,371.33",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YORKS & HUMBER PEOPLE UTD AGAINST C,,,,7600005850,,Revenue Grant To Be Paid,S1 2AH,"20,919.77",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YORKS & HUMBER PEOPLE UTD AGAINST C,,,,7600005851,,Revenue Grant To Be Paid,S1 2AH,"36,989.93",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BOLTON  BUSINESS VENTURES LTD,,,,2300002028,,Repayment of uninvested ERDF Grant,BL1 8SW,"-122,125.00",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BRADFORD ENTERPRISE AGENCY LIMITED,,Micro,,7600005865,,Capital Grant To Be Paid,BD1 0AH,"39,288.75",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CASE TRAINING SERVICES LTD,Yes,Small,,7600005846,,Capital Grant To Be Paid,HU2 8DQ,"22,646.52",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,DURHAM COUNTY COUNCIL,,,,7600005861,,Capital Grant To Be Paid,DL16 6JQ,"350,246.52",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,KIRKLEES COUNCIL,,,,7600005854,,Capital Grant To Be Paid,HD1 2TG,"2,188.38",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,KIRKLEES COUNCIL,,,,7600005855,,Capital Grant To Be Paid,HD1 2TG,"57,992.95",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,MEDIAWORKS TRUST,,Small,,7600005874,,Capital Grant To Be Paid,DE22 3RG,34.24,Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,7600005875,,Capital Grant To Be Paid,NG7 2RD,"13,158.08",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,PASTURES DEVELOPMENT COMPANY LTD,,,,7600005867,,Capital Grant To Be Paid,DN31 1LW,"4,430.62",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,PASTURES DEVELOPMENT COMPANY LTD,,,,7600005868,,Capital Grant To Be Paid,DN31 1LW,"67,374.24",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,PASTURES DEVELOPMENT COMPANY LTD,,,,7600005871,,Capital Grant To Be Paid,DN31 1LW,"1,704.08",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SCREEN YORKSHIRE LIMITED,,,,7600005847,,Capital Grant To Be Paid,LS2 7EY,"56,250.00",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005842,,Capital Grant To Be Paid,S1 2SH,"47,064.55",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005843,,Capital Grant To Be Paid,S1 2SH,"68,876.55",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005844,,Capital Grant To Be Paid,S1 2SH,"45,014.71",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005845,,Capital Grant To Be Paid,S1 2SH,"108,088.67",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,7600005869,,Capital Grant To Be Paid,S1 2SH,"3,082.65",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,STOCKTON BOROUGH COUNCIL,,,,7600005866,,Capital Grant To Be Paid,TS18 1LD,"2,311.00",Yes
Communities & Local Government,DCLG,06/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,7600005856,,Capital Grant To Be Paid,S60 5TZ,"28,194.83",Yes
Communities & Local Government,DCLG,07/08/2013,Accrued Expense (Vendor),Finance & Corporate Services,DEPT FOR WORK & PENSIONS,,Public Bodies,,2100233331,,Salary recovery for Ex GO staff ,CF14 3UW,"3,321.48",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106195957,Contingent Labour,Interim Manager,SL6 1DP,631.86,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106195965,Contingent Labour,CPD 0492030 Capita MSP,SL6 1DP,"1,275.00",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,5106195963,Contingent Labour,Interim,SL6 1DP,"1,117.80",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195948,Contingent Labour,Interim Manager,SL6 1DP,"2,375.94",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195950,Contingent Labour,Interim Manager,SL6 1DP,621.00,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195952,Contingent Labour,Interim Manager,SL6 1DP,"1,392.34",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195953,Contingent Labour,Interim Manager,SL6 1DP,"3,825.00",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195953,Contingent Labour,Interim Manager (Expenses),SL6 1DP,124.92,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195955,Contingent Labour,Contractor ERDF,SL6 1DP,510.00,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195957,Contingent Labour,Expenses INTERREG 2Seas-Territorial Faci,SL6 1DP,43.74,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195958,Contingent Labour,Expenses,SL6 1DP,52.90,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195958,Contingent Labour,Interim Manager,SL6 1DP,"1,912.50",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195960,Contingent Labour,Expenses,SL6 1DP,22.68,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195960,Contingent Labour,Interim Manager,SL6 1DP,"1,794.72",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195962,Contingent Labour,Expenses,SL6 1DP,89.87,
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195962,Contingent Labour,Interim Manager,SL6 1DP,"2,018.28",
Communities & Local Government,DCLG,07/08/2013,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106195964,Contingent Labour,Interim Manager,SL6 1DP,"1,707.78",
Communities & Local Government,DCLG,07/08/2013,Catering,Finance & Corporate Services,EDEN CATERERS LTD,,Small,,5106195954,Catering,Refreshments for JGA Event,SE1 7LD,378.80,
Communities & Local Government,DCLG,07/08/2013,Current Grants to Non Profit Bodies,Localism,SANDWELL CONSORTIUM CIC,,,,2100233255,,English Lang Comp - support grant,B67 7AA,"4,000.00",Yes
Communities & Local Government,DCLG,07/08/2013,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,Public Bodies,,2100233329,,HCA Grant in Aid Claim W/C 7 August 2013,NE11 0NA,"16,596,095.00",Yes
Communities & Local Government,DCLG,07/08/2013,"IT - PC, Network & Hardware",Localism,DELL CORPORATION LTD,,Large,,5106195733,ICT Hardware,PowerVault TL2000 Tape Library,RG12 1LF,"9,115.20",
Communities & Local Government,DCLG,07/08/2013,Legal Fees,Neighbourhoods,JOHN PUGH-SMITH,,,,5106195993,Legal,Legal/Mediation Fees,WC2R 3AT,"6,300.00",
Communities & Local Government,DCLG,07/08/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,5106195968,Learning and Development Materials,FS Long Service and Good Conduct Medals,CF72 8YT,623.70,
Communities & Local Government,DCLG,07/08/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,5106195969,Learning and Development Materials,FS Long Service and Good Conduct Medals,CF72 8YT,683.10,
Communities & Local Government,DCLG,07/08/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,5106195971,Learning and Development Materials,FS Long Service and Good Conduct Medals,CF72 8YT,564.30,
Communities & Local Government,DCLG,07/08/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,5106195973,Learning and Development Materials,FS Long Service and Good Conduct Medals,CF72 8YT,297.00,
Communities & Local Government,DCLG,07/08/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,5106195974,Learning and Development Materials,FS Long Service and Good Conduct Medals,CF72 8YT,415.80,
Communities & Local Government,DCLG,07/08/2013,Physical Storage,Finance & Corporate Services,INXTERIORS REFURBISHMENTS LTD,,Micro,,5106195988,Warehousing and Storage,Storage,TN8 6EL,"1,015.00",
Communities & Local Government,DCLG,07/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195985,Printing Services,Non-Vatable printing services,NR3 1PD,206.25,
Communities & Local Government,DCLG,07/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195985,Printing Services,VAT chargeable printing services,NR3 1PD,130.00,
Communities & Local Government,DCLG,07/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195987,Printing Services,Non-Vatable printing services,NR3 1PD,196.00,
Communities & Local Government,DCLG,07/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195987,Printing Services,VAT chargeable printing services,NR3 1PD,130.00,
Communities & Local Government,DCLG,07/08/2013,Professional services,Neighbourhoods,VALUATION OFFICE AGENCY,,Public Bodies,,5106195976,Financial,Financial Checks/Fees 2011/12,W1B 5BU,"1,634.50",
Communities & Local Government,DCLG,07/08/2013,Publicity,Finance & Corporate Services,GORKANA GROUP LTD,,Large,,5106195991,Advertising,Press Cuttings,EC1Y 8QE,"3,830.92",
Communities & Local Government,DCLG,07/08/2013,Technical Aids for the disabled,Finance & Corporate Services,DCLG GOVERNMENT PROCUREMENT CARD,,,,1000003854,,AT290 - Braillemaker prof - Assist tech,TN37 7GA,473.99,
Communities & Local Government,DCLG,07/08/2013,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,Public Bodies,,5106195959,Vehicle Hire and Lease,Car of SOS -Duty Car 1- LT206,SW8 5AX,"7,204.66",
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ALT VALLEY COMMUNITY TRUST,,,,7600005879,,Revenue Grant To Be Paid,L11 0BS,"179,024.63",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CENTRAL LANCASHIRE UNIVERSITY,,,,7600005881,,Revenue Grant To Be Paid,PR1 2HE,"262,807.58",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL JOHN MOORES UNIVERSITY,,,,7600005880,,Revenue Grant To Be Paid,L3 2AJ,"73,434.68",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL JOHN MOORES UNIVERSITY,,,,7600005882,,Revenue Grant To Be Paid,L3 2AJ,"13,620.99",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL JOHN MOORES UNIVERSITY,,,,7600005883,,Revenue Grant To Be Paid,L3 2AJ,"1,912.11",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL UNIVERSITY,,,,7600005886,,Revenue Grant Clawback Offset,L69 7ZX,-13.53,Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL UNIVERSITY,,,,7600005886,,Revenue Grant To Be Paid,L69 7ZX,"69,211.78",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NCEE,,,,7600005887,,Revenue Grant Clawback Offset,CV1 2TT,0.43,Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NCEE,,,,7600005887,,Revenue Grant To Be Paid,CV1 2TT,"46,236.83",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NCEE,,,,7600005888,,Revenue Grant Clawback Offset,CV1 2TT,8.53,Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NCEE,,,,7600005888,,Revenue Grant To Be Paid,CV1 2TT,"181,743.30",Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH WEST AEROSPACE ALLIANCE,,,,7600005885,,Revenue Grant Clawback Offset,BB9 9BT,-327.24,Yes
Communities & Local Government,DCLG,07/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH WEST AEROSPACE ALLIANCE,,,,7600005885,,Revenue Grant To Be Paid,BB9 9BT,"42,919.94",Yes
