DEPARTMENT FOR TRANSPORT - INFORMATION ASSET REGISTER ,,,,,,,,
Asset Title,Data collection activity,Asset Description,Business Area,Personal,No. of records,Data processor,In public domain,Published where
RightNow Customer Relationship Management System,Ongoing,"Staff contact information: name, payband, unit, building, location and contact details (phone, fax), job title and function; Also Dft enquiry contacts: name and extension number of approximately 500 staff - text answers - and lines to take on topical issues",Department for Transport,Yes,51 - 500,Siemens provide the enquiry service. Information also backed up by RightNow Technologies in the USA.,No,
Road Accident In Depth Studies (RAIDS),Future,"This asset contains legacy data from the Department's OTS, CCIS and HVCIS accident studies. It contains measurements taken at the scene of accidents, damage to vehicles, injuries to persons involved in the accidents and the investigators conclusions of the investigations. Data collection will begin again towards the end of 2012 under the RAIDS project. The data entered in the database is anonymised on entry and contains no information that directly identifies an individual.",Department for Transport,Yes,"10,001 - 100,000",Contracts awarded to TRL and TSRC Loughborough University (May 2012) for data collection and upload,No,
Road Accident Statistics - STATS 19,Ongoing,Road Accident Statistics (STATS 19) - Data collected from GB police forces following accidents. Data includes vehicle registration mark geographic data and dates and times (approx 3800000 records).,Department for Transport,Yes,"over 1,000,000",Data is collected by the police at the scene of an accident and processed by the Department for Transport.,Yes,Anonymised extracts uploaded to data.gov.uk
Road Safety Compliance Consultation,Ceased,Database of names & addresses,Department for Transport,Yes,51 - 500,,No,
Road Safety Consultation,Ceased,"Database of names, email addresses and post code details of consultees",Department for Transport,Yes,"1,001 - 10,000",,No,
Roadside survey of vehicle registration marks,Ongoing,"Roadside survey of vehicle registration marks. Dataset consists of photographs of cars on the UK road network, and auto-captured number plate data. Photos are taken at c. 200 sites around UK each June. Roughly 1.5-1.7 million marks captured per year. Survey now moved to biennially rather than annually, operating in odd-numbered years from 2011 onwards.",Department for Transport,Yes,"over 1,000,000",Nationwide Data Collection (NDC),No,
RSA/NAM: TOC data used in economic modelling,Ongoing,Train Operating Company (TOC) revenue estimates and forecasts and - where available - detailed analysis. Data and forecasts are commercially confidential.,Department for Transport,No,1 - 50,,No,
RSA: Channel Tunnel rail statistics,Ongoing,Statistics on channel tunnel rail passengers and freight,Department for Transport,No,51 - 500,,No,
RSA: National Passenger Survey (NPS) data,Ongoing,Passenger Focus supply privileged pre-release access to TOC-level aggregate statistics for the National Passenger Survey (NPS).,Department for Transport,No,1 - 50,,Yes,http://www.passengerfocus.org.uk/research/nps/content.asp
Renewable Transport Fuel Obligations Order (RTFO) information,Ongoing,"All information required to operate accounts under the Renewable Transport Fuel Obligations Order 2007(as amended), includes account holder details, company addresses and user details (names, contact details); data on amounts of fossil and biofuel supplied by the account holders;  ownership and transfer of Renewable Transport Fuel Certificates between suppliers; compliance of account holders with their obligations and data received from HMRC to substantiate suppliers claims.",Department for Transport,No,51 - 500,,No,
SAP,Ongoing,"SAP is an HR core management system, holds HR records. Data stored -Diversity Data; National Insurance Nos; Bank Details.",Department for Transport,Yes,"1,001 - 10,000",,No,
Senior Civil Service Pay,Ongoing,Annual Senior Civil Service (SCS) Pay Award & bonus recommendations stored in a series of password protected spreadsheets.,Department for Transport,Yes,"501 - 1,000",,No,
Senior Civil Service Succession Management,Ongoing,Recruitment tool for matching candidates to upcoming Senior Civil Service (SCS) positions. Senior level data and salaries.,Department for Transport,Yes,51 - 500,,No,
Secondment & Interchange Spreadsheets,Ongoing,"Details of individuals currently seconded from or to DfTc including names, job titles, allowance, information on salary",Department for Transport,Yes,"1,001 - 10,000",,No,
Segmentation study anonymised data,Ceased,"Segmentation study final dataset (anonymised). The variables included attitudes to climate change and transport, information on transport behaviour and classification information e.g. age; gender; ethnicity; income group. ",Department for Transport,No,"1,001 - 10,000",TNS-BMRB,Yes,http://www.dft.gov.uk/data/release/10036
SHARP Database,Ongoing,Safety Helmet Assessment and Rating Programme (SHARP) - Database of e-mail contacts who have requested regular safety information from DfT,Department for Transport,Yes,"1,001 - 10,000",,No,
Sharp Website Registrations Data,Ongoing,"Sharp Website allows for users to register their details for updates. Names, addresses and email addresses held.",Department for Transport,Yes,51 - 500,,No,
Software Licence Tracker,Ongoing,Details of licensing information for software purchased/held by DfT(Central).,Department for Transport,Yes,"501 - 1,000",,No,
Civil Service People Survey,Ongoing,"Legacy data compiled by the Open Research Compiler (ORC). This is staff anonymous data following a staff survey, conducted every year.",Department for Transport,No,"1,001 - 10,000",Open Research Compiler,No,
Survey of Foreign Vehicle Activity,Ceased,"Survey of foreign HGVs undertaking haulage on UK (3,161 vehicle records)",Department for Transport,Yes,"1,001 - 10,000",AECOM,Yes,Aggregated data (but not personal information) at: http://www.dft.gov.uk/pgr/statistics/datatablespublications/freight/foreignvehicle/foreignroadgoodsfinal
Tardis - Investigation,Ongoing,Train Accident Reporting Database Investigation System (Tardis) - Rail Accident Investigations Database,Department for Transport,Yes,"501 - 1,000",,No,Rail Accident Investigation Branch ultimately only release investigation info pre-publication with a court injunction
Thameslink Rolling Stock Project Data Site,Ongoing,"Web-based. Holds information, in lieu of a physical data room, for accredited bidders.",Department for Transport,No,"1,001 - 10,000",Connect Internet Solutions Ltd,No,
Tonnage Tax Training Commitment database,Ongoing,List of trainee cadets with number of months they have been training against the Company name to ensure that Companies are fulfilling their training requirements.,Department for Transport,Yes,"1,001 - 10,000",,No,
Traffic count data,Ongoing,"The dataset contains manual and automatic traffic counts that are used to produce annual road traffic estimates for GB. Some other data are collected by the automatic traffic counters, such as speeds of vehicles. The data items are counts of the number of vehicles passing a particular location at a particular time. Personal data (such as number plates) are not collected as part of this exercise.",Department for Transport,No,"over 1,000,000",,Yes,http://www.dft.gov.uk/statistics/series/traffic The tables at the above link are published tables which summarise much of the traffic count data at a national level. Individual count data are being released during 2012.
Trafficmaster congestion data,Ongoing,Data purchased from Trafficmaster containing Global Positioning System (GPS) derived journey times of vehicles,Department for Transport,No,"over 1,000,000",Trafficmaster,No,Statistics derived from information asset are published in statistical reports
Transec Information Management System (TIMS) - 1,Ongoing,"Contact database. Names, addresses, telephone number and e-mail of up 10,000 transport industry security contacts. Information is stored on the TIMS system.",Department for Transport,Yes,"1,001 - 10,000",Triad built the database and offer ongoing support via a Service Level Agreement (SLA),No,
Transec Information Management System (TIMS) - 2,Ongoing,TIMS - inspection database. Numeric and descriptive record of security inspections of transport industry. No personal data other than name of inspector and possible references to names of security managers dealt with during inspections,Department for Transport,No,"10,001 - 100,000",Triad build the database and offer ongoing support via a Service Level Agreement (SLA),No,
UK Search and Rescue (SAR) Data Site,Ongoing,Web-based data room for the UK SAR procurement project. Originally named GAP SAR,Department for Transport,No,"501 - 1,000",Connect Internet Solutions,No,
Unredacted Franchise Agreements,Ongoing,Unredacted versions of the Franchise Agreements between the Department for Transport and Train Operating Companies.,Department for Transport,No,1 - 50,,No,
User Identification Documents (ID) database,Ongoing,Names and other details of ETHOS users,Department for Transport,Yes,"1,001 - 10,000",,No,
Van Activity Baseline Survey,Ceased,"Survey of 20,000 van owners in England. Detailed responses received from 9,000 van owners.",Department for Transport,Yes,"10,001 - 100,000",,Yes,Aggregated data (but not personal information) at: http://www.dft.gov.uk/pgr/statistics/datatablespublications/freight/goodsbyroad/roadfreightstatistics2008
Vetting Data on Security Questionnaire Forms,Ongoing,"Applicant - name, title, date of birth, place of birth, current and past address, postcode, employer name, nationality, government service history and criminal history. Applicant's partner and parents - name, title, date of birth, place of birth, current and past address and nationality of applicant's partner and parents.",Department for Transport,Yes,"1,001 - 10,000",,No,
Vetting Information on Local IT System,Ongoing,"ETHOS system database, data held: name, date of birth, place of birth, postcode & employer name.",Department for Transport,Yes,"1,001 - 10,000",,No,
VOSA Accidents and defects database,Ongoing,"The police use Vehicle Operator Services Agency (VOSA) examiners to inspect vehicles involved in accidents where it is alleged or suspected that a defect may have been a causal factor. For the duration of this project, which ended on 31 August 2011, the information collected by VOSA examiners was compiled by a contractor in a database (the VOSA Accidents and Defects Database).",Department for Transport,Yes,"1,001 - 10,000",,No,
Web - for Accident Investigation Branch,Ongoing,Accident Investigation Branches (AIB) web site to disseminate bulletins and reports to Industry and general public,Department for Transport,No,"501 - 1,000",Epic/ AIBs. ,Yes,"Reports, urgent safety advice and safety bulletins published via web e.g. www.raib.go.uk. Operationally imperative 24/7."
Your Reward Flexible Benefits System,Ongoing,"Information held on Your Reward system covers staff names, staff number, location, age, grade, start date, work status, salary, contract hours, tax code and NI, benefits selected and costs. Payroll data includes salary and allowances..",Department for Transport,Yes,"1,001 - 10,000",Benefex,No,
2008-09 LENNON sales data download,Ceased,Rail Service Analysis (RSA) 2008-09 LENNON sales data download,Department for Transport,No,1-50,,No,
Accident Database,Ongoing,Record of all accidents on DVLA site and outcomes.,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Automated First Registration & Licensing (AFRL) Appointments,Ongoing,"To issue tax discs to dealers. name of person authorised to collect and return discs / Dealer Profile - name, address, contact numbers, number of discs required / Change requests to number of tax discs required / Any documents relating to AFRL.",Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Anonymised Data,Ongoing,Quarterly anonymised vehicle data; monthly details of keeper changes,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Automated Number Plate Recognition (ANPR) database,Ongoing,Captures Vehicle Registration Mark (VRM) of all vehicles entering DVLA site,Driver and Vehicle Licensing Agency,No,"1,001 - 10,000",,No,
Assurance reviews,Ongoing,Casework/assessments information,Driver and Vehicle Licensing Agency,Yes,"501 - 1,000",,No,
Barcoding All Re-Licensing Transactions (BART) Data,Ongoing,An extract from the BART (Barcoding All Re-licensing Transactions) database (part of DVLA IA 02 Vehicles database),Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Budget data,Ongoing,Working papers for the production of the Budgets including Programme information for Business Plan.,Driver and Vehicle Licensing Agency,No,50-500,,Yes,http://www.dft.gov.uk/dvla/publications.aspx
Bulk Data,Ongoing,Monthly First Registration Data; Weekly Cherished Transfer and Keeper Change data; bi-annual snapshot of the vehicle database,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
CASP (Casework and Specialist Process system),Ongoing,"Electronic Casework system containing all Drivers, Vehicles, and Drivers Medical casework. Record of eligibility to drive (medical conditions). Data to support the processing of medical cases.",Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
CCTV Security footage,Ongoing,Electronic copy of video footage,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Census Data,Ongoing,"County code, tax class, colour code, chassis VIN no",Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Certificate Of Destruction data,Ceased,Information from salvage yards of those vehicles that have received a certificate of destruction,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Commercial tender and contract documentation,Ongoing,Commercial tender and contract documentation for Major Contracts,Driver and Vehicle Licensing Agency,No,51 - 500,,No,
Commercial tender and contract documentation,Ongoing,Commercial tender and contract documentation for Policy and procurement,Driver and Vehicle Licensing Agency,No,51 - 500,,No,
Commercial tender and contract documentation,Ongoing,Commercial tender and contract documentation for IT,Driver and Vehicle Licensing Agency,No,51 - 500,,No,
Customer enquiries data (e-mail),Ongoing,Customer enquiries data (vehicles and drivers),Driver and Vehicle Licensing Agency,Yes,"100,001 - 1,000,000",,No,
Customer/Ministerial complaints,Ongoing,Step 1 complaints kept in paper format for a 13 month period,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Data scans,Ongoing,Trade and related information.,Driver and Vehicle Licensing Agency,No,1-50,,No,
Database of physical security breaches,Ongoing,Record of physical security breaches,Driver and Vehicle Licensing Agency,Yes,51 - 500,,No,
DirectGov and DVLA Web Metrics,Ongoing,Values associated with customer use of the DirectGov and DVLA websites,Driver and Vehicle Licensing Agency,No,1-50,,No,
Driver and Vehicle Image/Microfilm library,Ongoing,Driver and Vehicle Microfilming library - Part of the main driver and vehicle library. Microfilms no longer produced but library maintained.,Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",,No,
Driver and Vehicle Intelligence Database,Ongoing,Driver and Vehicle Intelligence Database (DaVID) - Intelligence for the purpose of prevention / detection of criminal activity against the Agency.,Driver and Vehicle Licensing Agency,Yes,"10,001 - 100,000",,No,
Driver data enquiries,Ongoing,"A range of extracts of drivers data for research, legal and criminal investigations and customer segmentation and communication.",Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",,No,
Driver Licence Check (DLC) data (Public Sector),Ongoing,Drivers Licence Check (Link to Drivers Database (D90) - only for Public Sector Organisations,Driver and Vehicle Licensing Agency,Yes,"100,001 - 1,000,000",IBM/Fujitsu,No,
Driver Validation Service (DVS) data,Ongoing,Data held on Driver Validation Service (DVS) and contractual agreements,Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
Drivers 90,Ongoing,"Includes all GB driver licensing information required for transaction processing e.g. name, address, d/o/b, entitlement, endorsements. Information is stored on system including historic information stored on CD/microfiche.",Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
Drivers Medical Policy Correspondence,Ongoing,"Sensitive Panel issues, such as Diabetes, Vision, and relevant individual correspondence, includes names and addresses.",Driver and Vehicle Licensing Agency,Yes,"501 - 1,000",,No,
Drivers Medical Policy Information,Ongoing,Major Legislative/ Policy debates. Potential legal changes relating to period of medical licenses.,Driver and Vehicle Licensing Agency,No,"500-1,000",,No,
Drivers Policy correspondence,Ongoing,"Sensitive driver licensing issues and cases, ombudsmen cases, military licensing, legal, ministerial, cross-government correspondence, correspondence with European counterparts, information regarding specific driving licence incidents",Driver and Vehicle Licensing Agency,Yes,"500-1,000",,No,
Drivers Policy information,Ongoing,"GB & EU legislation and regulations, DVLA & DfT policies, standard responses.",Driver and Vehicle Licensing Agency,No,"500 - 1,000",,No,
Display Screen Equipment (DSE) database,Ongoing,Record of all DSE assessments.,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
DVLA car parking data base,Ongoing,Staff details regarding car permits/security passes. Name/staff number/registration mark for car parking.,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Electronic Driver Entitlement Data,Ongoing,Data held as part of the Electronic Driver Entitlement Checking Service [EDECS] (includes supporting documentation for the delivery and management of the service) (via Electronic Links Interface and Strategy Enablement (ELISE) business to business facility and Drivers database (D90 drivers database),Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
Electronic Vehicle Licensing (EVL) data,Ongoing,Online transaction database which forms part of the DVLA e-services,Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
Electronic Point of Sale (EPOS),Ongoing,"Payments for vehicle licences, cherished transfers, other vehicle related transactions and enforcement payment collection. Will contain name, address and Vehicle Registration Mark.",Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",,No,
Estate / building maps,Ongoing,Details of building layouts,Driver and Vehicle Licensing Agency,No,1-50,Land Securities Trillium,No,
Electronic Vehicle Licensing (EVL) Prize draw Data,Ceased,Zipped Folders containing the Electronic Vehicle Licensing (EVL) transaction populations,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Electronic Vehicle Licensing (EVL) Transaction Data,Ongoing,A monthly report of successful and failed transactions for Electronic Vehicle Licensing.,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Financial accounts,Ongoing,Working papers for the production of the financial accounts,Driver and Vehicle Licensing Agency,No,51 - 500,,Yes,http://www.dft.gov.uk/dvla/publications.aspx
Financial external audit,Ongoing,External Audit reports on DVLA accounts/procedures,Driver and Vehicle Licensing Agency,No,1-50,,Yes,www.nao.org.uk
Financial review data,Ongoing,Working papers for the production of the Quarterly Executive Financial Reviews,Driver and Vehicle Licensing Agency,No,51 - 500,,No,
Fraud case files,Ongoing,Fraud case files and records of interviews and supporting evidence.,Driver and Vehicle Licensing Agency,Yes,51 - 500,,No,
Freedom of information database,Ongoing,"Tracking of requests - includes name, address, e-mail address details.",Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Health assessment records,Ongoing,Record of all assessments (stress and health related),Driver and Vehicle Licensing Agency,Yes,51 - 500,,No,
Human Resource Casework,Ongoing,Internal casework (disciplinary reports),Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Information Risk Register,Ongoing,Record of risks to DVLA data and mitigation,Driver and Vehicle Licensing Agency,No,1-50,,No,
Management Information,Ongoing,Management information to support business process and decision making at corporate level. Primary uses: Business Planning and Corporate Risk Register.,Driver and Vehicle Licensing Agency,No,1 - 50,,Yes,DVLA website (Business Plan) www.dft.gov.uk/dvla
Motor Insurance Anti Fraud and Theft Register (MIAFTR),Ceased,Information from MIAFTR regarding the accident category of vehicles,Driver and Vehicle Licensing Agency,No,"100,001 - 1,000,000",,No,
Mileage Data,Ongoing,Vehicle Registration Number; mileage reading to nearest 1000 miles; date of notification,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Ministerial submissions,Ongoing,"Ministerial Submissions, responses, and Parliamentary Questions.",Driver and Vehicle Licensing Agency,No,"501 - 1,000",,No,
Misrepresented number plate database,Ongoing,"Vehicle Registration Mark (VRM), name and address of registered keeper and/or driver of vehicle. Registered files will contain photograph of the vehicle.",Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Mosaic Data,Ongoing,Lifestyle codes attributed to DVLA data for market research purposes,Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Personnel records,Ongoing,Personnel records of all DVLA staff,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Policy Advice Precedent database,Ongoing,Record of advice given on policy and legislation.,Driver and Vehicle Licensing Agency,No,51 - 500,,No,
Precedent to guide policy and decision making,Ongoing,Details of ongoing policy debates and discussions relating to vehicle registration and licensing matters.,Driver and Vehicle Licensing Agency,No,51 - 500,,No,
Privacy Impact Assessments,Ongoing,Record of Privacy risk assessments to internal and external business processes,Driver and Vehicle Licensing Agency,No,1-50,,No,
Record of benchmarking activities,Ongoing,Working papers,Driver and Vehicle Licensing Agency,No,1 - 50,,No,
Re-use of Public Sector Information data,Ongoing,Requests made under the Public Sector Information (PSI) Regulations 2005,Driver and Vehicle Licensing Agency,Yes,51 - 500,,No,
Risk Management and Documentation Sets (RMADS),Ongoing,Record of risk assessments as part of system accreditation process,Driver and Vehicle Licensing Agency,No,1-50,,No,
Risk Management and Documentation Sets (RMADS) Tracker,Ongoing,Planning tool for RMADS,Driver and Vehicle Licensing Agency,No,1-50,,No,
S29 statements under Data Protection Act,Ongoing,Drivers and Vehicles details - includes S29 statements for courts.,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Sale of Marks (SOM) data,Ongoing,"Sale of Marks (SOM) system, incorporating a database of all personalised registrations purchased from DVLA's  sales scheme. Data consists of purchaser name, address and telephone number, payment details, nominee details, and document trail",Driver and Vehicle Licensing Agency,Yes,"100,001 - 1,000,000",,No,
Security Pass administration,Ongoing,Generic personal information held on security systems for access and pass administration on stand-alone systems,Driver and Vehicle Licensing Agency,Yes,"1,001 - 10,000",,No,
Security Vetting record,Ongoing,Clearance levels of DVLA staff and List X contractors,Driver and Vehicle Licensing Agency,Yes,51 - 500,,No,
Trade Licensing System,Ongoing,"Database of all Trade License Holders - includes: Company name, address, name of Licence holder, trade plate number",Driver and Vehicle Licensing Agency,Yes,"10,000 - 100,000",,No,
UK Drivers and Vehicles Test Data,Ongoing,Vehicles/Drivers Development and Testing Team (VDAT) / (DDAT) responsible for UA testing and live maintenance of new projects/initiatives affecting the Vehicles and Drivers databases.,Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
UK Vehicles Database,Ongoing,Record of full details of all vehicles registered in the UK.,Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
V11 DOL Data,Ongoing,"An Extract from Output Services Group of the V11 Mailing list. This contains VRM, tax class, Postcode",Driver and Vehicle Licensing Agency,No,"over 1,000,000",,No,
Value Added Tax (VAT) Returns,Ongoing,Record of the output VAT that DVLA has collected on income and the recoverable input VAT paid to suppliers on services purchased.,Driver and Vehicle Licensing Agency,No,1 - 50,,No,
Vehicles Policy Casework,Ongoing,"Casework advice, minutes of meetings with internal and external stakeholders",Driver and Vehicle Licensing Agency,Yes,1-50,,No,
WEE (Web Enabled Enquiry Service),Ongoing,"Registered Keeper details for the purpose of identifying abandoned vehicles and for use in Congestion Charging. Replicated from the Vehicles Database. Name, address, Vehicle Registration Mark, make, model, licensing data.",Driver and Vehicle Licensing Agency,Yes,"over 1,000,000",IBM/Fujitsu,No,
Absence records,Ongoing,"Absence/ Medical Including Attendance/ Leave Details, Sick Absence, Disability Information etc.",Driving Standards Agency ,Yes,"1,001 - 10,000",Shared Services Centre,No,
Appeal and Enforcement records,Ongoing,Any files relating to ongoing Approved Driving Instructor (ADI) Appeals & ADI Enforcement cases. The information covers the nature of the case and potential ADI history.,Driving Standards Agency ,Yes,51 - 500,,No,
Business Continuity Plans repository,Ongoing,Business Continuity Plans repository,Driving Standards Agency ,Yes,"501 - 1,000",,No,
Call Recording System,Ongoing,Audio recording of customer calls made to the contact centre related to DSA services.,Driving Standards Agency ,Yes,"over 1,000,000",,No,
CCTV,Ongoing,CCTV recordings at DSA Headquarters,Driving Standards Agency ,Yes,1-50,,No,
Certificate of Professional Competence (CPC) system,Ongoing,Records of continual professional development of LGV and PCV drivers. Includes training organisation list and courses available including those offered by specific qualified training centres; attendees records and a central record of training undertaken.,Driving Standards Agency ,Yes,"1,001 - 10,000",,No,
Compulsory Basic Training Files,Ongoing,"Registered Files retaining documentation re Policy, Regulations & Correspondence",Driving Standards Agency ,Yes,"501 - 1,000",,Yes,http://www.direct.gov.uk/en/Motoring/FindYourNearest/DG_132
Compulsory Basic Training Files,Ongoing,Motorcycle Instructor Personal Files.,Driving Standards Agency ,Yes,51 - 500,,No,
Contract documents,Ongoing,"Commercial details of contracts including Prices, quotations, tender evaluation, payment terms",Driving Standards Agency ,No,"1,001 - 10,000",Shared Services Centre,No,http://www.dft.gov.uk/about/procurement/dft/promptpaymentstats
Contracts Database Records,Ongoing,Details of DSA contracts awarded and expiry/renewal dates,Driving Standards Agency ,No,51 - 500,,Yes,Information in the public domain will be applicable to future contracts through the transparency agenda.
Credit card charge backs,Ongoing,"Credit card charge backs including bank reference, candidate name and address, date of test, booking reference number, credit card number used and name and address of card holder.",Driving Standards Agency ,Yes,51 - 500,Barclays /Pearson,No,
Criminal Records Bureau Application forms,Ongoing,Criminal Records Bureau and Disclosure Scotland application forms from Approved Driving Instructors & Potential Driving Instructors.,Driving Standards Agency ,Yes,"1,001 - 10,000",TMG CRB and Capita RVS,No,
Criminal Records Disclosures,Ongoing,Approved Driving Instructors & Potential Driving Instructors Criminal record disclosure results from the Criminal records bureau.,Driving Standards Agency ,Yes,"1,001 - 10,000",TMG CRB and Capita RVS,No,
Data Processor Agreements general,Ongoing,Data Processor Agreements general,Driving Standards Agency ,No,1-50,,No,
Disciplinary records,Ongoing,"Discipline/ Grievance Including Disciplinary Record, Grievance Details etc",Driving Standards Agency ,Yes,51 - 500,Shared Services Centre,No,
Disclosure Log,Ongoing,Recording details of Criminal Record Checks for Potential and Approved Driving Instructors.,Driving Standards Agency ,Yes,"100,001 - 1,000,000",,No,
Drive Offs,Ongoing,"Information about cases where a candidate has driven away from the test centre following a test fail including name, addresses, vehicle details, driver numbers.",Driving Standards Agency ,Yes,"1,001 - 10,000",Outforce,No,
Driving Instructor Records,Ongoing,"Scanned driving instructor documentation including applications to become an instructor, all communications with the instructor and information relating to that instructor.",Driving Standards Agency ,Yes,"100,001 - 1,000,000",EDM,No,
Driving Standards Agency Archive,Ongoing,"DSA Archive containing information to mark the anniversary of the driving test, DSA etc.",Driving Standards Agency ,No,51 - 500,,No,
General ledger,Ongoing,"General ledger Inc. Accounting Structure, Profit/Cost Centres, Budgets, Accounting Entries",Driving Standards Agency ,No,"over 1,000,000",SAP Shared Service Centre,Yes,contributes to ARA and BPs http://www.dft.gov.uk/dsa/category.asp?cat=649
Greening Government Commitment Data,Ongoing,"Quarterly reports to the Department for Transport, measuring against baselines, our reduction of our waste amounts, improving recycling and energy efficiency. Travel is a key component and also included in the reporting.",Driving Standards Agency ,No,"10,001 - 100,000",,No,http://www.dft.gov.uk/dsa/category.asp?cat=520
Incident Reporting Log,Ongoing,"Incident Reporting Log recording the near misses and incidents covering physical, personnel and information security occurrences.",Driving Standards Agency ,Yes,51 - 500,,No,
Independent Complaints Assessor cases,Ongoing,Details required for Independent Complaints Assessor cases correspondence including letters from customers and DSA evidence to support the case concerned.,Driving Standards Agency ,Yes,51 - 500,Independent Complaints Assessor,No,
Info held by Capita Recruitment Vetting Service.,Ongoing,"Name, address, contact details, date of birth, disclosure reference numbers.",Driving Standards Agency ,Yes,"10,001 - 100,000",Capita RVS,No,
Information Assurance Audit reports,Ongoing,A central register of Information Assurance audit reports,Driving Standards Agency ,Yes,1-50,,No,
Information held by TMG Criminal Records Bureau,Ongoing,"Name, address, contact details, date of birth, disclosure reference numbers.",Driving Standards Agency ,Yes,"10,001 - 100,000",TMG CRB,No,
Integrated Register of Driver Trainers (IRDT),Ongoing,IRDT includes smaller elements of the Approved Driving Instructor (ADI) Registration System process. Information includes details of ADI registration all instructors and potential instructors; test history of instructors; and check test details.,Driving Standards Agency ,Yes,"100,001 - 1,000,000",Capita,Yes,http://www.direct.gov.uk/en/Motoring/FindYourNearest/DG_132
Internal Investigation casework,Ongoing,"Internal Investigation Casework - includes data such as, name, address, date of birth, vehicle info, movements, associates, driving test bookings, links to candidates, Travel & Subsistence records etc.",Driving Standards Agency ,Yes,51 - 500,,No,
Investigation Case files,Ongoing,"Investigation & case files for those passed for HMRC Special Compliance Office (Grabiner) investigation, includes names addresses, date of birth, suspected activity etc.",Driving Standards Agency ,Yes,"501 - 1,000",Outforce,No,
Joint Approvals Unit for Periodic Training Centre ,Ongoing,JAUPT scanned copies of centre & course approvals & audit data.,Driving Standards Agency ,Yes,"1,001 - 10,000",Joint Approvals Unit for Periodic Training,No,
"Joint Approvals Unit for Periodic Training Centre,  Customer Relationship Management Data",Ongoing,"Joint Approvals Unit for Periodic Training (JAUPT) centre & course approvals - organisation & approved centre name & address, contact email & telephone no, nature, business size & sector, centre kite marks/standards, trainers names, qualifications held. Audits, issue of Driver Certificate of Professional Competence (DCPC) and SAFED logos.",Driving Standards Agency ,Yes,"1,001 - 10,000",Joint Approvals Unit for Periodic Training,Yes,http://www.drivercpc-periodictraining.org - some data accessible through JAUPT website (e.g. name and contact details of training providers). Other data linked to approvals and audit process not in public domain.
Learning to Drive consultation response database,Ceased,Learning to Drive consultation response database. Information relating to the Learning To Drive consultation including copies of responses linked to the individuals and organisations who provided them.,Driving Standards Agency ,Yes,"1,001 - 10,000",,Yes,http://www.dft.gov.uk/dsa/Consultation.asp?id=SXE55A-A7831798&cat=336
Legacy E-Payfact - for P11 D returns,Ceased,"Legacy Expenses and Benefits Return to HMRC including - Employee name, national insurance number, pay reference number, Bank Account, Tax Details, Deductions, Date of Birth etc",Driving Standards Agency ,Yes,"1,001 - 10,000",,No,
Monthly key performance indicators,Ongoing,"Monthly key performance indicators. KPI 11 and KPI 18 includes booking number, Date of Test and Incident Number for all candidates who have had a test cancelled by Pearson, or received a result in excess of 10 minute delay.",Driving Standards Agency ,Yes,"1,001 - 10,000",Pearson Driving Assessments Ltd,No,
Motor Cycle Incident database,Ongoing,Reports of incidents involving motorcycles,Driving Standards Agency ,Yes,"100,001 - 1,000,000",,No,
National Standards Evidence Base,Ongoing,"Date referenced Access database - contains evidence statements derived from legislation, research papers, statistics and expert opinion.",Driving Standards Agency ,Yes,1-50,,No,"It will be, once technical problems have been overcome"
