Depart-ment Family ,Entity, Date,Expense Type,Expense Area,Supplier,Trans-action Number,Amount,Distrib-ution Line Number
DCMS,ODA,17-Sep-12,Grant Payable,GTTV PM costs,Nussli (Switzerland) Ltd,76050,82665.6,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Nussli (Switzerland) Ltd,76050,16533.12,2
DCMS,ODA,17-Sep-12,Other Professional Fees,Heavy Rail Network Rail & Resilience,DB Schenker Rail (UK) Ltd,76136,2483355.1,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,DB Schenker Rail (UK) Ltd,76136,496671.02,2
DCMS,ODA,17-Sep-12,Consultants,Utilities consumption to handover to LOCOG,Mace Limited,76156,52589.85,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mace Limited,76156,10517.98,2
DCMS,ODA,17-Sep-12,Other Professional Fees,Transport Test Events,Atkins Limited,76198,35326.2,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,76198,7065.24,2
DCMS,ODA,17-Sep-12,CLM LOCOG Secondments,PMS Security Operations Costs,CLM Delivery Partner Ltd,76320,24242.56,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76320,4848.51,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76321,151466.35,2
DCMS,ODA,17-Sep-12,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,76321,227910.92,4
DCMS,ODA,17-Sep-12,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,76321,529420.86,5
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76322,30872.59,2
DCMS,ODA,17-Sep-12,Delivery partner CLM,CLM Fees,CLM Delivery Partner Ltd,76322,28702.91,4
DCMS,ODA,17-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,76322,125660.05,5
DCMS,ODA,17-Sep-12,Delivery partner CLM,CLM Fees,CLM Delivery Partner Ltd,76323,30804.65,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76323,6160.93,2
DCMS,ODA,17-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,76324,38834.64,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76324,7766.93,2
DCMS,ODA,17-Sep-12,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,76326,222639.98,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76326,44528,2
DCMS,ODA,17-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,76327,301751.91,1
DCMS,ODA,17-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,76327,188457.87,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76327,98041.96,3
DCMS,ODA,17-Sep-12,Delivery partner CLM,Event Management,CLM Delivery Partner Ltd,76328,44708.16,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76328,8941.63,2
DCMS,ODA,17-Sep-12,CLM LOCOG Secondments,Security Preliminaries CLM Delivery Management,CLM Delivery Partner Ltd,76329,129498.86,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,76329,25899.77,2
DCMS,ODA,17-Sep-12,Project Manager,DLR Games Time Operations - CAPEX,Jackson Civil Engineering Group Limited,76341,61552,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Jackson Civil Engineering Group Limited,76341,12310.4,2
DCMS,ODA,17-Sep-12,Rent Payable,ODA Assurance Fees,DB Schenker Rail (UK) Ltd,76378,36250,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,DB Schenker Rail (UK) Ltd,76378,7250,2
DCMS,ODA,17-Sep-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,76395,149243.36,1
DCMS,ODA,17-Sep-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,76395,3045.78,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76395,609.16,4
DCMS,ODA,17-Sep-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,76396,125871.32,1
DCMS,ODA,17-Sep-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,76396,2568.8,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76396,513.76,4
DCMS,ODA,17-Sep-12,Consultants,Development Control,URS Scott Wilson Ltd.,76573,48604,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,URS Scott Wilson Ltd.,76573,9720.8,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Xerox Global Services,76591,16032.14,2
DCMS,ODA,17-Sep-12,IT Print solution xerox,Office Printing,Xerox Global Services,76591,57008.63,4
DCMS,ODA,17-Sep-12,IT Print solution xerox,Office Printing,Xerox Global Services,76591,23152.12,5
DCMS,ODA,17-Sep-12,Tier 1 Contractors,Control Room Upgrade SOC to POC & MPS,Portakabin Ltd,76593,38473,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,76593,7694.6,2
DCMS,ODA,17-Sep-12,Internal Building Maintenance,Velo,ISG Interior Service Group UK Plc,76603,93818.05,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ISG Interior Service Group UK Plc,76603,18763.61,2
DCMS,ODA,17-Sep-12,Internal Building Maintenance,Velo,ISG Interior Service Group UK Plc,76604,124255.12,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ISG Interior Service Group UK Plc,76604,24851.02,2
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76630,71.74,1
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76630,28713.49,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,76630,5742.7,4
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76635,116.43,1
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76635,25888.06,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,76635,5177.61,4
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76640,29335.62,1
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76640,170.9,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,76640,5867.12,4
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,76643,4240.47,2
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76643,21101.25,4
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76643,101.09,5
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,76643,-20.22,7
DCMS,ODA,17-Sep-12,Legal - Contract Negotiations,Olympic Village,Berwin Leighton Paisner LLP,76646,1.9,1
DCMS,ODA,17-Sep-12,Legal - Contract Negotiations,Olympic Village,Berwin Leighton Paisner LLP,76646,62.1,2
DCMS,ODA,17-Sep-12,Legal - Contract Negotiations,Olympic Village,Berwin Leighton Paisner LLP,76646,41275.46,3
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Berwin Leighton Paisner LLP,76646,8255.09,5
DCMS,ODA,17-Sep-12,Legal - Contract Negotiations,ODA Village costs,Berwin Leighton Paisner LLP,76648,24,1
DCMS,ODA,17-Sep-12,Legal - Contract Negotiations,ODA Village costs,Berwin Leighton Paisner LLP,76648,39976,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Berwin Leighton Paisner LLP,76648,7995.2,4
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76649,169.62,1
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,Cofely East London Energy Ltd,76649,29694.55,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,76649,5938.91,4
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,EDF Energy Plc,76672,55872.84,1
DCMS,ODA,17-Sep-12,Light & Heat,Utilities,EDF Energy Plc,76672,12.88,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,EDF Energy Plc,76672,11174.57,4
DCMS,ODA,17-Sep-12,Other Professional Fees,Venue Shuttle/Park & Ride Opex,Jackson Civil Engineering Group Limited,76752,710763.48,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Jackson Civil Engineering Group Limited,76752,142152.7,2
DCMS,ODA,17-Sep-12,Legal - Other,Venue Shuttle/Park & Ride Opex,Hertfordshire Agricultural Society,76769,85511.7,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Hertfordshire Agricultural Society,76769,17102.34,2
DCMS,ODA,17-Sep-12,Legal - Other,Venue Shuttle/Park & Ride Opex,Hertfordshire Agricultural Society,76770,75451.5,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Hertfordshire Agricultural Society,76770,15090.3,2
DCMS,ODA,17-Sep-12,Construction contractor,Eton Manor Pools,A&T Europe SpA,76815,289000,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,76817,102675.98,2
DCMS,ODA,17-Sep-12,Tier 1 Contractors,LPR Maintenance works Skanska,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,76817,504679.26,4
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,76817,-1740.13,5
DCMS,ODA,17-Sep-12,Tier 1 Contractors,LPR Maintenance works BAM,BAM Nuttall Ltd,76818,120811.72,1
DCMS,ODA,17-Sep-12,Tier 1 Contractors,LPR Maintenance works BAM,BAM Nuttall Ltd,76818,344713.28,2
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BAM Nuttall Ltd,76818,93105,3
DCMS,ODA,18-Sep-12,Tier 1 Contractors,Logistics Facilities,Exel Europe Ltd,2744,-36071,1
DCMS,ODA,18-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,2744,-7214.2,2
DCMS,ODA,18-Sep-12,Tier 1 Contractors,Logistics Facilities,Exel Europe Ltd,2744,-0.39,3
DCMS,ODA,18-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,2744,-0.08,4
DCMS,ODA,18-Sep-12,Tier 1 Contractors,TB - Portakabin,Portakabin Ltd,66817,22627.82,1
DCMS,ODA,18-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,66817,4525.56,2
DCMS,ODA,18-Sep-12,Tier 1 Contractors,Logistics Facilities,Exel Europe Ltd,76905,33000,1
DCMS,ODA,18-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,76905,6600,2
DCMS,ODA,18-Sep-12,Tier 1 Contractors,Logistics Facilities,Exel Europe Ltd,76906,36071,1
DCMS,ODA,18-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,76906,7214.2,2
DCMS,ODA,25-Sep-12,Delivery Partner Performance Payments,Park Operations - CLM Performance Payments Security Capital Works Time Milestones,CLM Delivery Partner Ltd,75982,31707.83,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75982,6341.56,2
DCMS,ODA,25-Sep-12,Other Professional Fees,Javelin Project Development & Infrastructure Works,HS1 Ltd,76103,380546.42,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,HS1 Ltd,76103,76109.28,2
DCMS,ODA,25-Sep-12,IT Consultancy,Additional Support,Atos IT Services UK Ltd,76125,121089,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atos IT Services UK Ltd,76125,24217.8,2
DCMS,ODA,25-Sep-12,IT Consultancy,ICT DT,Atos IT Services UK Ltd,76127,376604,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atos IT Services UK Ltd,76127,75320.8,2
DCMS,ODA,25-Sep-12,Consultants,Transport Test Events,MVA Consultancy Ltd,76197,23250,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MVA Consultancy Ltd,76197,4650,2
DCMS,ODA,25-Sep-12,Consultants,Venue Transport Operations,Mott MacDonald Ltd,76206,49461.7,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,76206,9892.34,2
DCMS,ODA,25-Sep-12,Other Professional Fees,Strategic Park & Ride Opex,Mott MacDonald Ltd,76208,35656.83,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,76208,7131.37,2
DCMS,ODA,25-Sep-12,Other Professional Fees,Strategic Park & Ride Opex,Mott MacDonald Ltd,76337,36494.1,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,76337,7298.82,2
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Buildings,Portakabin Ltd,76343,54326.51,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,76343,10865.3,2
DCMS,ODA,25-Sep-12,Third party monitoring,Network Rail Fees,Network Rail Infrastructure,76374,25058.49,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Network Rail Infrastructure,76374,5011.7,2
DCMS,ODA,25-Sep-12,Tier 1 Contractors,PMS Security Operations Costs,Portakabin Ltd,76388,79965.56,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,76388,15993.11,2
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,76390,223017.04,1
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,76390,4551.37,2
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76390,910.27,4
DCMS,ODA,25-Sep-12,Consultants,Statutory Compliance OPEX,Mott MacDonald Ltd,76502,12672,1
DCMS,ODA,25-Sep-12,Consultants,Venue Shuttle/Park & Ride Opex,Mott MacDonald Ltd,76502,1860946.12,2
DCMS,ODA,25-Sep-12,Consultants,Venue Transport Operations,Mott MacDonald Ltd,76502,142971.99,3
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,76502,403318.02,4
DCMS,ODA,25-Sep-12,Consultants,Transport Test Events,Movement Strategies,76512,21788.75,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Movement Strategies,76512,4357.75,2
DCMS,ODA,25-Sep-12,Consultants,Transport Test Events,Movement Strategies,76513,105033.17,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Movement Strategies,76513,21006.63,2
DCMS,ODA,25-Sep-12,Consultants,ASTR - Enforcement,Brent Trading Standards,76698,27750,1
DCMS,ODA,25-Sep-12,IT sundry,Temp Office Accommodation Opex,Byrne Group plc,76715,39216.51,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Byrne Group plc,76715,7843.3,2
DCMS,ODA,25-Sep-12,Minor Works,Temp Office Accommodation Opex,Byrne Group plc,76716,82131.15,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Byrne Group plc,76716,16426.23,2
DCMS,ODA,25-Sep-12,IT sundry,Temp Office Accommodation Opex,Byrne Group plc,76717,33020.34,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Byrne Group plc,76717,6604.07,2
DCMS,ODA,25-Sep-12,Construction contractor,RAB Construction,John Sisk & Son (Holdings) Ltd,76810,287809.76,1
DCMS,ODA,25-Sep-12,Construction contractor,RAB Construction,John Sisk & Son (Holdings) Ltd,76810,212788.2,2
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,John Sisk & Son (Holdings) Ltd,76810,251460.92,4
DCMS,ODA,25-Sep-12,Construction contractor,RAB Construction,John Sisk & Son (Holdings) Ltd,76810,756706.6,15
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Basketball,MITIE Built Environment Limited,76811,209743.99,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MITIE Built Environment Limited,76811,41948.8,2
DCMS,ODA,25-Sep-12,Construction contractor,Building Services,MITIE Built Environment Limited,76812,143905.95,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MITIE Built Environment Limited,76812,28781.19,2
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Basketball,MITIE Built Environment Limited,76813,27429.29,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MITIE Built Environment Limited,76813,5485.86,2
DCMS,ODA,25-Sep-12,Construction contractor,Eton Dorney Construction- Phase 2,Jackson Civil Engineering Group Limited,76816,59505.11,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Jackson Civil Engineering Group Limited,76816,11901.02,2
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Aquatics,Balfour Beatty Construction Ltd,76892,62638.41,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Balfour Beatty Construction Ltd,76892,12527.68,2
DCMS,ODA,25-Sep-12,Consultants,Construction Tech Support - SBH North Park,Atkins Limited,76927,27950.9,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,76927,5590.18,2
DCMS,ODA,25-Sep-12,Consultants,Construction Tech Support - SBH North Park,Atkins Limited,76928,27379.59,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,76928,5475.92,2
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Control Room Upgrade SOC to POC & MPS,Portakabin Ltd,76982,21213.8,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,76982,4242.76,2
DCMS,ODA,25-Sep-12,Grant Payable,Accessible Transport OPEX,Ealing Community Transport,77102,281156.29,1
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Stadium,Sir Robert McAlpine Ltd,77103,444296.8,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Sir Robert McAlpine Ltd,77103,88859.36,2
DCMS,ODA,25-Sep-12,Construction contractor,Stadium,Sir Robert McAlpine Ltd,77104,119645.7,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Sir Robert McAlpine Ltd,77104,23929.14,2
DCMS,ODA,25-Sep-12,Construction contractor,South Park Construction Packages,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,77106,1293525,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,77106,258705,2
DCMS,ODA,25-Sep-12,Construction contractor,SBH SP -South Loop road & Civil Works,BAM Nuttall Ltd,77107,537654.76,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BAM Nuttall Ltd,77107,107530.95,2
DCMS,ODA,25-Sep-12,Tier 1 Contractors,PMS Security Operations Costs,Portakabin Ltd,77140,79965.56,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,77140,15993.11,2
DCMS,ODA,25-Sep-12,Rates,17th Floor Running Costs,DTZ Debenham Tie Leung Ltd,77158,16777.6,2
DCMS,ODA,25-Sep-12,Service Charges,17th Floor Running Costs,DTZ Debenham Tie Leung Ltd,77158,31810.49,4
DCMS,ODA,25-Sep-12,Service Charges,17th Floor Running Costs,DTZ Debenham Tie Leung Ltd,77158,32070,5
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,DTZ Debenham Tie Leung Ltd,77158,6362.1,7
DCMS,ODA,25-Sep-12,Rent Payable,17th Floor Running Costs,DTZ Debenham Tie Leung Ltd,77159,128765,1
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,77160,1263.81,1
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,77160,13535.17,2
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,77160,10746.25,3
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,77160,1483.45,4
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,77160,3571.23,5
DCMS,ODA,25-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,77160,223888.12,6
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Wingate Electrical Plc,77160,50897.61,7
DCMS,ODA,25-Sep-12,Construction contractor,Eton Manor Carey Works Funded by LOCOG,P J Carey Contractors Ltd,77180,648031.25,1
DCMS,ODA,25-Sep-12,Construction contractor,Eton Manor DT for North Park,P J Carey Contractors Ltd,77180,80000,2
DCMS,ODA,25-Sep-12,Construction contractor,Eton Manor Carey Works Funded by PMS,P J Carey Contractors Ltd,77180,15000,3
DCMS,ODA,25-Sep-12,Construction contractor,Venue Transport Operations,P J Carey Contractors Ltd,77180,123416,4
DCMS,ODA,25-Sep-12,Construction contractor,Eton Manor Carey Works Funded by PMS,P J Carey Contractors Ltd,77180,128500,5
DCMS,ODA,25-Sep-12,Construction contractor,Eton Manor Carey Works Funded by LOCOG,P J Carey Contractors Ltd,77180,70000,6
DCMS,ODA,25-Sep-12,Construction contractor,Eton Manor Carey Works Funded by PMS,P J Carey Contractors Ltd,77180,298800,7
DCMS,ODA,25-Sep-12,Construction contractor,MULTISTOREY CARPARK - M&E SERVICES,P J Carey Contractors Ltd,77180,20000,8
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,P J Carey Contractors Ltd,77180,276749.45,9
DCMS,ODA,25-Sep-12,Site security,Maintenance,Honeywell Control Systems Limited,77181,592722.38,1
DCMS,ODA,25-Sep-12,Site security,CPSS Supply & Installation - Honeywell Control Systems Ltd,Honeywell Control Systems Limited,77181,207730.52,2
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Honeywell Control Systems Limited,77181,160090.58,3
DCMS,ODA,25-Sep-12,Legal - Other,Accessible Transport OPEX,The Greenwich Foundation,77182,83000,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,The Greenwich Foundation,77182,16600,2
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Handball,Buckingham Group Contracting Ltd,77183,79773.75,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Buckingham Group Contracting Ltd,77183,15954.75,2
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Handball,Buckingham Group Contracting Ltd,77184,202077.64,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Buckingham Group Contracting Ltd,77184,40415.53,2
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MITIE Built Environment Limited,77185,9574.48,2
DCMS,ODA,25-Sep-12,Construction contractor,Building Services,MITIE Built Environment Limited,77185,0.18,4
DCMS,ODA,25-Sep-12,Construction contractor,Building Services,MITIE Built Environment Limited,77185,47872.2,5
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Eton Manor Permanent,MITIE Built Environment Limited,77188,86444.18,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MITIE Built Environment Limited,77188,17288.84,2
DCMS,ODA,25-Sep-12,Internal Building Maintenance,Eton Manor Permanent,MITIE Built Environment Limited,77189,127025.58,1
DCMS,ODA,25-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,MITIE Built Environment Limited,77189,25405.12,2
DCMS,ODA,29-Sep-12,LOCOG Recharge Staff,Travel Demand Management,London Organising Committee of the Olympic Games and Paralympic Games Limited,2560,-22987.5,1
DCMS,ODA,29-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,London Organising Committee of the Olympic Games and Paralympic Games Limited,2560,-4597.5,2
DCMS,ODA,29-Sep-12,Grant Payable,Communications,London Organising Committee of the Olympic Games and Paralympic Games Limited,71780,500000,1
DCMS,ODA,29-Sep-12,Grant Payable,Venue Transport Operations,London Organising Committee of the Olympic Games and Paralympic Games Limited,72644,1166477.37,1
DCMS,ODA,29-Sep-12,Civil engineer,CPSS Supply & Installation - Honeywell Control Systems Ltd,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,145900,1
DCMS,ODA,29-Sep-12,Site security,Control Rooms Olympic Park,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,40000,2
DCMS,ODA,29-Sep-12,Civil engineer,RAD Detection,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,85000,3
