Dep,Entity,Date, Expense Type, Expense Area,Supplier  ,Transaction Number, Amount, Invoice Description
DFID,DFID,10/01/2013,Air fares ,Asia  Caribbean and Overseas Territories ,MINISTRY OF DEFENCE - HQ BRITFOR ,201739-101 ,"£1,858.00",
DFID,DFID,10/01/2013,Other passenger transport ,Asia  Caribbean and Overseas Territories ,ANDREW WEIR SHIPPING LTD ,201739-101 ,"£1,854.00",
DFID,DFID,10/01/2013,Other passenger transport ,Asia  Caribbean and Overseas Territories ,ANDREW WEIR SHIPPING LTD ,201739-101 ,"£1,854.00",
DFID,DFID,10/01/2013,Other passenger transport ,Asia  Caribbean and Overseas Territories ,ANDREW WEIR SHIPPING LTD ,201739-101 ,"£1,854.00",
DFID,DFID,10/01/2013,Other passenger transport ,Asia  Caribbean and Overseas Territories ,ANDREW WEIR SHIPPING LTD ,201739-101 ,"£1,854.00",
DFID,DFID,10/01/2013,Hotels - Accommodation only ,West and Southern Africa ,The Country Lodge Complex ,200485-101 ,"£1,809.92",
DFID,DFID,10/01/2013,Computer Consumables ,Business Solutions Division Level ,COMPUTACENTER (UK) LTD ,200003-154 ,"£1,682.77",
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,650.00",
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,650.00",
DFID,DFID,10/01/2013,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,100025-101 ,"£1,607.05",
DFID,DFID,10/01/2013,Training Providers/Facilitation Services ,Policy Division ,UNIVERSITY OF CAMBRIDGE ,100191-101 ,"£1,500.00",
DFID,DFID,10/01/2013,Technical and Advisory Services ,West and Southern Africa ,Julie F Momoh ,200485-101 ,"£1,478.76",
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,150.02",
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,150.02",
DFID,DFID,10/01/2013,Data Network - land lines ,Business Solutions Division Level ,COLT TELECOMMUNICATIONS ,200002-124 ,"£1,125.00",
DFID,DFID,10/01/2013,Contract & Agency Staff ,Internal Audit ,Hays Specialist Recruitment Ltd ,100121-101 ,"£1,063.77",
DFID,DFID,10/01/2013,Mobile telephones & accessories ,West and Southern Africa ,MTN (Zambia) Limited ,101637-101 ,"£1,050.24",
DFID,DFID,10/01/2013,Contract Catering Services ,Asia  Caribbean and Overseas Territories ,THE GOURMET FACTORY ,201689-105 ,"£1,046.94",
DFID,DFID,10/01/2013,Technical and Advisory Services ,Finance and Corporate Performance Division ,TRIAY AND TRIAY ,100182-101 ,"£1,007.00",
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£988.92,
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£988.92,
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£882.00,
DFID,DFID,10/01/2013,Hotels - Accommodation only ,Research and Evidence Division ,MEDICAL RESEARCH COUNCIL ,202392-106 ,£865.60,
DFID,DFID,10/01/2013,Contract & Agency Staff ,Internal Audit ,Hays Specialist Recruitment Ltd ,100121-101 ,£828.00,
DFID,DFID,10/01/2013,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,101616-101 ,£828.00,
DFID,DFID,10/01/2013,Other Admin Costs ,West and Southern Africa ,Positive People Company ,101631-101 ,£816.80,
DFID,DFID,10/01/2013,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,QUTAB SERVICE STATION ,201689-105 ,£738.28,
DFID,DFID,10/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,£690.01,
DFID,DFID,10/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100266-110 ,£591.09,
DFID,DFID,10/01/2013,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,Sikder Filling and Serivce Station ,100025-101 ,£589.61,
DFID,DFID,10/01/2013,Hotels - Accommodation only ,Business Solutions Division Level ,J.H Simex PLC/Intercontinental Hotel ,200003-121 ,£575.84,
DFID,DFID,10/01/2013,Data Network - land lines ,West and Southern Africa ,MICRO COM Sprl ,100068-101 ,£561.10,
DFID,DFID,10/01/2013,Vehicle Repairs & Maintenance ,West and Southern Africa ,Annewetey Auto Parts ,101613-101 ,£539.92,
DFID,DFID,10/01/2013,Hostile Environment Training ,East and Central Africa ,Grand Hotel ,101616-101 ,£504.73,
DFID,DFID,10/01/2013,Technical and Advisory Services ,West and Southern Africa ,Mrs Lonnah Ndhlovu ,202214-101 ,"£3,360.41",
DFID,DFID,11/01/2013,Aid Programme - Other Financial Aid to Government ,West and Southern Africa ,Ministry of Health  Support for Malawi Health SWAp ,202214-102 ,"£4,000,000.00",
DFID,DFID,11/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,International Planned Parent ,114146-101 ,"£2,150,000.00",
DFID,DFID,11/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,HELPAGE INTERNATIONAL ,202566-101 ,"£667,567.25",
DFID,DFID,11/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,GLOBAL DEVELOPMENT NETWORK (3ie) ,200135-104 ,"£491,231.00",
DFID,DFID,11/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,SAFERWORLD ,202709-101 ,"£434,790.00",
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,200329-107 ,"£322,170.99",
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,200329-107 ,"£227,635.39",
DFID,DFID,11/01/2013,Technical and Advisory Services ,West and Southern Africa ,Crown Agents Bank ,202183-101 ,"£188,181.84",
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,200329-108 ,"£168,814.95",
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,200329-108 ,"£150,125.42",
DFID,DFID,11/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,WOMANKIND WORLDWIDE (JFS) ,202548-101 ,"£140,095.75",
DFID,DFID,11/01/2013,Aid Programme - Voluntary contributions ,East and Central Africa ,UNESCO ,103022-108 ,"£98,832.00",
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,ROYAL TROPICAL INSTITUTE ,201727-101 ,"£56,924.29",
DFID,DFID,11/01/2013,Aid Programme - Core contributions ,Research and Evidence Division ,FOOD AND AGRICULTURE ORGANISATION ,202279-101 ,"£48,494.00",
DFID,DFID,11/01/2013,Aid Programme - Core contributions ,Research and Evidence Division ,FOOD AND AGRICULTURE ORGANISATION ,202279-102 ,"£48,490.00",
DFID,DFID,11/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,World Federation of Science Journalists (CAD) ,112150-103 ,"£34,703.72",
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,203193-101 ,"£27,165.60",
DFID,DFID,11/01/2013,Hardware -Laptop PCs ,Business Solutions Division Level ,XMA Limited ,200003-154 ,"£26,417.50",
DFID,DFID,11/01/2013,Property rates ,Human Resources Security & Facilities Division ,CITY OF WESTMINSTER ,100187-101 ,"£776,170.00",Quarterly Business Rates for DFID HQ Palace Street
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division , Natural Environment Research Council ,200376-101 ,"£25,000.00",
DFID,DFID,11/01/2013,Training Providers/Facilitation Services ,Business Solutions Division Level ,Emergn ,200001-101 ,"£20,625.00",
DFID,DFID,11/01/2013,Training Providers/Facilitation Services ,Business Solutions Division Level ,Emergn ,200001-101 ,"£20,625.00",
DFID,DFID,11/01/2013,Technical and Advisory Services ,West and Southern Africa ,MACRAE MASON DEVELOPMENT ,202678-101 ,"£15,242.39",
DFID,DFID,11/01/2013,Professional member subscriptions ,Human Resources Security & Facilities Division ,HM TREASURY VOTES CASH ACCOUNT ,100269-117 ,"£13,200.00",
DFID,DFID,11/01/2013,Contraceptives ,East and Central Africa ,IPA-International Procurement Agency (BV) ,202420-103 ,"£12,964.27",
DFID,DFID,11/01/2013,Aid Programme - Programme Contribution ,International Relations Division ,PRACTITIONERS NETWORK FOR EUROPEAN DEVELOPMENT COOPERATION ,201272-103 ,"£12,382.50",
DFID,DFID,11/01/2013,Technical and Advisory Services ,West and Southern Africa ,TRIPLE LINE CONSULTING LTD ,202183-102 ,"£10,374.95",
DFID,DFID,11/01/2013,Supplier Services ,Human Resources Security & Facilities Division ,AMCS UK ,100272-101 ,"£9,900.00",
DFID,DFID,11/01/2013,Aid Programme - Challenge Fund payments ,Policy Division ,Triple Line Consulting Limited ,201242-101 ,"£9,209.85",
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,Garry Whiteknight CPA ,200284-105 ,"£7,134.50",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,HUDSON GLOBAL RESOURCES LTD ,100201-101 ,"£6,310.20",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,HUDSON GLOBAL RESOURCES LTD ,100201-101 ,"£6,062.34",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,HUDSON GLOBAL RESOURCES LTD ,100201-101 ,"£6,028.99",
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,Sian Lord  ,202913-101 ,"£5,450.00",
DFID,DFID,11/01/2013,Technical and Advisory Services ,Human Resources Security & Facilities Division ,TURNER & TOWNSEND ,203716-101 ,"£5,241.60",
DFID,DFID,11/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,British Council China ,203174-101 ,"£4,666.00",
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,RS DREW LTD ,201014-102 ,"£4,462.50",
DFID,DFID,11/01/2013,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,Juba Grand Hotel ,202288-107 ,"£4,382.02",
DFID,DFID,11/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,SAINT HELENA NATIONAL TRUST ,201049-101 ,"£3,483.83",
DFID,DFID,11/01/2013,Hotels - Accommodation only ,East and Central Africa ,Juba Grand Hotel ,202594-101 ,"£3,258.43",
DFID,DFID,11/01/2013,Air fares ,East and Central Africa ,The Express Travel Group ,101612-101 ,"£2,337.21",
DFID,DFID,11/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Purushottam Ojha ,203035-102 ,"£2,103.98",
DFID,DFID,11/01/2013,Medical/Health Services ,West and Southern Africa ,MASM ,101618-101 ,"£1,974.51",
DFID,DFID,11/01/2013,Contract & Agency Staff ,International Finance Division ,Hays Specialist Recruitment Ltd ,100120-101 ,"£1,830.16",
DFID,DFID,11/01/2013,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,Juba Grand Hotel ,202288-106 ,"£1,797.75",
DFID,DFID,11/01/2013,Electricity ,Human Resources Security & Facilities Division ,EDF ENERGY ,203717-101 ,"£1,607.87",
DFID,DFID,11/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,Middle East & North Africa Division (MENAD) ,TURNER & TOWNSEND ,100302-101 ,"£1,588.60",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,202836-101 ,"£1,551.34",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,202836-101 ,"£1,551.34",
DFID,DFID,11/01/2013,Printer Consumables ,West and Southern Africa ,Formats Projects Services Limited ,101622-101 ,"£1,541.93",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,513.32",
DFID,DFID,11/01/2013,Hotels - Accommodation only ,East and Central Africa ,Juba Grand Hotel ,203542-105 ,"£1,507.49",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,202836-101 ,"£1,292.78",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,202836-101 ,"£1,292.78",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,202836-101 ,"£1,292.78",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,202836-101 ,"£1,292.78",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Search Consultancy Ltd ,100201-101 ,"£1,200.00",
DFID,DFID,11/01/2013,Printer Consumables ,West and Southern Africa ,Formats Projects Services Limited ,100152-101 ,"£1,163.21",
DFID,DFID,11/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,"£1,130.16",
DFID,DFID,11/01/2013,Contract & Agency Staff ,International Finance Division ,Hays Specialist Recruitment Ltd ,100120-101 ,£996.01,
DFID,DFID,11/01/2013,Hotels - Accommodation only ,East and Central Africa ,Sheraton Hotel ,101635-101 ,£986.95,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Business Solutions Division Level ,Parity Resources ,200005-111 ,£826.99,
DFID,DFID,11/01/2013,Hostile Environment Training ,Asia  Caribbean and Overseas Territories ,Pilgrims Group ,101611-101 ,£802.14,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,THE IDL GROUP ,201014-102 ,£780.00,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,HOME OFFICE ,100020-101 ,£749.39,
DFID,DFID,11/01/2013,Technical and Advisory Services ,East and Central Africa ,ATOS CONSULTING LIMITED ,202327-101 ,£709.29,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,Development Evaluation Cons. LLC ( J R Eriksson) ,201014-102 ,£699.86,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,Development Evaluation Cons. LLC ( J R Eriksson) ,201014-102 ,£699.64,
DFID,DFID,11/01/2013,Hotels - Accommodation only ,Top Management Group ,Juba Grand Hotel ,100232-108 ,£674.16,
DFID,DFID,11/01/2013,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,POSTURITE (UK) LTD ,201739-101 ,£631.98,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Andreas Wilkes ,200581-113 ,£600.00,
DFID,DFID,11/01/2013,Training - Course Fees ,Conflict Humanitarian and Security Division ,WORKING SOLUTIONS ,100049-101 ,£600.00,
DFID,DFID,11/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Hays Specialist Recruitment Ltd ,100270-102 ,£588.68,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Research and Evidence Division ,THE IDL GROUP ,201014-102 ,£585.00,
DFID,DFID,11/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Hays Specialist Recruitment Ltd ,100270-102 ,£573.40,
DFID,DFID,11/01/2013,Subscriptions ,Communications Division ,THE PRESS ASSOCIATION ,100197-101 ,£558.07,
DFID,DFID,11/01/2013,Hotels - Accommodation only ,Conflict Humanitarian and Security Division ,J.H Simex PLC/Intercontinental Hotel ,202410-101 ,£541.90,
DFID,DFID,11/01/2013,Medical/Health Services ,West and Southern Africa ,MASM ,100144-101 ,£537.48,
DFID,DFID,11/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Nicholas Freeland ,107402-108 ,"£12,910.08",
DFID,DFID,12/01/2013,Hostile Environment Training ,East and Central Africa ,Pilgrims Group ,101630-101 ,"£1,027.14",
DFID,DFID,13/01/2013,Air fares ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£3,690.14",
DFID,DFID,13/01/2013,Air fares ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100011-110 ,£593.01,
DFID,DFID,14/01/2013,Aid Programme - Joint programme contribution ,Policy Division ,WHO Human Reproduction Programme ,203324-103 ,"£2,500,000.00",
DFID,DFID,14/01/2013,Research & Development costs ,Research and Evidence Division ,UNIVERSITY OF  OXFORD ,200425-101 ,"£433,063.57",
DFID,DFID,14/01/2013,Aid Programme - Accountable Grant Payments ,Policy Division ,Rights and Resources Institute ,201724-117 ,"£324,353.37",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,McKinsey & Co  Inc. UK ,203297-101 ,"£134,065.00",
DFID,DFID,14/01/2013,Aid Programme - Accountable Grant Payments ,Policy Division ,ICAR (UK) ,200458-102 ,"£125,000.00",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,OPTIONS CONSULTANCY SERVICES LIMITED ,113963-101 ,"£91,104.54",
DFID,DFID,14/01/2013,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,CONCERN WORLDWIDE ,203445-102 ,"£75,269.00",
DFID,DFID,14/01/2013,Aid Programme - Trust Funds contributions ,Middle East & North Africa Division (MENAD) ,IBRD HSBC T ,203397-101 ,"£61,250.00",
DFID,DFID,14/01/2013,Hostile Environment Training ,Western Asia and Stabilisation Division ,GroundTruth Consulting ,202288-102 ,"£56,376.00",Hostile Environment Awareness Training (HEAT) 2012/13
DFID,DFID,14/01/2013,Aid Programme - Challenge Fund payments ,Western Asia and Stabilisation Division ,Supplier Name withheld ,200898-104 ,"£51,102.78",
DFID,DFID,14/01/2013,Professional member subscriptions ,Business Solutions Division Level ,GARTNERGROUP UK LTD ,200001-101 ,"£81,240.00","Annual subscription (2013) to IT executives programme providing access to IT strategy, resources, advice and expert research for DFID use"
DFID,DFID,14/01/2013,Technical and Advisory Services ,East and Central Africa ,SOCIAL DEVELOPMENT DIRECT LTD ,200787-106 ,"£29,062.24",
DFID,DFID,14/01/2013,Aid Programme - Challenge Fund payments ,Western Asia and Stabilisation Division ,Supplier Name withheld ,200898-104 ,"£28,267.00",
DFID,DFID,14/01/2013,Technical and Advisory Services ,West and Southern Africa ,Pathfinder International - US ,202462-104 ,"£28,009.58",
DFID,DFID,14/01/2013,Technical and Advisory Services ,East and Central Africa ,THE SAVE THE CHILDREN FUND ,201312-108 ,"£16,797.00",
DFID,DFID,14/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,INSTITUTE OF DEV  STUDIES UNIVER ,201841-101 ,"£15,551.00",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,OXFORD POLICY MANAGEMENT ,202083-101 ,"£9,583.69",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Non-Departmental Public Body ,NATIONAL AUDIT OFFICE ,203064-101 ,"£9,206.90",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,OPTIONS CONSULTANCY SERVICES LIMITED ,113963-101 ,"£9,058.07",
DFID,DFID,14/01/2013,Technical and Advisory Services ,West and Southern Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,202493-102 ,"£7,118.80",
DFID,DFID,14/01/2013,Electricity ,Human Resources Security & Facilities Division ,EDF ENERGY ,203717-101 ,"£6,990.43",
DFID,DFID,14/01/2013,Technical and Advisory Services ,East and Central Africa ,Otieno Ayany (RW) ,202171-101 ,"£5,080.55",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,201023-104 ,"£5,029.12",
DFID,DFID,14/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Ipsos MORI ,202491-104 ,"£4,800.00",
DFID,DFID,14/01/2013,Contract & Agency Staff ,Business Solutions Division Level ,ALLEGIS GROUP LIMITED ,200001-101 ,"£4,212.00",
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,202112-101 ,"£3,985.09",
DFID,DFID,14/01/2013,Technical and Advisory Services ,East and Central Africa ,LTS International Ltd. ,201866-106 ,"£3,740.00",
DFID,DFID,14/01/2013,Office Equipment - Purchases ,Human Resources Security & Facilities Division ,ABBEY POLYTHENE LTD ,100187-101 ,"£3,465.00",
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,202112-101 ,"£3,126.20",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-105 ,"£2,962.11",
DFID,DFID,14/01/2013,Recruitment costs ,Asia  Caribbean and Overseas Territories ,Eshna Management Services ,101603-101 ,"£2,895.77",
DFID,DFID,14/01/2013,Air fares ,Policy Division ,Corporate Travel Provider ,100191-101 ,"£2,876.99",
DFID,DFID,14/01/2013,Data Network - land lines ,Business Solutions Division Level ,KUBE NETWORKS LTD ,200002-130 ,"£2,366.87",
DFID,DFID,14/01/2013,Air fares ,Conflict Humanitarian and Security Division ,Corporate Travel Provider ,100049-101 ,"£2,346.39",
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,101601-110 ,"£1,923.30",
DFID,DFID,14/01/2013,Air fares ,East and Central Africa ,Corporate Travel Provider ,202315-110 ,"£1,918.79",
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-101 ,"£1,898.89",
DFID,DFID,14/01/2013,Other Building Costs ,West and Southern Africa ,MJB Electrical Pvt Ltd ,100255-101 ,"£1,846.34",
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,100011-110 ,"£1,793.48",
DFID,DFID,14/01/2013,Electricity ,West and Southern Africa ,ZESA ,101638-103 ,"£1,769.91",
DFID,DFID,14/01/2013,Technical and Advisory Services ,East and Central Africa ,LTS International Ltd. ,201866-106 ,"£1,711.00",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-105 ,"£1,680.99",
DFID,DFID,14/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,650.00",
DFID,DFID,14/01/2013,Generators & spares ,West and Southern Africa ,NP (SL) Ltd ,101629-101 ,"£1,587.20",
DFID,DFID,14/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,513.32",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-105 ,"£1,388.30",
DFID,DFID,14/01/2013,Aid Programme - Accountable Grant Payments ,East and Central Africa ,Corporate Travel Provider ,202850-101 ,"£1,387.70",
DFID,DFID,14/01/2013,Facilities Management payments ,Asia  Caribbean and Overseas Territories ,Firesec India Systems (P) Ltd. ,201689-105 ,"£1,380.58",
DFID,DFID,14/01/2013,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,"£1,307.99",
DFID,DFID,14/01/2013,Air fares ,East and Central Africa ,Corporate Travel Provider ,101634-101 ,"£1,299.79",
DFID,DFID,14/01/2013,Air fares ,International Relations Division ,Corporate Travel Provider ,100240-102 ,"£1,134.70",
DFID,DFID,14/01/2013,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,202333-101 ,"£1,133.69",
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101618-101 ,"£1,117.90",
DFID,DFID,14/01/2013,Bank Charges/Services ,Finance and Corporate Performance Division , ,100008-101 ,"£1,102.89",
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,101601-110 ,"£1,095.18",
DFID,DFID,14/01/2013,Uniforms ,Asia  Caribbean and Overseas Territories ,Style Tailors & Fabrics ,100025-101 ,"£1,071.58",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£1,066.50",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£1,066.50",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-103 ,"£1,066.50",
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,£977.75,
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,£977.75,
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-103 ,£977.75,
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,202288-104 ,£966.67,
DFID,DFID,14/01/2013,Air fares ,Policy Division ,Corporate Travel Provider ,202373-103 ,£958.10,
DFID,DFID,14/01/2013,Repairs  Maint  Alter - Removal & waste disposal services ,Human Resources Security & Facilities Division ,SHANKS WASTE MANAGMENT LIMITED ,100106-101 ,£955.74,
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101618-101 ,£940.90,
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101618-101 ,£940.90,
DFID,DFID,14/01/2013,Air fares ,Policy Division ,Corporate Travel Provider ,202373-103 ,£938.65,
DFID,DFID,14/01/2013,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101611-101 ,£929.45,
DFID,DFID,14/01/2013,Air fares ,Policy Division ,Corporate Travel Provider ,202373-103 ,£923.86,
DFID,DFID,14/01/2013,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101605-101 ,£917.25,
DFID,DFID,14/01/2013,Air fares ,East and Central Africa ,Corporate Travel Provider ,101628-101 ,£911.35,
DFID,DFID,14/01/2013,Air fares ,International Finance Division ,Corporate Travel Provider ,202259-101 ,£904.65,
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Lamar Travel Agency ,101629-101 ,£895.91,
DFID,DFID,14/01/2013,Air fares ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,101601-110 ,£888.27,
DFID,DFID,14/01/2013,Hotels - Accommodation only ,Policy Division ,Recipient name withheld ,100191-101 ,£874.11,
DFID,DFID,14/01/2013,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,Corporate Travel Provider ,202288-104 ,£862.85,
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Corporate Travel Provider ,100189-101 ,£852.85,
DFID,DFID,14/01/2013,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101613-101 ,£830.14,
DFID,DFID,14/01/2013,Hotels - Accommodation only ,Finance and Corporate Performance Division ,Corporate Travel Provider ,202836-101 ,£813.72,
DFID,DFID,14/01/2013,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£809.06,
DFID,DFID,14/01/2013,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,£806.65,
