Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,03/09/2013,CLEVELAND CABLE COMPANY LTD,5986608,Revenue,3KIMF,Highways Stock Account,"1,319.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,CLEVELAND CABLE COMPANY LTD,6005053,Revenue,3KIMF,Highways Stock Account,684.50 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,30/09/2013,CLEVELAND CABLE COMPANY LTD,6011102,Revenue,3KIMF,Highways Stock Account,"3,422.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2013,CLEVELAND CABLE COMPANY LTD,6008374,Revenue,3KIMF,Highways Stock Account,"2,738.00 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2013,CLEVELAND CABLE COMPANY LTD,5999198,Revenue,3KIMF,Highways Stock Account,"2,053.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2013,CLEVELAND CABLE COMPANY LTD,5999199,Revenue,3KIMF,Highways Stock Account,"2,738.00 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2013,CLEVELAND CABLE COMPANY LTD,5999200,Revenue,1KELA,Traffic Sig General O/H,537.40 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2013,CLEVELAND CABLE COMPANY LTD,5999201,Revenue,3KIMF,Highways Stock Account,"2,738.00 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Transport,23/09/2013,CLICK TRAVEL LIMITED,5987428,Revenue,1V304,Travel office Train Tickets,"1,956.52 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Transport,30/09/2013,CLICK TRAVEL LIMITED,5992976,Revenue,1V304,Travel office Train Tickets,"5,632.07 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Transport,16/09/2013,CLICK TRAVEL LIMITED,5983253,Revenue,1V304,Travel office Train Tickets,"3,119.05 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Transport,25/09/2013,CLICK TRAVEL LIMITED,6007767,Revenue,1V304,Travel office Train Tickets,"6,833.24 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Transport,02/09/2013,CLICK TRAVEL LIMITED,5980148,Revenue,1V304,Travel office Train Tickets,"3,912.20 ",,,,,,,,,
Children's Services,Educ Fossway S/Start       ,Supplies & Services,18/09/2013,CLOWNING AROUND,5995174,Revenue,1EEE1,East CC Central Costs,283.50 ,,,,,,,,,
Chief Executive's,CD - Markets                     ,Supplies & Services,12/09/2013,CO STAR GROUP,5999208,Revenue,1DTS1,Property Services Overheads,290.00 ,,,,,,,,,
Chief Executive's,CD - Markets                     ,Supplies & Services,13/09/2013,CO STAR GROUP,5999593,Revenue,1DTS1,Property Services Overheads,"1,450.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,COBLE HOUSE AKARI CARE LTD,6006637,Revenue,1MG20,Ind Res Care Elderly,-459.12 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,COBLE HOUSE AKARI CARE LTD,6006637,Revenue,1MG20,Ind Res Care Elderly,"1,717.04 ",,,,,,,,,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,26/09/2013,COBOLT SYSTEMS LTD,6008858,Revenue,1MH70,Phy Disability-Sensory Support,365.80 ,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,23/09/2013,COCA-COLA ENTERPRISES LTD,6000477,Revenue,1EA06,Curriculum West FE,269.94 ,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,30/09/2013,COCA-COLA ENTERPRISES LTD,6008943,Revenue,1KFR3,Sacred Heart Academy,422.00 ,,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Supplies & Services,11/09/2013,COLAS LTD,5998298,Revenue,1KTC1,Liasion,"148,333.69 ",,,,,,,,,
Chief Executive's,CD - Finance & Resources NOR           ,Premises,26/09/2013,COMBINED PROPERTY CONTROL,5993937,Revenue,1DW06,Brunswick Industrial Est (GL),"30,715.00 ",,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,04/09/2013,COMENSURA LTD,5986799,Revenue,1FR12,Agency Contract Suspense,"2,355.94 ",,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,23/09/2013,COMENSURA LTD,6004146,Revenue,1FR12,Agency Contract Suspense,"2,433.52 ",,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,23/09/2013,COMENSURA LTD,6004147,Revenue,1FR12,Agency Contract Suspense,"2,356.92 ",,,,,,,,,
Chief Executive's,CD - Support Services            ,Supplies & Services,05/09/2013,COMENSURA LTD,5992460,Revenue,1RB16,Transformation Costs,"1,642.06 ",,,,,,,,,
Chief Executive's,CD - Support Services            ,Supplies & Services,02/09/2013,COMENSURA LTD,5987510,Revenue,1FR12,Agency Contract Suspense,910.94 ,,,,,,,,,
Children's Services,Invoice,Supplies & Services,04/09/2013,COMENSURA LTD,5991105,Revenue,1FR12,Agency Contract Suspense,910.94 ,,,,,,,,,
Children's Services,Invoice,Supplies & Services,30/09/2013,COMENSURA LTD,6011804,Revenue,1FR12,Agency Contract Suspense,"1,892.94 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,20/09/2013,COMENSURA LTD,6003849,Revenue,1FR12,Agency Contract Suspense,910.94 ,,,,,,,,,
Children's Services,Invoice,Supplies & Services,05/09/2013,COMENSURA LTD,5992157,Revenue,1FR12,Agency Contract Suspense,"1,739.49 ",,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,04/09/2013,COMENSURA LTD,5987607,Revenue,1FR12,Agency Contract Suspense,"3,795.65 ",,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,11/09/2013,COMENSURA LTD,5987515,Revenue,1FR12,Agency Contract Suspense,"2,413.39 ",,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,18/09/2013,COMENSURA LTD,5992044,Revenue,1FR12,Agency Contract Suspense,"2,292.82 ",,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,24/09/2013,COMENSURA LTD,6006898,Revenue,1FR12,Agency Contract Suspense,"5,130.90 ",,,,,,,,,
Environment & Regeneration,NS: Resources           ,Supplies & Services,17/09/2013,COMENSURA LTD,6001439,Revenue,1FR12,Agency Contract Suspense,"36,409.88 ",,,,,,,,,
Environment & Regeneration,NS: Resources           ,Supplies & Services,17/09/2013,COMENSURA LTD,6001440,Revenue,1FR12,Agency Contract Suspense,"48,294.62 ",,,,,,,,,
Environment & Regeneration,NS: Resources           ,Supplies & Services,03/09/2013,COMENSURA LTD,5990146,Revenue,1FR12,Agency Contract Suspense,"50,744.01 ",,,,,,,,,
Environment & Regeneration,NS: Resources           ,Supplies & Services,30/09/2013,COMENSURA LTD,6013033,Revenue,1FR12,Agency Contract Suspense,"36,043.73 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,COMFORT CALL LTD,6004449,Revenue,1MH50,Ind Home Spot Pur PD,"1,850.86 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,COMFORT HOUSE,6006629,Revenue,1MG20,Ind Res Care Elderly,"-16,790.77 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,COMFORT HOUSE,6006629,Revenue,1MG20,Ind Res Care Elderly,"53,177.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,COMFORT HOUSE,6006629,Revenue,3WH93,Continuing Care,"1,744.00 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,"Sales, Fees & Charges",23/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,6004851,Revenue,1MX51,SP Block Subsidy,-12.29 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,"Sales, Fees & Charges",09/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,5993997,Revenue,1MX51,SP Block Subsidy,-12.29 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,"Sales, Fees & Charges",16/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,6000601,Revenue,1MX51,SP Block Subsidy,-12.29 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,"Sales, Fees & Charges",30/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,6012129,Revenue,1MX51,SP Block Subsidy,-12.29 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,"Sales, Fees & Charges",02/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,5988737,Revenue,1MX51,SP Block Subsidy,-12.29 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,6004851,Revenue,1MX51,SP Block Subsidy,"27,229.32 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,09/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,5993997,Revenue,1MX51,SP Block Subsidy,"24,084.11 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,16/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,6000601,Revenue,1MX51,SP Block Subsidy,"28,395.92 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,30/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,6012129,Revenue,1MX51,SP Block Subsidy,"25,218.02 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,02/09/2013,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,5988737,Revenue,1MX51,SP Block Subsidy,"24,803.65 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/09/2013,COMMERCIAL COVERINGS LTD,6002086,Revenue,1KVWC,Minor Works Contracts,"1,950.00 ",,,,,,,,,
Environment & Regeneration,NS: Energy                 ,Premises,12/09/2013,COMMERCIAL SURVEYING HEREFORD,5990363,Revenue,1DT14,Walker Riverside Ind Units,380.00 ,,,,,,,,,
Environment & Regeneration,NS: Energy                 ,Supplies & Services,18/09/2013,COMMERCIAL SURVEYING HEREFORD,5990349,Revenue,1KEYV,Carbon Management Programme,720.00 ,,,,,,,,,
Environment & Regeneration,NS: Energy                 ,Supplies & Services,12/09/2013,COMMERCIAL SURVEYING HEREFORD,5990362,Revenue,1DQ50,Asset Transfers,810.00 ,,,,,,,,,
Environment & Regeneration,E&R Raising Participation        ,Supplies & Services,17/09/2013,COMMUNITY CATERNG INITIATIVE LTD,6001534,Revenue,1KL0A,Leisure Factility Central O/H,360.00 ,,,,,,,,,
Environment & Regeneration,NS: Waste Management    ,Supplies & Services,16/09/2013,COMMUNITY FURNITURE SERVICE,5995373,Revenue,1KE14,Waste Disposal General O/H,"5,446.22 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,COMMUNITY INTEGRATED CARE,6006625,Revenue,1MK20,Ind Res Care LD,-315.20 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,COMMUNITY INTEGRATED CARE,6006625,Revenue,1MK20,Ind Res Care LD,"2,505.44 ",,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,23/09/2013,COMMUNITY INTEGRATED CARE,6005243,Revenue,1MD66,CWD Care Packages,"3,444.00 ",,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,26/09/2013,COMMUNITY INTEGRATED CARE,6008373,Revenue,1MD66,CWD Care Packages,648.00 ,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,19/09/2013,COMPLETE MAINTENANCE SOLUTIONS LTD,5990253,Revenue,1KR1C,Response Central,340.00 ,,,,,,,,,
Children's Services,Invoice,Supplies & Services,19/09/2013,COMPRIL SPECIALIST LEGAL TRANSCRIBERS,5994125,Revenue,1MD68,Legal Fees Care,426.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,CONIFER LODGE,6006715,Revenue,1MM10,Ind Nursing Care MH,"3,707.16 ",,,,,,,,,
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,05/09/2013,CONNECT CREATIVE MEDIA,5969675,Revenue,1FL01,Electoral Registration Unit,350.00 ,,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,02/09/2013,CONNIE LEWCOCK RESOURCE CENTRE,5988054,Revenue,1MG25,Lewcock House,511.05 ,,,,,,,,,
Adult and Culture,Social Services                        ,Transport,02/09/2013,CONNIE LEWCOCK RESOURCE CENTRE,5988054,Revenue,1MG25,Lewcock House,6.80 ,,,,,,,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,23/09/2013,CONTINENTAL SPORTS LTD,6004101,Revenue,1E339,Benfield Sports Centre,"1,254.00 ",,,,,,,,,
Environment & Regeneration,Walker Activity Dome       ,Capital Expenditure,23/09/2013,CONTINENTAL SPORTS LTD,6004972,Capital,2KL01,Leisure Services,"1,594.00 ",,,,,,,,,
Children's Services,Schools Payment Agency                 ,Premises,30/09/2013,CONVEY BROTHERS,6010504,Revenue,1E097,Bridgewater Centre,256.00 ,,,,,,,,,
Children's Services,Benfield Secon/High School             ,Premises,23/09/2013,CONVEY BROTHERS,6004102,Revenue,1E371,Benfield Sports Partner Contrb,450.00 ,,,,,,,,,
Children's Services,Invoice,Premises,06/09/2013,COOKE TRAINING AND DEVELOPMENT LIMITED,5990397,Revenue,1KEMV,Blacksmiths,630.00 ,,,,,,,,,
Children's Services,Invoice,Supplies & Services,03/09/2013,COOKE TRAINING AND DEVELOPMENT LIMITED,5990398,Revenue,1KEMV,Blacksmiths,"1,570.00 ",,,,,,,,,
Children's Services,Schools Payment Agency                 ,Supplies & Services,27/09/2013,COOL MILK AT SCHOOL,6009663,Revenue,1E097,Bridgewater Centre,343.20 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27/09/2013,COQUET TRUST,6002840,Revenue,1MK55,Dom Care Family/Carer LD,432.00 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27/09/2013,COQUET TRUST,6005022,Revenue,1MK54,Dom Care Own Tenancy LD,"1,500.00 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,COQUET TRUST,6003106,Revenue,1MK55,Dom Care Family/Carer LD,780.00 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,COQUET TRUST,6003599,Revenue,1MK55,Dom Care Family/Carer LD,390.00 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,COQUET TRUST,6004481,Revenue,1MK54,Dom Care Own Tenancy LD,348.00 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,30/09/2013,COQUET TRUST,6012304,Revenue,1MK54,Dom Care Own Tenancy LD,"1,281.20 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,30/09/2013,COQUET TRUST,6012305,Revenue,1MK54,Dom Care Own Tenancy LD,"1,587.96 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,30/09/2013,COQUET TRUST,6012306,Revenue,1MK54,Dom Care Own Tenancy LD,"1,174.20 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26/09/2013,COQUET TRUST,6005023,Revenue,1MK55,Dom Care Family/Carer LD,"1,218.00 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,COQUET TRUST,6003057,Revenue,1MK55,Dom Care Family/Carer LD,840.00 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/09/2013,COQUET TRUST,6002839,Revenue,1MK54,Dom Care Own Tenancy LD,"3,663.00 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/09/2013,COQUET TRUST,6003058,Revenue,1MK54,Dom Care Own Tenancy LD,540.00 ,,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,17/09/2013,COQUET TRUST,6000120,Revenue,4WX32,Patients Property Suspense,"1,862.28 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,23/09/2013,COQUET TRUST,6004859,Revenue,4WX32,Patients Property Suspense,"2,522.72 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,23/09/2013,COQUET TRUST,6004860,Revenue,4WX32,Patients Property Suspense,768.00 ,,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,23/09/2013,COQUET TRUST,6004861,Revenue,4WX32,Patients Property Suspense,716.40 ,,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,13/09/2013,COQUET TRUST,6000118,Revenue,4WX32,Patients Property Suspense,"1,432.80 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,16/09/2013,COQUET TRUST,6000012,Revenue,4WX32,Patients Property Suspense,"1,034.72 ",,,,,,,,,
Children's Services,Social Services - Social Care Payments ,Third Party Payments,27/09/2013,COQUET TRUST,6008941,Revenue,1MK54,Dom Care Own Tenancy LD,"5,321.99 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/09/2013,COQUET TRUST,5989495,Revenue,1MK50,Ind Supported Living LD,"-6,566.32 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,COQUET TRUST,5989495,Revenue,1MK50,Ind Supported Living LD,"134,503.60 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,COQUET TRUST,5989495,Revenue,3WH96,Continuing Care-Dom Payments,"24,188.80 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,COQUET TRUST,5989541,Revenue,1MK54,Dom Care Own Tenancy LD,"11,112.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,COQUET TRUST,5989541,Revenue,1MK55,Dom Care Family/Carer LD,"3,715.92 ",,,,,,,,,
Environment & Regeneration,E&R Trans P&D              ,Supplies & Services,02/09/2013,CORA SYSTEMS LTD,5988270,Revenue,3V065,Joint LTP Team Costs         K,"7,742.40 ",,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,03/09/2013,CORDALE INDUSTRIAL SERVICES LIMITED,5974745,Revenue,1MG25,Lewcock House,350.00 ,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,05/09/2013,CORDALE INDUSTRIAL SERVICES LIMITED,5974750,Revenue,1DQ9C,S&MKeelmans Hospital,285.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,CORDINGLEY HOUSE,6006685,Revenue,1MK50,Ind Supported Living LD,-311.40 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,CORDINGLEY HOUSE,6006685,Revenue,1MK50,Ind Supported Living LD,"4,138.76 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,CORDINGLEY HOUSE,6006685,Revenue,3WH93,Continuing Care,"1,773.76 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,CORE ASSETS FOSTERINGLTD,6007941,Revenue,1MC22,IND Sector Foster Carer Costs,"72,654.90 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,CORE ASSETS FOSTERINGLTD,5992284,Revenue,1MC22,IND Sector Foster Carer Costs,"65,365.43 ",,,,,,,,,
Children's Services,Educ School Planning    ,Transport,17/09/2013,CORE ASSETS FOSTERINGLTD,6001602,Revenue,1MC22,IND Sector Foster Carer Costs,556.14 ,,,,,,,,,
Children's Services,Educ School Planning    ,Transport,17/09/2013,CORE ASSETS FOSTERINGLTD,6001603,Revenue,1MC22,IND Sector Foster Carer Costs,"2,068.00 ",,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,12/09/2013,CORMETON ELECTRONICS,5987369,Revenue,1KVEE,Electrical Stand Alone Works,"2,177.97 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,03/09/2013,CORMETON ELECTRONICS,5990351,Revenue,1KVWC,Minor Works Contracts,710.35 ,,,,,,,,,
HRA,HRA - Utility Payments                 ,Premises,30/09/2013,CORONA ENERGY,6012830,Revenue,1VH07,Byker Trust Heating Costs,"59,222.86 ",,,,,,,,,
HRA,HRA - Utility Payments                 ,Premises,05/09/2013,CORONA ENERGY,5992438,Revenue,1VH07,Byker Trust Heating Costs,"45,743.16 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,COTSWOLD SPA RETIREMENT HOTELS,6006658,Revenue,1MG10,Ind Nursing Care Elderly,-486.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,COTSWOLD SPA RETIREMENT HOTELS,6006658,Revenue,1MG10,Ind Nursing Care Elderly,"1,717.04 ",,,,,,,,,
Environment & Regeneration,Cityworks Rangers          ,Supplies & Services,13/09/2013,COUNTRY BASKETS,5987159,Revenue,1KL6M,Ouseburn Park,330.86 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,COUNTRYWIDE CARE HOMES,5995535,Revenue,1MG10,Ind Nursing Care Elderly,-537.56 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,COUNTRYWIDE CARE HOMES,5995535,Revenue,1MG20,Ind Res Care Elderly,-546.48 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,COUNTRYWIDE CARE HOMES,5995535,Revenue,1MG10,Ind Nursing Care Elderly,"1,885.32 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,COUNTRYWIDE CARE HOMES,5995535,Revenue,1MG20,Ind Res Care Elderly,"1,802.60 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,COUNTRYWIDE CARE HOMES LTD T/A EARSDON,5995520,Revenue,1MG20,Ind Res Care Elderly,-450.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,COUNTRYWIDE CARE HOMES LTD T/A EARSDON,5995520,Revenue,1MG20,Ind Res Care Elderly,"1,717.04 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,19/09/2013,COUPE LINE LTD,6002563,Revenue,1KEMC,Highways,"2,520.00 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,19/09/2013,COUPE LINE LTD,6002564,Revenue,1KEMC,Highways,"3,720.06 ",,,,,,,,,
Adult and Culture,Library Admin              ,Supplies & Services,02/09/2013,COVER GOLD LTD,5974699,Revenue,1EJ02,Management,"1,820.00 ",,,,,,,,,
Environment & Regeneration,E&R Fairer Housing             ,Third Party Payments,10/09/2013,COVERSURE INSURANCE SERVICES LTD,5995446,Revenue,1VH06,FHU Private Housing Team,262.83 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,CRAGHALL,5995498,Revenue,1MG20,Ind Res Care Elderly,"-6,130.61 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,CRAGHALL,5995498,Revenue,1MG20,Ind Res Care Elderly,"9,364.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,CRAGSTON COURT,5995518,Revenue,1MG10,Ind Nursing Care Elderly,-972.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,CRAGSTON COURT,5995518,Revenue,1MM10,Ind Nursing Care MH,-486.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,CRAGSTON COURT,5995518,Revenue,1MG10,Ind Nursing Care Elderly,"5,732.36 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,CRAGSTON COURT,5995518,Revenue,1MM10,Ind Nursing Care MH,"15,979.36 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,CRAGSTON COURT,5995518,Revenue,3WH77,Free Nursing Care Com Care,"4,722.08 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,CRAGSTON COURT,5995518,Revenue,3WH78,Fre Nursing Care Out of Area,439.16 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,CRAGSTON COURT,5995570,Revenue,3WH78,Fre Nursing Care Out of Area,439.16 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,CRAMLINGTON HOUSE CARE HOME,6006750,Revenue,1MG20,Ind Res Care Elderly,"1,818.56 ",,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,27/09/2013,CRANEX LTD,5993235,Revenue,1KESB,Heavy Workshop Code 5 Repairs,"3,000.00 ",,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,27/09/2013,CRANEX LTD,5993236,Revenue,1KESA,Heavy Workshop Routine Repair,525.00 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,27/09/2013,CRANEX LTD,5999041,Revenue,1KESA,Heavy Workshop Routine Repair,490.00 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/09/2013,CRANEX LTD,5976582,Revenue,1KESA,Heavy Workshop Routine Repair,676.10 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,24/09/2013,CRANLEA N H,6006766,Revenue,4WX13,Ind Sector Client Loan Fund,"16,868.25 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,24/09/2013,CRANLEA N H,6006767,Revenue,4WX13,Ind Sector Client Loan Fund,"14,605.30 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,CRANLEA N H,6006766,Revenue,1MG20,Ind Res Care Elderly,"-6,999.48 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,CRANLEA N H,6006766,Revenue,1MG20,Ind Res Care Elderly,"31,600.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,CRANLEA N H,6006766,Revenue,3WH93,Continuing Care,"2,152.00 ",,,,,,,,,
Environment & Regeneration,CW Services to Schools           ,Supplies & Services,19/09/2013,CRB SOLUTIONS,6002831,Revenue,1KFR5,St Mary's Academy,"3,217.00 ",,,,,,,,,
Environment & Regeneration,CW Services to Schools           ,Supplies & Services,19/09/2013,CRB SOLUTIONS,6002832,Revenue,1KFN7,Gosforth Jnr Academy,"2,292.00 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,CRISIS,6003970,Revenue,1VH26,Housing & Welfare Rights,"9,462.18 ",,,,,,,,,
