Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFR,The Rotherham NHS Foundation Trust,Q32,6,18,31,36,9,261,5,12,15,46,22,262,2,10,23,44,20,261,2,5,17,51,26,262,2,6,16,54,21,262,3,8,17,55,18,261,13,17,32,30,8,262,8,26,27,32,7,261,2,7,8,33,35,16,260,1,2,8,38,42,10,260,5,9,11,31,22,23,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Q39,4,17,28,42,8,472,3,11,20,43,24,473,2,8,24,49,17,471,1,4,15,55,25,473,2,4,16,62,16,472,3,8,17,57,16,472,7,20,32,34,8,473,12,26,27,32,3,470,3,6,6,37,34,14,470,2,1,8,38,42,10,472,4,8,12,32,24,19,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL4,The Royal Wolverhampton Hospitals NHS Trust,Q34,5,16,28,42,10,376,3,10,19,45,23,377,1,7,23,50,19,374,1,6,14,59,20,376,1,3,17,63,16,376,1,7,19,57,15,375,3,19,36,33,9,376,10,20,24,40,6,377,2,5,5,38,36,15,370,1,0,9,42,39,9,372,2,11,13,34,20,21,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKE,The Whittington Hospital NHS Trust,Q36,7,16,23,43,11,244,3,10,14,46,27,249,3,7,20,50,19,247,2,5,14,54,25,249,3,8,17,55,18,248,3,7,17,53,20,249,9,16,25,39,11,248,14,23,28,31,4,248,1,5,8,36,38,13,247,0,2,7,40,42,9,246,4,12,11,29,26,19,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWD,United Lincolnshire Hospitals NHS Trust,Q33,9,22,29,34,6,392,6,15,25,41,13,392,2,11,27,48,11,392,3,5,15,59,18,393,2,7,18,60,12,390,3,9,21,56,11,390,11,27,30,27,5,392,7,28,28,34,3,392,3,8,9,38,32,10,392,0,3,7,44,40,6,392,3,17,11,32,19,18,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRV,University College London Hospitals NHS Foundation Trust,Q36,5,15,23,46,11,385,4,11,19,43,23,384,3,7,22,46,22,384,3,6,16,56,20,385,3,7,19,52,19,384,4,9,16,50,21,385,8,16,28,38,10,383,13,23,26,33,4,385,2,3,6,38,40,11,385,1,0,5,39,51,4,384,3,5,9,36,30,17,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJE,University Hospital Of North Staffordshire NHS Trust,Q34,6,20,27,38,10,395,5,12,20,43,20,393,2,8,28,45,17,390,2,5,16,56,21,395,1,10,13,62,14,395,1,9,14,60,16,396,7,24,30,32,7,397,7,28,24,36,5,391,1,7,7,37,34,14,396,1,2,7,44,38,8,396,3,13,10,33,21,21,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM2,University Hospital of South Manchester NHS Foundation Trust,Q31,7,19,25,36,12,283,5,11,20,43,21,283,4,10,20,49,18,284,1,7,14,55,23,283,3,6,17,53,21,283,4,9,17,54,16,282,9,20,28,35,8,284,11,26,20,36,7,283,1,4,7,37,40,12,281,1,1,6,40,45,7,283,2,10,10,33,27,18,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM,University Hospital Southampton NHS Foundation Trust,Q38,5,14,33,41,8,464,3,10,19,49,19,463,2,7,25,51,14,462,1,5,15,60,19,463,2,5,15,65,14,464,2,8,15,61,14,464,7,17,33,35,7,463,9,22,29,36,4,462,2,10,7,42,29,10,460,1,1,7,45,39,7,462,2,12,17,30,21,17,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRK,University Hospitals Birmingham NHS Foundation Trust,Q34,7,19,21,43,9,390,6,10,20,43,21,388,3,11,20,43,23,386,1,4,17,54,23,389,2,6,14,55,23,389,3,8,13,57,19,391,8,15,30,39,7,388,13,18,25,38,6,392,1,3,4,40,42,11,387,1,1,5,38,50,6,389,2,6,11,35,28,18,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA7,University Hospitals Bristol NHS Foundation Trust,Q39,9,17,23,44,8,454,7,13,15,45,21,453,2,6,26,49,17,452,1,7,14,56,22,453,2,6,16,60,16,454,3,9,13,58,17,454,12,19,26,36,8,453,11,25,26,35,3,451,2,6,9,38,33,12,452,0,1,6,42,43,8,452,4,11,13,31,21,20,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKB,University Hospitals Coventry And Warwickshire NHS Trust,Q34,6,21,23,41,8,327,6,12,16,44,22,328,2,8,24,49,17,327,1,5,19,54,22,329,2,8,15,58,17,328,4,11,17,50,18,328,9,20,27,35,8,325,12,27,21,35,5,329,2,6,4,34,44,10,328,0,1,8,40,45,5,328,2,8,11,32,30,17,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWE,University Hospitals Of Leicester NHS Trust,Q33,6,20,26,39,10,405,5,11,18,45,21,406,3,8,25,49,15,404,1,7,15,51,26,404,2,7,16,59,16,404,2,8,19,54,18,406,9,23,30,32,7,405,13,22,25,37,3,406,2,7,7,37,36,11,404,1,2,6,42,41,8,405,5,9,12,30,26,17,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,Q31,8,22,25,37,7,416,7,14,21,39,19,416,2,10,25,49,14,416,2,5,18,53,22,416,2,8,20,56,14,415,4,7,20,57,12,416,13,23,28,29,7,415,10,25,29,32,4,415,3,8,10,38,29,12,412,1,1,11,44,34,8,411,4,13,15,33,16,19,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBK,Walsall Healthcare NHS Trust,Q34,10,25,26,33,7,444,7,14,21,38,20,441,5,9,22,49,15,444,2,6,16,53,24,446,3,8,18,56,16,445,3,11,16,56,14,444,14,26,26,27,7,442,14,23,26,32,5,442,3,7,10,38,31,10,445,1,2,12,39,39,5,444,5,12,15,30,22,16,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWW,Warrington and Halton Hospitals NHS Foundation Trust,Q31,6,19,25,41,10,370,5,10,19,46,20,372,3,8,23,48,18,370,2,5,14,56,23,371,1,6,15,60,17,372,3,7,17,57,16,372,11,17,24,38,9,372,10,23,24,38,5,372,2,7,6,35,32,18,367,1,2,8,43,37,11,369,3,9,9,30,22,26,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWG,West Hertfordshire Hospitals NHS Trust,Q35,6,19,24,41,11,316,4,10,17,47,23,321,2,6,24,50,18,318,1,5,15,56,23,319,2,7,18,55,19,321,3,7,16,56,18,320,7,23,28,33,9,319,15,31,23,28,3,320,2,5,7,40,32,13,321,0,0,7,45,40,8,320,3,11,13,30,24,19,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFW,West Middlesex University Hospital NHS Trust,Q36,8,16,26,41,8,321,6,13,22,40,19,322,3,11,25,45,16,320,3,5,20,55,17,322,4,7,21,54,14,322,3,11,18,52,17,318,12,19,27,35,8,320,17,27,24,28,4,319,3,8,10,36,34,10,320,1,1,10,37,46,6,321,4,14,11,33,24,14,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR,West Suffolk NHS Foundation Trust,Q35,5,18,24,41,12,424,5,9,19,44,22,427,2,8,24,47,19,427,1,7,12,55,26,426,1,7,17,56,19,427,1,7,17,57,19,427,7,16,31,36,10,427,8,27,23,37,4,427,3,7,7,37,33,12,427,1,1,9,40,42,7,427,5,11,15,29,22,19,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR,Western Sussex Hospitals NHS Trust,Q37,7,18,27,41,7,387,6,10,20,45,19,387,3,7,27,53,11,384,2,4,19,56,19,387,2,8,19,59,12,387,3,10,19,57,11,386,8,17,36,34,4,384,10,27,28,30,4,383,1,7,11,38,31,12,383,1,1,8,42,40,8,383,1,12,14,30,23,20,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA3,Weston Area Health NHS Trust,Q39,7,20,24,42,7,391,5,10,22,43,19,392,3,8,23,52,14,393,2,6,12,58,22,392,1,8,15,64,12,392,3,11,17,57,13,393,11,25,29,30,5,391,10,24,25,38,4,390,4,5,10,42,27,13,391,1,2,8,44,36,8,392,3,13,15,31,19,20,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBL,Wirral University Teaching Hospital NHS Foundation Trust,Q31,9,22,20,40,8,346,8,12,16,42,21,346,3,11,26,44,16,347,1,5,16,54,24,346,3,7,17,58,15,347,2,8,20,55,14,347,14,21,27,33,6,346,13,29,20,34,3,347,3,8,7,41,25,17,343,1,1,10,42,34,11,343,4,11,13,33,14,24,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWP,Worcestershire Acute Hospitals NHS Trust,Q34,8,20,25,38,9,371,6,14,21,38,21,370,4,10,25,45,17,372,1,6,15,56,22,372,2,8,18,56,17,372,3,8,20,51,18,371,12,23,30,28,7,370,9,24,28,33,7,371,1,6,7,41,34,11,368,1,1,10,41,41,6,370,2,10,13,35,23,18,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Q31,4,18,27,42,9,374,5,7,20,44,24,373,2,8,26,46,18,369,1,5,14,58,22,373,2,5,16,64,14,373,3,8,18,56,15,373,7,22,28,36,7,372,9,26,20,42,4,372,1,4,7,35,35,18,368,1,1,6,40,41,11,369,3,7,12,28,25,26,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLQ,Wye Valley NHS Trust,Q34,6,20,27,42,6,354,5,11,16,46,22,353,2,9,28,45,15,353,1,3,15,56,25,355,2,6,17,59,16,355,2,11,15,58,14,354,13,21,33,27,5,355,10,21,24,41,4,354,3,8,10,41,30,9,355,1,2,8,43,41,5,355,5,14,14,39,16,12,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA4,Yeovil District Hospital NHS Foundation Trust,Q39,7,21,24,39,9,372,8,12,17,41,23,372,3,8,25,44,21,372,2,5,14,52,27,373,1,9,15,53,22,372,2,8,16,56,18,373,9,18,30,32,10,372,13,22,26,34,5,372,1,7,7,39,35,12,372,0,1,6,43,41,9,371,3,12,10,32,24,19,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCB,York Teaching Hospital NHS Foundation Trust,Q32,5,15,28,43,9,432,4,13,18,44,22,432,2,8,22,52,16,431,1,6,14,53,26,430,2,8,16,56,18,432,3,8,15,57,17,429,7,19,32,33,9,427,10,23,22,38,7,431,2,7,7,35,35,14,428,0,1,6,44,40,8,429,4,11,12,28,22,23,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL AMBULANCE TRUSTS,--,17,29,24,26,4,"3,701",11,15,22,36,16,"3,695",6,13,32,38,11,"3,690",2,5,17,56,20,"3,687",4,10,22,54,11,"3,692",5,12,22,51,10,"3,690",22,28,26,21,4,"3,691",18,30,24,25,3,"3,695",2,6,7,39,36,10,"3,689",2,3,9,41,39,6,"3,686",5,13,13,33,23,14,"3,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX9,East Midlands Ambulance Service NHS Trust,Q33,17,28,22,29,4,292,6,16,19,38,21,292,5,11,26,46,12,292,1,5,15,59,20,290,3,10,16,57,14,292,4,12,18,53,12,290,20,30,25,19,6,292,14,36,21,26,3,292,2,5,7,38,32,16,290,2,4,5,43,38,8,289,5,12,14,32,18,19,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYC,East Of England Ambulance Service NHS Trust,Q35,22,29,24,22,4,404,15,18,21,31,15,403,9,14,29,40,8,404,2,8,17,53,21,404,4,13,24,49,10,403,7,16,25,43,8,404,33,25,23,16,4,404,24,30,24,21,2,404,6,11,8,32,32,11,401,3,3,12,40,33,8,401,12,18,13,24,16,18,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX5,Great Western Ambulance Service NHS Trust,Q39,14,30,24,30,2,244,7,12,20,46,14,244,7,11,35,38,9,244,1,7,15,58,18,244,5,13,20,53,8,244,9,16,20,47,9,244,19,31,24,24,2,244,19,29,25,26,2,244,3,5,7,47,28,10,243,2,2,8,47,34,7,242,5,12,13,36,18,16,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1F2,Isle of Wight NHS Primary Care Trust (ambulance sector),Q38,12,29,19,33,7,75,9,13,17,37,23,75,4,13,33,40,9,75,0,7,16,63,15,75,3,9,21,57,9,75,3,9,21,59,8,75,16,28,17,33,5,75,20,23,29,25,3,75,3,9,7,43,36,3,75,4,4,9,40,41,1,75,5,9,12,39,27,8,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRU,London Ambulance Service NHS Trust,Q36,20,26,26,22,5,318,14,15,21,36,13,318,11,13,32,34,10,317,1,4,19,56,20,317,6,9,25,51,8,318,7,18,26,43,7,318,24,26,30,17,3,318,16,28,21,30,4,318,3,9,9,40,27,12,316,3,6,12,48,26,6,317,8,18,16,30,12,16,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX6,North East Ambulance Service NHS Foundation Trust,Q30,24,27,23,23,3,317,16,18,21,30,15,317,10,14,32,36,9,314,3,4,19,49,25,316,4,12,22,52,10,316,5,12,23,50,10,315,29,23,24,20,4,317,23,32,18,25,3,317,1,6,6,38,40,8,317,2,3,12,36,43,5,317,6,12,14,32,24,12,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX7,North West Ambulance Service NHS Trust,Q31,17,29,26,23,5,271,12,14,26,30,17,269,4,12,30,39,15,268,3,3,16,55,23,268,2,8,24,55,12,268,3,9,24,53,11,268,15,27,33,21,4,267,15,31,21,30,3,268,1,6,6,35,38,14,268,1,1,9,38,41,9,270,3,13,10,30,26,17,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYE,South Central Ambulance Service NHS Foundation Trust,Q38,11,22,28,35,5,238,6,10,22,44,18,238,6,11,31,37,15,237,2,6,16,56,21,237,3,8,21,53,15,237,5,11,22,50,12,237,15,22,29,31,3,236,16,33,26,21,4,237,3,3,8,45,31,9,239,1,1,12,42,38,6,238,2,12,13,38,23,12,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYD,South East Coast Ambulance Service NHS Foundation Trust,Q37,20,32,23,24,2,385,13,18,20,37,12,386,6,14,31,40,9,385,3,6,17,55,19,385,4,9,23,58,7,386,4,14,20,55,8,384,31,32,21,15,2,384,25,36,19,19,1,385,1,8,6,39,40,6,385,1,3,6,48,39,3,385,4,16,15,34,22,9,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYF,South Western Ambulance Service NHS Foundation Trust,Q39,11,30,26,29,5,359,6,15,22,37,21,359,2,11,37,38,11,359,0,4,17,54,24,358,1,8,24,54,13,359,3,9,24,52,13,359,13,29,31,22,4,359,15,31,28,22,4,360,2,1,7,39,42,9,360,1,1,8,40,45,5,359,2,10,14,33,29,12,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYA,West Midlands Ambulance Service NHS Trust,Q34,17,30,26,23,5,327,13,20,27,29,11,327,4,16,32,38,10,326,1,4,18,56,21,325,3,8,22,54,13,324,4,12,20,53,11,326,22,27,29,18,4,325,10,28,29,27,5,326,2,3,6,34,43,12,327,1,2,9,33,49,6,325,2,11,10,36,29,13,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX8,Yorkshire Ambulance Service NHS Trust,Q32,18,31,25,22,4,471,9,17,30,33,11,467,8,13,34,36,9,469,3,4,19,57,17,468,5,9,24,51,11,470,6,13,21,50,10,470,24,29,25,18,4,470,14,26,25,32,3,469,2,6,7,35,39,12,468,1,3,8,38,41,9,468,3,15,10,28,27,18,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL MENTAL HEALTH/LEARNING DISABILITY TRUSTS,--,6,15,25,43,10,"23,115",4,9,17,44,27,"23,131",3,7,20,50,20,"23,093",1,4,14,54,27,"23,123",2,7,16,57,18,"23,119",3,10,16,54,17,"23,108",10,18,29,34,9,"23,081",10,23,25,36,6,"23,067",2,6,7,36,33,16,"23,079",1,2,7,41,40,10,"23,091",3,11,12,32,22,20,"23,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTQ,2Gether NHS Foundation Trust,Q39,6,17,27,40,10,373,4,6,18,43,29,372,3,9,20,51,17,371,1,5,13,50,31,370,3,9,17,54,17,372,4,12,20,48,16,372,15,22,31,26,6,373,8,25,26,34,7,373,2,8,8,37,26,19,372,1,2,8,41,33,13,372,4,15,17,26,17,21,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV,5 Boroughs Partnership NHS Foundation Trust,Q31,7,15,27,42,10,406,3,9,18,43,28,407,2,8,18,50,22,406,1,5,11,54,30,406,2,10,15,53,21,405,3,12,16,50,19,405,8,16,30,38,9,406,9,24,23,37,7,407,2,4,7,36,32,20,405,2,1,7,41,37,12,405,2,11,11,29,22,25,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,Q39,5,18,25,41,11,442,5,7,18,42,29,445,2,8,20,48,21,445,1,4,11,55,29,446,3,7,16,54,20,444,4,10,18,51,18,442,13,17,29,33,8,443,10,24,28,33,4,441,2,6,8,33,30,21,443,1,2,8,42,37,11,445,4,11,15,29,19,22,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust",Q36,7,15,23,44,10,458,4,7,17,45,26,459,2,8,25,50,16,460,1,4,18,55,22,457,3,9,13,59,17,458,3,9,16,55,18,458,10,19,28,36,7,457,14,30,28,25,3,458,3,4,6,34,37,16,460,2,1,6,36,44,12,459,3,10,10,30,28,19,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWX,Berkshire Healthcare NHS Foundation Trust,Q38,5,16,27,42,10,424,5,10,15,43,27,425,2,6,17,52,23,425,1,4,12,54,29,424,1,7,12,58,22,425,3,7,16,55,20,424,9,18,27,38,9,424,12,25,26,32,4,425,2,8,8,38,33,12,423,1,1,7,39,46,5,423,4,14,13,32,23,14,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXT,Birmingham and Solihull Mental Health NHS Foundation Trust,Q34,9,16,22,43,10,364,5,9,16,47,23,363,4,8,23,48,16,359,3,5,18,54,21,363,3,9,16,56,16,359,5,9,17,52,16,360,12,15,30,35,8,361,14,25,22,33,6,363,3,5,5,36,32,20,363,1,1,8,40,38,11,366,3,8,11,33,21,24,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ,Black Country Partnership NHS Foundation Trust,Q34,9,14,27,41,9,346,7,8,18,47,21,347,4,6,21,52,17,345,1,3,16,55,26,344,3,5,18,58,16,346,4,8,16,56,15,346,13,17,28,36,7,344,8,21,23,42,6,344,2,7,8,34,32,17,346,1,2,6,44,39,8,346,3,13,12,29,22,21,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
